date,time,PRICE_MU_MU_ON_CTAS,PRICE_CTAS_MU_ON_CTAS,PRICE_INTC_INTC_ON_CTAS,PRICE_CTAS_INTC_ON_CTAS,BETA_INTC_ON_CTAS,SPREAD_INTC_ON_CTAS,Z_INTC_ON_CTAS,Z_VOL_INTC_ON_CTAS,BETA_MU_ON_CTAS,SPREAD_MU_ON_CTAS,Z_MU_ON_CTAS,Z_VOL_MU_ON_CTAS,market_close,SIGNAL_INTC_ON_CTAS,SIGNAL_MU_ON_CTAS,POS_INTC_ON_CTAS,POS_MU_ON_CTAS,POS_BETA_INTC_ON_CTAS,POS_BETA_MU_ON_CTAS,PAIR_BASE_INTC_ON_CTAS,PAIR_BASE_MU_ON_CTAS,PAIR_RET_INTC_ON_CTAS,PAIR_RET_MU_ON_CTAS,SL_INTC_ON_CTAS,SL_MU_ON_CTAS,LOSS_INTC_ON_CTAS,LOSS_MU_ON_CTAS,COOLDOWN_INTC_ON_CTAS,COOLDOWN_MU_ON_CTAS,CAPITAL_INTC_ON_CTAS,CAPITAL_MU_ON_CTAS,REMAINING_CAPITAL,CAPITAL,PORT_RET
2024-01-26,14:29:00.000000000,87.2,149.6275,44.15,149.6275,0.22799113079667135,10.036257076721057,0.4387958581179778,1.7195023084037844,1.4928533548942136,-136.1719153594339,-2.430566695058252,0.30309498481792463,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:30:00.000000000,87.17,150.005,44.76,150.005,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:31:00.000000000,86.725,150.005,44.3043,150.005,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:32:00.000000000,86.99,150.005,44.1802,150.005,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:33:00.000000000,87.1,149.3875,44.34,149.3875,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:34:00.000000000,87.25,149.3875,44.61,149.3875,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:35:00.000000000,87.16,149.475,44.02,149.475,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:36:00.000000000,87.1806,149.4863,43.8,149.4863,0.22567937904085317,10.064024640885307,0.4391340728997731,1.7191708879635803,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:37:00.000000000,87.16,149.846,44.0279,149.846,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:38:00.000000000,87.145,149.846,44.055,149.846,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:39:00.000000000,87.245,149.846,44.07,149.846,,,,,1.4914314011477423,-136.2400297363846,-2.0374080292313717,0.3287861035742009,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,310.7300297363846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9495250000000001,0.050000000000000044,0.9995250000000001,-0.0004749999999998922
2024-01-26,14:40:00.000000000,87.26,149.846,43.985,149.846,,,,,,,,,0,0.0,0.0,0.0,1.0,0.0,1.4914314011477423,0.0,310.7450297363846,0.0,0.000048273416034851775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9495708368153605,0.050000000000000044,0.9995708368153605,0.00004585859819455403
2024-01-26,14:41:00.000000000,87.375,149.846,43.98,149.846,,,,,,,,,0,0.0,0.0,0.0,1.0,0.0,1.4914314011477423,0.0,310.8600297363846,0.0,0.0003700783246559645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9499222523997911,0.050000000000000044,0.9999222523997912,0.0003515664638138594
2024-01-26,14:42:00.000000000,87.6,149.45,44.029,149.45,,,,,,,,,0,0.0,0.0,0.0,1.0,0.0,1.4914314011477423,0.0,310.4944229015301,0.0,0.0026237108564461345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9524145737261923,0.050000000000000044,1.0024145737261922,0.002492515113469649
2024-01-26,14:43:00.000000000,87.95,149.6557,43.965,149.6557,0.2231836290671351,10.564297763417557,0.45898797858475304,1.7188414716521763,,,,,0,0.0,0.0,0.0,1.0,0.0,1.4914314011477423,0.0,311.15121034074616,0.0,0.00013917338797935248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9525471244891788,0.050000000000000044,1.0025471244891788,0.00013223148032839543
2024-01-26,14:44:00.000000000,87.82,149.6557,43.8557,149.6557,,,,,,,,,0,0.0,0.0,0.0,1.0,0.0,1.4914314011477423,0.0,311.02121034074617,0.0,-0.00041780329203164784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9521491471647519,0.050000000000000044,1.002149147164752,-0.00039696620209219823
2024-01-26,14:45:00.000000000,87.7,149.5042,43.7,149.5042,,,,,,,,,0,0.0,0.0,0.0,1.0,0.0,1.4914314011477423,0.0,310.6752584834723,0.0,0.00034065798007097356,0.0,0.0,0.0,-0.000417803292031671,0.0,0.0,0.0,0.9524735043699513,0.050000000000000044,1.0024735043699513,0.000323661608770582
2024-01-26,14:46:00.000000000,87.72,149.5042,43.505,149.5042,,,,,,,,,0,0.0,0.0,0.0,1.0,0.0,1.4914314011477423,0.0,310.6952584834723,0.0,0.00006437590201939366,0.0,0.0,0.0,-0.00007728763998626764,0.0,0.0,0.0,0.9525348207109446,0.050000000000000044,1.0025348207109448,0.00006116504897755488
2024-01-26,14:47:00.000000000,87.49,149.5042,43.6511,149.5042,,,,,,,,,0,0.0,0.0,0.0,1.0,0.0,1.4914314011477423,0.0,310.46525848347227,0.0,-0.0007402752173389001,0.0,0.0,0.0,-0.000012916713428512416,0.0,0.0,0.0,0.95182968278952,0.050000000000000044,1.00182968278952,-0.0007033550424960368
2024-01-26,14:48:00.000000000,87.335,149.5042,43.53,149.5042,,,,,,,,,0,0.0,0.0,0.0,1.0,0.0,1.4914314011477423,0.0,310.3102584834723,0.0,-0.0004992507076543774,0.0,0.0,0.0,-0.0007531823688445849,0.0,0.0,0.0,0.9513544811468209,0.050000000000000044,1.001354481146821,-0.0004743337623774755
2024-01-26,14:49:00.000000000,87.41,149.5042,43.645,149.5042,,,,,1.490552131059646,-135.43380391236752,-1.288095246488776,0.3310702233546253,0,0.0,0.0,0.0,1.0,0.0,1.4914314011477423,0.0,310.3852584834723,0.0,0.00024169358875379647,0.0,0.0,0.0,-0.0012520570496682426,0.0,0.0,0.0,0.9515844174255461,0.050000000000000044,1.0015844174255462,0.0002296252556456453
2024-01-26,14:50:00.000000000,87.31,149.5042,43.505,149.5042,0.22067916299488502,10.512538279780117,0.45600753660353577,1.718510893558866,,,,,0,0.0,0.0,0.0,1.0,0.0,1.4914314011477423,0.0,310.28525848347226,0.0,-0.00032218024943771363,0.0,0.0,0.0,-0.001010666075076272,0.0,0.0,0.0,0.9512778357205789,0.050000000000000044,1.001277835720579,-0.0003060967199901688
2024-01-26,14:51:00.000000000,87.22,149.5042,43.5309,149.5042,,,,,,,,,0,0.0,0.0,0.0,1.0,0.0,1.4914314011477423,0.0,310.1952584834723,0.0,-0.0002900556747035966,0.0,0.0,0.0,-0.0013325207078658252,0.0,0.0,0.0,0.9510019121861083,0.050000000000000044,1.0010019121861085,-0.0002755713994926375
