date,time,PRICE_INTC_INTC_ON_MSFT,PRICE_MSFT_INTC_ON_MSFT,PRICE_MDLZ_MDLZ_ON_TXN,PRICE_TXN_MDLZ_ON_TXN,BETA_MDLZ_ON_TXN,SPREAD_MDLZ_ON_TXN,Z_MDLZ_ON_TXN,BETA_INTC_ON_MSFT,SPREAD_INTC_ON_MSFT,Z_INTC_ON_MSFT,market_close,SIGNAL_MDLZ_ON_TXN,SIGNAL_INTC_ON_MSFT,POS_MDLZ_ON_TXN,POS_INTC_ON_MSFT,POS_BETA_MDLZ_ON_TXN,POS_BETA_INTC_ON_MSFT,PAIR_BASE_MDLZ_ON_TXN,PAIR_BASE_INTC_ON_MSFT,PAIR_RET_MDLZ_ON_TXN,PAIR_RET_INTC_ON_MSFT,SL_MDLZ_ON_TXN,SL_INTC_ON_MSFT,LOSS_MDLZ_ON_TXN,LOSS_INTC_ON_MSFT,COOLDOWN_MDLZ_ON_TXN,COOLDOWN_INTC_ON_MSFT,CAPITAL_MDLZ_ON_TXN,CAPITAL_INTC_ON_MSFT,REMAINING_CAPITAL,CAPITAL,PORT_RET
2021-12-22,14:29:00.000000000,50.65,328.01,64.32,186.2,-0.0029968462737715697,64.87801277617626,2.235075726311781,0.1855619864306723,-10.216187169124815,2.1308797911744377,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-12-22,14:30:00.000000000,50.39,328.05,64.42,185.97,,,,0.18494869899206512,-10.282420704346961,2.117720690959403,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-12-22,14:31:00.000000000,50.44,327.54,64.39,185.77,-0.004294902500957265,65.18786403760284,2.2235393201673044,0.1844864622969622,-9.986695860747005,2.1408231766068755,0,-1.0,0.0,0.0,0.0,0.0,0.0,65.18786403760284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.15000000000000002,1.0,0.0
2021-12-22,14:32:00.000000000,50.495,326.69,64.46,185.875,,,,0.18421121421905048,-9.684961573221607,2.164024754218947,0,0.0,0.0,-1.0,0.0,-0.004294902500957265,0.0,65.25831500236542,0.0,-0.001080737431770225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8490813731829954,0.0,0.15000000000000002,0.9990813731829954,-0.0009186268170046086
2021-12-22,14:33:00.000000000,50.445,325.7983,64.44,185.31,-0.005411867380361753,65.44287314425483,2.204929393500572,0.1840318058270088,-9.512249484369555,2.173845291487616,0,-1.0,0.0,-1.0,0.0,-0.004294902500957265,0.0,65.23588838245239,0.0,0.0003436591936555698,0.0,0.0,0.0,-0.0010807374317701735,0.0,0.0,0.0,0.0,0.0,0.9990812729050916,0.9990812729050916,-1.0037010642983098e-7
2021-12-22,14:34:00.000000000,50.4312,326.38,64.48,185.37,,,,0.1837706510961291,-9.54786510475462,2.1626627278629,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007374496434687794,0.0,0.0,0.0,0.0,0.0,0.9990812729050916,0.9990812729050916,0.0
2021-12-22,14:35:00.000000000,50.39,326.8399,64.45,185.39,-0.006548884732535369,65.66409774056473,2.182473272567024,0.18341596774702038,-9.557656556839362,2.154041841879696,0,-1.0,0.0,0.0,0.0,0.0,0.0,65.66409774056473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8492190819693278,0.0,0.1498621909357638,0.9990812729050916,0.0
2021-12-22,14:36:00.000000000,50.33,326.6,64.46,185.44,,,,0.18307007963512134,-9.460688008830637,2.1559027033312064,0,0.0,0.0,-1.0,0.0,-0.006548884732535369,0.0,65.67442518480135,0.0,-0.00015727687719742934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8490855194440592,0.0,0.1498621909357638,0.998947710379823,-0.00013368534561784918
2021-12-22,14:37:00.000000000,50.35,327.24,64.48,185.5,-0.007683608936254831,65.90530945767527,2.1632880076196788,0.18262372860116283,-9.41178894744452,2.1528381157793923,0,-1.0,0.0,-1.0,0.0,-0.006548884732535369,0.0,65.69481811788532,0.0,-0.00031051559304226566,0.0,0.0,0.0,-0.0001572768771974653,0.0,0.0,0.0,0.0,0.0,0.9989476285110537,0.9989476285110537,-8.195500972542649e-8
2021-12-22,14:38:00.000000000,50.4481,327.37,64.48,185.45,,,,0.1822182773240229,-9.20469744756538,2.1651963756442805,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00046774363331691937,0.0,0.0,0.0,0.0,0.0,0.9989476285110537,0.9989476285110537,0.0
