date,time,PRICE_ANSS_ANSS_ON_NXPI,PRICE_NXPI_ANSS_ON_NXPI,BETA_ANSS_ON_NXPI,SPREAD_ANSS_ON_NXPI,Z_ANSS_ON_NXPI,market_close,SIGNAL_ANSS_ON_NXPI,POS_ANSS_ON_NXPI,POS_BETA_ANSS_ON_NXPI,PAIR_BASE_ANSS_ON_NXPI,PAIR_RET_ANSS_ON_NXPI,SL_ANSS_ON_NXPI,LOSS_ANSS_ON_NXPI,COOLDOWN_ANSS_ON_NXPI,CAPITAL_ANSS_ON_NXPI,REMAINING_CAPITAL,CAPITAL,PORT_RET
2023-01-20,14:29:00.000000000,247.86,166.21,0.6399428475547663,141.49509930792232,-1.1328904098981338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-01-20,14:30:00.000000000,248.18,166.17,0.6405228628437329,141.7443158812569,-1.1094740427031082,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-01-20,14:31:00.000000000,248.99,166.405,0.6407782786108424,142.3612905477628,-1.0514032176688666,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-01-20,14:32:00.000000000,248.22,166.89,0.64135117640517,141.18490216974118,-1.1615634470687901,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-01-20,14:33:00.000000000,248.32,166.22,0.6418640634375959,141.62935537540278,-1.1188011034699412,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-01-20,14:34:00.000000000,248.32,166.43,0.6423826446994813,141.40825644266533,-1.1397335471202106,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-01-20,14:35:00.000000000,249.14,166.14,0.6425134423027513,142.3928166958209,-1.0431092812733045,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-01-20,14:36:00.000000000,249.14,166.0001,0.6426230287305786,142.46451296842105,-1.0353169564664102,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-01-20,14:37:00.000000000,249.01,166.195,0.6428232225824898,142.1759945229031,-1.0635736946424033,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-01-20,14:38:00.000000000,249.135,166.255,0.6429935750763811,142.23410317567624,-1.0569992636932324,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-01-20,14:39:00.000000000,249.97,166.44,0.642874651653455,142.96994297879894,-0.9805851337426283,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
