date,time,PRICE_BIIB_BIIB_ON_SIRI,PRICE_SIRI_BIIB_ON_SIRI,PRICE_JD_JD_ON_TMUS,PRICE_TMUS_JD_ON_TMUS,BETA_JD_ON_TMUS,SPREAD_JD_ON_TMUS,Z_JD_ON_TMUS,BETA_BIIB_ON_SIRI,SPREAD_BIIB_ON_SIRI,Z_BIIB_ON_SIRI,market_close,SIGNAL_JD_ON_TMUS,SIGNAL_BIIB_ON_SIRI,POS_JD_ON_TMUS,POS_BIIB_ON_SIRI,POS_BETA_JD_ON_TMUS,POS_BETA_BIIB_ON_SIRI,PAIR_BASE_JD_ON_TMUS,PAIR_BASE_BIIB_ON_SIRI,PAIR_RET_JD_ON_TMUS,PAIR_RET_BIIB_ON_SIRI,SL_JD_ON_TMUS,SL_BIIB_ON_SIRI,LOSS_JD_ON_TMUS,LOSS_BIIB_ON_SIRI,COOLDOWN_JD_ON_TMUS,COOLDOWN_BIIB_ON_SIRI,CAPITAL_JD_ON_TMUS,CAPITAL_BIIB_ON_SIRI,REMAINING_CAPITAL,CAPITAL,PORT_RET
2021-05-20,13:29:00.000000000,281.75,58.1,72.39,134.5,0.17329952278230457,49.08121418578004,-1.0831210583606183,2.3593879110175133,144.66956236988247,-1.3291726012506941,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:30:00.000000000,281.26,58.25,72.51,134.5,0.17968392043839437,48.34251270103596,-1.0979428114786904,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:31:00.000000000,280.865,58.25,72.84,134.65,0.18820661535031877,47.497979243079584,-1.1147267812908328,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:32:00.000000000,281.12,58.488,73.36,134.77,0.1995362818609844,46.468495293595126,-1.1349601153005955,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:33:00.000000000,281.99,58.45,73.08,135.25,0.21504297579243054,43.995437524073765,-1.1823897714708844,2.3643482291126117,143.79384600836784,-1.3240870089397438,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:34:00.000000000,281.85,58.4,73.33,135.04,0.22979185898138935,42.298907363153184,-1.2150336494358813,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:35:00.000000000,282.19,58.45,73.115,135.01,0.2439732514776403,40.17617131800378,-1.255635747659382,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:36:00.000000000,282.275,58.45,73.1,135.05,0.2587474086192928,38.1561624659645,-1.294172144031197,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:37:00.000000000,282.545,58.45,72.9421,135.425,0.2752864173197298,35.66143693447558,-1.3415420994657463,2.371697350586564,143.91928985821534,-1.3111506185301725,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:38:00.000000000,282.4,58.45,73.0,135.31,0.29101435662442726,33.62284740514875,-1.380137681234858,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:39:00.000000000,282.65,58.45,73.23,135.12,0.3071859467673454,31.72303487279629,-1.4159679800280445,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:40:00.000000000,283.3612,58.45,73.6,135.07,0.3244795436822243,29.77254803484196,-1.4526096647533264,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:41:00.000000000,283.63,58.45,73.7,135.16,0.34461881437695413,27.121321048810884,-1.5023165705979795,2.377893747070875,144.64211048370734,-1.2936687983809043,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:42:00.000000000,283.235,58.45,73.89,135.0175,0.3645803604195795,24.665271187049427,-1.548113091693247,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:43:00.000000000,283.595,58.45,73.927,135.0599,0.3858016864497048,21.82066280827152,-1.6009909200378862,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:44:00.000000000,283.665,58.45,73.775,135.035,0.40669868707269374,18.85644279113881,-1.6558109328214141,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:45:00.000000000,284.15,58.45,73.8242,135.14,0.43006655687458173,15.705005503969033,-1.7138149871547654,2.3811328328807244,144.97278591812162,-1.2794746184842414,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:46:00.000000000,284.51,58.55,74.1,135.23,0.45688745356595273,12.315109654276213,-1.7759139577046856,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:47:00.000000000,284.73,58.55,74.2101,135.21,0.4855633217768644,8.557083262550151,-1.8444716089689697,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:48:00.000000000,284.79,58.45,74.16,135.2301,0.514610170197872,4.569215223124743,-1.9167960344275004,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:49:00.000000000,284.7258,58.47,73.98,135.21,0.5438257410381911,0.4493215542261737,-1.9909735780583542,2.379536113481839,145.59432344471688,-1.263172443072092,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-05-20,13:50:00.000000000,284.755,58.55,74.43,135.175,0.5763257758355427,-3.474836748569487,-2.06080469905122,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
