date,time,PRICE_QCOM_QCOM_ON_FOXA,PRICE_FOXA_QCOM_ON_FOXA,PRICE_CMCSA_CMCSA_ON_FOX,PRICE_FOX_CMCSA_ON_FOX,PRICE_QCOM_QCOM_ON_FOX,PRICE_FOX_QCOM_ON_FOX,PRICE_SBUX_SBUX_ON_FOXA,PRICE_FOXA_SBUX_ON_FOXA,BETA_SBUX_ON_FOXA,SPREAD_SBUX_ON_FOXA,Z_SBUX_ON_FOXA,BETA_QCOM_ON_FOX,SPREAD_QCOM_ON_FOX,Z_QCOM_ON_FOX,BETA_CMCSA_ON_FOX,SPREAD_CMCSA_ON_FOX,Z_CMCSA_ON_FOX,BETA_QCOM_ON_FOXA,SPREAD_QCOM_ON_FOXA,Z_QCOM_ON_FOXA,market_close,SIGNAL_SBUX_ON_FOXA,SIGNAL_QCOM_ON_FOX,SIGNAL_CMCSA_ON_FOX,SIGNAL_QCOM_ON_FOXA,POS_SBUX_ON_FOXA,POS_QCOM_ON_FOX,POS_CMCSA_ON_FOX,POS_QCOM_ON_FOXA,POS_BETA_SBUX_ON_FOXA,POS_BETA_QCOM_ON_FOX,POS_BETA_CMCSA_ON_FOX,POS_BETA_QCOM_ON_FOXA,PAIR_BASE_SBUX_ON_FOXA,PAIR_BASE_QCOM_ON_FOX,PAIR_BASE_CMCSA_ON_FOX,PAIR_BASE_QCOM_ON_FOXA,PAIR_RET_SBUX_ON_FOXA,PAIR_RET_QCOM_ON_FOX,PAIR_RET_CMCSA_ON_FOX,PAIR_RET_QCOM_ON_FOXA,SL_SBUX_ON_FOXA,SL_QCOM_ON_FOX,SL_CMCSA_ON_FOX,SL_QCOM_ON_FOXA,LOSS_SBUX_ON_FOXA,LOSS_QCOM_ON_FOX,LOSS_CMCSA_ON_FOX,LOSS_QCOM_ON_FOXA,COOLDOWN_SBUX_ON_FOXA,COOLDOWN_QCOM_ON_FOX,COOLDOWN_CMCSA_ON_FOX,COOLDOWN_QCOM_ON_FOXA,CAPITAL_SBUX_ON_FOXA,CAPITAL_QCOM_ON_FOX,CAPITAL_CMCSA_ON_FOX,CAPITAL_QCOM_ON_FOXA,REMAINING_CAPITAL,CAPITAL,PORT_RET
2021-09-28,13:29:00.000000000,132.13,40.12,55.53,36.93,132.13,36.93,112.5,40.12,-0.10620929350557139,116.76111685544352,0.45617584944936546,2.2104955741170706,50.49639844785658,-1.3216658793436664,-0.025407386335038584,56.46829477735297,0.020600707559942862,-0.5347528741010598,153.5842853089345,1.700397156949088,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-09-28,13:30:00.000000000,132.1,40.06,55.33,36.98,132.1,36.98,112.79,40.06,,,,2.191334709440929,51.064442444874445,-1.3125276084655728,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-09-28,13:31:00.000000000,132.345,40.1,55.385,36.99,132.345,36.99,112.608,40.1,-0.12537901527560452,117.63569851255174,0.48207151032255047,2.166869376211538,52.192501773935206,-1.291401082010242,,,,-0.5391390384397562,153.96447544143422,1.7046881841887542,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-09-28,13:32:00.000000000,132.424,40.01,55.495,36.99,132.424,36.99,112.46,40.01,,,,2.1391889141350506,53.295402066144476,-1.270793242733113,-0.026452008041542296,56.47345977745665,0.0159238110879667,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-09-28,13:33:00.000000000,132.27,40.05,55.58,37.0,132.27,37.0,112.29,40.05,-0.14107659360118954,117.94011757372765,0.4889982957474825,2.1021072600260147,54.49203137903747,-1.2481562054042423,,,,-0.5438999117824485,154.05319146688706,1.6993337529376318,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-09-28,13:34:00.000000000,132.08,40.24,55.705,37.17,132.08,37.17,112.365,40.24,,,,1.9146493740757398,60.912482765604764,-1.113189090814653,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-09-28,13:35:00.000000000,132.22,40.25,55.69,37.14,132.22,37.14,112.3,40.25,-0.18468146410239458,119.73342893012138,0.5459043229438212,1.7716571015712295,66.42065524764453,-0.9976592647513887,-0.027099255717094924,56.6964663573329,0.027513158416287452,-0.5497658134871616,154.34807399285825,1.7007662172326028,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-09-28,13:36:00.000000000,132.22,40.27,55.745,37.21,132.22,37.21,112.33,40.27,,,,1.573688448213316,73.6630528419825,-0.8444174974812952,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-09-28,13:37:00.000000000,132.6299,40.16,55.68,37.13,132.6299,37.13,112.47,40.16,-0.21251415332949405,121.00456839771248,0.5854506840740267,1.4841572483468322,77.52314136888211,-0.7640124064303706,,,,-0.5527878292453373,154.82985922249273,1.708252458778886,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-09-28,13:38:00.000000000,132.5142,40.28,55.78,37.17,132.5142,37.17,112.48,40.28,,,,1.3605127322265078,81.9439417431407,-0.6712125629622113,-0.027546244068915142,56.80389389204158,0.030683102464912036,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-09-28,13:39:00.000000000,132.32,40.35,55.74,37.26,132.32,37.26,112.345,40.35,-0.26848552717516116,123.17839102151775,0.6556099322619124,1.1460507473087267,89.61814915527684,-0.507327579480504,,,,-0.5579226197039691,154.83217770505513,1.7000119712934398,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-09-28,13:40:00.000000000,132.3,40.34,55.73,37.25,132.3,37.25,112.175,40.34,,,,0.951028859101721,96.87417499846092,-0.3519799684080879,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-09-28,13:41:00.000000000,132.5299,40.27,55.765,37.18,132.5299,37.18,112.25,40.27,-0.3188628701409702,125.09060778057687,0.7171556950809866,0.8419515864960629,101.22614001407638,-0.2595588527622501,-0.028001376479113427,56.806091177493435,0.025866867769767675,-0.5618067282351802,155.15385694603071,1.7022143277368063,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-09-28,13:42:00.000000000,132.2499,40.32,55.7,37.19,132.2499,37.19,112.31,40.32,,,,0.7072247156648697,105.94821282442349,-0.15865830669806644,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-09-28,13:43:00.000000000,131.985,40.34,55.68,37.24,131.985,37.24,112.32,40.34,-0.37280466436696824,127.35894016056349,0.790994649342083,0.5134842172181779,112.86284775079507,-0.00913617471688065,,,,-0.5690385519770327,154.9400151867535,1.687020377441676,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-09-28,13:44:00.000000000,131.85,40.34,55.785,37.28,131.85,37.28,112.44,40.34,,,,0.29268484581711246,120.93870894793804,0.1666109449610793,-0.0284820881161508,56.846812244970096,0.02399078101281672,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-09-28,13:45:00.000000000,131.81,40.27,55.7,37.2,131.81,37.2,112.44,40.27,-0.41465958196742453,129.13834136582818,0.8484117467763782,0.1379895009420903,126.67679056495425,0.2914204572259726,,,,-0.5769253628691042,155.04278436273884,1.6822139934524327,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-09-28,13:46:00.000000000,131.86,40.13,55.645,37.06,131.86,37.06,112.28,40.13,,,,0.07688182148071332,129.01075969592478,0.3413205359636434,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2021-09-28,13:47:00.000000000,131.9595,40.11,55.68,37.02,131.9595,37.02,112.2652,40.11,-0.4405820920586743,129.93694771247343,0.872520660004473,0.04129493016017723,130.43076168547023,0.3711249259514126,-0.028932441863321702,56.75107899778017,0.011248501942550075,-0.5831725655682208,155.35055160494133,1.684046660955145,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
