date,time,PRICE_BKNG_BKNG_ON_EA,PRICE_EA_BKNG_ON_EA,PRICE_ORLY_ORLY_ON_VRTX,PRICE_VRTX_ORLY_ON_VRTX,PRICE_ATVI_ATVI_ON_MSFT,PRICE_MSFT_ATVI_ON_MSFT,PRICE_DXCM_DXCM_ON_ORLY,PRICE_ORLY_DXCM_ON_ORLY,BETA_DXCM_ON_ORLY,SPREAD_DXCM_ON_ORLY,Z_DXCM_ON_ORLY,BETA_ATVI_ON_MSFT,SPREAD_ATVI_ON_MSFT,Z_ATVI_ON_MSFT,BETA_ORLY_ON_VRTX,SPREAD_ORLY_ON_VRTX,Z_ORLY_ON_VRTX,BETA_BKNG_ON_EA,SPREAD_BKNG_ON_EA,Z_BKNG_ON_EA,market_close,SIGNAL_DXCM_ON_ORLY,SIGNAL_ATVI_ON_MSFT,SIGNAL_ORLY_ON_VRTX,SIGNAL_BKNG_ON_EA,POS_DXCM_ON_ORLY,POS_ATVI_ON_MSFT,POS_ORLY_ON_VRTX,POS_BKNG_ON_EA,POS_BETA_DXCM_ON_ORLY,POS_BETA_ATVI_ON_MSFT,POS_BETA_ORLY_ON_VRTX,POS_BETA_BKNG_ON_EA,PAIR_BASE_DXCM_ON_ORLY,PAIR_BASE_ATVI_ON_MSFT,PAIR_BASE_ORLY_ON_VRTX,PAIR_BASE_BKNG_ON_EA,PAIR_RET_DXCM_ON_ORLY,PAIR_RET_ATVI_ON_MSFT,PAIR_RET_ORLY_ON_VRTX,PAIR_RET_BKNG_ON_EA,SL_DXCM_ON_ORLY,SL_ATVI_ON_MSFT,SL_ORLY_ON_VRTX,SL_BKNG_ON_EA,LOSS_DXCM_ON_ORLY,LOSS_ATVI_ON_MSFT,LOSS_ORLY_ON_VRTX,LOSS_BKNG_ON_EA,COOLDOWN_DXCM_ON_ORLY,COOLDOWN_ATVI_ON_MSFT,COOLDOWN_ORLY_ON_VRTX,COOLDOWN_BKNG_ON_EA,CAPITAL_DXCM_ON_ORLY,CAPITAL_ATVI_ON_MSFT,CAPITAL_ORLY_ON_VRTX,CAPITAL_BKNG_ON_EA,REMAINING_CAPITAL,CAPITAL,PORT_RET
2022-12-06,14:29:00.000000000,2056.52,130.31,843.1,317.6,76.53,250.83,115.51,843.1,0.0919667232521274,37.97285562613139,1.266291727667811,0.09436115264162398,52.86139208290146,-0.7778652213777493,3.15124544101184,-157.73555206536037,-0.38574173906875586,15.013364489822168,100.1284733312732,-1.041997117002233,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-06,14:30:00.000000000,2067.295,129.8,839.8,316.12,76.89,251.749,116.74,839.8,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-06,14:31:00.000000000,2068.34,129.3,839.8,316.135,76.815,251.32,117.16,839.8,,,,,,,3.1653341995314674,-160.87292716888044,-0.40589846015843384,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-06,14:32:00.000000000,2071.64,129.16,839.8,316.05,76.83,250.94,118.655,839.8,0.0894703945616104,43.517762647159586,1.3459767007275338,0.09451171596105737,53.11322999673226,-0.7188357286021778,,,,14.355925592655826,217.4286504525735,-0.960056308683564,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-06,14:33:00.000000000,2071.64,129.105,839.8,316.67,76.82,251.45,117.185,839.8,,,,,,,3.182174997190705,-167.89935636038058,-0.4610429354754783,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-06,14:34:00.000000000,2071.64,129.0336,835.09,316.57,76.69,251.31,116.19,835.09,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-06,14:35:00.000000000,2067.99,129.28,838.42,316.94,76.81,251.24,118.31,838.42,0.08652181424843676,45.76838049782566,1.3611070497225413,0.09465337870170276,53.0292851349842,-0.7342347352832717,3.2024043839476244,-176.55004544836015,-0.5321681340281841,13.85624950527456,276.65406395810464,-0.9188455441146739,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-06,14:36:00.000000000,2067.99,129.18,835.37,316.592,76.62,251.19,118.015,835.37,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-06,14:37:00.000000000,2074.95,129.31,836.25,316.56,76.48,251.36,118.4767,836.25,,,,,,,3.235085121775938,-187.84854614939104,-0.6288026299925523,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2022-12-06,14:38:00.000000000,2066.35,129.15,837.4,317.28,76.36,251.54,118.29,837.4,0.08338900655647377,48.460045909608866,1.3847429205840345,0.09476985878768596,52.52158972054548,-0.8457744464320364,,,,13.38034102328811,338.27895684234045,-0.8759888744168338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
