date,time,PRICE_DLTR_DLTR_ON_FANG,PRICE_FANG_DLTR_ON_FANG,BETA_DLTR_ON_FANG,SPREAD_DLTR_ON_FANG,Z_DLTR_ON_FANG,market_close,SIGNAL_DLTR_ON_FANG,POS_DLTR_ON_FANG,POS_BETA_DLTR_ON_FANG,PAIR_BASE_DLTR_ON_FANG,PAIR_RET_DLTR_ON_FANG,SL_DLTR_ON_FANG,LOSS_DLTR_ON_FANG,COOLDOWN_DLTR_ON_FANG,CAPITAL_DLTR_ON_FANG,REMAINING_CAPITAL,CAPITAL,PORT_RET
2023-04-18,13:29:00.000000000,146.99,144.07,0.16498946363173672,123.2199679745757,1.3186196559247518,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:30:00.000000000,147.22,143.96,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:31:00.000000000,147.015,143.74,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:32:00.000000000,147.105,143.97,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:33:00.000000000,147.04,143.97,0.1640324524258263,123.42424782425378,1.3168754542097563,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:34:00.000000000,147.22,143.59,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:35:00.000000000,147.2828,143.9001,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:36:00.000000000,147.25,143.7,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:37:00.000000000,147.31,143.73,0.163434974097147,123.81949117301707,1.3217599919340137,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:38:00.000000000,147.44,143.86,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:39:00.000000000,147.37,143.93,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:40:00.000000000,147.56,144.18,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:41:00.000000000,147.57,144.2,0.16250575253781463,124.13667048404713,1.324054856601317,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:42:00.000000000,147.59,144.31,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:43:00.000000000,147.66,144.405,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:44:00.000000000,147.33,144.31,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:45:00.000000000,147.205,144.3313,0.16160862162705034,123.87981754935973,1.306653814529317,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:46:00.000000000,147.06,144.53,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:47:00.000000000,147.26,144.63,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:48:00.000000000,146.85,144.5,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:49:00.000000000,147.0,144.26,0.1609734639262382,123.77796809400087,1.2947823279572332,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:50:00.000000000,146.975,144.27,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:51:00.000000000,146.94,144.36,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:52:00.000000000,147.025,144.16,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:53:00.000000000,147.16,144.19,0.1603554919293245,124.0383416187107,1.2956138878248538,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:54:00.000000000,146.98,144.18,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:55:00.000000000,146.96,144.08,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:56:00.000000000,147.03,143.995,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:57:00.000000000,147.12,143.54,0.1604576183344977,124.08791346426621,1.2892078893213166,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:58:00.000000000,147.12,143.78,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,13:59:00.000000000,147.25,143.75,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:00:00.000000000,147.19,143.97,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:01:00.000000000,147.31,143.84,0.16022320049810423,124.26349484035269,1.287356149983406,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:02:00.000000000,147.26,143.68,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:03:00.000000000,147.14,143.6208,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:04:00.000000000,147.11,143.43,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:05:00.000000000,147.205,143.38,0.16043625462829328,124.20164981139533,1.2772482978264712,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:06:00.000000000,147.12,143.2,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:07:00.000000000,147.17,142.77,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:08:00.000000000,147.11,143.08,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:09:00.000000000,147.32,143.645,0.1605485526200739,124.25800315888948,1.271411015822072,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:10:00.000000000,147.3,143.465,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:11:00.000000000,147.33,143.29,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:12:00.000000000,147.345,143.275,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:13:00.000000000,147.26,143.31,0.16099306171607053,124.18808432546993,1.2612252577046763,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:14:00.000000000,147.37,143.39,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:15:00.000000000,147.39,143.47,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:16:00.000000000,147.48,143.44,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:17:00.000000000,147.495,143.35,0.16118822497411758,124.38866794996025,1.2607784537058915,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:18:00.000000000,147.5,143.44,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:19:00.000000000,147.65,143.515,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:20:00.000000000,147.66,143.73,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:21:00.000000000,147.63,143.86,0.16102842552417465,124.46445070409223,1.25595965616649,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:22:00.000000000,147.7,143.755,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:23:00.000000000,147.69,144.01,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-04-18,14:24:00.000000000,147.82,144.22,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
