,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_ADSK_ILMN_beta_win,params_ADSK_ILMN_stop_loss,params_ADSK_ILMN_trade_freq,params_ADSK_ILMN_z_entry,params_ADSK_ILMN_z_exit,params_ADSK_ILMN_z_stop_scaler,params_ADSK_ILMN_z_win,params_AMGN_ILMN_beta_win,params_AMGN_ILMN_stop_loss,params_AMGN_ILMN_trade_freq,params_AMGN_ILMN_z_entry,params_AMGN_ILMN_z_exit,params_AMGN_ILMN_z_stop_scaler,params_AMGN_ILMN_z_win,params_ATVI_INTU_beta_win,params_ATVI_INTU_stop_loss,params_ATVI_INTU_trade_freq,params_ATVI_INTU_z_entry,params_ATVI_INTU_z_exit,params_ATVI_INTU_z_stop_scaler,params_ATVI_INTU_z_win,params_CHTR_DLTR_beta_win,params_CHTR_DLTR_stop_loss,params_CHTR_DLTR_trade_freq,params_CHTR_DLTR_z_entry,params_CHTR_DLTR_z_exit,params_CHTR_DLTR_z_stop_scaler,params_CHTR_DLTR_z_win,params_DDOG_ILMN_beta_win,params_DDOG_ILMN_stop_loss,params_DDOG_ILMN_trade_freq,params_DDOG_ILMN_z_entry,params_DDOG_ILMN_z_exit,params_DDOG_ILMN_z_stop_scaler,params_DDOG_ILMN_z_win,params_DLTR_ILMN_beta_win,params_DLTR_ILMN_stop_loss,params_DLTR_ILMN_trade_freq,params_DLTR_ILMN_z_entry,params_DLTR_ILMN_z_exit,params_DLTR_ILMN_z_stop_scaler,params_DLTR_ILMN_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_FANG_ILMN_beta_win,params_FANG_ILMN_stop_loss,params_FANG_ILMN_trade_freq,params_FANG_ILMN_z_entry,params_FANG_ILMN_z_exit,params_FANG_ILMN_z_stop_scaler,params_FANG_ILMN_z_win,params_GFS_ILMN_beta_win,params_GFS_ILMN_stop_loss,params_GFS_ILMN_trade_freq,params_GFS_ILMN_z_entry,params_GFS_ILMN_z_exit,params_GFS_ILMN_z_stop_scaler,params_GFS_ILMN_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-0.9076647355884934,2025-06-16 00:21:02.411832,2025-06-16 00:21:09.744834,0 days 00:00:07.333002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.05,7m,0.8,1.3,1.1,48,,,,,,,,0.5,1,COMPLETE
11,11,-8.151202754014067,2025-06-16 00:21:09.778003,2025-06-16 00:21:13.992731,0 days 00:00:04.214728,648.0,0.025,6m,0.5,1.4,1.9000000000000001,96.0,40.0,0.05,8m,1.5,0.5,1.2000000000000002,120.0,,,,,,,,848.0,0.05,7m,1.5,1.5,2.0,1024.0,768.0,0.05,4m,0.5,1.2000000000000002,2.0,576.0,,,,,,,,,,,,,,,576.0,0.025,2m,1.1,1.5,2.0,48.0,312,0.025,1m,1.0,1.2000000000000002,2.0,984,1008.0,0.025,3m,1.2000000000000002,0.5,2.0,120.0,0.45,7,COMPLETE
12,12,-14.901174424919159,2025-06-16 00:21:14.061145,2025-06-16 00:21:18.124584,0 days 00:00:04.063439,776.0,0.05,7m,0.7,1.2000000000000002,2.0,632.0,,,,,,,,,,,,,,,,,,,,,,40.0,0.05,1m,0.5,1.2000000000000002,2.0,24.0,,,,,,,,,,,,,,,432.0,0.025,5m,1.2000000000000002,0.9,1.7000000000000002,16.0,96,0.025,3m,0.8,0.8,1.8000000000000003,48,88.0,0.05,2m,1.1,0.8,2.0,464.0,0.25,5,COMPLETE
13,13,-0.5493626507150645,2025-06-16 00:21:18.208592,2025-06-16 00:21:26.206003,0 days 00:00:07.997411,440.0,0.025,3m,1.2000000000000002,1.1,1.7000000000000002,616.0,680.0,0.025,6m,1.0,0.5,1.4000000000000001,992.0,56.0,0.025,5m,1.5,0.6,1.1,24.0,600.0,0.025,7m,1.5,0.5,1.3,680.0,584.0,0.025,9m,1.4,0.5,1.7000000000000002,720.0,1008.0,0.025,3m,1.5,0.5,2.0,1024.0,336.0,0.05,4m,0.7,1.0,1.9000000000000001,672.0,736.0,0.025,9m,1.3,0.5,1.7000000000000002,192.0,408,0.05,10m,0.7,1.4,1.4000000000000001,800,80.0,0.025,5m,0.5,0.7,1.7000000000000002,216.0,0.4,10,COMPLETE
14,14,-0.561741338166431,2025-06-16 00:21:26.280513,2025-06-16 00:21:31.989847,0 days 00:00:05.709334,744.0,0.05,4m,0.8,0.9,1.8000000000000003,16.0,80.0,0.05,2m,1.5,1.5,1.8000000000000003,528.0,,,,,,,,608.0,0.05,3m,1.2000000000000002,1.5,2.0,80.0,24.0,0.05,10m,0.7,1.1,1.8000000000000003,200.0,,,,,,,,,,,,,,,240.0,0.025,5m,1.0,0.8,2.0,184.0,168,0.025,9m,1.2000000000000002,1.1,1.4000000000000001,256,960.0,0.025,1m,1.3,0.9,1.8000000000000003,560.0,0.35000000000000003,7,COMPLETE
15,15,-2.531214814155563,2025-06-16 00:21:32.073913,2025-06-16 00:21:39.120105,0 days 00:00:07.046192,472.0,0.025,8m,1.2000000000000002,1.5,1.4000000000000001,216.0,344.0,0.025,4m,1.1,0.7,1.3,736.0,392.0,0.025,2m,1.1,1.1,1.1,120.0,800.0,0.025,6m,1.1,1.2000000000000002,1.6,768.0,1008.0,0.025,5m,1.2000000000000002,1.5,1.9000000000000001,752.0,,,,,,,,,,,,,,,512.0,0.025,7m,1.5,1.1,1.4000000000000001,336.0,432,0.05,7m,1.1,0.8,1.8000000000000003,200,656.0,0.025,2m,1.0,1.5,1.4000000000000001,968.0,0.5,8,COMPLETE
16,16,-3.2360206776906835,2025-06-16 00:21:39.186612,2025-06-16 00:21:43.657620,0 days 00:00:04.471008,744.0,0.05,6m,1.2000000000000002,1.1,1.6,584.0,,,,,,,,,,,,,,,,,,,,,,512.0,0.05,2m,1.2000000000000002,0.9,1.6,304.0,,,,,,,,,,,,,,,72.0,0.05,2m,1.0,0.5,1.6,128.0,184,0.05,10m,0.7,1.0,1.8000000000000003,352,432.0,0.05,9m,0.5,1.3,1.8000000000000003,840.0,0.25,5,COMPLETE
17,17,-5.063410512660833,2025-06-16 00:21:43.720627,2025-06-16 00:21:45.996565,0 days 00:00:02.275938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856.0,0.025,6m,1.3,0.8,1.8000000000000003,384.0,456,0.025,8m,0.9,0.7,1.2000000000000002,128,792.0,0.025,3m,0.9,0.5,1.4000000000000001,272.0,0.4,3,COMPLETE
18,18,-1.3457198299116047,2025-06-16 00:21:46.065081,2025-06-16 00:21:54.084194,0 days 00:00:08.019113,576.0,0.025,8m,0.8,1.3,1.3,1008.0,808.0,0.05,5m,0.5,0.8,1.7000000000000002,104.0,144.0,0.05,5m,1.0,0.9,1.4000000000000001,328.0,288.0,0.05,4m,1.3,0.7,1.8000000000000003,304.0,240.0,0.05,8m,0.7,1.3,1.1,416.0,928.0,0.025,5m,1.5,1.5,1.1,16.0,856.0,0.025,7m,1.5,0.5,1.1,32.0,616.0,0.05,2m,1.1,1.4,1.1,464.0,232,0.05,2m,1.1,1.0,1.5,728,232.0,0.025,3m,1.2000000000000002,1.2000000000000002,1.9000000000000001,552.0,0.2,10,COMPLETE
19,19,-7.560819817933318,2025-06-16 00:21:54.142993,2025-06-16 00:21:58.498824,0 days 00:00:04.355831,384.0,0.05,6m,0.5,1.5,2.0,328.0,432.0,0.025,3m,1.2000000000000002,1.3,1.1,440.0,,,,,,,,,,,,,,,664.0,0.025,4m,0.6,0.7,1.4000000000000001,720.0,,,,,,,,,,,,,,,464.0,0.05,5m,1.3,1.1,1.5,112.0,104,0.025,6m,0.6,1.3,1.7000000000000002,360,24.0,0.05,2m,1.0,0.8,1.3,416.0,0.35000000000000003,6,COMPLETE
