,number,value,datetime_start,datetime_complete,duration,params_ADSK_ZM_beta_win,params_ADSK_ZM_stop_loss,params_ADSK_ZM_trade_freq,params_ADSK_ZM_z_entry,params_ADSK_ZM_z_exit,params_ADSK_ZM_z_stop_scaler,params_ADSK_ZM_z_win,params_AVGO_ILMN_beta_win,params_AVGO_ILMN_stop_loss,params_AVGO_ILMN_trade_freq,params_AVGO_ILMN_z_entry,params_AVGO_ILMN_z_exit,params_AVGO_ILMN_z_stop_scaler,params_AVGO_ILMN_z_win,params_DDOG_ILMN_beta_win,params_DDOG_ILMN_stop_loss,params_DDOG_ILMN_trade_freq,params_DDOG_ILMN_z_entry,params_DDOG_ILMN_z_exit,params_DDOG_ILMN_z_stop_scaler,params_DDOG_ILMN_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_KDP_ZM_beta_win,params_KDP_ZM_stop_loss,params_KDP_ZM_trade_freq,params_KDP_ZM_z_entry,params_KDP_ZM_z_exit,params_KDP_ZM_z_stop_scaler,params_KDP_ZM_z_win,params_LCID_ZM_beta_win,params_LCID_ZM_stop_loss,params_LCID_ZM_trade_freq,params_LCID_ZM_z_entry,params_LCID_ZM_z_exit,params_LCID_ZM_z_stop_scaler,params_LCID_ZM_z_win,params_LULU_VRTX_beta_win,params_LULU_VRTX_stop_loss,params_LULU_VRTX_trade_freq,params_LULU_VRTX_z_entry,params_LULU_VRTX_z_exit,params_LULU_VRTX_z_stop_scaler,params_LULU_VRTX_z_win,params_PAYX_ZM_beta_win,params_PAYX_ZM_stop_loss,params_PAYX_ZM_trade_freq,params_PAYX_ZM_z_entry,params_PAYX_ZM_z_exit,params_PAYX_ZM_z_stop_scaler,params_PAYX_ZM_z_win,params_PYPL_ZM_beta_win,params_PYPL_ZM_stop_loss,params_PYPL_ZM_trade_freq,params_PYPL_ZM_z_entry,params_PYPL_ZM_z_exit,params_PYPL_ZM_z_stop_scaler,params_PYPL_ZM_z_win,params_QCOM_ZM_beta_win,params_QCOM_ZM_stop_loss,params_QCOM_ZM_trade_freq,params_QCOM_ZM_z_entry,params_QCOM_ZM_z_exit,params_QCOM_ZM_z_stop_scaler,params_QCOM_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,1.1670554548036973,2025-06-16 00:21:06.380304,2025-06-16 00:21:13.215920,0 days 00:00:06.835616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0.05,10m,0.9,0.5,2.0,896,,,,,,,,0.05,1,COMPLETE
11,11,0.5971916213779891,2025-06-16 00:21:13.282465,2025-06-16 00:21:14.270713,0 days 00:00:00.988248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,0.05,10m,0.9,0.5,2.0,936,,,,,,,,0.05,1,COMPLETE
12,12,0.34766062873278986,2025-06-16 00:21:14.325100,2025-06-16 00:21:15.299918,0 days 00:00:00.974818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,0.05,10m,0.8,0.5,1.8000000000000003,896,,,,,,,,0.5,1,COMPLETE
13,13,1.0873242907857714,2025-06-16 00:21:15.378810,2025-06-16 00:21:19.706059,0 days 00:00:04.327249,1024.0,0.05,9m,1.0,0.8,1.5,1008.0,,,,,,,,1016.0,0.025,2m,1.5,1.5,2.0,16.0,400.0,0.05,10m,0.8,1.5,1.6,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,0.05,1m,1.1,0.7,2.0,760,40.0,0.025,4m,0.5,1.5,1.7000000000000002,720.0,0.05,5,COMPLETE
14,14,-3.128746564232435,2025-06-16 00:21:19.766719,2025-06-16 00:21:25.015239,0 days 00:00:05.248520,1008.0,0.05,9m,1.0,0.8,1.5,864.0,,,,,,,,1008.0,0.025,2m,1.5,1.5,2.0,32.0,392.0,0.05,10m,0.8,1.5,1.8000000000000003,16.0,,,,,,,,,,,,,,,,,,,,,,1008.0,0.05,10m,0.5,1.5,2.0,32.0,168,0.05,1m,1.1,0.8,2.0,792,528.0,0.025,9m,1.0,1.5,1.7000000000000002,992.0,0.2,6,COMPLETE
15,15,-3.1385719865624417,2025-06-16 00:21:25.083261,2025-06-16 00:21:27.916189,0 days 00:00:02.832928,752.0,0.05,9m,1.2000000000000002,0.8,1.8000000000000003,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,0.05,3m,0.8,0.7,1.8000000000000003,1016,488.0,0.025,6m,0.5,1.5,1.8000000000000003,768.0,0.15000000000000002,3,COMPLETE
16,16,-7.214579775072167,2025-06-16 00:21:27.967701,2025-06-16 00:21:37.211224,0 days 00:00:09.243523,560.0,0.05,1m,1.2000000000000002,0.5,1.7000000000000002,512.0,1024.0,0.025,1m,1.5,0.5,2.0,1008.0,720.0,0.025,2m,1.3,1.3,1.7000000000000002,40.0,32.0,0.05,4m,0.5,1.5,2.0,32.0,488.0,0.025,1m,1.3,0.5,1.1,72.0,16.0,0.025,2m,1.0,0.8,1.2000000000000002,480.0,32.0,0.05,8m,0.5,1.5,1.1,1008.0,728.0,0.05,3m,1.0,0.5,1.7000000000000002,400.0,16,0.05,1m,1.0,1.1,1.9000000000000001,744,56.0,0.025,7m,1.0,1.3,1.1,72.0,0.05,10,COMPLETE
17,17,-0.3147644485129494,2025-06-16 00:21:37.299735,2025-06-16 00:21:41.990697,0 days 00:00:04.690962,896.0,0.05,5m,0.9,0.8,1.4000000000000001,520.0,,,,,,,,72.0,0.025,9m,1.3,1.2000000000000002,1.8000000000000003,272.0,800.0,0.05,3m,1.2000000000000002,1.0,1.6,616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,0.05,9m,0.7,0.7,1.4000000000000001,840,584.0,0.025,9m,0.8,1.2000000000000002,2.0,808.0,0.15000000000000002,5,COMPLETE
18,18,-0.649919750935399,2025-06-16 00:21:42.094742,2025-06-16 00:21:43.975193,0 days 00:00:01.880451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,0.05,8m,1.1,1.5,2.0,664,416.0,0.025,4m,1.1,1.4,1.6,632.0,0.1,2,COMPLETE
19,19,-9.3042597392881,2025-06-16 00:21:44.008194,2025-06-16 00:21:50.006381,0 days 00:00:05.998187,736.0,0.05,9m,0.5,0.9,2.0,48.0,,,,,,,,1008.0,0.05,10m,1.2000000000000002,0.5,1.5,760.0,472.0,0.025,7m,0.8,0.8,1.4000000000000001,1000.0,512.0,0.025,8m,1.1,1.5,1.5,616.0,,,,,,,,,,,,,,,344.0,0.05,5m,1.0,1.5,1.1,160.0,288,0.05,1m,0.9,0.9,1.8000000000000003,1016,224.0,0.025,1m,0.6,1.1,1.8000000000000003,872.0,0.2,7,COMPLETE
