,number,value,datetime_start,datetime_complete,duration,params_AAPL_ATVI_beta_win,params_AAPL_ATVI_stop_loss,params_AAPL_ATVI_trade_freq,params_AAPL_ATVI_z_entry,params_AAPL_ATVI_z_exit,params_AAPL_ATVI_z_stop_scaler,params_AAPL_ATVI_z_win,params_ABNB_ATVI_beta_win,params_ABNB_ATVI_stop_loss,params_ABNB_ATVI_trade_freq,params_ABNB_ATVI_z_entry,params_ABNB_ATVI_z_exit,params_ABNB_ATVI_z_stop_scaler,params_ABNB_ATVI_z_win,params_ADBE_ATVI_beta_win,params_ADBE_ATVI_stop_loss,params_ADBE_ATVI_trade_freq,params_ADBE_ATVI_z_entry,params_ADBE_ATVI_z_exit,params_ADBE_ATVI_z_stop_scaler,params_ADBE_ATVI_z_win,params_ALGN_ATVI_beta_win,params_ALGN_ATVI_stop_loss,params_ALGN_ATVI_trade_freq,params_ALGN_ATVI_z_entry,params_ALGN_ATVI_z_exit,params_ALGN_ATVI_z_stop_scaler,params_ALGN_ATVI_z_win,params_AMAT_ATVI_beta_win,params_AMAT_ATVI_stop_loss,params_AMAT_ATVI_trade_freq,params_AMAT_ATVI_z_entry,params_AMAT_ATVI_z_exit,params_AMAT_ATVI_z_stop_scaler,params_AMAT_ATVI_z_win,params_AMD_ATVI_beta_win,params_AMD_ATVI_stop_loss,params_AMD_ATVI_trade_freq,params_AMD_ATVI_z_entry,params_AMD_ATVI_z_exit,params_AMD_ATVI_z_stop_scaler,params_AMD_ATVI_z_win,params_AMZN_ATVI_beta_win,params_AMZN_ATVI_stop_loss,params_AMZN_ATVI_trade_freq,params_AMZN_ATVI_z_entry,params_AMZN_ATVI_z_exit,params_AMZN_ATVI_z_stop_scaler,params_AMZN_ATVI_z_win,params_ATVI_ANSS_beta_win,params_ATVI_ANSS_stop_loss,params_ATVI_ANSS_trade_freq,params_ATVI_ANSS_z_entry,params_ATVI_ANSS_z_exit,params_ATVI_ANSS_z_stop_scaler,params_ATVI_ANSS_z_win,params_ATVI_MSFT_beta_win,params_ATVI_MSFT_stop_loss,params_ATVI_MSFT_trade_freq,params_ATVI_MSFT_z_entry,params_ATVI_MSFT_z_exit,params_ATVI_MSFT_z_stop_scaler,params_ATVI_MSFT_z_win,params_ATVI_PYPL_beta_win,params_ATVI_PYPL_stop_loss,params_ATVI_PYPL_trade_freq,params_ATVI_PYPL_z_entry,params_ATVI_PYPL_z_exit,params_ATVI_PYPL_z_stop_scaler,params_ATVI_PYPL_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-100.0,2025-06-15 23:38:02.236762,2025-06-15 23:38:16.187992,0 days 00:00:13.951230,,,,,,,,,,,,,,,32,0.05,1m,1.0,0.9,1.1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
11,11,-1.5782996337561817,2025-06-15 23:38:16.272453,2025-06-15 23:38:24.136100,0 days 00:00:07.863647,768.0,0.05,4m,0.5,1.2000000000000002,2.0,576.0,848.0,0.05,7m,1.5,1.5,2.0,1024.0,200,0.025,9m,1.2000000000000002,0.8,1.9000000000000001,792,784.0,0.05,6m,0.5,1.5,1.9000000000000001,104.0,,,,,,,,496.0,0.025,2m,1.5,1.0,2.0,40.0,120.0,0.05,3m,1.3,0.5,2.0,272.0,40.0,0.05,8m,1.5,0.5,1.2000000000000002,120.0,,,,,,,,,,,,,,,0.2,7,COMPLETE
12,12,-7.282364948071832,2025-06-15 23:38:24.224919,2025-06-15 23:38:42.078683,0 days 00:00:17.853764,40.0,0.05,1m,0.5,1.2000000000000002,2.0,24.0,576.0,0.025,7m,1.5,0.5,1.2000000000000002,656.0,344,0.025,10m,1.2000000000000002,0.7,1.8000000000000003,288,376.0,0.05,6m,0.7,1.0,2.0,72.0,1000.0,0.025,10m,1.5,0.5,2.0,888.0,592.0,0.025,9m,1.0,0.9,1.7000000000000002,24.0,32.0,0.05,1m,0.5,0.5,2.0,176.0,648.0,0.025,10m,1.0,1.5,1.4000000000000001,1024.0,64.0,0.025,5m,1.5,0.5,1.1,40.0,824.0,0.05,3m,0.8,0.7,1.9000000000000001,264.0,0.45,10,COMPLETE
13,13,-2.230573181837982,2025-06-15 23:38:42.228626,2025-06-15 23:38:50.912010,0 days 00:00:08.683384,,,,,,,,,,,,,,,88,0.05,5m,0.8,1.1,1.4000000000000001,680,,,,,,,,,,,,,,,408.0,0.025,2m,1.1,0.9,1.7000000000000002,192.0,320.0,0.05,9m,1.1,0.7,1.7000000000000002,376.0,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
14,14,1.1715624581666566,2025-06-15 23:38:51.050480,2025-06-15 23:39:05.761829,0 days 00:00:14.711349,608.0,0.025,5m,1.3,1.0,1.7000000000000002,736.0,616.0,0.05,6m,1.2000000000000002,1.5,2.0,56.0,416,0.025,3m,1.2000000000000002,0.9,1.8000000000000003,56,768.0,0.05,7m,0.8,1.2000000000000002,1.8000000000000003,656.0,,,,,,,,760.0,0.025,10m,1.5,1.1,2.0,136.0,200.0,0.05,5m,1.5,0.8,1.8000000000000003,472.0,40.0,0.05,5m,1.5,0.5,1.8000000000000003,544.0,,,,,,,,,,,,,,,0.4,7,COMPLETE
15,15,-0.5313497002056959,2025-06-15 23:39:05.858322,2025-06-15 23:39:11.976197,0 days 00:00:06.117875,624.0,0.025,5m,1.4,0.5,1.7000000000000002,792.0,,,,,,,,440,0.05,3m,1.1,1.4,1.4000000000000001,40,800.0,0.05,7m,0.8,1.5,1.7000000000000002,696.0,,,,,,,,744.0,0.025,10m,1.5,1.5,1.7000000000000002,440.0,448.0,0.05,5m,1.5,0.8,1.4000000000000001,504.0,,,,,,,,,,,,,,,,,,,,,,0.2,5,COMPLETE
16,16,-0.8333835244611486,2025-06-15 23:39:12.063228,2025-06-15 23:39:18.938532,0 days 00:00:06.875304,992.0,0.025,2m,1.2000000000000002,1.5,1.6,760.0,,,,,,,,464,0.025,3m,0.8,1.0,2.0,960,448.0,0.025,7m,1.2000000000000002,0.8,1.7000000000000002,992.0,,,,,,,,248.0,0.025,10m,1.0,1.2000000000000002,1.1,136.0,272.0,0.05,6m,1.4,0.8,1.8000000000000003,488.0,360.0,0.05,5m,1.1,0.6,1.8000000000000003,440.0,,,,,,,,,,,,,,,0.5,6,COMPLETE
17,17,-100.0,2025-06-15 23:39:19.029191,2025-06-15 23:39:20.477524,0 days 00:00:01.448333,,,,,,,,,,,,,,,320,0.05,5m,1.3,0.9,1.2000000000000002,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
18,18,-0.29618448709840445,2025-06-15 23:39:20.571831,2025-06-15 23:39:24.229331,0 days 00:00:03.657500,,,,,,,,,,,,,,,144,0.05,3m,0.9,1.3,1.8000000000000003,840,,,,,,,,,,,,,,,568.0,0.025,7m,1.2000000000000002,1.2000000000000002,1.8000000000000003,336.0,424.0,0.05,5m,1.3,0.9,1.4000000000000001,24.0,,,,,,,,,,,,,,,,,,,,,,0.4,3,COMPLETE
19,19,-2.7901592745486377,2025-06-15 23:39:24.347537,2025-06-15 23:39:29.992751,0 days 00:00:05.645214,584.0,0.025,5m,1.2000000000000002,1.2000000000000002,1.2000000000000002,336.0,,,,,,,,984,0.025,2m,1.4,1.0,1.4000000000000001,88,968.0,0.05,4m,1.2000000000000002,1.1,1.5,600.0,,,,,,,,416.0,0.025,6m,1.5,1.4,1.6,112.0,584.0,0.05,6m,1.0,0.7,1.7000000000000002,368.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
