,number,value,datetime_start,datetime_complete,duration,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_CDW_PCAR_beta_win,params_CDW_PCAR_stop_loss,params_CDW_PCAR_trade_freq,params_CDW_PCAR_z_entry,params_CDW_PCAR_z_exit,params_CDW_PCAR_z_stop_scaler,params_CDW_PCAR_z_win,params_DASH_GEHC_beta_win,params_DASH_GEHC_stop_loss,params_DASH_GEHC_trade_freq,params_DASH_GEHC_z_entry,params_DASH_GEHC_z_exit,params_DASH_GEHC_z_stop_scaler,params_DASH_GEHC_z_win,params_FANG_WBD_beta_win,params_FANG_WBD_stop_loss,params_FANG_WBD_trade_freq,params_FANG_WBD_z_entry,params_FANG_WBD_z_exit,params_FANG_WBD_z_stop_scaler,params_FANG_WBD_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_HON_ROP_beta_win,params_HON_ROP_stop_loss,params_HON_ROP_trade_freq,params_HON_ROP_z_entry,params_HON_ROP_z_exit,params_HON_ROP_z_stop_scaler,params_HON_ROP_z_win,params_MAR_MRVL_beta_win,params_MAR_MRVL_stop_loss,params_MAR_MRVL_trade_freq,params_MAR_MRVL_z_entry,params_MAR_MRVL_z_exit,params_MAR_MRVL_z_stop_scaler,params_MAR_MRVL_z_win,params_NVDA_WBD_beta_win,params_NVDA_WBD_stop_loss,params_NVDA_WBD_trade_freq,params_NVDA_WBD_z_entry,params_NVDA_WBD_z_exit,params_NVDA_WBD_z_stop_scaler,params_NVDA_WBD_z_win,params_PAYX_PYPL_beta_win,params_PAYX_PYPL_stop_loss,params_PAYX_PYPL_trade_freq,params_PAYX_PYPL_z_entry,params_PAYX_PYPL_z_exit,params_PAYX_PYPL_z_stop_scaler,params_PAYX_PYPL_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-0.6733163348391237,2025-06-16 00:47:22.199747,2025-06-16 00:47:23.150213,0 days 00:00:00.950466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0.05,10m,0.9,0.5,2.0,896,0.05,1,COMPLETE
11,11,-1.7591682593152898,2025-06-16 00:47:23.204051,2025-06-16 00:47:27.037015,0 days 00:00:03.832964,856.0,0.025,4m,1.0,1.5,1.3,864.0,656.0,0.05,4m,0.5,0.5,1.1,776.0,,,,,,,,1008.0,0.025,9m,1.5,1.5,2.0,48.0,,,,,,,,352.0,0.025,2m,0.9,1.5,1.5,1024.0,,,,,,,,,,,,,,,,,,,,,,168,0.05,2m,1.5,1.5,1.4000000000000001,792,0.5,5,COMPLETE
12,12,-4.222597379373562,2025-06-16 00:47:27.109929,2025-06-16 00:47:30.180492,0 days 00:00:03.070563,744.0,0.05,9m,1.0,1.5,1.4000000000000001,616.0,536.0,0.05,4m,1.1,0.8,1.3,760.0,,,,,,,,,,,,,,,,,,,,,,72.0,0.05,10m,0.8,1.0,1.4000000000000001,24.0,,,,,,,,,,,,,,,,,,,,,,392,0.05,1m,1.5,1.5,1.4000000000000001,736,0.45,4,COMPLETE
13,13,-4.851575466036411,2025-06-16 00:47:30.234903,2025-06-16 00:47:33.984247,0 days 00:00:03.749344,696.0,0.025,1m,0.9,1.3,1.7000000000000002,856.0,80.0,0.05,4m,0.9,0.5,1.7000000000000002,728.0,,,,,,,,32.0,0.025,2m,1.2000000000000002,0.5,1.1,752.0,,,,,,,,368.0,0.025,3m,1.2000000000000002,1.2000000000000002,1.7000000000000002,720.0,,,,,,,,,,,,,,,,,,,,,,768,0.05,2m,1.2000000000000002,1.3,1.3,1000,0.2,5,COMPLETE
14,14,-1.3325669335510573,2025-06-16 00:47:34.047350,2025-06-16 00:47:36.528530,0 days 00:00:02.481180,968.0,0.025,5m,0.5,1.5,1.3,480.0,672.0,0.05,6m,0.5,0.7,1.2000000000000002,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,0.05,9m,0.8,1.1,1.8000000000000003,736,0.4,3,COMPLETE
15,15,-1.9470302775232855,2025-06-16 00:47:36.616547,2025-06-16 00:47:41.103461,0 days 00:00:04.486914,744.0,0.025,6m,0.9,0.9,1.3,800.0,464.0,0.025,7m,1.0,1.5,1.5,624.0,,,,,,,,672.0,0.05,10m,0.6,1.2000000000000002,1.7000000000000002,256.0,,,,,,,,488.0,0.05,4m,0.8,0.8,1.3,712.0,952.0,0.05,5m,0.5,1.5,1.9000000000000001,48.0,,,,,,,,,,,,,,,488,0.05,3m,1.3,1.4,1.4000000000000001,328,0.05,6,COMPLETE
16,16,-100.0,2025-06-16 00:47:41.161605,2025-06-16 00:47:42.017678,0 days 00:00:00.856073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.05,10m,1.4,0.9,1.2000000000000002,656,0.2,1,COMPLETE
17,17,-4.074302900889789,2025-06-16 00:47:42.088183,2025-06-16 00:47:45.310985,0 days 00:00:03.222802,616.0,0.05,4m,1.2000000000000002,1.3,2.0,552.0,664.0,0.05,9m,1.1,0.8,1.1,32.0,,,,,,,,,,,,,,,,,,,,,,768.0,0.025,10m,1.1,1.5,1.6,1008.0,,,,,,,,,,,,,,,,,,,,,,952,0.05,2m,1.1,0.5,1.5,160,0.5,4,COMPLETE
18,18,-2.3874586527662824,2025-06-16 00:47:45.387770,2025-06-16 00:47:47.691946,0 days 00:00:02.304176,864.0,0.025,6m,0.8,1.4,1.2000000000000002,960.0,32.0,0.05,4m,0.6,1.1,1.3,872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,0.05,6m,1.4,1.1,1.8000000000000003,872,0.4,3,COMPLETE
19,19,-1.6209097446319634,2025-06-16 00:47:47.764094,2025-06-16 00:47:53.236111,0 days 00:00:05.472017,472.0,0.025,4m,1.2000000000000002,1.1,1.5,736.0,208.0,0.025,4m,0.9,0.7,1.7000000000000002,640.0,,,,,,,,648.0,0.025,5m,1.2000000000000002,1.3,1.4000000000000001,296.0,,,,,,,,192.0,0.05,2m,0.8,1.3,2.0,208.0,680.0,0.05,2m,0.9,0.5,1.7000000000000002,320.0,520.0,0.025,6m,1.4,0.5,1.1,96.0,,,,,,,,440,0.05,8m,1.1,0.8,1.5,392,0.25,7,COMPLETE
