,number,value,datetime_start,datetime_complete,duration,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_CDW_PCAR_beta_win,params_CDW_PCAR_stop_loss,params_CDW_PCAR_trade_freq,params_CDW_PCAR_z_entry,params_CDW_PCAR_z_exit,params_CDW_PCAR_z_stop_scaler,params_CDW_PCAR_z_win,params_DASH_GEHC_beta_win,params_DASH_GEHC_stop_loss,params_DASH_GEHC_trade_freq,params_DASH_GEHC_z_entry,params_DASH_GEHC_z_exit,params_DASH_GEHC_z_stop_scaler,params_DASH_GEHC_z_win,params_FANG_WBD_beta_win,params_FANG_WBD_stop_loss,params_FANG_WBD_trade_freq,params_FANG_WBD_z_entry,params_FANG_WBD_z_exit,params_FANG_WBD_z_stop_scaler,params_FANG_WBD_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_HON_ROP_beta_win,params_HON_ROP_stop_loss,params_HON_ROP_trade_freq,params_HON_ROP_z_entry,params_HON_ROP_z_exit,params_HON_ROP_z_stop_scaler,params_HON_ROP_z_win,params_MAR_MRVL_beta_win,params_MAR_MRVL_stop_loss,params_MAR_MRVL_trade_freq,params_MAR_MRVL_z_entry,params_MAR_MRVL_z_exit,params_MAR_MRVL_z_stop_scaler,params_MAR_MRVL_z_win,params_NVDA_WBD_beta_win,params_NVDA_WBD_stop_loss,params_NVDA_WBD_trade_freq,params_NVDA_WBD_z_entry,params_NVDA_WBD_z_exit,params_NVDA_WBD_z_stop_scaler,params_NVDA_WBD_z_win,params_PAYX_PYPL_beta_win,params_PAYX_PYPL_stop_loss,params_PAYX_PYPL_trade_freq,params_PAYX_PYPL_z_entry,params_PAYX_PYPL_z_exit,params_PAYX_PYPL_z_stop_scaler,params_PAYX_PYPL_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,0.6557409199438331,2025-06-16 00:48:20.633963,2025-06-16 00:48:23.068615,0 days 00:00:02.434652,56.0,0.025,8m,1.1,1.2000000000000002,1.4000000000000001,432.0,184.0,0.025,8m,0.9,0.5,1.5,408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,0.05,10m,1.2000000000000002,1.0,1.1,784,0.25,3,COMPLETE
31,31,0.2384961132448317,2025-06-16 00:48:23.118584,2025-06-16 00:48:25.647151,0 days 00:00:02.528567,88.0,0.025,8m,1.1,1.2000000000000002,1.4000000000000001,424.0,24.0,0.025,8m,0.9,0.5,1.5,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,0.05,10m,1.2000000000000002,1.0,1.1,816,0.25,3,COMPLETE
32,32,-0.140340892960704,2025-06-16 00:48:25.724185,2025-06-16 00:48:28.039151,0 days 00:00:02.314966,48.0,0.025,8m,1.1,1.2000000000000002,1.4000000000000001,416.0,24.0,0.025,8m,0.8,0.5,1.5,368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,0.05,10m,1.0,1.0,1.1,736,0.2,3,COMPLETE
33,33,0.15388929625433567,2025-06-16 00:48:28.108453,2025-06-16 00:48:30.405346,0 days 00:00:02.296893,16.0,0.025,8m,1.1,1.2000000000000002,1.4000000000000001,568.0,208.0,0.025,8m,0.9,0.5,1.5,568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,0.05,10m,1.3,1.1,1.1,800,0.25,3,COMPLETE
34,34,-0.09637260906629047,2025-06-16 00:48:30.487484,2025-06-16 00:48:33.628423,0 days 00:00:03.140939,152.0,0.025,8m,1.1,1.2000000000000002,1.6,544.0,272.0,0.025,8m,0.9,0.5,1.6,304.0,,,,,,,,,,,,,,,,,,,,,,784.0,0.05,1m,1.5,1.4,1.6,168.0,,,,,,,,,,,,,,,,,,,,,,392,0.025,10m,1.0,1.1,1.1,936,0.15000000000000002,4,COMPLETE
35,35,-0.40277135723076285,2025-06-16 00:48:33.842554,2025-06-16 00:48:39.963840,0 days 00:00:06.121286,192.0,0.025,8m,1.2000000000000002,1.0,1.5,424.0,80.0,0.025,8m,0.8,0.7,1.4000000000000001,560.0,,,,,,,,600.0,0.05,3m,1.3,0.8,1.9000000000000001,416.0,,,,,,,,1000.0,0.05,5m,0.7,1.1,1.8000000000000003,320.0,,,,,,,,,,,,,,,,,,,,,,440,0.05,10m,1.1,1.1,1.7000000000000002,680,0.3,5,COMPLETE
36,36,0.052414041301792856,2025-06-16 00:48:40.103194,2025-06-16 00:48:46.416441,0 days 00:00:06.313247,80.0,0.025,8m,1.3,1.2000000000000002,1.4000000000000001,320.0,336.0,0.025,8m,0.7,0.5,1.5,408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,0.025,10m,1.2000000000000002,0.9,1.2000000000000002,752,0.2,3,COMPLETE
37,37,-1.2274254320882536,2025-06-16 00:48:46.553238,2025-06-16 00:48:57.423940,0 days 00:00:10.870702,240.0,0.025,8m,0.9,1.1,1.8000000000000003,600.0,216.0,0.025,8m,0.6,1.0,1.6,336.0,,,,,,,,824.0,0.025,8m,0.8,1.3,1.6,744.0,,,,,,,,648.0,0.05,7m,0.5,1.4,1.4000000000000001,112.0,352.0,0.025,6m,0.7,1.3,1.4000000000000001,568.0,,,,,,,,,,,,,,,352,0.05,10m,1.2000000000000002,1.2000000000000002,1.1,832,0.3,6,COMPLETE
38,38,-0.25031404728813345,2025-06-16 00:48:57.534543,2025-06-16 00:48:59.940379,0 days 00:00:02.405836,,,,,,,,88.0,0.025,2m,1.0,0.6,1.4000000000000001,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,0.05,10m,1.3,1.3,1.6,568,0.2,2,COMPLETE
39,39,-0.21115734176832493,2025-06-16 00:49:00.030195,2025-06-16 00:49:03.823625,0 days 00:00:03.793430,280.0,0.025,9m,1.1,0.9,1.4000000000000001,272.0,392.0,0.025,8m,0.8,1.1,1.6,440.0,,,,,,,,,,,,,,,,,,,,,,792.0,0.05,3m,1.3,1.0,2.0,320.0,,,,,,,,,,,,,,,,,,,,,,672,0.05,6m,1.3,1.2000000000000002,1.2000000000000002,944,0.25,4,COMPLETE
40,40,-13.447379575068997,2025-06-16 00:49:03.888488,2025-06-16 00:49:06.236684,0 days 00:00:02.348196,424.0,0.025,5m,1.3,1.0,1.6,152.0,16.0,0.025,1m,0.6,0.7,1.5,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,0.025,10m,0.9,0.9,1.6,704,0.35000000000000003,3,COMPLETE
41,41,0.019381440233412487,2025-06-16 00:49:06.293556,2025-06-16 00:49:08.645757,0 days 00:00:02.352201,72.0,0.025,8m,1.1,1.4,1.4000000000000001,344.0,176.0,0.025,8m,1.0,0.5,1.5,712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,0.05,10m,1.3,1.0,1.1,776,0.25,3,COMPLETE
42,42,0.2824409666333435,2025-06-16 00:49:08.699044,2025-06-16 00:49:11.787442,0 days 00:00:03.088398,32.0,0.025,8m,1.0,1.3,1.5,672.0,160.0,0.025,8m,0.9,0.5,1.5,584.0,,,,,,,,,,,,,,,,,,,,,,568.0,0.05,4m,0.9,1.2000000000000002,1.7000000000000002,624.0,,,,,,,,,,,,,,,,,,,,,,568,0.05,10m,1.5,1.0,1.1,824,0.25,4,COMPLETE
43,43,-0.8191743474508112,2025-06-16 00:49:11.868039,2025-06-16 00:49:14.916196,0 days 00:00:03.048157,104.0,0.025,8m,1.0,1.3,1.5,472.0,256.0,0.025,3m,0.9,0.6,1.4000000000000001,568.0,,,,,,,,,,,,,,,,,,,,,,552.0,0.05,4m,0.9,1.2000000000000002,1.7000000000000002,600.0,,,,,,,,,,,,,,,,,,,,,,728,0.05,7m,1.5,1.0,1.1,832,0.3,4,COMPLETE
44,44,-1.313587587605711,2025-06-16 00:49:14.974421,2025-06-16 00:49:18.927334,0 days 00:00:03.952913,16.0,0.025,3m,0.9,1.2000000000000002,1.7000000000000002,680.0,128.0,0.025,8m,0.9,0.5,1.7000000000000002,504.0,,,,,,,,208.0,0.05,10m,1.4,1.0,1.2000000000000002,424.0,,,,,,,,424.0,0.05,4m,0.7,1.3,1.8000000000000003,416.0,,,,,,,,,,,,,,,,,,,,,,584,0.05,8m,1.5,1.1,1.2000000000000002,848,0.3,5,COMPLETE
45,45,0.64186184392952,2025-06-16 00:49:18.982203,2025-06-16 00:49:21.980236,0 days 00:00:02.998033,144.0,0.025,6m,1.0,1.1,1.5,656.0,328.0,0.025,8m,0.8,0.6,2.0,600.0,,,,,,,,,,,,,,,,,,,,,,712.0,0.05,9m,1.1,1.4,1.6,656.0,,,,,,,,,,,,,,,,,,,,,,456,0.05,10m,1.4,0.8,1.7000000000000002,912,0.2,4,COMPLETE
46,46,0.019885037857171897,2025-06-16 00:49:22.053838,2025-06-16 00:49:25.824737,0 days 00:00:03.770899,136.0,0.025,6m,0.8,1.1,1.6,640.0,336.0,0.025,2m,0.7,0.6,2.0,672.0,,,,,,,,488.0,0.025,5m,1.0,0.6,1.5,160.0,,,,,,,,720.0,0.05,9m,1.1,1.4,1.6,600.0,,,,,,,,,,,,,,,,,,,,,,544,0.05,10m,1.5,0.8,1.8000000000000003,912,0.05,5,COMPLETE
47,47,-3.1231869404533072,2025-06-16 00:49:25.921214,2025-06-16 00:49:31.481916,0 days 00:00:05.560702,168.0,0.025,6m,1.0,1.3,1.5,384.0,64.0,0.025,8m,0.8,0.6,1.9000000000000001,264.0,,,,,,,,144.0,0.05,1m,0.7,1.1,2.0,888.0,,,,,,,,904.0,0.05,9m,1.0,1.5,1.5,688.0,400.0,0.05,7m,1.1,0.5,1.8000000000000003,240.0,336.0,0.025,3m,1.0,0.5,1.4000000000000001,24.0,,,,,,,,344,0.05,10m,1.4,0.9,1.7000000000000002,968,0.2,7,COMPLETE
48,48,-2.0505085998534622,2025-06-16 00:49:31.542859,2025-06-16 00:49:34.593632,0 days 00:00:03.050773,224.0,0.025,10m,0.9,1.1,1.6,680.0,1024.0,0.025,5m,0.7,0.7,1.9000000000000001,600.0,,,,,,,,,,,,,,,,,,,,,,584.0,0.05,6m,1.2000000000000002,1.1,1.7000000000000002,536.0,,,,,,,,,,,,,,,,,,,,,,184,0.05,1m,1.5,0.8,1.9000000000000001,24,0.1,4,COMPLETE
49,49,-2.2928643119949017,2025-06-16 00:49:34.673890,2025-06-16 00:49:39.203764,0 days 00:00:04.529874,576.0,0.025,6m,1.0,1.3,1.3,720.0,152.0,0.025,3m,0.5,0.8,1.8000000000000003,528.0,,,,,,,,784.0,0.025,7m,1.1,1.4,1.8000000000000003,624.0,,,,,,,,720.0,0.05,4m,1.0,1.3,1.6,896.0,104.0,0.025,3m,1.5,1.2000000000000002,1.1,520.0,,,,,,,,,,,,,,,376,0.05,10m,1.4,1.0,1.7000000000000002,632,0.15000000000000002,6,COMPLETE
50,50,-27.025038508207157,2025-06-16 00:49:39.273146,2025-06-16 00:49:42.750636,0 days 00:00:03.477490,112.0,0.025,7m,1.3,1.2000000000000002,1.5,512.0,240.0,0.025,1m,0.8,1.3,1.3,416.0,,,,,,,,,,,,,,,,,,,,,,872.0,0.05,1m,0.7,1.4,1.9000000000000001,456.0,,,,,,,,,,,,,,,,,,,,,,672,0.05,9m,1.4,0.9,1.5,704,0.2,4,COMPLETE
51,51,0.21780716751396176,2025-06-16 00:49:42.832432,2025-06-16 00:49:45.435499,0 days 00:00:02.603067,56.0,0.025,8m,1.1,1.2000000000000002,1.4000000000000001,576.0,304.0,0.025,8m,0.9,0.5,1.5,592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,0.05,10m,1.3,1.1,1.1,872,0.25,3,COMPLETE
52,52,-0.30179388022823644,2025-06-16 00:49:45.498458,2025-06-16 00:49:48.555672,0 days 00:00:03.057214,72.0,0.025,8m,1.2000000000000002,1.1,1.3,432.0,64.0,0.025,8m,0.9,0.5,1.5,488.0,,,,,,,,,,,,,,,,,,,,,,592.0,0.05,9m,0.9,1.2000000000000002,1.5,672.0,,,,,,,,,,,,,,,,,,,,,,592,0.05,10m,1.5,1.1,1.6,880,0.25,4,COMPLETE
53,53,0.013090511945334655,2025-06-16 00:49:48.667773,2025-06-16 00:49:50.506837,0 days 00:00:01.839064,,,,,,,,312.0,0.025,8m,1.0,0.6,1.6,680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,0.05,10m,1.4,1.2000000000000002,1.3,992,0.2,2,COMPLETE
54,54,0.993806904483303,2025-06-16 00:49:50.558970,2025-06-16 00:49:54.641541,0 days 00:00:04.082571,168.0,0.025,8m,1.0,1.3,1.5,584.0,424.0,0.025,4m,1.1,0.5,1.4000000000000001,352.0,,,,,,,,384.0,0.05,6m,0.5,0.8,1.2000000000000002,1024.0,,,,,,,,696.0,0.05,10m,1.3,1.0,1.3,776.0,,,,,,,,,,,,,,,,,,,,,,408,0.05,7m,0.6,1.0,1.2000000000000002,920,0.3,5,COMPLETE
55,55,0.10258050930933649,2025-06-16 00:49:54.721890,2025-06-16 00:49:58.861775,0 days 00:00:04.139885,192.0,0.025,2m,1.0,1.4,1.5,672.0,432.0,0.05,4m,1.1,0.6,1.4000000000000001,360.0,,,,,,,,416.0,0.05,6m,0.5,0.8,1.2000000000000002,1024.0,,,,,,,,688.0,0.05,10m,1.3,1.0,1.3,768.0,,,,,,,,,,,,,,,,,,,,,,416,0.05,7m,0.7,1.0,1.2000000000000002,920,0.3,5,COMPLETE
56,56,0.9968294583779278,2025-06-16 00:49:58.920299,2025-06-16 00:50:03.162257,0 days 00:00:04.241958,288.0,0.025,3m,0.9,1.3,1.2000000000000002,656.0,104.0,0.025,4m,1.1,0.7,1.3,304.0,,,,,,,,560.0,0.05,6m,0.8,0.9,1.2000000000000002,848.0,,,,,,,,808.0,0.05,10m,1.3,1.1,1.3,944.0,,,,,,,,,,,,,,,,,,,,,,544,0.05,7m,0.6,0.9,1.8000000000000003,976,0.3,5,COMPLETE
57,57,0.47868162072764525,2025-06-16 00:50:03.221811,2025-06-16 00:50:08.040873,0 days 00:00:04.819062,384.0,0.025,3m,0.8,1.3,1.1,752.0,464.0,0.025,4m,1.1,0.7,1.3,296.0,,,,,,,,560.0,0.05,6m,0.7,0.9,1.2000000000000002,872.0,,,,,,,,832.0,0.05,10m,1.3,1.1,1.3,888.0,792.0,0.05,4m,1.0,0.8,2.0,1008.0,,,,,,,,,,,,,,,544,0.05,7m,0.6,0.9,1.9000000000000001,984,0.35000000000000003,6,COMPLETE
58,58,-1.6732514787780104,2025-06-16 00:50:08.099406,2025-06-16 00:50:13.611308,0 days 00:00:05.511902,384.0,0.025,3m,0.8,1.3,1.1,816.0,488.0,0.05,4m,1.1,0.7,1.3,184.0,,,,,,,,552.0,0.05,6m,0.7,0.9,1.2000000000000002,880.0,,,,,,,,856.0,0.05,10m,1.4,0.9,1.3,944.0,848.0,0.05,4m,1.0,0.8,2.0,992.0,752.0,0.05,4m,0.5,0.8,2.0,768.0,,,,,,,,272,0.05,7m,0.6,0.9,1.9000000000000001,1024,0.4,7,COMPLETE
59,59,1.5981239134540524,2025-06-16 00:50:13.689763,2025-06-16 00:50:18.379134,0 days 00:00:04.689371,296.0,0.05,3m,0.6,1.4,1.2000000000000002,720.0,536.0,0.025,4m,1.1,0.8,1.2000000000000002,312.0,,,,,,,,488.0,0.05,6m,0.7,0.9,1.3,824.0,,,,,,,,936.0,0.05,10m,1.3,1.1,1.1,816.0,1016.0,0.05,4m,1.3,0.7,1.8000000000000003,840.0,,,,,,,,,,,,,,,320,0.05,7m,0.6,0.8,1.8000000000000003,984,0.35000000000000003,6,COMPLETE
60,60,-1.065087175853373,2025-06-16 00:50:18.445595,2025-06-16 00:50:24.648469,0 days 00:00:06.202874,272.0,0.05,3m,0.6,1.4,1.2000000000000002,632.0,624.0,0.025,4m,1.3,0.9,1.2000000000000002,136.0,,,,,,,,448.0,0.05,6m,0.6,0.8,1.3,808.0,,,,,,,,936.0,0.05,10m,1.5,1.0,1.1,784.0,584.0,0.05,4m,1.3,0.6,1.7000000000000002,808.0,1024.0,0.025,8m,1.0,0.7,1.7000000000000002,352.0,920.0,0.025,4m,1.0,0.5,2.0,32.0,336,0.05,7m,0.7,0.8,1.8000000000000003,912,0.35000000000000003,8,COMPLETE
61,61,1.2458148202545418,2025-06-16 00:50:24.721901,2025-06-16 00:50:29.309471,0 days 00:00:04.587570,304.0,0.05,3m,0.6,1.3,1.1,736.0,536.0,0.025,4m,1.1,0.8,1.2000000000000002,312.0,,,,,,,,520.0,0.05,6m,0.8,0.9,1.3,952.0,,,,,,,,824.0,0.05,10m,1.3,1.1,1.2000000000000002,896.0,1000.0,0.05,4m,1.2000000000000002,0.8,1.8000000000000003,1024.0,,,,,,,,,,,,,,,408,0.05,7m,0.5,0.8,2.0,968,0.35000000000000003,6,COMPLETE
62,62,1.5495589195874255,2025-06-16 00:50:29.383141,2025-06-16 00:50:33.871007,0 days 00:00:04.487866,320.0,0.05,3m,0.6,1.4,1.2000000000000002,720.0,552.0,0.025,4m,1.2000000000000002,0.8,1.1,232.0,,,,,,,,352.0,0.05,6m,0.8,1.0,1.3,936.0,,,,,,,,736.0,0.05,10m,1.4,1.1,1.2000000000000002,944.0,1008.0,0.05,4m,1.2000000000000002,0.9,1.8000000000000003,864.0,,,,,,,,,,,,,,,320,0.05,7m,0.5,0.7,2.0,992,0.35000000000000003,6,COMPLETE
63,63,0.5194565623957794,2025-06-16 00:50:33.936321,2025-06-16 00:50:37.964111,0 days 00:00:04.027790,288.0,0.05,3m,0.6,1.5,1.2000000000000002,824.0,552.0,0.025,4m,1.2000000000000002,1.0,1.1,248.0,,,,,,,,320.0,0.05,6m,0.8,1.0,1.3,984.0,,,,,,,,944.0,0.05,10m,1.4,1.1,1.2000000000000002,928.0,1024.0,0.05,4m,1.2000000000000002,0.9,1.8000000000000003,888.0,,,,,,,,,,,,,,,312,0.05,7m,0.5,0.7,2.0,968,0.35000000000000003,6,COMPLETE
64,64,0.37635926685881205,2025-06-16 00:50:38.050531,2025-06-16 00:50:43.188078,0 days 00:00:05.137547,360.0,0.05,3m,0.6,1.5,1.2000000000000002,712.0,560.0,0.025,4m,1.2000000000000002,0.9,1.1,336.0,,,,,,,,376.0,0.05,6m,0.9,0.9,1.3,944.0,,,,,,,,752.0,0.05,10m,1.4,0.8,1.1,968.0,1016.0,0.05,4m,1.4,0.9,1.8000000000000003,656.0,304.0,0.05,5m,1.2000000000000002,1.5,1.3,784.0,,,,,,,,392,0.05,7m,0.5,0.8,2.0,1024,0.4,7,COMPLETE
65,65,0.834300595076312,2025-06-16 00:50:43.255208,2025-06-16 00:50:47.338752,0 days 00:00:04.083544,320.0,0.05,3m,0.5,1.4,1.1,904.0,696.0,0.025,4m,1.1,0.8,1.2000000000000002,216.0,,,,,,,,504.0,0.05,6m,0.9,1.1,1.1,832.0,,,,,,,,816.0,0.05,10m,1.3,1.0,1.2000000000000002,832.0,,,,,,,,,,,,,,,,,,,,,,416,0.05,7m,0.6,0.7,1.9000000000000001,992,0.3,5,COMPLETE
66,66,-4.9554687910199275,2025-06-16 00:50:47.398375,2025-06-16 00:50:53.652456,0 days 00:00:06.254081,304.0,0.05,3m,0.5,1.4,1.1,968.0,616.0,0.025,4m,1.1,0.8,1.2000000000000002,224.0,,,,,,,,504.0,0.05,6m,0.9,1.1,1.1,816.0,,,,,,,,944.0,0.05,10m,1.3,1.0,1.2000000000000002,824.0,880.0,0.05,4m,1.2000000000000002,0.7,1.6,896.0,752.0,0.025,1m,0.5,1.2000000000000002,1.8000000000000003,360.0,24.0,0.05,1m,1.0,1.1,1.5,1008.0,208,0.05,7m,0.6,0.6,1.9000000000000001,976,0.3,8,COMPLETE
67,67,0.3818607088809745,2025-06-16 00:50:53.728383,2025-06-16 00:50:58.370491,0 days 00:00:04.642108,440.0,0.05,3m,0.7,1.4,1.1,904.0,760.0,0.025,4m,1.1,0.9,1.1,272.0,,,,,,,,480.0,0.05,6m,0.8,1.0,1.2000000000000002,816.0,,,,,,,,816.0,0.05,10m,1.2000000000000002,0.9,1.2000000000000002,848.0,896.0,0.05,4m,1.2000000000000002,1.0,1.9000000000000001,624.0,,,,,,,,,,,,,,,368,0.05,7m,0.7,0.7,2.0,952,0.35000000000000003,6,COMPLETE
68,68,-1.4235522310471638,2025-06-16 00:50:58.462817,2025-06-16 00:51:04.046200,0 days 00:00:05.583383,240.0,0.05,3m,0.5,1.5,1.2000000000000002,864.0,736.0,0.025,4m,1.2000000000000002,0.8,1.2000000000000002,96.0,,,,,,,,616.0,0.05,6m,0.9,1.1,1.1,960.0,,,,,,,,1016.0,0.05,10m,1.3,1.1,1.1,968.0,1024.0,0.05,2m,1.4,0.7,1.7000000000000002,784.0,640.0,0.05,6m,1.2000000000000002,0.7,1.3,152.0,,,,,,,,424,0.05,7m,0.5,0.6,2.0,1000,0.4,7,COMPLETE
69,69,0.15058468937023733,2025-06-16 00:51:04.120800,2025-06-16 00:51:07.858631,0 days 00:00:03.737831,512.0,0.05,3m,0.6,1.4,1.1,768.0,712.0,0.025,7m,1.0,0.8,1.2000000000000002,320.0,,,,,,,,376.0,0.05,6m,0.7,0.8,1.3,992.0,,,,,,,,872.0,0.05,8m,1.5,1.0,1.2000000000000002,760.0,,,,,,,,,,,,,,,,,,,,,,256,0.05,7m,0.6,0.7,1.8000000000000003,872,0.35000000000000003,5,COMPLETE
70,70,-1.3361583800444234,2025-06-16 00:51:07.944431,2025-06-16 00:51:12.850370,0 days 00:00:04.905939,312.0,0.05,3m,0.7,1.4,1.2000000000000002,1008.0,576.0,0.025,4m,1.1,0.9,1.3,200.0,,,,,,,,528.0,0.05,6m,0.8,0.7,1.2000000000000002,680.0,,,,,,,,656.0,0.05,10m,1.4,0.8,1.3,832.0,736.0,0.05,10m,1.1,0.6,1.9000000000000001,904.0,,,,,,,,,,,,,,,416,0.05,3m,0.6,0.7,2.0,936,0.45,6,COMPLETE
71,71,-36.52259782146578,2025-06-16 00:51:12.921481,2025-06-16 00:51:16.807960,0 days 00:00:03.886479,192.0,0.05,1m,0.5,1.3,1.3,704.0,520.0,0.025,9m,1.2000000000000002,0.8,1.2000000000000002,384.0,,,,,,,,696.0,0.05,6m,1.0,0.9,1.4000000000000001,1024.0,,,,,,,,744.0,0.05,5m,1.2000000000000002,1.1,1.4000000000000001,912.0,,,,,,,,,,,,,,,,,,,,,,296,0.05,7m,0.5,0.8,1.8000000000000003,904,0.3,5,COMPLETE
72,72,0.281749861343688,2025-06-16 00:51:16.898436,2025-06-16 00:51:20.937166,0 days 00:00:04.038730,344.0,0.05,3m,0.6,1.3,1.1,640.0,872.0,0.025,4m,1.3,0.7,1.1,296.0,,,,,,,,400.0,0.05,9m,0.6,1.0,1.1,840.0,,,,,,,,688.0,0.05,10m,1.3,0.9,1.1,1000.0,,,,,,,,,,,,,,,,,,,,,,328,0.05,7m,0.7,0.8,1.9000000000000001,1000,0.3,5,COMPLETE
73,73,0.24790926673050132,2025-06-16 00:51:21.013838,2025-06-16 00:51:25.681997,0 days 00:00:04.668159,256.0,0.05,10m,0.7,1.3,1.2000000000000002,592.0,448.0,0.025,4m,1.0,0.8,1.2000000000000002,240.0,,,,,,,,448.0,0.05,2m,0.9,0.8,1.5,928.0,,,,,,,,824.0,0.05,6m,1.4,0.6,1.2000000000000002,808.0,824.0,0.05,5m,1.4,0.9,1.5,944.0,,,,,,,,,,,,,,,512,0.05,5m,0.5,0.7,1.9000000000000001,960,0.35000000000000003,6,COMPLETE
74,74,-0.8946645413138602,2025-06-16 00:51:25.773736,2025-06-16 00:51:30.276532,0 days 00:00:04.502796,208.0,0.05,5m,0.6,1.5,1.3,936.0,360.0,0.025,10m,1.2000000000000002,0.7,1.1,152.0,,,,,,,,240.0,0.05,7m,0.7,0.9,1.3,928.0,,,,,,,,800.0,0.05,9m,1.2000000000000002,1.2000000000000002,1.3,744.0,,,,,,,,,,,,,,,,,,,,,,408,0.05,7m,0.6,0.8,1.8000000000000003,928,0.4,5,COMPLETE
75,75,-0.5494414672640491,2025-06-16 00:51:30.371280,2025-06-16 00:51:42.631106,0 days 00:00:12.259826,136.0,0.05,9m,0.5,0.7,1.1,544.0,488.0,0.025,4m,1.1,0.6,1.3,376.0,,,,,,,,328.0,0.05,4m,0.8,0.7,1.2000000000000002,952.0,,,,,,,,696.0,0.05,10m,1.1,1.0,1.2000000000000002,864.0,944.0,0.05,3m,0.9,1.1,1.8000000000000003,1016.0,,,,,,,,,,,,,,,480,0.05,6m,0.8,0.9,1.9000000000000001,1008,0.3,6,COMPLETE
76,76,0.3354815788451132,2025-06-16 00:51:42.774396,2025-06-16 00:51:52.431010,0 days 00:00:09.656614,376.0,0.05,4m,0.7,1.4,1.2000000000000002,744.0,688.0,0.025,4m,1.0,0.9,1.2000000000000002,448.0,,,,,,,,552.0,0.05,6m,1.0,1.1,1.1,760.0,,,,,,,,920.0,0.05,10m,1.3,1.1,1.4000000000000001,944.0,,,,,,,,,,,,,,,,,,,,,,368,0.05,8m,0.5,0.8,2.0,888,0.35000000000000003,5,COMPLETE
77,77,-0.6618438980705166,2025-06-16 00:51:52.537867,2025-06-16 00:51:58.683236,0 days 00:00:06.145369,408.0,0.05,3m,0.6,1.3,1.2000000000000002,464.0,624.0,0.025,4m,1.1,0.8,1.1,344.0,,,,,,,,720.0,0.05,3m,0.6,0.9,1.4000000000000001,872.0,,,,,,,,968.0,0.05,3m,1.3,1.2000000000000002,1.1,1024.0,664.0,0.05,9m,1.2000000000000002,0.6,1.7000000000000002,704.0,,,,,,,,,,,,,,,536,0.05,7m,0.6,0.7,1.8000000000000003,856,0.3,6,COMPLETE
78,78,-3.2745686047739198,2025-06-16 00:51:58.771214,2025-06-16 00:52:03.129456,0 days 00:00:04.358242,320.0,0.05,7m,0.5,1.2000000000000002,1.1,832.0,384.0,0.025,7m,1.3,0.7,1.3,48.0,,,,,,,,440.0,0.05,6m,0.5,1.0,1.4000000000000001,688.0,,,,,,,,760.0,0.05,7m,1.4,1.0,1.2000000000000002,648.0,952.0,0.05,7m,1.3,0.8,1.9000000000000001,816.0,,,,,,,,,,,,,,,440,0.025,7m,0.7,0.6,1.7000000000000002,1024,0.3,6,COMPLETE
79,79,-0.8617439003728734,2025-06-16 00:52:03.203646,2025-06-16 00:52:08.470364,0 days 00:00:05.266718,176.0,0.05,3m,1.5,1.4,1.3,792.0,520.0,0.025,9m,1.2000000000000002,1.5,1.4000000000000001,272.0,,,,,,,,608.0,0.05,6m,0.9,1.2000000000000002,1.3,912.0,,,,,,,,632.0,0.05,10m,1.2000000000000002,1.1,1.3,728.0,480.0,0.05,6m,1.1,0.9,1.6,856.0,256.0,0.025,5m,0.9,1.3,1.5,840.0,,,,,,,,488,0.05,2m,0.5,0.9,2.0,984,0.35000000000000003,7,COMPLETE
