,number,value,datetime_start,datetime_complete,duration,params_CHTR_SWKS_beta_win,params_CHTR_SWKS_stop_loss,params_CHTR_SWKS_trade_freq,params_CHTR_SWKS_z_entry,params_CHTR_SWKS_z_exit,params_CHTR_SWKS_z_stop_scaler,params_CHTR_SWKS_z_win,params_CMCSA_FISV_beta_win,params_CMCSA_FISV_stop_loss,params_CMCSA_FISV_trade_freq,params_CMCSA_FISV_z_entry,params_CMCSA_FISV_z_exit,params_CMCSA_FISV_z_stop_scaler,params_CMCSA_FISV_z_win,params_CMCSA_SWKS_beta_win,params_CMCSA_SWKS_stop_loss,params_CMCSA_SWKS_trade_freq,params_CMCSA_SWKS_z_entry,params_CMCSA_SWKS_z_exit,params_CMCSA_SWKS_z_stop_scaler,params_CMCSA_SWKS_z_win,params_DLTR_EA_beta_win,params_DLTR_EA_stop_loss,params_DLTR_EA_trade_freq,params_DLTR_EA_z_entry,params_DLTR_EA_z_exit,params_DLTR_EA_z_stop_scaler,params_DLTR_EA_z_win,params_EBAY_TXN_beta_win,params_EBAY_TXN_stop_loss,params_EBAY_TXN_trade_freq,params_EBAY_TXN_z_entry,params_EBAY_TXN_z_exit,params_EBAY_TXN_z_stop_scaler,params_EBAY_TXN_z_win,params_FISV_MAR_beta_win,params_FISV_MAR_stop_loss,params_FISV_MAR_trade_freq,params_FISV_MAR_z_entry,params_FISV_MAR_z_exit,params_FISV_MAR_z_stop_scaler,params_FISV_MAR_z_win,params_ILMN_SWKS_beta_win,params_ILMN_SWKS_stop_loss,params_ILMN_SWKS_trade_freq,params_ILMN_SWKS_z_entry,params_ILMN_SWKS_z_exit,params_ILMN_SWKS_z_stop_scaler,params_ILMN_SWKS_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_OKTA_SBUX_beta_win,params_OKTA_SBUX_stop_loss,params_OKTA_SBUX_trade_freq,params_OKTA_SBUX_z_entry,params_OKTA_SBUX_z_exit,params_OKTA_SBUX_z_stop_scaler,params_OKTA_SBUX_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-2.200038062521248,2025-06-15 23:17:46.834713,2025-06-15 23:17:48.026273,0 days 00:00:01.191560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.05,2m,0.9,1.5,1.3,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
11,11,0.7764283357971855,2025-06-15 23:17:48.087909,2025-06-15 23:17:58.176412,0 days 00:00:10.088503,984.0,0.025,2m,1.5,0.9,1.3,1024.0,616.0,0.05,7m,1.5,1.5,1.5,864.0,24.0,0.05,9m,0.5,0.5,1.1,496.0,560.0,0.05,8m,1.0,1.5,1.1,872.0,632,0.025,8m,1.3,1.5,1.4000000000000001,280,1016.0,0.025,9m,0.5,0.5,2.0,936.0,800.0,0.05,7m,0.5,1.5,1.2000000000000002,24.0,728.0,0.05,3m,1.3,1.5,1.4000000000000001,48.0,456.0,0.05,9m,1.1,1.5,1.6,200.0,912.0,0.05,6m,0.5,0.7,1.9000000000000001,520.0,0.15000000000000002,10,COMPLETE
12,12,0.4985205991016457,2025-06-15 23:17:58.250829,2025-06-15 23:18:03.550565,0 days 00:00:05.299736,280.0,0.05,5m,1.2000000000000002,0.9,1.1,656.0,752.0,0.05,4m,1.0,0.9,1.7000000000000002,600.0,,,,,,,,576.0,0.05,9m,1.0,1.1,2.0,736.0,880,0.025,8m,1.2000000000000002,1.2000000000000002,1.9000000000000001,272,,,,,,,,,,,,,,,72.0,0.05,10m,1.2000000000000002,1.5,1.1,104.0,,,,,,,,,,,,,,,0.45,5,COMPLETE
13,13,-0.907861651366353,2025-06-15 23:18:03.634387,2025-06-15 23:18:09.519218,0 days 00:00:05.884831,304.0,0.025,4m,0.8,0.8,1.6,40.0,448.0,0.05,5m,1.2000000000000002,1.5,1.4000000000000001,808.0,,,,,,,,424.0,0.05,8m,0.7,0.5,1.8000000000000003,432.0,488,0.05,2m,1.4,1.3,1.4000000000000001,760,,,,,,,,,,,,,,,1024.0,0.025,3m,1.1,1.3,1.6,288.0,528.0,0.05,3m,1.1,0.5,1.9000000000000001,296.0,,,,,,,,0.2,6,COMPLETE
14,14,1.1235745821744685,2025-06-15 23:18:09.593730,2025-06-15 23:18:19.604843,0 days 00:00:10.011113,792.0,0.05,7m,1.3,1.1,1.3,856.0,752.0,0.05,9m,0.5,0.8,1.7000000000000002,480.0,376.0,0.025,2m,1.2000000000000002,0.8,1.1,624.0,680.0,0.05,4m,0.5,0.9,1.7000000000000002,824.0,728,0.025,3m,1.1,0.5,1.8000000000000003,352,1008.0,0.025,8m,0.7,1.0,2.0,704.0,440.0,0.025,7m,1.5,1.4,1.2000000000000002,568.0,512.0,0.05,5m,0.5,1.2000000000000002,2.0,320.0,840.0,0.05,9m,1.5,1.2000000000000002,1.4000000000000001,408.0,24.0,0.025,10m,1.5,1.5,1.1,1016.0,0.2,10,COMPLETE
15,15,-2.619530083072292,2025-06-15 23:18:19.678962,2025-06-15 23:18:26.759184,0 days 00:00:07.080222,784.0,0.025,7m,1.2000000000000002,1.5,1.4000000000000001,920.0,752.0,0.05,9m,0.5,0.8,1.9000000000000001,440.0,504.0,0.025,2m,1.3,0.6,1.4000000000000001,680.0,736.0,0.025,4m,0.5,0.8,1.7000000000000002,776.0,776,0.05,3m,0.8,1.0,2.0,56,,,,,,,,,,,,,,,648.0,0.025,5m,0.5,1.2000000000000002,2.0,760.0,1008.0,0.05,2m,1.5,1.4,1.3,536.0,,,,,,,,0.4,7,COMPLETE
16,16,-58.4069770679826,2025-06-15 23:18:26.853473,2025-06-15 23:18:31.070115,0 days 00:00:04.216642,112.0,0.05,2m,0.8,1.1,1.3,768.0,1000.0,0.025,1m,0.5,0.8,1.3,520.0,,,,,,,,664.0,0.05,6m,1.1,0.5,1.3,1016.0,944,0.05,3m,1.1,1.4,1.9000000000000001,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,4,COMPLETE
17,17,-0.43433417932941343,2025-06-15 23:18:31.137662,2025-06-15 23:18:40.037196,0 days 00:00:08.899534,456.0,0.025,3m,1.3,1.1,1.8000000000000003,832.0,768.0,0.05,9m,0.9,0.8,1.7000000000000002,992.0,448.0,0.025,4m,1.1,0.8,1.4000000000000001,104.0,680.0,0.05,4m,0.9,0.8,1.1,704.0,704,0.025,9m,1.0,0.8,1.8000000000000003,384,24.0,0.05,8m,0.9,1.2000000000000002,1.6,1024.0,360.0,0.025,2m,1.5,1.1,2.0,1000.0,576.0,0.05,5m,0.7,0.5,1.8000000000000003,344.0,760.0,0.05,6m,0.5,1.3,1.8000000000000003,64.0,16.0,0.025,10m,1.5,1.5,1.1,1008.0,0.4,10,COMPLETE
18,18,-41.03349285480643,2025-06-15 23:18:40.090791,2025-06-15 23:18:41.911115,0 days 00:00:01.820324,,,,,,,,,,,,,,,,,,,,,,480.0,0.025,7m,1.2000000000000002,1.0,1.6,872.0,480,0.05,1m,0.7,1.1,1.4000000000000001,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
19,19,-6.715211419401484,2025-06-15 23:18:41.982739,2025-06-15 23:18:47.119862,0 days 00:00:05.137123,456.0,0.05,7m,1.0,0.5,1.5,640.0,664.0,0.05,4m,0.8,0.5,1.8000000000000003,216.0,,,,,,,,784.0,0.05,4m,1.5,1.3,1.3,880.0,864,0.025,3m,1.1,0.5,1.2000000000000002,856,,,,,,,,,,,,,,,32.0,0.05,1m,0.5,1.2000000000000002,2.0,408.0,,,,,,,,,,,,,,,0.5,5,COMPLETE
