,number,value,datetime_start,datetime_complete,duration,params_CHTR_SWKS_beta_win,params_CHTR_SWKS_stop_loss,params_CHTR_SWKS_trade_freq,params_CHTR_SWKS_z_entry,params_CHTR_SWKS_z_exit,params_CHTR_SWKS_z_stop_scaler,params_CHTR_SWKS_z_win,params_CMCSA_FISV_beta_win,params_CMCSA_FISV_stop_loss,params_CMCSA_FISV_trade_freq,params_CMCSA_FISV_z_entry,params_CMCSA_FISV_z_exit,params_CMCSA_FISV_z_stop_scaler,params_CMCSA_FISV_z_win,params_CMCSA_SWKS_beta_win,params_CMCSA_SWKS_stop_loss,params_CMCSA_SWKS_trade_freq,params_CMCSA_SWKS_z_entry,params_CMCSA_SWKS_z_exit,params_CMCSA_SWKS_z_stop_scaler,params_CMCSA_SWKS_z_win,params_DLTR_EA_beta_win,params_DLTR_EA_stop_loss,params_DLTR_EA_trade_freq,params_DLTR_EA_z_entry,params_DLTR_EA_z_exit,params_DLTR_EA_z_stop_scaler,params_DLTR_EA_z_win,params_EBAY_TXN_beta_win,params_EBAY_TXN_stop_loss,params_EBAY_TXN_trade_freq,params_EBAY_TXN_z_entry,params_EBAY_TXN_z_exit,params_EBAY_TXN_z_stop_scaler,params_EBAY_TXN_z_win,params_FISV_MAR_beta_win,params_FISV_MAR_stop_loss,params_FISV_MAR_trade_freq,params_FISV_MAR_z_entry,params_FISV_MAR_z_exit,params_FISV_MAR_z_stop_scaler,params_FISV_MAR_z_win,params_ILMN_SWKS_beta_win,params_ILMN_SWKS_stop_loss,params_ILMN_SWKS_trade_freq,params_ILMN_SWKS_z_entry,params_ILMN_SWKS_z_exit,params_ILMN_SWKS_z_stop_scaler,params_ILMN_SWKS_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_OKTA_SBUX_beta_win,params_OKTA_SBUX_stop_loss,params_OKTA_SBUX_trade_freq,params_OKTA_SBUX_z_entry,params_OKTA_SBUX_z_exit,params_OKTA_SBUX_z_stop_scaler,params_OKTA_SBUX_z_win,params_buffer_capital,params_pairs_to_trade,state
39,39,0.12467176277859655,2025-06-15 23:20:19.282465,2025-06-15 23:20:20.317921,0 days 00:00:01.035456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0.05,10m,1.3,0.7,1.3,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
40,40,1.4731112348816668,2025-06-15 23:20:20.384362,2025-06-15 23:20:23.238678,0 days 00:00:02.854316,,,,,,,,488.0,0.025,10m,0.7,1.1,1.5,296.0,,,,,,,,768.0,0.05,5m,1.2000000000000002,1.0,1.4000000000000001,296.0,288,0.05,7m,1.5,1.2000000000000002,1.3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
41,41,-1.0133265335666233,2025-06-15 23:20:23.324883,2025-06-15 23:20:25.985007,0 days 00:00:02.660124,,,,,,,,448.0,0.025,10m,0.7,1.1,1.5,128.0,,,,,,,,888.0,0.05,5m,1.2000000000000002,1.0,1.4000000000000001,200.0,272,0.05,7m,1.5,1.2000000000000002,1.3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
42,42,-1.314076231211889,2025-06-15 23:20:26.056885,2025-06-15 23:20:27.906560,0 days 00:00:01.849675,,,,,,,,,,,,,,,,,,,,,,784.0,0.05,5m,1.4,1.2000000000000002,1.1,296.0,120,0.05,7m,1.5,1.5,1.2000000000000002,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
43,43,-2.07113519879414,2025-06-15 23:20:27.965226,2025-06-15 23:20:31.515801,0 days 00:00:03.550575,512.0,0.025,6m,0.5,1.4,1.7000000000000002,744.0,536.0,0.025,10m,0.9,1.0,1.3,256.0,,,,,,,,992.0,0.05,5m,1.3,0.9,1.4000000000000001,352.0,528,0.05,7m,1.4,1.3,1.4000000000000001,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
44,44,1.5497628722995636,2025-06-15 23:20:31.581342,2025-06-15 23:20:33.592947,0 days 00:00:02.011605,,,,,,,,,,,,,,,,,,,,,,928.0,0.05,2m,1.3,1.1,1.3,112.0,600,0.05,2m,1.3,1.4,1.3,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
45,45,0.8290886142140885,2025-06-15 23:20:33.683103,2025-06-15 23:20:34.890998,0 days 00:00:01.207895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,0.05,2m,1.4,1.4,1.4000000000000001,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
46,46,-0.3069982629804818,2025-06-15 23:20:34.956128,2025-06-15 23:20:37.000656,0 days 00:00:02.044528,,,,,,,,,,,,,,,,,,,,,,928.0,0.05,2m,1.3,0.6,1.3,96.0,560,0.05,2m,1.5,1.5,1.3,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
47,47,0.03332336987638024,2025-06-15 23:20:37.654021,2025-06-15 23:20:39.584544,0 days 00:00:01.930523,,,,,,,,,,,,,,,,,,,,,,744.0,0.05,2m,1.4,1.2000000000000002,1.5,136.0,616,0.05,2m,1.3,1.2000000000000002,1.6,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
48,48,-3.4791726764400845,2025-06-15 23:20:39.654016,2025-06-15 23:20:44.063575,0 days 00:00:04.409559,24.0,0.025,2m,0.9,1.0,1.4000000000000001,960.0,360.0,0.025,10m,0.6,1.2000000000000002,1.6,320.0,,,,,,,,928.0,0.05,2m,1.2000000000000002,1.3,1.3,208.0,504,0.05,10m,1.4,1.3,1.5,544,,,,,,,,,,,,,,,920.0,0.025,6m,1.5,0.8,1.3,864.0,,,,,,,,,,,,,,,0.45,5,COMPLETE
49,49,0.6330547141358362,2025-06-15 23:20:44.137633,2025-06-15 23:20:45.244532,0 days 00:00:01.106899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,0.05,8m,1.2000000000000002,1.4,1.6,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
50,50,-1.3193362927839525,2025-06-15 23:20:45.306552,2025-06-15 23:20:49.230590,0 days 00:00:03.924038,200.0,0.025,1m,0.9,0.6,1.1,464.0,200.0,0.025,7m,0.7,1.3,1.1,384.0,,,,,,,,848.0,0.05,10m,1.3,1.0,1.5,248.0,824,0.05,7m,1.5,1.5,1.4000000000000001,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
51,51,1.8675204232185372,2025-06-15 23:20:49.318154,2025-06-15 23:20:52.260189,0 days 00:00:02.942035,,,,,,,,816.0,0.025,6m,1.0,1.0,1.2000000000000002,656.0,,,,,,,,1016.0,0.05,5m,1.3,1.1,1.2000000000000002,504.0,184,0.05,2m,1.3,1.1,1.2000000000000002,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
52,52,-3.899433544744206,2025-06-15 23:20:52.318444,2025-06-15 23:20:55.136142,0 days 00:00:02.817698,,,,,,,,824.0,0.025,6m,0.8,1.1,1.1,688.0,,,,,,,,968.0,0.05,8m,1.3,1.1,1.2000000000000002,48.0,208,0.05,2m,1.3,1.1,1.3,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
53,53,-1.0178785207165395,2025-06-15 23:20:55.214645,2025-06-15 23:20:57.147994,0 days 00:00:01.933349,,,,,,,,,,,,,,,,,,,,,,920.0,0.05,1m,1.4,1.2000000000000002,1.4000000000000001,528.0,64,0.05,2m,1.4,1.1,1.1,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
54,54,1.234042996427125,2025-06-15 23:20:57.211092,2025-06-15 23:21:03.024070,0 days 00:00:05.812978,104.0,0.025,2m,0.7,0.7,1.1,336.0,496.0,0.025,6m,1.0,1.4,1.4000000000000001,432.0,,,,,,,,208.0,0.05,3m,1.2000000000000002,0.9,1.1,632.0,664,0.05,4m,1.3,1.2000000000000002,1.3,216,,,,,,,,,,,,,,,168.0,0.025,1m,1.3,0.6,1.5,1000.0,344.0,0.025,4m,0.6,0.6,1.7000000000000002,1008.0,,,,,,,,0.05,6,COMPLETE
55,55,-0.8303735229728496,2025-06-15 23:21:03.097365,2025-06-15 23:21:06.762559,0 days 00:00:03.665194,920.0,0.025,5m,1.1,1.4,1.2000000000000002,816.0,688.0,0.025,6m,0.7,1.2000000000000002,1.5,40.0,,,,,,,,976.0,0.05,9m,1.5,1.0,1.2000000000000002,728.0,176,0.05,2m,1.2000000000000002,1.0,1.2000000000000002,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
56,56,-3.089526859840803,2025-06-15 23:21:06.836667,2025-06-15 23:21:08.898824,0 days 00:00:02.062157,,,,,,,,,,,,,,,,,,,,,,576.0,0.05,4m,1.4,0.7,1.3,384.0,264,0.05,2m,1.5,1.4,1.1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
57,57,1.4493791237353568,2025-06-15 23:21:08.968020,2025-06-15 23:21:11.514625,0 days 00:00:02.546605,,,,,,,,712.0,0.025,3m,0.9,1.1,1.3,936.0,,,,,,,,752.0,0.05,6m,1.1,0.5,1.4000000000000001,568.0,128,0.05,9m,1.4,1.3,1.4000000000000001,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,3,COMPLETE
58,58,-4.412958366352821,2025-06-15 23:21:11.570191,2025-06-15 23:21:18.190868,0 days 00:00:06.620677,560.0,0.05,10m,1.4,0.8,1.6,416.0,624.0,0.025,8m,0.6,0.9,1.2000000000000002,504.0,728.0,0.05,8m,1.5,1.0,1.7000000000000002,352.0,896.0,0.05,7m,1.3,1.4,1.3,120.0,88,0.05,1m,1.0,1.5,1.3,464,,,,,,,,,,,,,,,664.0,0.025,10m,1.0,1.4,1.2000000000000002,640.0,224.0,0.025,6m,0.6,0.8,1.2000000000000002,608.0,,,,,,,,0.05,7,COMPLETE
59,59,0.49849549283409933,2025-06-15 23:21:18.261544,2025-06-15 23:21:22.814203,0 days 00:00:04.552659,704.0,0.05,6m,0.5,0.5,1.5,112.0,432.0,0.025,4m,0.8,1.3,1.1,648.0,,,,,,,,424.0,0.05,4m,1.2000000000000002,1.0,1.1,328.0,728,0.025,2m,1.1,1.2000000000000002,1.2000000000000002,960,,,,,,,,,,,,,,,944.0,0.025,9m,1.1,1.0,1.5,840.0,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
60,60,1.4718989757749332,2025-06-15 23:21:22.889119,2025-06-15 23:21:26.741920,0 days 00:00:03.852801,864.0,0.025,9m,1.0,1.2000000000000002,1.4000000000000001,960.0,536.0,0.025,2m,0.7,1.0,1.6,136.0,,,,,,,,816.0,0.05,2m,1.0,1.2000000000000002,1.2000000000000002,648.0,536,0.05,8m,0.7,1.3,1.5,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
61,61,-0.6609119753327889,2025-06-15 23:21:26.794908,2025-06-15 23:21:30.465576,0 days 00:00:03.670668,856.0,0.025,9m,1.0,1.2000000000000002,1.4000000000000001,880.0,544.0,0.025,2m,0.7,1.0,1.6,120.0,,,,,,,,816.0,0.05,2m,1.4,1.2000000000000002,1.2000000000000002,664.0,536,0.05,8m,0.7,1.3,1.3,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
62,62,-2.5949146962893233,2025-06-15 23:21:30.540093,2025-06-15 23:21:33.244431,0 days 00:00:02.704338,,,,,,,,288.0,0.025,2m,0.6,0.9,1.8000000000000003,184.0,,,,,,,,952.0,0.05,2m,1.0,1.1,1.2000000000000002,752.0,592,0.05,8m,0.6,1.4,1.5,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
63,63,-1.7450080992860184,2025-06-15 23:21:33.308789,2025-06-15 23:21:37.664237,0 days 00:00:04.355448,1000.0,0.025,9m,0.9,1.5,1.2000000000000002,952.0,392.0,0.025,2m,0.9,1.0,1.5,104.0,,,,,,,,712.0,0.05,2m,1.0,0.6,1.3,496.0,656,0.05,8m,0.8,1.3,1.5,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
64,64,3.7230665530658285,2025-06-15 23:21:37.738330,2025-06-15 23:21:54.925762,0 days 00:00:17.187432,936.0,0.025,9m,1.2000000000000002,1.2000000000000002,1.3,960.0,592.0,0.025,10m,0.7,1.1,1.7000000000000002,168.0,200.0,0.05,6m,1.0,1.5,1.9000000000000001,56.0,848.0,0.05,4m,1.2000000000000002,0.8,1.1,624.0,464,0.05,6m,0.5,1.2000000000000002,1.4000000000000001,528,40.0,0.05,1m,1.2000000000000002,0.5,1.4000000000000001,72.0,,,,,,,,744.0,0.025,8m,0.8,1.4,1.7000000000000002,688.0,1024.0,0.025,3m,0.9,1.4,1.4000000000000001,848.0,,,,,,,,0.1,8,COMPLETE
65,65,3.499669861999552,2025-06-15 23:21:55.088169,2025-06-15 23:22:09.922547,0 days 00:00:14.834378,704.0,0.025,8m,1.2000000000000002,1.3,1.2000000000000002,792.0,592.0,0.025,10m,0.5,1.1,1.8000000000000003,288.0,248.0,0.05,6m,0.9,1.5,2.0,24.0,1000.0,0.05,4m,1.2000000000000002,0.8,1.1,584.0,472,0.05,6m,0.5,1.1,1.4000000000000001,480,176.0,0.05,1m,1.2000000000000002,0.5,1.4000000000000001,32.0,,,,,,,,784.0,0.025,8m,0.8,1.4,1.7000000000000002,560.0,968.0,0.025,3m,0.9,1.4,1.4000000000000001,848.0,,,,,,,,0.1,8,COMPLETE
66,66,4.136949323916285,2025-06-15 23:22:10.024255,2025-06-15 23:22:18.261911,0 days 00:00:08.237656,928.0,0.025,8m,1.2000000000000002,1.3,1.2000000000000002,792.0,808.0,0.025,10m,0.5,1.5,1.8000000000000003,192.0,208.0,0.05,6m,0.9,1.5,2.0,16.0,1008.0,0.05,4m,1.3,0.8,1.1,592.0,464,0.025,6m,0.5,1.1,1.4000000000000001,504,64.0,0.05,1m,1.2000000000000002,0.5,1.4000000000000001,56.0,736.0,0.05,10m,0.9,0.5,1.9000000000000001,24.0,832.0,0.025,8m,0.8,1.4,1.7000000000000002,576.0,984.0,0.025,3m,0.9,1.4,1.4000000000000001,848.0,,,,,,,,0.25,9,COMPLETE
67,67,1.2301041037894302,2025-06-15 23:22:18.335236,2025-06-15 23:22:25.835362,0 days 00:00:07.500126,952.0,0.025,8m,1.2000000000000002,1.3,1.2000000000000002,792.0,800.0,0.025,10m,0.5,1.5,1.8000000000000003,192.0,208.0,0.05,6m,0.9,1.5,2.0,32.0,1000.0,0.025,4m,1.3,0.8,1.1,560.0,464,0.025,6m,0.5,1.1,1.4000000000000001,656,72.0,0.05,1m,1.2000000000000002,0.6,1.4000000000000001,16.0,,,,,,,,816.0,0.025,8m,0.8,1.4,1.7000000000000002,560.0,976.0,0.025,3m,0.9,1.4,1.4000000000000001,824.0,,,,,,,,0.25,8,COMPLETE
68,68,-0.8225044819111865,2025-06-15 23:22:25.928287,2025-06-15 23:22:34.614746,0 days 00:00:08.686459,728.0,0.025,8m,1.2000000000000002,1.4,1.3,680.0,736.0,0.025,10m,0.5,1.5,1.9000000000000001,72.0,216.0,0.05,6m,1.0,1.4,1.9000000000000001,160.0,1024.0,0.05,4m,1.2000000000000002,0.7,1.1,600.0,424,0.025,6m,0.6,1.0,1.6,504,208.0,0.05,1m,1.2000000000000002,0.5,1.4000000000000001,16.0,736.0,0.05,10m,0.9,0.5,2.0,16.0,736.0,0.025,8m,0.9,1.4,1.7000000000000002,672.0,1016.0,0.025,3m,0.9,1.4,1.4000000000000001,896.0,,,,,,,,0.2,9,COMPLETE
69,69,-1.3631921710705834,2025-06-15 23:22:34.685259,2025-06-15 23:22:42.192425,0 days 00:00:07.507166,1024.0,0.025,8m,1.4,1.3,1.1,1016.0,616.0,0.025,10m,0.5,1.4,1.8000000000000003,168.0,240.0,0.05,6m,1.0,1.4,1.9000000000000001,16.0,952.0,0.05,4m,0.7,0.8,1.1,696.0,368,0.025,6m,0.5,1.1,1.4000000000000001,608,184.0,0.05,1m,1.1,0.7,1.3,232.0,,,,,,,,856.0,0.025,8m,0.8,1.3,1.6,704.0,904.0,0.025,3m,1.0,1.3,1.5,776.0,,,,,,,,0.5,8,COMPLETE
70,70,-0.3877663013466492,2025-06-15 23:22:42.294835,2025-06-15 23:22:50.780315,0 days 00:00:08.485480,632.0,0.025,8m,1.1,1.3,1.2000000000000002,840.0,824.0,0.025,10m,0.6,1.2000000000000002,1.7000000000000002,256.0,112.0,0.05,6m,0.8,1.5,1.9000000000000001,200.0,1008.0,0.05,4m,1.1,0.9,1.1,456.0,488,0.025,6m,0.6,1.0,1.4000000000000001,568,320.0,0.05,1m,1.5,0.5,1.5,360.0,712.0,0.05,5m,1.1,0.8,1.8000000000000003,264.0,776.0,0.025,8m,0.7,1.5,1.8000000000000003,592.0,1024.0,0.025,3m,0.7,1.5,1.3,912.0,,,,,,,,0.3,9,COMPLETE
71,71,1.1960043628691122,2025-06-15 23:22:50.850585,2025-06-15 23:22:57.398900,0 days 00:00:06.548315,824.0,0.025,8m,1.3,1.2000000000000002,1.3,768.0,624.0,0.025,4m,0.5,1.3,1.9000000000000001,16.0,424.0,0.05,6m,1.1,1.3,2.0,112.0,952.0,0.05,4m,1.3,0.7,1.1,600.0,704,0.025,6m,0.5,1.1,1.4000000000000001,520,,,,,,,,,,,,,,,840.0,0.025,8m,0.9,1.4,1.7000000000000002,480.0,904.0,0.025,3m,0.9,1.4,1.2000000000000002,680.0,,,,,,,,0.1,7,COMPLETE
72,72,-2.6346485628593195,2025-06-15 23:22:57.591544,2025-06-15 23:23:05.621502,0 days 00:00:08.029958,920.0,0.025,8m,1.1,1.4,1.1,920.0,896.0,0.025,7m,0.5,1.1,1.7000000000000002,576.0,64.0,0.05,6m,0.8,1.4,1.8000000000000003,256.0,904.0,0.05,4m,1.4,0.8,1.2000000000000002,512.0,640,0.025,6m,0.5,1.1,1.5,552,112.0,0.05,3m,1.3,0.7,1.3,112.0,1000.0,0.05,3m,0.7,0.8,1.8000000000000003,232.0,712.0,0.025,8m,0.8,1.5,1.7000000000000002,808.0,832.0,0.025,3m,1.0,1.3,1.4000000000000001,920.0,,,,,,,,0.2,9,COMPLETE
73,73,-13.827235239005496,2025-06-15 23:23:05.701531,2025-06-15 23:23:12.764196,0 days 00:00:07.062665,592.0,0.025,4m,1.2000000000000002,1.5,1.3,880.0,720.0,0.025,1m,0.6,1.5,1.8000000000000003,232.0,168.0,0.05,6m,1.0,1.3,1.8000000000000003,24.0,992.0,0.05,4m,1.3,0.9,1.1,824.0,984,0.05,6m,0.6,0.9,1.3,480,40.0,0.05,2m,1.1,0.6,1.5,152.0,,,,,,,,896.0,0.025,7m,1.0,1.3,1.6,400.0,712.0,0.025,2m,0.7,1.5,1.5,808.0,,,,,,,,0.45,8,COMPLETE
74,74,2.10023358970812,2025-06-15 23:23:12.834415,2025-06-15 23:23:19.933954,0 days 00:00:07.099539,952.0,0.025,5m,1.4,1.3,1.2000000000000002,624.0,976.0,0.025,4m,1.1,1.4,2.0,752.0,304.0,0.05,4m,0.8,1.5,2.0,112.0,848.0,0.05,4m,1.4,0.7,1.8000000000000003,624.0,576,0.05,6m,0.5,1.2000000000000002,1.2000000000000002,440,296.0,0.05,1m,1.3,0.6,1.3,408.0,,,,,,,,960.0,0.025,2m,0.6,1.4,1.9000000000000001,608.0,928.0,0.025,7m,1.0,1.4,1.3,864.0,,,,,,,,0.15000000000000002,8,COMPLETE
75,75,1.363198144780461,2025-06-15 23:23:20.019604,2025-06-15 23:23:27.611123,0 days 00:00:07.591519,944.0,0.025,9m,1.4,1.3,1.2000000000000002,616.0,984.0,0.025,4m,1.1,1.4,2.0,768.0,264.0,0.05,4m,0.8,1.5,2.0,120.0,840.0,0.05,4m,1.5,0.7,1.9000000000000001,584.0,560,0.025,6m,0.5,1.2000000000000002,1.2000000000000002,672,296.0,0.05,1m,1.3,0.5,1.3,416.0,,,,,,,,976.0,0.025,2m,0.6,1.4,1.9000000000000001,608.0,960.0,0.025,7m,1.0,1.4,1.3,864.0,,,,,,,,0.15000000000000002,8,COMPLETE
76,76,3.357717770934179,2025-06-15 23:23:27.697448,2025-06-15 23:23:34.153456,0 days 00:00:06.456008,824.0,0.025,5m,1.5,1.1,1.2000000000000002,816.0,880.0,0.025,4m,1.1,1.5,2.0,704.0,296.0,0.05,4m,0.9,1.4,1.9000000000000001,80.0,1024.0,0.05,4m,1.5,0.6,1.8000000000000003,536.0,512,0.05,6m,0.6,1.2000000000000002,1.2000000000000002,456,,,,,,,,,,,,,,,792.0,0.025,2m,0.7,1.4,1.8000000000000003,536.0,936.0,0.025,7m,0.8,1.3,1.2000000000000002,736.0,,,,,,,,0.1,7,COMPLETE
77,77,0.2914976601730816,2025-06-15 23:23:34.236860,2025-06-15 23:23:40.665519,0 days 00:00:06.428659,824.0,0.025,5m,1.5,1.1,1.2000000000000002,752.0,888.0,0.025,4m,1.1,1.5,2.0,712.0,304.0,0.05,4m,0.9,1.4,1.9000000000000001,80.0,632.0,0.05,4m,1.5,0.6,1.8000000000000003,624.0,408,0.05,6m,0.6,1.2000000000000002,1.2000000000000002,440,,,,,,,,,,,,,,,800.0,0.025,2m,0.7,1.4,1.8000000000000003,536.0,968.0,0.025,7m,0.8,1.3,1.2000000000000002,752.0,,,,,,,,0.15000000000000002,7,COMPLETE
78,78,-1.7449767107986567,2025-06-15 23:23:40.755356,2025-06-15 23:23:49.223915,0 days 00:00:08.468559,912.0,0.025,5m,1.5,1.2000000000000002,1.3,816.0,968.0,0.025,4m,1.2000000000000002,1.5,1.9000000000000001,808.0,208.0,0.05,4m,0.9,1.5,2.0,184.0,880.0,0.05,4m,1.4,0.8,1.9000000000000001,704.0,512,0.05,6m,0.5,1.2000000000000002,1.4000000000000001,576,144.0,0.05,1m,1.1,0.6,1.2000000000000002,232.0,632.0,0.05,10m,0.8,0.6,1.5,184.0,880.0,0.025,2m,0.6,1.5,1.8000000000000003,592.0,880.0,0.025,7m,0.9,1.4,1.3,696.0,,,,,,,,0.1,9,COMPLETE
79,79,1.7448758348099227,2025-06-15 23:23:49.322222,2025-06-15 23:23:56.857480,0 days 00:00:07.535258,824.0,0.025,5m,1.4,1.0,1.1,728.0,832.0,0.025,4m,1.0,1.4,2.0,736.0,376.0,0.05,4m,0.8,1.4,1.9000000000000001,72.0,712.0,0.05,4m,1.5,0.5,1.8000000000000003,536.0,456,0.025,6m,0.5,1.2000000000000002,1.1,528,408.0,0.05,1m,1.3,0.6,1.4000000000000001,88.0,,,,,,,,952.0,0.025,4m,0.7,1.3,1.9000000000000001,528.0,928.0,0.025,7m,0.8,1.2000000000000002,1.4000000000000001,960.0,,,,,,,,0.25,8,COMPLETE
80,80,-1.9862045519147584,2025-06-15 23:23:56.936805,2025-06-15 23:24:03.891457,0 days 00:00:06.954652,744.0,0.025,5m,1.3,1.2000000000000002,1.2000000000000002,976.0,784.0,0.025,4m,1.1,1.5,1.9000000000000001,856.0,152.0,0.05,3m,1.0,1.5,2.0,32.0,856.0,0.025,4m,1.4,0.7,1.7000000000000002,648.0,680,0.05,6m,0.5,1.1,1.5,464,,,,,,,,,,,,,,,672.0,0.025,2m,0.8,1.5,1.7000000000000002,704.0,960.0,0.025,10m,0.9,1.3,1.2000000000000002,840.0,,,,,,,,0.1,7,COMPLETE
81,81,3.730318757597471,2025-06-15 23:24:03.991086,2025-06-15 23:24:11.812508,0 days 00:00:07.821422,968.0,0.025,5m,1.4,1.1,1.1,712.0,848.0,0.025,4m,1.0,1.4,2.0,720.0,352.0,0.05,4m,0.8,1.4,1.9000000000000001,80.0,552.0,0.05,4m,1.5,0.5,1.8000000000000003,544.0,440,0.025,6m,0.5,1.2000000000000002,1.1,504,432.0,0.05,1m,1.3,0.6,1.4000000000000001,72.0,,,,,,,,968.0,0.025,4m,0.7,1.3,1.9000000000000001,544.0,936.0,0.025,7m,0.8,1.2000000000000002,1.4000000000000001,960.0,,,,,,,,0.25,8,COMPLETE
82,82,2.452705718804072,2025-06-15 23:24:11.915920,2025-06-15 23:24:19.416620,0 days 00:00:07.500700,968.0,0.025,5m,1.4,1.1,1.2000000000000002,680.0,888.0,0.025,4m,1.0,1.4,2.0,776.0,272.0,0.05,4m,0.8,1.4,1.9000000000000001,136.0,536.0,0.05,4m,1.5,0.5,1.8000000000000003,512.0,480,0.025,6m,0.6,1.1,1.1,496,288.0,0.05,1m,1.4,0.5,1.5,80.0,,,,,,,,968.0,0.025,4m,0.6,1.4,1.9000000000000001,640.0,1016.0,0.025,7m,0.8,1.1,1.3,944.0,,,,,,,,0.2,8,COMPLETE
83,83,2.833152969942432,2025-06-15 23:24:19.495924,2025-06-15 23:24:27.250150,0 days 00:00:07.754226,960.0,0.025,5m,1.4,1.1,1.2000000000000002,672.0,896.0,0.025,4m,1.1,1.4,2.0,704.0,272.0,0.05,4m,0.8,1.4,1.9000000000000001,144.0,552.0,0.05,4m,1.5,0.5,1.8000000000000003,552.0,440,0.025,6m,0.7,1.2000000000000002,1.1,496,304.0,0.05,1m,1.4,0.5,1.5,32.0,,,,,,,,976.0,0.025,4m,0.6,1.4,1.9000000000000001,608.0,1016.0,0.025,7m,0.8,1.1,1.3,944.0,,,,,,,,0.2,8,COMPLETE
84,84,1.761110502250064,2025-06-15 23:24:27.358768,2025-06-15 23:24:49.299825,0 days 00:00:21.941057,880.0,0.025,5m,1.5,1.1,1.1,696.0,864.0,0.025,4m,1.2000000000000002,1.4,2.0,792.0,240.0,0.05,4m,0.7,1.3,1.8000000000000003,200.0,544.0,0.05,4m,1.5,0.5,1.9000000000000001,432.0,440,0.025,6m,0.7,1.1,1.1,488,400.0,0.05,1m,1.5,0.5,1.5,16.0,864.0,0.025,1m,1.2000000000000002,1.0,1.7000000000000002,744.0,1016.0,0.025,4m,0.7,1.3,1.8000000000000003,648.0,1024.0,0.025,8m,0.7,1.1,1.4000000000000001,1016.0,,,,,,,,0.2,9,COMPLETE
85,85,1.6924930492662809,2025-06-15 23:24:49.444438,2025-06-15 23:24:59.570441,0 days 00:00:10.126003,984.0,0.025,5m,1.3,1.1,1.2000000000000002,792.0,912.0,0.025,4m,1.0,1.5,1.9000000000000001,712.0,184.0,0.05,4m,0.9,1.4,1.9000000000000001,72.0,456.0,0.05,4m,1.5,0.6,1.8000000000000003,552.0,480,0.025,6m,0.6,1.0,1.1,544,,,,,,,,,,,,,,,888.0,0.025,4m,0.6,1.4,1.9000000000000001,568.0,976.0,0.025,7m,0.8,1.0,1.3,952.0,,,,,,,,0.25,7,COMPLETE
