,number,value,datetime_start,datetime_complete,duration,params_COST_MU_beta_win,params_COST_MU_stop_loss,params_COST_MU_trade_freq,params_COST_MU_z_entry,params_COST_MU_z_exit,params_COST_MU_z_stop_scaler,params_COST_MU_z_win,params_CRWD_EXC_beta_win,params_CRWD_EXC_stop_loss,params_CRWD_EXC_trade_freq,params_CRWD_EXC_z_entry,params_CRWD_EXC_z_exit,params_CRWD_EXC_z_stop_scaler,params_CRWD_EXC_z_win,params_EXC_TEAM_beta_win,params_EXC_TEAM_stop_loss,params_EXC_TEAM_trade_freq,params_EXC_TEAM_z_entry,params_EXC_TEAM_z_exit,params_EXC_TEAM_z_stop_scaler,params_EXC_TEAM_z_win,params_INTC_CTAS_beta_win,params_INTC_CTAS_stop_loss,params_INTC_CTAS_trade_freq,params_INTC_CTAS_z_entry,params_INTC_CTAS_z_exit,params_INTC_CTAS_z_stop_scaler,params_INTC_CTAS_z_win,params_INTC_MU_beta_win,params_INTC_MU_stop_loss,params_INTC_MU_trade_freq,params_INTC_MU_z_entry,params_INTC_MU_z_exit,params_INTC_MU_z_stop_scaler,params_INTC_MU_z_win,params_MSFT_TTWO_beta_win,params_MSFT_TTWO_stop_loss,params_MSFT_TTWO_trade_freq,params_MSFT_TTWO_z_entry,params_MSFT_TTWO_z_exit,params_MSFT_TTWO_z_stop_scaler,params_MSFT_TTWO_z_win,params_MU_CTAS_beta_win,params_MU_CTAS_stop_loss,params_MU_CTAS_trade_freq,params_MU_CTAS_z_entry,params_MU_CTAS_z_exit,params_MU_CTAS_z_stop_scaler,params_MU_CTAS_z_win,params_MU_EXC_beta_win,params_MU_EXC_stop_loss,params_MU_EXC_trade_freq,params_MU_EXC_z_entry,params_MU_EXC_z_exit,params_MU_EXC_z_stop_scaler,params_MU_EXC_z_win,params_WBA_WBD_beta_win,params_WBA_WBD_stop_loss,params_WBA_WBD_trade_freq,params_WBA_WBD_z_entry,params_WBA_WBD_z_exit,params_WBA_WBD_z_stop_scaler,params_WBA_WBD_z_win,params_ZS_EXC_beta_win,params_ZS_EXC_stop_loss,params_ZS_EXC_trade_freq,params_ZS_EXC_z_entry,params_ZS_EXC_z_exit,params_ZS_EXC_z_stop_scaler,params_ZS_EXC_z_win,params_buffer_capital,params_pairs_to_trade,state
44,44,-0.40650394928988204,2025-06-16 00:37:50.541490,2025-06-16 00:37:51.466865,0 days 00:00:00.925375,,,,,,,,,,,,,,,,,,,,,,784,0.05,10m,0.8,1.0,1.3,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
45,45,-0.23539096163212,2025-06-16 00:37:51.529902,2025-06-16 00:37:54.828303,0 days 00:00:03.298401,,,,,,,,,,,,,,,,,,,,,,880,0.05,4m,1.0,0.9,1.5,912,,,,,,,,136.0,0.05,1m,1.3,1.4,2.0,584.0,408.0,0.05,10m,1.0,1.0,1.6,288.0,,,,,,,,16.0,0.05,3m,1.1,1.0,2.0,320.0,,,,,,,,0.15000000000000002,4,COMPLETE
46,46,-3.647430581075633,2025-06-16 00:37:54.885567,2025-06-16 00:37:56.580907,0 days 00:00:01.695340,,,,,,,,,,,,,,,,,,,,,,832,0.05,3m,0.5,1.1,1.3,760,,,,,,,,,,,,,,,112.0,0.025,2m,0.5,1.3,1.5,192.0,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
47,47,-9.735183642496446,2025-06-16 00:37:56.655517,2025-06-16 00:38:00.417194,0 days 00:00:03.761677,,,,,,,,,,,,,,,832.0,0.025,5m,0.7,0.5,1.2000000000000002,800.0,720,0.05,1m,0.9,1.2000000000000002,1.6,840,,,,,,,,480.0,0.025,7m,1.5,1.0,1.8000000000000003,160.0,312.0,0.025,6m,1.3,1.1,1.8000000000000003,72.0,,,,,,,,432.0,0.025,2m,0.6,1.2000000000000002,1.8000000000000003,488.0,,,,,,,,0.3,5,COMPLETE
48,48,-0.6795888753441017,2025-06-16 00:38:00.478415,2025-06-16 00:38:01.325936,0 days 00:00:00.847521,,,,,,,,,,,,,,,,,,,,,,904,0.05,3m,0.6,0.5,1.4000000000000001,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
49,49,-3.6896115915050633,2025-06-16 00:38:01.368415,2025-06-16 00:38:04.398471,0 days 00:00:03.030056,,,,,,,,,,,,,,,,,,,,,,48,0.05,7m,0.8,0.9,1.9000000000000001,976,,,,,,,,344.0,0.05,9m,0.5,1.0,1.1,320.0,544.0,0.05,9m,1.2000000000000002,1.4,2.0,416.0,,,,,,,,232.0,0.05,7m,0.8,1.0,1.4000000000000001,744.0,,,,,,,,0.1,4,COMPLETE
50,50,0.06918058553455668,2025-06-16 00:38:04.450112,2025-06-16 00:38:06.744428,0 days 00:00:02.294316,,,,,,,,,,,,,,,,,,,,,,856,0.05,3m,0.7,1.3,1.2000000000000002,920,,,,,,,,,,,,,,,464.0,0.025,5m,1.4,1.2000000000000002,1.7000000000000002,608.0,,,,,,,,928.0,0.05,6m,1.4,0.5,1.6,320.0,,,,,,,,0.45,3,COMPLETE
51,51,-1.6291831871421623,2025-06-16 00:38:06.800489,2025-06-16 00:38:08.477700,0 days 00:00:01.677211,,,,,,,,,,,,,,,,,,,,,,888,0.05,3m,0.8,1.1,1.4000000000000001,976,,,,,,,,,,,,,,,392.0,0.025,10m,1.1,1.1,1.7000000000000002,16.0,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
52,52,0.22675722047670602,2025-06-16 00:38:08.534892,2025-06-16 00:38:10.110801,0 days 00:00:01.575909,,,,,,,,,,,,,,,,,,,,,,792,0.05,3m,0.8,1.0,1.4000000000000001,1008,,,,,,,,,,,,,,,272.0,0.025,10m,1.2000000000000002,1.2000000000000002,1.6,48.0,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
53,53,-0.40468691927002876,2025-06-16 00:38:10.143553,2025-06-16 00:38:11.792069,0 days 00:00:01.648516,,,,,,,,,,,,,,,,,,,,,,968,0.05,9m,0.7,1.2000000000000002,1.3,888,,,,,,,,,,,,,,,432.0,0.025,10m,1.1,1.1,1.5,160.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
54,54,-0.09457584556194933,2025-06-16 00:38:11.841375,2025-06-16 00:38:12.623185,0 days 00:00:00.781810,,,,,,,,,,,,,,,,,,,,,,920,0.05,3m,1.0,1.1,1.5,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
55,55,-4.774794905279786,2025-06-16 00:38:12.665711,2025-06-16 00:38:14.862636,0 days 00:00:02.196925,,,,,,,,,,,,,,,,,,,,,,992,0.05,2m,0.9,1.0,1.3,248,,,,,,,,,,,,,,,208.0,0.025,10m,1.0,1.0,1.7000000000000002,120.0,,,,,,,,784.0,0.025,9m,1.2000000000000002,0.7,1.9000000000000001,624.0,,,,,,,,0.45,3,COMPLETE
56,56,-0.8886804583820567,2025-06-16 00:38:14.933692,2025-06-16 00:38:16.665668,0 days 00:00:01.731976,,,,,,,,,,,,,,,,,,,,,,768,0.05,6m,0.8,1.1,1.4000000000000001,1024,,,,,,,,,,,,,,,368.0,0.025,1m,1.2000000000000002,0.9,1.8000000000000003,752.0,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
57,57,-3.268883568276384,2025-06-16 00:38:16.715814,2025-06-16 00:38:22.170268,0 days 00:00:05.454454,384.0,0.025,3m,0.8,1.3,1.8000000000000003,240.0,,,,,,,,1024.0,0.05,1m,1.3,0.8,1.9000000000000001,440.0,864,0.05,5m,0.7,1.2000000000000002,1.7000000000000002,944,,,,,,,,568.0,0.025,6m,0.9,0.7,1.3,920.0,672.0,0.05,3m,1.0,1.3,1.9000000000000001,72.0,464.0,0.025,8m,1.0,0.5,1.4000000000000001,752.0,560.0,0.05,10m,0.6,1.4,1.3,400.0,,,,,,,,0.2,7,COMPLETE
58,58,-1.2135209531298334,2025-06-16 00:38:22.245802,2025-06-16 00:38:23.211456,0 days 00:00:00.965654,,,,,,,,,,,,,,,,,,,,,,696,0.05,3m,0.9,1.3,1.4000000000000001,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
59,59,-6.645570673619673,2025-06-16 00:38:23.260264,2025-06-16 00:38:25.717568,0 days 00:00:02.457304,,,,,,,,,,,,,,,,,,,,,,584,0.05,8m,0.8,1.2000000000000002,1.9000000000000001,864,,,,,,,,,,,,,,,496.0,0.025,4m,0.6,1.2000000000000002,1.7000000000000002,16.0,,,,,,,,648.0,0.025,4m,1.4,1.3,1.8000000000000003,936.0,,,,,,,,0.1,3,COMPLETE
60,60,-1.1439827377477358,2025-06-16 00:38:25.773044,2025-06-16 00:38:26.670303,0 days 00:00:00.897259,,,,,,,,,,,,,,,,,,,,,,904,0.05,3m,0.6,1.4,1.8000000000000003,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
61,61,0.4773944909358795,2025-06-16 00:38:26.742779,2025-06-16 00:38:28.404776,0 days 00:00:01.661997,,,,,,,,,,,,,,,,,,,,,,800,0.05,3m,0.8,1.0,1.4000000000000001,992,,,,,,,,,,,,,,,288.0,0.025,10m,1.2000000000000002,0.5,1.6,48.0,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
62,62,0.11761797695572669,2025-06-16 00:38:28.490106,2025-06-16 00:38:30.303519,0 days 00:00:01.813413,,,,,,,,,,,,,,,,,,,,,,832,0.05,3m,0.8,1.0,1.5,904,,,,,,,,,,,,,,,312.0,0.025,10m,1.3,0.5,1.6,56.0,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
63,63,0.32001817244580943,2025-06-16 00:38:30.360946,2025-06-16 00:38:31.976409,0 days 00:00:01.615463,,,,,,,,,,,,,,,,,,,,,,800,0.05,3m,1.4,0.8,1.4000000000000001,984,,,,,,,,,,,,,,,392.0,0.025,10m,1.2000000000000002,0.5,1.7000000000000002,192.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
64,64,-2.127079328520004,2025-06-16 00:38:32.036690,2025-06-16 00:38:33.793263,0 days 00:00:01.756573,,,,,,,,,,,,,,,,,,,,,,944,0.05,3m,0.7,1.1,1.3,960,,,,,,,,,,,,,,,264.0,0.025,8m,1.1,0.9,1.6,112.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
65,65,-10.962070230614502,2025-06-16 00:38:33.834408,2025-06-16 00:38:34.851415,0 days 00:00:01.017007,,,,,,,,,,,,,,,,,,,,,,872,0.05,1m,0.9,1.0,1.5,928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
66,66,-1.8565808680625235,2025-06-16 00:38:34.923853,2025-06-16 00:38:37.362032,0 days 00:00:02.438179,,,,,,,,,,,,,,,,,,,,,,752,0.05,4m,0.8,1.1,1.6,888,,,,,,,,,,,,,,,520.0,0.025,7m,1.1,1.1,1.5,984.0,,,,,,,,528.0,0.05,6m,1.3,0.9,1.5,288.0,,,,,,,,0.2,3,COMPLETE
67,67,-1.0615031664344903,2025-06-16 00:38:37.386564,2025-06-16 00:38:38.245949,0 days 00:00:00.859385,,,,,,,,,,,,,,,,,,,,,,992,0.05,3m,0.7,0.9,1.4000000000000001,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
68,68,-0.5741794254251383,2025-06-16 00:38:38.294909,2025-06-16 00:38:40.000885,0 days 00:00:01.705976,,,,,,,,,,,,,,,,,,,,,,320,0.05,9m,1.0,1.0,2.0,944,,,,,,,,,,,,,,,456.0,0.025,6m,1.2000000000000002,0.7,1.8000000000000003,256.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
69,69,-1.182452327701201,2025-06-16 00:38:40.049245,2025-06-16 00:38:42.450414,0 days 00:00:02.401169,,,,,,,,,,,,,,,,,,,,,,464,0.05,3m,0.9,1.2000000000000002,1.4000000000000001,392,,,,,,,,,,,,,,,1008.0,0.025,10m,0.9,1.0,1.7000000000000002,856.0,,,,,,,,312.0,0.025,1m,0.9,0.6,1.7000000000000002,792.0,,,,,,,,0.5,3,COMPLETE
70,70,-2.0220504444132645,2025-06-16 00:38:42.527559,2025-06-16 00:38:47.148655,0 days 00:00:04.621096,384.0,0.05,4m,1.5,0.5,1.4000000000000001,552.0,,,,,,,,152.0,0.025,5m,0.5,1.3,1.5,712.0,832,0.05,10m,0.8,1.1,1.3,760,,,,,,,,744.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.6,696.0,352.0,0.025,8m,1.4,0.8,1.8000000000000003,560.0,,,,,,,,472.0,0.05,8m,1.5,1.2000000000000002,2.0,664.0,,,,,,,,0.15000000000000002,6,COMPLETE
71,71,0.32001817244580943,2025-06-16 00:38:47.205267,2025-06-16 00:38:49.043444,0 days 00:00:01.838177,,,,,,,,,,,,,,,,,,,,,,792,0.05,3m,1.4,0.7,1.4000000000000001,1024,,,,,,,,,,,,,,,392.0,0.025,10m,1.2000000000000002,0.5,1.7000000000000002,192.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
72,72,0.3627863788151953,2025-06-16 00:38:49.105153,2025-06-16 00:38:50.693076,0 days 00:00:01.587923,,,,,,,,,,,,,,,,,,,,,,928,0.05,3m,1.5,0.8,1.5,992,,,,,,,,,,,,,,,408.0,0.025,10m,1.3,0.6,1.7000000000000002,152.0,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
73,73,0.0089930897711995,2025-06-16 00:38:50.754384,2025-06-16 00:38:51.722886,0 days 00:00:00.968502,,,,,,,,,,,,,,,,,,,,,,936,0.05,3m,1.5,0.9,1.5,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
74,74,0.6994350520246694,2025-06-16 00:38:51.789719,2025-06-16 00:38:53.579169,0 days 00:00:01.789450,,,,,,,,,,,,,,,,,,,,,,904,0.05,3m,1.3,0.6,1.5,992,,,,,,,,,,,,,,,440.0,0.025,10m,1.4,0.6,1.6,40.0,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
75,75,-1.3215351368244515,2025-06-16 00:38:53.656941,2025-06-16 00:38:55.991658,0 days 00:00:02.334717,,,,,,,,,,,,,,,,,,,,,,888,0.05,3m,0.9,1.5,1.5,816,,,,,,,,,,,,,,,320.0,0.025,9m,1.4,0.6,1.6,40.0,,,,,,,,928.0,0.025,5m,1.0,1.5,1.3,136.0,,,,,,,,0.05,3,COMPLETE
76,76,2.1184856358610893,2025-06-16 00:38:56.057368,2025-06-16 00:38:57.793135,0 days 00:00:01.735767,,,,,,,,,,,,,,,,,,,,,,848,0.025,7m,1.2000000000000002,1.4,1.6,904,,,,,,,,,,,,,,,472.0,0.025,10m,1.0,1.1,1.6,16.0,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
77,77,-0.28352762743994386,2025-06-16 00:38:57.848469,2025-06-16 00:38:58.805129,0 days 00:00:00.956660,,,,,,,,,,,,,,,,,,,,,,848,0.025,7m,1.2000000000000002,0.5,1.7000000000000002,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
78,78,0.44284704038555645,2025-06-16 00:38:58.865001,2025-06-16 00:39:02.065506,0 days 00:00:03.200505,,,,,,,,,,,,,,,,,,,,,,1008,0.025,7m,1.3,1.4,1.6,904,,,,,,,,896.0,0.025,2m,1.1,1.4,1.5,104.0,568.0,0.025,6m,1.0,1.1,1.4000000000000001,96.0,,,,,,,,784.0,0.025,10m,0.8,1.1,1.6,480.0,,,,,,,,0.05,4,COMPLETE
79,79,-0.43312031959226316,2025-06-16 00:39:02.118391,2025-06-16 00:39:03.897988,0 days 00:00:01.779597,,,,,,,,,,,,,,,,,,,,,,904,0.025,7m,1.3,1.4,1.8000000000000003,160,,,,,,,,,,,,,,,472.0,0.025,2m,0.9,1.1,1.5,16.0,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
80,80,-2.9602227732113393,2025-06-16 00:39:03.948011,2025-06-16 00:39:06.384380,0 days 00:00:02.436369,,,,,,,,,,,,,,,,,,,,,,960,0.025,6m,1.3,0.6,1.7000000000000002,928,,,,,,,,,,,,,,,616.0,0.025,5m,1.0,1.2000000000000002,1.6,88.0,,,,,,,,1024.0,0.05,7m,0.5,0.7,1.2000000000000002,368.0,,,,,,,,0.05,3,COMPLETE
81,81,0.1543717788333761,2025-06-16 00:39:06.440263,2025-06-16 00:39:08.085644,0 days 00:00:01.645381,,,,,,,,,,,,,,,,,,,,,,816,0.025,2m,1.2000000000000002,1.5,1.3,960,,,,,,,,,,,,,,,440.0,0.025,10m,1.1,1.0,1.6,48.0,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
82,82,-0.9392588216007494,2025-06-16 00:39:08.137519,2025-06-16 00:39:09.839574,0 days 00:00:01.702055,,,,,,,,,,,,,,,,,,,,,,864,0.05,3m,1.2000000000000002,0.6,1.4000000000000001,1000,,,,,,,,,,,,,,,512.0,0.025,10m,1.1,1.2000000000000002,1.7000000000000002,128.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
83,83,-0.031087409971669987,2025-06-16 00:39:09.897985,2025-06-16 00:39:10.685786,0 days 00:00:00.787801,,,,,,,,,,,,,,,,,,,,,,776,0.05,5m,1.4,1.1,1.4000000000000001,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
84,84,-1.0163928370270117,2025-06-16 00:39:10.751105,2025-06-16 00:39:12.656555,0 days 00:00:01.905450,,,,,,,,,,,,,,,,,,,,,,912,0.05,3m,1.1,1.3,1.5,960,,,,,,,,,,,,,,,232.0,0.025,10m,1.5,1.1,1.6,48.0,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
85,85,-0.3516136898586774,2025-06-16 00:39:12.703284,2025-06-16 00:39:17.476491,0 days 00:00:04.773207,,,,,,,,,,,,,,,,,,,,,,744,0.05,8m,0.8,1.3,1.8000000000000003,856,,,,,,,,,,,,,,,424.0,0.025,10m,0.8,0.5,1.8000000000000003,96.0,,,,,,,,152.0,0.025,6m,0.7,1.3,1.1,24.0,,,,,,,,0.4,3,COMPLETE
86,86,-5.452472642937563,2025-06-16 00:39:17.594936,2025-06-16 00:39:34.035922,0 days 00:00:16.440986,40.0,0.025,10m,1.2000000000000002,1.2000000000000002,1.3,568.0,40.0,0.05,10m,1.0,1.1,1.5,1008.0,528.0,0.05,10m,1.0,1.1,1.3,200.0,888,0.05,7m,0.7,1.0,1.3,440,56.0,0.05,1m,1.5,1.5,1.1,24.0,152.0,0.05,4m,0.7,0.9,1.8000000000000003,360.0,552.0,0.025,1m,1.2000000000000002,1.0,1.7000000000000002,672.0,680.0,0.05,3m,0.5,0.8,2.0,320.0,288.0,0.05,3m,0.6,0.8,1.9000000000000001,960.0,1000.0,0.025,1m,1.4,1.5,1.1,16.0,0.05,10,COMPLETE
87,87,0.7349090664440305,2025-06-16 00:39:34.140938,2025-06-16 00:39:35.808661,0 days 00:00:01.667723,,,,,,,,,,,,,,,,,,,,,,848,0.05,3m,0.8,1.1,1.9000000000000001,568,,,,,,,,,,,,,,,480.0,0.025,9m,1.0,0.7,1.5,16.0,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
88,88,-1.287964014784386,2025-06-16 00:39:35.867405,2025-06-16 00:39:36.779060,0 days 00:00:00.911655,,,,,,,,,,,,,,,,,,,,,,688,0.05,3m,0.9,1.2000000000000002,1.9000000000000001,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
89,89,-3.4203129254618645,2025-06-16 00:39:36.845881,2025-06-16 00:39:39.330294,0 days 00:00:02.484413,,,,,,,,,,,,,,,,,,,,,,848,0.025,4m,0.8,1.1,2.0,304,,,,,,,,,,,,,,,520.0,0.025,9m,1.0,0.7,1.5,464.0,,,,,,,,680.0,0.025,4m,1.0,1.1,1.2000000000000002,736.0,,,,,,,,0.1,3,COMPLETE
90,90,-18.368335739011084,2025-06-16 00:39:39.408963,2025-06-16 00:39:40.957817,0 days 00:00:01.548854,,,,,,,,,,,,,,,,,,,,,,976,0.05,1m,0.7,1.2000000000000002,1.9000000000000001,888,,,,,,,,,,,,,,,472.0,0.025,9m,0.9,0.6,1.1,16.0,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
91,91,-0.9534817519367211,2025-06-16 00:39:41.014773,2025-06-16 00:39:42.662280,0 days 00:00:01.647507,,,,,,,,,,,,,,,,,,,,,,824,0.05,3m,0.8,1.1,1.8000000000000003,616,,,,,,,,,,,,,,,368.0,0.025,9m,1.1,0.6,1.5,72.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
92,92,-2.996390692178544,2025-06-16 00:39:42.714613,2025-06-16 00:39:44.393834,0 days 00:00:01.679221,,,,,,,,,,,,,,,,,,,,,,864,0.05,3m,0.8,1.0,1.4000000000000001,1000,,,,,,,,,,,,,,,336.0,0.025,7m,1.0,1.1,1.6,40.0,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
93,93,0.24928234101148472,2025-06-16 00:39:44.448582,2025-06-16 00:39:45.437634,0 days 00:00:00.989052,,,,,,,,,,,,,,,,,,,,,,808,0.05,3m,0.8,1.4,1.4000000000000001,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
94,94,-0.9734451477249789,2025-06-16 00:39:45.483455,2025-06-16 00:39:47.182117,0 days 00:00:01.698662,,,,,,,,,,,,,,,,,,,,,,936,0.05,3m,0.9,1.1,1.6,968,,,,,,,,,,,,,,,288.0,0.025,8m,1.1,0.7,1.3,128.0,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
95,95,-2.1323706008085135,2025-06-16 00:39:47.236996,2025-06-16 00:39:48.888870,0 days 00:00:01.651874,,,,,,,,,,,,,,,,,,,,,,888,0.05,3m,0.7,0.7,1.9000000000000001,1024,,,,,,,,,,,,,,,488.0,0.025,3m,1.1,1.1,1.4000000000000001,80.0,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
96,96,-0.3448272532827106,2025-06-16 00:39:48.944581,2025-06-16 00:39:49.910362,0 days 00:00:00.965781,,,,,,,,,,,,,,,,,,,,,,768,0.05,3m,0.8,1.2000000000000002,1.8000000000000003,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
97,97,-2.2462063452222094,2025-06-16 00:39:49.979423,2025-06-16 00:39:52.488250,0 days 00:00:02.508827,,,,,,,,,,,,,,,,,,,,,,728,0.05,10m,0.9,1.0,1.5,904,,,,,,,,,,,,,,,424.0,0.025,9m,1.3,1.2000000000000002,1.6,16.0,,,,,,,,416.0,0.05,2m,1.1,1.4,1.9000000000000001,616.0,,,,,,,,0.45,3,COMPLETE
98,98,-3.1063977919754397,2025-06-16 00:39:52.546016,2025-06-16 00:39:57.710124,0 days 00:00:05.164108,208.0,0.05,7m,0.7,0.8,1.8000000000000003,192.0,,,,,,,,848.0,0.025,7m,0.8,0.6,1.6,456.0,912,0.05,3m,0.6,1.3,1.4000000000000001,816,,,,,,,,368.0,0.025,7m,1.3,0.6,1.9000000000000001,520.0,632.0,0.025,6m,1.0,0.5,1.7000000000000002,336.0,264.0,0.025,4m,1.2000000000000002,1.5,1.7000000000000002,40.0,368.0,0.025,8m,1.2000000000000002,1.3,1.5,256.0,,,,,,,,0.2,7,COMPLETE
99,99,-0.5277927074096331,2025-06-16 00:39:57.765651,2025-06-16 00:40:00.066008,0 days 00:00:02.300357,,,,,,,,,,,,,,,,,,,,,,848,0.05,7m,0.8,1.1,1.7000000000000002,1000,,,,,,,,,,,,,,,192.0,0.025,4m,1.2000000000000002,0.9,1.5,168.0,,,,,,,,952.0,0.05,5m,0.9,1.5,1.7000000000000002,688.0,,,,,,,,0.05,3,COMPLETE
100,100,-1.5777276526847164,2025-06-16 00:40:00.128918,2025-06-16 00:40:06.762592,0 days 00:00:06.633674,832.0,0.025,3m,1.1,1.3,1.2000000000000002,952.0,736.0,0.025,6m,1.5,1.1,1.6,408.0,696.0,0.05,3m,1.4,0.9,2.0,624.0,952,0.05,9m,0.8,1.5,1.3,512,,,,,,,,520.0,0.05,5m,0.9,0.8,1.3,744.0,136.0,0.025,10m,1.2000000000000002,1.2000000000000002,1.6,56.0,1016.0,0.05,2m,0.9,0.7,1.3,336.0,832.0,0.05,10m,0.7,0.5,1.4000000000000001,1024.0,136.0,0.025,4m,0.5,1.1,1.6,984.0,0.05,9,COMPLETE
101,101,-3.1068468174190453,2025-06-16 00:40:06.828095,2025-06-16 00:40:10.171048,0 days 00:00:03.342953,,,,,,,,,,,,,,,,,,,,,,1000,0.025,7m,1.3,1.4,1.6,904,,,,,,,,912.0,0.025,2m,1.1,1.4,1.5,120.0,568.0,0.025,6m,1.0,1.1,1.3,104.0,,,,,,,,776.0,0.025,10m,0.8,1.1,1.6,472.0,,,,,,,,0.05,4,COMPLETE
102,102,-0.31399614789877706,2025-06-16 00:40:10.233794,2025-06-16 00:40:14.338747,0 days 00:00:04.104953,,,,,,,,,,,,,,,408.0,0.025,2m,1.0,1.0,1.8000000000000003,1016.0,872,0.025,7m,1.3,1.3,1.6,928,,,,,,,,688.0,0.025,2m,1.1,1.4,1.5,104.0,536.0,0.025,6m,1.0,1.0,1.4000000000000001,88.0,,,,,,,,904.0,0.025,10m,0.8,0.9,1.6,376.0,,,,,,,,0.05,5,COMPLETE
103,103,-1.997827479826085,2025-06-16 00:40:14.425609,2025-06-16 00:40:17.761321,0 days 00:00:03.335712,,,,,,,,,,,,,,,,,,,,,,824,0.025,7m,1.2000000000000002,1.4,1.6,976,,,,,,,,840.0,0.025,2m,1.3,1.2000000000000002,1.3,256.0,576.0,0.025,6m,1.0,1.1,1.4000000000000001,144.0,,,,,,,,816.0,0.025,10m,0.9,0.6,1.8000000000000003,536.0,,,,,,,,0.1,4,COMPLETE
104,104,-0.22724012415845796,2025-06-16 00:40:17.817574,2025-06-16 00:40:19.684936,0 days 00:00:01.867362,,,,,,,,,,,,,,,,,,,,,,976,0.025,3m,1.4,1.4,1.5,848,,,,,,,,,,,,,,,488.0,0.025,6m,1.1,1.1,1.7000000000000002,64.0,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
105,105,-7.775243689298998,2025-06-16 00:40:19.749044,2025-06-16 00:40:22.330866,0 days 00:00:02.581822,,,,,,,,,,,,,,,,,,,,,,1008,0.025,2m,0.7,1.1,1.4000000000000001,888,,,,,,,,,,,,,,,704.0,0.025,10m,0.9,1.0,1.3,32.0,,,,,,,,736.0,0.025,1m,0.6,1.0,2.0,568.0,,,,,,,,0.1,3,COMPLETE
106,106,-0.6500677727442474,2025-06-16 00:40:22.417763,2025-06-16 00:40:24.173805,0 days 00:00:01.756042,,,,,,,,,,,,,,,,,,,,,,928,0.025,6m,1.3,1.2000000000000002,1.7000000000000002,944,,,,,,,,,,,,,,,448.0,0.025,8m,1.1,0.6,1.7000000000000002,104.0,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
