,number,value,datetime_start,datetime_complete,duration,params_AMAT_TXN_beta_win,params_AMAT_TXN_stop_loss,params_AMAT_TXN_trade_freq,params_AMAT_TXN_z_entry,params_AMAT_TXN_z_exit,params_AMAT_TXN_z_stop_scaler,params_AMAT_TXN_z_win,params_ASML_CSCO_beta_win,params_ASML_CSCO_stop_loss,params_ASML_CSCO_trade_freq,params_ASML_CSCO_z_entry,params_ASML_CSCO_z_exit,params_ASML_CSCO_z_stop_scaler,params_ASML_CSCO_z_win,params_CHTR_CTAS_beta_win,params_CHTR_CTAS_stop_loss,params_CHTR_CTAS_trade_freq,params_CHTR_CTAS_z_entry,params_CHTR_CTAS_z_exit,params_CHTR_CTAS_z_stop_scaler,params_CHTR_CTAS_z_win,params_CMCSA_CSCO_beta_win,params_CMCSA_CSCO_stop_loss,params_CMCSA_CSCO_trade_freq,params_CMCSA_CSCO_z_entry,params_CMCSA_CSCO_z_exit,params_CMCSA_CSCO_z_stop_scaler,params_CMCSA_CSCO_z_win,params_CSCO_GOOGL_beta_win,params_CSCO_GOOGL_stop_loss,params_CSCO_GOOGL_trade_freq,params_CSCO_GOOGL_z_entry,params_CSCO_GOOGL_z_exit,params_CSCO_GOOGL_z_stop_scaler,params_CSCO_GOOGL_z_win,params_CSCO_GOOG_beta_win,params_CSCO_GOOG_stop_loss,params_CSCO_GOOG_trade_freq,params_CSCO_GOOG_z_entry,params_CSCO_GOOG_z_exit,params_CSCO_GOOG_z_stop_scaler,params_CSCO_GOOG_z_win,params_CSCO_NXPI_beta_win,params_CSCO_NXPI_stop_loss,params_CSCO_NXPI_trade_freq,params_CSCO_NXPI_z_entry,params_CSCO_NXPI_z_exit,params_CSCO_NXPI_z_stop_scaler,params_CSCO_NXPI_z_win,params_CSCO_SBUX_beta_win,params_CSCO_SBUX_stop_loss,params_CSCO_SBUX_trade_freq,params_CSCO_SBUX_z_entry,params_CSCO_SBUX_z_exit,params_CSCO_SBUX_z_stop_scaler,params_CSCO_SBUX_z_win,params_CSCO_TXN_beta_win,params_CSCO_TXN_stop_loss,params_CSCO_TXN_trade_freq,params_CSCO_TXN_z_entry,params_CSCO_TXN_z_exit,params_CSCO_TXN_z_stop_scaler,params_CSCO_TXN_z_win,params_LRCX_TXN_beta_win,params_LRCX_TXN_stop_loss,params_LRCX_TXN_trade_freq,params_LRCX_TXN_z_entry,params_LRCX_TXN_z_exit,params_LRCX_TXN_z_stop_scaler,params_LRCX_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-0.5394140857054243,2025-06-15 23:02:13.010502,2025-06-15 23:02:31.847545,0 days 00:00:18.837043,320.0,0.05,6m,1.4,0.6,1.1,320.0,344,0.05,5m,1.3,0.9,1.1,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.0,0.025,10m,1.5,0.9,1.6,248.0,,,,,,,,,,,,,,,0.2,3,COMPLETE
1,1,-1.3166810481024076,2025-06-15 23:02:31.945400,2025-06-15 23:02:40.924422,0 days 00:00:08.979022,576.0,0.025,10m,0.7,1.3,1.1,384.0,984,0.025,6m,1.0,1.2000000000000002,1.6,592,40.0,0.05,1m,0.6,0.6,1.1,416.0,176.0,0.05,9m,0.9,0.8,1.7000000000000002,464.0,808.0,0.05,7m,1.5,0.7,1.7000000000000002,1008.0,488.0,0.05,7m,1.4,1.4,1.6,512.0,,,,,,,,112.0,0.05,3m,1.2000000000000002,1.2000000000000002,1.4000000000000001,288.0,152.0,0.025,9m,0.7,1.2000000000000002,1.6,1016.0,216.0,0.025,8m,0.8,1.0,2.0,712.0,0.3,9,COMPLETE
2,2,-5.118571930089355,2025-06-15 23:02:40.993336,2025-06-15 23:02:49.824100,0 days 00:00:08.830764,496.0,0.05,7m,1.5,1.1,1.6,672.0,584,0.025,8m,1.3,0.6,1.6,376,888.0,0.05,5m,1.4,0.9,1.2000000000000002,456.0,488.0,0.05,7m,0.6,1.4,1.3,352.0,432.0,0.05,3m,1.0,1.5,1.4000000000000001,280.0,920.0,0.025,9m,0.7,0.7,2.0,608.0,,,,,,,,368.0,0.05,8m,0.7,1.0,1.9000000000000001,376.0,96.0,0.05,9m,0.7,1.0,1.1,560.0,384.0,0.05,9m,1.3,1.0,1.5,384.0,0.15000000000000002,9,COMPLETE
3,3,-2.453432539897948,2025-06-15 23:02:49.909829,2025-06-15 23:02:53.757440,0 days 00:00:03.847611,848.0,0.025,6m,0.9,1.3,1.1,672.0,264,0.05,10m,1.5,0.5,1.6,720,600.0,0.05,10m,0.9,1.3,1.5,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,0.05,4m,0.5,0.7,1.5,632.0,,,,,,,,,,,,,,,0.05,4,COMPLETE
4,4,-5.979853867147968,2025-06-15 23:02:53.847460,2025-06-15 23:03:01.527298,0 days 00:00:07.679838,112.0,0.025,3m,0.6,0.6,1.9000000000000001,248.0,216,0.025,10m,1.2000000000000002,0.7,1.7000000000000002,480,656.0,0.05,6m,0.6,1.2000000000000002,1.9000000000000001,208.0,,,,,,,,344.0,0.05,4m,0.6,1.0,1.9000000000000001,600.0,392.0,0.025,5m,1.4,0.8,1.1,144.0,,,,,,,,864.0,0.05,2m,1.4,0.9,2.0,168.0,816.0,0.05,7m,1.5,1.3,2.0,1008.0,88.0,0.025,8m,1.5,0.7,1.3,848.0,0.4,8,COMPLETE
5,5,-44.557807091259576,2025-06-15 23:03:01.655213,2025-06-15 23:03:07.500052,0 days 00:00:05.844839,224.0,0.025,8m,0.7,1.1,1.2000000000000002,984.0,792,0.025,5m,1.5,1.0,1.6,528,1000.0,0.025,9m,1.4,0.5,1.4000000000000001,320.0,,,,,,,,288.0,0.025,4m,0.9,0.7,1.4000000000000001,912.0,,,,,,,,,,,,,,,800.0,0.025,10m,0.8,0.7,1.2000000000000002,552.0,,,,,,,,936.0,0.025,1m,0.6,1.2000000000000002,1.6,976.0,0.35000000000000003,6,COMPLETE
6,6,-0.40442048444049566,2025-06-15 23:03:07.567194,2025-06-15 23:03:11.743476,0 days 00:00:04.176282,720.0,0.025,4m,0.7,1.5,1.2000000000000002,784.0,608,0.05,2m,1.4,1.5,1.3,472,224.0,0.025,2m,1.0,0.5,1.2000000000000002,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.0,0.05,4m,1.4,0.6,1.2000000000000002,776.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
7,7,-0.11418586880975413,2025-06-15 23:03:11.833039,2025-06-15 23:03:15.753854,0 days 00:00:03.920815,992.0,0.025,2m,1.2000000000000002,1.3,1.1,720.0,392,0.05,7m,0.6,1.2000000000000002,1.1,104,624.0,0.025,8m,1.1,1.3,1.2000000000000002,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.0,0.025,5m,1.3,0.6,1.5,240.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
8,8,-0.7555712949184673,2025-06-15 23:03:15.838623,2025-06-15 23:03:17.983517,0 days 00:00:02.144894,,,,,,,,704,0.05,7m,0.5,0.8,1.9000000000000001,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.0,0.05,3m,1.4,1.3,1.4000000000000001,960.0,,,,,,,,,,,,,,,0.3,2,COMPLETE
9,9,-23.0685813675293,2025-06-15 23:03:18.058281,2025-06-15 23:03:24.679895,0 days 00:00:06.621614,344.0,0.025,10m,0.7,1.0,1.5,40.0,560,0.025,4m,0.5,0.6,1.3,528,312.0,0.025,8m,1.0,0.7,1.7000000000000002,792.0,,,,,,,,264.0,0.025,6m,0.8,0.9,1.1,536.0,,,,,,,,,,,,,,,952.0,0.05,1m,0.7,0.6,1.8000000000000003,496.0,976.0,0.05,10m,0.7,0.9,1.8000000000000003,280.0,584.0,0.025,1m,1.3,0.8,1.1,744.0,0.1,7,COMPLETE
10,10,-1.0342277342555717,2025-06-15 23:03:24.752957,2025-06-15 23:03:35.605954,0 days 00:00:10.852997,,,,,,,,32,0.05,7m,0.8,1.3,1.1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
11,11,-5.251939173918674,2025-06-15 23:03:35.673971,2025-06-15 23:03:39.797643,0 days 00:00:04.123672,1016.0,0.025,4m,1.2000000000000002,1.5,1.4000000000000001,912.0,416,0.05,2m,0.8,1.5,1.3,984,352.0,0.025,2m,1.2000000000000002,1.5,1.3,912.0,,,,,,,,1008.0,0.025,9m,1.5,1.5,2.0,48.0,,,,,,,,,,,,,,,624.0,0.025,5m,1.1,0.5,1.1,832.0,,,,,,,,,,,,,,,0.45,5,COMPLETE
12,12,-13.926395689944705,2025-06-15 23:03:39.884498,2025-06-15 23:03:43.265823,0 days 00:00:03.381325,776.0,0.05,2m,1.0,1.5,1.3,752.0,768,0.05,1m,0.8,1.5,1.3,64,72.0,0.025,7m,0.9,1.0,1.1,680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.0,0.025,6m,1.2000000000000002,0.5,1.3,752.0,,,,,,,,,,,,,,,0.25,4,COMPLETE
13,13,-0.9587546491050327,2025-06-15 23:03:43.338620,2025-06-15 23:03:47.570452,0 days 00:00:04.231832,968.0,0.025,1m,1.2000000000000002,1.3,1.7000000000000002,792.0,488,0.05,2m,1.0,1.2000000000000002,1.2000000000000002,240,392.0,0.025,4m,1.2000000000000002,1.2000000000000002,1.3,1008.0,,,,,,,,32.0,0.025,2m,1.2000000000000002,0.5,1.1,752.0,,,,,,,,,,,,,,,400.0,0.025,9m,1.3,1.5,1.7000000000000002,16.0,,,,,,,,,,,,,,,0.4,5,COMPLETE
14,14,-1.7449924385351447,2025-06-15 23:03:47.658967,2025-06-15 23:03:50.625801,0 days 00:00:02.966834,760.0,0.025,9m,1.2000000000000002,1.5,1.3,528.0,120,0.05,9m,0.7,1.3,1.4000000000000001,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.0,0.025,4m,1.0,0.7,1.1,992.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
15,15,-2.5450007201281237,2025-06-15 23:03:50.695721,2025-06-15 23:03:56.546738,0 days 00:00:05.851017,616.0,0.025,2m,0.5,0.9,1.3,536.0,648,0.05,3m,1.1,1.4,1.4000000000000001,192,736.0,0.025,3m,1.2000000000000002,0.8,1.6,632.0,,,,,,,,672.0,0.05,10m,0.6,1.2000000000000002,1.7000000000000002,256.0,,,,,,,,,,,,,,,496.0,0.025,5m,1.5,0.8,1.3,760.0,,,,,,,,952.0,0.05,5m,0.5,1.5,1.9000000000000001,48.0,0.25,6,COMPLETE
16,16,-100.0,2025-06-15 23:03:56.631167,2025-06-15 23:03:57.807943,0 days 00:00:01.176776,,,,,,,,936,0.05,7m,0.6,1.1,1.1,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
17,17,-1.405679726406823,2025-06-15 23:03:57.888221,2025-06-15 23:04:01.666474,0 days 00:00:03.778253,880.0,0.05,5m,0.9,1.3,2.0,864.0,464,0.05,2m,1.4,1.4,2.0,712,208.0,0.025,8m,0.8,1.5,1.3,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,0.05,7m,1.0,0.5,1.6,16.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
18,18,-1.1787658373125671,2025-06-15 23:04:01.731927,2025-06-15 23:04:05.125870,0 days 00:00:03.393943,728.0,0.025,4m,1.3,1.4,1.2000000000000002,624.0,376,0.05,3m,1.0,1.1,1.4000000000000001,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.025,5m,1.3,1.1,1.5,432.0,,,,,,,,,,,,,,,0.2,3,COMPLETE
19,19,-5.1590994681764055,2025-06-15 23:04:05.210207,2025-06-15 23:04:12.386267,0 days 00:00:07.176060,920.0,0.025,4m,1.0,0.8,1.5,1016.0,856,0.05,8m,1.2000000000000002,1.4,1.2000000000000002,160,472.0,0.025,2m,1.1,1.3,2.0,608.0,,,,,,,,648.0,0.025,5m,1.2000000000000002,1.3,1.4000000000000001,296.0,,,,,,,,,,,,,,,432.0,0.05,4m,1.1,0.8,1.3,632.0,520.0,0.025,6m,1.4,0.5,1.1,96.0,680.0,0.05,2m,0.9,0.5,1.7000000000000002,320.0,0.35000000000000003,7,COMPLETE
20,20,-5.791090784048206,2025-06-15 23:04:12.451404,2025-06-15 23:04:22.380085,0 days 00:00:09.928681,640.0,0.05,2m,0.8,1.2000000000000002,1.7000000000000002,808.0,288,0.025,1m,0.9,1.0,1.2000000000000002,376,208.0,0.025,8m,0.8,1.1,1.1,800.0,1000.0,0.025,6m,1.5,0.5,2.0,992.0,64.0,0.05,1m,1.2000000000000002,1.2000000000000002,1.7000000000000002,48.0,72.0,0.05,8m,0.5,1.5,1.1,920.0,208.0,0.025,4m,0.8,0.7,2.0,864.0,720.0,0.05,7m,1.3,0.6,1.7000000000000002,840.0,488.0,0.025,2m,1.2000000000000002,1.5,1.4000000000000001,648.0,744.0,0.05,10m,1.1,1.5,1.2000000000000002,24.0,0.45,10,COMPLETE
21,21,-0.24107929801020486,2025-06-15 23:04:22.491301,2025-06-15 23:04:25.730704,0 days 00:00:03.239403,440.0,0.05,6m,1.4,0.5,1.1,344.0,320,0.05,6m,1.3,0.9,1.1,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.0,0.025,10m,1.5,0.9,1.6,224.0,,,,,,,,,,,,,,,0.2,3,COMPLETE
22,22,0.07705344416520395,2025-06-15 23:04:25.806795,2025-06-15 23:04:27.889198,0 days 00:00:02.082403,,,,,,,,200,0.05,6m,1.4,0.9,1.1,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.0,0.025,10m,1.5,0.8,1.7000000000000002,144.0,,,,,,,,,,,,,,,0.2,2,COMPLETE
23,23,-0.07933281338047277,2025-06-15 23:04:27.959526,2025-06-15 23:04:30.228323,0 days 00:00:02.268797,,,,,,,,168,0.05,6m,1.3,0.9,1.1,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.0,0.025,10m,1.5,0.9,1.7000000000000002,144.0,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
24,24,0.42419002878887124,2025-06-15 23:04:30.320678,2025-06-15 23:04:32.321951,0 days 00:00:02.001273,,,,,,,,152,0.05,6m,1.4,0.8,1.2000000000000002,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.0,0.025,10m,1.5,1.0,1.8000000000000003,120.0,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
25,25,0.4955265987237422,2025-06-15 23:04:32.395572,2025-06-15 23:04:34.737150,0 days 00:00:02.341578,,,,,,,,160,0.05,6m,1.4,0.8,1.2000000000000002,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,0.025,10m,1.5,1.1,1.8000000000000003,128.0,,,,,,,,,,,,,,,0.1,2,COMPLETE
26,26,0.9313837579192207,2025-06-15 23:04:34.810153,2025-06-15 23:04:36.973275,0 days 00:00:02.163122,,,,,,,,48,0.05,6m,1.4,0.8,1.2000000000000002,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.0,0.025,10m,1.4,1.1,1.9000000000000001,88.0,,,,,,,,,,,,,,,0.05,2,COMPLETE
27,27,-100.0,2025-06-15 23:04:37.051553,2025-06-15 23:04:38.301863,0 days 00:00:01.250310,,,,,,,,16,0.05,6m,1.5,0.7,1.5,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
28,28,0.751599266553648,2025-06-15 23:04:38.390170,2025-06-15 23:04:40.548269,0 days 00:00:02.158099,,,,,,,,80,0.05,6m,1.2000000000000002,0.8,1.2000000000000002,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336.0,0.025,10m,1.4,1.2000000000000002,2.0,80.0,,,,,,,,,,,,,,,0.1,2,COMPLETE
29,29,-100.0,2025-06-15 23:04:40.631339,2025-06-15 23:04:41.887746,0 days 00:00:01.256407,,,,,,,,96,0.05,6m,1.2000000000000002,0.8,1.4000000000000001,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
30,30,0.11514157586253393,2025-06-15 23:04:41.943742,2025-06-15 23:04:44.239619,0 days 00:00:02.295877,,,,,,,,80,0.05,4m,1.1,0.7,1.8000000000000003,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.0,0.025,10m,1.2000000000000002,1.3,2.0,72.0,,,,,,,,,,,,,,,0.1,2,COMPLETE
31,31,0.4254595220707335,2025-06-15 23:04:44.322771,2025-06-15 23:04:46.272074,0 days 00:00:01.949303,,,,,,,,136,0.05,6m,1.4,0.8,1.2000000000000002,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.0,0.025,10m,1.4,1.1,1.9000000000000001,88.0,,,,,,,,,,,,,,,0.05,2,COMPLETE
32,32,-4.600176075287471,2025-06-15 23:04:46.342591,2025-06-15 23:04:49.600238,0 days 00:00:03.257647,80.0,0.05,9m,0.5,0.8,1.9000000000000001,40.0,64,0.05,6m,1.3,0.8,1.2000000000000002,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.0,0.025,10m,1.4,1.1,1.9000000000000001,320.0,,,,,,,,,,,,,,,0.05,3,COMPLETE
33,33,-1.316845601373479,2025-06-15 23:04:49.664239,2025-06-15 23:04:51.851312,0 days 00:00:02.187073,,,,,,,,216,0.05,6m,1.4,0.6,1.5,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.0,0.025,10m,1.4,1.2000000000000002,1.9000000000000001,56.0,,,,,,,,,,,,,,,0.1,2,COMPLETE
34,34,-1.598429953243738,2025-06-15 23:04:51.915970,2025-06-15 23:04:55.221186,0 days 00:00:03.305216,248.0,0.05,3m,1.5,0.7,1.8000000000000003,216.0,136,0.05,6m,1.5,0.5,1.3,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.0,0.025,10m,1.4,1.1,2.0,248.0,,,,,,,,,,,,,,,0.05,3,COMPLETE
35,35,-100.0,2025-06-15 23:04:55.313823,2025-06-15 23:04:56.486786,0 days 00:00:01.172963,,,,,,,,248,0.025,9m,1.3,1.0,1.2000000000000002,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
36,36,-5.39397316383919,2025-06-15 23:04:56.558304,2025-06-15 23:04:59.645839,0 days 00:00:03.087535,40.0,0.05,8m,1.1,0.5,2.0,440.0,32,0.05,5m,1.1,0.7,1.3,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,0.025,1m,1.1,1.3,1.8000000000000003,96.0,,,,,,,,,,,,,,,0.05,3,COMPLETE
37,37,-2.3575741456909123,2025-06-15 23:04:59.706373,2025-06-15 23:05:01.984180,0 days 00:00:02.277807,,,,,,,,192,0.025,10m,1.2000000000000002,0.9,1.2000000000000002,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.0,0.025,2m,1.2000000000000002,1.2000000000000002,1.9000000000000001,184.0,,,,,,,,,,,,,,,0.1,2,COMPLETE
38,38,-19.317012993824306,2025-06-15 23:05:02.048526,2025-06-15 23:05:07.375175,0 days 00:00:05.326649,424.0,0.05,1m,0.9,0.9,1.7000000000000002,128.0,288,0.05,6m,1.5,0.6,1.5,696,808.0,0.05,7m,0.5,0.8,1.7000000000000002,16.0,,,,,,,,1016.0,0.025,8m,0.5,0.5,1.2000000000000002,720.0,,,,,,,,,,,,,,,104.0,0.025,8m,1.3,1.4,2.0,344.0,,,,,,,,,,,,,,,0.05,5,COMPLETE
39,39,-100.0,2025-06-15 23:05:07.442062,2025-06-15 23:05:08.411057,0 days 00:00:00.968995,,,,,,,,104,0.05,8m,1.4,0.8,1.3,816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
40,40,-1.137654332376729,2025-06-15 23:05:08.478602,2025-06-15 23:05:12.788670,0 days 00:00:04.310068,192.0,0.05,5m,1.1,1.1,1.6,160.0,336,0.025,6m,1.2000000000000002,1.0,1.7000000000000002,912,1008.0,0.05,10m,1.5,1.0,1.8000000000000003,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.0,0.025,9m,0.9,1.1,1.8000000000000003,192.0,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
41,41,0.5700489988584091,2025-06-15 23:05:12.862011,2025-06-15 23:05:14.865105,0 days 00:00:02.003094,,,,,,,,128,0.05,6m,1.4,0.8,1.2000000000000002,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,0.025,10m,1.5,1.0,1.8000000000000003,104.0,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
42,42,0.32936070274705037,2025-06-15 23:05:14.959979,2025-06-15 23:05:17.130575,0 days 00:00:02.170596,,,,,,,,64,0.05,6m,1.3,0.7,1.2000000000000002,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,0.025,10m,1.5,1.0,1.9000000000000001,80.0,,,,,,,,,,,,,,,0.05,2,COMPLETE
43,43,0.8468855973441918,2025-06-15 23:05:17.200738,2025-06-15 23:05:20.160766,0 days 00:00:02.960028,336.0,0.05,7m,1.4,0.7,1.4000000000000001,432.0,240,0.05,6m,1.5,0.8,1.1,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.0,0.025,10m,0.5,1.0,2.0,296.0,,,,,,,,,,,,,,,0.1,3,COMPLETE
44,44,0.4846178967614853,2025-06-15 23:05:20.221402,2025-06-15 23:05:23.392755,0 days 00:00:03.171353,152.0,0.05,7m,1.4,0.7,1.4000000000000001,448.0,240,0.05,5m,1.5,0.9,1.1,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,0.025,6m,0.7,1.0,2.0,288.0,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
45,45,-100.0,2025-06-15 23:05:23.463810,2025-06-15 23:05:24.615679,0 days 00:00:01.151869,,,,,,,,176,0.05,10m,1.5,0.7,1.1,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
46,46,-0.24502629945574048,2025-06-15 23:05:24.677881,2025-06-15 23:05:27.894923,0 days 00:00:03.217042,376.0,0.05,7m,1.3,0.9,1.4000000000000001,592.0,16,0.05,4m,1.5,0.8,1.3,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,0.025,10m,0.5,1.2000000000000002,2.0,384.0,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
47,47,-2.8160654662039377,2025-06-15 23:05:27.963155,2025-06-15 23:05:30.177402,0 days 00:00:02.214247,,,,,,,,96,0.05,6m,1.4,0.5,1.1,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,0.025,3m,0.6,1.2000000000000002,1.9000000000000001,208.0,,,,,,,,,,,,,,,0.1,2,COMPLETE
48,48,-3.8259222425730752,2025-06-15 23:05:30.246676,2025-06-15 23:05:34.503442,0 days 00:00:04.256766,280.0,0.05,7m,1.5,0.6,1.5,320.0,248,0.05,1m,1.3,0.6,1.3,824,536.0,0.05,6m,0.5,0.7,2.0,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,0.025,8m,0.8,1.0,1.8000000000000003,144.0,,,,,,,,,,,,,,,0.25,4,COMPLETE
49,49,-100.0,2025-06-15 23:05:34.565660,2025-06-15 23:05:35.656517,0 days 00:00:01.090857,,,,,,,,56,0.05,9m,1.4,0.9,1.4000000000000001,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
50,50,-0.8089705916906682,2025-06-15 23:05:35.739684,2025-06-15 23:05:38.909476,0 days 00:00:03.169792,528.0,0.05,7m,1.3,0.7,1.8000000000000003,256.0,424,0.05,3m,1.3,0.7,1.2000000000000002,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,0.025,10m,1.5,0.9,2.0,280.0,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
51,51,-1.5372646078335663,2025-06-15 23:05:39.026820,2025-06-15 23:05:42.301820,0 days 00:00:03.275000,312.0,0.05,7m,1.4,0.7,1.4000000000000001,448.0,240,0.05,6m,1.5,0.9,1.1,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,0.025,6m,0.6,1.0,2.0,272.0,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
52,52,-2.1008083112908174,2025-06-15 23:05:42.375908,2025-06-15 23:05:44.424174,0 days 00:00:02.048266,,,,,,,,144,0.05,5m,1.5,0.9,1.1,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.0,0.025,6m,0.6,1.0,1.9000000000000001,448.0,,,,,,,,,,,,,,,0.2,2,COMPLETE
53,53,-2.8275365800050976,2025-06-15 23:05:44.508008,2025-06-15 23:05:48.763256,0 days 00:00:04.255248,152.0,0.05,7m,1.4,0.8,1.4000000000000001,432.0,288,0.05,5m,1.5,1.1,1.2000000000000002,984,880.0,0.05,4m,0.7,1.5,1.5,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0,0.025,6m,0.8,1.1,2.0,48.0,,,,,,,,,,,,,,,0.1,4,COMPLETE
54,54,-2.780715218695359,2025-06-15 23:05:48.839133,2025-06-15 23:05:53.684733,0 days 00:00:04.845600,184.0,0.05,7m,1.5,0.5,1.6,408.0,200,0.05,5m,1.4,0.8,1.1,904,472.0,0.05,5m,1.5,0.9,1.8000000000000003,720.0,,,,,,,,840.0,0.05,6m,1.3,0.8,1.9000000000000001,400.0,,,,,,,,,,,,,,,376.0,0.025,10m,0.7,0.9,1.8000000000000003,176.0,,,,,,,,,,,,,,,0.2,5,COMPLETE
55,55,-0.463599443300951,2025-06-15 23:05:53.760698,2025-06-15 23:05:56.903218,0 days 00:00:03.142520,32.0,0.05,10m,1.1,1.0,1.3,584.0,544,0.05,5m,1.4,0.8,1.1,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.0,0.025,2m,0.5,1.1,1.9000000000000001,568.0,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
56,56,-4.33437325480698,2025-06-15 23:05:56.979181,2025-06-15 23:06:05.242087,0 days 00:00:08.262906,496.0,0.05,7m,1.3,0.6,1.5,472.0,376,0.05,7m,1.1,1.0,1.3,856,120.0,0.05,1m,1.3,1.4,1.6,576.0,,,,,,,,560.0,0.025,3m,0.8,1.3,1.5,792.0,1008.0,0.025,4m,1.0,0.5,1.9000000000000001,16.0,,,,,,,,176.0,0.025,6m,1.4,1.0,2.0,320.0,312.0,0.025,1m,1.0,0.5,1.4000000000000001,768.0,432.0,0.025,7m,0.7,1.3,1.4000000000000001,528.0,0.1,8,COMPLETE
57,57,-38.989161044929205,2025-06-15 23:06:05.320764,2025-06-15 23:06:07.613701,0 days 00:00:02.292937,,,,,,,,112,0.05,8m,0.9,0.9,1.2000000000000002,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,0.025,1m,0.5,1.2000000000000002,1.9000000000000001,112.0,,,,,,,,,,,,,,,0.05,2,COMPLETE
