,number,value,datetime_start,datetime_complete,duration,params_ADP_PAYX_beta_win,params_ADP_PAYX_stop_loss,params_ADP_PAYX_trade_freq,params_ADP_PAYX_z_entry,params_ADP_PAYX_z_exit,params_ADP_PAYX_z_stop_scaler,params_ADP_PAYX_z_win,params_AMGN_ANSS_beta_win,params_AMGN_ANSS_stop_loss,params_AMGN_ANSS_trade_freq,params_AMGN_ANSS_z_entry,params_AMGN_ANSS_z_exit,params_AMGN_ANSS_z_stop_scaler,params_AMGN_ANSS_z_win,params_AMZN_ON_beta_win,params_AMZN_ON_stop_loss,params_AMZN_ON_trade_freq,params_AMZN_ON_z_entry,params_AMZN_ON_z_exit,params_AMZN_ON_z_stop_scaler,params_AMZN_ON_z_win,params_GFS_EXC_beta_win,params_GFS_EXC_stop_loss,params_GFS_EXC_trade_freq,params_GFS_EXC_z_entry,params_GFS_EXC_z_exit,params_GFS_EXC_z_stop_scaler,params_GFS_EXC_z_win,params_GOOGL_ON_beta_win,params_GOOGL_ON_stop_loss,params_GOOGL_ON_trade_freq,params_GOOGL_ON_z_entry,params_GOOGL_ON_z_exit,params_GOOGL_ON_z_stop_scaler,params_GOOGL_ON_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_GOOG_ON_beta_win,params_GOOG_ON_stop_loss,params_GOOG_ON_trade_freq,params_GOOG_ON_z_entry,params_GOOG_ON_z_exit,params_GOOG_ON_z_stop_scaler,params_GOOG_ON_z_win,params_NXPI_ANSS_beta_win,params_NXPI_ANSS_stop_loss,params_NXPI_ANSS_trade_freq,params_NXPI_ANSS_z_entry,params_NXPI_ANSS_z_exit,params_NXPI_ANSS_z_stop_scaler,params_NXPI_ANSS_z_win,params_WBD_ANSS_beta_win,params_WBD_ANSS_stop_loss,params_WBD_ANSS_trade_freq,params_WBD_ANSS_z_entry,params_WBD_ANSS_z_exit,params_WBD_ANSS_z_stop_scaler,params_WBD_ANSS_z_win,params_WDAY_ANSS_beta_win,params_WDAY_ANSS_stop_loss,params_WDAY_ANSS_trade_freq,params_WDAY_ANSS_z_entry,params_WDAY_ANSS_z_exit,params_WDAY_ANSS_z_stop_scaler,params_WDAY_ANSS_z_win,params_buffer_capital,params_pairs_to_trade,state
109,109,-2.8984491500403506,2025-06-16 00:59:47.839654,2025-06-16 00:59:51.534457,0 days 00:00:03.694803,,,,,,,,760,0.025,1m,1.1,0.9,1.3,344,912.0,0.025,7m,1.3,0.7,1.7000000000000002,368.0,,,,,,,,,,,,,,,304.0,0.025,10m,0.6,1.3,1.9000000000000001,280.0,,,,,,,,,,,,,,,160.0,0.025,3m,0.7,1.4,1.8000000000000003,264.0,,,,,,,,0.4,4,COMPLETE
110,110,-1.1629827972290747,2025-06-16 00:59:51.605159,2025-06-16 00:59:54.528282,0 days 00:00:02.923123,,,,,,,,696,0.025,6m,1.3,1.1,1.4000000000000001,264,832.0,0.025,2m,1.2000000000000002,0.5,1.8000000000000003,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.0,0.025,4m,0.8,1.3,1.9000000000000001,968.0,,,,,,,,0.45,3,COMPLETE
111,111,0.41284340180241175,2025-06-16 00:59:54.604799,2025-06-16 00:59:58.225291,0 days 00:00:03.620492,,,,,,,,816,0.025,6m,1.1,1.0,1.3,312,64.0,0.025,10m,1.2000000000000002,0.6,1.8000000000000003,264.0,,,,,,,,,,,,,,,216.0,0.05,7m,1.5,1.1,2.0,608.0,,,,,,,,,,,,,,,336.0,0.025,3m,1.0,1.4,1.6,920.0,,,,,,,,0.45,4,COMPLETE
112,112,0.9972063868059273,2025-06-16 00:59:58.304811,2025-06-16 01:00:02.012254,0 days 00:00:03.707443,,,,,,,,736,0.025,6m,1.2000000000000002,1.0,1.3,344,384.0,0.025,7m,1.3,0.6,1.8000000000000003,192.0,,,,,,,,,,,,,,,72.0,0.05,7m,0.7,1.2000000000000002,1.9000000000000001,632.0,,,,,,,,,,,,,,,272.0,0.025,4m,0.9,1.4,1.7000000000000002,952.0,,,,,,,,0.4,4,COMPLETE
113,113,0.19528417540188378,2025-06-16 01:00:02.075918,2025-06-16 01:00:04.903451,0 days 00:00:02.827533,,,,,,,,64,0.025,6m,1.2000000000000002,1.0,1.3,296,384.0,0.025,7m,1.3,0.6,1.8000000000000003,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,0.025,4m,0.9,1.4,1.7000000000000002,952.0,,,,,,,,0.4,3,COMPLETE
114,114,-0.37590491527547165,2025-06-16 01:00:04.973819,2025-06-16 01:00:08.710970,0 days 00:00:03.737151,,,,,,,,664,0.025,6m,1.2000000000000002,1.0,1.4000000000000001,344,944.0,0.025,7m,1.3,0.5,2.0,128.0,,,,,,,,,,,,,,,16.0,0.05,8m,0.5,1.2000000000000002,1.9000000000000001,624.0,,,,,,,,,,,,,,,200.0,0.025,4m,0.9,1.5,1.8000000000000003,992.0,,,,,,,,0.4,4,COMPLETE
115,115,0.4887665990375966,2025-06-16 01:00:08.791084,2025-06-16 01:00:12.385593,0 days 00:00:03.594509,,,,,,,,864,0.025,6m,1.3,0.9,1.3,368,328.0,0.025,7m,1.4,0.6,1.8000000000000003,224.0,,,,,,,,,,,,,,,64.0,0.05,6m,0.7,1.2000000000000002,2.0,496.0,,,,,,,,,,,,,,,248.0,0.025,4m,0.8,1.3,1.7000000000000002,888.0,,,,,,,,0.35000000000000003,4,COMPLETE
116,116,-0.6132641646390293,2025-06-16 01:00:12.452358,2025-06-16 01:00:14.293377,0 days 00:00:01.841019,,,,,,,,704,0.025,3m,1.2000000000000002,0.7,1.6,328,384.0,0.025,8m,1.0,0.7,1.7000000000000002,888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
117,117,-4.261627489350461,2025-06-16 01:00:14.347602,2025-06-16 01:00:17.193407,0 days 00:00:02.845805,,,,,,,,624,0.025,6m,1.1,0.8,1.5,248,992.0,0.025,7m,0.6,0.6,1.9000000000000001,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.0,0.025,9m,0.9,1.4,1.7000000000000002,1024.0,,,,,,,,0.45,3,COMPLETE
118,118,-7.842807495481194,2025-06-16 01:00:17.245234,2025-06-16 01:00:26.007882,0 days 00:00:08.762648,1024.0,0.05,1m,1.4,1.5,2.0,32.0,784,0.025,6m,1.3,1.1,1.3,216,448.0,0.025,1m,1.1,0.5,1.8000000000000003,1000.0,1016.0,0.025,4m,0.7,0.5,1.2000000000000002,1024.0,888.0,0.05,4m,0.5,0.6,1.9000000000000001,224.0,88.0,0.05,7m,0.9,1.4,1.9000000000000001,536.0,304.0,0.05,3m,0.9,1.5,1.3,840.0,1016.0,0.025,10m,1.5,1.5,1.1,32.0,552.0,0.05,1m,0.8,1.1,1.9000000000000001,928.0,48.0,0.05,1m,1.0,1.1,1.5,928.0,0.4,10,COMPLETE
119,119,1.4367681015176066,2025-06-16 01:00:26.088200,2025-06-16 01:00:29.635418,0 days 00:00:03.547218,,,,,,,,728,0.025,7m,1.1,1.2000000000000002,1.2000000000000002,392,912.0,0.025,2m,1.3,0.7,1.8000000000000003,400.0,,,,,,,,,,,,,,,144.0,0.05,7m,0.8,1.1,2.0,440.0,,,,,,,,,,,,,,,312.0,0.025,10m,0.9,1.3,2.0,72.0,,,,,,,,0.35000000000000003,4,COMPLETE
120,120,-0.15384912094005443,2025-06-16 01:00:29.698106,2025-06-16 01:00:33.329910,0 days 00:00:03.631804,,,,,,,,736,0.025,7m,1.1,1.2000000000000002,1.3,400,888.0,0.025,2m,1.3,0.6,1.7000000000000002,464.0,,,,,,,,,,,,,,,144.0,0.05,7m,0.8,1.1,2.0,448.0,,,,,,,,,,,,,,,392.0,0.025,10m,1.0,1.4,2.0,960.0,,,,,,,,0.35000000000000003,4,COMPLETE
121,121,-2.359669204539115,2025-06-16 01:00:33.383398,2025-06-16 01:00:36.790264,0 days 00:00:03.406866,,,,,,,,720,0.025,6m,1.2000000000000002,1.2000000000000002,1.2000000000000002,280,976.0,0.025,2m,1.3,0.8,1.8000000000000003,416.0,,,,,,,,,,,,,,,56.0,0.05,7m,0.6,1.0,2.0,360.0,,,,,,,,,,,,,,,320.0,0.025,10m,0.9,1.2000000000000002,2.0,176.0,,,,,,,,0.35000000000000003,4,COMPLETE
122,122,-1.8099681857671663,2025-06-16 01:00:36.844206,2025-06-16 01:00:39.565533,0 days 00:00:02.721327,,,,,,,,648,0.025,7m,1.0,1.2000000000000002,1.2000000000000002,352,904.0,0.025,2m,1.4,0.7,1.8000000000000003,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.0,0.025,10m,0.9,1.3,1.8000000000000003,416.0,,,,,,,,0.35000000000000003,3,COMPLETE
123,123,-0.7049192810809053,2025-06-16 01:00:39.648287,2025-06-16 01:00:43.243451,0 days 00:00:03.595164,,,,,,,,760,0.025,7m,1.1,1.1,1.2000000000000002,376,824.0,0.025,7m,1.3,0.7,1.9000000000000001,344.0,,,,,,,,,,,,,,,112.0,0.05,7m,0.7,1.2000000000000002,1.9000000000000001,600.0,,,,,,,,,,,,,,,224.0,0.025,3m,0.8,1.3,1.9000000000000001,984.0,,,,,,,,0.45,4,COMPLETE
124,124,1.5104794176350227,2025-06-16 01:00:43.322639,2025-06-16 01:00:46.873139,0 days 00:00:03.550500,,,,,,,,688,0.025,7m,1.2000000000000002,1.2000000000000002,1.4000000000000001,320,968.0,0.025,2m,1.2000000000000002,0.6,1.8000000000000003,976.0,,,,,,,,,,,,,,,264.0,0.05,7m,0.7,1.3,2.0,704.0,,,,,,,,,,,,,,,304.0,0.025,4m,0.9,1.5,2.0,88.0,,,,,,,,0.4,4,COMPLETE
125,125,-3.060616661720439,2025-06-16 01:00:46.953378,2025-06-16 01:00:50.337494,0 days 00:00:03.384116,,,,,,,,672,0.025,7m,1.2000000000000002,1.0,1.4000000000000001,328,944.0,0.025,2m,1.2000000000000002,0.6,1.8000000000000003,216.0,,,,,,,,,,,,,,,264.0,0.05,7m,0.7,1.3,2.0,680.0,,,,,,,,,,,,,,,352.0,0.025,4m,1.0,1.5,2.0,72.0,,,,,,,,0.3,4,COMPLETE
126,126,-5.586487300818865,2025-06-16 01:00:50.392858,2025-06-16 01:00:54.396103,0 days 00:00:04.003245,,,,,,,,808,0.025,7m,1.2000000000000002,1.1,1.4000000000000001,296,928.0,0.025,2m,0.8,0.5,1.7000000000000002,392.0,912.0,0.025,3m,0.5,0.6,1.3,872.0,,,,,,,,184.0,0.05,7m,0.8,1.1,2.0,640.0,,,,,,,,,,,,,,,304.0,0.025,4m,0.9,1.5,2.0,16.0,,,,,,,,0.4,5,COMPLETE
127,127,-2.584892963985887,2025-06-16 01:00:54.465828,2025-06-16 01:00:57.997116,0 days 00:00:03.531288,,,,,,,,712,0.025,7m,1.1,1.3,1.3,424,976.0,0.025,2m,0.7,0.6,1.9000000000000001,928.0,,,,,,,,,,,,,,,288.0,0.05,7m,0.7,1.2000000000000002,2.0,704.0,,,,,,,,,,,,,,,424.0,0.025,4m,0.9,1.4,1.9000000000000001,104.0,,,,,,,,0.35000000000000003,4,COMPLETE
128,128,-8.602272736644338,2025-06-16 01:00:58.067889,2025-06-16 01:01:02.117498,0 days 00:00:04.049609,,,,,,,,736,0.025,7m,1.2000000000000002,1.2000000000000002,1.4000000000000001,312,1000.0,0.025,5m,1.3,0.6,1.8000000000000003,248.0,528.0,0.025,2m,0.6,0.6,1.1,744.0,,,,,,,,336.0,0.05,1m,0.7,1.3,1.9000000000000001,440.0,,,,,,,,,,,,,,,280.0,0.025,7m,0.9,1.4,2.0,128.0,,,,,,,,0.4,5,COMPLETE
129,129,-2.209904975848218,2025-06-16 01:01:02.173814,2025-06-16 01:01:05.514720,0 days 00:00:03.340906,,,,,,,,768,0.025,8m,1.0,0.9,1.3,264,888.0,0.025,6m,1.0,0.5,1.8000000000000003,912.0,,,,,,,,,,,,,,,384.0,0.05,9m,0.6,1.4,2.0,496.0,,,,,,,,,,,,,,,240.0,0.025,3m,1.0,1.5,1.7000000000000002,1008.0,,,,,,,,0.45,4,COMPLETE
130,130,0.05670193654887395,2025-06-16 01:01:05.567357,2025-06-16 01:01:08.860362,0 days 00:00:03.293005,,,,,,,,696,0.025,5m,1.3,1.1,1.6,392,160.0,0.025,2m,1.1,0.6,1.8000000000000003,808.0,,,,,,,,,,,,,,,232.0,0.05,7m,0.9,1.1,1.9000000000000001,656.0,,,,,,,,,,,,,,,384.0,0.025,8m,0.9,1.3,1.9000000000000001,528.0,,,,,,,,0.35000000000000003,4,COMPLETE
131,131,-3.198681387518318,2025-06-16 01:01:08.929642,2025-06-16 01:01:11.485905,0 days 00:00:02.556263,,,,,,,,600,0.025,10m,0.8,1.2000000000000002,1.1,352,960.0,0.025,2m,1.2000000000000002,0.7,1.8000000000000003,984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.0,0.025,10m,0.8,1.2000000000000002,1.7000000000000002,88.0,,,,,,,,0.4,3,COMPLETE
132,132,-1.3590803189950043,2025-06-16 01:01:11.541836,2025-06-16 01:01:14.695277,0 days 00:00:03.153441,,,,,,,,680,0.025,6m,0.8,1.2000000000000002,1.3,320,304.0,0.025,7m,1.2000000000000002,0.8,1.7000000000000002,968.0,,,,,,,,,,,,,,,192.0,0.05,7m,0.9,1.0,1.8000000000000003,128.0,,,,,,,,,,,,,,,184.0,0.025,6m,0.7,1.4,1.5,184.0,,,,,,,,0.4,4,COMPLETE
133,133,0.6991834607991029,2025-06-16 01:01:14.769735,2025-06-16 01:01:17.358323,0 days 00:00:02.588588,,,,,,,,648,0.025,6m,1.1,1.2000000000000002,1.1,368,240.0,0.025,4m,1.3,0.7,1.8000000000000003,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0,0.025,3m,0.8,1.3,2.0,952.0,,,,,,,,0.4,3,COMPLETE
134,134,-0.3424916340224191,2025-06-16 01:01:17.411222,2025-06-16 01:01:20.847936,0 days 00:00:03.436714,,,,,,,,784,0.025,6m,1.2000000000000002,1.3,1.4000000000000001,344,344.0,0.025,2m,1.2000000000000002,0.8,1.9000000000000001,1024.0,,,,,,,,,,,,,,,128.0,0.05,5m,1.5,1.0,2.0,552.0,,,,,,,,,,,,,,,616.0,0.025,4m,0.9,1.0,1.1,904.0,,,,,,,,0.45,4,COMPLETE
135,135,-0.8357212002207521,2025-06-16 01:01:20.906059,2025-06-16 01:01:23.375098,0 days 00:00:02.469039,,,,,,,,704,0.025,6m,0.8,1.2000000000000002,1.2000000000000002,280,504.0,0.025,9m,1.1,0.6,1.8000000000000003,856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,0.025,3m,0.9,1.4,1.6,872.0,,,,,,,,0.4,3,COMPLETE
136,136,-1.116091505407131,2025-06-16 01:01:23.457431,2025-06-16 01:01:26.854685,0 days 00:00:03.397254,,,,,,,,624,0.025,9m,1.1,1.0,1.5,240,416.0,0.025,7m,1.3,0.5,1.6,880.0,,,,,,,,,,,,,,,256.0,0.05,3m,0.8,1.2000000000000002,1.9000000000000001,728.0,,,,,,,,,,,,,,,264.0,0.025,3m,1.0,1.2000000000000002,1.7000000000000002,976.0,,,,,,,,0.35000000000000003,4,COMPLETE
137,137,-1.7265937493240895,2025-06-16 01:01:26.926724,2025-06-16 01:01:30.932001,0 days 00:00:04.005277,,,,,,,,744,0.025,6m,1.4,1.1,1.4000000000000001,440,1008.0,0.025,2m,1.2000000000000002,0.6,1.8000000000000003,1000.0,984.0,0.025,6m,0.9,0.8,1.2000000000000002,600.0,,,,,,,,88.0,0.05,2m,0.7,1.1,1.3,592.0,,,,,,,,,,,,,,,208.0,0.025,4m,0.8,1.4,1.7000000000000002,56.0,,,,,,,,0.45,5,COMPLETE
138,138,-3.5212994227491112,2025-06-16 01:01:31.009202,2025-06-16 01:01:34.307751,0 days 00:00:03.298549,,,,,,,,672,0.025,2m,0.9,1.3,1.3,408,768.0,0.025,10m,1.0,0.7,1.8000000000000003,944.0,,,,,,,,,,,,,,,304.0,0.05,7m,1.0,1.2000000000000002,1.8000000000000003,696.0,,,,,,,,,,,,,,,344.0,0.025,9m,0.9,1.3,1.8000000000000003,936.0,,,,,,,,0.45,4,COMPLETE
139,139,-7.2727552161397595,2025-06-16 01:01:34.379540,2025-06-16 01:01:36.784725,0 days 00:00:02.405185,,,,,,,,584,0.025,6m,0.8,1.2000000000000002,1.1,312,368.0,0.025,7m,0.5,0.6,1.7000000000000002,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.0,0.025,1m,0.9,1.3,1.6,1008.0,,,,,,,,0.4,3,COMPLETE
140,140,-23.396772679929903,2025-06-16 01:01:36.844974,2025-06-16 01:01:39.509693,0 days 00:00:02.664719,,,,,,,,728,0.025,1m,1.0,1.0,1.2000000000000002,296,544.0,0.025,2m,1.2000000000000002,0.5,1.9000000000000001,976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,0.025,3m,0.8,1.1,1.2000000000000002,312.0,,,,,,,,0.35000000000000003,3,COMPLETE
141,141,0.6861400818747174,2025-06-16 01:01:39.578345,2025-06-16 01:01:42.821176,0 days 00:00:03.242831,,,,,,,,744,0.025,6m,0.9,1.0,1.3,568,576.0,0.025,8m,1.2000000000000002,0.8,1.8000000000000003,264.0,,,,,,,,,,,,,,,208.0,0.05,7m,1.4,0.8,1.8000000000000003,800.0,,,,,,,,,,,,,,,288.0,0.025,2m,1.0,0.8,1.6,904.0,,,,,,,,0.4,4,COMPLETE
142,142,3.032366675391997,2025-06-16 01:01:42.881853,2025-06-16 01:01:46.263231,0 days 00:00:03.381378,,,,,,,,688,0.025,6m,0.8,1.0,1.3,504,864.0,0.025,7m,1.3,1.0,1.8000000000000003,248.0,,,,,,,,,,,,,,,168.0,0.05,7m,1.3,0.9,2.0,768.0,,,,,,,,,,,,,,,416.0,0.025,2m,1.0,1.4,1.5,960.0,,,,,,,,0.1,4,COMPLETE
143,143,1.5977156976403553,2025-06-16 01:01:46.338709,2025-06-16 01:01:49.540089,0 days 00:00:03.201380,,,,,,,,656,0.025,6m,0.8,0.9,1.3,384,928.0,0.025,7m,1.3,0.6,1.8000000000000003,312.0,,,,,,,,,,,,,,,152.0,0.05,7m,1.3,0.9,2.0,744.0,,,,,,,,,,,,,,,416.0,0.025,2m,0.9,1.4,1.5,992.0,,,,,,,,0.45,4,COMPLETE
144,144,1.8703755527046868,2025-06-16 01:01:49.598923,2025-06-16 01:01:52.615803,0 days 00:00:03.016880,,,,,,,,680,0.025,6m,0.8,0.9,1.3,464,864.0,0.025,7m,1.3,0.6,1.8000000000000003,312.0,,,,,,,,,,,,,,,168.0,0.05,7m,1.3,0.9,2.0,760.0,,,,,,,,,,,,,,,424.0,0.025,2m,0.9,1.4,1.5,960.0,,,,,,,,0.45,4,COMPLETE
145,145,2.5691165383913788,2025-06-16 01:01:52.682848,2025-06-16 01:01:55.778302,0 days 00:00:03.095454,,,,,,,,696,0.025,6m,0.8,0.9,1.3,520,800.0,0.025,7m,1.3,0.6,1.8000000000000003,336.0,,,,,,,,,,,,,,,160.0,0.05,7m,1.3,0.9,2.0,768.0,,,,,,,,,,,,,,,408.0,0.025,2m,0.9,1.4,1.5,960.0,,,,,,,,0.45,4,COMPLETE
146,146,-2.3120999478612516,2025-06-16 01:01:55.842026,2025-06-16 01:02:02.330909,0 days 00:00:06.488883,,,,,,,,696,0.025,7m,0.8,0.9,1.3,504,856.0,0.025,7m,1.4,0.6,1.8000000000000003,320.0,720.0,0.025,4m,0.8,0.9,2.0,936.0,24.0,0.05,5m,0.7,0.9,1.7000000000000002,32.0,152.0,0.05,7m,1.3,0.9,2.0,768.0,984.0,0.025,4m,0.5,1.2000000000000002,1.8000000000000003,344.0,40.0,0.025,2m,0.5,1.1,1.6,968.0,424.0,0.025,2m,1.0,1.5,1.5,992.0,736.0,0.025,3m,1.5,1.1,1.6,400.0,0.45,9,COMPLETE
147,147,-0.6967191286325617,2025-06-16 01:02:02.409507,2025-06-16 01:02:05.476811,0 days 00:00:03.067304,,,,,,,,680,0.025,4m,0.8,0.9,1.3,544,896.0,0.025,1m,1.3,0.6,1.9000000000000001,328.0,,,,,,,,,,,,,,,232.0,0.05,7m,1.2000000000000002,0.9,2.0,768.0,,,,,,,,,,,,,,,464.0,0.025,2m,0.9,1.4,1.5,968.0,,,,,,,,0.5,4,COMPLETE
148,148,1.71729437490587,2025-06-16 01:02:05.546442,2025-06-16 01:02:08.495483,0 days 00:00:02.949041,,,,,,,,712,0.025,6m,0.8,0.8,1.3,544,808.0,0.025,7m,1.4,0.5,1.7000000000000002,296.0,,,,,,,,,,,,,,,136.0,0.05,10m,1.3,1.0,2.0,736.0,,,,,,,,,,,,,,,488.0,0.025,2m,1.0,1.4,1.5,1024.0,,,,,,,,0.45,4,COMPLETE
149,149,2.0401517875156823,2025-06-16 01:02:08.561120,2025-06-16 01:02:12.172664,0 days 00:00:03.611544,,,,,,,,720,0.025,6m,0.8,0.7,1.3,592,800.0,0.025,9m,1.4,0.5,1.7000000000000002,296.0,848.0,0.025,9m,0.6,1.0,1.4000000000000001,808.0,,,,,,,,128.0,0.05,10m,1.3,1.0,2.0,736.0,,,,,,,,,,,,,,,408.0,0.025,2m,1.0,1.4,1.5,1024.0,,,,,,,,0.45,5,COMPLETE
