,number,value,datetime_start,datetime_complete,duration,params_ADI_ILMN_beta_win,params_ADI_ILMN_stop_loss,params_ADI_ILMN_trade_freq,params_ADI_ILMN_z_entry,params_ADI_ILMN_z_exit,params_ADI_ILMN_z_stop_scaler,params_ADI_ILMN_z_win,params_ADSK_ILMN_beta_win,params_ADSK_ILMN_stop_loss,params_ADSK_ILMN_trade_freq,params_ADSK_ILMN_z_entry,params_ADSK_ILMN_z_exit,params_ADSK_ILMN_z_stop_scaler,params_ADSK_ILMN_z_win,params_AMGN_ILMN_beta_win,params_AMGN_ILMN_stop_loss,params_AMGN_ILMN_trade_freq,params_AMGN_ILMN_z_entry,params_AMGN_ILMN_z_exit,params_AMGN_ILMN_z_stop_scaler,params_AMGN_ILMN_z_win,params_EA_ILMN_beta_win,params_EA_ILMN_stop_loss,params_EA_ILMN_trade_freq,params_EA_ILMN_z_entry,params_EA_ILMN_z_exit,params_EA_ILMN_z_stop_scaler,params_EA_ILMN_z_win,params_FANG_ILMN_beta_win,params_FANG_ILMN_stop_loss,params_FANG_ILMN_trade_freq,params_FANG_ILMN_z_entry,params_FANG_ILMN_z_exit,params_FANG_ILMN_z_stop_scaler,params_FANG_ILMN_z_win,params_GFS_ILMN_beta_win,params_GFS_ILMN_stop_loss,params_GFS_ILMN_trade_freq,params_GFS_ILMN_z_entry,params_GFS_ILMN_z_exit,params_GFS_ILMN_z_stop_scaler,params_GFS_ILMN_z_win,params_HON_ILMN_beta_win,params_HON_ILMN_stop_loss,params_HON_ILMN_trade_freq,params_HON_ILMN_z_entry,params_HON_ILMN_z_exit,params_HON_ILMN_z_stop_scaler,params_HON_ILMN_z_win,params_IDXX_ODFL_beta_win,params_IDXX_ODFL_stop_loss,params_IDXX_ODFL_trade_freq,params_IDXX_ODFL_z_entry,params_IDXX_ODFL_z_exit,params_IDXX_ODFL_z_stop_scaler,params_IDXX_ODFL_z_win,params_NFLX_PCAR_beta_win,params_NFLX_PCAR_stop_loss,params_NFLX_PCAR_trade_freq,params_NFLX_PCAR_z_entry,params_NFLX_PCAR_z_exit,params_NFLX_PCAR_z_stop_scaler,params_NFLX_PCAR_z_win,params_NFLX_SBUX_beta_win,params_NFLX_SBUX_stop_loss,params_NFLX_SBUX_trade_freq,params_NFLX_SBUX_z_entry,params_NFLX_SBUX_z_exit,params_NFLX_SBUX_z_stop_scaler,params_NFLX_SBUX_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-1.2111828022806768,2025-06-16 00:21:04.206772,2025-06-16 00:21:11.020971,0 days 00:00:06.814199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.05,7m,0.8,1.3,1.1,48,0.5,1,COMPLETE
11,11,-2.7741616381145757,2025-06-16 00:21:11.069851,2025-06-16 00:21:18.832983,0 days 00:00:07.763132,1016.0,0.025,9m,0.5,0.5,2.0,936.0,904.0,0.025,5m,1.5,1.0,1.3,584.0,912.0,0.05,6m,0.5,0.7,1.9000000000000001,520.0,456.0,0.05,9m,1.1,1.5,1.6,200.0,800.0,0.05,7m,0.5,1.5,1.2000000000000002,24.0,24.0,0.05,9m,0.5,0.5,1.1,496.0,728.0,0.05,3m,1.3,1.5,1.4000000000000001,48.0,1008.0,0.05,2m,1.5,1.0,1.6,664.0,416.0,0.025,5m,1.0,1.5,1.8000000000000003,48.0,432,0.025,8m,0.8,1.2000000000000002,1.4000000000000001,984,0.2,10,COMPLETE
12,12,1.1873567921329,2025-06-16 00:21:18.902585,2025-06-16 00:21:23.159680,0 days 00:00:04.257095,,,,,,,,768.0,0.05,5m,1.3,1.0,1.1,608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,0.05,10m,1.2000000000000002,1.5,1.1,104.0,536.0,0.05,7m,1.2000000000000002,1.2000000000000002,1.5,904.0,504.0,0.025,8m,1.1,1.1,1.7000000000000002,400.0,504,0.025,8m,1.1,1.1,1.9000000000000001,56,0.2,5,COMPLETE
13,13,-2.9014379942430177,2025-06-16 00:21:23.208492,2025-06-16 00:21:27.704150,0 days 00:00:04.495658,,,,,,,,672.0,0.025,3m,1.2000000000000002,1.4,1.1,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,0.025,10m,1.3,1.3,1.1,24.0,992.0,0.05,5m,1.2000000000000002,1.4,1.4000000000000001,1000.0,584.0,0.025,9m,1.1,1.2000000000000002,1.6,32.0,384,0.05,9m,1.0,1.1,2.0,40,0.2,5,COMPLETE
14,14,-0.016356384753273764,2025-06-16 00:21:27.764660,2025-06-16 00:21:33.010686,0 days 00:00:05.246026,,,,,,,,448.0,0.05,7m,1.2000000000000002,1.5,1.7000000000000002,48.0,,,,,,,,1008.0,0.05,5m,0.5,0.5,2.0,16.0,,,,,,,,,,,,,,,24.0,0.05,10m,1.2000000000000002,1.2000000000000002,2.0,320.0,744.0,0.05,2m,1.1,0.8,1.9000000000000001,888.0,272.0,0.025,5m,1.2000000000000002,0.5,1.7000000000000002,432.0,128,0.025,3m,0.7,1.4,1.8000000000000003,192,0.25,6,COMPLETE
15,15,1.2970622762214994,2025-06-16 00:21:33.081703,2025-06-16 00:21:37.081702,0 days 00:00:03.999999,,,,,,,,808.0,0.025,4m,0.8,1.1,1.3,656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.0,0.05,7m,1.3,1.3,1.4000000000000001,504.0,488.0,0.025,7m,1.0,1.1,1.4000000000000001,696.0,472,0.05,8m,1.1,1.0,1.4000000000000001,232,0.5,4,COMPLETE
16,16,-23.912474864992248,2025-06-16 00:21:37.138212,2025-06-16 00:21:39.913731,0 days 00:00:02.775519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840.0,0.025,9m,1.3,1.5,1.3,512.0,40.0,0.025,7m,0.9,1.4,1.3,800.0,800,0.05,1m,0.7,0.9,1.4000000000000001,232,0.5,3,COMPLETE
17,17,-0.18039650345259325,2025-06-16 00:21:40.001760,2025-06-16 00:21:41.157037,0 days 00:00:01.155277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,0.05,7m,0.9,1.3,1.2000000000000002,344,0.45,1,COMPLETE
18,18,-0.6353171565319814,2025-06-16 00:21:41.222060,2025-06-16 00:21:44.015198,0 days 00:00:02.793138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.05,1m,1.0,0.8,1.7000000000000002,456.0,656.0,0.025,7m,1.2000000000000002,0.9,1.1,608.0,456,0.05,6m,1.1,1.0,1.4000000000000001,168,0.4,3,COMPLETE
19,19,0.09535657682646813,2025-06-16 00:21:44.083182,2025-06-16 00:21:47.371285,0 days 00:00:03.288103,,,,,,,,464.0,0.025,4m,0.8,1.2000000000000002,1.4000000000000001,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.0,0.05,7m,1.3,1.3,1.3,600.0,248.0,0.025,6m,1.0,0.8,1.4000000000000001,752.0,696,0.05,9m,0.6,1.5,1.3,736,0.35000000000000003,4,COMPLETE
20,20,-0.3894174325391032,2025-06-16 00:21:47.438803,2025-06-16 00:21:53.556759,0 days 00:00:06.117956,,,,,,,,800.0,0.025,8m,0.8,1.2000000000000002,1.3,928.0,,,,,,,,768.0,0.05,6m,0.9,1.5,1.8000000000000003,520.0,,,,,,,,528.0,0.025,4m,1.4,0.5,1.4000000000000001,48.0,1008.0,0.025,8m,0.5,0.5,1.7000000000000002,760.0,408.0,0.025,2m,0.9,1.2000000000000002,1.3,160.0,464.0,0.025,5m,1.3,1.1,1.5,984.0,144,0.05,4m,0.9,1.1,1.2000000000000002,128,0.45,7,COMPLETE
21,21,-1.1558343093237444,2025-06-16 00:21:53.611521,2025-06-16 00:21:57.548630,0 days 00:00:03.937109,,,,,,,,760.0,0.025,4m,1.2000000000000002,0.9,1.1,552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.0,0.05,1m,1.5,1.2000000000000002,1.2000000000000002,280.0,488.0,0.05,7m,1.2000000000000002,1.2000000000000002,1.5,832.0,560.0,0.025,8m,1.1,1.1,1.7000000000000002,336.0,496,0.025,8m,1.1,1.1,1.8000000000000003,88,0.25,5,COMPLETE
