,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_AEP_XEL_beta_win,params_AEP_XEL_stop_loss,params_AEP_XEL_trade_freq,params_AEP_XEL_z_entry,params_AEP_XEL_z_exit,params_AEP_XEL_z_stop_scaler,params_AEP_XEL_z_win,params_COST_INTU_beta_win,params_COST_INTU_stop_loss,params_COST_INTU_trade_freq,params_COST_INTU_z_entry,params_COST_INTU_z_exit,params_COST_INTU_z_stop_scaler,params_COST_INTU_z_win,params_CTSH_MU_beta_win,params_CTSH_MU_stop_loss,params_CTSH_MU_trade_freq,params_CTSH_MU_z_entry,params_CTSH_MU_z_exit,params_CTSH_MU_z_stop_scaler,params_CTSH_MU_z_win,params_EBAY_MU_beta_win,params_EBAY_MU_stop_loss,params_EBAY_MU_trade_freq,params_EBAY_MU_z_entry,params_EBAY_MU_z_exit,params_EBAY_MU_z_stop_scaler,params_EBAY_MU_z_win,params_FAST_MU_beta_win,params_FAST_MU_stop_loss,params_FAST_MU_trade_freq,params_FAST_MU_z_entry,params_FAST_MU_z_exit,params_FAST_MU_z_stop_scaler,params_FAST_MU_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_MNST_ZS_beta_win,params_MNST_ZS_stop_loss,params_MNST_ZS_trade_freq,params_MNST_ZS_z_entry,params_MNST_ZS_z_exit,params_MNST_ZS_z_stop_scaler,params_MNST_ZS_z_win,params_TMUS_VRTX_beta_win,params_TMUS_VRTX_stop_loss,params_TMUS_VRTX_trade_freq,params_TMUS_VRTX_z_entry,params_TMUS_VRTX_z_exit,params_TMUS_VRTX_z_stop_scaler,params_TMUS_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-100.0,2025-06-15 23:41:11.532690,2025-06-15 23:41:12.888266,0 days 00:00:01.355576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.05,7m,0.8,0.9,2.0,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
11,11,-0.7249964783375199,2025-06-15 23:41:12.979260,2025-06-15 23:41:14.485868,0 days 00:00:01.506608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808,0.05,1m,1.1,0.8,2.0,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
12,12,-2.378432436046569,2025-06-15 23:41:14.555754,2025-06-15 23:41:17.347542,0 days 00:00:02.791788,,,,,,,,,,,,,,,504.0,0.025,9m,1.5,1.5,1.6,1000.0,,,,,,,,,,,,,,,400,0.05,5m,0.9,1.1,1.8000000000000003,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
13,13,-4.305728551888644,2025-06-15 23:41:17.415367,2025-06-15 23:41:21.081484,0 days 00:00:03.666117,,,,,,,,384.0,0.05,1m,1.5,0.5,1.4000000000000001,184.0,528.0,0.025,7m,1.1,1.3,1.7000000000000002,72.0,,,,,,,,,,,,,,,768,0.05,9m,0.7,0.9,1.4000000000000001,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
14,14,-0.7147361735962854,2025-06-15 23:41:21.169922,2025-06-15 23:41:25.122329,0 days 00:00:03.952407,,,,,,,,24.0,0.05,9m,1.2000000000000002,0.7,2.0,448.0,384.0,0.025,6m,1.5,1.2000000000000002,1.3,1024.0,,,,,,,,,,,,,,,376,0.05,3m,1.2000000000000002,1.4,1.1,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
15,15,-4.001161751592824,2025-06-15 23:41:25.186689,2025-06-15 23:41:31.535339,0 days 00:00:06.348650,,,,,,,,616.0,0.05,6m,1.3,0.8,1.7000000000000002,24.0,1008.0,0.025,10m,1.0,0.9,1.1,808.0,976.0,0.025,10m,1.4,1.5,2.0,64.0,,,,,,,,96,0.05,5m,0.5,0.8,1.8000000000000003,720,,,,,,,,368.0,0.025,7m,0.5,1.5,1.9000000000000001,16.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
16,16,-3.333956481961813,2025-06-15 23:41:31.639474,2025-06-15 23:41:34.315201,0 days 00:00:02.675727,,,,,,,,,,,,,,,656.0,0.05,3m,1.2000000000000002,1.5,1.7000000000000002,16.0,,,,,,,,,,,,,,,720,0.05,7m,1.0,1.0,1.4000000000000001,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
17,17,0.06053318174061665,2025-06-15 23:41:34.381631,2025-06-15 23:41:36.887889,0 days 00:00:02.506258,,,,,,,,,,,,,,,40.0,0.025,10m,1.0,1.3,1.4000000000000001,400.0,,,,,,,,,,,,,,,984,0.05,6m,0.8,0.8,1.9000000000000001,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
18,18,0.15047104743097195,2025-06-15 23:41:36.974677,2025-06-15 23:41:38.209761,0 days 00:00:01.235084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,0.05,6m,0.7,0.7,1.9000000000000001,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
19,19,0.4008405175755781,2025-06-15 23:41:38.286577,2025-06-15 23:41:39.718839,0 days 00:00:01.432262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,0.05,6m,0.6,0.6,1.8000000000000003,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
20,20,-12.53648011306096,2025-06-15 23:41:39.826225,2025-06-15 23:41:47.423046,0 days 00:00:07.596821,,,,,,,,1008.0,0.05,5m,1.0,0.9,1.8000000000000003,968.0,776.0,0.05,3m,0.9,1.1,1.1,840.0,24.0,0.025,1m,0.5,0.5,1.1,752.0,,,,,,,,896,0.025,4m,0.6,0.5,1.8000000000000003,800,,,,,,,,32.0,0.05,3m,1.5,0.9,1.7000000000000002,1016.0,1024.0,0.05,3m,1.0,1.4,2.0,40.0,,,,,,,,0.45,6,COMPLETE
21,21,0.48459367285542304,2025-06-15 23:41:47.494451,2025-06-15 23:41:48.661262,0 days 00:00:01.166811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896,0.05,6m,0.7,0.7,1.9000000000000001,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
22,22,1.0899144240627296,2025-06-15 23:41:48.704874,2025-06-15 23:41:49.691722,0 days 00:00:00.986848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672,0.05,6m,0.6,0.6,1.9000000000000001,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
