,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_AEP_XEL_beta_win,params_AEP_XEL_stop_loss,params_AEP_XEL_trade_freq,params_AEP_XEL_z_entry,params_AEP_XEL_z_exit,params_AEP_XEL_z_stop_scaler,params_AEP_XEL_z_win,params_COST_INTU_beta_win,params_COST_INTU_stop_loss,params_COST_INTU_trade_freq,params_COST_INTU_z_entry,params_COST_INTU_z_exit,params_COST_INTU_z_stop_scaler,params_COST_INTU_z_win,params_CTSH_MU_beta_win,params_CTSH_MU_stop_loss,params_CTSH_MU_trade_freq,params_CTSH_MU_z_entry,params_CTSH_MU_z_exit,params_CTSH_MU_z_stop_scaler,params_CTSH_MU_z_win,params_EBAY_MU_beta_win,params_EBAY_MU_stop_loss,params_EBAY_MU_trade_freq,params_EBAY_MU_z_entry,params_EBAY_MU_z_exit,params_EBAY_MU_z_stop_scaler,params_EBAY_MU_z_win,params_FAST_MU_beta_win,params_FAST_MU_stop_loss,params_FAST_MU_trade_freq,params_FAST_MU_z_entry,params_FAST_MU_z_exit,params_FAST_MU_z_stop_scaler,params_FAST_MU_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_MNST_ZS_beta_win,params_MNST_ZS_stop_loss,params_MNST_ZS_trade_freq,params_MNST_ZS_z_entry,params_MNST_ZS_z_exit,params_MNST_ZS_z_stop_scaler,params_MNST_ZS_z_win,params_TMUS_VRTX_beta_win,params_TMUS_VRTX_stop_loss,params_TMUS_VRTX_trade_freq,params_TMUS_VRTX_z_entry,params_TMUS_VRTX_z_exit,params_TMUS_VRTX_z_stop_scaler,params_TMUS_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
33,33,-1.6848424879976722,2025-06-15 23:42:15.452728,2025-06-15 23:42:17.809034,0 days 00:00:02.356306,,,,,,,,688.0,0.025,2m,0.9,0.5,1.3,168.0,672.0,0.025,5m,0.6,1.0,1.2000000000000002,544.0,,,,,,,,,,,,,,,936,0.05,6m,0.5,0.5,1.8000000000000003,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,3,COMPLETE
34,34,0.8129921851659542,2025-06-15 23:42:17.859543,2025-06-15 23:42:19.845767,0 days 00:00:01.986224,,,,,,,,,,,,,,,504.0,0.05,9m,1.2000000000000002,0.8,1.9000000000000001,120.0,,,,,,,,,,,,,,,760,0.05,6m,0.7,0.6,1.7000000000000002,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
35,35,-25.546705795073844,2025-06-15 23:42:19.899280,2025-06-15 23:42:22.898863,0 days 00:00:02.999583,,,,,,,,840.0,0.05,5m,0.5,1.4,1.6,872.0,456.0,0.05,9m,1.2000000000000002,0.8,1.8000000000000003,128.0,,,,,,,,,,,,,,,752,0.025,1m,0.7,0.7,1.7000000000000002,592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
36,36,-0.5179287767628791,2025-06-15 23:42:22.963900,2025-06-15 23:42:24.704216,0 days 00:00:01.740316,,,,,,,,,,,,,,,576.0,0.05,9m,1.3,0.8,1.9000000000000001,336.0,,,,,,,,,,,,,,,648,0.05,10m,1.0,0.5,1.5,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
37,37,-3.49862175169402,2025-06-15 23:42:24.765739,2025-06-15 23:42:28.401846,0 days 00:00:03.636107,,,,,,,,248.0,0.025,4m,1.3,0.9,1.8000000000000003,576.0,176.0,0.05,9m,1.1,0.7,2.0,168.0,,,,,,,,,,,,,,,792,0.025,6m,0.8,0.8,1.7000000000000002,912,,,,,,,,184.0,0.025,2m,0.8,0.8,1.7000000000000002,32.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
38,38,-23.528558658077138,2025-06-15 23:42:28.462871,2025-06-15 23:42:35.313231,0 days 00:00:06.850360,,,,,,,,920.0,0.05,1m,1.0,1.1,1.4000000000000001,96.0,312.0,0.05,9m,0.9,1.1,1.6,248.0,600.0,0.05,9m,0.7,1.2000000000000002,1.3,336.0,,,,,,,,552,0.05,8m,0.7,0.7,1.6,720,504.0,0.025,8m,1.1,1.5,1.4000000000000001,680.0,768.0,0.05,10m,1.2000000000000002,1.0,1.6,624.0,776.0,0.05,6m,1.0,1.5,1.1,40.0,1000.0,0.025,8m,1.0,0.5,2.0,48.0,0.35000000000000003,8,COMPLETE
39,39,-1.7154155433431266,2025-06-15 23:42:35.382737,2025-06-15 23:42:37.171793,0 days 00:00:01.789056,,,,,,,,,,,,,,,344.0,0.05,2m,1.3,0.9,1.9000000000000001,88.0,,,,,,,,,,,,,,,728,0.05,6m,0.9,0.9,1.5,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
40,40,-1.9040019232893388,2025-06-15 23:42:37.223792,2025-06-15 23:42:40.933729,0 days 00:00:03.709937,,,,,,,,440.0,0.025,8m,0.8,0.7,1.5,304.0,208.0,0.05,7m,1.1,1.0,1.6,24.0,,,,,,,,,,,,,,,624,0.025,2m,0.5,1.3,2.0,808,,,,,,,,536.0,0.025,7m,0.7,0.7,1.4000000000000001,824.0,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
41,41,0.46160105145738634,2025-06-15 23:42:40.996749,2025-06-15 23:42:42.149247,0 days 00:00:01.152498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856,0.05,6m,0.6,0.6,1.8000000000000003,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
42,42,-0.057925207644130915,2025-06-15 23:42:42.201430,2025-06-15 23:42:43.267682,0 days 00:00:01.066252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,0.05,6m,0.6,0.6,1.9000000000000001,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
43,43,0.045885319735650486,2025-06-15 23:42:43.335321,2025-06-15 23:42:44.412850,0 days 00:00:01.077529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.05,6m,0.7,0.5,1.7000000000000002,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
44,44,1.2027919840711,2025-06-15 23:42:44.472148,2025-06-15 23:42:46.428826,0 days 00:00:01.956678,,,,,,,,,,,,,,,432.0,0.05,4m,0.8,1.2000000000000002,1.8000000000000003,296.0,,,,,,,,,,,,,,,688,0.05,6m,0.5,0.6,1.8000000000000003,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
45,45,-3.327574033828374,2025-06-15 23:42:46.479252,2025-06-15 23:42:48.351105,0 days 00:00:01.871853,,,,,,,,,,,,,,,448.0,0.05,4m,0.8,1.2000000000000002,1.8000000000000003,296.0,,,,,,,,,,,,,,,712,0.05,4m,0.5,0.7,1.9000000000000001,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
46,46,-1.1740453588315498,2025-06-15 23:42:48.411616,2025-06-15 23:42:51.348705,0 days 00:00:02.937089,,,,,,,,24.0,0.05,5m,1.1,1.0,1.9000000000000001,1016.0,616.0,0.05,4m,1.0,1.4,1.7000000000000002,480.0,,,,,,,,,,,,,,,592,0.05,10m,0.5,1.1,2.0,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
47,47,-7.992921213779355,2025-06-15 23:42:51.445228,2025-06-15 23:42:53.592951,0 days 00:00:02.147723,,,,,,,,,,,,,,,512.0,0.05,4m,0.7,1.2000000000000002,2.0,232.0,,,,,,,,,,,,,,,760,0.05,1m,0.8,0.6,1.9000000000000001,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
48,48,-2.109708345679898,2025-06-15 23:42:53.688470,2025-06-15 23:42:56.195496,0 days 00:00:02.507026,,,,,,,,624.0,0.025,2m,1.4,1.4,1.3,912.0,712.0,0.05,8m,0.8,1.0,1.5,184.0,,,,,,,,,,,,,,,800,0.05,9m,1.1,0.8,1.8000000000000003,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
49,49,-1.5265417324202881,2025-06-15 23:42:56.237497,2025-06-15 23:42:58.134947,0 days 00:00:01.897450,,,,,,,,,,,,,,,96.0,0.05,4m,1.2000000000000002,0.7,1.9000000000000001,344.0,,,,,,,,,,,,,,,440,0.05,6m,0.5,0.9,1.2000000000000002,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
50,50,-0.23617952316833238,2025-06-15 23:42:58.185458,2025-06-15 23:42:59.267287,0 days 00:00:01.081829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,0.05,5m,1.3,0.5,1.6,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
51,51,0.3560451412964922,2025-06-15 23:42:59.337793,2025-06-15 23:43:00.397475,0 days 00:00:01.059682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856,0.05,6m,0.6,0.6,1.8000000000000003,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
52,52,0.5482481919854743,2025-06-15 23:43:00.459477,2025-06-15 23:43:01.471130,0 days 00:00:01.011653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688,0.05,6m,0.6,0.6,1.7000000000000002,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
53,53,-2.1029140173877203,2025-06-15 23:43:01.556644,2025-06-15 23:43:03.480867,0 days 00:00:01.924223,,,,,,,,,,,,,,,312.0,0.05,5m,0.6,0.9,1.8000000000000003,440.0,,,,,,,,,,,,,,,696,0.05,3m,0.7,0.7,1.7000000000000002,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
54,54,-0.052017321278632095,2025-06-15 23:43:03.573871,2025-06-15 23:43:04.523009,0 days 00:00:00.949138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,0.05,6m,1.4,0.6,1.6,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
55,55,-3.681789577949894,2025-06-15 23:43:04.582518,2025-06-15 23:43:06.384134,0 days 00:00:01.801616,,,,,,,,,,,,,,,720.0,0.05,1m,1.0,1.1,1.9000000000000001,608.0,,,,,,,,,,,,,,,760,0.05,6m,0.6,0.5,2.0,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
56,56,-4.5060879785387815,2025-06-15 23:43:06.442134,2025-06-15 23:43:12.526484,0 days 00:00:06.084350,,,,,,,,744.0,0.05,1m,1.1,1.2000000000000002,1.8000000000000003,432.0,880.0,0.05,6m,1.4,1.4,1.5,304.0,1000.0,0.025,2m,1.2000000000000002,0.5,1.5,744.0,,,,,,,,680,0.05,7m,0.5,0.7,1.8000000000000003,304,296.0,0.025,5m,1.1,0.5,1.4000000000000001,16.0,976.0,0.05,4m,1.2000000000000002,1.4,2.0,144.0,392.0,0.025,4m,0.8,0.5,1.8000000000000003,512.0,,,,,,,,0.4,7,COMPLETE
57,57,0.06209699319856622,2025-06-15 23:43:12.587994,2025-06-15 23:43:13.686699,0 days 00:00:01.098705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976,0.05,6m,0.7,1.5,1.9000000000000001,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
58,58,-1.3712660258772709,2025-06-15 23:43:13.758699,2025-06-15 23:43:16.484912,0 days 00:00:02.726213,,,,,,,,560.0,0.025,8m,0.6,0.8,1.7000000000000002,528.0,432.0,0.05,4m,0.9,0.8,2.0,184.0,,,,,,,,,,,,,,,928,0.05,8m,0.8,0.6,1.9000000000000001,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
59,59,0.626591793848268,2025-06-15 23:43:16.536911,2025-06-15 23:43:18.447175,0 days 00:00:01.910264,,,,,,,,,,,,,,,280.0,0.05,9m,1.3,0.7,1.7000000000000002,104.0,,,,,,,,,,,,,,,624,0.05,6m,0.6,0.8,2.0,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
60,60,-3.332481454076285,2025-06-15 23:43:18.501192,2025-06-15 23:43:20.173909,0 days 00:00:01.672717,,,,,,,,,,,,,,,256.0,0.05,9m,1.3,0.7,1.7000000000000002,104.0,,,,,,,,,,,,,,,616,0.05,4m,0.6,0.8,1.8000000000000003,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
61,61,1.0210198944286673,2025-06-15 23:43:20.250417,2025-06-15 23:43:21.325091,0 days 00:00:01.074674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.05,6m,0.7,0.7,2.0,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
62,62,1.011540897756625,2025-06-15 23:43:21.374094,2025-06-15 23:43:23.283581,0 days 00:00:01.909487,,,,,,,,,,,,,,,120.0,0.05,9m,1.4,0.6,1.8000000000000003,64.0,,,,,,,,,,,,,,,632,0.05,6m,0.6,0.7,2.0,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
63,63,0.8078012590383671,2025-06-15 23:43:23.340088,2025-06-15 23:43:25.099993,0 days 00:00:01.759905,,,,,,,,,,,,,,,136.0,0.05,9m,1.4,0.6,1.8000000000000003,64.0,,,,,,,,,,,,,,,576,0.05,6m,0.5,0.8,2.0,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
64,64,-1.2991521173439389,2025-06-15 23:43:25.150994,2025-06-15 23:43:27.567959,0 days 00:00:02.416965,,,,,,,,944.0,0.05,3m,0.8,0.9,1.3,136.0,104.0,0.05,9m,1.4,0.6,1.8000000000000003,136.0,,,,,,,,,,,,,,,512,0.05,6m,0.5,1.0,2.0,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
65,65,-1.6334301280141545,2025-06-15 23:43:27.618471,2025-06-15 23:43:30.820942,0 days 00:00:03.202471,,,,,,,,288.0,0.05,9m,1.4,0.6,1.9000000000000001,280.0,152.0,0.05,9m,1.5,0.6,1.7000000000000002,64.0,,,,,,,,,,,,,,,568,0.05,6m,0.5,0.8,2.0,792,,,,,,,,752.0,0.025,5m,1.5,1.1,1.1,672.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
66,66,-0.6886188239972371,2025-06-15 23:43:30.902465,2025-06-15 23:43:32.675225,0 days 00:00:01.772760,,,,,,,,,,,,,,,80.0,0.05,9m,1.3,0.5,1.8000000000000003,216.0,,,,,,,,,,,,,,,632,0.05,2m,0.6,0.9,2.0,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
67,67,-0.9388175594430721,2025-06-15 23:43:32.713731,2025-06-15 23:43:34.346531,0 days 00:00:01.632800,,,,,,,,,,,,,,,184.0,0.05,9m,1.4,0.6,1.9000000000000001,64.0,,,,,,,,,,,,,,,584,0.05,5m,0.5,0.8,2.0,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
68,68,-2.1536465446116932,2025-06-15 23:43:34.401042,2025-06-15 23:43:38.493792,0 days 00:00:04.092750,,,,,,,,408.0,0.025,7m,1.3,0.7,1.2000000000000002,776.0,360.0,0.05,9m,1.5,0.5,1.8000000000000003,16.0,712.0,0.05,10m,1.4,0.8,2.0,416.0,,,,,,,,440,0.05,6m,0.6,0.7,1.9000000000000001,816,,,,,,,,472.0,0.05,6m,0.5,1.0,1.8000000000000003,344.0,,,,,,,,,,,,,,,0.3,5,COMPLETE
69,69,1.1480919859852767,2025-06-15 23:43:38.553794,2025-06-15 23:43:40.907770,0 days 00:00:02.353976,,,,,,,,128.0,0.05,10m,0.6,1.4,1.6,368.0,264.0,0.05,9m,1.4,0.7,1.6,120.0,,,,,,,,,,,,,,,464,0.05,10m,0.5,0.9,2.0,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
70,70,1.308415875364009,2025-06-15 23:43:40.954769,2025-06-15 23:43:43.485434,0 days 00:00:02.530665,,,,,,,,120.0,0.05,10m,0.6,1.4,1.6,384.0,128.0,0.05,10m,1.2000000000000002,0.8,1.6,152.0,,,,,,,,,,,,,,,464,0.05,10m,0.5,0.9,2.0,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
71,71,1.431265469362192,2025-06-15 23:43:43.550943,2025-06-15 23:43:46.110756,0 days 00:00:02.559813,,,,,,,,120.0,0.05,10m,0.6,1.4,1.6,368.0,128.0,0.05,10m,1.2000000000000002,0.7,1.6,152.0,,,,,,,,,,,,,,,448,0.05,10m,0.5,0.9,2.0,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
72,72,0.33001142527554045,2025-06-15 23:43:46.149756,2025-06-15 23:43:48.653186,0 days 00:00:02.503430,,,,,,,,112.0,0.05,10m,0.6,1.4,1.6,360.0,16.0,0.05,10m,1.1,0.8,1.6,152.0,,,,,,,,,,,,,,,456,0.05,10m,0.5,1.1,1.9000000000000001,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
73,73,-0.9378838570629543,2025-06-15 23:43:48.711698,2025-06-15 23:43:52.011327,0 days 00:00:03.299629,,,,,,,,176.0,0.05,10m,0.5,1.5,1.5,368.0,56.0,0.05,10m,1.2000000000000002,0.7,1.5,200.0,,,,,,,,,,,,,,,312,0.05,10m,0.5,1.0,2.0,912,,,,,,,,144.0,0.025,9m,1.3,0.8,1.3,912.0,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
74,74,-2.0413122250176112,2025-06-15 23:43:52.078325,2025-06-15 23:43:54.732933,0 days 00:00:02.654608,,,,,,,,80.0,0.05,10m,0.8,1.2000000000000002,1.6,216.0,240.0,0.05,10m,1.2000000000000002,0.9,1.6,120.0,,,,,,,,,,,,,,,176,0.05,10m,0.5,0.9,2.0,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
75,75,1.015354999483173,2025-06-15 23:43:54.814444,2025-06-15 23:43:58.284379,0 days 00:00:03.469935,,,,,,,,200.0,0.05,10m,0.6,1.3,1.7000000000000002,424.0,136.0,0.05,10m,1.3,0.7,1.5,280.0,,,,,,,,,,,,,,,400,0.05,10m,0.6,1.0,1.9000000000000001,928,,,,,,,,296.0,0.05,3m,0.9,1.2000000000000002,1.6,552.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
76,76,0.7271063932451903,2025-06-15 23:43:58.354892,2025-06-15 23:44:01.518362,0 days 00:00:03.163470,,,,,,,,200.0,0.05,10m,0.6,1.3,1.7000000000000002,456.0,128.0,0.05,10m,1.3,0.7,1.4000000000000001,256.0,,,,,,,,,,,,,,,376,0.05,10m,0.6,1.0,1.9000000000000001,928,,,,,,,,288.0,0.05,3m,0.9,1.4,1.6,584.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
77,77,-3.2145536362198586,2025-06-15 23:44:01.598469,2025-06-15 23:44:05.731562,0 days 00:00:04.133093,,,,,,,,280.0,0.05,10m,0.7,1.4,1.6,320.0,200.0,0.05,10m,1.5,0.6,1.5,288.0,496.0,0.025,9m,0.5,1.3,1.2000000000000002,736.0,,,,,,,,400,0.05,10m,0.5,1.0,1.9000000000000001,976,,,,,,,,136.0,0.05,3m,0.8,1.2000000000000002,1.5,728.0,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
78,78,1.0339852417135615,2025-06-15 23:44:05.809049,2025-06-15 23:44:08.462617,0 days 00:00:02.653568,,,,,,,,120.0,0.05,10m,0.6,1.3,1.5,400.0,72.0,0.05,10m,1.4,0.7,1.4000000000000001,376.0,,,,,,,,,,,,,,,472,0.05,10m,0.6,1.1,2.0,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
79,79,0.7560975138135388,2025-06-15 23:44:08.544648,2025-06-15 23:44:11.683445,0 days 00:00:03.138797,,,,,,,,96.0,0.05,10m,0.6,1.3,1.5,400.0,64.0,0.05,10m,1.4,0.8,1.3,360.0,,,,,,,,,,,,,,,464,0.05,10m,0.5,1.1,2.0,880,,,,,,,,520.0,0.05,3m,1.1,1.2000000000000002,1.8000000000000003,504.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
80,80,-0.9002400570903454,2025-06-15 23:44:11.749958,2025-06-15 23:44:14.300937,0 days 00:00:02.550979,,,,,,,,128.0,0.05,10m,0.5,1.4,1.6,504.0,168.0,0.05,10m,1.3,0.7,1.4000000000000001,264.0,,,,,,,,,,,,,,,352,0.025,10m,0.6,1.2000000000000002,1.9000000000000001,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
81,81,0.012831839760261836,2025-06-15 23:44:14.379790,2025-06-15 23:44:16.993013,0 days 00:00:02.613223,,,,,,,,64.0,0.05,10m,0.7,1.5,1.7000000000000002,352.0,120.0,0.05,10m,1.4,0.6,1.6,384.0,,,,,,,,,,,,,,,528,0.05,10m,0.6,1.2000000000000002,2.0,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
82,82,-0.4671822743895248,2025-06-15 23:44:17.060520,2025-06-15 23:44:20.476392,0 days 00:00:03.415872,,,,,,,,224.0,0.05,10m,0.6,1.2000000000000002,1.5,232.0,208.0,0.05,10m,1.5,0.7,1.5,328.0,,,,,,,,,,,,,,,528,0.05,10m,0.6,0.9,2.0,904,,,,,,,,368.0,0.05,3m,0.7,1.1,1.3,344.0,,,,,,,,,,,,,,,0.25,4,COMPLETE
83,83,0.8783142676719788,2025-06-15 23:44:20.557421,2025-06-15 23:44:23.062399,0 days 00:00:02.504978,,,,,,,,152.0,0.05,10m,0.7,1.3,1.6,408.0,80.0,0.05,3m,1.4,0.7,1.3,216.0,,,,,,,,,,,,,,,480,0.05,10m,0.5,1.1,2.0,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
84,84,1.5635511125437083,2025-06-15 23:44:23.142919,2025-06-15 23:44:25.709964,0 days 00:00:02.567045,,,,,,,,16.0,0.05,10m,0.6,1.4,1.7000000000000002,600.0,152.0,0.05,10m,1.4,0.5,1.4000000000000001,432.0,,,,,,,,,,,,,,,416,0.05,10m,0.6,0.9,1.9000000000000001,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
85,85,0.9928408780369627,2025-06-15 23:44:25.780963,2025-06-15 23:44:28.469073,0 days 00:00:02.688110,,,,,,,,40.0,0.05,10m,0.6,1.4,1.7000000000000002,648.0,224.0,0.05,10m,1.2000000000000002,0.5,1.4000000000000001,456.0,,,,,,,,,,,,,,,408,0.05,10m,0.7,0.9,1.9000000000000001,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
86,86,-1.66564434449757,2025-06-15 23:44:28.555955,2025-06-15 23:44:31.780583,0 days 00:00:03.224628,,,,,,,,80.0,0.05,10m,0.5,1.5,1.8000000000000003,472.0,16.0,0.05,10m,1.3,0.8,1.4000000000000001,408.0,,,,,,,,,,,,,,,336,0.05,10m,0.5,1.0,1.9000000000000001,1000,,,,,,,,264.0,0.05,7m,0.9,1.3,1.8000000000000003,904.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
87,87,-0.9869587384792781,2025-06-15 23:44:31.876105,2025-06-15 23:44:34.465021,0 days 00:00:02.588916,,,,,,,,136.0,0.05,6m,0.7,1.3,1.6,592.0,152.0,0.05,2m,1.3,0.8,1.4000000000000001,376.0,,,,,,,,,,,,,,,264,0.05,10m,0.5,1.1,1.9000000000000001,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
88,88,-3.3117750882026846,2025-06-15 23:44:34.524043,2025-06-15 23:44:38.599119,0 days 00:00:04.075076,,,,,,,,192.0,0.05,10m,0.6,1.4,1.5,288.0,288.0,0.05,10m,1.5,0.9,1.3,496.0,168.0,0.05,7m,1.1,1.4,1.7000000000000002,144.0,,,,,,,,432,0.05,10m,0.6,1.0,2.0,792,,,,,,,,704.0,0.05,1m,1.1,0.9,1.6,112.0,,,,,,,,,,,,,,,0.2,5,COMPLETE
89,89,-0.6923041958429019,2025-06-15 23:44:38.664626,2025-06-15 23:44:44.007183,0 days 00:00:05.342557,,,,,,,,328.0,0.05,10m,0.8,1.3,1.7000000000000002,536.0,56.0,0.05,10m,1.1,0.5,1.5,560.0,832.0,0.025,8m,0.8,1.0,1.6,888.0,,,,,,,,416,0.05,9m,1.1,0.9,1.9000000000000001,856,,,,,,,,80.0,0.05,10m,0.7,1.4,1.5,552.0,56.0,0.05,10m,1.5,1.3,1.3,232.0,,,,,,,,0.1,6,COMPLETE
90,90,-12.881372268223712,2025-06-15 23:44:44.069692,2025-06-15 23:44:49.346477,0 days 00:00:05.276785,,,,,,,,16.0,0.05,4m,0.5,1.5,1.4000000000000001,344.0,176.0,0.05,8m,1.2000000000000002,1.3,1.6,280.0,,,,,,,,,,,,,,,496,0.05,1m,0.7,0.9,1.9000000000000001,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
91,91,-2.096651271096396,2025-06-15 23:44:49.480990,2025-06-15 23:44:56.374526,0 days 00:00:06.893536,,,,,,,,240.0,0.05,10m,0.6,1.2000000000000002,1.8000000000000003,392.0,128.0,0.05,7m,1.4,0.6,1.5,160.0,,,,,,,,,,,,,,,376,0.05,3m,0.6,0.9,2.0,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
92,92,0.41035999999009715,2025-06-15 23:44:56.508415,2025-06-15 23:45:01.185510,0 days 00:00:04.677095,,,,,,,,,,,,,,,96.0,0.05,5m,1.4,0.6,1.6,320.0,,,,,,,,,,,,,,,464,0.05,7m,0.6,1.0,2.0,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
93,93,-6.388116532144996,2025-06-15 23:45:01.329936,2025-06-15 23:45:07.559863,0 days 00:00:06.229927,,,,,,,,72.0,0.05,10m,0.7,1.4,1.7000000000000002,488.0,248.0,0.05,1m,1.3,0.5,1.4000000000000001,32.0,,,,,,,,,,,,,,,536,0.05,10m,0.7,1.2000000000000002,2.0,896,,,,,,,,400.0,0.05,4m,0.6,0.6,1.1,432.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
94,94,-1.336883468710709,2025-06-15 23:45:07.642508,2025-06-15 23:45:09.469114,0 days 00:00:01.826606,,,,,,,,,,,,,,,336.0,0.05,6m,1.5,0.7,1.7000000000000002,232.0,,,,,,,,,,,,,,,656,0.05,10m,0.5,1.0,2.0,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
