,number,value,datetime_start,datetime_complete,duration,params_ADI_ZM_beta_win,params_ADI_ZM_stop_loss,params_ADI_ZM_trade_freq,params_ADI_ZM_z_entry,params_ADI_ZM_z_exit,params_ADI_ZM_z_stop_scaler,params_ADI_ZM_z_win,params_ANSS_ZM_beta_win,params_ANSS_ZM_stop_loss,params_ANSS_ZM_trade_freq,params_ANSS_ZM_z_entry,params_ANSS_ZM_z_exit,params_ANSS_ZM_z_stop_scaler,params_ANSS_ZM_z_win,params_ASML_ZM_beta_win,params_ASML_ZM_stop_loss,params_ASML_ZM_trade_freq,params_ASML_ZM_z_entry,params_ASML_ZM_z_exit,params_ASML_ZM_z_stop_scaler,params_ASML_ZM_z_win,params_AZN_ZM_beta_win,params_AZN_ZM_stop_loss,params_AZN_ZM_trade_freq,params_AZN_ZM_z_entry,params_AZN_ZM_z_exit,params_AZN_ZM_z_stop_scaler,params_AZN_ZM_z_win,params_CDNS_ZM_beta_win,params_CDNS_ZM_stop_loss,params_CDNS_ZM_trade_freq,params_CDNS_ZM_z_entry,params_CDNS_ZM_z_exit,params_CDNS_ZM_z_stop_scaler,params_CDNS_ZM_z_win,params_CPRT_ZM_beta_win,params_CPRT_ZM_stop_loss,params_CPRT_ZM_trade_freq,params_CPRT_ZM_z_entry,params_CPRT_ZM_z_exit,params_CPRT_ZM_z_stop_scaler,params_CPRT_ZM_z_win,params_MDLZ_ZM_beta_win,params_MDLZ_ZM_stop_loss,params_MDLZ_ZM_trade_freq,params_MDLZ_ZM_z_entry,params_MDLZ_ZM_z_exit,params_MDLZ_ZM_z_stop_scaler,params_MDLZ_ZM_z_win,params_MNST_ZM_beta_win,params_MNST_ZM_stop_loss,params_MNST_ZM_trade_freq,params_MNST_ZM_z_entry,params_MNST_ZM_z_exit,params_MNST_ZM_z_stop_scaler,params_MNST_ZM_z_win,params_MSFT_ZM_beta_win,params_MSFT_ZM_stop_loss,params_MSFT_ZM_trade_freq,params_MSFT_ZM_z_entry,params_MSFT_ZM_z_exit,params_MSFT_ZM_z_stop_scaler,params_MSFT_ZM_z_win,params_SGEN_ZM_beta_win,params_SGEN_ZM_stop_loss,params_SGEN_ZM_trade_freq,params_SGEN_ZM_z_entry,params_SGEN_ZM_z_exit,params_SGEN_ZM_z_stop_scaler,params_SGEN_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,0.7768660966209839,2025-06-16 00:22:38.394445,2025-06-16 00:22:43.767041,0 days 00:00:05.372596,296.0,0.05,6m,0.9,1.1,1.5,272.0,448.0,0.025,8m,1.1,1.3,1.6,456.0,,,,,,,,744.0,0.025,2m,1.1,0.5,1.8000000000000003,824.0,,,,,,,,,,,,,,,880,0.05,3m,1.0,0.7,1.8000000000000003,640,320.0,0.05,4m,1.0,1.1,1.2000000000000002,448.0,,,,,,,,352.0,0.025,7m,0.5,0.5,1.3,624.0,0.1,6,COMPLETE
31,31,1.0394739089954337,2025-06-16 00:22:43.839129,2025-06-16 00:22:47.523650,0 days 00:00:03.684521,152.0,0.025,5m,1.2000000000000002,1.1,1.2000000000000002,520.0,,,,,,,,,,,,,,,432.0,0.025,6m,1.3,0.6,1.5,584.0,,,,,,,,,,,,,,,688,0.05,4m,0.6,0.5,1.1,112,456.0,0.05,3m,1.3,0.9,1.2000000000000002,760.0,,,,,,,,,,,,,,,0.05,4,COMPLETE
32,32,2.3392668476135583,2025-06-16 00:22:47.579903,2025-06-16 00:22:53.615213,0 days 00:00:06.035310,160.0,0.025,5m,1.3,0.9,1.1,112.0,584.0,0.025,2m,1.4,1.4,1.9000000000000001,608.0,,,,,,,,416.0,0.025,6m,1.4,0.6,1.7000000000000002,600.0,,,,,,,,328.0,0.025,2m,1.5,0.7,1.7000000000000002,64.0,728,0.05,4m,0.5,0.5,1.2000000000000002,168,416.0,0.05,3m,1.3,0.9,1.2000000000000002,904.0,,,,,,,,144.0,0.025,4m,0.7,0.7,1.8000000000000003,176.0,0.05,7,COMPLETE
33,33,-1.9200023768993268,2025-06-16 00:22:53.698688,2025-06-16 00:23:00.756241,0 days 00:00:07.057553,16.0,0.025,5m,1.3,0.9,1.1,128.0,600.0,0.025,2m,1.4,1.4,1.9000000000000001,640.0,,,,,,,,600.0,0.025,6m,1.4,0.5,1.7000000000000002,688.0,32.0,0.05,4m,1.0,1.1,1.5,992.0,336.0,0.025,2m,1.5,0.7,1.7000000000000002,40.0,808,0.05,4m,0.5,0.6,1.2000000000000002,176,256.0,0.05,3m,1.4,0.8,1.4000000000000001,144.0,,,,,,,,128.0,0.025,4m,0.7,0.7,1.8000000000000003,216.0,0.1,8,COMPLETE
34,34,-5.0117683725529885,2025-06-16 00:23:00.816144,2025-06-16 00:23:07.002328,0 days 00:00:06.186184,112.0,0.025,2m,1.3,0.8,1.1,80.0,480.0,0.025,2m,1.5,1.5,1.9000000000000001,816.0,,,,,,,,496.0,0.025,9m,1.5,0.7,1.9000000000000001,864.0,,,,,,,,16.0,0.025,2m,1.2000000000000002,0.7,1.4000000000000001,272.0,688,0.05,4m,0.7,0.5,1.4000000000000001,416,416.0,0.05,9m,1.5,1.0,1.3,904.0,,,,,,,,176.0,0.025,4m,0.7,0.6,1.8000000000000003,176.0,0.05,7,COMPLETE
35,35,-9.636683205650721,2025-06-16 00:23:07.082328,2025-06-16 00:23:15.394699,0 days 00:00:08.312371,208.0,0.025,1m,0.7,0.8,1.2000000000000002,168.0,752.0,0.025,8m,1.4,1.1,1.9000000000000001,544.0,1024.0,0.025,4m,1.5,1.5,1.1,24.0,384.0,0.025,1m,1.2000000000000002,0.8,1.7000000000000002,448.0,776.0,0.025,10m,0.5,1.1,1.6,384.0,704.0,0.025,8m,0.9,1.2000000000000002,1.8000000000000003,368.0,936,0.025,3m,0.5,0.6,1.7000000000000002,16,80.0,0.05,7m,1.3,0.7,1.2000000000000002,984.0,,,,,,,,448.0,0.025,2m,0.8,0.9,1.5,464.0,0.15000000000000002,9,COMPLETE
36,36,-2.012301198544286,2025-06-16 00:23:15.498221,2025-06-16 00:23:21.213343,0 days 00:00:05.715122,312.0,0.025,3m,1.1,1.0,1.4000000000000001,248.0,608.0,0.025,2m,1.5,1.4,1.8000000000000003,408.0,,,,,,,,400.0,0.025,6m,1.2000000000000002,1.1,2.0,704.0,,,,,,,,,,,,,,,632,0.05,10m,0.7,0.7,1.3,808,168.0,0.05,5m,1.4,1.0,1.1,384.0,,,,,,,,56.0,0.025,6m,0.6,0.6,1.7000000000000002,192.0,0.05,6,COMPLETE
37,37,-1.7583809800986738,2025-06-16 00:23:21.350884,2025-06-16 00:23:27.989673,0 days 00:00:06.638789,200.0,0.025,9m,1.3,1.0,1.3,24.0,920.0,0.025,1m,1.2000000000000002,1.3,1.6,648.0,,,,,,,,520.0,0.025,2m,1.4,0.6,1.9000000000000001,528.0,,,,,,,,312.0,0.05,4m,1.3,0.6,1.5,160.0,792,0.025,6m,1.0,0.5,1.5,248,592.0,0.05,3m,1.2000000000000002,0.9,1.5,640.0,,,,,,,,272.0,0.025,7m,0.9,1.2000000000000002,1.4000000000000001,640.0,0.1,7,COMPLETE
38,38,-2.274334465430495,2025-06-16 00:23:28.063186,2025-06-16 00:23:35.838458,0 days 00:00:07.775272,56.0,0.05,4m,0.5,0.7,1.1,416.0,520.0,0.025,6m,1.3,1.5,2.0,864.0,,,,,,,,176.0,0.05,3m,1.1,0.7,1.8000000000000003,416.0,264.0,0.05,2m,1.2000000000000002,1.3,1.4000000000000001,784.0,600.0,0.025,2m,1.4,1.0,1.8000000000000003,792.0,848,0.05,8m,0.6,0.9,1.2000000000000002,328,304.0,0.05,8m,1.1,0.7,1.1,496.0,,,,,,,,16.0,0.025,4m,1.1,0.6,1.9000000000000001,464.0,0.2,8,COMPLETE
39,39,-0.9832654524291755,2025-06-16 00:23:35.922989,2025-06-16 00:23:41.000950,0 days 00:00:05.077961,16.0,0.025,1m,0.9,0.9,1.9000000000000001,128.0,368.0,0.025,10m,1.4,1.4,1.9000000000000001,504.0,,,,,,,,312.0,0.025,4m,0.5,0.5,1.6,632.0,,,,,,,,,,,,,,,736,0.05,3m,0.5,0.6,1.7000000000000002,80,80.0,0.05,4m,1.5,0.8,1.3,400.0,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
40,40,0.7295938836711977,2025-06-16 00:23:41.068459,2025-06-16 00:23:46.923520,0 days 00:00:05.855061,360.0,0.025,5m,0.7,1.2000000000000002,1.1,960.0,144.0,0.025,7m,1.5,1.3,1.7000000000000002,736.0,,,,,,,,720.0,0.025,8m,1.0,0.7,2.0,552.0,,,,,,,,,,,,,,,640,0.025,4m,0.9,0.7,1.3,576,288.0,0.05,10m,1.3,1.1,1.4000000000000001,696.0,,,,,,,,480.0,0.025,10m,0.6,0.8,1.7000000000000002,816.0,0.05,6,COMPLETE
41,41,0.5896346962337902,2025-06-16 00:23:47.008529,2025-06-16 00:23:50.907045,0 days 00:00:03.898516,144.0,0.025,5m,1.2000000000000002,1.1,1.2000000000000002,456.0,,,,,,,,,,,,,,,416.0,0.025,6m,1.3,0.6,1.5,600.0,,,,,,,,,,,,,,,728,0.05,4m,0.6,0.5,1.1,136,464.0,0.05,3m,1.3,0.9,1.2000000000000002,816.0,,,,,,,,,,,,,,,0.05,4,COMPLETE
42,42,1.7300327640710869,2025-06-16 00:23:50.974555,2025-06-16 00:23:54.730301,0 days 00:00:03.755746,96.0,0.025,5m,1.4,1.1,1.2000000000000002,400.0,,,,,,,,,,,,,,,624.0,0.025,6m,1.3,0.6,1.6,584.0,,,,,,,,,,,,,,,576,0.05,4m,0.6,0.5,1.1,168,616.0,0.05,3m,1.4,0.9,1.2000000000000002,936.0,,,,,,,,,,,,,,,0.05,4,COMPLETE
43,43,-2.1789080459566312,2025-06-16 00:23:54.800305,2025-06-16 00:23:59.679792,0 days 00:00:04.879487,256.0,0.025,10m,1.5,1.0,1.1,408.0,736.0,0.05,5m,1.4,1.1,1.8000000000000003,592.0,,,,,,,,600.0,0.025,6m,1.4,0.6,1.6,760.0,,,,,,,,,,,,,,,568,0.05,4m,0.5,0.5,1.2000000000000002,184,624.0,0.05,3m,1.4,1.0,1.2000000000000002,1016.0,,,,,,,,,,,,,,,0.1,5,COMPLETE
44,44,-1.5256082938386422,2025-06-16 00:23:59.747300,2025-06-16 00:24:05.351651,0 days 00:00:05.604351,88.0,0.05,5m,1.4,0.9,1.2000000000000002,176.0,560.0,0.025,8m,1.1,1.4,1.6,112.0,,,,,,,,640.0,0.025,2m,1.3,0.5,1.7000000000000002,512.0,,,,,,,,,,,,,,,528,0.05,2m,0.8,0.6,1.1,448,648.0,0.05,3m,0.5,0.8,1.1,912.0,,,,,,,,144.0,0.05,2m,0.9,0.9,1.3,592.0,0.1,6,COMPLETE
45,45,-2.3620940283741376,2025-06-16 00:24:05.430169,2025-06-16 00:24:11.897955,0 days 00:00:06.467786,88.0,0.025,7m,1.4,1.2000000000000002,1.2000000000000002,288.0,768.0,0.05,3m,1.5,0.9,1.7000000000000002,336.0,,,,,,,,544.0,0.05,6m,1.4,0.7,1.8000000000000003,680.0,,,,,,,,424.0,0.025,10m,0.9,0.8,1.2000000000000002,456.0,640,0.05,10m,0.7,0.5,1.2000000000000002,280,360.0,0.05,7m,1.5,0.9,1.3,936.0,,,,,,,,264.0,0.025,3m,1.1,0.6,1.4000000000000001,264.0,0.05,7,COMPLETE
46,46,-151.4053468145627,2025-06-16 00:24:11.973465,2025-06-16 00:24:16.737853,0 days 00:00:04.764388,216.0,0.025,5m,1.3,1.4,1.1,208.0,888.0,0.025,7m,1.3,1.5,1.9000000000000001,920.0,,,,,,,,856.0,0.025,2m,1.5,1.5,1.7000000000000002,656.0,,,,,,,,,,,,,,,992,0.05,1m,0.6,0.6,1.1,72,184.0,0.05,4m,1.2000000000000002,1.1,1.1,320.0,,,,,,,,,,,,,,,0.1,5,COMPLETE
47,47,-1.6337054660083095,2025-06-16 00:24:16.816872,2025-06-16 00:24:18.958273,0 days 00:00:02.141401,,,,,,,,,,,,,,,,,,,,,,504.0,0.025,1m,1.2000000000000002,0.6,1.6,760.0,,,,,,,,,,,,,,,600,0.05,4m,0.5,0.8,1.3,224,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
48,48,-3.4889177197433483,2025-06-16 00:24:19.036785,2025-06-16 00:24:22.889503,0 days 00:00:03.852718,520.0,0.05,10m,1.4,0.8,1.6,584.0,,,,,,,,,,,,,,,360.0,0.05,4m,1.1,1.4,1.9000000000000001,584.0,,,,,,,,,,,,,,,856,0.05,9m,0.7,0.7,1.1,1024,504.0,0.05,5m,1.4,1.0,1.2000000000000002,856.0,,,,,,,,,,,,,,,0.05,4,COMPLETE
49,49,-0.3666512796072427,2025-06-16 00:24:22.986009,2025-06-16 00:24:28.612242,0 days 00:00:05.626233,264.0,0.025,9m,0.6,1.4,1.3,72.0,400.0,0.025,2m,1.4,1.2000000000000002,2.0,648.0,,,,,,,,576.0,0.025,3m,0.9,1.0,1.8000000000000003,456.0,,,,,,,,,,,,,,,536,0.05,5m,0.8,0.9,1.6,152,112.0,0.05,8m,1.2000000000000002,1.2000000000000002,1.6,608.0,,,,,,,,400.0,0.025,5m,0.7,1.2000000000000002,1.6,120.0,0.2,6,COMPLETE
50,50,0.6096008816431779,2025-06-16 00:24:28.680706,2025-06-16 00:24:35.510336,0 days 00:00:06.829630,848.0,0.025,6m,1.0,0.7,1.5,696.0,656.0,0.05,8m,0.8,1.1,1.5,248.0,,,,,,,,696.0,0.025,7m,1.4,0.9,1.4000000000000001,560.0,680.0,0.025,8m,0.8,0.5,1.8000000000000003,304.0,176.0,0.05,6m,1.2000000000000002,1.4,1.6,128.0,736,0.05,3m,0.5,0.6,1.4000000000000001,208,560.0,0.05,3m,0.9,0.6,1.5,696.0,,,,,,,,696.0,0.025,9m,0.8,0.7,1.9000000000000001,976.0,0.05,8,COMPLETE
51,51,0.08829785256816691,2025-06-16 00:24:35.574139,2025-06-16 00:24:39.096990,0 days 00:00:03.522851,160.0,0.025,5m,1.2000000000000002,1.1,1.2000000000000002,480.0,,,,,,,,,,,,,,,448.0,0.025,6m,1.3,0.6,1.5,504.0,,,,,,,,,,,,,,,680,0.05,4m,0.6,0.5,1.1,104,480.0,0.05,3m,1.3,0.9,1.2000000000000002,752.0,,,,,,,,,,,,,,,0.05,4,COMPLETE
52,52,-1.509465200167623,2025-06-16 00:24:39.163376,2025-06-16 00:24:42.832516,0 days 00:00:03.669140,176.0,0.025,5m,1.3,1.1,1.2000000000000002,576.0,,,,,,,,,,,,,,,480.0,0.025,6m,1.3,0.5,1.5,576.0,,,,,,,,,,,,,,,672,0.05,4m,0.6,0.5,1.2000000000000002,104,432.0,0.05,3m,1.3,0.8,1.2000000000000002,960.0,,,,,,,,,,,,,,,0.1,4,COMPLETE
53,53,-0.07338412737714034,2025-06-16 00:24:42.890686,2025-06-16 00:24:45.624903,0 days 00:00:02.734217,,,,,,,,,,,,,,,,,,,,,,432.0,0.025,6m,1.2000000000000002,0.5,1.3,656.0,,,,,,,,,,,,,,,760,0.05,4m,1.4,0.5,1.1,56,368.0,0.05,3m,1.4,0.9,1.3,784.0,,,,,,,,,,,,,,,0.1,3,COMPLETE
54,54,-11.137742942310073,2025-06-16 00:24:45.685938,2025-06-16 00:24:50.016217,0 days 00:00:04.330279,120.0,0.025,5m,1.1,1.0,1.2000000000000002,488.0,288.0,0.025,3m,1.1,1.5,1.3,488.0,,,,,,,,296.0,0.025,10m,1.3,0.6,1.6,424.0,,,,,,,,,,,,,,,600,0.05,7m,0.7,0.6,1.2000000000000002,296,272.0,0.05,1m,1.2000000000000002,1.0,1.1,560.0,,,,,,,,,,,,,,,0.05,5,COMPLETE
55,55,-5.73001773412185,2025-06-16 00:24:50.081677,2025-06-16 00:24:53.713403,0 days 00:00:03.631726,72.0,0.025,2m,1.2000000000000002,0.9,1.1,392.0,,,,,,,,,,,,,,,544.0,0.025,9m,1.2000000000000002,0.6,1.5,376.0,,,,,,,,,,,,,,,912,0.05,4m,0.6,0.7,1.1,144,672.0,0.05,10m,1.3,0.8,1.2000000000000002,656.0,,,,,,,,,,,,,,,0.05,4,COMPLETE
56,56,-5.2552678631036205,2025-06-16 00:24:53.790004,2025-06-16 00:24:56.658732,0 days 00:00:02.868728,,,,,,,,,,,,,,,,,,,,,,344.0,0.025,6m,1.4,0.7,1.7000000000000002,184.0,,,,,,,,,,,,,,,664,0.05,5m,0.5,0.6,1.3,16,448.0,0.025,4m,0.8,0.9,1.3,864.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
57,57,-1.1942579680777747,2025-06-16 00:24:56.717338,2025-06-16 00:25:01.974503,0 days 00:00:05.257165,240.0,0.025,7m,1.4,1.2000000000000002,1.4000000000000001,656.0,496.0,0.05,4m,1.0,0.8,1.8000000000000003,992.0,,,,,,,,640.0,0.025,10m,1.3,0.8,1.4000000000000001,96.0,,,,,,,,,,,,,,,560,0.05,6m,0.8,0.5,1.2000000000000002,768,528.0,0.05,5m,1.1,0.7,1.8000000000000003,808.0,,,,,,,,128.0,0.05,6m,0.6,0.5,1.2000000000000002,384.0,0.15000000000000002,6,COMPLETE
58,58,-5.480430953771878,2025-06-16 00:25:02.087269,2025-06-16 00:25:08.086703,0 days 00:00:05.999434,328.0,0.025,5m,1.0,1.0,1.9000000000000001,552.0,424.0,0.025,2m,1.5,1.4,1.7000000000000002,576.0,,,,,,,,1000.0,0.025,5m,1.5,0.5,1.7000000000000002,736.0,,,,,,,,960.0,0.025,4m,0.5,1.1,1.9000000000000001,456.0,456,0.05,8m,0.6,1.1,1.1,936,768.0,0.05,9m,1.4,1.0,1.1,752.0,,,,,,,,208.0,0.025,7m,0.5,0.9,1.5,456.0,0.1,7,COMPLETE
59,59,-0.8524290703142338,2025-06-16 00:25:08.173022,2025-06-16 00:25:12.586900,0 days 00:00:04.413878,456.0,0.025,3m,0.9,1.1,1.7000000000000002,320.0,232.0,0.025,6m,0.7,1.0,1.9000000000000001,328.0,,,,,,,,584.0,0.025,2m,1.2000000000000002,0.6,1.6,816.0,,,,,,,,,,,,,,,816,0.05,2m,0.9,0.7,2.0,376,32.0,0.05,6m,1.2000000000000002,0.8,1.4000000000000001,512.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
60,60,2.4008271164942623,2025-06-16 00:25:12.664483,2025-06-16 00:25:16.250120,0 days 00:00:03.585637,120.0,0.025,4m,1.5,0.6,1.8000000000000003,16.0,,,,,,,,,,,,,,,472.0,0.025,8m,1.0,0.7,1.3,624.0,,,,,,,,,,,,,,,712,0.05,3m,1.0,1.0,1.2000000000000002,224,592.0,0.05,3m,1.4,1.4,1.3,424.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
61,61,-1.6298247082315676,2025-06-16 00:25:16.287697,2025-06-16 00:25:19.999584,0 days 00:00:03.711887,112.0,0.025,4m,1.5,0.6,1.8000000000000003,48.0,,,,,,,,,,,,,,,392.0,0.025,8m,1.0,0.7,1.3,616.0,,,,,,,,,,,,,,,304,0.05,3m,1.2000000000000002,1.0,1.2000000000000002,232,600.0,0.05,3m,1.4,1.5,1.3,432.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
62,62,3.5836747597034058,2025-06-16 00:25:20.055161,2025-06-16 00:25:22.844564,0 days 00:00:02.789403,,,,,,,,,,,,,,,,,,,,,,488.0,0.025,8m,0.8,0.5,1.1,656.0,,,,,,,,,,,,,,,384,0.05,3m,1.0,1.0,1.1,112,400.0,0.05,3m,1.3,1.4,1.2000000000000002,592.0,,,,,,,,,,,,,,,0.5,3,COMPLETE
63,63,-0.8012564976796297,2025-06-16 00:25:22.902250,2025-06-16 00:25:25.653408,0 days 00:00:02.751158,,,,,,,,,,,,,,,,,,,,,,480.0,0.025,8m,0.7,0.5,1.1,640.0,,,,,,,,,,,,,,,80,0.05,3m,1.0,1.0,1.2000000000000002,192,400.0,0.05,3m,1.5,1.4,1.2000000000000002,584.0,,,,,,,,,,,,,,,0.5,3,COMPLETE
64,64,0.2346096487532962,2025-06-16 00:25:25.711525,2025-06-16 00:25:27.642862,0 days 00:00:01.931337,,,,,,,,,,,,,,,,,,,,,,520.0,0.025,8m,1.0,0.5,1.2000000000000002,488.0,,,,,,,,,,,,,,,168,0.05,3m,1.1,1.0,1.3,352,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
65,65,1.2816771394650217,2025-06-16 00:25:27.675502,2025-06-16 00:25:30.375646,0 days 00:00:02.700144,,,,,,,,,,,,,,,,,,,,,,568.0,0.025,8m,0.8,0.9,1.3,536.0,,,,,,,,,,,,,,,496,0.05,3m,1.0,1.1,1.1,160,688.0,0.05,2m,1.4,1.4,1.3,536.0,,,,,,,,,,,,,,,0.45,3,COMPLETE
66,66,1.44925310374432,2025-06-16 00:25:30.426262,2025-06-16 00:25:33.322210,0 days 00:00:02.895948,,,,,,,,,,,,,,,,,,,,,,464.0,0.025,8m,0.8,0.9,1.2000000000000002,536.0,,,,,,,,,,,,,,,392,0.05,3m,1.0,1.1,1.2000000000000002,152,744.0,0.05,2m,1.4,1.3,1.3,480.0,,,,,,,,,,,,,,,0.45,3,COMPLETE
67,67,1.4309216227224826,2025-06-16 00:25:33.393935,2025-06-16 00:25:35.969270,0 days 00:00:02.575335,,,,,,,,,,,,,,,,,,,,,,552.0,0.025,8m,0.8,0.9,1.2000000000000002,1024.0,,,,,,,,,,,,,,,408,0.05,3m,1.0,1.1,1.2000000000000002,160,840.0,0.05,2m,1.4,1.4,1.4000000000000001,408.0,,,,,,,,,,,,,,,0.45,3,COMPLETE
68,68,1.495525087128379,2025-06-16 00:25:36.027178,2025-06-16 00:25:38.018804,0 days 00:00:01.991626,,,,,,,,,,,,,,,,,,,,,,552.0,0.025,8m,0.8,0.9,1.2000000000000002,912.0,,,,,,,,,,,,,,,384,0.05,3m,1.0,1.2000000000000002,1.2000000000000002,168,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
69,69,0.4193668610377153,2025-06-16 00:25:38.084127,2025-06-16 00:25:39.138404,0 days 00:00:01.054277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,0.05,3m,1.2000000000000002,1.3,1.3,128,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
70,70,-0.9627951853256078,2025-06-16 00:25:39.190269,2025-06-16 00:25:41.017443,0 days 00:00:01.827174,,,,,,,,,,,,,,,,,,,,,,624.0,0.025,8m,0.8,0.9,1.2000000000000002,968.0,,,,,,,,,,,,,,,352,0.05,3m,1.1,1.2000000000000002,1.2000000000000002,88,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
71,71,-0.8074951351368479,2025-06-16 00:25:41.079365,2025-06-16 00:25:43.832415,0 days 00:00:02.753050,,,,,,,,,,,,,,,,,,,,,,552.0,0.025,8m,0.8,0.9,1.1,848.0,,,,,,,,,,,,,,,400,0.05,3m,1.0,1.1,1.1,168,864.0,0.025,2m,1.5,1.4,1.4000000000000001,320.0,,,,,,,,,,,,,,,0.45,3,COMPLETE
72,72,-1.1361570405499044,2025-06-16 00:25:43.877277,2025-06-16 00:25:46.707731,0 days 00:00:02.830454,,,,,,,,,,,,,,,,,,,,,,496.0,0.025,8m,0.6,1.0,1.2000000000000002,1016.0,,,,,,,,,,,,,,,368,0.05,3m,1.0,1.1,1.2000000000000002,264,800.0,0.05,2m,1.4,1.4,1.3,352.0,,,,,,,,,,,,,,,0.45,3,COMPLETE
73,73,1.4031238601719078,2025-06-16 00:25:46.757764,2025-06-16 00:25:48.685089,0 days 00:00:01.927325,,,,,,,,,,,,,,,,,,,,,,560.0,0.025,8m,0.7,0.9,1.1,1024.0,,,,,,,,,,,,,,,432,0.05,3m,1.0,1.3,1.2000000000000002,208,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
74,74,-2.187913838381519,2025-06-16 00:25:48.753840,2025-06-16 00:25:50.615719,0 days 00:00:01.861879,,,,,,,,,,,,,,,,,,,,,,664.0,0.025,8m,0.6,1.1,1.1,1016.0,,,,,,,,,,,,,,,248,0.05,3m,1.1,1.3,1.3,216,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
75,75,1.180474483506107,2025-06-16 00:25:50.667344,2025-06-16 00:25:52.538407,0 days 00:00:01.871063,,,,,,,,,,,,,,,,,,,,,,456.0,0.025,8m,0.7,0.8,1.2000000000000002,912.0,,,,,,,,,,,,,,,440,0.05,3m,1.0,1.2000000000000002,1.2000000000000002,192,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
76,76,-4.394439230530694,2025-06-16 00:25:52.586084,2025-06-16 00:25:53.510091,0 days 00:00:00.924007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472,0.05,9m,0.9,1.4,1.2000000000000002,248,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
77,77,-13.971474199056287,2025-06-16 00:25:53.576256,2025-06-16 00:25:56.418923,0 days 00:00:02.842667,,,,,,,,,,,,,,,,,,,,,,416.0,0.025,8m,0.9,0.9,1.1,976.0,,,,,,,,,,,,,,,312,0.05,1m,1.1,1.3,1.3,296,896.0,0.025,2m,1.5,1.3,1.5,208.0,,,,,,,,,,,,,,,0.5,3,COMPLETE
78,78,1.3547378397710441,2025-06-16 00:25:56.472682,2025-06-16 00:25:58.375171,0 days 00:00:01.902489,,,,,,,,,,,,,,,,,,,,,,624.0,0.025,8m,0.7,1.0,1.2000000000000002,880.0,,,,,,,,,,,,,,,384,0.05,3m,1.3,1.5,1.2000000000000002,56,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
79,79,-1.4197175091002763,2025-06-16 00:25:58.433593,2025-06-16 00:25:59.461049,0 days 00:00:01.027456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,0.05,10m,1.0,1.2000000000000002,1.4000000000000001,128,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
80,80,-3.047893214016269,2025-06-16 00:25:59.558887,2025-06-16 00:26:01.436648,0 days 00:00:01.877761,,,,,,,,,,,,,,,,,,,,,,504.0,0.025,8m,0.8,1.0,1.2000000000000002,992.0,,,,,,,,,,,,,,,432,0.025,7m,0.9,1.3,1.2000000000000002,192,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
81,81,-0.7866064124914051,2025-06-16 00:26:01.487707,2025-06-16 00:26:03.281242,0 days 00:00:01.793535,,,,,,,,,,,,,,,,,,,,,,600.0,0.025,8m,0.7,1.1,1.2000000000000002,936.0,,,,,,,,,,,,,,,392,0.05,3m,1.5,1.5,1.2000000000000002,48,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
82,82,-1.3344256916843793,2025-06-16 00:26:03.345164,2025-06-16 00:26:05.309830,0 days 00:00:01.964666,,,,,,,,,,,,,,,,,,,,,,528.0,0.025,8m,0.6,1.0,1.1,880.0,,,,,,,,,,,,,,,368,0.05,3m,1.3,1.5,1.1,80,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
83,83,-1.3122609464004586,2025-06-16 00:26:05.376361,2025-06-16 00:26:08.030932,0 days 00:00:02.654571,,,,,,,,,,,,,,,,,,,,,,632.0,0.025,8m,0.8,1.0,1.3,928.0,,,,,,,,,,,,,,,488,0.05,3m,1.4,1.1,1.2000000000000002,152,736.0,0.05,2m,1.5,1.2000000000000002,1.4000000000000001,416.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
