,number,value,datetime_start,datetime_complete,duration,params_AAPL_BIDU_beta_win,params_AAPL_BIDU_stop_loss,params_AAPL_BIDU_trade_freq,params_AAPL_BIDU_z_entry,params_AAPL_BIDU_z_exit,params_AAPL_BIDU_z_stop_scaler,params_AAPL_BIDU_z_win,params_ALGN_KDP_beta_win,params_ALGN_KDP_stop_loss,params_ALGN_KDP_trade_freq,params_ALGN_KDP_z_entry,params_ALGN_KDP_z_exit,params_ALGN_KDP_z_stop_scaler,params_ALGN_KDP_z_win,params_AMD_ATVI_beta_win,params_AMD_ATVI_stop_loss,params_AMD_ATVI_trade_freq,params_AMD_ATVI_z_entry,params_AMD_ATVI_z_exit,params_AMD_ATVI_z_stop_scaler,params_AMD_ATVI_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_EBAY_TXN_beta_win,params_EBAY_TXN_stop_loss,params_EBAY_TXN_trade_freq,params_EBAY_TXN_z_entry,params_EBAY_TXN_z_exit,params_EBAY_TXN_z_stop_scaler,params_EBAY_TXN_z_win,params_FISV_INTC_beta_win,params_FISV_INTC_stop_loss,params_FISV_INTC_trade_freq,params_FISV_INTC_z_entry,params_FISV_INTC_z_exit,params_FISV_INTC_z_stop_scaler,params_FISV_INTC_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_SBUX_KDP_beta_win,params_SBUX_KDP_stop_loss,params_SBUX_KDP_trade_freq,params_SBUX_KDP_z_entry,params_SBUX_KDP_z_exit,params_SBUX_KDP_z_stop_scaler,params_SBUX_KDP_z_win,params_ZS_ADI_beta_win,params_ZS_ADI_stop_loss,params_ZS_ADI_trade_freq,params_ZS_ADI_z_entry,params_ZS_ADI_z_exit,params_ZS_ADI_z_stop_scaler,params_ZS_ADI_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-100.0,2025-06-15 23:13:58.892365,2025-06-15 23:14:00.082967,0 days 00:00:01.190602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.05,7m,0.8,0.9,2.0,952,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
11,11,1.469384051401802,2025-06-15 23:14:00.149974,2025-06-15 23:14:01.190364,0 days 00:00:01.040390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808,0.05,7m,0.5,1.3,2.0,72,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
12,12,1.359243623288615,2025-06-15 23:14:01.257145,2025-06-15 23:14:04.468138,0 days 00:00:03.210993,,,,,,,,,,,,,,,,,,,,,,552.0,0.025,5m,1.1,1.5,1.4000000000000001,1000.0,,,,,,,,,,,,,,,400,0.05,7m,0.7,1.2000000000000002,1.8000000000000003,112,1000.0,0.05,2m,1.2000000000000002,0.8,1.5,1000.0,,,,,,,,,,,,,,,0.25,3,COMPLETE
13,13,2.7852197555591554,2025-06-15 23:14:04.562120,2025-06-15 23:14:06.820815,0 days 00:00:02.258695,,,,,,,,,,,,,,,,,,,,,,400.0,0.025,9m,1.2000000000000002,1.3,1.7000000000000002,32.0,,,,,,,,,,,,,,,752,0.05,9m,0.7,0.8,1.3,248,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
14,14,0.7127605147682362,2025-06-15 23:14:06.899332,2025-06-15 23:14:09.033997,0 days 00:00:02.134665,,,,,,,,,,,,,,,,,,,,,,496.0,0.025,9m,1.0,1.3,1.7000000000000002,1008.0,,,,,,,,,,,,,,,768,0.05,9m,0.8,0.8,1.4000000000000001,312,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
15,15,-2.203395535067631,2025-06-15 23:14:09.099151,2025-06-15 23:14:14.454433,0 days 00:00:05.355282,1016.0,0.025,1m,1.5,1.5,1.1,16.0,,,,,,,,392.0,0.025,7m,0.5,1.5,2.0,24.0,672.0,0.025,3m,1.0,1.3,1.1,32.0,,,,,,,,,,,,,,,1008,0.05,9m,1.0,0.8,1.8000000000000003,272,72.0,0.05,5m,1.0,0.5,2.0,40.0,,,,,,,,,,,,,,,0.45,5,COMPLETE
16,16,-56.201153340737434,2025-06-15 23:14:14.540895,2025-06-15 23:14:16.700719,0 days 00:00:02.159824,,,,,,,,,,,,,,,,,,,,,,456.0,0.025,6m,1.2000000000000002,1.5,1.8000000000000003,816.0,,,,,,,,,,,,,,,720,0.05,1m,0.7,1.0,1.4000000000000001,216,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
17,17,1.0412744966694194,2025-06-15 23:14:16.780244,2025-06-15 23:14:19.092069,0 days 00:00:02.311825,,,,,,,,,,,,,,,,,,,,,,984.0,0.05,9m,1.5,1.2000000000000002,1.3,56.0,,,,,,,,,,,,,,,880,0.05,3m,0.9,0.7,1.9000000000000001,224,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
18,18,0.4991638157469541,2025-06-15 23:14:19.220149,2025-06-15 23:14:24.824915,0 days 00:00:05.604766,32.0,0.025,9m,1.2000000000000002,0.5,2.0,16.0,,,,,,,,816.0,0.05,3m,1.5,0.9,1.7000000000000002,1016.0,672.0,0.025,7m,1.3,1.4,1.6,856.0,952.0,0.05,5m,0.5,1.5,2.0,16.0,,,,,,,,680,0.05,9m,0.6,0.5,1.4000000000000001,368,576.0,0.05,9m,0.5,0.8,1.7000000000000002,512.0,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
19,19,0.550170819032666,2025-06-15 23:14:24.909744,2025-06-15 23:14:26.040909,0 days 00:00:01.131165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,0.05,8m,0.5,0.8,1.2000000000000002,24,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
