,number,value,datetime_start,datetime_complete,duration,params_AEP_AMGN_beta_win,params_AEP_AMGN_stop_loss,params_AEP_AMGN_trade_freq,params_AEP_AMGN_z_entry,params_AEP_AMGN_z_exit,params_AEP_AMGN_z_stop_scaler,params_AEP_AMGN_z_win,params_AMD_NTES_beta_win,params_AMD_NTES_stop_loss,params_AMD_NTES_trade_freq,params_AMD_NTES_z_entry,params_AMD_NTES_z_exit,params_AMD_NTES_z_stop_scaler,params_AMD_NTES_z_win,params_AMGN_JD_beta_win,params_AMGN_JD_stop_loss,params_AMGN_JD_trade_freq,params_AMGN_JD_z_entry,params_AMGN_JD_z_exit,params_AMGN_JD_z_stop_scaler,params_AMGN_JD_z_win,params_AMZN_GOOGL_beta_win,params_AMZN_GOOGL_stop_loss,params_AMZN_GOOGL_trade_freq,params_AMZN_GOOGL_z_entry,params_AMZN_GOOGL_z_exit,params_AMZN_GOOGL_z_stop_scaler,params_AMZN_GOOGL_z_win,params_AMZN_GOOG_beta_win,params_AMZN_GOOG_stop_loss,params_AMZN_GOOG_trade_freq,params_AMZN_GOOG_z_entry,params_AMZN_GOOG_z_exit,params_AMZN_GOOG_z_stop_scaler,params_AMZN_GOOG_z_win,params_ATVI_NTES_beta_win,params_ATVI_NTES_stop_loss,params_ATVI_NTES_trade_freq,params_ATVI_NTES_z_entry,params_ATVI_NTES_z_exit,params_ATVI_NTES_z_stop_scaler,params_ATVI_NTES_z_win,params_GOOGL_WDAY_beta_win,params_GOOGL_WDAY_stop_loss,params_GOOGL_WDAY_trade_freq,params_GOOGL_WDAY_z_entry,params_GOOGL_WDAY_z_exit,params_GOOGL_WDAY_z_stop_scaler,params_GOOGL_WDAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_ORLY_SIRI_beta_win,params_ORLY_SIRI_stop_loss,params_ORLY_SIRI_trade_freq,params_ORLY_SIRI_z_entry,params_ORLY_SIRI_z_exit,params_ORLY_SIRI_z_stop_scaler,params_ORLY_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,-0.07169998355965283,2025-06-15 23:25:14.997710,2025-06-15 23:25:16.789787,0 days 00:00:01.792077,,,,,,,,,,,,,,,80.0,0.05,10m,1.3,1.2000000000000002,1.3,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,0.05,3m,1.5,0.9,1.5,728,,,,,,,,,,,,,,,0.25,2,COMPLETE
31,31,-0.24550918286503381,2025-06-15 23:25:16.855854,2025-06-15 23:25:18.837536,0 days 00:00:01.981682,,,,,,,,,,,,,,,80.0,0.05,10m,1.3,1.2000000000000002,1.3,904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,0.05,3m,1.5,0.9,1.5,752,,,,,,,,,,,,,,,0.25,2,COMPLETE
32,32,-2.393677586789068,2025-06-15 23:25:18.888621,2025-06-15 23:25:21.826360,0 days 00:00:02.937739,,,,,,,,,,,,,,,200.0,0.05,10m,1.5,1.3,1.1,752.0,,,,,,,,,,,,,,,640.0,0.05,3m,1.0,0.7,1.6,872.0,,,,,,,,984,0.05,3m,1.4,0.7,1.6,632,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
33,33,0.08614780217206218,2025-06-15 23:25:21.881971,2025-06-15 23:25:23.587668,0 days 00:00:01.705697,,,,,,,,,,,,,,,280.0,0.05,10m,1.3,1.2000000000000002,1.4000000000000001,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,0.05,8m,1.3,1.1,1.7000000000000002,560,,,,,,,,,,,,,,,0.2,2,COMPLETE
34,34,-22.114358887259836,2025-06-15 23:25:23.632534,2025-06-15 23:25:27.440077,0 days 00:00:03.807543,992.0,0.05,1m,0.9,1.0,1.5,376.0,,,,,,,,304.0,0.05,10m,1.3,1.2000000000000002,1.4000000000000001,856.0,,,,,,,,,,,,,,,464.0,0.025,8m,0.8,1.1,1.1,176.0,,,,,,,,296,0.025,8m,1.2000000000000002,1.1,1.7000000000000002,456,,,,,,,,,,,,,,,0.2,4,COMPLETE
35,35,-0.38048511590703904,2025-06-15 23:25:27.501158,2025-06-15 23:25:30.121517,0 days 00:00:02.620359,,,,,,,,,,,,,,,96.0,0.05,10m,1.1,1.3,1.5,944.0,,,,,,,,,,,,,,,344.0,0.05,9m,1.4,0.9,1.2000000000000002,608.0,,,,,,,,200,0.05,8m,1.3,1.1,1.6,544,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
36,36,0.00741212802014608,2025-06-15 23:25:30.184592,2025-06-15 23:25:32.019015,0 days 00:00:01.834423,,,,,,,,,,,,,,,216.0,0.05,3m,1.4,1.1,1.4000000000000001,664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536,0.05,8m,1.5,1.4,1.9000000000000001,352,,,,,,,,,,,,,,,0.25,2,COMPLETE
37,37,-0.14222283400647198,2025-06-15 23:25:32.068572,2025-06-15 23:25:35.941550,0 days 00:00:03.872978,744.0,0.025,3m,1.2000000000000002,1.1,1.3,608.0,,,,,,,,224.0,0.05,3m,1.4,1.0,1.4000000000000001,672.0,,,,,,,,,,,,,,,848.0,0.025,7m,1.1,1.4,1.7000000000000002,488.0,,,,,,,,536,0.05,8m,1.3,1.4,2.0,392,,,,,,,,,,,,,,,0.4,4,COMPLETE
38,38,-0.803130105298018,2025-06-15 23:25:36.004758,2025-06-15 23:25:37.796077,0 days 00:00:01.791319,,,,,,,,,,,,,,,384.0,0.05,3m,1.5,1.0,1.6,584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,0.025,8m,1.5,1.4,1.9000000000000001,320,,,,,,,,,,,,,,,0.3,2,COMPLETE
39,39,-1.0899962497273432,2025-06-15 23:25:37.856147,2025-06-15 23:25:42.825514,0 days 00:00:04.969367,168.0,0.05,6m,0.5,0.8,1.7000000000000002,176.0,,,,,,,,352.0,0.05,3m,1.4,1.1,1.4000000000000001,672.0,768.0,0.05,3m,1.4,0.8,1.9000000000000001,816.0,,,,,,,,1024.0,0.05,6m,0.5,1.2000000000000002,1.3,408.0,,,,,,,,512,0.05,10m,1.2000000000000002,1.3,1.9000000000000001,144,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
40,40,-3.323645782159099,2025-06-15 23:25:42.878125,2025-06-15 23:25:48.408049,0 days 00:00:05.529924,328.0,0.05,9m,0.9,1.4,2.0,992.0,40.0,0.025,10m,1.5,1.3,1.8000000000000003,520.0,168.0,0.05,8m,1.5,0.9,1.2000000000000002,536.0,552.0,0.025,8m,1.3,1.3,1.5,384.0,,,,,,,,648.0,0.025,6m,0.8,0.7,1.1,720.0,,,,,,,,760,0.05,7m,0.9,1.4,1.8000000000000003,472,,,,,,,,,,,,,,,0.2,6,COMPLETE
41,41,-0.21396811365935883,2025-06-15 23:25:48.468593,2025-06-15 23:25:50.410336,0 days 00:00:01.941743,,,,,,,,,,,,,,,96.0,0.05,10m,1.3,1.2000000000000002,1.3,824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,0.05,8m,1.5,0.9,1.7000000000000002,528,,,,,,,,,,,,,,,0.25,2,COMPLETE
42,42,-1.0795397666857802,2025-06-15 23:25:50.462293,2025-06-15 23:25:53.367717,0 days 00:00:02.905424,,,,,,,,,,,,,,,296.0,0.05,10m,1.3,1.4,1.5,720.0,,,,,,,,,,,,,,,152.0,0.05,6m,1.2000000000000002,0.9,1.2000000000000002,160.0,,,,,,,,240,0.05,2m,1.4,1.2000000000000002,1.6,440,,,,,,,,,,,,,,,0.3,3,COMPLETE
43,43,-0.21172052497862895,2025-06-15 23:25:53.438664,2025-06-15 23:25:55.626082,0 days 00:00:02.187418,,,,,,,,,,,,,,,56.0,0.05,2m,1.4,1.1,1.2000000000000002,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,0.05,5m,1.5,0.8,1.9000000000000001,208,,,,,,,,,,,,,,,0.25,2,COMPLETE
44,44,-0.5024093496428225,2025-06-15 23:25:55.677419,2025-06-15 23:25:59.407815,0 days 00:00:03.730396,872.0,0.025,5m,1.3,1.3,1.1,48.0,,,,,,,,136.0,0.05,4m,1.2000000000000002,1.2000000000000002,1.4000000000000001,784.0,,,,,,,,,,,,,,,568.0,0.025,10m,1.0,1.4,1.4000000000000001,352.0,,,,,,,,608,0.05,10m,1.3,1.0,1.8000000000000003,568,,,,,,,,,,,,,,,0.2,4,COMPLETE
45,45,-0.014431658874204145,2025-06-15 23:25:59.477522,2025-06-15 23:26:00.595271,0 days 00:00:01.117749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,0.05,4m,1.5,1.1,2.0,504,,,,,,,,,,,,,,,0.25,1,COMPLETE
46,46,-0.10374937480283829,2025-06-15 23:26:00.665279,2025-06-15 23:26:01.852574,0 days 00:00:01.187295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0.05,4m,1.4,1.1,2.0,488,,,,,,,,,,,,,,,0.45,1,COMPLETE
47,47,-0.5760402780717871,2025-06-15 23:26:01.926977,2025-06-15 23:26:03.072375,0 days 00:00:01.145398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,0.05,4m,1.1,1.2000000000000002,2.0,360,,,,,,,,,,,,,,,0.3,1,COMPLETE
48,48,0.33705699017120777,2025-06-15 23:26:03.138336,2025-06-15 23:26:06.171677,0 days 00:00:03.033341,,,,,,,,,,,,,,,456.0,0.05,3m,1.4,0.9,1.6,304.0,,,,,,,,,,,,,,,288.0,0.05,7m,1.4,1.2000000000000002,1.1,864.0,,,,,,,,104,0.05,4m,1.5,1.5,1.9000000000000001,512,,,,,,,,,,,,,,,0.2,3,COMPLETE
49,49,-1.6289863063690677,2025-06-15 23:26:06.243455,2025-06-15 23:26:08.989243,0 days 00:00:02.745788,,,,,,,,,,,,,,,456.0,0.05,3m,1.4,0.9,1.6,272.0,,,,,,,,,,,,,,,264.0,0.05,7m,1.4,1.2000000000000002,1.1,928.0,,,,,,,,64,0.05,5m,0.6,1.5,1.9000000000000001,392,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
50,50,-1.3157508662542898,2025-06-15 23:26:09.049973,2025-06-15 23:26:13.151725,0 days 00:00:04.101752,520.0,0.05,4m,1.1,1.1,1.7000000000000002,520.0,,,,,,,,248.0,0.05,3m,1.5,0.8,1.7000000000000002,384.0,,,,,,,,,,,,,,,320.0,0.05,7m,1.5,1.2000000000000002,1.1,792.0,,,,,,,,120,0.025,1m,1.4,1.5,1.7000000000000002,688,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
51,51,-0.5793659810612444,2025-06-15 23:26:13.206451,2025-06-15 23:26:16.351753,0 days 00:00:03.145302,,,,,,,,,,,,,,,816.0,0.05,3m,1.4,0.7,1.5,104.0,,,,,,,,,,,,,,,72.0,0.05,7m,1.3,1.3,1.2000000000000002,896.0,,,,,,,,16,0.05,4m,1.5,1.4,2.0,512,,,,,,,,,,,,,,,0.2,3,COMPLETE
52,52,0.2836903930186432,2025-06-15 23:26:16.427113,2025-06-15 23:26:18.450174,0 days 00:00:02.023061,,,,,,,,,,,,,,,328.0,0.05,5m,1.2000000000000002,1.0,1.6,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,0.05,4m,1.5,1.3,1.9000000000000001,496,,,,,,,,,,,,,,,0.2,2,COMPLETE
53,53,-0.27435650841709874,2025-06-15 23:26:18.509386,2025-06-15 23:26:20.504300,0 days 00:00:01.994914,,,,,,,,,,,,,,,296.0,0.05,5m,1.2000000000000002,1.0,1.6,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,0.05,4m,1.4,1.3,1.9000000000000001,440,,,,,,,,,,,,,,,0.2,2,COMPLETE
54,54,0.34936653113136973,2025-06-15 23:26:20.581360,2025-06-15 23:26:23.564757,0 days 00:00:02.983397,,,,,,,,,,,,,,,360.0,0.05,5m,1.3,1.0,1.7000000000000002,344.0,,,,,,,,,,,,,,,480.0,0.05,3m,1.3,1.1,1.3,656.0,,,,,,,,384,0.05,8m,1.5,1.4,1.8000000000000003,312,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
55,55,0.08186717079623106,2025-06-15 23:26:23.614096,2025-06-15 23:26:26.719676,0 days 00:00:03.105580,,,,,,,,,,,,,,,448.0,0.05,5m,1.3,0.9,1.7000000000000002,312.0,,,,,,,,,,,,,,,488.0,0.05,3m,1.4,1.1,1.3,688.0,,,,,,,,392,0.05,7m,1.2000000000000002,1.5,1.8000000000000003,552,,,,,,,,,,,,,,,0.1,3,COMPLETE
56,56,-1.888113479729516,2025-06-15 23:26:26.787285,2025-06-15 23:26:30.753305,0 days 00:00:03.966020,680.0,0.025,10m,0.7,0.9,1.3,760.0,,,,,,,,568.0,0.05,5m,1.1,1.0,1.7000000000000002,216.0,,,,,,,,,,,,,,,432.0,0.05,3m,1.5,1.1,1.2000000000000002,776.0,,,,,,,,200,0.05,9m,1.3,1.3,1.7000000000000002,296,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
57,57,-0.8193059895356409,2025-06-15 23:26:30.816408,2025-06-15 23:26:34.167832,0 days 00:00:03.351424,,,,,,,,,,,,,,,336.0,0.05,5m,1.0,0.8,1.6,360.0,,,,,,,,,,,,,,,192.0,0.05,3m,1.3,1.0,1.1,1024.0,,,,,,,,256,0.05,4m,1.5,1.4,1.8000000000000003,616,,,,,,,,,,,,,,,0.2,3,COMPLETE
58,58,-0.9569241096319191,2025-06-15 23:26:34.225341,2025-06-15 23:26:37.224672,0 days 00:00:02.999331,,,,,,,,,,,,,,,400.0,0.05,1m,1.2000000000000002,0.9,1.8000000000000003,464.0,,,,,,,,,,,,,,,280.0,0.05,8m,1.4,1.2000000000000002,1.2000000000000002,608.0,,,,,,,,112,0.05,10m,1.4,1.5,1.6,864,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
59,59,-3.794008210255204,2025-06-15 23:26:37.285897,2025-06-15 23:26:42.376578,0 days 00:00:05.090681,352.0,0.05,10m,0.9,1.4,1.9000000000000001,264.0,,,,,,,,528.0,0.05,5m,0.8,0.8,1.5,416.0,744.0,0.05,10m,1.0,1.4,1.3,184.0,,,,,,,,400.0,0.05,4m,1.2000000000000002,1.3,1.1,744.0,,,,,,,,416,0.05,5m,1.4,1.3,1.8000000000000003,192,,,,,,,,,,,,,,,0.2,5,COMPLETE
60,60,-0.20957630256331494,2025-06-15 23:26:42.443091,2025-06-15 23:26:46.660381,0 days 00:00:04.217290,896.0,0.05,7m,1.1,1.2000000000000002,1.5,856.0,,,,,,,,344.0,0.025,7m,1.2000000000000002,0.6,1.6,320.0,,,,,,,,,,,,,,,520.0,0.05,2m,1.3,1.0,1.2000000000000002,824.0,,,,,,,,224,0.05,6m,1.3,1.2000000000000002,1.7000000000000002,592,,,,,,,,,,,,,,,0.1,4,COMPLETE
61,61,0.6393532311435806,2025-06-15 23:26:46.722824,2025-06-15 23:26:49.904649,0 days 00:00:03.181825,,,,,,,,,,,,,,,440.0,0.05,5m,1.3,0.9,1.7000000000000002,336.0,,,,,,,,,,,,,,,456.0,0.05,3m,1.4,1.1,1.3,680.0,,,,,,,,392,0.05,7m,1.2000000000000002,1.5,1.8000000000000003,416,,,,,,,,,,,,,,,0.1,3,COMPLETE
62,62,-0.5072544412202298,2025-06-15 23:26:49.962725,2025-06-15 23:26:52.970100,0 days 00:00:03.007375,,,,,,,,,,,,,,,424.0,0.05,5m,1.3,1.0,1.7000000000000002,248.0,,,,,,,,,,,,,,,320.0,0.05,3m,1.4,1.1,1.5,664.0,,,,,,,,376,0.05,7m,1.2000000000000002,1.5,1.8000000000000003,416,,,,,,,,,,,,,,,0.1,3,COMPLETE
63,63,-0.42785683533661645,2025-06-15 23:26:53.039677,2025-06-15 23:26:55.294574,0 days 00:00:02.254897,,,,,,,,,,,,,,,496.0,0.05,5m,1.4,0.9,1.8000000000000003,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,0.05,7m,1.3,1.5,1.9000000000000001,416,,,,,,,,,,,,,,,0.05,2,COMPLETE
64,64,-6.087876716602536,2025-06-15 23:26:55.356044,2025-06-15 23:27:02.985820,0 days 00:00:07.629776,584.0,0.025,8m,1.5,1.5,1.3,136.0,368.0,0.05,4m,0.7,0.5,1.4000000000000001,256.0,264.0,0.05,6m,0.7,1.0,1.7000000000000002,216.0,456.0,0.025,5m,0.5,1.0,1.6,640.0,,,,,,,,584.0,0.05,3m,1.5,1.3,1.3,568.0,,,,,,,,336,0.05,2m,1.4,1.4,1.7000000000000002,496,1008.0,0.025,10m,1.0,0.5,2.0,56.0,424.0,0.025,6m,1.1,0.5,1.4000000000000001,32.0,0.15000000000000002,8,COMPLETE
65,65,-0.690836052606252,2025-06-15 23:27:03.054419,2025-06-15 23:27:06.286583,0 days 00:00:03.232164,,,,,,,,,,,,,,,536.0,0.05,5m,1.3,0.9,1.6,416.0,,,,,,,,,,,,,,,368.0,0.05,10m,1.5,1.1,1.2000000000000002,488.0,,,,,,,,272,0.05,8m,1.1,1.0,1.8000000000000003,976,,,,,,,,,,,,,,,0.1,3,COMPLETE
66,66,0.6773284384958994,2025-06-15 23:27:06.363619,2025-06-15 23:27:10.586117,0 days 00:00:04.222498,144.0,0.05,5m,0.7,1.0,1.6,336.0,,,,,,,,368.0,0.05,9m,0.6,0.8,1.5,472.0,,,,,,,,,,,,,,,456.0,0.05,3m,0.8,1.4,1.1,696.0,,,,,,,,472,0.05,4m,0.9,1.4,1.6,264,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
67,67,1.5984574423189875,2025-06-15 23:27:10.641629,2025-06-15 23:27:14.885170,0 days 00:00:04.243541,168.0,0.05,5m,0.7,1.0,1.6,336.0,,,,,,,,448.0,0.025,9m,0.5,0.7,1.5,504.0,,,,,,,,,,,,,,,464.0,0.05,3m,0.8,1.4,1.1,720.0,,,,,,,,456,0.05,4m,0.9,1.4,1.5,240,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
68,68,1.117095592351851,2025-06-15 23:27:14.967148,2025-06-15 23:27:19.915922,0 days 00:00:04.948774,152.0,0.05,5m,0.7,1.0,1.6,328.0,,,,,,,,448.0,0.025,9m,0.5,0.7,1.5,488.0,88.0,0.05,6m,0.8,0.7,2.0,1008.0,,,,,,,,512.0,0.05,3m,0.8,1.4,1.1,688.0,,,,,,,,488,0.05,4m,0.9,1.5,1.3,224,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
69,69,1.8648996150483077,2025-06-15 23:27:19.968389,2025-06-15 23:27:24.811706,0 days 00:00:04.843317,136.0,0.05,5m,0.7,1.0,1.6,320.0,,,,,,,,448.0,0.025,9m,0.5,0.7,1.5,488.0,184.0,0.05,6m,0.8,0.7,2.0,936.0,,,,,,,,480.0,0.05,3m,0.8,1.5,1.1,704.0,,,,,,,,472,0.05,4m,0.9,1.5,1.2000000000000002,224,,,,,,,,,,,,,,,0.1,5,COMPLETE
70,70,-1.0231564508797975,2025-06-15 23:27:24.876920,2025-06-15 23:27:30.402965,0 days 00:00:05.526045,144.0,0.05,5m,0.7,1.0,1.6,320.0,776.0,0.025,7m,1.2000000000000002,1.2000000000000002,1.3,1016.0,736.0,0.025,9m,0.5,0.7,1.5,504.0,136.0,0.05,6m,0.8,0.6,2.0,1024.0,,,,,,,,456.0,0.05,3m,0.8,1.5,1.1,704.0,,,,,,,,488,0.05,4m,0.9,1.4,1.3,200,,,,,,,,,,,,,,,0.1,6,COMPLETE
71,71,-0.5086975247631795,2025-06-15 23:27:30.456475,2025-06-15 23:27:35.674221,0 days 00:00:05.217746,40.0,0.05,5m,0.6,0.9,1.6,408.0,,,,,,,,440.0,0.025,9m,0.6,0.6,1.5,568.0,152.0,0.05,6m,0.7,0.8,1.9000000000000001,896.0,,,,,,,,512.0,0.05,3m,0.8,1.4,1.1,632.0,,,,,,,,560,0.05,4m,0.8,1.5,1.2000000000000002,232,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
72,72,-3.1845049195855517,2025-06-15 23:27:35.739970,2025-06-15 23:27:40.823382,0 days 00:00:05.083412,144.0,0.05,5m,0.7,1.0,1.5,464.0,,,,,,,,472.0,0.025,9m,0.5,0.7,1.5,464.0,32.0,0.05,6m,0.9,0.6,1.8000000000000003,928.0,,,,,,,,608.0,0.05,3m,0.7,1.5,1.1,768.0,,,,,,,,448,0.05,4m,1.0,1.5,1.2000000000000002,144,,,,,,,,,,,,,,,0.05,5,COMPLETE
73,73,0.7404141331597809,2025-06-15 23:27:40.907017,2025-06-15 23:27:45.320099,0 days 00:00:04.413082,64.0,0.05,5m,0.6,0.8,1.7000000000000002,360.0,,,,,,,,576.0,0.025,9m,0.6,0.6,1.5,520.0,,,,,,,,,,,,,,,488.0,0.05,3m,0.9,1.4,1.1,680.0,,,,,,,,496,0.05,4m,0.9,1.5,1.3,256,,,,,,,,,,,,,,,0.1,4,COMPLETE
74,74,0.1006020185887256,2025-06-15 23:27:45.387613,2025-06-15 23:27:49.526657,0 days 00:00:04.139044,24.0,0.05,5m,0.6,0.8,1.7000000000000002,376.0,,,,,,,,688.0,0.025,9m,0.6,0.6,1.5,616.0,,,,,,,,,,,,,,,480.0,0.05,3m,0.9,1.4,1.1,672.0,,,,,,,,496,0.05,4m,0.9,1.4,1.3,272,,,,,,,,,,,,,,,0.1,4,COMPLETE
75,75,-0.9209806381706803,2025-06-15 23:27:49.592290,2025-06-15 23:27:54.712383,0 days 00:00:05.120093,80.0,0.05,5m,0.6,0.9,1.6,256.0,,,,,,,,608.0,0.025,9m,0.6,0.7,1.9000000000000001,544.0,208.0,0.05,6m,1.1,1.0,2.0,832.0,,,,,,,,416.0,0.05,3m,0.8,1.5,1.2000000000000002,744.0,,,,,,,,576,0.05,4m,0.8,1.4,1.3,64,,,,,,,,,,,,,,,0.05,5,COMPLETE
76,76,1.5044005810517784,2025-06-15 23:27:54.779312,2025-06-15 23:27:58.967397,0 days 00:00:04.188085,208.0,0.05,5m,0.8,0.7,1.7000000000000002,312.0,,,,,,,,384.0,0.025,9m,0.5,0.5,1.5,496.0,,,,,,,,,,,,,,,544.0,0.05,3m,0.9,1.4,1.1,592.0,,,,,,,,424,0.05,4m,0.9,1.5,1.4000000000000001,312,,,,,,,,,,,,,,,0.1,4,COMPLETE
77,77,0.2591369030523768,2025-06-15 23:27:59.034577,2025-06-15 23:28:05.420264,0 days 00:00:06.385687,208.0,0.05,5m,0.8,0.7,1.7000000000000002,304.0,416.0,0.05,6m,0.8,0.8,1.8000000000000003,600.0,496.0,0.025,9m,0.5,0.5,1.5,496.0,392.0,0.05,2m,0.7,0.8,1.8000000000000003,688.0,,,,,,,,536.0,0.05,3m,0.9,1.4,1.1,592.0,,,,,,,,464,0.05,4m,0.9,1.5,1.4000000000000001,168,,,,,,,,,,,,,,,0.05,6,COMPLETE
78,78,-3.1169512670685964,2025-06-15 23:28:05.482159,2025-06-15 23:28:09.585297,0 days 00:00:04.103138,112.0,0.05,5m,0.7,0.6,1.8000000000000003,192.0,,,,,,,,1016.0,0.025,9m,0.5,0.5,1.4000000000000001,448.0,,,,,,,,,,,,,,,696.0,0.05,3m,0.7,1.5,1.2000000000000002,704.0,,,,,,,,520,0.05,4m,1.0,1.5,1.4000000000000001,240,,,,,,,,,,,,,,,0.1,4,COMPLETE
79,79,-3.151273644727755,2025-06-15 23:28:09.677700,2025-06-15 23:28:14.801785,0 days 00:00:05.124085,208.0,0.05,5m,0.8,0.7,1.6,456.0,,,,,,,,568.0,0.025,9m,0.7,0.8,1.4000000000000001,528.0,96.0,0.05,7m,0.9,0.6,1.8000000000000003,528.0,,,,,,,,552.0,0.05,3m,0.9,1.3,1.1,632.0,,,,,,,,608,0.05,10m,0.7,1.5,1.5,104,,,,,,,,,,,,,,,0.1,5,COMPLETE
80,80,-2.180268991928885,2025-06-15 23:28:14.870107,2025-06-15 23:28:19.296939,0 days 00:00:04.426832,248.0,0.05,5m,0.7,1.1,1.7000000000000002,384.0,,,,,,,,400.0,0.025,9m,0.6,0.6,2.0,640.0,,,,,,,,,,,,,,,432.0,0.05,1m,1.0,1.4,1.1,536.0,,,,,,,,432,0.05,4m,0.9,1.5,1.3,256,,,,,,,,,,,,,,,0.05,4,COMPLETE
81,81,-5.913758590100859,2025-06-15 23:28:19.354939,2025-06-15 23:28:23.429478,0 days 00:00:04.074539,176.0,0.05,5m,0.6,0.6,1.5,328.0,,,,,,,,384.0,0.025,9m,0.5,0.7,1.5,400.0,,,,,,,,,,,,,,,504.0,0.05,3m,0.8,1.4,1.1,656.0,,,,,,,,368,0.05,1m,0.8,1.4,1.4000000000000001,320,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
82,82,-0.04315906292299306,2025-06-15 23:28:23.500993,2025-06-15 23:28:28.874141,0 days 00:00:05.373148,96.0,0.05,5m,0.9,0.9,1.6,224.0,,,,,,,,368.0,0.025,4m,0.5,0.6,1.5,440.0,232.0,0.05,9m,0.6,0.7,1.6,984.0,,,,,,,,456.0,0.05,3m,0.9,1.5,1.2000000000000002,744.0,,,,,,,,408,0.05,7m,1.0,1.4,1.2000000000000002,296,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
83,83,-6.151828889099544,2025-06-15 23:28:28.937572,2025-06-15 23:28:32.688149,0 days 00:00:03.750577,280.0,0.05,1m,0.8,1.0,1.6,288.0,,,,,,,,520.0,0.025,9m,0.6,0.5,1.5,488.0,,,,,,,,,,,,,,,376.0,0.05,3m,0.7,1.4,1.1,688.0,,,,,,,,480,0.05,4m,0.9,1.4,1.5,304,,,,,,,,,,,,,,,0.1,4,COMPLETE
84,84,-0.5520621838294039,2025-06-15 23:28:32.800044,2025-06-15 23:28:38.905647,0 days 00:00:06.105603,56.0,0.05,5m,0.5,0.8,1.7000000000000002,464.0,192.0,0.025,5m,1.1,0.7,1.2000000000000002,152.0,544.0,0.025,9m,0.5,0.7,1.4000000000000001,568.0,344.0,0.05,1m,0.8,0.9,1.9000000000000001,816.0,,,,,,,,592.0,0.05,5m,0.8,1.5,1.3,576.0,,,,,,,,560,0.05,9m,1.0,1.5,1.6,224,,,,,,,,,,,,,,,0.15000000000000002,6,COMPLETE
85,85,-0.3459184804932532,2025-06-15 23:28:38.989729,2025-06-15 23:28:46.162804,0 days 00:00:07.173075,128.0,0.05,6m,0.7,0.9,1.8000000000000003,360.0,736.0,0.05,10m,0.9,1.3,1.9000000000000001,512.0,608.0,0.025,9m,0.7,0.6,1.6,520.0,496.0,0.05,6m,1.1,1.1,2.0,448.0,,,,,,,,480.0,0.05,9m,0.9,1.3,1.2000000000000002,808.0,,,,,,,,520,0.05,4m,0.9,1.4,1.1,352,,,,,,,,768.0,0.05,3m,1.3,0.8,2.0,768.0,0.1,7,COMPLETE
86,86,-0.18147547697056235,2025-06-15 23:28:46.234494,2025-06-15 23:28:50.308030,0 days 00:00:04.073536,200.0,0.05,5m,0.8,1.0,1.5,272.0,,,,,,,,424.0,0.025,2m,0.6,0.8,1.5,592.0,,,,,,,,,,,,,,,544.0,0.05,3m,1.0,1.4,1.2000000000000002,640.0,,,,,,,,432,0.05,10m,0.7,1.5,1.4000000000000001,176,,,,,,,,,,,,,,,0.05,4,COMPLETE
