,number,value,datetime_start,datetime_complete,duration,params_AEP_AMGN_beta_win,params_AEP_AMGN_stop_loss,params_AEP_AMGN_trade_freq,params_AEP_AMGN_z_entry,params_AEP_AMGN_z_exit,params_AEP_AMGN_z_stop_scaler,params_AEP_AMGN_z_win,params_AMD_NTES_beta_win,params_AMD_NTES_stop_loss,params_AMD_NTES_trade_freq,params_AMD_NTES_z_entry,params_AMD_NTES_z_exit,params_AMD_NTES_z_stop_scaler,params_AMD_NTES_z_win,params_AMGN_JD_beta_win,params_AMGN_JD_stop_loss,params_AMGN_JD_trade_freq,params_AMGN_JD_z_entry,params_AMGN_JD_z_exit,params_AMGN_JD_z_stop_scaler,params_AMGN_JD_z_win,params_AMZN_GOOGL_beta_win,params_AMZN_GOOGL_stop_loss,params_AMZN_GOOGL_trade_freq,params_AMZN_GOOGL_z_entry,params_AMZN_GOOGL_z_exit,params_AMZN_GOOGL_z_stop_scaler,params_AMZN_GOOGL_z_win,params_AMZN_GOOG_beta_win,params_AMZN_GOOG_stop_loss,params_AMZN_GOOG_trade_freq,params_AMZN_GOOG_z_entry,params_AMZN_GOOG_z_exit,params_AMZN_GOOG_z_stop_scaler,params_AMZN_GOOG_z_win,params_ATVI_NTES_beta_win,params_ATVI_NTES_stop_loss,params_ATVI_NTES_trade_freq,params_ATVI_NTES_z_entry,params_ATVI_NTES_z_exit,params_ATVI_NTES_z_stop_scaler,params_ATVI_NTES_z_win,params_GOOGL_WDAY_beta_win,params_GOOGL_WDAY_stop_loss,params_GOOGL_WDAY_trade_freq,params_GOOGL_WDAY_z_entry,params_GOOGL_WDAY_z_exit,params_GOOGL_WDAY_z_stop_scaler,params_GOOGL_WDAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_ORLY_SIRI_beta_win,params_ORLY_SIRI_stop_loss,params_ORLY_SIRI_trade_freq,params_ORLY_SIRI_z_entry,params_ORLY_SIRI_z_exit,params_ORLY_SIRI_z_stop_scaler,params_ORLY_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-1.5543216656051926,2025-06-15 23:23:50.222058,2025-06-15 23:23:51.385081,0 days 00:00:01.163023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0.05,10m,0.9,0.5,2.0,896,,,,,,,,,,,,,,,0.05,1,COMPLETE
11,11,-1.9241534831805704,2025-06-15 23:23:51.443739,2025-06-15 23:23:55.257777,0 days 00:00:03.814038,448.0,0.05,10m,0.8,1.5,1.6,104.0,,,,,,,,32.0,0.025,7m,0.5,0.9,1.7000000000000002,672.0,,,,,,,,,,,,,,,960.0,0.05,6m,1.1,0.5,1.5,496.0,,,,,,,,256,0.05,1m,1.2000000000000002,0.9,1.3,792,,,,,,,,,,,,,,,0.2,4,COMPLETE
12,12,-3.388358845905659,2025-06-15 23:23:55.329435,2025-06-15 23:23:58.174628,0 days 00:00:02.845193,,,,,,,,,,,,,,,416.0,0.025,6m,1.0,1.5,1.6,64.0,,,,,,,,,,,,,,,752.0,0.05,6m,1.4,0.8,1.3,264.0,,,,,,,,368,0.05,3m,1.5,1.2000000000000002,1.1,728,,,,,,,,,,,,,,,0.5,3,COMPLETE
13,13,-8.238158090745603,2025-06-15 23:23:58.239562,2025-06-15 23:24:03.503977,0 days 00:00:05.264415,760.0,0.05,7m,1.2000000000000002,1.0,2.0,16.0,,,,,,,,192.0,0.025,10m,1.1,0.8,1.6,424.0,912.0,0.025,2m,1.5,1.5,2.0,48.0,,,,,,,,384.0,0.05,1m,0.9,0.8,1.4000000000000001,552.0,,,,,,,,144,0.05,5m,1.2000000000000002,1.5,1.8000000000000003,1016,,,,,,,,,,,,,,,0.2,5,COMPLETE
14,14,-0.13397305011192626,2025-06-15 23:24:03.584657,2025-06-15 23:24:04.689975,0 days 00:00:01.105318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392,0.05,9m,1.4,0.5,1.4000000000000001,656,,,,,,,,,,,,,,,0.05,1,COMPLETE
15,15,-1.627057719544858,2025-06-15 23:24:04.767315,2025-06-15 23:24:07.756927,0 days 00:00:02.989612,,,,,,,,,,,,,,,496.0,0.025,4m,0.5,1.1,1.4000000000000001,712.0,,,,,,,,,,,,,,,16.0,0.05,6m,1.0,1.5,1.8000000000000003,984.0,,,,,,,,40,0.05,5m,0.8,0.8,1.4000000000000001,256,,,,,,,,,,,,,,,0.2,3,COMPLETE
16,16,-3.0075359495249163,2025-06-15 23:24:07.817390,2025-06-15 23:24:13.690072,0 days 00:00:05.872682,448.0,0.05,10m,0.8,1.5,1.4000000000000001,616.0,976.0,0.05,3m,0.5,1.5,2.0,24.0,248.0,0.025,9m,0.9,0.5,1.7000000000000002,600.0,16.0,0.025,9m,1.2000000000000002,0.5,1.1,736.0,,,,,,,,784.0,0.05,5m,1.2000000000000002,0.8,1.1,56.0,,,,,,,,296,0.05,10m,1.1,1.0,1.8000000000000003,808,,,,,,,,,,,,,,,0.1,6,COMPLETE
17,17,-0.13798275265023244,2025-06-15 23:24:13.765786,2025-06-15 23:24:15.758147,0 days 00:00:01.992361,,,,,,,,,,,,,,,608.0,0.05,10m,1.5,0.8,1.3,872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456,0.05,4m,1.4,1.3,1.5,672,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
18,18,-2.862223462664205,2025-06-15 23:24:15.829879,2025-06-15 23:24:20.416766,0 days 00:00:04.586887,792.0,0.05,4m,0.8,1.2000000000000002,1.8000000000000003,984.0,,,,,,,,24.0,0.025,4m,1.1,1.0,1.5,16.0,608.0,0.05,5m,0.5,1.2000000000000002,1.7000000000000002,264.0,,,,,,,,544.0,0.025,9m,0.9,1.3,1.7000000000000002,352.0,,,,,,,,160,0.05,8m,1.3,1.0,1.2000000000000002,336,,,,,,,,,,,,,,,0.25,5,COMPLETE
19,19,-1.1348103118224158,2025-06-15 23:24:20.476571,2025-06-15 23:24:23.250656,0 days 00:00:02.774085,,,,,,,,,,,,,,,352.0,0.05,2m,0.6,0.8,1.1,368.0,,,,,,,,,,,,,,,264.0,0.05,6m,1.3,0.6,1.3,840.0,,,,,,,,480,0.05,2m,1.5,0.7,1.7000000000000002,32,,,,,,,,,,,,,,,0.1,3,COMPLETE
