,number,value,datetime_start,datetime_complete,duration,params_ABNB_ADSK_beta_win,params_ABNB_ADSK_stop_loss,params_ABNB_ADSK_trade_freq,params_ABNB_ADSK_z_entry,params_ABNB_ADSK_z_exit,params_ABNB_ADSK_z_stop_scaler,params_ABNB_ADSK_z_win,params_CPRT_FAST_beta_win,params_CPRT_FAST_stop_loss,params_CPRT_FAST_trade_freq,params_CPRT_FAST_z_entry,params_CPRT_FAST_z_exit,params_CPRT_FAST_z_stop_scaler,params_CPRT_FAST_z_win,params_CPRT_MSFT_beta_win,params_CPRT_MSFT_stop_loss,params_CPRT_MSFT_trade_freq,params_CPRT_MSFT_z_entry,params_CPRT_MSFT_z_exit,params_CPRT_MSFT_z_stop_scaler,params_CPRT_MSFT_z_win,params_CPRT_MU_beta_win,params_CPRT_MU_stop_loss,params_CPRT_MU_trade_freq,params_CPRT_MU_z_entry,params_CPRT_MU_z_exit,params_CPRT_MU_z_stop_scaler,params_CPRT_MU_z_win,params_CTSH_TEAM_beta_win,params_CTSH_TEAM_stop_loss,params_CTSH_TEAM_trade_freq,params_CTSH_TEAM_z_entry,params_CTSH_TEAM_z_exit,params_CTSH_TEAM_z_stop_scaler,params_CTSH_TEAM_z_win,params_DXCM_FANG_beta_win,params_DXCM_FANG_stop_loss,params_DXCM_FANG_trade_freq,params_DXCM_FANG_z_entry,params_DXCM_FANG_z_exit,params_DXCM_FANG_z_stop_scaler,params_DXCM_FANG_z_win,params_ENPH_TEAM_beta_win,params_ENPH_TEAM_stop_loss,params_ENPH_TEAM_trade_freq,params_ENPH_TEAM_z_entry,params_ENPH_TEAM_z_exit,params_ENPH_TEAM_z_stop_scaler,params_ENPH_TEAM_z_win,params_GOOGL_MU_beta_win,params_GOOGL_MU_stop_loss,params_GOOGL_MU_trade_freq,params_GOOGL_MU_z_entry,params_GOOGL_MU_z_exit,params_GOOGL_MU_z_stop_scaler,params_GOOGL_MU_z_win,params_GOOGL_VRSK_beta_win,params_GOOGL_VRSK_stop_loss,params_GOOGL_VRSK_trade_freq,params_GOOGL_VRSK_z_entry,params_GOOGL_VRSK_z_exit,params_GOOGL_VRSK_z_stop_scaler,params_GOOGL_VRSK_z_win,params_GOOG_MU_beta_win,params_GOOG_MU_stop_loss,params_GOOG_MU_trade_freq,params_GOOG_MU_z_entry,params_GOOG_MU_z_exit,params_GOOG_MU_z_stop_scaler,params_GOOG_MU_z_win,params_GOOG_VRSK_beta_win,params_GOOG_VRSK_stop_loss,params_GOOG_VRSK_trade_freq,params_GOOG_VRSK_z_entry,params_GOOG_VRSK_z_exit,params_GOOG_VRSK_z_stop_scaler,params_GOOG_VRSK_z_win,params_LULU_VRTX_beta_win,params_LULU_VRTX_stop_loss,params_LULU_VRTX_trade_freq,params_LULU_VRTX_z_entry,params_LULU_VRTX_z_exit,params_LULU_VRTX_z_stop_scaler,params_LULU_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,0.11816213446916807,2025-06-16 00:23:05.344006,2025-06-16 00:23:07.196358,0 days 00:00:01.852352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976,0.05,4m,1.5,1.0,1.6,920,,,,,,,,,,,,,,,976,0.05,2m,1.2000000000000002,1.5,1.1,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
11,11,1.8430631263019246,2025-06-16 00:23:07.257865,2025-06-16 00:23:12.652941,0 days 00:00:05.395076,,,,,,,,,,,,,,,64.0,0.05,2m,0.5,0.6,1.1,48.0,,,,,,,,752,0.025,8m,1.5,1.5,1.8000000000000003,712,,,,,,,,24.0,0.025,8m,0.5,0.5,2.0,40.0,784,0.05,5m,1.2000000000000002,0.9,2.0,560,,,,,,,,312.0,0.025,2m,0.9,1.1,1.7000000000000002,696.0,,,,,,,,96.0,0.05,6m,0.6,0.6,1.9000000000000001,656.0,0.2,4,COMPLETE
12,12,0.18182381458453867,2025-06-16 00:23:12.747482,2025-06-16 00:23:18.055263,0 days 00:00:05.307781,,,,,,,,,,,,,,,32.0,0.05,10m,0.5,0.5,1.4000000000000001,64.0,,,,,,,,40,0.025,8m,1.5,1.5,1.7000000000000002,688,,,,,,,,24.0,0.025,8m,0.5,0.5,2.0,16.0,336,0.05,5m,1.2000000000000002,0.9,2.0,664,,,,,,,,384.0,0.025,9m,1.0,1.1,1.7000000000000002,824.0,,,,,,,,32.0,0.025,6m,0.5,0.5,2.0,688.0,0.2,4,COMPLETE
13,13,-41.22972898916158,2025-06-16 00:23:18.148289,2025-06-16 00:23:23.559278,0 days 00:00:05.410989,,,,,,,,,,,,,,,400.0,0.025,1m,0.5,0.7,1.3,32.0,,,,,,,,824,0.05,1m,1.3,1.2000000000000002,1.6,768,,,,,,,,32.0,0.025,5m,0.6,0.7,1.9000000000000001,40.0,776,0.05,9m,1.3,0.9,1.8000000000000003,544,,,,,,,,288.0,0.025,6m,0.8,1.1,1.6,696.0,,,,,,,,48.0,0.05,6m,0.8,0.5,1.9000000000000001,760.0,0.15000000000000002,4,COMPLETE
14,14,0.3581927595302466,2025-06-16 00:23:23.620569,2025-06-16 00:23:27.281587,0 days 00:00:03.661018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744,0.025,7m,1.4,1.3,1.8000000000000003,968,,,,,,,,200.0,0.05,8m,1.1,0.5,2.0,1024.0,1000,0.05,3m,0.5,0.9,1.3,528,,,,,,,,608.0,0.025,2m,1.2000000000000002,1.0,1.7000000000000002,264.0,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
15,15,0.6835092624143795,2025-06-16 00:23:27.362101,2025-06-16 00:23:33.796158,0 days 00:00:06.434057,,,,,,,,,,,,,,,280.0,0.05,3m,1.1,0.8,1.7000000000000002,232.0,,,,,,,,1008,0.05,3m,1.3,1.0,2.0,1024,1024.0,0.05,8m,1.5,0.5,1.1,40.0,152.0,0.025,4m,0.6,0.7,1.8000000000000003,176.0,448,0.05,1m,1.0,0.8,2.0,712,,,,,,,,536.0,0.025,8m,0.9,1.1,1.5,776.0,,,,,,,,224.0,0.05,6m,0.8,1.0,1.8000000000000003,408.0,0.3,5,COMPLETE
16,16,0.10483278577537862,2025-06-16 00:23:33.864668,2025-06-16 00:23:41.091458,0 days 00:00:07.226790,,,,,,,,,,,,,,,248.0,0.05,3m,1.1,0.8,1.7000000000000002,216.0,,,,,,,,1024,0.025,3m,1.3,0.9,2.0,600,1016.0,0.05,8m,1.5,0.5,1.1,24.0,112.0,0.025,4m,0.6,0.9,1.8000000000000003,232.0,632,0.05,1m,0.9,0.5,2.0,784,48.0,0.025,6m,1.5,1.2000000000000002,1.1,24.0,568.0,0.025,8m,0.8,1.2000000000000002,1.4000000000000001,800.0,,,,,,,,176.0,0.05,4m,0.7,1.0,1.8000000000000003,536.0,0.25,6,COMPLETE
17,17,1.8569726214868967,2025-06-16 00:23:41.222019,2025-06-16 00:23:47.564433,0 days 00:00:06.342414,,,,,,,,,,,,,,,184.0,0.05,3m,1.1,0.8,1.7000000000000002,128.0,,,,,,,,856,0.05,3m,0.9,1.4,1.9000000000000001,1000,968.0,0.05,8m,1.5,0.5,1.3,24.0,24.0,0.025,4m,1.0,1.5,1.9000000000000001,168.0,448,0.025,1m,1.0,0.8,1.8000000000000003,880,,,,,,,,696.0,0.025,8m,0.9,1.5,1.8000000000000003,840.0,,,,,,,,216.0,0.025,8m,0.9,1.2000000000000002,1.8000000000000003,808.0,0.15000000000000002,5,COMPLETE
18,18,2.978119278322269,2025-06-16 00:23:47.662477,2025-06-16 00:23:53.303009,0 days 00:00:05.640532,,,,,,,,,,,,,,,120.0,0.05,4m,1.5,0.5,1.5,16.0,,,,,,,,872,0.05,3m,0.9,1.4,1.9000000000000001,728,,,,,,,,656.0,0.025,7m,1.0,1.5,2.0,176.0,888,0.025,1m,0.8,1.0,1.8000000000000003,1008,,,,,,,,976.0,0.025,4m,1.1,1.5,1.8000000000000003,904.0,,,,,,,,176.0,0.025,8m,1.0,1.2000000000000002,2.0,792.0,0.15000000000000002,4,COMPLETE
19,19,0.11403429263053702,2025-06-16 00:23:53.369516,2025-06-16 00:24:00.646678,0 days 00:00:07.277162,,,,,,,,,,,,,,,520.0,0.05,4m,1.5,0.5,1.6,160.0,,,,,,,,888,0.05,3m,0.9,1.3,1.9000000000000001,400,808.0,0.05,7m,1.3,0.7,1.4000000000000001,232.0,680.0,0.025,7m,1.0,1.5,1.9000000000000001,192.0,208,0.025,1m,0.7,1.1,1.8000000000000003,976,24.0,0.025,1m,1.0,0.5,1.7000000000000002,768.0,1016.0,0.025,4m,1.1,1.5,1.8000000000000003,912.0,,,,,,,,200.0,0.025,8m,1.0,1.2000000000000002,2.0,856.0,0.1,6,COMPLETE
20,20,-3.9278073236618662,2025-06-16 00:24:00.714684,2025-06-16 00:24:05.268139,0 days 00:00:04.553455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,0.05,3m,0.8,1.4,1.9000000000000001,816,,,,,,,,816.0,0.025,9m,1.5,1.5,1.8000000000000003,264.0,904,0.025,1m,0.8,1.5,1.7000000000000002,880,,,,,,,,680.0,0.025,4m,1.1,1.5,1.9000000000000001,904.0,,,,,,,,608.0,0.025,8m,1.1,1.2000000000000002,1.7000000000000002,840.0,0.15000000000000002,3,COMPLETE
21,21,3.6182313324537096,2025-06-16 00:24:05.330651,2025-06-16 00:24:10.760246,0 days 00:00:05.429595,,,,,,,,,,,,,,,120.0,0.05,4m,1.5,0.7,1.5,16.0,,,,,,,,728,0.05,3m,0.9,1.4,1.8000000000000003,680,,,,,,,,608.0,0.025,7m,1.0,1.4,2.0,144.0,696,0.025,1m,1.1,1.0,1.9000000000000001,920,,,,,,,,1024.0,0.025,4m,0.9,1.4,1.8000000000000003,664.0,,,,,,,,120.0,0.025,8m,0.9,1.2000000000000002,1.9000000000000001,864.0,0.15000000000000002,4,COMPLETE
22,22,2.7396739701051183,2025-06-16 00:24:10.836758,2025-06-16 00:24:17.091425,0 days 00:00:06.254667,,,,,,,,,,,,,,,176.0,0.05,4m,1.5,0.8,1.5,16.0,,,,,,,,664,0.05,3m,0.9,1.4,1.7000000000000002,520,880.0,0.05,2m,0.5,1.4,1.3,448.0,560.0,0.025,7m,1.0,1.4,2.0,136.0,680,0.025,1m,0.9,1.0,1.8000000000000003,912,,,,,,,,1016.0,0.025,4m,1.0,1.4,1.8000000000000003,656.0,,,,,,,,288.0,0.025,8m,0.9,1.3,1.9000000000000001,896.0,0.15000000000000002,5,COMPLETE
23,23,-6.027270991873049,2025-06-16 00:24:17.167444,2025-06-16 00:24:22.614429,0 days 00:00:05.446985,,,,,,,,,,,,,,,136.0,0.05,4m,1.5,0.7,1.5,328.0,,,,,,,,640,0.05,3m,0.8,1.4,1.7000000000000002,496,,,,,,,,600.0,0.025,7m,1.1,1.4,2.0,128.0,688,0.025,1m,0.5,1.0,1.9000000000000001,1016,,,,,,,,1008.0,0.025,4m,1.1,1.4,1.8000000000000003,648.0,,,,,,,,296.0,0.025,8m,0.9,1.3,2.0,928.0,0.1,4,COMPLETE
24,24,-4.004413063223612,2025-06-16 00:24:22.703468,2025-06-16 00:24:29.501122,0 days 00:00:06.797654,,,,,,,,,,,,,,,352.0,0.05,4m,1.4,0.7,1.4000000000000001,16.0,,,,,,,,640,0.05,3m,0.9,1.2000000000000002,1.5,624,600.0,0.05,2m,0.5,1.5,2.0,472.0,688.0,0.025,7m,1.1,1.4,2.0,528.0,896,0.025,1m,0.8,1.0,1.9000000000000001,936,224.0,0.025,2m,1.0,1.3,1.8000000000000003,320.0,936.0,0.025,3m,1.0,1.3,1.9000000000000001,712.0,,,,,,,,120.0,0.025,8m,1.0,1.3,1.9000000000000001,920.0,0.15000000000000002,6,COMPLETE
25,25,-2.397817877899776,2025-06-16 00:24:29.565110,2025-06-16 00:24:33.000666,0 days 00:00:03.435556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,0.05,4m,0.6,1.2000000000000002,1.8000000000000003,488,,,,,,,,480.0,0.025,7m,0.9,1.3,1.9000000000000001,288.0,712,0.025,7m,0.9,1.2000000000000002,1.7000000000000002,816,,,,,,,,936.0,0.025,4m,0.7,1.4,1.8000000000000003,552.0,,,,,,,,,,,,,,,0.2,2,COMPLETE
26,26,1.0880784698523869,2025-06-16 00:24:33.080996,2025-06-16 00:24:38.864642,0 days 00:00:05.783646,,,,,,,,,,,,,,,144.0,0.05,4m,1.5,0.5,1.6,136.0,,,,,,,,664,0.05,9m,1.0,1.4,1.7000000000000002,248,864.0,0.05,2m,0.5,1.3,1.3,680.0,880.0,0.025,7m,1.2000000000000002,1.4,1.8000000000000003,120.0,888,0.025,6m,1.1,1.2000000000000002,1.8000000000000003,768,,,,,,,,1024.0,0.025,4m,1.2000000000000002,1.4,1.5,624.0,,,,,,,,304.0,0.025,8m,0.8,1.1,1.9000000000000001,728.0,0.1,5,COMPLETE
27,27,-0.7583693557164296,2025-06-16 00:24:38.933278,2025-06-16 00:24:43.169168,0 days 00:00:04.235890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936,0.05,5m,0.8,1.3,1.1,704,,,,,,,,624.0,0.025,7m,0.9,1.4,1.6,400.0,568,0.025,2m,0.6,1.0,1.9000000000000001,928,,,,,,,,880.0,0.05,4m,1.3,1.2000000000000002,1.9000000000000001,912.0,,,,,,,,120.0,0.025,8m,1.1,1.4,2.0,912.0,0.05,3,COMPLETE
28,28,-12.642963569755356,2025-06-16 00:24:43.216863,2025-06-16 00:24:45.066371,0 days 00:00:01.849508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,0.05,1m,0.7,1.5,1.8000000000000003,560,,,,,,,,,,,,,,,704,0.025,3m,0.8,0.8,1.7000000000000002,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
29,29,2.589755296741442,2025-06-16 00:24:45.124794,2025-06-16 00:24:52.576612,0 days 00:00:07.451818,,,,,,,,,,,,,,,480.0,0.05,6m,1.4,0.9,1.4000000000000001,160.0,,,,,,,,800,0.05,6m,0.9,1.2000000000000002,1.6,648,696.0,0.05,3m,0.7,1.4,1.6,408.0,744.0,0.025,7m,1.2000000000000002,1.3,1.1,608.0,856,0.025,9m,1.1,1.1,1.6,896,768.0,0.05,4m,1.2000000000000002,0.9,1.1,752.0,936.0,0.025,4m,1.0,1.5,1.7000000000000002,480.0,984.0,0.025,6m,1.0,0.5,1.6,1016.0,16.0,0.025,9m,0.9,1.1,1.7000000000000002,600.0,0.15000000000000002,7,COMPLETE
30,30,3.7566441240678348,2025-06-16 00:24:52.638484,2025-06-16 00:24:57.648000,0 days 00:00:05.009516,,,,,,,,,,,,,,,120.0,0.05,4m,1.4,1.2000000000000002,1.3,16.0,,,,,,,,720,0.05,7m,1.2000000000000002,1.1,1.9000000000000001,880,,,,,,,,544.0,0.025,2m,1.0,1.2000000000000002,2.0,88.0,960,0.025,10m,0.9,1.4,1.9000000000000001,632,,,,,,,,768.0,0.025,6m,0.9,1.2000000000000002,2.0,352.0,,,,,,,,320.0,0.025,2m,1.2000000000000002,1.4,1.6,784.0,0.1,4,COMPLETE
31,31,3.4027337757488074,2025-06-16 00:24:57.706336,2025-06-16 00:25:02.756595,0 days 00:00:05.050259,,,,,,,,,,,,,,,128.0,0.05,5m,1.4,1.2000000000000002,1.3,24.0,,,,,,,,712,0.05,7m,1.2000000000000002,1.1,1.9000000000000001,872,,,,,,,,560.0,0.025,2m,1.0,1.2000000000000002,2.0,104.0,960,0.025,10m,0.9,1.4,1.9000000000000001,728,,,,,,,,728.0,0.025,6m,0.9,1.3,1.9000000000000001,344.0,,,,,,,,288.0,0.025,2m,1.2000000000000002,1.4,1.5,800.0,0.1,4,COMPLETE
