,number,value,datetime_start,datetime_complete,duration,params_AEP_MCHP_beta_win,params_AEP_MCHP_stop_loss,params_AEP_MCHP_trade_freq,params_AEP_MCHP_z_entry,params_AEP_MCHP_z_exit,params_AEP_MCHP_z_stop_scaler,params_AEP_MCHP_z_win,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_AMZN_NFLX_beta_win,params_AMZN_NFLX_stop_loss,params_AMZN_NFLX_trade_freq,params_AMZN_NFLX_z_entry,params_AMZN_NFLX_z_exit,params_AMZN_NFLX_z_stop_scaler,params_AMZN_NFLX_z_win,params_ASML_NFLX_beta_win,params_ASML_NFLX_stop_loss,params_ASML_NFLX_trade_freq,params_ASML_NFLX_z_entry,params_ASML_NFLX_z_exit,params_ASML_NFLX_z_stop_scaler,params_ASML_NFLX_z_win,params_AVGO_COST_beta_win,params_AVGO_COST_stop_loss,params_AVGO_COST_trade_freq,params_AVGO_COST_z_entry,params_AVGO_COST_z_exit,params_AVGO_COST_z_stop_scaler,params_AVGO_COST_z_win,params_CCEP_MRVL_beta_win,params_CCEP_MRVL_stop_loss,params_CCEP_MRVL_trade_freq,params_CCEP_MRVL_z_entry,params_CCEP_MRVL_z_exit,params_CCEP_MRVL_z_stop_scaler,params_CCEP_MRVL_z_win,params_COST_KLAC_beta_win,params_COST_KLAC_stop_loss,params_COST_KLAC_trade_freq,params_COST_KLAC_z_entry,params_COST_KLAC_z_exit,params_COST_KLAC_z_stop_scaler,params_COST_KLAC_z_win,params_ISRG_MRVL_beta_win,params_ISRG_MRVL_stop_loss,params_ISRG_MRVL_trade_freq,params_ISRG_MRVL_z_entry,params_ISRG_MRVL_z_exit,params_ISRG_MRVL_z_stop_scaler,params_ISRG_MRVL_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_LULU_TTD_beta_win,params_LULU_TTD_stop_loss,params_LULU_TTD_trade_freq,params_LULU_TTD_z_entry,params_LULU_TTD_z_exit,params_LULU_TTD_z_stop_scaler,params_LULU_TTD_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
32,32,0.8824556942528018,2025-06-16 00:42:00.050117,2025-06-16 00:42:01.770971,0 days 00:00:01.720854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,0.025,10m,1.4,0.5,1.5,16,40,0.05,3m,1.1,1.0,2.0,648,,,,,,,,0.15000000000000002,1,COMPLETE
33,33,1.0302195500599882,2025-06-16 00:42:01.822985,2025-06-16 00:42:04.048507,0 days 00:00:02.225522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936,0.025,10m,1.2000000000000002,0.6,1.3,120,248,0.05,3m,1.2000000000000002,0.9,1.9000000000000001,584,784.0,0.05,4m,0.9,1.1,1.9000000000000001,136.0,0.3,2,COMPLETE
34,34,-1.7175322969966984,2025-06-16 00:42:04.117242,2025-06-16 00:42:05.798383,0 days 00:00:01.681141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.025,3m,1.5,0.5,1.2000000000000002,176,480,0.05,3m,1.0,1.1,1.8000000000000003,472,,,,,,,,0.4,1,COMPLETE
35,35,-1.2227859017016358,2025-06-16 00:42:05.867834,2025-06-16 00:42:08.879314,0 days 00:00:03.011480,,,,,,,,,,,,,,,,,,,,,,16.0,0.025,8m,1.0,1.1,1.5,904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832,0.05,10m,1.4,0.7,1.4000000000000001,72,240,0.025,7m,0.9,0.8,2.0,944,936.0,0.05,4m,0.7,1.3,1.8000000000000003,24.0,0.35000000000000003,3,COMPLETE
36,36,-0.9037988673453492,2025-06-16 00:42:08.940260,2025-06-16 00:42:12.695956,0 days 00:00:03.755696,,,,,,,,,,,,,,,,,,,,,,440.0,0.05,3m,1.2000000000000002,0.8,1.2000000000000002,392.0,552.0,0.05,10m,0.8,1.5,1.7000000000000002,352.0,,,,,,,,,,,,,,,,,,,,,,960,0.025,10m,1.2000000000000002,0.6,1.7000000000000002,832,328,0.05,1m,1.2000000000000002,1.0,1.9000000000000001,312,624.0,0.05,4m,0.8,1.2000000000000002,2.0,464.0,0.3,4,COMPLETE
37,37,-0.8852599570487327,2025-06-16 00:42:12.751914,2025-06-16 00:42:14.336008,0 days 00:00:01.584094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,0.025,9m,1.3,1.2000000000000002,1.5,688,752,0.025,4m,1.1,0.7,1.4000000000000001,392,,,,,,,,0.2,1,COMPLETE
38,38,-0.6460793336615472,2025-06-16 00:42:14.419497,2025-06-16 00:42:16.685902,0 days 00:00:02.266405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872,0.05,5m,1.5,0.7,1.6,344,408,0.05,3m,1.4,0.9,2.0,744,512.0,0.05,9m,0.6,1.4,1.6,352.0,0.15000000000000002,2,COMPLETE
39,39,-3.9155802600799716,2025-06-16 00:42:16.737886,2025-06-16 00:42:21.165674,0 days 00:00:04.427788,,,,,,,,,,,,,,,,,,,,,,752.0,0.025,1m,1.4,1.1,1.8000000000000003,184.0,744.0,0.025,9m,1.1,0.9,1.1,784.0,,,,,,,,,,,,,,,712.0,0.025,6m,0.5,0.5,1.1,40.0,800,0.025,8m,1.4,0.5,1.4000000000000001,240,528,0.05,5m,1.3,0.6,1.7000000000000002,56,792.0,0.05,6m,1.1,0.9,1.7000000000000002,176.0,0.4,5,COMPLETE
40,40,0.26694729948271134,2025-06-16 00:42:21.217409,2025-06-16 00:42:24.102841,0 days 00:00:02.885432,,,,,,,,,,,,,,,,,,,,,,184.0,0.05,9m,0.8,1.3,1.7000000000000002,640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,0.05,6m,1.0,1.5,1.3,464,984,0.025,10m,0.8,1.0,1.5,880,480.0,0.025,2m,1.5,1.1,1.6,280.0,0.5,3,COMPLETE
41,41,-0.48116283676883126,2025-06-16 00:42:24.160512,2025-06-16 00:42:25.713404,0 days 00:00:01.552892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904,0.025,5m,1.3,0.6,1.6,576,976,0.05,8m,1.4,1.2000000000000002,1.9000000000000001,168,,,,,,,,0.2,1,COMPLETE
42,42,-1.4739092230310897,2025-06-16 00:42:25.774663,2025-06-16 00:42:28.100860,0 days 00:00:02.326197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,0.025,5m,1.3,0.6,1.7000000000000002,472,904,0.05,8m,1.5,1.4,1.9000000000000001,80,344.0,0.025,2m,0.7,1.4,1.9000000000000001,744.0,0.05,2,COMPLETE
43,43,3.7384729182250203,2025-06-16 00:42:28.155830,2025-06-16 00:42:31.136084,0 days 00:00:02.980254,,,,,,,,,,,,,,,,,,,,,,176.0,0.05,2m,0.7,1.4,1.3,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664,0.025,5m,1.4,0.7,1.6,504,960,0.05,8m,1.0,1.2000000000000002,2.0,152,664.0,0.025,2m,1.0,1.5,1.9000000000000001,712.0,0.1,3,COMPLETE
44,44,0.21609313767834595,2025-06-16 00:42:31.209742,2025-06-16 00:42:33.687343,0 days 00:00:02.477601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664,0.025,3m,1.5,0.7,1.5,624,840,0.05,8m,1.1,1.3,2.0,136,720.0,0.025,2m,1.0,1.5,1.8000000000000003,936.0,0.1,2,COMPLETE
45,45,-0.7417508002060802,2025-06-16 00:42:33.762300,2025-06-16 00:42:35.313707,0 days 00:00:01.551407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672,0.025,7m,1.5,0.8,1.9000000000000001,264,992,0.05,4m,1.0,1.1,1.8000000000000003,64,,,,,,,,0.1,1,COMPLETE
46,46,-2.6026828876468016,2025-06-16 00:42:35.398268,2025-06-16 00:42:41.278194,0 days 00:00:05.879926,,,,,,,,992.0,0.025,4m,0.8,0.5,1.6,32.0,,,,,,,,264.0,0.05,2m,0.6,1.4,1.4000000000000001,392.0,16.0,0.05,4m,0.9,0.5,1.3,632.0,,,,,,,,1024.0,0.025,8m,0.9,1.5,1.6,600.0,280.0,0.05,10m,0.8,1.0,1.6,456.0,736,0.025,2m,1.4,0.5,1.5,552,736,0.05,9m,1.2000000000000002,1.0,2.0,224,944.0,0.025,3m,1.2000000000000002,1.3,2.0,608.0,0.25,7,COMPLETE
47,47,0.7673213091328381,2025-06-16 00:42:41.375369,2025-06-16 00:42:44.571391,0 days 00:00:03.196022,,,,,,,,,,,,,,,,,,,,,,376.0,0.05,2m,0.8,1.2000000000000002,1.4000000000000001,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.025,4m,1.4,1.1,1.6,360,928,0.05,6m,0.9,0.8,2.0,152,840.0,0.025,10m,1.1,1.2000000000000002,1.5,504.0,0.45,3,COMPLETE
48,48,-0.3619990916204031,2025-06-16 00:42:44.624676,2025-06-16 00:42:48.702364,0 days 00:00:04.077688,,,,,,,,,,,,,,,,,,,,,,72.0,0.05,2m,0.6,1.4,1.2000000000000002,24.0,440.0,0.025,7m,0.5,0.7,1.6,376.0,,,,,,,,,,,,,,,,,,,,,,504,0.025,10m,0.5,0.7,1.1,736,864,0.05,3m,0.7,1.4,1.8000000000000003,336,680.0,0.025,5m,0.9,1.5,1.9000000000000001,704.0,0.5,4,COMPLETE
49,49,-12.244070151391037,2025-06-16 00:42:48.755901,2025-06-16 00:42:51.074282,0 days 00:00:02.318381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808,0.025,1m,0.9,0.5,1.4000000000000001,432,328,0.05,2m,1.0,1.3,1.9000000000000001,72,600.0,0.05,8m,1.3,1.1,1.8000000000000003,672.0,0.45,2,COMPLETE
50,50,-6.474631572024779,2025-06-16 00:42:51.203919,2025-06-16 00:43:06.338391,0 days 00:00:15.134472,,,,,,,,368.0,0.05,7m,1.5,1.0,1.4000000000000001,712.0,,,,,,,,528.0,0.05,8m,0.9,1.5,1.2000000000000002,376.0,1016.0,0.05,2m,1.4,1.0,1.8000000000000003,888.0,,,,,,,,,,,,,,,680.0,0.025,9m,0.7,1.5,1.3,216.0,976,0.05,5m,1.1,0.6,1.7000000000000002,512,576,0.05,3m,1.1,0.9,1.2000000000000002,592,968.0,0.025,1m,1.0,1.3,2.0,792.0,0.35000000000000003,6,COMPLETE
51,51,-2.1122987269607814,2025-06-16 00:43:06.487082,2025-06-16 00:43:12.177420,0 days 00:00:05.690338,,,,,,,,,,,,,,,,,,,,,,160.0,0.05,2m,0.7,1.4,1.3,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856,0.025,5m,1.3,0.6,1.6,464,1024,0.05,8m,1.3,1.2000000000000002,1.9000000000000001,184,672.0,0.025,2m,0.8,1.4,1.9000000000000001,560.0,0.1,3,COMPLETE
52,52,1.8678187091517948,2025-06-16 00:43:12.283396,2025-06-16 00:43:14.065327,0 days 00:00:01.781931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728,0.025,5m,1.5,0.5,1.6,1008,944,0.05,8m,0.5,1.2000000000000002,2.0,56,,,,,,,,0.1,1,COMPLETE
53,53,0.8534775311349203,2025-06-16 00:43:14.131096,2025-06-16 00:43:15.763012,0 days 00:00:01.631916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,0.025,5m,1.5,0.5,1.5,1016,928,0.05,8m,0.5,1.1,2.0,48,,,,,,,,0.05,1,COMPLETE
54,54,-0.8099696604169558,2025-06-16 00:43:15.835343,2025-06-16 00:43:17.445913,0 days 00:00:01.610570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648,0.025,10m,1.5,0.5,1.6,832,888,0.05,8m,0.6,1.0,2.0,96,,,,,,,,0.1,1,COMPLETE
55,55,-0.28923936085522595,2025-06-16 00:43:17.512749,2025-06-16 00:43:19.014585,0 days 00:00:01.501836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,0.025,6m,1.4,0.5,1.7000000000000002,584,1000,0.05,10m,0.6,1.4,1.9000000000000001,16,,,,,,,,0.2,1,COMPLETE
56,56,0.8715149576524666,2025-06-16 00:43:19.072223,2025-06-16 00:43:21.404245,0 days 00:00:02.332022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744,0.025,10m,1.5,0.5,1.5,664,952,0.05,3m,0.7,0.9,2.0,136,552.0,0.05,10m,1.2000000000000002,1.2000000000000002,1.6,920.0,0.15000000000000002,2,COMPLETE
57,57,0.3291016816674627,2025-06-16 00:43:21.460359,2025-06-16 00:43:22.887193,0 days 00:00:01.426834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,0.025,9m,1.4,0.7,1.4000000000000001,408,776,0.05,7m,1.2000000000000002,0.8,2.0,216,,,,,,,,0.5,1,COMPLETE
58,58,-1.6941243862613768,2025-06-16 00:43:22.950866,2025-06-16 00:43:25.395751,0 days 00:00:02.444885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,0.025,8m,1.5,0.6,1.6,528,160,0.05,1m,1.0,1.1,1.9000000000000001,496,768.0,0.025,7m,0.6,1.0,1.7000000000000002,216.0,0.15000000000000002,2,COMPLETE
59,59,-8.443549435854456,2025-06-16 00:43:25.462144,2025-06-16 00:43:32.650843,0 days 00:00:07.188699,992.0,0.05,9m,0.8,0.5,2.0,232.0,880.0,0.025,1m,0.8,1.5,1.8000000000000003,48.0,336.0,0.025,5m,0.8,0.5,1.9000000000000001,24.0,264.0,0.05,1m,1.0,1.0,1.5,192.0,608.0,0.025,6m,1.5,1.3,1.9000000000000001,24.0,,,,,,,,504.0,0.05,3m,1.5,1.1,1.6,488.0,304.0,0.05,7m,1.5,0.8,2.0,1008.0,944,0.025,5m,1.4,0.8,1.5,864,856,0.05,8m,1.0,1.3,1.8000000000000003,424,360.0,0.05,4m,1.4,0.8,1.3,520.0,0.05,9,COMPLETE
60,60,1.3913420594876862,2025-06-16 00:43:32.715249,2025-06-16 00:43:34.388961,0 days 00:00:01.673712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,0.025,10m,1.5,1.0,1.7000000000000002,432,1024,0.05,9m,0.5,0.9,1.6,96,,,,,,,,0.5,1,COMPLETE
61,61,-2.8448662032104,2025-06-16 00:43:34.451945,2025-06-16 00:43:37.653709,0 days 00:00:03.201764,,,,,,,,,,,,,,,,,,,,,,104.0,0.05,2m,0.7,1.2000000000000002,1.3,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896,0.025,5m,1.3,0.6,1.6,488,960,0.05,8m,1.5,1.2000000000000002,2.0,64,688.0,0.025,2m,0.7,1.4,1.9000000000000001,784.0,0.1,3,COMPLETE
62,62,-0.7374511701414153,2025-06-16 00:43:37.749658,2025-06-16 00:43:40.079233,0 days 00:00:02.329575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,0.025,5m,1.2000000000000002,0.5,1.6,368,944,0.05,8m,1.4,1.2000000000000002,1.9000000000000001,256,824.0,0.025,2m,0.8,1.5,1.8000000000000003,704.0,0.1,2,COMPLETE
63,63,-0.4230116104064087,2025-06-16 00:43:40.143073,2025-06-16 00:43:44.782473,0 days 00:00:04.639400,,,,,,,,,,,,,,,,,,,,,,232.0,0.05,2m,0.5,1.4,1.1,296.0,896.0,0.05,8m,0.7,1.5,1.4000000000000001,632.0,,,,,,,,,,,,,,,40.0,0.025,10m,0.7,1.1,1.7000000000000002,552.0,832,0.025,5m,1.3,0.6,1.8000000000000003,336,904,0.05,3m,1.1,1.3,1.9000000000000001,16,736.0,0.025,2m,0.6,1.3,2.0,608.0,0.15000000000000002,5,COMPLETE
64,64,-5.241790737302009,2025-06-16 00:43:44.842258,2025-06-16 00:43:47.856959,0 days 00:00:03.014701,,,,,,,,,,,,,,,,,,,,,,336.0,0.05,6m,0.7,1.3,1.4000000000000001,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624,0.025,10m,1.4,0.7,1.5,416,984,0.05,8m,1.2000000000000002,1.0,2.0,160,576.0,0.025,2m,0.5,1.4,1.8000000000000003,944.0,0.05,3,COMPLETE
65,65,1.0940540929035498,2025-06-16 00:43:47.919501,2025-06-16 00:43:49.602939,0 days 00:00:01.683438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,936,0.025,7m,1.5,0.5,1.4000000000000001,928,1000,0.05,5m,1.3,1.1,2.0,120,,,,,,,,0.45,1,COMPLETE
66,66,0.4897736850802635,2025-06-16 00:43:49.660000,2025-06-16 00:43:52.320644,0 days 00:00:02.660644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0.025,2m,1.4,0.6,1.5,72,896,0.05,3m,0.9,1.2000000000000002,1.9000000000000001,48,880.0,0.025,9m,0.7,1.5,1.9000000000000001,792.0,0.3,2,COMPLETE
67,67,-0.2969788179778613,2025-06-16 00:43:52.399611,2025-06-16 00:43:56.265656,0 days 00:00:03.866045,,,,,,,,,,,,,,,,,,,,,,104.0,0.05,6m,0.6,1.5,1.2000000000000002,448.0,416.0,0.025,5m,1.1,1.4,1.6,152.0,,,,,,,,,,,,,,,,,,,,,,800,0.025,10m,1.2000000000000002,0.5,1.3,168,464,0.05,2m,0.8,0.5,2.0,200,480.0,0.025,5m,0.9,1.3,2.0,848.0,0.1,4,COMPLETE
68,68,-27.43636284194661,2025-06-16 00:43:56.333883,2025-06-16 00:43:58.862634,0 days 00:00:02.528751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688,0.025,1m,0.7,0.6,1.6,320,688,0.05,6m,1.1,0.9,1.9000000000000001,104,1016.0,0.025,1m,1.0,1.2000000000000002,1.7000000000000002,464.0,0.4,2,COMPLETE
69,69,-0.4717542159986161,2025-06-16 00:43:58.930738,2025-06-16 00:44:00.615308,0 days 00:00:01.684570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856,0.025,4m,1.4,0.5,1.6,600,952,0.05,3m,0.7,0.8,2.0,584,,,,,,,,0.5,1,COMPLETE
70,70,-0.5096792967868548,2025-06-16 00:44:00.666080,2025-06-16 00:44:03.812029,0 days 00:00:03.145949,,,,,,,,,,,,,,,,,,,,,,208.0,0.05,2m,1.1,1.2000000000000002,1.1,536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904,0.025,3m,1.5,0.6,1.4000000000000001,280,64,0.025,8m,1.0,1.0,1.8000000000000003,232,616.0,0.025,6m,0.5,1.4,1.8000000000000003,744.0,0.45,3,COMPLETE
71,71,-1.1974904693078245,2025-06-16 00:44:03.888360,2025-06-16 00:44:06.499521,0 days 00:00:02.611161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,0.025,10m,1.3,0.6,1.4000000000000001,40,120,0.05,3m,1.1,1.1,1.8000000000000003,552,808.0,0.05,4m,0.8,1.2000000000000002,1.7000000000000002,64.0,0.25,2,COMPLETE
72,72,-0.7601196739900722,2025-06-16 00:44:06.567469,2025-06-16 00:44:08.289365,0 days 00:00:01.721896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,0.025,10m,1.3,0.7,1.5,112,208,0.05,3m,1.1,1.2000000000000002,1.7000000000000002,536,,,,,,,,0.2,1,COMPLETE
73,73,2.7913107342049845,2025-06-16 00:44:08.362214,2025-06-16 00:44:10.779276,0 days 00:00:02.417062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,0.025,10m,1.4,0.5,1.4000000000000001,80,152,0.05,3m,1.2000000000000002,1.1,1.9000000000000001,632,760.0,0.05,4m,0.8,1.1,1.7000000000000002,72.0,0.25,2,COMPLETE
74,74,-1.3461724855210762,2025-06-16 00:44:10.836581,2025-06-16 00:44:12.511237,0 days 00:00:01.674656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,0.025,10m,1.4,0.5,1.5,56,184,0.05,3m,1.2000000000000002,1.1,1.9000000000000001,696,,,,,,,,0.3,1,COMPLETE
75,75,0.12146779840746186,2025-06-16 00:44:12.577743,2025-06-16 00:44:15.179589,0 days 00:00:02.601846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,0.025,5m,1.5,0.5,1.3,552,288,0.05,4m,1.3,1.2000000000000002,2.0,712,720.0,0.05,4m,0.6,1.1,1.9000000000000001,88.0,0.15000000000000002,2,COMPLETE
76,76,-4.53274458891433,2025-06-16 00:44:15.230008,2025-06-16 00:44:18.401991,0 days 00:00:03.171983,,,,,,,,,,,,,,,,,,,,,,320.0,0.05,5m,0.8,0.9,1.3,232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,872,0.025,10m,1.4,0.6,1.4000000000000001,392,976,0.05,3m,1.2000000000000002,1.0,1.9000000000000001,616,896.0,0.05,8m,0.9,1.0,1.8000000000000003,272.0,0.35000000000000003,3,COMPLETE
77,77,-1.9211036070778171,2025-06-16 00:44:18.469094,2025-06-16 00:44:20.937526,0 days 00:00:02.468432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016,0.025,6m,1.2000000000000002,0.5,1.5,448,80,0.05,7m,1.4,0.9,2.0,40,760.0,0.05,7m,0.7,1.5,1.5,144.0,0.05,2,COMPLETE
78,78,-2.271360202668907,2025-06-16 00:44:20.996390,2025-06-16 00:44:24.899584,0 days 00:00:03.903194,,,,,,,,,,,,,,,,,,,,,,448.0,0.05,9m,0.9,1.1,1.6,336.0,728.0,0.05,10m,0.9,1.0,1.2000000000000002,416.0,,,,,,,,,,,,,,,,,,,,,,952,0.025,10m,1.5,0.9,1.6,144,640,0.05,3m,1.5,1.1,1.9000000000000001,488,664.0,0.05,3m,0.8,0.9,1.6,184.0,0.1,4,COMPLETE
79,79,-0.0929921275461193,2025-06-16 00:44:24.961035,2025-06-16 00:44:26.528747,0 days 00:00:01.567712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440,0.025,5m,1.4,0.5,1.7000000000000002,488,16,0.05,10m,1.1,1.2000000000000002,2.0,808,,,,,,,,0.5,1,COMPLETE
80,80,2.418311704203551,2025-06-16 00:44:26.598411,2025-06-16 00:44:28.268567,0 days 00:00:01.670156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0.025,9m,1.3,0.6,1.5,88,832,0.05,1m,1.2000000000000002,1.3,2.0,80,,,,,,,,0.25,1,COMPLETE
81,81,3.030511249049657,2025-06-16 00:44:28.319771,2025-06-16 00:44:29.966078,0 days 00:00:01.646307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0.025,9m,1.3,0.6,1.5,192,920,0.05,1m,1.2000000000000002,1.3,2.0,72,,,,,,,,0.25,1,COMPLETE
82,82,2.334711485708611,2025-06-16 00:44:30.036690,2025-06-16 00:44:31.578892,0 days 00:00:01.542202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984,0.025,9m,1.3,1.4,1.5,88,920,0.05,1m,1.2000000000000002,1.4,2.0,80,,,,,,,,0.25,1,COMPLETE
83,83,2.151614959862379,2025-06-16 00:44:31.634871,2025-06-16 00:44:33.301289,0 days 00:00:01.666418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,0.025,9m,1.3,1.4,1.5,120,824,0.05,1m,1.2000000000000002,1.5,2.0,80,,,,,,,,0.25,1,COMPLETE
84,84,2.5106186643591855,2025-06-16 00:44:33.370133,2025-06-16 00:44:35.082705,0 days 00:00:01.712572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,0.025,9m,1.2000000000000002,1.4,1.5,192,800,0.05,1m,1.2000000000000002,1.5,2.0,128,,,,,,,,0.25,1,COMPLETE
85,85,2.3329399163902154,2025-06-16 00:44:35.158225,2025-06-16 00:44:36.704741,0 days 00:00:01.546516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,976,0.025,9m,1.2000000000000002,1.4,1.5,88,808,0.05,1m,1.2000000000000002,1.4,2.0,144,,,,,,,,0.25,1,COMPLETE
86,86,2.4176809094661182,2025-06-16 00:44:36.772395,2025-06-16 00:44:38.428810,0 days 00:00:01.656415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024,0.025,9m,1.1,1.4,1.5,88,800,0.05,1m,1.2000000000000002,1.5,2.0,144,,,,,,,,0.25,1,COMPLETE
87,87,1.8122626348275306,2025-06-16 00:44:38.483479,2025-06-16 00:44:40.181523,0 days 00:00:01.698044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016,0.025,9m,1.1,1.4,1.4000000000000001,96,792,0.05,1m,1.3,1.4,2.0,136,,,,,,,,0.25,1,COMPLETE
88,88,-1.8641108300529508,2025-06-16 00:44:40.245288,2025-06-16 00:44:41.909538,0 days 00:00:01.664250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968,0.025,9m,1.2000000000000002,1.4,1.5,184,712,0.05,1m,1.2000000000000002,1.5,2.0,184,,,,,,,,0.25,1,COMPLETE
89,89,-1.2896683804063893,2025-06-16 00:44:41.998825,2025-06-16 00:44:43.679192,0 days 00:00:01.680367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984,0.025,9m,1.1,1.3,1.5,80,776,0.05,1m,1.2000000000000002,1.5,1.4000000000000001,144,,,,,,,,0.25,1,COMPLETE
