,number,value,datetime_start,datetime_complete,duration,params_AEP_MCHP_beta_win,params_AEP_MCHP_stop_loss,params_AEP_MCHP_trade_freq,params_AEP_MCHP_z_entry,params_AEP_MCHP_z_exit,params_AEP_MCHP_z_stop_scaler,params_AEP_MCHP_z_win,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_AMZN_NFLX_beta_win,params_AMZN_NFLX_stop_loss,params_AMZN_NFLX_trade_freq,params_AMZN_NFLX_z_entry,params_AMZN_NFLX_z_exit,params_AMZN_NFLX_z_stop_scaler,params_AMZN_NFLX_z_win,params_ASML_NFLX_beta_win,params_ASML_NFLX_stop_loss,params_ASML_NFLX_trade_freq,params_ASML_NFLX_z_entry,params_ASML_NFLX_z_exit,params_ASML_NFLX_z_stop_scaler,params_ASML_NFLX_z_win,params_AVGO_COST_beta_win,params_AVGO_COST_stop_loss,params_AVGO_COST_trade_freq,params_AVGO_COST_z_entry,params_AVGO_COST_z_exit,params_AVGO_COST_z_stop_scaler,params_AVGO_COST_z_win,params_CCEP_MRVL_beta_win,params_CCEP_MRVL_stop_loss,params_CCEP_MRVL_trade_freq,params_CCEP_MRVL_z_entry,params_CCEP_MRVL_z_exit,params_CCEP_MRVL_z_stop_scaler,params_CCEP_MRVL_z_win,params_COST_KLAC_beta_win,params_COST_KLAC_stop_loss,params_COST_KLAC_trade_freq,params_COST_KLAC_z_entry,params_COST_KLAC_z_exit,params_COST_KLAC_z_stop_scaler,params_COST_KLAC_z_win,params_ISRG_MRVL_beta_win,params_ISRG_MRVL_stop_loss,params_ISRG_MRVL_trade_freq,params_ISRG_MRVL_z_entry,params_ISRG_MRVL_z_exit,params_ISRG_MRVL_z_stop_scaler,params_ISRG_MRVL_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_LULU_TTD_beta_win,params_LULU_TTD_stop_loss,params_LULU_TTD_trade_freq,params_LULU_TTD_z_entry,params_LULU_TTD_z_exit,params_LULU_TTD_z_stop_scaler,params_LULU_TTD_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,2.0152468378241846,2025-06-16 00:40:56.534638,2025-06-16 00:40:58.130159,0 days 00:00:01.595521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,0.025,10m,1.5,0.5,1.5,392,1016,0.05,3m,1.1,0.9,2.0,48,,,,,,,,0.5,1,COMPLETE
11,11,1.845326094714211,2025-06-16 00:40:58.177558,2025-06-16 00:40:59.872804,0 days 00:00:01.695246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992,0.025,10m,1.4,0.5,1.5,384,1016,0.05,3m,1.1,0.9,2.0,16,,,,,,,,0.5,1,COMPLETE
12,12,2.324470474650148,2025-06-16 00:40:59.929655,2025-06-16 00:41:01.615549,0 days 00:00:01.685894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,0.025,10m,1.5,0.5,1.5,472,1024,0.05,3m,1.1,0.9,2.0,40,,,,,,,,0.5,1,COMPLETE
13,13,-0.045683638319564214,2025-06-16 00:41:01.663095,2025-06-16 00:41:04.995494,0 days 00:00:03.332399,,,,,,,,,,,,,,,,,,,,,,648.0,0.025,4m,1.2000000000000002,1.5,1.6,1016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,0.025,10m,1.5,0.5,1.6,560,1016,0.05,3m,1.2000000000000002,0.8,2.0,176,1016.0,0.05,2m,0.9,1.5,1.8000000000000003,1016.0,0.5,3,COMPLETE
14,14,0.5047239747888664,2025-06-16 00:41:05.062798,2025-06-16 00:41:06.532998,0 days 00:00:01.470200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704,0.025,7m,1.2000000000000002,0.7,1.8000000000000003,408,920,0.05,9m,1.0,0.9,1.8000000000000003,192,,,,,,,,0.5,1,COMPLETE
15,15,-0.4606899143006515,2025-06-16 00:41:06.596715,2025-06-16 00:41:09.903637,0 days 00:00:03.306922,,,,,,,,,,,,,,,,,,,,,,40.0,0.025,3m,0.5,1.5,1.6,1016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688,0.025,4m,1.0,0.5,1.5,680,872,0.05,6m,1.3,0.8,1.8000000000000003,208,48.0,0.05,7m,0.5,1.5,1.8000000000000003,440.0,0.4,3,COMPLETE
16,16,1.5882933566664335,2025-06-16 00:41:09.952103,2025-06-16 00:41:12.312310,0 days 00:00:02.360207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,0.025,10m,1.3,0.6,1.4000000000000001,16,184,0.05,3m,1.1,1.0,1.8000000000000003,552,816.0,0.05,4m,0.8,1.2000000000000002,1.8000000000000003,16.0,0.3,2,COMPLETE
17,17,-4.454191414766696,2025-06-16 00:41:12.379089,2025-06-16 00:41:20.824318,0 days 00:00:08.445229,152.0,0.05,7m,0.5,1.3,1.1,24.0,968.0,0.025,6m,0.5,0.9,2.0,960.0,40.0,0.025,4m,1.4,1.5,1.1,824.0,672.0,0.025,8m,1.2000000000000002,1.3,1.4000000000000001,816.0,800.0,0.05,4m,1.5,1.5,2.0,1016.0,152.0,0.05,5m,1.4,0.7,1.9000000000000001,448.0,24.0,0.025,1m,0.5,1.4,2.0,1008.0,584.0,0.05,3m,0.5,1.5,1.7000000000000002,384.0,1008,0.025,1m,1.5,1.4,1.8000000000000003,384,696,0.05,2m,0.9,1.1,1.9000000000000001,112,424.0,0.05,8m,1.0,0.7,1.5,1000.0,0.45,10,COMPLETE
18,18,-5.066692749352345,2025-06-16 00:41:20.875992,2025-06-16 00:41:27.191020,0 days 00:00:06.315028,,,,,,,,336.0,0.025,5m,0.5,1.1,2.0,1024.0,,,,,,,,152.0,0.025,1m,1.0,0.8,1.8000000000000003,736.0,648.0,0.05,10m,0.5,0.8,1.5,1008.0,,,,,,,,88.0,0.05,2m,1.5,0.5,2.0,840.0,400.0,0.05,1m,1.5,1.0,2.0,976.0,616,0.025,10m,1.3,0.8,1.6,608,1024,0.05,3m,1.3,0.8,1.9000000000000001,288,856.0,0.05,9m,1.5,1.3,1.1,424.0,0.45,7,COMPLETE
19,19,-1.0590853865799994,2025-06-16 00:41:27.246260,2025-06-16 00:41:29.684454,0 days 00:00:02.438194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,0.025,10m,1.1,0.6,1.4000000000000001,432,888,0.05,3m,0.6,1.5,1.4000000000000001,656,176.0,0.025,8m,0.7,1.1,1.7000000000000002,840.0,0.35000000000000003,2,COMPLETE
