,number,value,datetime_start,datetime_complete,duration,params_ADBE_SIRI_beta_win,params_ADBE_SIRI_stop_loss,params_ADBE_SIRI_trade_freq,params_ADBE_SIRI_z_entry,params_ADBE_SIRI_z_exit,params_ADBE_SIRI_z_stop_scaler,params_ADBE_SIRI_z_win,params_AMAT_SIRI_beta_win,params_AMAT_SIRI_stop_loss,params_AMAT_SIRI_trade_freq,params_AMAT_SIRI_z_entry,params_AMAT_SIRI_z_exit,params_AMAT_SIRI_z_stop_scaler,params_AMAT_SIRI_z_win,params_BIDU_SIRI_beta_win,params_BIDU_SIRI_stop_loss,params_BIDU_SIRI_trade_freq,params_BIDU_SIRI_z_entry,params_BIDU_SIRI_z_exit,params_BIDU_SIRI_z_stop_scaler,params_BIDU_SIRI_z_win,params_DDOG_ZS_beta_win,params_DDOG_ZS_stop_loss,params_DDOG_ZS_trade_freq,params_DDOG_ZS_z_entry,params_DDOG_ZS_z_exit,params_DDOG_ZS_z_stop_scaler,params_DDOG_ZS_z_win,params_FB_SIRI_beta_win,params_FB_SIRI_stop_loss,params_FB_SIRI_trade_freq,params_FB_SIRI_z_entry,params_FB_SIRI_z_exit,params_FB_SIRI_z_stop_scaler,params_FB_SIRI_z_win,params_JD_SIRI_beta_win,params_JD_SIRI_stop_loss,params_JD_SIRI_trade_freq,params_JD_SIRI_z_entry,params_JD_SIRI_z_exit,params_JD_SIRI_z_stop_scaler,params_JD_SIRI_z_win,params_NTES_PCAR_beta_win,params_NTES_PCAR_stop_loss,params_NTES_PCAR_trade_freq,params_NTES_PCAR_z_entry,params_NTES_PCAR_z_exit,params_NTES_PCAR_z_stop_scaler,params_NTES_PCAR_z_win,params_NVDA_SIRI_beta_win,params_NVDA_SIRI_stop_loss,params_NVDA_SIRI_trade_freq,params_NVDA_SIRI_z_entry,params_NVDA_SIRI_z_exit,params_NVDA_SIRI_z_stop_scaler,params_NVDA_SIRI_z_win,params_PDD_ORLY_beta_win,params_PDD_ORLY_stop_loss,params_PDD_ORLY_trade_freq,params_PDD_ORLY_z_entry,params_PDD_ORLY_z_exit,params_PDD_ORLY_z_stop_scaler,params_PDD_ORLY_z_win,params_PDD_SIRI_beta_win,params_PDD_SIRI_stop_loss,params_PDD_SIRI_trade_freq,params_PDD_SIRI_z_entry,params_PDD_SIRI_z_exit,params_PDD_SIRI_z_stop_scaler,params_PDD_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-100.0,2025-06-15 23:03:27.300683,2025-06-15 23:03:37.227332,0 days 00:00:09.926649,,,,,,,,,,,,,,,,,,,,,,32,0.05,7m,0.8,0.9,2.0,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
11,11,-0.061634380836617396,2025-06-15 23:03:37.291200,2025-06-15 23:03:49.098852,0 days 00:00:11.807652,,,,,,,,,,,,,,,,,,,,,,808,0.05,1m,1.1,0.8,2.0,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
12,12,0.6565494977088762,2025-06-15 23:03:49.166969,2025-06-15 23:03:51.343822,0 days 00:00:02.176853,,,,,,,,,,,,,,,,,,,,,,400,0.05,5m,0.9,1.1,1.8000000000000003,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.0,0.025,9m,1.5,1.5,1.6,1000.0,,,,,,,,0.2,2,COMPLETE
13,13,-0.24945747745531796,2025-06-15 23:03:51.407295,2025-06-15 23:03:53.647584,0 days 00:00:02.240289,,,,,,,,,,,,,,,,,,,,,,752,0.05,9m,0.8,1.1,1.8000000000000003,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.0,0.025,9m,1.1,1.5,1.7000000000000002,1016.0,,,,,,,,0.2,2,COMPLETE
14,14,-0.7970694279351133,2025-06-15 23:03:53.714961,2025-06-15 23:03:55.945830,0 days 00:00:02.230869,,,,,,,,,,,,,,,,,,,,,,472,0.05,3m,0.8,1.4,1.8000000000000003,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.0,0.025,9m,1.5,1.5,1.3,1016.0,,,,,,,,0.25,2,COMPLETE
15,15,0.3654909296943633,2025-06-15 23:03:56.042405,2025-06-15 23:04:00.883157,0 days 00:00:04.840752,,,,,,,,1016.0,0.025,2m,1.5,1.5,2.0,24.0,,,,,,,,952,0.05,7m,0.6,1.3,1.9000000000000001,296,96.0,0.05,9m,1.1,0.8,2.0,32.0,368.0,0.025,7m,0.5,1.0,2.0,40.0,,,,,,,,,,,,,,,1008.0,0.025,3m,1.0,1.3,1.1,840.0,,,,,,,,0.5,5,COMPLETE
16,16,0.8934067456007988,2025-06-15 23:04:00.957762,2025-06-15 23:04:07.070646,0 days 00:00:06.112884,,,,,,,,1016.0,0.025,2m,1.5,1.5,2.0,16.0,1008.0,0.05,3m,0.5,1.5,1.9000000000000001,72.0,968,0.05,5m,0.7,1.3,1.8000000000000003,328,48.0,0.05,9m,1.1,0.8,2.0,72.0,416.0,0.025,7m,0.5,1.5,2.0,16.0,,,,,,,,,,,,,,,656.0,0.025,6m,1.0,1.3,1.7000000000000002,816.0,,,,,,,,0.5,6,COMPLETE
17,17,3.9517427701714953,2025-06-15 23:04:07.162602,2025-06-15 23:04:13.593077,0 days 00:00:06.430475,,,,,,,,624.0,0.025,2m,1.3,1.3,1.7000000000000002,24.0,984.0,0.05,3m,0.5,1.4,2.0,24.0,128,0.05,5m,0.9,1.5,1.4000000000000001,696,496.0,0.05,9m,1.3,0.8,1.8000000000000003,168.0,16.0,0.025,4m,0.8,1.5,1.8000000000000003,1016.0,,,,,,,,,,,,,,,648.0,0.025,6m,1.0,1.3,1.7000000000000002,792.0,,,,,,,,0.45,6,COMPLETE
18,18,2.9873228626920354,2025-06-15 23:04:13.659443,2025-06-15 23:04:20.111592,0 days 00:00:06.452149,,,,,,,,704.0,0.025,2m,1.3,1.3,1.7000000000000002,40.0,1024.0,0.05,3m,0.5,1.5,2.0,16.0,24,0.05,5m,0.7,1.5,1.4000000000000001,768,512.0,0.05,9m,1.3,0.9,1.8000000000000003,168.0,48.0,0.025,4m,0.8,1.5,1.8000000000000003,1016.0,,,,,,,,,,,,,,,736.0,0.025,6m,0.9,1.2000000000000002,1.8000000000000003,728.0,,,,,,,,0.45,6,COMPLETE
19,19,-0.32998495524748755,2025-06-15 23:04:20.207514,2025-06-15 23:04:27.612467,0 days 00:00:07.404953,,,,,,,,656.0,0.025,1m,1.2000000000000002,1.2000000000000002,1.7000000000000002,248.0,768.0,0.05,3m,0.8,1.5,1.8000000000000003,24.0,24,0.05,5m,1.0,1.5,1.4000000000000001,808,600.0,0.05,9m,1.3,0.8,1.7000000000000002,224.0,120.0,0.025,4m,0.8,1.5,1.8000000000000003,1024.0,496.0,0.025,2m,1.4,0.5,1.2000000000000002,40.0,,,,,,,,720.0,0.025,6m,0.9,1.1,1.9000000000000001,672.0,,,,,,,,0.4,7,COMPLETE
