,number,value,datetime_start,datetime_complete,duration,params_ALGN_ZS_beta_win,params_ALGN_ZS_stop_loss,params_ALGN_ZS_trade_freq,params_ALGN_ZS_z_entry,params_ALGN_ZS_z_exit,params_ALGN_ZS_z_stop_scaler,params_ALGN_ZS_z_win,params_ANSS_PYPL_beta_win,params_ANSS_PYPL_stop_loss,params_ANSS_PYPL_trade_freq,params_ANSS_PYPL_z_entry,params_ANSS_PYPL_z_exit,params_ANSS_PYPL_z_stop_scaler,params_ANSS_PYPL_z_win,params_ASML_EBAY_beta_win,params_ASML_EBAY_stop_loss,params_ASML_EBAY_trade_freq,params_ASML_EBAY_z_entry,params_ASML_EBAY_z_exit,params_ASML_EBAY_z_stop_scaler,params_ASML_EBAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_INTU_PYPL_beta_win,params_INTU_PYPL_stop_loss,params_INTU_PYPL_trade_freq,params_INTU_PYPL_z_entry,params_INTU_PYPL_z_exit,params_INTU_PYPL_z_stop_scaler,params_INTU_PYPL_z_win,params_KLAC_PYPL_beta_win,params_KLAC_PYPL_stop_loss,params_KLAC_PYPL_trade_freq,params_KLAC_PYPL_z_entry,params_KLAC_PYPL_z_exit,params_KLAC_PYPL_z_stop_scaler,params_KLAC_PYPL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_NVDA_PYPL_beta_win,params_NVDA_PYPL_stop_loss,params_NVDA_PYPL_trade_freq,params_NVDA_PYPL_z_entry,params_NVDA_PYPL_z_exit,params_NVDA_PYPL_z_stop_scaler,params_NVDA_PYPL_z_win,params_NXPI_PYPL_beta_win,params_NXPI_PYPL_stop_loss,params_NXPI_PYPL_trade_freq,params_NXPI_PYPL_z_entry,params_NXPI_PYPL_z_exit,params_NXPI_PYPL_z_stop_scaler,params_NXPI_PYPL_z_win,params_OKTA_SWKS_beta_win,params_OKTA_SWKS_stop_loss,params_OKTA_SWKS_trade_freq,params_OKTA_SWKS_z_entry,params_OKTA_SWKS_z_exit,params_OKTA_SWKS_z_stop_scaler,params_OKTA_SWKS_z_win,params_buffer_capital,params_pairs_to_trade,state
33,33,-7.7752008875147105,2025-06-16 21:18:43.359010,2025-06-16 21:18:48.150144,0 days 00:00:04.791134,1024.0,0.025,2m,0.6,0.9,1.9000000000000001,448.0,448.0,0.05,1m,0.8,1.5,1.4000000000000001,376.0,336.0,0.05,10m,0.7,1.0,2.0,336.0,744.0,0.05,10m,0.7,0.9,1.1,480.0,944,0.025,8m,1.3,0.5,1.6,632,904.0,0.05,5m,1.5,0.9,1.3,88.0,,,,,,,,296.0,0.05,7m,1.4,1.2000000000000002,1.9000000000000001,648.0,384.0,0.05,3m,0.9,0.9,1.7000000000000002,376.0,424.0,0.05,4m,0.8,1.0,1.2000000000000002,864.0,0.1,9,COMPLETE
34,34,1.420924098942235,2025-06-16 21:18:48.183465,2025-06-16 21:18:53.520132,0 days 00:00:05.336667,672.0,0.025,9m,0.8,0.6,2.0,176.0,760.0,0.05,8m,1.1,1.3,1.2000000000000002,504.0,504.0,0.05,8m,0.6,0.8,1.9000000000000001,256.0,304.0,0.05,5m,0.5,1.4,1.3,344.0,472,0.025,6m,1.0,0.6,1.8000000000000003,304,1024.0,0.05,1m,1.4,0.8,1.2000000000000002,592.0,328.0,0.025,6m,1.0,0.9,1.7000000000000002,392.0,584.0,0.05,6m,1.4,0.9,1.5,824.0,488.0,0.05,6m,1.2000000000000002,0.6,1.6,496.0,216.0,0.05,2m,0.6,0.6,1.1,224.0,0.15000000000000002,10,COMPLETE
35,35,-5.753674946673843,2025-06-16 21:18:53.554142,2025-06-16 21:18:58.149357,0 days 00:00:04.595215,888.0,0.05,7m,0.6,0.8,1.7000000000000002,280.0,616.0,0.05,2m,0.9,1.4,1.3,336.0,432.0,0.025,3m,0.5,1.2000000000000002,2.0,448.0,544.0,0.05,3m,1.5,1.3,1.5,48.0,272,0.025,10m,1.3,0.7,1.6,192,112.0,0.05,1m,0.5,0.6,1.1,424.0,,,,,,,,768.0,0.05,1m,1.2000000000000002,1.1,2.0,392.0,280.0,0.05,7m,1.4,1.3,1.8000000000000003,112.0,120.0,0.05,7m,0.9,1.1,1.4000000000000001,552.0,0.25,9,COMPLETE
36,36,-6.387819397290402,2025-06-16 21:18:58.173028,2025-06-16 21:19:01.800673,0 days 00:00:03.627645,520.0,0.025,1m,0.9,0.6,1.9000000000000001,24.0,824.0,0.05,9m,1.1,1.5,1.6,232.0,184.0,0.05,9m,1.2000000000000002,1.1,1.3,528.0,,,,,,,,592,0.025,8m,0.6,0.8,1.1,432,528.0,0.05,7m,1.5,1.0,1.3,552.0,,,,,,,,216.0,0.05,10m,0.8,1.3,1.7000000000000002,544.0,136.0,0.05,4m,1.0,0.8,1.3,232.0,264.0,0.05,3m,0.6,0.9,1.2000000000000002,776.0,0.05,8,COMPLETE
37,37,-2.9761465199951473,2025-06-16 21:19:01.824175,2025-06-16 21:19:04.970714,0 days 00:00:03.146539,,,,,,,,160.0,0.025,5m,1.3,1.2000000000000002,1.8000000000000003,128.0,760.0,0.025,4m,0.8,0.9,1.8000000000000003,144.0,,,,,,,,968,0.025,5m,1.4,0.5,1.4000000000000001,560,944.0,0.05,5m,1.3,1.2000000000000002,1.5,904.0,,,,,,,,376.0,0.05,7m,1.5,1.4,1.8000000000000003,296.0,368.0,0.05,2m,1.2000000000000002,1.1,1.5,328.0,624.0,0.05,5m,0.9,0.8,1.3,472.0,0.2,7,COMPLETE
38,38,-4.192708137841388,2025-06-16 21:19:04.994745,2025-06-16 21:19:07.783898,0 days 00:00:02.789153,,,,,,,,504.0,0.05,7m,1.5,1.3,1.5,488.0,672.0,0.05,8m,1.5,1.2000000000000002,1.1,864.0,,,,,,,,648,0.025,7m,1.2000000000000002,1.4,1.9000000000000001,480,584.0,0.05,10m,1.4,0.6,1.1,248.0,,,,,,,,864.0,0.05,6m,1.4,1.0,1.6,696.0,448.0,0.025,5m,0.7,0.8,1.4000000000000001,112.0,,,,,,,,0.35000000000000003,6,COMPLETE
39,39,-2.4072812672136212,2025-06-16 21:19:07.817922,2025-06-16 21:19:09.286019,0 days 00:00:01.468097,,,,,,,,,,,,,,,856.0,0.025,2m,0.7,0.8,1.5,288.0,,,,,,,,864,0.05,2m,1.0,0.9,1.7000000000000002,696,,,,,,,,,,,,,,,568.0,0.025,1m,1.3,0.7,1.9000000000000001,440.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
40,40,-7.117441271233057,2025-06-16 21:19:09.322260,2025-06-16 21:19:14.624019,0 days 00:00:05.301759,760.0,0.05,3m,0.7,1.5,1.7000000000000002,568.0,928.0,0.05,3m,1.5,1.1,1.4000000000000001,1024.0,392.0,0.05,9m,1.1,0.5,1.7000000000000002,592.0,808.0,0.025,7m,0.8,1.5,1.2000000000000002,576.0,184,0.05,10m,1.5,0.6,1.6,256,872.0,0.05,5m,1.5,1.2000000000000002,1.4000000000000001,136.0,768.0,0.025,7m,1.2000000000000002,0.8,1.3,624.0,72.0,0.05,3m,0.8,1.1,1.4000000000000001,584.0,592.0,0.05,10m,0.9,0.6,1.6,584.0,416.0,0.05,1m,0.7,1.4,1.6,320.0,0.1,10,COMPLETE
41,41,2.6250057187090596,2025-06-16 21:19:14.657729,2025-06-16 21:19:20.141013,0 days 00:00:05.483284,656.0,0.025,9m,0.8,0.6,2.0,720.0,768.0,0.05,8m,1.1,1.3,1.2000000000000002,576.0,496.0,0.05,8m,0.6,0.8,1.9000000000000001,232.0,280.0,0.05,5m,0.5,1.4,1.3,368.0,456,0.025,6m,1.0,0.6,1.8000000000000003,312,1024.0,0.05,1m,1.4,0.8,1.2000000000000002,600.0,296.0,0.025,6m,0.9,0.9,1.7000000000000002,360.0,600.0,0.05,6m,1.5,0.9,1.5,864.0,504.0,0.05,6m,1.2000000000000002,0.5,1.6,464.0,192.0,0.05,2m,0.6,0.6,1.1,248.0,0.15000000000000002,10,COMPLETE
42,42,-5.212948916014126,2025-06-16 21:19:20.173211,2025-06-16 21:19:25.364708,0 days 00:00:05.191497,936.0,0.025,9m,0.9,0.6,2.0,712.0,848.0,0.05,8m,0.9,1.4,1.2000000000000002,688.0,584.0,0.05,8m,0.6,0.8,1.9000000000000001,200.0,88.0,0.05,5m,0.6,1.4,1.4000000000000001,424.0,296,0.025,6m,1.1,0.7,2.0,328,968.0,0.05,1m,0.7,0.9,1.2000000000000002,688.0,360.0,0.025,6m,0.8,1.2000000000000002,1.8000000000000003,224.0,640.0,0.05,6m,1.5,0.9,1.5,784.0,208.0,0.05,6m,1.1,0.5,1.5,456.0,184.0,0.05,2m,0.5,0.6,1.1,624.0,0.15000000000000002,10,COMPLETE
43,43,-2.4810115933099848,2025-06-16 21:19:25.387009,2025-06-16 21:19:30.284156,0 days 00:00:04.897147,408.0,0.025,9m,0.5,0.5,1.9000000000000001,904.0,320.0,0.05,4m,1.4,1.0,1.3,624.0,256.0,0.05,8m,0.5,0.7,2.0,376.0,320.0,0.05,5m,0.6,1.2000000000000002,1.2000000000000002,200.0,400,0.025,6m,0.9,0.5,1.8000000000000003,448,784.0,0.05,1m,1.1,0.7,1.1,464.0,,,,,,,,704.0,0.05,6m,1.4,1.0,1.4000000000000001,872.0,520.0,0.05,8m,1.4,0.5,1.6,536.0,72.0,0.05,10m,0.6,0.6,1.2000000000000002,480.0,0.15000000000000002,9,COMPLETE
44,44,-3.6149548602496067,2025-06-16 21:19:30.315853,2025-06-16 21:19:35.676587,0 days 00:00:05.360734,592.0,0.025,6m,0.7,0.7,1.8000000000000003,752.0,1024.0,0.05,8m,1.1,0.9,1.1,568.0,464.0,0.05,10m,0.6,1.0,1.9000000000000001,80.0,504.0,0.05,6m,0.5,1.4,1.5,328.0,120,0.025,4m,0.8,0.6,1.9000000000000001,384,984.0,0.025,2m,1.4,0.8,1.2000000000000002,768.0,112.0,0.05,3m,0.9,0.7,1.8000000000000003,504.0,464.0,0.025,8m,1.5,0.8,1.3,976.0,352.0,0.05,6m,1.0,0.6,1.7000000000000002,320.0,352.0,0.05,2m,0.8,0.5,1.1,712.0,0.1,10,COMPLETE
45,45,-1.6046054347814065,2025-06-16 21:19:35.711634,2025-06-16 21:19:39.954619,0 days 00:00:04.242985,144.0,0.025,8m,1.0,0.9,2.0,520.0,784.0,0.05,10m,0.8,1.3,1.4000000000000001,776.0,512.0,0.05,5m,0.7,0.9,1.4000000000000001,224.0,360.0,0.05,7m,0.8,1.2000000000000002,1.3,736.0,456,0.025,8m,0.7,0.7,2.0,520,688.0,0.05,6m,0.9,0.9,1.3,368.0,,,,,,,,560.0,0.05,4m,1.0,0.7,1.6,920.0,432.0,0.025,3m,1.2000000000000002,0.7,1.5,664.0,160.0,0.025,9m,0.7,0.8,1.2000000000000002,216.0,0.2,9,COMPLETE
46,46,2.132225960460857,2025-06-16 21:19:39.989347,2025-06-16 21:19:44.286244,0 days 00:00:04.296897,744.0,0.025,10m,0.8,0.6,1.9000000000000001,704.0,712.0,0.05,3m,1.2000000000000002,1.5,1.2000000000000002,920.0,648.0,0.05,8m,0.5,1.4,1.8000000000000003,264.0,,,,,,,,216,0.025,6m,1.0,0.5,1.5,144,864.0,0.05,8m,1.4,0.8,1.2000000000000002,576.0,,,,,,,,904.0,0.05,2m,1.3,1.3,1.5,648.0,248.0,0.05,9m,1.3,1.0,2.0,72.0,128.0,0.05,9m,0.7,1.1,1.3,328.0,0.05,8,COMPLETE
47,47,-0.008144860872758834,2025-06-16 21:19:44.321838,2025-06-16 21:19:46.616932,0 days 00:00:02.295094,,,,,,,,,,,,,,,360.0,0.025,1m,0.8,1.3,2.0,480.0,,,,,,,,352,0.025,9m,0.8,0.8,1.8000000000000003,224,936.0,0.025,5m,1.5,0.7,1.4000000000000001,720.0,,,,,,,,240.0,0.05,7m,1.2000000000000002,1.2000000000000002,2.0,504.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
48,48,0.15453488004724966,2025-06-16 21:19:46.649041,2025-06-16 21:19:47.866381,0 days 00:00:01.217340,,,,,,,,,,,,,,,696.0,0.05,4m,1.3,1.5,1.8000000000000003,160.0,,,,,,,,656,0.025,8m,1.2000000000000002,1.0,1.9000000000000001,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
49,49,-0.0027906346249291355,2025-06-16 21:19:47.900394,2025-06-16 21:19:53.284062,0 days 00:00:05.383668,936.0,0.025,4m,0.6,0.8,2.0,904.0,376.0,0.05,6m,1.3,1.2000000000000002,1.8000000000000003,616.0,544.0,0.025,3m,0.5,0.7,1.6,336.0,232.0,0.05,9m,0.6,1.5,1.2000000000000002,512.0,760,0.025,7m,1.0,1.2000000000000002,1.3,288,1024.0,0.05,9m,1.3,1.3,1.1,656.0,440.0,0.025,10m,1.4,1.2000000000000002,1.5,144.0,520.0,0.025,6m,1.5,0.9,1.3,392.0,152.0,0.025,1m,1.1,1.3,1.1,176.0,16.0,0.05,8m,0.5,1.3,1.1,976.0,0.15000000000000002,10,COMPLETE
50,50,-2.002985253240193,2025-06-16 21:19:53.320892,2025-06-16 21:19:56.097364,0 days 00:00:02.776472,,,,,,,,504.0,0.025,4m,1.0,0.8,1.4000000000000001,352.0,288.0,0.025,8m,0.6,1.1,2.0,72.0,,,,,,,,912,0.025,1m,0.9,0.6,1.7000000000000002,352,656.0,0.05,7m,1.2000000000000002,0.5,1.5,800.0,,,,,,,,744.0,0.05,1m,1.4,1.0,1.8000000000000003,1008.0,,,,,,,,,,,,,,,0.45,5,COMPLETE
51,51,0.6853716566659497,2025-06-16 21:19:56.131997,2025-06-16 21:20:00.642442,0 days 00:00:04.510445,728.0,0.025,10m,0.8,0.6,1.9000000000000001,704.0,696.0,0.05,3m,1.2000000000000002,1.5,1.2000000000000002,944.0,600.0,0.05,8m,0.5,1.4,1.8000000000000003,264.0,,,,,,,,24,0.025,6m,1.0,0.5,1.5,152,864.0,0.05,8m,1.4,0.8,1.2000000000000002,560.0,,,,,,,,952.0,0.05,2m,1.3,1.4,1.5,648.0,272.0,0.05,9m,1.3,1.1,1.8000000000000003,56.0,120.0,0.05,9m,0.6,1.2000000000000002,1.3,312.0,0.05,8,COMPLETE
52,52,1.3566890276002006,2025-06-16 21:20:00.676299,2025-06-16 21:20:04.387902,0 days 00:00:03.711603,,,,,,,,584.0,0.05,3m,1.1,1.5,1.1,840.0,640.0,0.05,8m,0.5,1.3,1.9000000000000001,408.0,,,,,,,,88,0.025,6m,1.1,0.5,1.4000000000000001,64,896.0,0.05,8m,1.4,0.9,1.2000000000000002,488.0,,,,,,,,864.0,0.05,2m,1.5,1.5,1.6,736.0,232.0,0.05,9m,1.4,0.9,1.9000000000000001,72.0,80.0,0.05,9m,0.7,1.1,1.4000000000000001,160.0,0.05,7,COMPLETE
53,53,3.572531519434571,2025-06-16 21:20:04.419392,2025-06-16 21:20:08.126066,0 days 00:00:03.706674,584.0,0.025,10m,0.9,0.5,1.9000000000000001,672.0,960.0,0.05,3m,1.2000000000000002,1.4,1.3,920.0,648.0,0.05,8m,0.6,1.4,1.8000000000000003,312.0,,,,,,,,208,0.025,6m,1.0,0.6,1.5,136,808.0,0.05,8m,1.5,0.7,1.3,576.0,,,,,,,,936.0,0.05,2m,1.4,1.3,1.7000000000000002,640.0,1000.0,0.05,9m,1.3,1.0,2.0,240.0,160.0,0.05,9m,0.8,1.4,1.5,344.0,0.1,8,COMPLETE
54,54,-2.1566794282121675,2025-06-16 21:20:08.163257,2025-06-16 21:20:12.774972,0 days 00:00:04.611715,576.0,0.025,5m,1.0,0.5,1.8000000000000003,552.0,952.0,0.05,10m,1.0,1.4,1.3,16.0,736.0,0.05,6m,0.7,1.5,1.7000000000000002,320.0,528.0,0.025,8m,0.7,1.3,1.6,224.0,152,0.025,9m,0.9,0.6,1.4000000000000001,16,808.0,0.05,4m,1.5,0.6,1.3,656.0,,,,,,,,376.0,0.05,10m,1.4,1.1,1.7000000000000002,568.0,1008.0,0.05,9m,1.2000000000000002,1.4,2.0,248.0,968.0,0.05,7m,0.8,1.4,2.0,584.0,0.1,9,COMPLETE
55,55,0.6196689263797935,2025-06-16 21:20:12.801939,2025-06-16 21:20:16.127274,0 days 00:00:03.325335,,,,,,,,968.0,0.05,3m,1.3,1.3,1.3,256.0,440.0,0.05,9m,0.6,1.3,1.9000000000000001,512.0,,,,,,,,216,0.025,3m,1.1,0.7,1.5,224,368.0,0.05,8m,1.5,1.4,1.4000000000000001,632.0,,,,,,,,680.0,0.05,5m,1.5,1.2000000000000002,1.6,504.0,864.0,0.05,8m,1.3,1.2000000000000002,1.2000000000000002,976.0,,,,,,,,0.15000000000000002,6,COMPLETE
56,56,-3.2555517469828787,2025-06-16 21:20:16.163788,2025-06-16 21:20:21.563025,0 days 00:00:05.399237,416.0,0.025,7m,0.9,0.7,2.0,480.0,904.0,0.05,10m,1.2000000000000002,1.4,1.4000000000000001,80.0,520.0,0.05,7m,0.8,1.4,1.8000000000000003,688.0,16.0,0.05,2m,0.5,1.0,1.8000000000000003,128.0,1000,0.025,6m,0.8,0.8,1.6,936,744.0,0.05,5m,1.5,0.7,1.3,288.0,808.0,0.025,2m,1.1,1.5,1.8000000000000003,408.0,632.0,0.05,7m,1.4,1.3,1.7000000000000002,624.0,560.0,0.05,3m,1.1,1.0,1.6,376.0,256.0,0.05,8m,1.5,1.5,1.5,408.0,0.1,10,COMPLETE
57,57,1.289500276986286,2025-06-16 21:20:21.595892,2025-06-16 21:20:26.492272,0 days 00:00:04.896380,456.0,0.025,10m,1.5,0.5,1.5,648.0,1000.0,0.025,3m,1.5,1.3,1.5,456.0,856.0,0.025,8m,0.7,1.5,1.9000000000000001,768.0,912.0,0.05,4m,0.9,1.4,1.4000000000000001,432.0,352,0.025,9m,0.6,0.7,1.3,760,472.0,0.05,7m,1.3,1.0,1.6,392.0,,,,,,,,184.0,0.05,9m,1.5,0.8,1.9000000000000001,760.0,656.0,0.05,9m,1.4,0.5,1.9000000000000001,912.0,168.0,0.05,10m,1.0,1.4,1.7000000000000002,240.0,0.3,9,COMPLETE
58,58,-6.007390953517883,2025-06-16 21:20:26.526781,2025-06-16 21:20:30.921880,0 days 00:00:04.395099,568.0,0.05,9m,0.9,0.6,1.2000000000000002,584.0,872.0,0.05,8m,1.4,1.2000000000000002,1.7000000000000002,544.0,792.0,0.025,9m,0.6,1.4,2.0,368.0,,,,,,,,504,0.025,8m,0.9,0.6,1.4000000000000001,48,976.0,0.05,3m,1.5,0.9,1.3,544.0,,,,,,,,104.0,0.05,1m,0.9,1.1,1.8000000000000003,712.0,496.0,0.05,1m,0.8,0.7,1.4000000000000001,448.0,72.0,0.05,9m,1.1,1.3,1.6,528.0,0.2,8,COMPLETE
59,59,-14.19715345583909,2025-06-16 21:20:30.956067,2025-06-16 21:20:34.849729,0 days 00:00:03.893662,,,,,,,,1024.0,0.05,2m,1.1,1.4,1.9000000000000001,824.0,624.0,0.025,8m,0.9,1.0,1.8000000000000003,48.0,,,,,,,,56,0.025,4m,0.8,0.7,2.0,96,816.0,0.025,1m,1.4,0.8,1.8000000000000003,504.0,,,,,,,,544.0,0.05,2m,1.1,0.9,2.0,472.0,608.0,0.05,3m,1.5,1.1,1.6,208.0,368.0,0.05,1m,0.9,1.5,1.5,72.0,0.5,7,COMPLETE
60,60,1.6809786866967285,2025-06-16 21:20:34.883590,2025-06-16 21:20:40.008611,0 days 00:00:05.125021,360.0,0.025,2m,0.5,0.5,2.0,784.0,840.0,0.025,10m,1.3,1.5,1.2000000000000002,968.0,568.0,0.05,2m,0.6,1.3,1.7000000000000002,432.0,592.0,0.025,3m,0.6,1.1,1.1,576.0,824,0.025,2m,0.7,0.6,1.6,192,920.0,0.05,5m,1.1,0.7,1.1,736.0,536.0,0.05,4m,0.7,0.7,1.4000000000000001,360.0,448.0,0.05,1m,1.0,1.0,1.9000000000000001,344.0,776.0,0.05,9m,1.0,0.8,1.7000000000000002,280.0,288.0,0.025,8m,0.5,0.6,1.7000000000000002,360.0,0.15000000000000002,10,COMPLETE
61,61,2.5741080286052527,2025-06-16 21:20:40.042660,2025-06-16 21:20:43.792704,0 days 00:00:03.750044,984.0,0.025,10m,0.8,0.6,1.9000000000000001,688.0,728.0,0.05,3m,1.2000000000000002,1.5,1.2000000000000002,888.0,656.0,0.05,8m,0.5,1.4,1.8000000000000003,208.0,,,,,,,,232,0.025,6m,1.0,0.5,1.5,136,864.0,0.05,8m,1.4,0.8,1.2000000000000002,584.0,,,,,,,,944.0,0.05,2m,1.4,1.3,1.5,664.0,16.0,0.05,9m,1.3,1.0,2.0,72.0,128.0,0.05,9m,0.7,1.2000000000000002,1.4000000000000001,272.0,0.05,8,COMPLETE
62,62,0.8034592641846275,2025-06-16 21:20:43.826918,2025-06-16 21:20:48.215913,0 days 00:00:04.388995,1000.0,0.025,10m,0.8,0.5,1.9000000000000001,664.0,760.0,0.05,3m,1.2000000000000002,0.5,1.3,864.0,696.0,0.05,8m,0.5,1.4,1.9000000000000001,192.0,,,,,,,,432,0.025,6m,1.0,0.5,1.5,104,992.0,0.05,8m,1.5,0.8,1.2000000000000002,600.0,,,,,,,,952.0,0.05,2m,1.4,1.4,1.5,560.0,32.0,0.05,9m,1.2000000000000002,0.9,2.0,32.0,80.0,0.05,9m,0.7,1.2000000000000002,1.4000000000000001,160.0,0.1,8,COMPLETE
63,63,1.7887477498319995,2025-06-16 21:20:48.251715,2025-06-16 21:20:53.131297,0 days 00:00:04.879582,872.0,0.025,9m,0.7,0.7,2.0,968.0,224.0,0.05,3m,1.2000000000000002,1.5,1.2000000000000002,984.0,664.0,0.05,8m,0.6,1.5,1.8000000000000003,128.0,440.0,0.05,10m,0.9,1.5,1.2000000000000002,392.0,120,0.025,6m,1.0,0.5,1.4000000000000001,984,840.0,0.05,8m,1.4,1.1,1.9000000000000001,664.0,,,,,,,,824.0,0.05,2m,1.5,1.3,1.6,672.0,104.0,0.05,9m,1.3,1.0,1.9000000000000001,136.0,208.0,0.05,9m,0.8,1.4,1.5,264.0,0.05,9,COMPLETE
64,64,1.8541028239502146,2025-06-16 21:20:53.166736,2025-06-16 21:20:58.079180,0 days 00:00:04.912444,968.0,0.025,10m,1.0,0.6,1.9000000000000001,880.0,664.0,0.05,5m,1.1,1.4,1.3,888.0,472.0,0.05,5m,1.0,1.2000000000000002,1.9000000000000001,296.0,272.0,0.05,1m,1.1,1.3,1.3,304.0,304,0.025,9m,1.1,0.6,1.5,272,728.0,0.05,8m,1.3,0.7,1.4000000000000001,624.0,,,,,,,,904.0,0.05,7m,1.4,1.2000000000000002,1.6,600.0,448.0,0.05,6m,1.1,0.5,2.0,88.0,488.0,0.05,2m,0.6,1.5,1.2000000000000002,16.0,0.1,9,COMPLETE
65,65,-4.853236198413876,2025-06-16 21:20:58.104742,2025-06-16 21:21:03.526282,0 days 00:00:05.421540,920.0,0.025,9m,0.9,1.3,1.8000000000000003,664.0,920.0,0.05,3m,0.9,1.3,1.1,320.0,752.0,0.05,8m,0.5,1.3,1.8000000000000003,224.0,136.0,0.025,5m,0.6,1.2000000000000002,1.5,120.0,576,0.025,5m,0.9,0.5,1.3,120,264.0,0.05,10m,1.5,0.9,1.2000000000000002,64.0,832.0,0.025,1m,1.3,1.1,1.7000000000000002,632.0,608.0,0.05,4m,1.5,1.2000000000000002,1.4000000000000001,848.0,344.0,0.05,7m,0.9,1.1,1.9000000000000001,24.0,56.0,0.05,6m,0.5,0.5,1.1,440.0,0.15000000000000002,10,COMPLETE
66,66,-4.113774082451688,2025-06-16 21:21:03.554321,2025-06-16 21:21:06.960878,0 days 00:00:03.406557,,,,,,,,976.0,0.05,1m,1.4,1.4,1.2000000000000002,184.0,544.0,0.025,1m,0.7,1.4,1.7000000000000002,368.0,,,,,,,,248,0.025,6m,1.2000000000000002,0.7,1.6,320,792.0,0.05,6m,1.4,0.8,1.3,576.0,,,,,,,,984.0,0.05,3m,1.3,1.5,1.7000000000000002,784.0,400.0,0.05,9m,0.7,1.4,1.5,176.0,,,,,,,,0.1,6,COMPLETE
67,67,-6.258356385716685,2025-06-16 21:21:06.997026,2025-06-16 21:21:11.023213,0 days 00:00:04.026187,824.0,0.025,5m,1.1,0.5,2.0,840.0,376.0,0.05,10m,1.3,1.5,1.3,384.0,424.0,0.05,9m,0.6,1.5,2.0,112.0,,,,,,,,904,0.025,1m,1.0,0.6,1.4000000000000001,176,432.0,0.05,2m,1.3,1.0,1.1,528.0,,,,,,,,336.0,0.05,8m,1.4,1.3,1.5,504.0,16.0,0.05,3m,0.8,1.5,1.8000000000000003,160.0,168.0,0.05,9m,0.8,0.7,1.4000000000000001,592.0,0.4,8,COMPLETE
68,68,-0.04624633249300817,2025-06-16 21:21:11.059301,2025-06-16 21:21:13.489070,0 days 00:00:02.429769,,,,,,,,608.0,0.025,9m,1.0,1.1,1.5,136.0,720.0,0.025,10m,0.5,1.2000000000000002,1.6,296.0,,,,,,,,544,0.025,8m,1.1,1.1,1.7000000000000002,224,920.0,0.05,7m,1.5,0.9,1.2000000000000002,456.0,,,,,,,,520.0,0.05,2m,1.5,1.1,2.0,48.0,,,,,,,,,,,,,,,0.2,5,COMPLETE
69,69,2.58550514474315,2025-06-16 21:21:13.523229,2025-06-16 21:21:18.229898,0 days 00:00:04.706669,336.0,0.05,2m,0.8,0.9,1.7000000000000002,592.0,800.0,0.05,7m,1.5,1.3,1.4000000000000001,800.0,824.0,0.05,8m,1.2000000000000002,0.6,1.9000000000000001,240.0,352.0,0.05,9m,0.8,0.8,1.8000000000000003,488.0,152,0.05,3m,0.9,0.5,1.5,48,648.0,0.05,5m,0.9,0.8,1.7000000000000002,688.0,,,,,,,,384.0,0.05,5m,1.2000000000000002,0.8,1.7000000000000002,416.0,464.0,0.05,4m,1.3,1.0,1.4000000000000001,16.0,320.0,0.05,3m,0.7,0.9,1.8000000000000003,360.0,0.15000000000000002,9,COMPLETE
70,70,-0.10417269859469068,2025-06-16 21:21:18.258815,2025-06-16 21:21:23.512814,0 days 00:00:05.253999,112.0,0.05,2m,1.3,0.9,1.7000000000000002,768.0,800.0,0.05,7m,1.5,1.2000000000000002,1.4000000000000001,792.0,944.0,0.05,8m,1.3,0.5,1.8000000000000003,232.0,200.0,0.05,9m,1.1,0.8,1.8000000000000003,712.0,128,0.05,3m,0.9,0.5,1.5,40,616.0,0.05,5m,0.9,0.6,1.7000000000000002,768.0,248.0,0.05,8m,1.0,0.6,1.9000000000000001,136.0,296.0,0.05,5m,1.2000000000000002,0.8,1.7000000000000002,448.0,480.0,0.05,4m,1.3,1.2000000000000002,1.3,16.0,360.0,0.05,3m,0.6,0.9,1.9000000000000001,288.0,0.1,10,COMPLETE
