,number,value,datetime_start,datetime_complete,duration,params_ALGN_ZS_beta_win,params_ALGN_ZS_stop_loss,params_ALGN_ZS_trade_freq,params_ALGN_ZS_z_entry,params_ALGN_ZS_z_exit,params_ALGN_ZS_z_stop_scaler,params_ALGN_ZS_z_win,params_ANSS_PYPL_beta_win,params_ANSS_PYPL_stop_loss,params_ANSS_PYPL_trade_freq,params_ANSS_PYPL_z_entry,params_ANSS_PYPL_z_exit,params_ANSS_PYPL_z_stop_scaler,params_ANSS_PYPL_z_win,params_ASML_EBAY_beta_win,params_ASML_EBAY_stop_loss,params_ASML_EBAY_trade_freq,params_ASML_EBAY_z_entry,params_ASML_EBAY_z_exit,params_ASML_EBAY_z_stop_scaler,params_ASML_EBAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_INTU_PYPL_beta_win,params_INTU_PYPL_stop_loss,params_INTU_PYPL_trade_freq,params_INTU_PYPL_z_entry,params_INTU_PYPL_z_exit,params_INTU_PYPL_z_stop_scaler,params_INTU_PYPL_z_win,params_KLAC_PYPL_beta_win,params_KLAC_PYPL_stop_loss,params_KLAC_PYPL_trade_freq,params_KLAC_PYPL_z_entry,params_KLAC_PYPL_z_exit,params_KLAC_PYPL_z_stop_scaler,params_KLAC_PYPL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_NVDA_PYPL_beta_win,params_NVDA_PYPL_stop_loss,params_NVDA_PYPL_trade_freq,params_NVDA_PYPL_z_entry,params_NVDA_PYPL_z_exit,params_NVDA_PYPL_z_stop_scaler,params_NVDA_PYPL_z_win,params_NXPI_PYPL_beta_win,params_NXPI_PYPL_stop_loss,params_NXPI_PYPL_trade_freq,params_NXPI_PYPL_z_entry,params_NXPI_PYPL_z_exit,params_NXPI_PYPL_z_stop_scaler,params_NXPI_PYPL_z_win,params_OKTA_SWKS_beta_win,params_OKTA_SWKS_stop_loss,params_OKTA_SWKS_trade_freq,params_OKTA_SWKS_z_entry,params_OKTA_SWKS_z_exit,params_OKTA_SWKS_z_stop_scaler,params_OKTA_SWKS_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,2.7777227901922372,2025-06-16 21:17:10.132629,2025-06-16 21:17:15.991987,0 days 00:00:05.859358,1024.0,0.025,9m,0.5,0.5,2.0,984.0,712.0,0.05,3m,1.3,1.5,1.4000000000000001,16.0,488.0,0.025,8m,1.0,1.5,2.0,48.0,840.0,0.05,7m,0.5,1.5,1.1,48.0,32,0.025,8m,1.0,0.5,2.0,984,936.0,0.05,5m,1.5,0.9,1.4000000000000001,32.0,632.0,0.025,8m,1.3,0.5,1.6,272.0,528.0,0.05,7m,1.5,0.9,1.8000000000000003,544.0,480.0,0.05,9m,1.1,1.5,1.6,240.0,72.0,0.05,8m,0.5,0.6,1.1,544.0,0.5,10,COMPLETE
11,11,0.7802949754933207,2025-06-16 21:17:16.023427,2025-06-16 21:17:21.865910,0 days 00:00:05.842483,1016.0,0.025,9m,0.5,0.5,2.0,1008.0,736.0,0.05,3m,1.3,1.5,1.4000000000000001,48.0,440.0,0.025,8m,1.0,1.5,2.0,96.0,872.0,0.05,7m,0.5,1.5,1.1,24.0,88,0.025,8m,1.0,0.5,2.0,1008,1008.0,0.05,5m,1.5,0.9,1.4000000000000001,24.0,648.0,0.025,8m,1.3,0.5,1.6,248.0,520.0,0.05,7m,1.5,0.9,1.8000000000000003,552.0,440.0,0.05,9m,1.1,1.4,1.6,208.0,80.0,0.05,8m,0.5,0.5,1.1,560.0,0.5,10,COMPLETE
12,12,-3.1895902983384463,2025-06-16 21:17:21.891126,2025-06-16 21:17:26.832199,0 days 00:00:04.941073,952.0,0.025,9m,0.5,0.5,2.0,1024.0,552.0,0.05,3m,1.2000000000000002,1.5,1.2000000000000002,24.0,536.0,0.025,8m,1.0,1.1,1.8000000000000003,32.0,640.0,0.05,7m,0.5,1.5,1.1,128.0,80,0.025,8m,0.8,0.7,1.8000000000000003,1024,832.0,0.05,5m,1.3,0.9,1.3,976.0,200.0,0.025,9m,0.6,0.5,1.5,816.0,520.0,0.05,7m,1.3,0.8,1.6,912.0,488.0,0.05,9m,1.1,1.5,1.8000000000000003,264.0,360.0,0.05,9m,0.5,0.7,1.1,568.0,0.15000000000000002,10,COMPLETE
13,13,-1.641291005773502,2025-06-16 21:17:26.854230,2025-06-16 21:17:30.412741,0 days 00:00:03.558511,808.0,0.025,9m,0.8,0.8,1.8000000000000003,632.0,568.0,0.05,3m,1.1,1.3,1.5,296.0,480.0,0.025,8m,0.8,1.5,1.8000000000000003,408.0,,,,,,,,416,0.025,8m,1.2000000000000002,0.5,2.0,776,816.0,0.05,4m,1.3,1.1,1.6,16.0,,,,,,,,672.0,0.05,7m,1.1,0.8,1.6,520.0,704.0,0.05,9m,1.3,1.1,1.4000000000000001,416.0,24.0,0.025,1m,1.0,0.9,1.3,392.0,0.5,8,COMPLETE
14,14,3.7071568282882117,2025-06-16 21:17:30.466147,2025-06-16 21:17:35.061185,0 days 00:00:04.595038,96.0,0.05,2m,0.9,0.7,1.8000000000000003,680.0,976.0,0.05,10m,1.5,1.3,1.3,272.0,640.0,0.025,9m,0.6,1.3,1.9000000000000001,384.0,448.0,0.025,6m,0.8,1.2000000000000002,1.3,488.0,872,0.025,9m,0.8,0.7,1.4000000000000001,312,824.0,0.05,5m,1.5,0.8,1.1,608.0,992.0,0.05,8m,1.5,1.4,2.0,40.0,384.0,0.05,1m,1.5,1.1,2.0,536.0,312.0,0.05,3m,0.9,0.5,1.5,16.0,392.0,0.05,8m,0.8,1.5,1.4000000000000001,704.0,0.15000000000000002,10,COMPLETE
15,15,3.1759749264006003,2025-06-16 21:17:35.085173,2025-06-16 21:17:38.369600,0 days 00:00:03.284427,,,,,,,,1024.0,0.025,10m,1.5,1.2000000000000002,1.7000000000000002,280.0,640.0,0.025,9m,0.5,1.3,1.7000000000000002,744.0,,,,,,,,984,0.025,9m,0.8,0.8,1.4000000000000001,24,432.0,0.05,7m,1.5,1.5,1.8000000000000003,640.0,,,,,,,,16.0,0.05,1m,1.0,1.1,2.0,448.0,216.0,0.05,3m,0.9,0.5,1.7000000000000002,16.0,,,,,,,,0.2,6,COMPLETE
16,16,-0.26735531403455515,2025-06-16 21:17:38.401961,2025-06-16 21:17:41.907096,0 days 00:00:03.505135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008,0.025,9m,0.8,0.9,1.4000000000000001,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
17,17,-0.705910989942547,2025-06-16 21:17:41.924092,2025-06-16 21:17:45.369769,0 days 00:00:03.445677,,,,,,,,1000.0,0.025,10m,1.5,1.2000000000000002,1.7000000000000002,304.0,640.0,0.025,9m,0.5,1.3,1.7000000000000002,776.0,,,,,,,,864,0.025,9m,0.8,1.1,1.4000000000000001,200,416.0,0.05,7m,1.2000000000000002,1.5,2.0,624.0,,,,,,,,24.0,0.05,1m,0.9,1.2000000000000002,2.0,160.0,224.0,0.05,3m,0.8,0.5,1.8000000000000003,32.0,,,,,,,,0.2,6,COMPLETE
18,18,-3.8107546144177076,2025-06-16 21:17:45.406650,2025-06-16 21:17:48.274838,0 days 00:00:02.868188,,,,,,,,1024.0,0.025,10m,1.5,1.2000000000000002,2.0,416.0,704.0,0.025,9m,0.6,1.3,1.6,984.0,,,,,,,,880,0.025,9m,0.7,0.8,1.4000000000000001,296,456.0,0.05,7m,0.8,1.5,1.8000000000000003,632.0,,,,,,,,160.0,0.05,1m,1.0,1.4,2.0,424.0,,,,,,,,,,,,,,,0.1,5,COMPLETE
19,19,-9.586465931793025,2025-06-16 21:17:48.300944,2025-06-16 21:17:52.341762,0 days 00:00:04.040818,,,,,,,,80.0,0.025,10m,1.3,1.3,1.7000000000000002,192.0,616.0,0.025,9m,0.6,1.2000000000000002,1.7000000000000002,712.0,,,,,,,,720,0.025,1m,0.9,1.0,1.2000000000000002,168,704.0,0.05,3m,1.2000000000000002,0.7,1.7000000000000002,744.0,,,,,,,,344.0,0.05,5m,1.2000000000000002,1.1,1.8000000000000003,464.0,56.0,0.05,3m,0.8,0.5,1.9000000000000001,40.0,552.0,0.025,6m,1.2000000000000002,1.5,1.5,56.0,0.25,7,COMPLETE
