,number,value,datetime_start,datetime_complete,duration,params_ABNB_NXPI_beta_win,params_ABNB_NXPI_stop_loss,params_ABNB_NXPI_trade_freq,params_ABNB_NXPI_z_entry,params_ABNB_NXPI_z_exit,params_ABNB_NXPI_z_stop_scaler,params_ABNB_NXPI_z_win,params_CTSH_MAR_beta_win,params_CTSH_MAR_stop_loss,params_CTSH_MAR_trade_freq,params_CTSH_MAR_z_entry,params_CTSH_MAR_z_exit,params_CTSH_MAR_z_stop_scaler,params_CTSH_MAR_z_win,params_DASH_KLAC_beta_win,params_DASH_KLAC_stop_loss,params_DASH_KLAC_trade_freq,params_DASH_KLAC_z_entry,params_DASH_KLAC_z_exit,params_DASH_KLAC_z_stop_scaler,params_DASH_KLAC_z_win,params_DASH_LRCX_beta_win,params_DASH_LRCX_stop_loss,params_DASH_LRCX_trade_freq,params_DASH_LRCX_z_entry,params_DASH_LRCX_z_exit,params_DASH_LRCX_z_stop_scaler,params_DASH_LRCX_z_win,params_DXCM_HON_beta_win,params_DXCM_HON_stop_loss,params_DXCM_HON_trade_freq,params_DXCM_HON_z_entry,params_DXCM_HON_z_exit,params_DXCM_HON_z_stop_scaler,params_DXCM_HON_z_win,params_GOOGL_VRSK_beta_win,params_GOOGL_VRSK_stop_loss,params_GOOGL_VRSK_trade_freq,params_GOOGL_VRSK_z_entry,params_GOOGL_VRSK_z_exit,params_GOOGL_VRSK_z_stop_scaler,params_GOOGL_VRSK_z_win,params_GOOG_VRSK_beta_win,params_GOOG_VRSK_stop_loss,params_GOOG_VRSK_trade_freq,params_GOOG_VRSK_z_entry,params_GOOG_VRSK_z_exit,params_GOOG_VRSK_z_stop_scaler,params_GOOG_VRSK_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_MU_CTAS_beta_win,params_MU_CTAS_stop_loss,params_MU_CTAS_trade_freq,params_MU_CTAS_z_entry,params_MU_CTAS_z_exit,params_MU_CTAS_z_stop_scaler,params_MU_CTAS_z_win,params_PYPL_GFS_beta_win,params_PYPL_GFS_stop_loss,params_PYPL_GFS_trade_freq,params_PYPL_GFS_z_entry,params_PYPL_GFS_z_exit,params_PYPL_GFS_z_stop_scaler,params_PYPL_GFS_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,-0.7261259965654611,2025-06-16 00:40:08.348725,2025-06-16 00:40:10.982295,0 days 00:00:02.633570,,,,,,,,264.0,0.025,6m,1.5,0.9,1.7000000000000002,480.0,936,0.025,6m,1.4,0.9,1.2000000000000002,624,432.0,0.025,4m,1.2000000000000002,1.4,1.8000000000000003,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
31,31,-0.8710879920269721,2025-06-16 00:40:11.048369,2025-06-16 00:40:16.749737,0 days 00:00:05.701368,464.0,0.025,4m,0.5,0.7,1.7000000000000002,408.0,480.0,0.025,5m,0.5,0.8,1.8000000000000003,584.0,680,0.025,6m,1.1,0.7,1.5,640,264.0,0.05,8m,1.3,1.2000000000000002,1.7000000000000002,384.0,680.0,0.025,8m,1.0,1.2000000000000002,1.2000000000000002,712.0,392.0,0.05,9m,1.1,0.7,1.3,312.0,,,,,,,,,,,,,,,,,,,,,,872.0,0.05,10m,0.8,1.0,1.9000000000000001,424.0,0.35000000000000003,7,COMPLETE
32,32,-3.455089306240564,2025-06-16 00:40:16.808935,2025-06-16 00:40:21.846358,0 days 00:00:05.037423,,,,,,,,520.0,0.025,5m,0.6,0.8,1.8000000000000003,576.0,928,0.025,6m,1.2000000000000002,0.8,1.5,872,328.0,0.05,8m,1.4,1.2000000000000002,1.7000000000000002,448.0,640.0,0.025,8m,0.9,1.1,1.1,776.0,544.0,0.05,9m,0.8,0.8,1.4000000000000001,344.0,,,,,,,,,,,,,,,,,,,,,,840.0,0.05,10m,0.9,0.8,1.6,600.0,0.35000000000000003,6,COMPLETE
33,33,-4.770034327213864,2025-06-16 00:40:21.929455,2025-06-16 00:40:27.601672,0 days 00:00:05.672217,360.0,0.025,7m,1.3,0.8,1.7000000000000002,472.0,376.0,0.025,2m,0.5,1.0,1.9000000000000001,776.0,752,0.025,6m,0.9,0.7,1.6,568,104.0,0.05,8m,1.3,1.0,1.9000000000000001,352.0,776.0,0.025,8m,0.9,1.1,1.2000000000000002,648.0,664.0,0.05,9m,0.7,0.6,1.3,256.0,,,,,,,,,,,,,,,,,,,,,,720.0,0.05,10m,0.6,1.0,1.8000000000000003,240.0,0.4,7,COMPLETE
34,34,-5.566737702708202,2025-06-16 00:40:27.681022,2025-06-16 00:40:34.179991,0 days 00:00:06.498969,640.0,0.025,3m,0.6,0.5,1.5,688.0,632.0,0.025,10m,0.6,0.9,1.6,624.0,640,0.025,10m,1.3,0.6,1.7000000000000002,688,200.0,0.05,6m,1.1,1.3,1.8000000000000003,112.0,896.0,0.025,8m,1.1,1.3,1.3,896.0,144.0,0.05,2m,0.6,0.8,1.1,456.0,,,,,,,,296.0,0.05,4m,1.2000000000000002,1.5,1.3,192.0,,,,,,,,912.0,0.05,6m,0.8,1.2000000000000002,1.4000000000000001,464.0,0.3,8,COMPLETE
35,35,-7.726005178346961,2025-06-16 00:40:34.244043,2025-06-16 00:40:39.314977,0 days 00:00:05.070934,,,,,,,,400.0,0.025,5m,0.7,0.7,1.9000000000000001,872.0,848,0.025,6m,1.1,0.7,1.6,936,376.0,0.05,3m,1.5,1.2000000000000002,2.0,248.0,528.0,0.025,7m,0.8,1.1,1.2000000000000002,784.0,568.0,0.05,4m,0.5,0.6,1.6,104.0,,,,,,,,,,,,,,,,,,,,,,776.0,0.05,9m,0.7,0.8,1.3,112.0,0.25,6,COMPLETE
36,36,-6.545354833425825,2025-06-16 00:40:39.377577,2025-06-16 00:40:46.926422,0 days 00:00:07.548845,1024.0,0.025,1m,1.4,0.8,1.9000000000000001,192.0,760.0,0.025,3m,0.5,0.9,1.8000000000000003,696.0,712,0.025,10m,1.0,1.0,1.3,464,72.0,0.05,8m,1.0,0.6,1.7000000000000002,464.0,120.0,0.025,6m,1.0,1.4,1.3,656.0,392.0,0.05,1m,1.0,1.1,1.8000000000000003,408.0,64.0,0.025,8m,1.1,0.8,1.8000000000000003,712.0,96.0,0.05,3m,1.5,1.2000000000000002,1.2000000000000002,152.0,,,,,,,,936.0,0.05,5m,0.9,1.1,1.9000000000000001,384.0,0.45,9,COMPLETE
37,37,-3.2035957605421452,2025-06-16 00:40:47.010695,2025-06-16 00:40:52.617236,0 days 00:00:05.606541,752.0,0.025,2m,1.1,1.4,1.7000000000000002,864.0,328.0,0.025,4m,1.2000000000000002,0.7,1.7000000000000002,512.0,808,0.025,6m,1.5,1.1,1.4000000000000001,784,288.0,0.05,10m,1.4,1.1,1.5,336.0,616.0,0.025,4m,1.1,0.9,1.1,576.0,512.0,0.05,6m,0.9,0.8,1.7000000000000002,192.0,,,,,,,,,,,,,,,,,,,,,,816.0,0.05,7m,1.5,0.6,1.7000000000000002,248.0,0.35000000000000003,7,COMPLETE
38,38,-3.276011909739732,2025-06-16 00:40:52.693749,2025-06-16 00:40:56.825508,0 days 00:00:04.131759,,,,,,,,912.0,0.025,5m,0.7,0.5,1.4000000000000001,448.0,944,0.05,5m,1.3,0.5,1.6,664,176.0,0.025,8m,1.5,1.4,1.8000000000000003,632.0,,,,,,,,728.0,0.05,9m,1.5,1.3,1.4000000000000001,280.0,,,,,,,,,,,,,,,,,,,,,,640.0,0.05,7m,0.6,0.9,2.0,528.0,0.3,5,COMPLETE
39,39,0.7944442996993212,2025-06-16 00:40:56.911133,2025-06-16 00:41:01.725983,0 days 00:00:04.814850,,,,,,,,192.0,0.025,10m,1.3,1.2000000000000002,1.5,288.0,288,0.025,7m,1.2000000000000002,0.9,1.5,472,440.0,0.05,6m,1.2000000000000002,1.5,1.6,408.0,736.0,0.025,10m,0.5,1.2000000000000002,1.4000000000000001,800.0,16.0,0.05,9m,1.1,0.9,1.5,472.0,,,,,,,,,,,,,,,,,,,,,,504.0,0.05,2m,1.0,1.2000000000000002,1.6,336.0,0.5,6,COMPLETE
40,40,-0.08485151881676993,2025-06-16 00:41:01.814039,2025-06-16 00:41:05.293376,0 days 00:00:03.479337,,,,,,,,136.0,0.025,10m,1.4,1.3,1.5,272.0,192,0.025,7m,1.3,1.2000000000000002,1.9000000000000001,488,464.0,0.025,3m,1.2000000000000002,1.5,1.4000000000000001,120.0,,,,,,,,224.0,0.05,10m,1.1,1.0,1.5,472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,4,COMPLETE
41,41,1.2116921621961192,2025-06-16 00:41:05.378451,2025-06-16 00:41:10.277796,0 days 00:00:04.899345,,,,,,,,176.0,0.025,10m,1.3,1.4,1.5,224.0,264,0.025,7m,1.2000000000000002,0.9,1.5,568,376.0,0.05,6m,1.3,1.3,1.6,512.0,712.0,0.025,10m,0.5,1.2000000000000002,1.4000000000000001,800.0,32.0,0.05,9m,1.2000000000000002,0.9,1.3,368.0,,,,,,,,,,,,,,,,,,,,,,472.0,0.05,2m,1.0,1.2000000000000002,1.6,280.0,0.5,6,COMPLETE
42,42,1.5617616771958855,2025-06-16 00:41:10.350009,2025-06-16 00:41:15.087555,0 days 00:00:04.737546,,,,,,,,208.0,0.025,10m,1.3,1.4,1.3,200.0,312,0.025,7m,1.2000000000000002,0.9,1.6,552,544.0,0.05,6m,1.2000000000000002,1.3,1.5,584.0,720.0,0.025,10m,0.5,1.2000000000000002,1.4000000000000001,840.0,48.0,0.05,9m,1.2000000000000002,0.9,1.5,520.0,,,,,,,,,,,,,,,,,,,,,,512.0,0.05,2m,1.0,1.2000000000000002,1.6,336.0,0.5,6,COMPLETE
43,43,1.3359960488511797,2025-06-16 00:41:15.179966,2025-06-16 00:41:20.088750,0 days 00:00:04.908784,,,,,,,,208.0,0.025,10m,1.3,1.4,1.3,216.0,296,0.025,7m,1.2000000000000002,1.0,1.6,576,592.0,0.05,6m,1.2000000000000002,1.3,1.5,592.0,720.0,0.025,10m,0.5,1.3,1.4000000000000001,912.0,32.0,0.05,9m,1.2000000000000002,0.9,1.6,528.0,,,,,,,,,,,,,,,,,,,,,,488.0,0.05,2m,1.2000000000000002,1.2000000000000002,1.6,184.0,0.5,6,COMPLETE
44,44,-0.7044949164501736,2025-06-16 00:41:20.167030,2025-06-16 00:41:23.338336,0 days 00:00:03.171306,,,,,,,,64.0,0.025,10m,1.3,1.4,1.3,216.0,144,0.025,7m,1.2000000000000002,1.0,1.6,584,576.0,0.05,6m,1.1,1.3,1.3,752.0,,,,,,,,88.0,0.05,9m,1.2000000000000002,0.9,1.9000000000000001,576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
45,45,-2.997199092289385,2025-06-16 00:41:23.414710,2025-06-16 00:41:27.441026,0 days 00:00:04.026316,,,,,,,,184.0,0.025,10m,1.4,1.5,1.3,80.0,288,0.025,7m,1.0,1.2000000000000002,1.7000000000000002,568,824.0,0.05,6m,0.6,1.3,1.5,608.0,,,,,,,,112.0,0.025,9m,1.2000000000000002,0.5,1.6,632.0,,,,,,,,,,,,,,,,,,,,,,352.0,0.05,2m,1.2000000000000002,1.2000000000000002,1.5,72.0,0.45,5,COMPLETE
46,46,-1.287486968740098,2025-06-16 00:41:27.511557,2025-06-16 00:41:32.524088,0 days 00:00:05.012531,,,,,,,,232.0,0.025,10m,1.3,1.4,1.3,152.0,376,0.025,7m,1.2000000000000002,1.0,1.6,432,544.0,0.05,6m,1.0,1.4,1.3,824.0,864.0,0.025,10m,0.5,1.4,2.0,936.0,216.0,0.05,8m,1.3,0.9,1.9000000000000001,520.0,,,,,,,,,,,,,,,,,,,,,,488.0,0.05,4m,1.3,1.1,1.6,184.0,0.5,6,COMPLETE
47,47,0.18401857895029067,2025-06-16 00:41:32.597621,2025-06-16 00:41:34.971135,0 days 00:00:02.373514,,,,,,,,80.0,0.025,10m,1.1,1.3,1.2000000000000002,192.0,424,0.05,7m,1.1,1.1,1.4000000000000001,544,648.0,0.05,6m,1.2000000000000002,1.4,1.5,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,3,COMPLETE
48,48,1.6607553582257806,2025-06-16 00:41:35.044755,2025-06-16 00:41:39.937527,0 days 00:00:04.892772,,,,,,,,296.0,0.05,2m,1.4,1.2000000000000002,1.4000000000000001,312.0,328,0.025,7m,1.0,0.8,1.6,520,624.0,0.05,6m,0.8,1.3,1.3,576.0,1016.0,0.025,10m,0.6,1.3,1.5,912.0,56.0,0.05,9m,1.4,1.0,1.7000000000000002,688.0,,,,,,,,,,,,,,,,,,,,,,576.0,0.025,2m,1.4,1.2000000000000002,1.5,192.0,0.5,6,COMPLETE
49,49,-0.5169748390943903,2025-06-16 00:41:40.018184,2025-06-16 00:41:44.007068,0 days 00:00:03.988884,,,,,,,,296.0,0.05,10m,1.3,1.2000000000000002,1.4000000000000001,360.0,312,0.025,7m,0.8,0.9,1.3,728,832.0,0.05,6m,1.1,1.3,1.3,576.0,,,,,,,,64.0,0.05,9m,1.4,1.0,1.7000000000000002,688.0,,,,,,,,,,,,,,,,,,,,,,584.0,0.025,2m,1.5,1.2000000000000002,1.5,168.0,0.5,5,COMPLETE
50,50,-2.4872632599904225,2025-06-16 00:41:44.082517,2025-06-16 00:41:48.681961,0 days 00:00:04.599444,,,,,,,,200.0,0.025,2m,1.4,1.4,1.3,296.0,104,0.025,7m,1.0,0.8,1.5,608,752.0,0.05,6m,1.3,1.3,1.2000000000000002,512.0,984.0,0.025,10m,0.6,1.3,1.6,912.0,160.0,0.05,9m,1.4,1.0,1.7000000000000002,808.0,,,,,,,,,,,,,,,,,,,,,,440.0,0.025,2m,1.4,1.4,1.6,1016.0,0.45,6,COMPLETE
51,51,-0.9196097632852694,2025-06-16 00:41:48.771369,2025-06-16 00:41:53.451192,0 days 00:00:04.679823,,,,,,,,152.0,0.05,2m,1.2000000000000002,1.3,1.2000000000000002,112.0,232,0.025,7m,1.2000000000000002,1.0,1.6,528,608.0,0.05,6m,0.8,1.3,1.4000000000000001,512.0,1016.0,0.025,10m,0.6,1.3,1.5,960.0,16.0,0.05,9m,1.3,1.1,1.6,728.0,,,,,,,,,,,,,,,,,,,,,,568.0,0.025,4m,1.4,1.4,1.7000000000000002,88.0,0.5,6,COMPLETE
52,52,0.3179510311818973,2025-06-16 00:41:53.512652,2025-06-16 00:41:59.756758,0 days 00:00:06.244106,904.0,0.05,5m,1.4,1.5,1.4000000000000001,920.0,256.0,0.05,2m,1.5,1.5,1.4000000000000001,232.0,328,0.025,7m,1.4,0.8,1.7000000000000002,432,520.0,0.05,6m,0.6,1.5,1.1,584.0,856.0,0.025,10m,0.5,1.5,1.4000000000000001,1016.0,64.0,0.05,2m,1.2000000000000002,1.0,1.5,920.0,,,,,,,,664.0,0.025,5m,1.3,1.0,1.8000000000000003,416.0,,,,,,,,200.0,0.025,2m,1.2000000000000002,1.1,1.4000000000000001,208.0,0.5,8,COMPLETE
53,53,-5.930448631873109,2025-06-16 00:41:59.823177,2025-06-16 00:42:03.005254,0 days 00:00:03.182077,,,,,,,,312.0,0.05,1m,1.4,1.4,1.4000000000000001,328.0,200,0.025,2m,1.1,0.9,1.6,336,696.0,0.05,4m,0.5,1.2000000000000002,1.6,536.0,,,,,,,,192.0,0.05,6m,1.0,0.9,1.8000000000000003,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
54,54,-4.856361913454017,2025-06-16 00:42:03.074986,2025-06-16 00:42:07.056145,0 days 00:00:03.981159,,,,,,,,112.0,0.05,3m,1.4,1.3,1.5,120.0,408,0.025,4m,0.9,0.8,1.6,512,568.0,0.025,2m,0.7,0.6,1.2000000000000002,672.0,,,,,,,,264.0,0.05,9m,1.3,0.7,1.7000000000000002,360.0,,,,,,,,,,,,,,,,,,,,,,336.0,0.05,2m,0.5,1.3,1.5,304.0,0.4,5,COMPLETE
55,55,-9.55115458953191,2025-06-16 00:42:07.125073,2025-06-16 00:42:12.517686,0 days 00:00:05.392613,896.0,0.05,6m,1.2000000000000002,1.3,1.9000000000000001,680.0,416.0,0.05,4m,1.1,1.5,1.3,48.0,56,0.025,3m,1.1,0.8,1.5,328,480.0,0.05,1m,0.8,1.4,1.4000000000000001,816.0,720.0,0.025,10m,0.6,1.4,1.5,744.0,128.0,0.05,4m,1.2000000000000002,0.9,2.0,568.0,,,,,,,,,,,,,,,,,,,,,,536.0,0.05,2m,1.1,0.9,1.7000000000000002,24.0,0.5,7,COMPLETE
56,56,-1.240433337837282,2025-06-16 00:42:12.603957,2025-06-16 00:42:17.283273,0 days 00:00:04.679316,,,,,,,,232.0,0.05,7m,1.2000000000000002,1.2000000000000002,1.6,256.0,464,0.025,9m,1.0,1.5,1.4000000000000001,544,384.0,0.05,5m,0.9,1.3,1.5,592.0,760.0,0.025,10m,0.5,1.2000000000000002,1.4000000000000001,888.0,64.0,0.05,3m,1.4,1.1,1.6,656.0,,,,,,,,,,,,,,,,,,,,,,448.0,0.05,6m,1.0,1.2000000000000002,1.3,136.0,0.45,6,COMPLETE
57,57,-2.8484710878881407,2025-06-16 00:42:17.347948,2025-06-16 00:42:22.590866,0 days 00:00:05.242918,576.0,0.05,8m,1.4,1.2000000000000002,2.0,680.0,48.0,0.05,2m,1.3,1.1,1.4000000000000001,192.0,248,0.025,1m,1.2000000000000002,1.0,1.7000000000000002,408,1016.0,0.05,10m,1.2000000000000002,0.8,1.6,728.0,584.0,0.025,10m,0.7,1.3,1.6,736.0,104.0,0.05,7m,1.1,0.7,1.4000000000000001,416.0,,,,,,,,,,,,,,,,,,,,,,256.0,0.025,4m,1.4,1.1,1.1,576.0,0.5,7,COMPLETE
58,58,-21.126056652859763,2025-06-16 00:42:22.675088,2025-06-16 00:42:28.705225,0 days 00:00:06.030137,736.0,0.05,10m,1.2000000000000002,1.4,1.3,944.0,352.0,0.025,9m,1.5,1.4,1.2000000000000002,408.0,152,0.025,8m,0.6,0.9,1.5,672,920.0,0.025,9m,0.7,1.2000000000000002,1.3,496.0,488.0,0.025,1m,0.7,0.6,1.4000000000000001,976.0,264.0,0.025,6m,1.4,0.8,1.9000000000000001,760.0,,,,,,,,408.0,0.05,7m,1.0,0.5,1.8000000000000003,736.0,,,,,,,,392.0,0.05,8m,1.2000000000000002,1.0,1.6,296.0,0.4,8,COMPLETE
59,59,0.544535951700669,2025-06-16 00:42:28.786068,2025-06-16 00:42:33.517378,0 days 00:00:04.731310,,,,,,,,112.0,0.05,10m,1.3,1.2000000000000002,1.1,152.0,352,0.025,7m,1.0,0.9,1.7000000000000002,592,656.0,0.05,3m,1.0,0.7,1.5,624.0,928.0,0.025,2m,0.5,1.0,1.5,888.0,608.0,0.05,8m,1.2000000000000002,1.2000000000000002,1.5,208.0,,,,,,,,,,,,,,,,,,,,,,600.0,0.05,2m,1.1,1.3,1.7000000000000002,192.0,0.45,6,COMPLETE
60,60,-3.3018375759690035,2025-06-16 00:42:33.593149,2025-06-16 00:42:40.419024,0 days 00:00:06.825875,832.0,0.05,7m,1.5,0.6,1.4000000000000001,944.0,160.0,0.025,6m,1.0,1.5,1.5,304.0,528,0.025,7m,1.2000000000000002,0.6,1.8000000000000003,280,744.0,0.05,6m,1.4,0.5,2.0,672.0,816.0,0.025,5m,0.6,1.2000000000000002,1.6,800.0,40.0,0.05,9m,1.3,1.0,1.4000000000000001,576.0,736.0,0.025,3m,1.5,0.5,2.0,648.0,168.0,0.025,10m,1.3,1.2000000000000002,1.3,1016.0,,,,,,,,488.0,0.05,1m,1.3,1.2000000000000002,1.5,808.0,0.5,9,COMPLETE
61,61,-0.7116842210186249,2025-06-16 00:42:40.488973,2025-06-16 00:42:45.206310,0 days 00:00:04.717337,,,,,,,,200.0,0.025,10m,1.3,1.0,1.5,232.0,288,0.025,7m,1.3,0.9,1.5,480,440.0,0.05,6m,1.3,1.5,1.6,392.0,744.0,0.025,10m,0.5,1.2000000000000002,1.4000000000000001,800.0,16.0,0.05,9m,1.1,0.9,1.5,488.0,,,,,,,,,,,,,,,,,,,,,,528.0,0.05,2m,1.0,1.2000000000000002,1.6,320.0,0.5,6,COMPLETE
62,62,0.45176525951261726,2025-06-16 00:42:45.288131,2025-06-16 00:42:49.606944,0 days 00:00:04.318813,,,,,,,,296.0,0.025,10m,1.4,1.3,1.5,280.0,280,0.025,7m,1.2000000000000002,1.1,1.6,456,360.0,0.05,6m,1.2000000000000002,1.5,1.6,544.0,,,,,,,,168.0,0.05,9m,1.1,0.9,1.6,440.0,,,,,,,,,,,,,,,,,,,,,,496.0,0.05,2m,1.1,1.3,1.6,368.0,0.5,5,COMPLETE
63,63,0.6488915943148272,2025-06-16 00:42:49.671483,2025-06-16 00:43:01.510446,0 days 00:00:11.838963,,,,,,,,224.0,0.025,10m,1.2000000000000002,1.1,1.6,344.0,376,0.025,7m,1.1,0.9,1.5,384,400.0,0.05,6m,1.1,1.4,1.4000000000000001,416.0,688.0,0.025,10m,0.6,1.2000000000000002,1.4000000000000001,848.0,80.0,0.05,9m,1.0,0.8,1.5,376.0,,,,,,,,,,,,,,,,,,,,,,424.0,0.05,2m,1.0,1.1,1.7000000000000002,264.0,0.45,6,COMPLETE
64,64,-3.6903697175151193,2025-06-16 00:43:01.655618,2025-06-16 00:43:11.042406,0 days 00:00:09.386788,,,,,,,,184.0,0.025,2m,1.3,1.2000000000000002,1.3,208.0,224,0.025,2m,1.3,0.8,1.4000000000000001,496,512.0,0.05,6m,1.2000000000000002,1.5,1.9000000000000001,488.0,,,,,,,,16.0,0.05,9m,1.1,1.0,1.2000000000000002,512.0,,,,,,,,,,,,,,,,,,,,,,352.0,0.05,9m,0.9,1.2000000000000002,1.5,656.0,0.15000000000000002,5,COMPLETE
65,65,-0.3857556899218329,2025-06-16 00:43:11.144624,2025-06-16 00:43:16.949734,0 days 00:00:05.805110,680.0,0.05,7m,1.3,1.3,1.6,896.0,272.0,0.025,10m,1.5,0.9,1.4000000000000001,392.0,312,0.025,7m,1.2000000000000002,1.0,1.6,552,600.0,0.05,3m,0.6,1.4,1.5,424.0,656.0,0.025,10m,0.5,1.3,1.5,760.0,40.0,0.05,6m,1.2000000000000002,1.1,1.6,888.0,,,,,,,,,,,,,,,,,,,,,,616.0,0.05,3m,0.5,1.1,1.6,432.0,0.5,7,COMPLETE
66,66,-7.769190138508999,2025-06-16 00:43:17.015340,2025-06-16 00:43:22.210786,0 days 00:00:05.195446,952.0,0.05,2m,1.1,1.1,1.9000000000000001,40.0,88.0,0.025,10m,1.4,1.4,1.4000000000000001,152.0,160,0.025,4m,1.2000000000000002,0.8,1.5,512,544.0,0.05,6m,1.3,1.3,1.7000000000000002,368.0,576.0,0.025,9m,0.5,1.4,1.3,984.0,136.0,0.05,9m,0.9,1.3,1.8000000000000003,544.0,,,,,,,,,,,,,,,,,,,,,,304.0,0.05,5m,1.0,1.3,1.8000000000000003,336.0,0.4,7,COMPLETE
67,67,-6.390572003390186,2025-06-16 00:43:22.292476,2025-06-16 00:43:27.012583,0 days 00:00:04.720107,,,,,,,,144.0,0.025,1m,1.1,0.8,1.5,1024.0,440,0.025,10m,1.1,1.0,1.6,608,312.0,0.05,1m,1.1,1.5,1.6,320.0,720.0,0.025,10m,0.6,0.9,1.4000000000000001,816.0,96.0,0.05,1m,1.0,0.9,1.5,344.0,,,,,,,,,,,,,,,,,,,,,,560.0,0.05,2m,1.1,1.4,2.0,152.0,0.45,6,COMPLETE
68,68,-53.70596236059312,2025-06-16 00:43:27.075984,2025-06-16 00:43:31.724405,0 days 00:00:04.648421,,,,,,,,24.0,0.05,2m,1.4,1.0,1.6,88.0,488,0.025,3m,1.1,0.9,1.4000000000000001,216,240.0,0.05,2m,1.3,1.4,1.9000000000000001,552.0,824.0,0.025,1m,0.7,1.2000000000000002,1.3,64.0,472.0,0.05,10m,1.2000000000000002,1.0,1.4000000000000001,616.0,,,,,,,,,,,,,,,,,,,,,,504.0,0.05,2m,0.7,1.1,1.4000000000000001,56.0,0.5,6,COMPLETE
69,69,-29.293884495668472,2025-06-16 00:43:31.799952,2025-06-16 00:43:37.295599,0 days 00:00:05.495647,568.0,0.05,1m,0.9,0.9,1.2000000000000002,216.0,440.0,0.025,10m,1.2000000000000002,1.3,2.0,544.0,568,0.025,5m,0.9,1.4,1.5,448,456.0,0.025,4m,1.2000000000000002,1.2000000000000002,1.6,488.0,600.0,0.025,10m,0.5,1.1,1.4000000000000001,856.0,632.0,0.05,9m,0.6,0.8,1.7000000000000002,256.0,,,,,,,,,,,,,,,,,,,,,,704.0,0.025,4m,1.2000000000000002,1.0,1.6,496.0,0.45,7,COMPLETE
70,70,-4.110363154024363,2025-06-16 00:43:37.381436,2025-06-16 00:43:43.668721,0 days 00:00:06.287285,216.0,0.05,5m,0.6,1.5,1.6,976.0,640.0,0.025,7m,1.3,1.4,1.3,432.0,112,0.025,9m,1.2000000000000002,0.8,1.7000000000000002,352,400.0,0.05,5m,1.4,1.4,1.5,640.0,744.0,0.025,6m,1.2000000000000002,1.3,1.5,912.0,432.0,0.05,7m,1.3,0.6,1.6,448.0,,,,,,,,624.0,0.05,4m,1.1,1.0,1.1,464.0,,,,,,,,456.0,0.05,2m,0.8,0.9,1.5,224.0,0.5,8,COMPLETE
71,71,0.6304910740344516,2025-06-16 00:43:43.735203,2025-06-16 00:43:49.116246,0 days 00:00:05.381043,120.0,0.025,4m,0.8,1.2000000000000002,1.8000000000000003,384.0,824.0,0.025,9m,1.3,1.5,2.0,648.0,352,0.025,10m,1.3,0.7,1.8000000000000003,96,56.0,0.05,7m,1.5,1.1,1.8000000000000003,16.0,280.0,0.025,3m,0.5,1.2000000000000002,1.3,832.0,968.0,0.05,5m,0.7,1.4,1.3,136.0,,,,,,,,,,,,,,,,,,,,,,680.0,0.05,2m,1.0,1.3,1.9000000000000001,344.0,0.5,7,COMPLETE
72,72,-1.175074115806775,2025-06-16 00:43:49.219540,2025-06-16 00:43:54.135696,0 days 00:00:04.916156,,,,,,,,904.0,0.025,8m,1.0,1.4,1.9000000000000001,248.0,264,0.025,10m,1.3,0.7,1.8000000000000003,808,168.0,0.05,7m,1.2000000000000002,1.1,1.9000000000000001,208.0,112.0,0.025,3m,0.6,1.1,1.3,704.0,800.0,0.05,3m,0.8,1.5,1.2000000000000002,384.0,,,,,,,,,,,,,,,,,,,,,,536.0,0.05,2m,0.9,1.2000000000000002,1.8000000000000003,272.0,0.5,6,COMPLETE
73,73,-5.278386539757604,2025-06-16 00:43:54.203944,2025-06-16 00:43:59.868908,0 days 00:00:05.664964,264.0,0.025,10m,0.9,1.0,1.9000000000000001,240.0,712.0,0.025,8m,0.6,1.3,2.0,776.0,208,0.025,10m,1.4,0.7,1.7000000000000002,16,320.0,0.05,7m,1.4,1.0,2.0,152.0,376.0,0.025,4m,1.2000000000000002,1.2000000000000002,1.4000000000000001,872.0,48.0,0.05,5m,0.5,0.9,1.3,64.0,,,,,,,,,,,,,,,,,,,,,,752.0,0.05,10m,0.6,1.4,1.9000000000000001,376.0,0.45,7,COMPLETE
