,number,value,datetime_start,datetime_complete,duration,params_ABNB_NXPI_beta_win,params_ABNB_NXPI_stop_loss,params_ABNB_NXPI_trade_freq,params_ABNB_NXPI_z_entry,params_ABNB_NXPI_z_exit,params_ABNB_NXPI_z_stop_scaler,params_ABNB_NXPI_z_win,params_CTSH_MAR_beta_win,params_CTSH_MAR_stop_loss,params_CTSH_MAR_trade_freq,params_CTSH_MAR_z_entry,params_CTSH_MAR_z_exit,params_CTSH_MAR_z_stop_scaler,params_CTSH_MAR_z_win,params_DASH_KLAC_beta_win,params_DASH_KLAC_stop_loss,params_DASH_KLAC_trade_freq,params_DASH_KLAC_z_entry,params_DASH_KLAC_z_exit,params_DASH_KLAC_z_stop_scaler,params_DASH_KLAC_z_win,params_DASH_LRCX_beta_win,params_DASH_LRCX_stop_loss,params_DASH_LRCX_trade_freq,params_DASH_LRCX_z_entry,params_DASH_LRCX_z_exit,params_DASH_LRCX_z_stop_scaler,params_DASH_LRCX_z_win,params_DXCM_HON_beta_win,params_DXCM_HON_stop_loss,params_DXCM_HON_trade_freq,params_DXCM_HON_z_entry,params_DXCM_HON_z_exit,params_DXCM_HON_z_stop_scaler,params_DXCM_HON_z_win,params_GOOGL_VRSK_beta_win,params_GOOGL_VRSK_stop_loss,params_GOOGL_VRSK_trade_freq,params_GOOGL_VRSK_z_entry,params_GOOGL_VRSK_z_exit,params_GOOGL_VRSK_z_stop_scaler,params_GOOGL_VRSK_z_win,params_GOOG_VRSK_beta_win,params_GOOG_VRSK_stop_loss,params_GOOG_VRSK_trade_freq,params_GOOG_VRSK_z_entry,params_GOOG_VRSK_z_exit,params_GOOG_VRSK_z_stop_scaler,params_GOOG_VRSK_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_MU_CTAS_beta_win,params_MU_CTAS_stop_loss,params_MU_CTAS_trade_freq,params_MU_CTAS_z_entry,params_MU_CTAS_z_exit,params_MU_CTAS_z_stop_scaler,params_MU_CTAS_z_win,params_PYPL_GFS_beta_win,params_PYPL_GFS_stop_loss,params_PYPL_GFS_trade_freq,params_PYPL_GFS_z_entry,params_PYPL_GFS_z_exit,params_PYPL_GFS_z_stop_scaler,params_PYPL_GFS_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-3.997973895736018,2025-06-16 00:37:58.955077,2025-06-16 00:38:06.247922,0 days 00:00:07.292845,840.0,0.05,7m,1.5,1.5,2.0,1024.0,632.0,0.025,2m,1.1,1.5,2.0,48.0,24,0.025,10m,1.0,0.8,2.0,1000,88.0,0.05,3m,0.5,0.5,1.9000000000000001,40.0,40.0,0.05,8m,1.5,0.5,1.1,48.0,760.0,0.05,6m,0.7,1.5,2.0,32.0,1016.0,0.025,2m,1.5,0.5,2.0,1000.0,48.0,0.025,5m,1.5,0.5,1.1,48.0,632.0,0.025,8m,1.3,0.5,1.6,272.0,24.0,0.05,4m,0.5,1.3,2.0,576.0,0.5,10,COMPLETE
11,11,-7.238858403748188,2025-06-16 00:38:06.323969,2025-06-16 00:38:12.072042,0 days 00:00:05.748073,80.0,0.05,8m,1.5,0.5,1.2000000000000002,576.0,440.0,0.05,8m,0.9,1.0,2.0,104.0,96,0.025,8m,1.2000000000000002,0.6,1.8000000000000003,280,16.0,0.05,7m,1.5,0.8,2.0,328.0,384.0,0.05,9m,1.2000000000000002,0.7,1.5,312.0,896.0,0.05,5m,1.5,0.9,1.9000000000000001,576.0,,,,,,,,1000.0,0.025,9m,0.6,0.7,2.0,640.0,,,,,,,,576.0,0.05,3m,1.3,1.5,1.5,48.0,0.15000000000000002,8,COMPLETE
12,12,-6.05641877357025,2025-06-16 00:38:12.142646,2025-06-16 00:38:19.167406,0 days 00:00:07.024760,592.0,0.05,6m,1.1,1.1,1.1,608.0,464.0,0.05,2m,0.6,0.9,1.8000000000000003,400.0,184,0.025,3m,1.2000000000000002,0.7,1.8000000000000003,320,488.0,0.05,9m,1.1,0.8,1.7000000000000002,544.0,552.0,0.05,6m,1.5,1.4,1.4000000000000001,408.0,792.0,0.05,3m,1.3,1.0,1.7000000000000002,104.0,536.0,0.05,7m,0.5,1.5,1.1,24.0,536.0,0.025,2m,0.8,0.9,1.1,264.0,72.0,0.05,2m,0.5,1.5,1.1,1016.0,464.0,0.05,8m,0.5,1.1,2.0,184.0,0.45,10,COMPLETE
13,13,-13.486003546215244,2025-06-16 00:38:19.404824,2025-06-16 00:38:25.495822,0 days 00:00:06.090998,504.0,0.025,1m,1.0,1.4,1.4000000000000001,136.0,776.0,0.05,8m,0.9,1.2000000000000002,1.8000000000000003,400.0,472,0.025,8m,0.9,0.5,1.4000000000000001,808,528.0,0.05,7m,1.3,0.9,1.6,200.0,24.0,0.05,9m,1.1,0.9,1.4000000000000001,600.0,456.0,0.05,4m,0.5,1.2000000000000002,1.8000000000000003,608.0,,,,,,,,496.0,0.025,5m,1.1,0.9,2.0,968.0,,,,,,,,544.0,0.05,3m,1.1,1.1,1.7000000000000002,336.0,0.2,8,COMPLETE
14,14,-7.284265777393914,2025-06-16 00:38:25.578000,2025-06-16 00:38:30.340552,0 days 00:00:04.762552,,,,,,,,352.0,0.05,7m,1.1,0.9,1.9000000000000001,152.0,776,0.025,9m,0.8,0.7,1.7000000000000002,80,184.0,0.05,3m,0.9,0.7,1.8000000000000003,520.0,312.0,0.025,4m,1.4,0.5,1.7000000000000002,1016.0,744.0,0.05,5m,0.8,0.8,1.4000000000000001,240.0,,,,,,,,,,,,,,,,,,,,,,304.0,0.05,1m,0.7,1.5,1.3,704.0,0.2,6,COMPLETE
15,15,-7.165980737501227,2025-06-16 00:38:30.422841,2025-06-16 00:38:36.620259,0 days 00:00:06.197418,400.0,0.05,9m,0.5,0.8,2.0,752.0,592.0,0.05,9m,0.7,1.1,1.7000000000000002,336.0,456,0.025,1m,1.2000000000000002,1.1,1.4000000000000001,376,696.0,0.025,1m,1.0,1.1,1.4000000000000001,888.0,792.0,0.025,2m,1.0,1.2000000000000002,1.3,240.0,1000.0,0.05,6m,1.3,1.1,1.6,1016.0,,,,,,,,984.0,0.05,10m,1.1,0.6,1.5,576.0,,,,,,,,992.0,0.025,9m,1.1,0.9,1.7000000000000002,304.0,0.4,8,COMPLETE
16,16,-2.7813903356732794,2025-06-16 00:38:36.680145,2025-06-16 00:38:43.150820,0 days 00:00:06.470675,768.0,0.05,7m,1.2000000000000002,1.3,1.5,792.0,16.0,0.05,6m,1.0,0.8,2.0,24.0,240,0.025,8m,1.1,0.9,1.5,704,376.0,0.05,5m,0.5,0.5,2.0,568.0,216.0,0.05,5m,1.3,0.7,1.8000000000000003,520.0,464.0,0.05,7m,1.2000000000000002,1.0,2.0,376.0,600.0,0.05,7m,0.5,1.4,1.2000000000000002,344.0,232.0,0.025,9m,0.6,1.2000000000000002,1.6,336.0,,,,,,,,104.0,0.05,5m,0.7,0.5,1.2000000000000002,728.0,0.05,9,COMPLETE
17,17,0.7414762401980765,2025-06-16 00:38:43.217314,2025-06-16 00:38:48.858829,0 days 00:00:05.641515,344.0,0.025,4m,0.9,1.0,1.7000000000000002,400.0,832.0,0.025,8m,0.5,1.4,1.9000000000000001,688.0,928,0.025,10m,1.3,0.7,1.8000000000000003,152,200.0,0.05,7m,1.5,1.1,1.8000000000000003,176.0,424.0,0.025,3m,1.0,1.2000000000000002,1.3,824.0,856.0,0.05,5m,0.8,1.5,1.3,144.0,,,,,,,,,,,,,,,,,,,,,,680.0,0.05,2m,1.0,1.3,1.8000000000000003,352.0,0.5,7,COMPLETE
18,18,-2.3605783304950614,2025-06-16 00:38:48.927957,2025-06-16 00:38:54.362717,0 days 00:00:05.434760,320.0,0.025,4m,1.3,0.7,1.8000000000000003,320.0,864.0,0.025,2m,0.5,1.4,1.7000000000000002,736.0,992,0.025,10m,0.8,1.4,1.8000000000000003,168,152.0,0.025,3m,1.2000000000000002,0.9,1.8000000000000003,192.0,696.0,0.025,3m,0.9,1.5,1.2000000000000002,840.0,632.0,0.05,6m,0.7,1.5,1.4000000000000001,144.0,,,,,,,,,,,,,,,,,,,,,,712.0,0.05,2m,1.3,1.3,1.9000000000000001,432.0,0.5,7,COMPLETE
19,19,-1.6862720632886734,2025-06-16 00:38:54.441789,2025-06-16 00:38:58.358500,0 days 00:00:03.916711,,,,,,,,1024.0,0.025,1m,1.5,1.5,1.9000000000000001,976.0,920,0.025,10m,1.4,0.8,2.0,40,16.0,0.05,1m,0.9,0.7,1.8000000000000003,176.0,,,,,,,,832.0,0.025,7m,0.5,1.4,1.3,248.0,,,,,,,,,,,,,,,,,,,,,,768.0,0.025,10m,0.6,1.3,1.8000000000000003,656.0,0.45,5,COMPLETE
