,number,value,datetime_start,datetime_complete,duration,params_AMAT_META_beta_win,params_AMAT_META_stop_loss,params_AMAT_META_trade_freq,params_AMAT_META_z_entry,params_AMAT_META_z_exit,params_AMAT_META_z_stop_scaler,params_AMAT_META_z_win,params_AMAT_NVDA_beta_win,params_AMAT_NVDA_stop_loss,params_AMAT_NVDA_trade_freq,params_AMAT_NVDA_z_entry,params_AMAT_NVDA_z_exit,params_AMAT_NVDA_z_stop_scaler,params_AMAT_NVDA_z_win,params_AMZN_KLAC_beta_win,params_AMZN_KLAC_stop_loss,params_AMZN_KLAC_trade_freq,params_AMZN_KLAC_z_entry,params_AMZN_KLAC_z_exit,params_AMZN_KLAC_z_stop_scaler,params_AMZN_KLAC_z_win,params_AZN_MRNA_beta_win,params_AZN_MRNA_stop_loss,params_AZN_MRNA_trade_freq,params_AZN_MRNA_z_entry,params_AZN_MRNA_z_exit,params_AZN_MRNA_z_stop_scaler,params_AZN_MRNA_z_win,params_AZN_VRSK_beta_win,params_AZN_VRSK_stop_loss,params_AZN_VRSK_trade_freq,params_AZN_VRSK_z_entry,params_AZN_VRSK_z_exit,params_AZN_VRSK_z_stop_scaler,params_AZN_VRSK_z_win,params_DASH_LIN_beta_win,params_DASH_LIN_stop_loss,params_DASH_LIN_trade_freq,params_DASH_LIN_z_entry,params_DASH_LIN_z_exit,params_DASH_LIN_z_stop_scaler,params_DASH_LIN_z_win,params_DASH_PCAR_beta_win,params_DASH_PCAR_stop_loss,params_DASH_PCAR_trade_freq,params_DASH_PCAR_z_entry,params_DASH_PCAR_z_exit,params_DASH_PCAR_z_stop_scaler,params_DASH_PCAR_z_win,params_KLAC_NFLX_beta_win,params_KLAC_NFLX_stop_loss,params_KLAC_NFLX_trade_freq,params_KLAC_NFLX_z_entry,params_KLAC_NFLX_z_exit,params_KLAC_NFLX_z_stop_scaler,params_KLAC_NFLX_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_NVDA_ORLY_beta_win,params_NVDA_ORLY_stop_loss,params_NVDA_ORLY_trade_freq,params_NVDA_ORLY_z_entry,params_NVDA_ORLY_z_exit,params_NVDA_ORLY_z_stop_scaler,params_NVDA_ORLY_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-2.577796821489562,2025-06-16 00:38:26.658883,2025-06-16 00:38:27.599610,0 days 00:00:00.940727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.05,7m,0.8,1.3,1.1,48,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
11,11,4.390942423055374,2025-06-16 00:38:27.655761,2025-06-16 00:38:33.111351,0 days 00:00:05.455590,848.0,0.05,7m,1.5,1.5,2.0,1024.0,,,,,,,,40.0,0.05,8m,1.5,0.5,1.2000000000000002,120.0,,,,,,,,,,,,,,,648.0,0.025,6m,0.5,1.4,1.9000000000000001,96.0,312,0.025,1m,1.0,1.2000000000000002,2.0,984,1008.0,0.025,3m,1.2000000000000002,0.5,2.0,120.0,576.0,0.025,2m,1.1,1.5,2.0,48.0,768.0,0.05,4m,0.5,1.2000000000000002,2.0,576.0,0.45,7,COMPLETE
12,12,-55.14197364297406,2025-06-16 00:38:33.176559,2025-06-16 00:38:37.156178,0 days 00:00:03.979619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752.0,0.025,8m,1.2000000000000002,1.5,2.0,72.0,408,0.025,1m,0.8,1.2000000000000002,2.0,960,992.0,0.05,2m,1.2000000000000002,0.8,2.0,120.0,544.0,0.025,5m,1.1,1.5,1.7000000000000002,24.0,1008.0,0.05,1m,0.5,1.4,2.0,24.0,0.45,5,COMPLETE
13,13,-3.146569839716058,2025-06-16 00:38:37.220033,2025-06-16 00:38:41.749433,0 days 00:00:04.529400,,,,,,,,,,,,,,,16.0,0.05,6m,1.0,0.5,1.2000000000000002,72.0,,,,,,,,,,,,,,,416.0,0.025,3m,0.8,1.5,1.7000000000000002,624.0,112,0.05,1m,0.8,1.4,1.8000000000000003,1016,1016.0,0.025,5m,1.2000000000000002,0.8,1.7000000000000002,536.0,424.0,0.025,9m,1.0,1.4,1.7000000000000002,40.0,680.0,0.025,9m,1.4,1.2000000000000002,1.7000000000000002,720.0,0.2,6,COMPLETE
14,14,-0.3394663337106891,2025-06-16 00:38:41.814706,2025-06-16 00:38:49.423175,0 days 00:00:07.608469,608.0,0.025,7m,1.4,1.5,1.3,640.0,56.0,0.05,4m,0.5,1.4,1.1,992.0,656.0,0.05,5m,1.5,1.5,1.5,48.0,360.0,0.025,2m,0.8,0.8,1.4000000000000001,488.0,952.0,0.025,6m,1.5,0.5,2.0,1016.0,504.0,0.025,7m,1.2000000000000002,1.2000000000000002,1.8000000000000003,600.0,424,0.025,9m,1.0,1.1,1.3,816,816.0,0.025,2m,1.1,0.5,1.4000000000000001,920.0,552.0,0.025,5m,1.2000000000000002,1.2000000000000002,2.0,152.0,656.0,0.05,2m,1.2000000000000002,1.2000000000000002,1.8000000000000003,312.0,0.5,10,COMPLETE
15,15,0.6669982796377478,2025-06-16 00:38:49.478877,2025-06-16 00:38:54.902367,0 days 00:00:05.423490,536.0,0.05,4m,1.2000000000000002,0.5,2.0,128.0,,,,,,,,360.0,0.05,10m,1.1,0.5,1.8000000000000003,312.0,,,,,,,,,,,,,,,776.0,0.025,6m,0.5,1.3,1.4000000000000001,32.0,192,0.05,3m,0.7,1.0,1.4000000000000001,104,880.0,0.025,3m,1.3,1.5,1.8000000000000003,496.0,248.0,0.025,2m,1.1,0.5,1.5,376.0,40.0,0.025,5m,0.7,1.2000000000000002,1.5,744.0,0.25,7,COMPLETE
16,16,-2.575753948519158,2025-06-16 00:38:54.997210,2025-06-16 00:38:58.917509,0 days 00:00:03.920299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520.0,0.025,4m,1.2000000000000002,1.0,1.6,960.0,464,0.05,7m,1.1,1.2000000000000002,2.0,272,640.0,0.05,9m,1.0,1.3,1.4000000000000001,792.0,640.0,0.025,7m,0.9,1.1,1.1,136.0,1016.0,0.05,10m,1.2000000000000002,0.5,1.1,320.0,0.4,5,COMPLETE
17,17,-12.44676467772343,2025-06-16 00:38:58.982688,2025-06-16 00:39:01.469447,0 days 00:00:02.486759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,0.025,1m,0.6,1.4,1.4000000000000001,808,968.0,0.025,1m,1.0,0.9,2.0,192.0,440.0,0.025,6m,1.2000000000000002,1.5,1.8000000000000003,368.0,,,,,,,,0.35000000000000003,3,COMPLETE
18,18,-0.8783316818603281,2025-06-16 00:39:01.533387,2025-06-16 00:39:06.785697,0 days 00:00:05.252310,1016.0,0.025,8m,1.1,1.5,1.6,768.0,,,,,,,,808.0,0.05,4m,0.5,1.3,1.3,248.0,,,,,,,,,,,,,,,720.0,0.025,6m,0.8,1.4,2.0,672.0,856,0.05,3m,1.0,1.1,1.8000000000000003,192,744.0,0.025,2m,1.3,1.2000000000000002,1.7000000000000002,472.0,24.0,0.025,2m,1.3,0.8,1.3,248.0,824.0,0.05,8m,0.5,1.3,2.0,88.0,0.45,7,COMPLETE
19,19,1.4155894455594236,2025-06-16 00:39:06.855309,2025-06-16 00:39:09.959421,0 days 00:00:03.104112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856.0,0.025,8m,0.7,1.1,1.3,336.0,112,0.025,9m,0.9,1.5,1.2000000000000002,664,472.0,0.05,3m,0.9,0.7,1.3,704.0,264.0,0.025,5m,1.0,0.5,1.6,96.0,,,,,,,,0.25,4,COMPLETE
20,20,-3.348213484879611,2025-06-16 00:39:10.015003,2025-06-16 00:39:21.027706,0 days 00:00:11.012703,736.0,0.05,6m,1.3,0.6,1.8000000000000003,800.0,1024.0,0.025,3m,1.0,0.5,1.9000000000000001,96.0,272.0,0.05,2m,1.2000000000000002,0.7,1.1,520.0,,,,,,,,,,,,,,,400.0,0.025,2m,1.1,0.9,1.6,528.0,360,0.025,6m,0.6,1.3,1.4000000000000001,888,896.0,0.025,8m,1.2000000000000002,1.4,1.6,584.0,736.0,0.025,7m,1.5,1.0,1.8000000000000003,488.0,560.0,0.025,4m,1.2000000000000002,0.9,1.6,424.0,0.35000000000000003,8,COMPLETE
21,21,2.3411648829342475,2025-06-16 00:39:21.178148,2025-06-16 00:39:33.828606,0 days 00:00:12.650458,808.0,0.05,7m,1.5,1.3,2.0,1000.0,368.0,0.025,5m,1.5,0.9,1.1,16.0,16.0,0.025,8m,1.5,0.7,1.3,992.0,,,,,,,,,,,,,,,632.0,0.05,6m,0.5,1.2000000000000002,1.9000000000000001,192.0,216,0.025,10m,1.2000000000000002,0.8,1.8000000000000003,368,64.0,0.025,3m,0.9,0.5,1.9000000000000001,240.0,872.0,0.05,2m,1.3,0.9,2.0,200.0,416.0,0.05,4m,0.6,1.0,1.9000000000000001,616.0,0.4,8,COMPLETE
22,22,0.7475723993587408,2025-06-16 00:39:33.935877,2025-06-16 00:39:39.977241,0 days 00:00:06.041364,376.0,0.05,2m,1.5,1.3,1.8000000000000003,880.0,176.0,0.025,1m,1.2000000000000002,1.1,1.4000000000000001,288.0,160.0,0.025,8m,1.5,0.5,1.3,768.0,,,,,,,,,,,,,,,640.0,0.05,6m,0.6,1.3,1.8000000000000003,216.0,488,0.025,10m,1.2000000000000002,0.8,1.7000000000000002,144,64.0,0.025,3m,0.5,0.6,1.9000000000000001,24.0,1016.0,0.05,2m,1.3,0.8,2.0,128.0,112.0,0.05,4m,0.7,1.1,1.9000000000000001,768.0,0.45,8,COMPLETE
23,23,3.098977261936333,2025-06-16 00:39:40.052338,2025-06-16 00:39:47.478295,0 days 00:00:07.425957,816.0,0.05,1m,0.9,1.2000000000000002,2.0,464.0,720.0,0.05,5m,1.1,1.0,1.4000000000000001,360.0,120.0,0.025,3m,1.3,0.8,1.4000000000000001,560.0,888.0,0.05,3m,1.5,1.5,2.0,1000.0,1008.0,0.025,8m,1.5,1.5,1.1,1016.0,624.0,0.05,6m,0.7,1.4,1.9000000000000001,128.0,160,0.025,4m,1.1,1.0,1.9000000000000001,368,216.0,0.025,3m,0.5,0.6,1.9000000000000001,360.0,632.0,0.025,2m,1.4,1.1,1.9000000000000001,304.0,816.0,0.05,4m,0.5,1.0,2.0,536.0,0.35000000000000003,10,COMPLETE
24,24,-5.485070422423999,2025-06-16 00:39:47.552302,2025-06-16 00:39:55.013444,0 days 00:00:07.461142,696.0,0.05,1m,0.9,1.1,1.4000000000000001,360.0,760.0,0.05,10m,1.0,1.1,1.5,488.0,448.0,0.025,3m,1.3,0.9,1.6,520.0,1016.0,0.05,3m,1.5,1.5,2.0,992.0,1000.0,0.025,8m,1.5,1.5,1.1,1024.0,544.0,0.05,4m,0.8,1.4,1.9000000000000001,104.0,16,0.025,4m,1.1,1.0,1.9000000000000001,304,360.0,0.025,7m,1.1,0.7,1.8000000000000003,376.0,648.0,0.025,1m,1.1,1.3,1.9000000000000001,328.0,864.0,0.05,3m,0.5,0.8,2.0,448.0,0.3,10,COMPLETE
25,25,-21.763447445508834,2025-06-16 00:39:55.118206,2025-06-16 00:40:01.297242,0 days 00:00:06.179036,344.0,0.05,5m,0.9,0.8,1.8000000000000003,408.0,696.0,0.05,8m,0.8,1.2000000000000002,1.7000000000000002,792.0,224.0,0.05,7m,0.9,0.6,1.4000000000000001,184.0,,,,,,,,664.0,0.025,8m,1.2000000000000002,1.1,1.4000000000000001,104.0,848.0,0.05,1m,0.7,1.4,1.8000000000000003,352.0,152,0.025,4m,0.9,1.1,2.0,408,208.0,0.025,9m,1.4,0.5,2.0,136.0,504.0,0.025,6m,1.5,1.4,1.9000000000000001,456.0,680.0,0.05,1m,0.8,1.4,1.8000000000000003,872.0,0.35000000000000003,9,COMPLETE
26,26,0.6768543207811533,2025-06-16 00:40:01.365522,2025-06-16 00:40:05.871310,0 days 00:00:04.505788,,,,,,,,,,,,,,,144.0,0.025,3m,1.3,1.2000000000000002,1.1,400.0,,,,,,,,,,,,,,,448.0,0.025,7m,0.5,1.5,1.5,128.0,256,0.05,2m,0.7,0.9,1.9000000000000001,16,744.0,0.025,4m,1.1,0.9,1.8000000000000003,416.0,592.0,0.025,9m,1.3,1.2000000000000002,1.7000000000000002,616.0,896.0,0.05,10m,1.0,1.1,1.3,200.0,0.25,6,COMPLETE
27,27,-1.4001134367464987,2025-06-16 00:40:05.965188,2025-06-16 00:40:08.346905,0 days 00:00:02.381717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,0.025,8m,1.1,1.3,1.5,192,928.0,0.025,5m,1.3,0.7,1.7000000000000002,312.0,736.0,0.025,8m,1.2000000000000002,1.0,1.4000000000000001,224.0,,,,,,,,0.45,3,COMPLETE
28,28,1.6146244427678411,2025-06-16 00:40:08.415035,2025-06-16 00:40:12.499776,0 days 00:00:04.084741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.0,0.025,5m,0.9,1.1,1.7000000000000002,24.0,88,0.05,7m,0.9,1.1,1.9000000000000001,640,592.0,0.05,2m,1.5,1.1,1.9000000000000001,584.0,488.0,0.025,5m,0.9,1.1,1.9000000000000001,80.0,568.0,0.05,5m,0.7,0.5,1.8000000000000003,488.0,0.2,5,COMPLETE
