,number,value,datetime_start,datetime_complete,duration,params_AMZN_CTAS_beta_win,params_AMZN_CTAS_stop_loss,params_AMZN_CTAS_trade_freq,params_AMZN_CTAS_z_entry,params_AMZN_CTAS_z_exit,params_AMZN_CTAS_z_stop_scaler,params_AMZN_CTAS_z_win,params_ANSS_PYPL_beta_win,params_ANSS_PYPL_stop_loss,params_ANSS_PYPL_trade_freq,params_ANSS_PYPL_z_entry,params_ANSS_PYPL_z_exit,params_ANSS_PYPL_z_stop_scaler,params_ANSS_PYPL_z_win,params_CSGP_PYPL_beta_win,params_CSGP_PYPL_stop_loss,params_CSGP_PYPL_trade_freq,params_CSGP_PYPL_z_entry,params_CSGP_PYPL_z_exit,params_CSGP_PYPL_z_stop_scaler,params_CSGP_PYPL_z_win,params_DASH_LIN_beta_win,params_DASH_LIN_stop_loss,params_DASH_LIN_trade_freq,params_DASH_LIN_z_entry,params_DASH_LIN_z_exit,params_DASH_LIN_z_stop_scaler,params_DASH_LIN_z_win,params_DASH_PCAR_beta_win,params_DASH_PCAR_stop_loss,params_DASH_PCAR_trade_freq,params_DASH_PCAR_z_entry,params_DASH_PCAR_z_exit,params_DASH_PCAR_z_stop_scaler,params_DASH_PCAR_z_win,params_DXCM_PYPL_beta_win,params_DXCM_PYPL_stop_loss,params_DXCM_PYPL_trade_freq,params_DXCM_PYPL_z_entry,params_DXCM_PYPL_z_exit,params_DXCM_PYPL_z_stop_scaler,params_DXCM_PYPL_z_win,params_ISRG_MRVL_beta_win,params_ISRG_MRVL_stop_loss,params_ISRG_MRVL_trade_freq,params_ISRG_MRVL_z_entry,params_ISRG_MRVL_z_exit,params_ISRG_MRVL_z_stop_scaler,params_ISRG_MRVL_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_MCHP_PYPL_beta_win,params_MCHP_PYPL_stop_loss,params_MCHP_PYPL_trade_freq,params_MCHP_PYPL_z_entry,params_MCHP_PYPL_z_exit,params_MCHP_PYPL_z_stop_scaler,params_MCHP_PYPL_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-0.30624797473116433,2025-06-16 00:39:04.500186,2025-06-16 00:39:05.434009,0 days 00:00:00.933823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,0.05,7m,0.8,0.9,2.0,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
11,11,-2.0780496469016043,2025-06-16 00:39:05.491111,2025-06-16 00:39:06.441263,0 days 00:00:00.950152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728,0.05,2m,0.8,1.5,2.0,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
12,12,2.7166723794728376,2025-06-16 00:39:06.503794,2025-06-16 00:39:08.937023,0 days 00:00:02.433229,,,,,,,,,,,,,,,648.0,0.05,9m,1.1,1.5,1.1,1000.0,,,,,,,,760,0.05,9m,1.0,1.5,1.3,280,,,,,,,,,,,,,,,,,,,,,,736.0,0.05,4m,1.0,1.5,1.4000000000000001,1000.0,,,,,,,,0.25,3,COMPLETE
13,13,-0.466788920461965,2025-06-16 00:39:09.021235,2025-06-16 00:39:10.644700,0 days 00:00:01.623465,,,,,,,,,,,,,,,576.0,0.05,9m,1.1,1.5,1.1,1024.0,,,,,,,,928,0.05,9m,1.0,1.3,1.8000000000000003,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
14,14,-0.9853263187579898,2025-06-16 00:39:10.679493,2025-06-16 00:39:13.353849,0 days 00:00:02.674356,,,,,,,,,,,,,,,1008.0,0.05,3m,1.0,1.5,1.3,1024.0,,,,,,,,776,0.05,9m,0.7,0.8,1.4000000000000001,32,,,,,,,,,,,,,,,,,,,,,,696.0,0.05,9m,1.0,0.8,1.5,992.0,,,,,,,,0.25,3,COMPLETE
15,15,-1.8787251448840374,2025-06-16 00:39:13.442190,2025-06-16 00:39:23.669618,0 days 00:00:10.227428,,,,,,,,368.0,0.025,7m,0.5,1.5,1.9000000000000001,16.0,704.0,0.05,9m,1.0,1.3,1.7000000000000002,832.0,976.0,0.025,10m,1.4,1.5,2.0,64.0,872,0.05,3m,0.9,1.1,1.8000000000000003,248,,,,,,,,,,,,,,,,,,,,,,1016.0,0.05,4m,1.2000000000000002,1.5,1.7000000000000002,496.0,,,,,,,,0.25,5,COMPLETE
16,16,-48.39993944533706,2025-06-16 00:39:23.789142,2025-06-16 00:39:28.204247,0 days 00:00:04.415105,,,,,,,,,,,,,,,512.0,0.025,6m,1.2000000000000002,1.3,1.1,16.0,,,,,,,,680,0.05,1m,0.5,1.4,1.4000000000000001,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
17,17,0.11676533736479704,2025-06-16 00:39:28.323011,2025-06-16 00:39:31.666730,0 days 00:00:03.343719,,,,,,,,,,,,,,,488.0,0.05,7m,0.9,1.3,1.3,848.0,,,,,,,,456,0.05,7m,1.1,1.0,1.9000000000000001,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
18,18,-5.58474207477395,2025-06-16 00:39:31.760342,2025-06-16 00:39:37.107640,0 days 00:00:05.347298,,,,,,,,32.0,0.05,4m,1.5,0.9,1.7000000000000002,952.0,848.0,0.05,9m,1.5,1.5,1.4000000000000001,920.0,48.0,0.025,5m,0.5,0.5,1.2000000000000002,16.0,864,0.05,9m,0.6,0.8,1.4000000000000001,704,1024.0,0.05,4m,1.0,1.5,2.0,48.0,,,,,,,,,,,,,,,816.0,0.05,5m,1.1,0.9,1.4000000000000001,880.0,,,,,,,,0.35000000000000003,6,COMPLETE
19,19,-1.8231651114041674,2025-06-16 00:39:37.173937,2025-06-16 00:39:39.675550,0 days 00:00:02.501613,,,,,,,,,,,,,,,712.0,0.025,3m,1.2000000000000002,1.2000000000000002,1.3,712.0,,,,,,,,672,0.05,6m,0.8,1.3,1.2000000000000002,16,,,,,,,,,,,,,,,,,,,,,,536.0,0.05,1m,0.9,1.5,2.0,552.0,,,,,,,,0.1,3,COMPLETE
