,number,value,datetime_start,datetime_complete,duration,params_AVGO_MRNA_beta_win,params_AVGO_MRNA_stop_loss,params_AVGO_MRNA_trade_freq,params_AVGO_MRNA_z_entry,params_AVGO_MRNA_z_exit,params_AVGO_MRNA_z_stop_scaler,params_AVGO_MRNA_z_win,params_CPRT_MRNA_beta_win,params_CPRT_MRNA_stop_loss,params_CPRT_MRNA_trade_freq,params_CPRT_MRNA_z_entry,params_CPRT_MRNA_z_exit,params_CPRT_MRNA_z_stop_scaler,params_CPRT_MRNA_z_win,params_FISV_MRNA_beta_win,params_FISV_MRNA_stop_loss,params_FISV_MRNA_trade_freq,params_FISV_MRNA_z_entry,params_FISV_MRNA_z_exit,params_FISV_MRNA_z_stop_scaler,params_FISV_MRNA_z_win,params_ISRG_MRNA_beta_win,params_ISRG_MRNA_stop_loss,params_ISRG_MRNA_trade_freq,params_ISRG_MRNA_z_entry,params_ISRG_MRNA_z_exit,params_ISRG_MRNA_z_stop_scaler,params_ISRG_MRNA_z_win,params_KLAC_MRNA_beta_win,params_KLAC_MRNA_stop_loss,params_KLAC_MRNA_trade_freq,params_KLAC_MRNA_z_entry,params_KLAC_MRNA_z_exit,params_KLAC_MRNA_z_stop_scaler,params_KLAC_MRNA_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_MCHP_MRNA_beta_win,params_MCHP_MRNA_stop_loss,params_MCHP_MRNA_trade_freq,params_MCHP_MRNA_z_entry,params_MCHP_MRNA_z_exit,params_MCHP_MRNA_z_stop_scaler,params_MCHP_MRNA_z_win,params_MDLZ_MRNA_beta_win,params_MDLZ_MRNA_stop_loss,params_MDLZ_MRNA_trade_freq,params_MDLZ_MRNA_z_entry,params_MDLZ_MRNA_z_exit,params_MDLZ_MRNA_z_stop_scaler,params_MDLZ_MRNA_z_win,params_MNST_MRNA_beta_win,params_MNST_MRNA_stop_loss,params_MNST_MRNA_trade_freq,params_MNST_MRNA_z_entry,params_MNST_MRNA_z_exit,params_MNST_MRNA_z_stop_scaler,params_MNST_MRNA_z_win,params_SBUX_MRNA_beta_win,params_SBUX_MRNA_stop_loss,params_SBUX_MRNA_trade_freq,params_SBUX_MRNA_z_entry,params_SBUX_MRNA_z_exit,params_SBUX_MRNA_z_stop_scaler,params_SBUX_MRNA_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-5.460130839923417,2025-06-15 23:37:58.889450,2025-06-15 23:38:09.504334,0 days 00:00:10.614884,488.0,0.025,8m,1.0,1.5,2.0,48.0,32,0.025,8m,1.0,0.5,2.0,984,712.0,0.05,3m,1.3,1.5,1.4000000000000001,16.0,840.0,0.05,7m,0.5,1.5,1.1,48.0,632.0,0.025,8m,1.3,0.5,1.6,272.0,480.0,0.05,9m,1.1,1.5,1.6,240.0,936.0,0.05,5m,1.5,0.9,1.4000000000000001,32.0,528.0,0.05,7m,1.5,0.9,1.8000000000000003,544.0,72.0,0.05,8m,0.5,0.6,1.1,544.0,1024.0,0.025,9m,0.5,0.5,2.0,984.0,0.5,10,COMPLETE
11,11,0.15185062530465562,2025-06-15 23:38:09.618132,2025-06-15 23:38:10.971539,0 days 00:00:01.353407,,,,,,,,408,0.05,3m,1.2000000000000002,0.9,1.3,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
12,12,-5.685694576736855,2025-06-15 23:38:11.046930,2025-06-15 23:38:17.435457,0 days 00:00:06.388527,464.0,0.05,8m,0.5,1.1,1.8000000000000003,440.0,448,0.025,3m,1.2000000000000002,0.8,1.4000000000000001,256,1016.0,0.05,10m,1.2000000000000002,1.5,1.1,104.0,,,,,,,,,,,,,,,456.0,0.05,7m,1.1,0.5,1.9000000000000001,224.0,808.0,0.05,5m,1.3,1.0,2.0,608.0,40.0,0.05,9m,1.2000000000000002,0.8,1.6,1024.0,,,,,,,,,,,,,,,0.15000000000000002,6,COMPLETE
13,13,-4.013696664134456,2025-06-15 23:38:17.515490,2025-06-15 23:38:20.014608,0 days 00:00:02.499118,656.0,0.025,6m,0.9,1.4,1.8000000000000003,800.0,848,0.05,8m,0.8,1.1,1.4000000000000001,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
14,14,-5.085257501758084,2025-06-15 23:38:20.098423,2025-06-15 23:38:21.436259,0 days 00:00:01.337836,,,,,,,,552,0.025,1m,1.2000000000000002,0.7,1.8000000000000003,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
15,15,-0.5877972025369851,2025-06-15 23:38:21.511871,2025-06-15 23:38:34.042004,0 days 00:00:12.530133,360.0,0.05,9m,0.7,1.0,1.7000000000000002,40.0,128,0.05,3m,1.1,1.4,1.4000000000000001,352,24.0,0.025,3m,0.5,1.3,1.6,344.0,488.0,0.025,7m,1.5,1.5,1.2000000000000002,1000.0,120.0,0.05,1m,0.5,1.5,1.1,1024.0,776.0,0.05,9m,1.5,1.2000000000000002,1.4000000000000001,472.0,432.0,0.05,4m,1.2000000000000002,1.5,1.6,1024.0,672.0,0.05,7m,1.2000000000000002,1.1,1.5,832.0,400.0,0.025,9m,1.2000000000000002,0.9,1.1,592.0,1016.0,0.025,9m,0.7,0.9,2.0,696.0,0.05,10,COMPLETE
16,16,-3.9108756370258417,2025-06-15 23:38:34.205440,2025-06-15 23:38:57.325765,0 days 00:00:23.120325,32.0,0.05,7m,1.1,0.9,1.9000000000000001,376.0,664,0.025,9m,0.8,0.9,1.2000000000000002,712,544.0,0.05,5m,1.1,1.2000000000000002,2.0,344.0,,,,,,,,,,,,,,,296.0,0.05,6m,0.9,1.5,1.8000000000000003,32.0,816.0,0.05,7m,0.8,0.8,1.3,680.0,440.0,0.05,5m,1.0,1.5,2.0,512.0,448.0,0.05,3m,1.0,1.5,1.4000000000000001,40.0,48.0,0.05,2m,0.9,0.5,1.6,448.0,0.15000000000000002,8,COMPLETE
17,17,-8.292627364423488,2025-06-15 23:38:57.511012,2025-06-15 23:39:06.291853,0 days 00:00:08.780841,648.0,0.025,8m,0.6,1.1,1.1,680.0,464,0.05,3m,1.3,0.6,1.5,376,40.0,0.025,1m,0.8,0.5,1.3,280.0,,,,,,,,,,,,,,,,,,,,,,800.0,0.025,3m,1.3,1.1,1.8000000000000003,80.0,824.0,0.05,1m,1.4,0.8,1.7000000000000002,104.0,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
18,18,-0.27180689661688495,2025-06-15 23:39:06.412134,2025-06-15 23:39:07.896519,0 days 00:00:01.484385,,,,,,,,328,0.05,8m,0.9,1.0,1.8000000000000003,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
19,19,-3.7652571723781767,2025-06-15 23:39:07.983903,2025-06-15 23:39:17.348714,0 days 00:00:09.364811,392.0,0.05,1m,0.9,0.8,1.7000000000000002,1000.0,776,0.025,9m,1.4,0.7,1.5,688,536.0,0.05,2m,1.4,1.2000000000000002,1.8000000000000003,808.0,,,,,,,,,,,,,,,656.0,0.05,4m,1.3,1.1,1.1,472.0,416.0,0.05,5m,1.5,0.9,1.1,424.0,416.0,0.05,7m,1.5,0.5,1.4000000000000001,560.0,280.0,0.025,6m,1.0,0.5,1.5,744.0,824.0,0.025,8m,1.1,1.3,1.8000000000000003,840.0,0.1,8,COMPLETE
