,number,value,datetime_start,datetime_complete,duration,params_ADBE_BIIB_beta_win,params_ADBE_BIIB_stop_loss,params_ADBE_BIIB_trade_freq,params_ADBE_BIIB_z_entry,params_ADBE_BIIB_z_exit,params_ADBE_BIIB_z_stop_scaler,params_ADBE_BIIB_z_win,params_AEP_JD_beta_win,params_AEP_JD_stop_loss,params_AEP_JD_trade_freq,params_AEP_JD_z_entry,params_AEP_JD_z_exit,params_AEP_JD_z_stop_scaler,params_AEP_JD_z_win,params_AMZN_SIRI_beta_win,params_AMZN_SIRI_stop_loss,params_AMZN_SIRI_trade_freq,params_AMZN_SIRI_z_entry,params_AMZN_SIRI_z_exit,params_AMZN_SIRI_z_stop_scaler,params_AMZN_SIRI_z_win,params_BIIB_ZM_beta_win,params_BIIB_ZM_stop_loss,params_BIIB_ZM_trade_freq,params_BIIB_ZM_z_entry,params_BIIB_ZM_z_exit,params_BIIB_ZM_z_stop_scaler,params_BIIB_ZM_z_win,params_CMCSA_FISV_beta_win,params_CMCSA_FISV_stop_loss,params_CMCSA_FISV_trade_freq,params_CMCSA_FISV_z_entry,params_CMCSA_FISV_z_exit,params_CMCSA_FISV_z_stop_scaler,params_CMCSA_FISV_z_win,params_COST_ORLY_beta_win,params_COST_ORLY_stop_loss,params_COST_ORLY_trade_freq,params_COST_ORLY_z_entry,params_COST_ORLY_z_exit,params_COST_ORLY_z_stop_scaler,params_COST_ORLY_z_win,params_GOOG_SIRI_beta_win,params_GOOG_SIRI_stop_loss,params_GOOG_SIRI_trade_freq,params_GOOG_SIRI_z_entry,params_GOOG_SIRI_z_exit,params_GOOG_SIRI_z_stop_scaler,params_GOOG_SIRI_z_win,params_IDXX_SIRI_beta_win,params_IDXX_SIRI_stop_loss,params_IDXX_SIRI_trade_freq,params_IDXX_SIRI_z_entry,params_IDXX_SIRI_z_exit,params_IDXX_SIRI_z_stop_scaler,params_IDXX_SIRI_z_win,params_NTES_SIRI_beta_win,params_NTES_SIRI_stop_loss,params_NTES_SIRI_trade_freq,params_NTES_SIRI_z_entry,params_NTES_SIRI_z_exit,params_NTES_SIRI_z_stop_scaler,params_NTES_SIRI_z_win,params_NVDA_SIRI_beta_win,params_NVDA_SIRI_stop_loss,params_NVDA_SIRI_trade_freq,params_NVDA_SIRI_z_entry,params_NVDA_SIRI_z_exit,params_NVDA_SIRI_z_stop_scaler,params_NVDA_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
119,119,-52.067010676301294,2025-06-15 23:31:42.623449,2025-06-15 23:31:50.466815,0 days 00:00:07.843366,328.0,0.025,4m,1.2000000000000002,1.4,1.6,928.0,824.0,0.025,1m,0.5,1.5,1.6,80.0,944.0,0.05,6m,1.1,0.6,1.4000000000000001,544.0,712,0.05,3m,0.7,0.9,1.6,648,616.0,0.05,9m,0.5,1.0,1.8000000000000003,992.0,680.0,0.025,9m,0.8,1.4,1.8000000000000003,184.0,,,,,,,,,,,,,,,616.0,0.05,10m,0.8,0.6,1.5,464.0,120.0,0.05,9m,0.6,0.8,1.7000000000000002,400.0,0.1,8,COMPLETE
120,120,-1.319010649929757,2025-06-15 23:31:50.534283,2025-06-15 23:31:59.228356,0 days 00:00:08.694073,272.0,0.025,9m,1.3,1.5,1.6,904.0,864.0,0.025,4m,0.6,1.4,1.7000000000000002,176.0,984.0,0.05,3m,1.0,0.5,1.3,568.0,624,0.05,3m,0.8,0.7,1.4000000000000001,560,328.0,0.05,2m,0.6,1.5,1.8000000000000003,856.0,848.0,0.025,4m,0.9,1.5,1.7000000000000002,120.0,,,,,,,,904.0,0.025,1m,1.2000000000000002,0.6,1.4000000000000001,104.0,672.0,0.05,10m,0.5,0.8,1.6,392.0,224.0,0.05,9m,0.7,1.0,1.6,552.0,0.05,9,COMPLETE
121,121,5.435566733430518,2025-06-15 23:31:59.310130,2025-06-15 23:32:07.006499,0 days 00:00:07.696369,224.0,0.025,6m,1.5,1.5,1.5,960.0,808.0,0.025,6m,0.5,1.4,1.8000000000000003,160.0,424.0,0.05,2m,1.1,0.7,1.4000000000000001,624.0,736,0.05,9m,0.9,0.8,1.6,496,712.0,0.05,9m,0.5,0.7,1.7000000000000002,760.0,784.0,0.025,3m,0.7,1.3,1.7000000000000002,160.0,,,,,,,,,,,,,,,488.0,0.05,7m,0.6,0.7,1.5,368.0,40.0,0.05,2m,0.7,1.1,1.5,440.0,0.05,8,COMPLETE
122,122,5.457086076128499,2025-06-15 23:32:07.073681,2025-06-15 23:32:14.730902,0 days 00:00:07.657221,232.0,0.025,9m,1.5,1.5,1.5,952.0,744.0,0.025,6m,0.5,1.4,1.8000000000000003,480.0,400.0,0.05,2m,1.1,0.6,1.4000000000000001,616.0,784,0.05,6m,0.9,0.8,1.5,672,744.0,0.05,9m,0.5,1.1,1.7000000000000002,696.0,776.0,0.025,3m,0.7,1.3,1.8000000000000003,160.0,,,,,,,,,,,,,,,464.0,0.05,7m,0.6,0.7,1.5,344.0,56.0,0.05,2m,0.6,0.7,1.5,440.0,0.05,8,COMPLETE
123,123,5.146992817195179,2025-06-15 23:32:14.804986,2025-06-15 23:32:22.568473,0 days 00:00:07.763487,232.0,0.025,2m,1.5,1.5,1.5,952.0,744.0,0.025,6m,0.5,1.4,1.8000000000000003,648.0,384.0,0.05,2m,1.1,0.7,1.4000000000000001,616.0,792,0.05,6m,0.9,0.8,1.5,672,784.0,0.05,9m,0.5,0.7,1.7000000000000002,704.0,760.0,0.025,3m,0.7,1.3,1.8000000000000003,160.0,,,,,,,,,,,,,,,456.0,0.05,7m,0.6,0.7,1.5,352.0,48.0,0.05,9m,0.7,1.1,1.5,464.0,0.05,8,COMPLETE
124,124,5.730755847333942,2025-06-15 23:32:22.654712,2025-06-15 23:32:30.408252,0 days 00:00:07.753540,232.0,0.025,2m,1.5,1.5,1.5,872.0,744.0,0.025,6m,0.5,1.4,1.8000000000000003,480.0,392.0,0.05,2m,1.2000000000000002,0.7,1.5,640.0,824,0.05,6m,0.9,0.8,1.6,688,736.0,0.05,9m,0.6,0.7,1.7000000000000002,688.0,760.0,0.025,3m,0.7,1.3,1.8000000000000003,152.0,,,,,,,,,,,,,,,392.0,0.05,7m,0.6,0.6,1.4000000000000001,368.0,24.0,0.05,2m,0.7,1.1,1.5,520.0,0.05,8,COMPLETE
125,125,5.172251310768261,2025-06-15 23:32:30.480761,2025-06-15 23:32:38.026585,0 days 00:00:07.545824,184.0,0.025,2m,1.5,1.4,1.5,872.0,736.0,0.025,6m,0.5,1.4,1.8000000000000003,472.0,392.0,0.05,2m,1.2000000000000002,0.7,1.5,760.0,824,0.05,6m,0.9,0.9,1.6,680,768.0,0.05,9m,0.6,0.7,1.7000000000000002,704.0,808.0,0.025,3m,0.7,1.2000000000000002,1.8000000000000003,160.0,,,,,,,,,,,,,,,432.0,0.05,7m,0.6,0.6,1.3,288.0,40.0,0.05,2m,0.8,1.1,1.5,528.0,0.1,8,COMPLETE
126,126,3.278338317795163,2025-06-15 23:32:38.126051,2025-06-15 23:32:45.985137,0 days 00:00:07.859086,192.0,0.025,2m,1.5,1.4,1.5,864.0,736.0,0.025,6m,0.6,1.4,1.8000000000000003,456.0,400.0,0.05,2m,1.2000000000000002,0.7,1.5,752.0,824,0.05,6m,0.9,0.9,1.6,744,776.0,0.05,6m,0.6,0.7,1.7000000000000002,744.0,824.0,0.025,3m,0.6,1.2000000000000002,1.9000000000000001,168.0,,,,,,,,,,,,,,,440.0,0.05,7m,0.6,0.6,1.3,288.0,24.0,0.05,2m,0.8,1.1,1.5,528.0,0.05,8,COMPLETE
127,127,-4.781829213347057,2025-06-15 23:32:46.064652,2025-06-15 23:32:54.107945,0 days 00:00:08.043293,216.0,0.025,2m,1.5,1.4,1.5,904.0,696.0,0.025,6m,0.5,1.3,1.8000000000000003,544.0,280.0,0.05,2m,1.2000000000000002,0.7,1.5,640.0,792,0.05,6m,0.9,0.9,1.6,672,736.0,0.05,1m,0.6,0.7,1.7000000000000002,672.0,808.0,0.025,3m,0.7,1.2000000000000002,1.8000000000000003,112.0,,,,,,,,,,,,,,,472.0,0.05,7m,0.6,0.6,1.6,288.0,48.0,0.05,7m,0.7,1.1,1.5,584.0,0.05,8,COMPLETE
128,128,2.8401930605874735,2025-06-15 23:32:54.181282,2025-06-15 23:33:02.286493,0 days 00:00:08.105211,168.0,0.025,2m,1.5,1.4,1.5,880.0,752.0,0.025,6m,0.6,1.4,1.8000000000000003,488.0,328.0,0.05,2m,1.2000000000000002,0.8,1.5,656.0,816,0.05,6m,0.9,0.9,1.5,712,808.0,0.05,9m,0.6,0.6,1.6,704.0,872.0,0.025,3m,0.7,1.4,1.8000000000000003,216.0,,,,,,,,,,,,,,,344.0,0.05,7m,0.6,0.6,1.3,344.0,16.0,0.05,2m,0.8,1.1,1.4000000000000001,504.0,0.1,8,COMPLETE
129,129,-0.7655882207467266,2025-06-15 23:33:02.354076,2025-06-15 23:33:22.454051,0 days 00:00:20.099975,232.0,0.025,2m,1.5,1.5,1.5,952.0,624.0,0.025,6m,0.5,1.3,1.8000000000000003,728.0,416.0,0.05,2m,1.1,0.7,1.5,704.0,744,0.05,6m,0.9,0.9,1.5,656,896.0,0.05,9m,0.6,0.7,1.7000000000000002,680.0,768.0,0.025,3m,0.7,1.3,1.8000000000000003,152.0,,,,,,,,,,,,,,,392.0,0.05,7m,0.5,0.5,1.2000000000000002,368.0,72.0,0.05,2m,0.7,0.5,1.5,632.0,0.05,8,COMPLETE
130,130,2.1688908780194898,2025-06-15 23:33:22.615240,2025-06-15 23:33:35.465579,0 days 00:00:12.850339,144.0,0.025,2m,1.5,1.5,1.5,928.0,896.0,0.025,6m,0.5,1.4,1.8000000000000003,664.0,320.0,0.05,2m,1.1,0.7,1.4000000000000001,792.0,792,0.05,6m,0.9,0.7,1.6,488,736.0,0.05,9m,0.6,0.6,1.7000000000000002,768.0,808.0,0.025,3m,0.7,1.3,1.9000000000000001,240.0,,,,,,,,,,,,,,,416.0,0.05,7m,0.6,0.8,1.4000000000000001,328.0,56.0,0.05,2m,0.8,1.2000000000000002,1.5,424.0,0.05,8,COMPLETE
131,131,0.8524942945364284,2025-06-15 23:33:35.545302,2025-06-15 23:33:43.029983,0 days 00:00:07.484681,256.0,0.025,2m,1.5,1.5,1.5,968.0,712.0,0.025,8m,0.5,1.4,1.8000000000000003,416.0,456.0,0.05,2m,1.1,0.5,1.3,616.0,768,0.05,6m,0.9,0.8,1.6,680,768.0,0.05,9m,0.5,0.8,1.7000000000000002,696.0,752.0,0.025,3m,0.7,1.3,1.8000000000000003,168.0,,,,,,,,,,,,,,,464.0,0.05,7m,0.6,0.7,1.4000000000000001,368.0,56.0,0.05,2m,0.7,0.6,1.5,184.0,0.1,8,COMPLETE
132,132,2.632948307211799,2025-06-15 23:33:43.128410,2025-06-15 23:33:49.993257,0 days 00:00:06.864847,184.0,0.025,6m,1.5,1.5,1.5,944.0,808.0,0.025,6m,0.5,1.4,1.8000000000000003,472.0,488.0,0.05,2m,1.2000000000000002,0.5,1.4000000000000001,632.0,776,0.05,6m,0.9,0.8,1.6,696,672.0,0.05,9m,0.5,0.7,1.7000000000000002,712.0,720.0,0.025,3m,0.6,1.2000000000000002,1.8000000000000003,128.0,,,,,,,,,,,,,,,512.0,0.05,7m,0.5,0.6,1.5,344.0,184.0,0.05,2m,0.5,1.1,1.5,480.0,0.1,8,COMPLETE
133,133,2.685686355889906,2025-06-15 23:33:50.068525,2025-06-15 23:33:57.094369,0 days 00:00:07.025844,232.0,0.025,2m,1.5,1.5,1.5,1024.0,736.0,0.025,9m,0.5,1.3,1.8000000000000003,544.0,432.0,0.05,2m,1.1,0.7,1.4000000000000001,688.0,824,0.05,6m,0.9,0.8,1.6,456,856.0,0.05,9m,0.5,1.1,1.6,664.0,768.0,0.025,3m,0.7,1.3,1.8000000000000003,80.0,,,,,,,,,,,,,,,368.0,0.05,7m,0.8,0.7,1.4000000000000001,376.0,424.0,0.05,4m,0.6,1.0,1.4000000000000001,360.0,0.1,8,COMPLETE
134,134,1.196547547272825,2025-06-15 23:33:57.185214,2025-06-15 23:34:04.092624,0 days 00:00:06.907410,200.0,0.025,2m,1.5,1.4,1.5,960.0,680.0,0.025,6m,0.5,1.4,1.4000000000000001,792.0,408.0,0.05,2m,1.3,0.5,1.5,880.0,800,0.05,9m,0.9,0.9,1.7000000000000002,664,688.0,0.05,7m,0.6,0.6,1.7000000000000002,744.0,848.0,0.025,3m,0.7,1.3,1.8000000000000003,160.0,,,,,,,,,,,,,,,480.0,0.05,7m,0.6,0.6,1.5,336.0,80.0,0.05,2m,0.7,1.1,1.5,424.0,0.05,8,COMPLETE
135,135,0.3512349976259759,2025-06-15 23:34:04.179768,2025-06-15 23:34:10.874387,0 days 00:00:06.694619,256.0,0.025,7m,1.2000000000000002,1.5,1.5,920.0,544.0,0.025,6m,0.6,1.4,1.8000000000000003,488.0,376.0,0.05,4m,1.2000000000000002,0.6,1.3,592.0,736,0.05,6m,0.9,0.8,1.5,768,768.0,0.05,9m,0.5,0.8,1.9000000000000001,880.0,688.0,0.025,3m,0.6,1.4,1.7000000000000002,216.0,,,,,,,,,,,,,,,432.0,0.05,7m,0.7,0.7,1.6,448.0,48.0,0.05,10m,0.5,0.7,1.6,520.0,0.05,8,COMPLETE
136,136,-1.3761491017549865,2025-06-15 23:34:10.952063,2025-06-15 23:34:17.602378,0 days 00:00:06.650315,304.0,0.025,6m,1.4,1.5,1.5,896.0,888.0,0.025,6m,0.5,1.3,1.8000000000000003,592.0,392.0,0.05,5m,1.1,0.7,1.5,648.0,760,0.05,6m,1.0,0.8,1.5,400,416.0,0.05,8m,0.6,0.7,1.7000000000000002,824.0,752.0,0.025,8m,0.7,1.2000000000000002,1.9000000000000001,96.0,,,,,,,,,,,,,,,416.0,0.05,7m,0.8,0.8,1.4000000000000001,360.0,104.0,0.05,5m,0.7,1.0,1.5,576.0,0.05,8,COMPLETE
137,137,-24.358657851411923,2025-06-15 23:34:17.725843,2025-06-15 23:34:25.191205,0 days 00:00:07.465362,216.0,0.025,1m,1.1,1.4,1.6,872.0,856.0,0.025,2m,0.5,1.4,1.8000000000000003,392.0,472.0,0.05,2m,1.2000000000000002,0.5,1.4000000000000001,616.0,784,0.05,6m,0.9,0.9,1.6,728,624.0,0.05,9m,0.5,0.7,1.7000000000000002,640.0,832.0,0.025,1m,0.6,1.3,1.8000000000000003,136.0,,,,,,,,,,,,,,,464.0,0.05,8m,0.7,0.7,1.5,288.0,32.0,0.05,3m,0.8,1.2000000000000002,1.6,424.0,0.1,8,COMPLETE
138,138,-5.757099473742161,2025-06-15 23:34:25.253974,2025-06-15 23:34:32.355472,0 days 00:00:07.101498,240.0,0.025,2m,1.5,1.5,1.5,984.0,816.0,0.025,10m,0.6,1.4,1.8000000000000003,432.0,520.0,0.05,8m,1.1,0.8,1.6,744.0,832,0.05,2m,0.9,0.8,1.5,512,344.0,0.05,9m,0.6,1.2000000000000002,1.8000000000000003,768.0,728.0,0.025,3m,0.7,1.2000000000000002,1.7000000000000002,264.0,,,,,,,,,,,,,,,296.0,0.025,7m,0.5,0.7,1.6,400.0,240.0,0.05,1m,0.6,1.1,1.5,528.0,0.05,8,COMPLETE
139,139,-0.6808578520333031,2025-06-15 23:34:32.430488,2025-06-15 23:34:39.161842,0 days 00:00:06.731354,208.0,0.025,9m,1.5,1.4,1.5,944.0,792.0,0.025,6m,0.5,1.3,1.9000000000000001,160.0,440.0,0.05,2m,1.1,0.6,1.5,776.0,728,0.05,10m,0.9,0.9,1.6,800,696.0,0.05,9m,1.2000000000000002,0.8,1.7000000000000002,720.0,792.0,0.025,9m,0.9,1.3,1.7000000000000002,112.0,,,,,,,,,,,,,,,488.0,0.05,5m,0.6,0.6,1.5,248.0,176.0,0.05,2m,0.5,1.0,1.4000000000000001,480.0,0.1,8,COMPLETE
140,140,-10.280362794257101,2025-06-15 23:34:39.224855,2025-06-15 23:34:46.105763,0 days 00:00:06.880908,160.0,0.025,4m,1.4,1.5,1.6,912.0,440.0,0.025,6m,0.5,1.4,1.8000000000000003,512.0,336.0,0.05,2m,1.3,0.5,1.3,520.0,872,0.05,9m,1.5,0.9,1.6,624,792.0,0.025,5m,0.5,1.1,1.6,920.0,800.0,0.025,3m,0.7,1.4,1.8000000000000003,208.0,,,,,,,,,,,,,,,448.0,0.05,1m,0.7,0.6,1.2000000000000002,304.0,352.0,0.05,6m,0.6,1.1,1.6,448.0,0.05,8,COMPLETE
141,141,1.2145038657074647,2025-06-15 23:34:46.183861,2025-06-15 23:34:53.902562,0 days 00:00:07.718701,256.0,0.025,9m,1.4,1.5,1.6,1008.0,832.0,0.025,6m,0.5,1.4,1.7000000000000002,688.0,424.0,0.05,7m,1.1,0.6,1.4000000000000001,576.0,760,0.05,7m,0.8,0.8,1.5,640,720.0,0.05,9m,0.5,0.7,1.8000000000000003,808.0,776.0,0.025,2m,0.8,1.3,1.7000000000000002,152.0,,,,,,,,520.0,0.025,10m,1.0,0.9,1.6,488.0,728.0,0.05,3m,0.7,0.7,1.5,416.0,128.0,0.05,9m,0.6,1.0,1.6,488.0,0.05,9,COMPLETE
142,142,-0.6485098618105011,2025-06-15 23:34:53.998186,2025-06-15 23:34:55.120321,0 days 00:00:01.122135,,,,,,,,,,,,,,,,,,,,,,704,0.05,3m,0.8,0.8,1.5,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
143,143,3.930381997826312,2025-06-15 23:34:55.201145,2025-06-15 23:35:02.502246,0 days 00:00:07.301101,360.0,0.025,9m,1.4,1.5,1.6,1008.0,840.0,0.025,6m,0.5,1.4,1.8000000000000003,144.0,312.0,0.05,2m,1.1,0.6,1.4000000000000001,592.0,808,0.05,6m,0.8,0.7,1.5,680,296.0,0.05,9m,0.5,1.4,1.8000000000000003,752.0,752.0,0.025,6m,0.8,1.3,1.7000000000000002,144.0,,,,,,,,,,,,,,,376.0,0.05,9m,0.6,0.8,1.5,432.0,152.0,0.05,9m,0.6,0.9,1.6,456.0,0.05,8,COMPLETE
144,144,3.4096379880458048,2025-06-15 23:35:02.598088,2025-06-15 23:35:26.165563,0 days 00:00:23.567475,328.0,0.025,9m,1.5,1.5,1.5,960.0,752.0,0.025,6m,0.5,1.4,1.7000000000000002,40.0,384.0,0.05,6m,0.9,0.7,1.4000000000000001,632.0,776,0.05,3m,0.9,0.8,1.7000000000000002,616,480.0,0.05,9m,0.5,1.0,1.8000000000000003,784.0,816.0,0.025,2m,0.7,1.3,1.7000000000000002,184.0,,,,,,,,,,,,,,,528.0,0.05,7m,0.8,0.7,1.6,376.0,72.0,0.05,9m,0.7,1.0,1.6,368.0,0.05,8,COMPLETE
145,145,1.2897019631875697,2025-06-15 23:35:26.349064,2025-06-15 23:35:54.160557,0 days 00:00:27.811493,232.0,0.025,9m,1.5,1.4,1.5,984.0,864.0,0.025,3m,0.5,1.3,1.7000000000000002,864.0,360.0,0.05,2m,1.2000000000000002,0.6,1.6,664.0,664,0.05,3m,0.9,0.8,1.5,648,392.0,0.05,4m,0.6,1.5,1.9000000000000001,848.0,776.0,0.025,3m,0.8,1.3,1.8000000000000003,120.0,,,,,,,,432.0,0.025,7m,1.0,0.8,1.5,384.0,408.0,0.05,7m,0.7,0.7,1.5,408.0,112.0,0.05,9m,0.6,0.7,1.5,416.0,0.05,9,COMPLETE
146,146,1.1062936673708181,2025-06-15 23:35:54.264617,2025-06-15 23:36:05.586418,0 days 00:00:11.321801,264.0,0.025,2m,1.4,1.5,1.6,992.0,776.0,0.025,7m,0.5,1.5,1.9000000000000001,120.0,352.0,0.05,3m,1.0,0.6,1.4000000000000001,560.0,744,0.05,6m,0.8,0.8,1.6,696,360.0,0.05,9m,0.5,0.8,1.4000000000000001,696.0,840.0,0.025,2m,0.9,1.2000000000000002,1.8000000000000003,600.0,400.0,0.05,5m,0.9,0.8,1.5,688.0,656.0,0.025,8m,1.4,0.9,1.1,328.0,744.0,0.05,10m,0.8,0.7,1.3,328.0,144.0,0.05,2m,0.6,1.0,1.6,472.0,0.05,10,COMPLETE
147,147,4.439798227808087,2025-06-15 23:36:05.701458,2025-06-15 23:36:15.510120,0 days 00:00:09.808662,184.0,0.025,6m,1.2000000000000002,1.5,1.6,936.0,816.0,0.025,6m,0.6,1.4,1.8000000000000003,104.0,472.0,0.05,4m,0.9,0.7,1.5,608.0,856,0.05,9m,0.8,0.9,1.7000000000000002,712,832.0,0.05,9m,0.5,1.4,1.8000000000000003,632.0,792.0,0.025,4m,0.8,1.3,1.9000000000000001,168.0,,,,,,,,,,,,,,,712.0,0.05,7m,0.6,0.8,1.4000000000000001,480.0,96.0,0.05,9m,0.5,0.9,2.0,552.0,0.1,8,COMPLETE
148,148,0.034904713996738126,2025-06-15 23:36:15.617420,2025-06-15 23:36:18.017078,0 days 00:00:02.399658,296.0,0.025,9m,1.1,1.5,1.5,1024.0,,,,,,,,,,,,,,,688,0.05,3m,0.9,0.8,1.5,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
149,149,2.0272782798012,2025-06-15 23:36:18.102466,2025-06-15 23:36:27.831150,0 days 00:00:09.728684,400.0,0.025,9m,1.5,1.4,1.4000000000000001,968.0,720.0,0.025,6m,0.5,1.2000000000000002,1.9000000000000001,72.0,504.0,0.05,3m,1.1,0.5,1.4000000000000001,536.0,792,0.05,3m,1.0,0.7,1.5,560,432.0,0.05,2m,0.6,1.5,1.8000000000000003,816.0,712.0,0.025,2m,0.7,1.3,1.7000000000000002,88.0,,,,,,,,960.0,0.025,4m,1.5,0.8,1.4000000000000001,544.0,504.0,0.05,10m,0.7,0.7,1.5,352.0,16.0,0.05,9m,0.7,1.1,1.5,336.0,0.5,9,COMPLETE
