,number,value,datetime_start,datetime_complete,duration,params_ADP_XEL_beta_win,params_ADP_XEL_stop_loss,params_ADP_XEL_trade_freq,params_ADP_XEL_z_entry,params_ADP_XEL_z_exit,params_ADP_XEL_z_stop_scaler,params_ADP_XEL_z_win,params_AEP_MELI_beta_win,params_AEP_MELI_stop_loss,params_AEP_MELI_trade_freq,params_AEP_MELI_z_entry,params_AEP_MELI_z_exit,params_AEP_MELI_z_stop_scaler,params_AEP_MELI_z_win,params_AXON_MSTR_beta_win,params_AXON_MSTR_stop_loss,params_AXON_MSTR_trade_freq,params_AXON_MSTR_z_entry,params_AXON_MSTR_z_exit,params_AXON_MSTR_z_stop_scaler,params_AXON_MSTR_z_win,params_BIIB_MCHP_beta_win,params_BIIB_MCHP_stop_loss,params_BIIB_MCHP_trade_freq,params_BIIB_MCHP_z_entry,params_BIIB_MCHP_z_exit,params_BIIB_MCHP_z_stop_scaler,params_BIIB_MCHP_z_win,params_CDW_IDXX_beta_win,params_CDW_IDXX_stop_loss,params_CDW_IDXX_trade_freq,params_CDW_IDXX_z_entry,params_CDW_IDXX_z_exit,params_CDW_IDXX_z_stop_scaler,params_CDW_IDXX_z_win,params_CMCSA_INTU_beta_win,params_CMCSA_INTU_stop_loss,params_CMCSA_INTU_trade_freq,params_CMCSA_INTU_z_entry,params_CMCSA_INTU_z_exit,params_CMCSA_INTU_z_stop_scaler,params_CMCSA_INTU_z_win,params_CSCO_DASH_beta_win,params_CSCO_DASH_stop_loss,params_CSCO_DASH_trade_freq,params_CSCO_DASH_z_entry,params_CSCO_DASH_z_exit,params_CSCO_DASH_z_stop_scaler,params_CSCO_DASH_z_win,params_DASH_FTNT_beta_win,params_DASH_FTNT_stop_loss,params_DASH_FTNT_trade_freq,params_DASH_FTNT_z_entry,params_DASH_FTNT_z_exit,params_DASH_FTNT_z_stop_scaler,params_DASH_FTNT_z_win,params_NFLX_PLTR_beta_win,params_NFLX_PLTR_stop_loss,params_NFLX_PLTR_trade_freq,params_NFLX_PLTR_z_entry,params_NFLX_PLTR_z_exit,params_NFLX_PLTR_z_stop_scaler,params_NFLX_PLTR_z_win,params_PAYX_XEL_beta_win,params_PAYX_XEL_stop_loss,params_PAYX_XEL_trade_freq,params_PAYX_XEL_z_entry,params_PAYX_XEL_z_exit,params_PAYX_XEL_z_stop_scaler,params_PAYX_XEL_z_win,params_buffer_capital,params_pairs_to_trade,state
32,32,1.470260383627696,2025-06-16 01:01:36.612698,2025-06-16 01:01:41.721045,0 days 00:00:05.108347,712.0,0.05,1m,1.3,1.2000000000000002,1.7000000000000002,872.0,528,0.025,3m,1.2000000000000002,0.7,1.5,152,512.0,0.025,2m,0.6,1.2000000000000002,2.0,640.0,,,,,,,,768.0,0.05,2m,1.3,1.5,1.4000000000000001,264.0,24.0,0.05,7m,0.9,0.5,1.1,384.0,,,,,,,,472.0,0.025,5m,1.3,0.8,1.6,760.0,168.0,0.05,6m,0.9,0.8,1.8000000000000003,656.0,,,,,,,,0.05,7,COMPLETE
33,33,-1.496173359180628,2025-06-16 01:01:41.796963,2025-06-16 01:01:46.014360,0 days 00:00:04.217397,352.0,0.05,6m,1.4,0.9,1.5,1024.0,672,0.025,9m,1.0,0.6,1.4000000000000001,16,696.0,0.05,9m,0.6,1.4,1.5,488.0,,,,,,,,,,,,,,,256.0,0.05,4m,1.1,0.6,1.2000000000000002,592.0,,,,,,,,368.0,0.025,5m,1.4,1.4,2.0,872.0,104.0,0.05,7m,1.1,1.0,1.7000000000000002,328.0,,,,,,,,0.1,6,COMPLETE
34,34,2.6382831545375307,2025-06-16 01:01:46.100871,2025-06-16 01:01:49.565098,0 days 00:00:03.464227,552.0,0.05,9m,1.1,0.7,1.8000000000000003,944.0,768,0.025,9m,1.0,0.5,1.7000000000000002,88,432.0,0.025,6m,0.8,1.1,1.8000000000000003,848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.0,0.025,7m,1.2000000000000002,0.6,1.9000000000000001,960.0,336.0,0.05,3m,0.8,1.2000000000000002,1.5,864.0,,,,,,,,0.05,5,COMPLETE
35,35,-0.8530994494028327,2025-06-16 01:01:49.630593,2025-06-16 01:01:52.279302,0 days 00:00:02.648709,560.0,0.05,5m,1.0,0.7,1.8000000000000003,424.0,792,0.025,9m,0.9,0.5,1.7000000000000002,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752.0,0.025,7m,1.2000000000000002,0.6,1.9000000000000001,952.0,312.0,0.05,3m,0.6,1.2000000000000002,1.5,872.0,,,,,,,,0.15000000000000002,4,COMPLETE
36,36,1.9487947486494859,2025-06-16 01:01:52.354935,2025-06-16 01:01:55.576515,0 days 00:00:03.221580,432.0,0.05,10m,1.1,0.5,1.9000000000000001,664.0,912,0.025,9m,1.0,0.5,1.8000000000000003,288,448.0,0.025,6m,1.0,1.1,1.9000000000000001,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688.0,0.025,7m,1.1,0.6,2.0,1016.0,224.0,0.05,3m,0.5,1.1,1.4000000000000001,928.0,,,,,,,,0.1,5,COMPLETE
37,37,-11.745729189008413,2025-06-16 01:01:55.649266,2025-06-16 01:02:00.223878,0 days 00:00:04.574612,240.0,0.05,9m,0.9,0.6,1.6,328.0,752,0.025,6m,0.8,0.7,1.6,416,160.0,0.025,6m,0.8,1.0,1.8000000000000003,816.0,,,,,,,,568.0,0.025,1m,0.5,0.8,1.8000000000000003,736.0,760.0,0.025,7m,1.3,1.5,1.7000000000000002,680.0,,,,,,,,584.0,0.025,1m,1.2000000000000002,0.7,1.9000000000000001,848.0,104.0,0.05,3m,0.7,1.2000000000000002,1.3,1024.0,,,,,,,,0.05,7,COMPLETE
38,38,1.4318027811559755,2025-06-16 01:02:00.282384,2025-06-16 01:02:05.987217,0 days 00:00:05.704833,496.0,0.05,7m,0.8,0.7,2.0,840.0,936,0.025,10m,1.1,0.5,1.6,80,392.0,0.025,6m,1.0,1.0,1.8000000000000003,952.0,1016.0,0.025,2m,1.5,0.5,2.0,896.0,864.0,0.05,10m,0.9,0.5,1.4000000000000001,160.0,616.0,0.025,3m,1.4,1.2000000000000002,1.7000000000000002,1024.0,704.0,0.05,4m,1.1,1.2000000000000002,1.4000000000000001,1024.0,800.0,0.025,4m,1.0,0.9,1.8000000000000003,952.0,432.0,0.05,8m,0.8,1.4,1.5,424.0,,,,,,,,0.15000000000000002,9,COMPLETE
39,39,-2.2141768560989066,2025-06-16 01:02:06.047630,2025-06-16 01:02:08.660128,0 days 00:00:02.612498,920.0,0.05,5m,1.0,0.6,1.8000000000000003,712.0,744,0.05,9m,0.6,1.1,1.8000000000000003,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.0,0.05,7m,1.3,0.6,2.0,896.0,336.0,0.05,4m,0.7,1.2000000000000002,1.3,824.0,,,,,,,,0.5,4,COMPLETE
40,40,-0.72926375020354,2025-06-16 01:02:08.731508,2025-06-16 01:02:10.670294,0 days 00:00:01.938786,600.0,0.025,6m,0.9,0.8,1.3,120.0,312,0.025,7m,1.3,0.8,1.7000000000000002,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.0,0.025,2m,1.2000000000000002,1.3,1.5,256.0,,,,,,,,0.35000000000000003,3,COMPLETE
41,41,2.5924039193516,2025-06-16 01:02:10.737482,2025-06-16 01:02:13.803651,0 days 00:00:03.066169,384.0,0.05,10m,1.1,0.5,1.9000000000000001,680.0,888,0.025,9m,1.0,0.5,1.8000000000000003,304,472.0,0.025,6m,0.9,1.1,1.9000000000000001,808.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.0,0.025,7m,1.1,0.6,2.0,992.0,200.0,0.05,3m,0.5,1.1,1.4000000000000001,944.0,,,,,,,,0.1,5,COMPLETE
42,42,2.6538173629011426,2025-06-16 01:02:13.872921,2025-06-16 01:02:17.024775,0 days 00:00:03.151854,280.0,0.05,10m,1.1,0.5,1.9000000000000001,632.0,864,0.025,9m,1.0,0.5,1.9000000000000001,288,488.0,0.025,6m,0.9,1.1,2.0,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.0,0.025,7m,1.1,0.5,1.9000000000000001,984.0,152.0,0.05,3m,0.5,1.0,1.4000000000000001,1024.0,,,,,,,,0.1,5,COMPLETE
43,43,1.0255181522946109,2025-06-16 01:02:17.096784,2025-06-16 01:02:19.554868,0 days 00:00:02.458084,304.0,0.05,10m,1.2000000000000002,0.5,1.9000000000000001,632.0,896,0.025,9m,1.0,0.6,1.9000000000000001,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688.0,0.025,7m,0.9,0.5,2.0,1024.0,144.0,0.05,3m,0.5,1.0,1.4000000000000001,992.0,,,,,,,,0.05,4,COMPLETE
44,44,-2.687989695962954,2025-06-16 01:02:19.612449,2025-06-16 01:02:24.038513,0 days 00:00:04.426064,160.0,0.05,10m,1.1,0.5,2.0,736.0,960,0.025,4m,1.0,0.5,1.9000000000000001,456,336.0,0.025,6m,0.9,0.9,2.0,776.0,,,,,,,,664.0,0.05,1m,1.2000000000000002,1.4,1.7000000000000002,440.0,880.0,0.025,4m,1.2000000000000002,0.9,1.4000000000000001,840.0,264.0,0.025,10m,1.5,1.1,1.4000000000000001,336.0,856.0,0.025,6m,1.0,0.5,1.9000000000000001,416.0,96.0,0.05,3m,0.5,0.5,1.3,1024.0,,,,,,,,0.15000000000000002,8,COMPLETE
45,45,-1.7013475227080268,2025-06-16 01:02:24.098715,2025-06-16 01:02:26.628798,0 days 00:00:02.530083,376.0,0.05,10m,1.2000000000000002,0.6,1.9000000000000001,648.0,864,0.025,5m,1.1,0.6,2.0,248,648.0,0.025,7m,0.9,1.2000000000000002,1.9000000000000001,912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.0,0.025,7m,1.1,0.6,1.8000000000000003,824.0,184.0,0.05,3m,0.6,1.0,1.4000000000000001,960.0,,,,,,,,0.1,5,COMPLETE
46,46,0.5282573151602419,2025-06-16 01:02:26.676908,2025-06-16 01:02:29.679698,0 days 00:00:03.002790,184.0,0.025,10m,1.1,0.5,1.9000000000000001,584.0,1024,0.025,2m,0.9,0.7,1.8000000000000003,568,792.0,0.025,8m,1.5,1.0,2.0,1000.0,,,,,,,,,,,,,,,488.0,0.05,5m,0.7,1.3,2.0,464.0,,,,,,,,632.0,0.05,7m,0.9,0.5,1.1,952.0,528.0,0.05,3m,0.5,1.1,1.2000000000000002,936.0,,,,,,,,0.05,6,COMPLETE
47,47,-0.7189101823198991,2025-06-16 01:02:29.739316,2025-06-16 01:02:31.838126,0 days 00:00:02.098810,392.0,0.05,3m,1.2000000000000002,0.6,2.0,800.0,816,0.025,10m,1.3,0.6,1.9000000000000001,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728.0,0.025,7m,1.1,0.7,1.9000000000000001,864.0,744.0,0.05,1m,0.6,1.0,1.5,792.0,,,,,,,,0.45,4,COMPLETE
48,48,-1.1731076973265686,2025-06-16 01:02:31.895194,2025-06-16 01:02:34.880139,0 days 00:00:02.984945,296.0,0.05,8m,1.1,0.7,1.8000000000000003,448.0,752,0.05,8m,0.8,1.3,1.8000000000000003,456,528.0,0.025,5m,1.0,1.4,1.9000000000000001,808.0,,,,,,,,,,,,,,,160.0,0.025,2m,1.4,1.1,1.2000000000000002,280.0,,,,,,,,896.0,0.025,10m,1.2000000000000002,0.5,2.0,784.0,296.0,0.05,10m,0.5,0.9,2.0,912.0,,,,,,,,0.2,6,COMPLETE
49,49,2.569500087746175,2025-06-16 01:02:34.931624,2025-06-16 01:02:38.756010,0 days 00:00:03.824386,64.0,0.05,10m,0.9,0.5,1.5,480.0,568,0.025,9m,1.0,0.5,1.7000000000000002,176,408.0,0.025,1m,0.8,1.1,2.0,880.0,,,,,,,,296.0,0.025,8m,0.8,1.1,1.9000000000000001,704.0,1016.0,0.05,6m,1.0,1.4,1.8000000000000003,640.0,704.0,0.05,8m,1.2000000000000002,1.5,1.8000000000000003,784.0,792.0,0.025,8m,1.0,0.6,1.5,976.0,136.0,0.05,3m,0.6,1.2000000000000002,1.4000000000000001,400.0,,,,,,,,0.1,8,COMPLETE
50,50,2.596132775297114,2025-06-16 01:02:38.807208,2025-06-16 01:02:42.191435,0 days 00:00:03.384227,464.0,0.025,4m,1.4,0.6,1.9000000000000001,704.0,984,0.025,4m,0.7,0.8,2.0,912,104.0,0.025,10m,1.0,0.8,1.8000000000000003,688.0,,,,,,,,896.0,0.05,4m,1.2000000000000002,0.7,1.3,144.0,736.0,0.05,9m,1.2000000000000002,0.7,1.4000000000000001,824.0,,,,,,,,288.0,0.05,6m,1.1,0.9,2.0,512.0,464.0,0.05,5m,0.7,0.9,1.5,312.0,,,,,,,,0.15000000000000002,7,COMPLETE
51,51,1.7850630475963811,2025-06-16 01:02:42.242704,2025-06-16 01:02:45.132598,0 days 00:00:02.889894,480.0,0.025,4m,1.3,0.6,1.9000000000000001,576.0,992,0.025,4m,0.7,0.8,2.0,904,112.0,0.025,10m,1.0,0.7,1.8000000000000003,688.0,,,,,,,,880.0,0.05,4m,1.2000000000000002,0.7,1.3,168.0,736.0,0.05,9m,1.2000000000000002,0.9,1.5,816.0,,,,,,,,256.0,0.05,6m,1.1,0.9,2.0,496.0,496.0,0.05,5m,0.7,0.9,1.5,328.0,,,,,,,,0.15000000000000002,7,COMPLETE
52,52,-0.7176666978739906,2025-06-16 01:02:45.161357,2025-06-16 01:02:47.275014,0 days 00:00:02.113657,416.0,0.025,4m,1.4,0.5,1.8000000000000003,680.0,960,0.025,4m,0.8,0.7,2.0,896,96.0,0.025,10m,0.9,0.8,1.9000000000000001,592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0,0.05,6m,0.5,0.9,1.9000000000000001,320.0,456.0,0.05,5m,0.7,0.7,1.4000000000000001,232.0,,,,,,,,0.05,5,COMPLETE
53,53,-1.5596052320500104,2025-06-16 01:02:47.307274,2025-06-16 01:02:49.826427,0 days 00:00:02.519153,272.0,0.025,4m,1.5,0.6,2.0,704.0,888,0.025,4m,0.6,1.0,1.9000000000000001,768,272.0,0.025,4m,1.1,1.2000000000000002,1.8000000000000003,784.0,,,,,,,,,,,,,,,608.0,0.05,9m,1.2000000000000002,0.7,1.4000000000000001,912.0,,,,,,,,168.0,0.05,6m,1.2000000000000002,0.7,2.0,520.0,616.0,0.05,5m,1.5,0.8,1.3,528.0,,,,,,,,0.1,6,COMPLETE
54,54,-2.3007038301568086,2025-06-16 01:02:49.875188,2025-06-16 01:02:52.099186,0 days 00:00:02.223998,536.0,0.025,2m,1.0,0.7,1.9000000000000001,776.0,840,0.025,7m,1.1,0.7,1.9000000000000001,1024,16.0,0.025,10m,0.9,0.8,1.9000000000000001,536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.0,0.05,9m,1.0,1.0,1.3,568.0,376.0,0.05,4m,0.6,1.1,1.9000000000000001,472.0,,,,,,,,0.25,5,COMPLETE
55,55,-11.013808110372176,2025-06-16 01:02:52.143387,2025-06-16 01:02:55.944882,0 days 00:00:03.801495,344.0,0.05,9m,1.2000000000000002,0.8,1.8000000000000003,616.0,920,0.025,1m,0.7,0.6,2.0,664,352.0,0.025,7m,0.8,0.6,2.0,648.0,120.0,0.025,8m,1.4,1.1,1.6,680.0,928.0,0.05,4m,1.0,0.8,1.3,376.0,904.0,0.05,9m,1.5,0.6,1.2000000000000002,760.0,696.0,0.025,8m,0.9,1.0,1.3,200.0,608.0,0.025,2m,1.1,1.1,1.9000000000000001,368.0,216.0,0.05,9m,0.5,0.9,1.6,192.0,,,,,,,,0.15000000000000002,9,COMPLETE
56,56,-0.844365514476971,2025-06-16 01:02:55.976471,2025-06-16 01:02:59.073329,0 days 00:00:03.096858,200.0,0.025,1m,1.1,0.9,2.0,840.0,488,0.025,9m,0.9,0.8,1.8000000000000003,360,208.0,0.025,6m,1.0,1.5,1.7000000000000002,712.0,,,,,,,,696.0,0.05,3m,1.4,0.7,1.5,136.0,536.0,0.05,8m,0.8,0.9,1.4000000000000001,648.0,,,,,,,,984.0,0.025,7m,1.2000000000000002,0.5,1.8000000000000003,168.0,552.0,0.025,1m,0.8,1.0,1.5,304.0,,,,,,,,0.1,7,COMPLETE
57,57,-2.1560417051678353,2025-06-16 01:02:59.128713,2025-06-16 01:03:01.764868,0 days 00:00:02.636155,456.0,0.05,7m,0.8,0.6,1.9000000000000001,744.0,784,0.025,4m,0.8,0.5,2.0,840,72.0,0.025,2m,1.1,0.8,1.8000000000000003,944.0,,,,,,,,,,,,,,,680.0,0.05,9m,1.3,0.7,1.1,360.0,,,,,,,,352.0,0.05,3m,1.1,0.9,2.0,648.0,64.0,0.05,8m,0.6,1.1,1.6,368.0,,,,,,,,0.2,6,COMPLETE
58,58,0.6727570440375792,2025-06-16 01:03:01.803874,2025-06-16 01:03:04.101820,0 days 00:00:02.297946,128.0,0.05,9m,1.5,1.0,1.6,544.0,384,0.025,9m,1.4,1.5,1.7000000000000002,320,328.0,0.025,3m,0.8,1.0,2.0,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.0,0.025,4m,1.2000000000000002,0.6,2.0,472.0,352.0,0.05,3m,0.7,0.9,1.2000000000000002,584.0,,,,,,,,0.05,5,COMPLETE
59,59,-15.679749851020992,2025-06-16 01:03:04.144598,2025-06-16 01:03:07.621499,0 days 00:00:03.476901,400.0,0.05,4m,1.4,0.5,1.8000000000000003,344.0,968,0.025,8m,1.0,0.6,1.9000000000000001,504,560.0,0.025,6m,0.9,1.3,1.7000000000000002,560.0,,,,,,,,1024.0,0.05,2m,1.2000000000000002,0.9,1.2000000000000002,368.0,320.0,0.05,9m,1.1,0.9,1.6,456.0,192.0,0.05,1m,0.5,0.7,1.8000000000000003,840.0,544.0,0.025,7m,1.0,0.8,1.7000000000000002,984.0,688.0,0.025,5m,0.9,1.4,1.8000000000000003,704.0,,,,,,,,0.15000000000000002,8,COMPLETE
60,60,0.25588599621146,2025-06-16 01:03:07.656426,2025-06-16 01:03:10.587370,0 days 00:00:02.930944,328.0,0.05,10m,0.7,0.6,1.3,944.0,416,0.025,6m,0.9,0.9,1.6,408,440.0,0.025,10m,1.1,0.9,1.9000000000000001,480.0,,,,,,,,616.0,0.05,7m,0.9,0.6,1.7000000000000002,128.0,432.0,0.05,8m,1.4,1.1,1.5,920.0,,,,,,,,208.0,0.025,8m,0.8,0.7,1.9000000000000001,896.0,408.0,0.05,3m,0.5,1.1,1.4000000000000001,984.0,,,,,,,,0.1,7,COMPLETE
61,61,1.6903278616959276,2025-06-16 01:03:10.626680,2025-06-16 01:03:13.939431,0 days 00:00:03.312751,80.0,0.05,10m,0.9,0.5,1.5,488.0,584,0.025,9m,1.0,0.5,1.7000000000000002,160,416.0,0.025,1m,0.8,1.1,2.0,912.0,,,,,,,,232.0,0.025,8m,0.8,1.1,1.9000000000000001,672.0,944.0,0.05,6m,1.0,1.4,1.9000000000000001,632.0,688.0,0.05,8m,1.3,1.5,1.8000000000000003,768.0,800.0,0.025,8m,1.0,0.6,1.5,992.0,152.0,0.05,3m,0.6,1.2000000000000002,1.4000000000000001,448.0,,,,,,,,0.1,8,COMPLETE
62,62,0.8918022580843277,2025-06-16 01:03:13.955243,2025-06-16 01:03:17.266996,0 days 00:00:03.311753,32.0,0.05,10m,0.9,0.5,1.4000000000000001,64.0,560,0.025,9m,1.0,0.5,1.3,192,504.0,0.025,1m,0.8,1.1,2.0,864.0,,,,,,,,360.0,0.025,8m,0.8,1.1,1.9000000000000001,888.0,800.0,0.05,6m,1.0,1.4,1.7000000000000002,736.0,800.0,0.05,8m,1.2000000000000002,1.5,1.8000000000000003,656.0,768.0,0.025,8m,1.2000000000000002,0.5,1.5,968.0,1000.0,0.05,3m,0.6,1.3,1.5,408.0,,,,,,,,0.1,8,COMPLETE
63,63,0.6751716337496528,2025-06-16 01:03:17.302139,2025-06-16 01:03:21.037072,0 days 00:00:03.734933,536.0,0.05,10m,1.0,0.6,1.5,888.0,664,0.025,9m,0.9,0.6,1.8000000000000003,232,624.0,0.025,1m,0.9,1.2000000000000002,1.9000000000000001,888.0,736.0,0.025,4m,1.1,0.5,2.0,112.0,216.0,0.025,5m,0.6,0.9,1.9000000000000001,648.0,1016.0,0.05,6m,0.8,1.1,1.8000000000000003,784.0,544.0,0.05,10m,1.0,1.3,1.7000000000000002,872.0,832.0,0.025,6m,0.9,0.6,1.4000000000000001,1024.0,128.0,0.05,3m,0.7,1.2000000000000002,1.4000000000000001,384.0,,,,,,,,0.15000000000000002,9,COMPLETE
64,64,-0.9961439361179105,2025-06-16 01:03:21.053024,2025-06-16 01:03:25.340672,0 days 00:00:04.287648,88.0,0.05,9m,0.9,0.5,1.5,696.0,872,0.025,9m,1.1,0.5,1.6,112,376.0,0.025,4m,1.0,1.1,2.0,752.0,288.0,0.05,10m,1.1,1.1,1.4000000000000001,728.0,448.0,0.025,6m,1.1,1.1,1.7000000000000002,832.0,856.0,0.05,1m,1.3,0.8,2.0,696.0,552.0,0.05,2m,0.8,1.1,1.5,520.0,704.0,0.025,8m,1.1,0.7,1.6,912.0,200.0,0.05,1m,0.5,1.0,1.4000000000000001,272.0,1024.0,0.025,7m,1.5,1.0,2.0,16.0,0.05,10,COMPLETE
65,65,-1.9693397482891528,2025-06-16 01:03:25.380332,2025-06-16 01:03:28.034588,0 days 00:00:02.654256,456.0,0.05,10m,0.8,0.7,1.4000000000000001,216.0,488,0.025,2m,0.7,0.5,1.7000000000000002,56,464.0,0.025,2m,0.7,1.2000000000000002,1.3,184.0,,,,,,,,,,,,,,,968.0,0.025,6m,1.1,0.6,1.9000000000000001,904.0,,,,,,,,648.0,0.025,1m,0.9,1.2000000000000002,1.4000000000000001,928.0,272.0,0.05,2m,0.8,1.3,1.3,328.0,,,,,,,,0.1,6,COMPLETE
66,66,-0.6321325905347469,2025-06-16 01:03:28.089685,2025-06-16 01:03:29.907999,0 days 00:00:01.818314,280.0,0.05,8m,1.0,0.5,1.6,264.0,584,0.025,9m,1.0,0.6,1.2000000000000002,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.0,0.025,5m,1.1,0.8,1.9000000000000001,840.0,32.0,0.05,3m,0.6,1.1,1.5,400.0,,,,,,,,0.2,4,COMPLETE
67,67,-0.5011975896047858,2025-06-16 01:03:29.964055,2025-06-16 01:03:32.179920,0 days 00:00:02.215865,360.0,0.05,3m,1.1,0.6,1.9000000000000001,480.0,720,0.025,4m,0.5,0.8,1.8000000000000003,136,304.0,0.025,6m,0.8,1.5,1.9000000000000001,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,0.025,10m,1.4,0.9,2.0,976.0,72.0,0.05,7m,0.9,1.2000000000000002,1.4000000000000001,528.0,,,,,,,,0.05,5,COMPLETE
68,68,1.076144473558469,2025-06-16 01:03:32.226938,2025-06-16 01:03:35.273093,0 days 00:00:03.046155,504.0,0.05,9m,0.6,0.5,2.0,616.0,256,0.025,5m,1.1,0.7,1.7000000000000002,232,136.0,0.025,8m,0.9,1.3,2.0,784.0,,,,,,,,792.0,0.025,10m,0.8,0.6,1.5,224.0,768.0,0.05,1m,1.2000000000000002,1.3,1.8000000000000003,584.0,,,,,,,,888.0,0.025,7m,1.3,0.5,1.8000000000000003,760.0,176.0,0.025,10m,1.0,1.0,1.7000000000000002,112.0,,,,,,,,0.1,7,COMPLETE
69,69,-8.006017776034632,2025-06-16 01:03:35.310820,2025-06-16 01:03:39.127597,0 days 00:00:03.816777,616.0,0.05,6m,1.2000000000000002,0.7,1.7000000000000002,288.0,440,0.025,9m,0.8,0.9,1.9000000000000001,264,544.0,0.025,6m,0.8,1.0,1.1,696.0,728.0,0.025,1m,0.8,0.8,1.8000000000000003,272.0,272.0,0.05,8m,1.0,0.9,2.0,616.0,568.0,0.05,9m,1.3,1.0,1.6,488.0,360.0,0.05,1m,1.2000000000000002,1.3,1.9000000000000001,904.0,272.0,0.025,9m,1.0,0.8,1.7000000000000002,816.0,464.0,0.05,9m,0.7,1.2000000000000002,1.6,848.0,,,,,,,,0.15000000000000002,9,COMPLETE
70,70,-2.7692271873245815,2025-06-16 01:03:39.162889,2025-06-16 01:03:41.327486,0 days 00:00:02.164597,1008.0,0.05,4m,1.3,0.8,1.9000000000000001,808.0,808,0.025,10m,0.9,1.1,1.3,336,48.0,0.025,1m,0.7,1.1,1.4000000000000001,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.0,0.025,5m,1.2000000000000002,1.0,1.6,896.0,256.0,0.05,1m,0.8,1.1,1.5,952.0,,,,,,,,0.05,5,COMPLETE
71,71,-0.3105058362996725,2025-06-16 01:03:41.343429,2025-06-16 01:03:43.454836,0 days 00:00:02.111407,848.0,0.05,5m,1.0,1.1,1.7000000000000002,992.0,512,0.025,9m,1.0,0.5,1.5,72,464.0,0.025,6m,0.7,1.1,1.3,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,0.025,5m,1.3,0.8,1.9000000000000001,936.0,224.0,0.05,7m,0.8,1.1,1.6,872.0,,,,,,,,0.1,5,COMPLETE
72,72,1.015112713472762,2025-06-16 01:03:43.491565,2025-06-16 01:03:45.193012,0 days 00:00:01.701447,760.0,0.05,5m,1.0,1.2000000000000002,1.8000000000000003,984.0,624,0.025,9m,0.9,0.5,1.5,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.0,0.025,5m,1.3,0.6,1.9000000000000001,992.0,296.0,0.05,7m,0.8,1.0,1.8000000000000003,776.0,,,,,,,,0.1,4,COMPLETE
73,73,0.3026849893701292,2025-06-16 01:03:45.250222,2025-06-16 01:03:47.379017,0 days 00:00:02.128795,704.0,0.05,5m,1.1,1.4,1.8000000000000003,928.0,536,0.025,9m,0.9,0.5,1.6,168,504.0,0.025,6m,0.6,1.1,1.5,672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760.0,0.025,5m,1.2000000000000002,0.9,2.0,976.0,136.0,0.05,7m,0.9,1.1,1.6,912.0,,,,,,,,0.1,5,COMPLETE
74,74,-1.4709595899626546,2025-06-16 01:03:47.394966,2025-06-16 01:03:49.961249,0 days 00:00:02.566283,816.0,0.05,2m,0.9,1.0,1.6,856.0,664,0.025,9m,1.0,0.6,1.4000000000000001,88,424.0,0.025,6m,0.8,1.0,1.7000000000000002,728.0,,,,,,,,,,,,,,,648.0,0.05,2m,0.9,0.8,1.3,384.0,,,,,,,,512.0,0.025,2m,1.1,0.7,1.8000000000000003,872.0,328.0,0.05,7m,0.7,1.2000000000000002,1.7000000000000002,728.0,,,,,,,,0.15000000000000002,6,COMPLETE
75,75,-37.18871648617529,2025-06-16 01:03:50.005843,2025-06-16 01:03:52.606002,0 days 00:00:02.600159,432.0,0.05,5m,1.1,0.5,1.7000000000000002,896.0,992,0.025,1m,0.8,0.7,1.5,208,600.0,0.025,5m,0.7,1.2000000000000002,1.2000000000000002,864.0,,,,,,,,,,,,,,,472.0,0.05,7m,1.0,1.0,1.5,536.0,,,,,,,,432.0,0.025,5m,1.3,0.8,1.5,1024.0,264.0,0.05,3m,0.6,1.3,1.5,1000.0,,,,,,,,0.15000000000000002,6,COMPLETE
76,76,-0.3580926505206624,2025-06-16 01:03:52.648784,2025-06-16 01:03:54.512671,0 days 00:00:01.863887,952.0,0.05,1m,1.0,0.6,1.5,1000.0,560,0.025,4m,0.7,0.5,1.4000000000000001,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.0,0.025,8m,1.1,0.6,2.0,944.0,616.0,0.05,4m,0.5,1.0,1.5,856.0,,,,,,,,0.05,4,COMPLETE
