,number,value,datetime_start,datetime_complete,duration,params_ADP_XEL_beta_win,params_ADP_XEL_stop_loss,params_ADP_XEL_trade_freq,params_ADP_XEL_z_entry,params_ADP_XEL_z_exit,params_ADP_XEL_z_stop_scaler,params_ADP_XEL_z_win,params_AEP_MELI_beta_win,params_AEP_MELI_stop_loss,params_AEP_MELI_trade_freq,params_AEP_MELI_z_entry,params_AEP_MELI_z_exit,params_AEP_MELI_z_stop_scaler,params_AEP_MELI_z_win,params_AXON_MSTR_beta_win,params_AXON_MSTR_stop_loss,params_AXON_MSTR_trade_freq,params_AXON_MSTR_z_entry,params_AXON_MSTR_z_exit,params_AXON_MSTR_z_stop_scaler,params_AXON_MSTR_z_win,params_BIIB_MCHP_beta_win,params_BIIB_MCHP_stop_loss,params_BIIB_MCHP_trade_freq,params_BIIB_MCHP_z_entry,params_BIIB_MCHP_z_exit,params_BIIB_MCHP_z_stop_scaler,params_BIIB_MCHP_z_win,params_CDW_IDXX_beta_win,params_CDW_IDXX_stop_loss,params_CDW_IDXX_trade_freq,params_CDW_IDXX_z_entry,params_CDW_IDXX_z_exit,params_CDW_IDXX_z_stop_scaler,params_CDW_IDXX_z_win,params_CMCSA_INTU_beta_win,params_CMCSA_INTU_stop_loss,params_CMCSA_INTU_trade_freq,params_CMCSA_INTU_z_entry,params_CMCSA_INTU_z_exit,params_CMCSA_INTU_z_stop_scaler,params_CMCSA_INTU_z_win,params_CSCO_DASH_beta_win,params_CSCO_DASH_stop_loss,params_CSCO_DASH_trade_freq,params_CSCO_DASH_z_entry,params_CSCO_DASH_z_exit,params_CSCO_DASH_z_stop_scaler,params_CSCO_DASH_z_win,params_DASH_FTNT_beta_win,params_DASH_FTNT_stop_loss,params_DASH_FTNT_trade_freq,params_DASH_FTNT_z_entry,params_DASH_FTNT_z_exit,params_DASH_FTNT_z_stop_scaler,params_DASH_FTNT_z_win,params_NFLX_PLTR_beta_win,params_NFLX_PLTR_stop_loss,params_NFLX_PLTR_trade_freq,params_NFLX_PLTR_z_entry,params_NFLX_PLTR_z_exit,params_NFLX_PLTR_z_stop_scaler,params_NFLX_PLTR_z_win,params_PAYX_XEL_beta_win,params_PAYX_XEL_stop_loss,params_PAYX_XEL_trade_freq,params_PAYX_XEL_z_entry,params_PAYX_XEL_z_exit,params_PAYX_XEL_z_stop_scaler,params_PAYX_XEL_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-1.5327054964448903,2025-06-16 01:00:01.591947,2025-06-16 01:00:09.452068,0 days 00:00:07.860121,528.0,0.05,7m,1.5,0.9,1.8000000000000003,544.0,32,0.025,8m,1.0,0.5,2.0,984,712.0,0.05,3m,1.3,1.5,1.4000000000000001,16.0,840.0,0.05,7m,0.5,1.5,1.1,48.0,72.0,0.05,8m,0.5,0.6,1.1,544.0,480.0,0.05,9m,1.1,1.5,1.6,240.0,1024.0,0.025,9m,0.5,0.5,2.0,984.0,936.0,0.05,5m,1.5,0.9,1.4000000000000001,32.0,488.0,0.025,8m,1.0,1.5,2.0,48.0,632.0,0.025,8m,1.3,0.5,1.6,272.0,0.5,10,COMPLETE
11,11,2.858550630348871,2025-06-16 01:00:09.536579,2025-06-16 01:00:15.049011,0 days 00:00:05.512432,368.0,0.05,9m,1.1,0.9,1.5,104.0,520,0.025,4m,0.8,0.7,1.4000000000000001,272,24.0,0.025,6m,0.9,1.5,1.1,296.0,,,,,,,,944.0,0.05,10m,0.9,0.8,1.8000000000000003,240.0,592.0,0.05,9m,1.3,0.7,1.1,408.0,,,,,,,,344.0,0.025,5m,1.2000000000000002,0.9,1.8000000000000003,800.0,544.0,0.05,1m,0.6,1.0,1.8000000000000003,408.0,,,,,,,,0.1,7,COMPLETE
12,12,1.0350547863481039,2025-06-16 01:00:15.122671,2025-06-16 01:00:21.281696,0 days 00:00:06.159025,424.0,0.05,9m,1.2000000000000002,0.8,1.6,32.0,824,0.025,4m,0.8,0.7,1.4000000000000001,248,32.0,0.025,10m,1.1,1.5,1.1,208.0,,,,,,,,536.0,0.05,6m,1.1,0.8,1.1,448.0,520.0,0.05,9m,1.2000000000000002,0.6,1.3,312.0,1024.0,0.025,6m,0.7,0.9,2.0,696.0,400.0,0.025,5m,1.3,0.9,2.0,1016.0,496.0,0.05,9m,0.5,1.1,1.8000000000000003,440.0,,,,,,,,0.15000000000000002,8,COMPLETE
13,13,-5.2384197227778895,2025-06-16 01:00:21.408352,2025-06-16 01:00:29.326086,0 days 00:00:07.917734,24.0,0.05,1m,1.1,0.8,1.5,512.0,456,0.025,8m,0.8,0.8,1.8000000000000003,288,40.0,0.025,3m,1.1,1.3,1.3,296.0,480.0,0.025,7m,0.5,1.5,1.2000000000000002,1016.0,424.0,0.025,3m,1.0,1.0,1.4000000000000001,16.0,808.0,0.05,9m,1.5,1.0,1.9000000000000001,456.0,24.0,0.05,3m,0.9,0.5,1.6,424.0,800.0,0.05,3m,1.2000000000000002,1.1,1.8000000000000003,616.0,624.0,0.05,1m,0.7,1.0,1.8000000000000003,360.0,216.0,0.05,1m,0.5,1.5,1.1,888.0,0.2,10,COMPLETE
14,14,1.7698695422014055,2025-06-16 01:00:29.389483,2025-06-16 01:00:34.173533,0 days 00:00:04.784050,664.0,0.05,9m,1.3,1.1,1.7000000000000002,960.0,600,0.025,3m,1.2000000000000002,0.6,1.4000000000000001,16,584.0,0.05,9m,0.7,1.3,1.6,320.0,,,,,,,,,,,,,,,384.0,0.05,10m,0.9,0.5,1.3,88.0,,,,,,,,432.0,0.025,5m,1.5,1.5,1.7000000000000002,696.0,376.0,0.05,6m,0.9,0.9,1.7000000000000002,632.0,,,,,,,,0.05,6,COMPLETE
15,15,0.23525521744150615,2025-06-16 01:00:34.240375,2025-06-16 01:00:38.867128,0 days 00:00:04.626753,680.0,0.05,9m,1.0,1.1,1.7000000000000002,976.0,1016,0.025,3m,0.8,1.1,1.4000000000000001,32,624.0,0.025,8m,0.5,1.2000000000000002,1.7000000000000002,392.0,,,,,,,,,,,,,,,704.0,0.05,10m,0.9,0.5,1.1,24.0,,,,,,,,432.0,0.025,4m,1.5,1.5,1.7000000000000002,712.0,416.0,0.05,6m,0.9,0.8,1.7000000000000002,736.0,,,,,,,,0.05,6,COMPLETE
16,16,-4.794875710555796,2025-06-16 01:00:38.933989,2025-06-16 01:00:44.119354,0 days 00:00:05.185365,664.0,0.05,9m,1.3,0.8,1.4000000000000001,152.0,704,0.025,3m,1.1,0.9,1.4000000000000001,128,1024.0,0.05,9m,0.7,1.2000000000000002,1.6,88.0,,,,,,,,696.0,0.025,10m,1.1,0.5,2.0,48.0,280.0,0.05,6m,0.7,0.5,1.3,24.0,,,,,,,,176.0,0.025,7m,0.8,1.5,1.7000000000000002,872.0,664.0,0.05,6m,1.1,1.3,1.7000000000000002,896.0,,,,,,,,0.05,7,COMPLETE
17,17,3.1688445158509833,2025-06-16 01:00:44.190527,2025-06-16 01:00:48.014813,0 days 00:00:03.824286,816.0,0.05,5m,0.9,0.5,1.9000000000000001,832.0,488,0.025,9m,0.9,0.7,1.2000000000000002,160,544.0,0.025,2m,0.8,1.3,2.0,768.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.0,0.025,5m,1.2000000000000002,0.8,2.0,1000.0,232.0,0.025,7m,0.9,1.1,1.6,648.0,,,,,,,,0.15000000000000002,5,COMPLETE
18,18,-0.1387581223164836,2025-06-16 01:00:48.069340,2025-06-16 01:00:49.001411,0 days 00:00:00.932071,,,,,,,,200,0.025,9m,0.7,1.4,1.2000000000000002,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
19,19,-12.891454603117625,2025-06-16 01:00:49.055310,2025-06-16 01:00:52.597686,0 days 00:00:03.542376,984.0,0.05,5m,0.9,0.6,2.0,840.0,464,0.025,1m,0.9,0.8,1.2000000000000002,368,152.0,0.025,2m,0.9,1.3,2.0,736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736.0,0.025,5m,1.2000000000000002,0.7,2.0,984.0,48.0,0.025,7m,0.6,1.4,1.6,752.0,,,,,,,,0.15000000000000002,5,COMPLETE
20,20,-1.286136562915748,2025-06-16 01:00:52.684778,2025-06-16 01:00:57.993096,0 days 00:00:05.308318,840.0,0.05,4m,0.9,0.5,1.4000000000000001,520.0,320,0.05,9m,0.7,1.0,1.2000000000000002,736,488.0,0.025,5m,1.2000000000000002,0.5,1.9000000000000001,720.0,,,,,,,,1008.0,0.025,4m,1.4,0.7,1.6,272.0,1000.0,0.025,5m,1.1,0.8,1.8000000000000003,528.0,,,,,,,,40.0,0.025,1m,0.8,0.8,1.9000000000000001,904.0,192.0,0.025,7m,0.9,1.1,1.1,560.0,,,,,,,,0.25,7,COMPLETE
21,21,0.7657609498440812,2025-06-16 01:00:58.059693,2025-06-16 01:01:01.746771,0 days 00:00:03.687078,816.0,0.05,5m,1.1,1.0,1.8000000000000003,888.0,504,0.025,4m,1.1,0.6,1.5,16,592.0,0.025,2m,0.7,1.3,1.7000000000000002,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496.0,0.025,5m,1.2000000000000002,1.0,1.8000000000000003,664.0,360.0,0.025,1m,1.0,1.0,1.7000000000000002,664.0,,,,,,,,0.1,5,COMPLETE
