,number,value,datetime_start,datetime_complete,duration,params_ADP_PCAR_beta_win,params_ADP_PCAR_stop_loss,params_ADP_PCAR_trade_freq,params_ADP_PCAR_z_entry,params_ADP_PCAR_z_exit,params_ADP_PCAR_z_stop_scaler,params_ADP_PCAR_z_win,params_AMD_PCAR_beta_win,params_AMD_PCAR_stop_loss,params_AMD_PCAR_trade_freq,params_AMD_PCAR_z_entry,params_AMD_PCAR_z_exit,params_AMD_PCAR_z_stop_scaler,params_AMD_PCAR_z_win,params_CERN_TMUS_beta_win,params_CERN_TMUS_stop_loss,params_CERN_TMUS_trade_freq,params_CERN_TMUS_z_entry,params_CERN_TMUS_z_exit,params_CERN_TMUS_z_stop_scaler,params_CERN_TMUS_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_CMCSA_MU_beta_win,params_CMCSA_MU_stop_loss,params_CMCSA_MU_trade_freq,params_CMCSA_MU_z_entry,params_CMCSA_MU_z_exit,params_CMCSA_MU_z_stop_scaler,params_CMCSA_MU_z_win,params_CMCSA_PDD_beta_win,params_CMCSA_PDD_stop_loss,params_CMCSA_PDD_trade_freq,params_CMCSA_PDD_z_entry,params_CMCSA_PDD_z_exit,params_CMCSA_PDD_z_stop_scaler,params_CMCSA_PDD_z_win,params_CMCSA_PEP_beta_win,params_CMCSA_PEP_stop_loss,params_CMCSA_PEP_trade_freq,params_CMCSA_PEP_z_entry,params_CMCSA_PEP_z_exit,params_CMCSA_PEP_z_stop_scaler,params_CMCSA_PEP_z_win,params_COST_MAR_beta_win,params_COST_MAR_stop_loss,params_COST_MAR_trade_freq,params_COST_MAR_z_entry,params_COST_MAR_z_exit,params_COST_MAR_z_stop_scaler,params_COST_MAR_z_win,params_DXCM_XLNX_beta_win,params_DXCM_XLNX_stop_loss,params_DXCM_XLNX_trade_freq,params_DXCM_XLNX_z_entry,params_DXCM_XLNX_z_exit,params_DXCM_XLNX_z_stop_scaler,params_DXCM_XLNX_z_win,params_GILD_MAR_beta_win,params_GILD_MAR_stop_loss,params_GILD_MAR_trade_freq,params_GILD_MAR_z_entry,params_GILD_MAR_z_exit,params_GILD_MAR_z_stop_scaler,params_GILD_MAR_z_win,params_GILD_MU_beta_win,params_GILD_MU_stop_loss,params_GILD_MU_trade_freq,params_GILD_MU_z_entry,params_GILD_MU_z_exit,params_GILD_MU_z_stop_scaler,params_GILD_MU_z_win,params_LULU_PCAR_beta_win,params_LULU_PCAR_stop_loss,params_LULU_PCAR_trade_freq,params_LULU_PCAR_z_entry,params_LULU_PCAR_z_exit,params_LULU_PCAR_z_stop_scaler,params_LULU_PCAR_z_win,params_LULU_PDD_beta_win,params_LULU_PDD_stop_loss,params_LULU_PDD_trade_freq,params_LULU_PDD_z_entry,params_LULU_PDD_z_exit,params_LULU_PDD_z_stop_scaler,params_LULU_PDD_z_win,params_MAR_MU_beta_win,params_MAR_MU_stop_loss,params_MAR_MU_trade_freq,params_MAR_MU_z_entry,params_MAR_MU_z_exit,params_MAR_MU_z_stop_scaler,params_MAR_MU_z_win,params_MRNA_PDD_beta_win,params_MRNA_PDD_stop_loss,params_MRNA_PDD_trade_freq,params_MRNA_PDD_z_entry,params_MRNA_PDD_z_exit,params_MRNA_PDD_z_stop_scaler,params_MRNA_PDD_z_win,params_PAYX_PCAR_beta_win,params_PAYX_PCAR_stop_loss,params_PAYX_PCAR_trade_freq,params_PAYX_PCAR_z_entry,params_PAYX_PCAR_z_exit,params_PAYX_PCAR_z_stop_scaler,params_PAYX_PCAR_z_win,params_PDD_ADP_beta_win,params_PDD_ADP_stop_loss,params_PDD_ADP_trade_freq,params_PDD_ADP_z_entry,params_PDD_ADP_z_exit,params_PDD_ADP_z_stop_scaler,params_PDD_ADP_z_win,params_PDD_CHKP_beta_win,params_PDD_CHKP_stop_loss,params_PDD_CHKP_trade_freq,params_PDD_CHKP_z_entry,params_PDD_CHKP_z_exit,params_PDD_CHKP_z_stop_scaler,params_PDD_CHKP_z_win,params_TEAM_ASML_beta_win,params_TEAM_ASML_stop_loss,params_TEAM_ASML_trade_freq,params_TEAM_ASML_z_entry,params_TEAM_ASML_z_exit,params_TEAM_ASML_z_stop_scaler,params_TEAM_ASML_z_win,params_TSLA_ANSS_beta_win,params_TSLA_ANSS_stop_loss,params_TSLA_ANSS_trade_freq,params_TSLA_ANSS_z_entry,params_TSLA_ANSS_z_exit,params_TSLA_ANSS_z_stop_scaler,params_TSLA_ANSS_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.02215035462939964,2025-06-21 19:04:38.480518,2025-06-21 19:04:49.096557,0 days 00:00:10.616039,,,,,,,,,,,,,,,,,,,,,,1496.0,0.01,3m,1.8,0.2,1.5,624.0,3184.0,0.02,5m,1.2,0.0,1.5,920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3344,0.015,5m,2.6,0.4,0.5,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6816.0,0.01,4m,1.6,0.0,0.5,400.0,,,,,,,,5560.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,,,,,,,,,,,,,,,1024.0,0.01,1m,1.6,0.6000000000000001,2.0,696.0,0.05,6,COMPLETE
1,1,0.9071752560426501,2025-06-21 19:04:49.136023,2025-06-21 19:04:50.918160,0 days 00:00:01.782137,,,,,,,,,,,,,,,,,,,,,,7768.0,0.015,2m,2.2,0.6000000000000001,1.0,816.0,1960.0,0.015,4m,3.0,0.2,0.5,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5968,0.015,1m,1.6,1.0,2.0,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6528.0,0.01,2m,1.4,0.6000000000000001,1.5,80.0,,,,,,,,1640.0,0.01,2m,2.6,1.0,2.0,944.0,,,,,,,,,,,,,,,6800.0,0.015,1m,2.8,0.6000000000000001,1.5,552.0,0.5,6,COMPLETE
2,2,0.07814042126467075,2025-06-21 19:04:50.982362,2025-06-21 19:04:51.783090,0 days 00:00:00.800728,,,,,,,,,,,,,,,,,,,,,,8112.0,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1456,0.01,2m,2.0,0.6000000000000001,0.5,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
3,3,0.2748305351944025,2025-06-21 19:04:51.843173,2025-06-21 19:04:58.126319,0 days 00:00:06.283146,,,,,,,,2128.0,0.015,2m,3.0,0.6000000000000001,1.0,288.0,1600.0,0.01,3m,1.4,0.6000000000000001,0.5,584.0,2624.0,0.015,2m,3.0,0.2,2.0,792.0,7832.0,0.015,5m,2.8,0.6000000000000001,1.0,600.0,6264.0,0.01,4m,1.4,0.6000000000000001,2.0,456.0,,,,,,,,3072.0,0.015,3m,1.4,0.0,0.5,664.0,1416.0,0.015,4m,2.4000000000000004,0.0,1.5,296.0,6976,0.015,4m,2.0,0.4,2.0,192,6264.0,0.015,5m,2.0,0.6000000000000001,2.0,1000.0,1760.0,0.015,1m,2.4000000000000004,0.8,1.0,760.0,1848.0,0.02,5m,3.0,1.0,1.5,568.0,3408.0,0.02,4m,2.8,0.2,1.5,184.0,5928.0,0.015,5m,1.4,0.6000000000000001,0.5,968.0,6400.0,0.015,4m,1.4,0.6000000000000001,0.5,912.0,5032.0,0.01,1m,1.0,0.4,2.0,216.0,5592.0,0.015,4m,2.8,0.6000000000000001,1.0,904.0,,,,,,,,4720.0,0.015,5m,1.0,0.2,2.0,872.0,0.15000000000000002,17,COMPLETE
4,4,0.21180851916490911,2025-06-21 19:04:58.208770,2025-06-21 19:05:01.500842,0 days 00:00:03.292072,,,,,,,,7248.0,0.02,2m,3.0,0.0,2.0,496.0,,,,,,,,1320.0,0.02,2m,2.0,0.2,0.5,312.0,7288.0,0.015,4m,3.0,0.6000000000000001,1.0,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3952,0.015,3m,2.2,0.6000000000000001,1.0,792,5984.0,0.01,5m,1.0,0.6000000000000001,1.5,224.0,,,,,,,,,,,,,,,,,,,,,,3520.0,0.02,2m,2.2,0.8,1.5,776.0,,,,,,,,6824.0,0.02,4m,2.4000000000000004,0.4,1.0,536.0,,,,,,,,,,,,,,,8136.0,0.01,5m,1.0,0.8,0.5,720.0,0.35000000000000003,8,COMPLETE
5,5,-1.2442522902690767,2025-06-21 19:05:01.562626,2025-06-21 19:05:05.339967,0 days 00:00:03.777341,,,,,,,,2672.0,0.02,2m,1.4,0.8,1.0,992.0,,,,,,,,6360.0,0.02,5m,2.2,0.2,1.0,680.0,3376.0,0.02,4m,1.2,0.4,2.0,624.0,6504.0,0.01,5m,3.0,0.6000000000000001,1.5,552.0,,,,,,,,,,,,,,,,,,,,,,8016,0.015,4m,1.4,0.2,0.5,152,8048.0,0.02,3m,2.6,1.0,0.5,1016.0,2008.0,0.015,5m,3.0,0.8,1.5,376.0,,,,,,,,,,,,,,,3320.0,0.015,1m,1.2,0.6000000000000001,0.5,520.0,,,,,,,,4528.0,0.015,3m,2.0,0.0,2.0,608.0,,,,,,,,,,,,,,,3568.0,0.02,2m,1.6,0.8,1.5,216.0,0.25,10,COMPLETE
6,6,0.1994522831220424,2025-06-21 19:05:05.402196,2025-06-21 19:05:08.085668,0 days 00:00:02.683472,,,,,,,,,,,,,,,,,,,,,,7600.0,0.01,5m,2.4000000000000004,0.4,1.0,928.0,6376.0,0.015,2m,3.0,0.2,2.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4840,0.015,5m,1.6,0.8,1.5,416,2264.0,0.02,2m,3.0,0.0,1.5,944.0,,,,,,,,,,,,,,,,,,,,,,5408.0,0.02,5m,1.0,1.0,1.5,200.0,,,,,,,,3112.0,0.01,4m,1.4,0.0,1.5,312.0,,,,,,,,,,,,,,,3416.0,0.02,5m,2.6,0.2,2.0,800.0,0.4,7,COMPLETE
7,7,-2.4463717764578004,2025-06-21 19:05:08.155701,2025-06-21 19:05:11.893175,0 days 00:00:03.737474,,,,,,,,2128.0,0.02,2m,1.8,1.0,1.5,96.0,,,,,,,,2296.0,0.02,1m,1.6,0.4,2.0,984.0,1784.0,0.015,4m,2.4000000000000004,0.4,1.5,528.0,3344.0,0.02,1m,1.0,0.0,0.5,472.0,,,,,,,,,,,,,,,,,,,,,,2632,0.01,5m,2.2,0.2,1.5,528,7808.0,0.01,5m,1.2,0.0,1.5,320.0,2792.0,0.015,5m,2.6,0.0,1.0,280.0,,,,,,,,,,,,,,,5680.0,0.015,4m,2.8,0.2,0.5,784.0,,,,,,,,2712.0,0.01,1m,3.0,0.8,0.5,952.0,,,,,,,,,,,,,,,6824.0,0.01,1m,1.0,0.0,0.5,568.0,0.5,10,COMPLETE
8,8,-2.0474803056049447,2025-06-21 19:05:11.969880,2025-06-21 19:05:18.844658,0 days 00:00:06.874778,,,,,,,,4448.0,0.02,1m,1.2,0.8,2.0,248.0,7784.0,0.02,2m,3.0,0.2,2.0,408.0,6856.0,0.02,5m,1.8,1.0,1.5,184.0,5856.0,0.02,5m,1.2,0.6000000000000001,2.0,992.0,6040.0,0.02,3m,1.4,0.6000000000000001,0.5,128.0,2456.0,0.015,3m,1.6,0.4,0.5,496.0,4152.0,0.02,2m,3.0,0.2,0.5,424.0,4688.0,0.02,4m,2.4000000000000004,0.2,1.0,240.0,6416,0.015,2m,1.0,0.6000000000000001,1.0,960,1272.0,0.02,4m,3.0,1.0,1.5,568.0,3296.0,0.01,5m,2.4000000000000004,0.8,1.0,944.0,3040.0,0.01,2m,2.6,0.4,1.0,72.0,2272.0,0.02,1m,1.8,0.8,2.0,448.0,5368.0,0.015,4m,2.0,0.0,1.5,384.0,5056.0,0.015,4m,1.8,0.2,1.5,888.0,7320.0,0.015,1m,1.6,0.0,1.5,808.0,2232.0,0.02,2m,1.6,0.4,2.0,120.0,,,,,,,,1184.0,0.01,1m,2.6,0.6000000000000001,1.5,760.0,0.15000000000000002,18,COMPLETE
9,9,-3.1584243569099133,2025-06-21 19:05:18.923721,2025-06-21 19:05:21.021110,0 days 00:00:02.097389,,,,,,,,,,,,,,,,,,,,,,2824.0,0.02,3m,1.2,0.6000000000000001,1.0,176.0,8168.0,0.02,1m,3.0,0.8,2.0,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6392,0.02,5m,1.0,0.2,0.5,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3440.0,0.02,3m,1.0,0.0,0.5,648.0,,,,,,,,1752.0,0.02,4m,1.8,0.2,1.0,344.0,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
10,10,-0.7017981329223468,2025-06-21 19:05:21.087859,2025-06-21 19:05:27.107667,0 days 00:00:06.019808,,,,,,,,8144.0,0.01,3m,2.4000000000000004,0.0,0.5,984.0,4832.0,0.02,4m,2.6,1.0,0.5,968.0,5392.0,0.015,4m,3.0,1.0,0.5,480.0,1112.0,0.01,3m,2.0,1.0,0.5,72.0,1104.0,0.015,2m,2.8,1.0,2.0,992.0,,,,,,,,8056.0,0.01,4m,2.6,1.0,2.0,1008.0,7704.0,0.01,1m,1.2,1.0,0.5,992.0,4968,0.02,1m,3.0,1.0,2.0,1016,3560.0,0.015,1m,1.8,0.4,0.5,624.0,8112.0,0.02,2m,1.0,0.0,2.0,88.0,7584.0,0.02,1m,1.0,0.0,0.5,1000.0,,,,,,,,8136.0,0.01,2m,1.8,0.4,2.0,80.0,1464.0,0.02,1m,2.8,1.0,2.0,144.0,1072.0,0.01,5m,2.6,1.0,2.0,64.0,,,,,,,,,,,,,,,6128.0,0.015,3m,3.0,1.0,1.0,352.0,0.5,15,COMPLETE
11,11,-0.651134634138396,2025-06-21 19:05:27.184297,2025-06-21 19:05:32.283094,0 days 00:00:05.098797,,,,,,,,1072.0,0.01,5m,3.0,0.4,0.5,480.0,1024.0,0.01,3m,1.0,0.6000000000000001,0.5,104.0,3920.0,0.015,2m,3.0,0.0,2.0,816.0,4448.0,0.01,5m,2.4000000000000004,0.0,0.5,504.0,8144.0,0.01,4m,1.8,0.2,2.0,504.0,,,,,,,,,,,,,,,1248.0,0.015,4m,3.0,0.0,2.0,64.0,6904,0.02,1m,1.8,1.0,2.0,88,5376.0,0.015,5m,2.0,0.6000000000000001,2.0,776.0,5728.0,0.02,1m,1.6,1.0,0.5,864.0,1152.0,0.02,5m,3.0,1.0,2.0,544.0,,,,,,,,7200.0,0.01,5m,1.4,0.6000000000000001,1.0,1008.0,8152.0,0.01,4m,1.0,0.6000000000000001,0.5,904.0,5160.0,0.01,2m,1.0,0.6000000000000001,2.0,200.0,,,,,,,,,,,,,,,5216.0,0.015,4m,2.0,0.2,2.0,936.0,0.2,14,COMPLETE
12,12,-3.2903519504356953,2025-06-21 19:05:32.325021,2025-06-21 19:05:40.066909,0 days 00:00:07.741888,7152.0,0.01,2m,2.8,0.0,0.5,352.0,4272.0,0.015,4m,2.4000000000000004,0.4,1.0,696.0,1264.0,0.01,3m,1.4,0.6000000000000001,1.0,720.0,4144.0,0.015,2m,2.6,0.8,1.5,768.0,5072.0,0.015,1m,2.4000000000000004,0.2,1.0,744.0,4232.0,0.01,4m,2.2,1.0,1.5,184.0,8184.0,0.02,2m,3.0,1.0,2.0,64.0,1360.0,0.015,3m,1.0,0.0,0.5,768.0,1096.0,0.015,2m,2.0,0.6000000000000001,2.0,536.0,8120,0.01,4m,1.4,0.0,2.0,776,6616.0,0.015,1m,2.4000000000000004,0.4,2.0,800.0,1120.0,0.01,1m,1.8,0.4,0.5,664.0,4680.0,0.015,5m,2.0,1.0,2.0,616.0,6136.0,0.02,4m,3.0,0.0,1.0,80.0,1312.0,0.01,2m,2.4000000000000004,0.4,1.0,1024.0,6552.0,0.015,3m,1.2,0.6000000000000001,0.5,568.0,3784.0,0.01,1m,1.0,1.0,2.0,1008.0,7240.0,0.01,4m,3.0,1.0,0.5,1000.0,8128.0,0.015,1m,1.8,0.8,1.0,216.0,4248.0,0.015,5m,2.2,0.4,1.5,1024.0,0.35000000000000003,20,COMPLETE
13,13,-1.0631849442229755,2025-06-21 19:05:40.147367,2025-06-21 19:05:45.952684,0 days 00:00:05.805317,,,,,,,,6040.0,0.015,3m,2.4000000000000004,0.6000000000000001,1.5,288.0,3488.0,0.01,5m,1.8,0.0,1.5,496.0,5344.0,0.015,2m,1.0,0.0,2.0,512.0,2672.0,0.01,2m,2.6,0.8,0.5,384.0,6136.0,0.015,4m,1.0,0.4,1.0,752.0,,,,,,,,,,,,,,,3728.0,0.02,5m,2.0,0.4,1.5,472.0,5784,0.015,4m,2.6,0.8,1.5,280,4040.0,0.01,2m,1.6,0.8,1.0,64.0,4920.0,0.015,3m,2.2,0.4,1.5,664.0,1248.0,0.02,4m,2.0,0.6000000000000001,1.5,512.0,,,,,,,,6552.0,0.015,5m,1.6,0.8,2.0,256.0,2904.0,0.02,2m,2.0,0.0,1.0,592.0,6368.0,0.01,2m,2.6,0.4,1.5,496.0,,,,,,,,,,,,,,,7864.0,0.015,2m,3.0,0.4,1.0,456.0,0.15000000000000002,14,COMPLETE
14,14,0.12858498872195726,2025-06-21 19:05:46.020504,2025-06-21 19:05:46.948557,0 days 00:00:00.928053,,,,,,,,,,,,,,,,,,,,,,3400.0,0.015,2m,2.8,0.8,1.5,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7120,0.01,1m,1.8,0.4,2.0,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
15,15,0.6375272908943304,2025-06-21 19:05:47.010598,2025-06-21 19:05:51.883340,0 days 00:00:04.872742,,,,,,,,2912.0,0.015,4m,1.8,0.2,1.0,768.0,,,,,,,,5088.0,0.015,1m,1.4,0.4,1.0,688.0,4208.0,0.015,3m,1.8,0.2,1.0,672.0,8056.0,0.01,3m,2.0,0.8,2.0,328.0,,,,,,,,,,,,,,,3568.0,0.01,3m,2.8,0.0,1.0,816.0,5488,0.02,3m,1.4,0.8,1.5,264,4984.0,0.015,3m,2.4000000000000004,0.2,2.0,392.0,6688.0,0.02,4m,3.0,0.6000000000000001,2.0,776.0,,,,,,,,,,,,,,,7952.0,0.01,3m,1.4,0.8,1.0,848.0,5440.0,0.01,5m,1.6,1.0,1.0,1016.0,8112.0,0.015,5m,3.0,0.8,2.0,704.0,,,,,,,,,,,,,,,5696.0,0.02,4m,1.4,0.0,2.0,64.0,0.3,12,COMPLETE
16,16,-1.2947971932206233,2025-06-21 19:05:51.957871,2025-06-21 19:05:56.917978,0 days 00:00:04.960107,,,,,,,,3632.0,0.01,4m,1.6,0.2,0.5,744.0,,,,,,,,5264.0,0.01,1m,1.4,0.6000000000000001,1.0,640.0,3968.0,0.015,3m,1.8,0.2,0.5,376.0,7928.0,0.015,3m,2.4000000000000004,0.8,1.0,288.0,,,,,,,,,,,,,,,4352.0,0.01,3m,3.0,0.8,0.5,904.0,5536,0.02,3m,1.2,0.8,1.5,328,3016.0,0.01,3m,2.4000000000000004,0.2,1.0,376.0,7720.0,0.02,4m,3.0,0.6000000000000001,2.0,488.0,,,,,,,,,,,,,,,7984.0,0.01,3m,1.8,1.0,1.0,784.0,4064.0,0.01,5m,2.8,1.0,1.5,232.0,7784.0,0.015,5m,3.0,0.8,1.5,784.0,,,,,,,,,,,,,,,6360.0,0.02,4m,1.6,0.0,1.5,144.0,0.35000000000000003,12,COMPLETE
17,17,-0.00159377358310695,2025-06-21 19:05:57.002816,2025-06-21 19:05:58.630419,0 days 00:00:01.627603,,,,,,,,,,,,,,,,,,,,,,6440.0,0.015,1m,1.4,0.8,1.0,432.0,2256.0,0.01,3m,1.6,0.2,1.0,728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4048,0.02,3m,1.4,1.0,1.0,904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7360.0,0.01,3m,1.4,0.8,1.5,616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
18,18,0.292836201991396,2025-06-21 19:05:58.667603,2025-06-21 19:06:02.275351,0 days 00:00:03.607748,,,,,,,,5952.0,0.015,4m,1.0,0.2,1.5,792.0,,,,,,,,7192.0,0.015,4m,2.0,0.4,0.5,1024.0,5184.0,0.015,3m,1.6,0.0,1.5,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5608,0.02,3m,1.6,0.8,1.5,640,4800.0,0.02,3m,2.6,0.2,2.0,448.0,6576.0,0.02,4m,1.4,0.2,2.0,1016.0,,,,,,,,,,,,,,,4288.0,0.01,1m,2.6,0.8,1.0,864.0,,,,,,,,2408.0,0.02,5m,2.4000000000000004,0.8,2.0,680.0,,,,,,,,,,,,,,,5744.0,0.02,4m,2.0,0.8,1.0,288.0,0.45,9,COMPLETE
19,19,-2.1564840856109195,2025-06-21 19:06:02.345943,2025-06-21 19:06:07.013323,0 days 00:00:04.667380,,,,,,,,5832.0,0.01,5m,2.0,0.2,1.0,640.0,,,,,,,,5904.0,0.01,1m,1.0,0.6000000000000001,1.0,896.0,1592.0,0.01,4m,2.0,0.4,0.5,416.0,1832.0,0.01,3m,1.8,0.8,1.5,744.0,,,,,,,,,,,,,,,6336.0,0.01,3m,1.0,0.4,1.0,784.0,2328,0.015,1m,1.2,1.0,2.0,872,6992.0,0.015,4m,2.4000000000000004,0.2,1.0,152.0,6736.0,0.02,4m,2.8,0.6000000000000001,1.5,560.0,,,,,,,,,,,,,,,6392.0,0.01,3m,1.2,0.4,2.0,464.0,5432.0,0.01,5m,2.4000000000000004,1.0,1.0,704.0,8192.0,0.015,3m,2.8,1.0,0.5,896.0,,,,,,,,,,,,,,,7624.0,0.02,3m,1.4,0.4,2.0,552.0,0.4,12,COMPLETE
20,20,-0.4085808200863103,2025-06-21 19:06:07.124507,2025-06-21 19:06:11.702446,0 days 00:00:04.577939,,,,,,,,3032.0,0.015,1m,2.0,0.0,1.5,856.0,,,,,,,,4864.0,0.015,1m,1.6,0.4,1.5,712.0,3832.0,0.015,3m,1.6,0.2,1.0,224.0,4736.0,0.015,1m,2.6,0.4,2.0,280.0,,,,,,,,,,,,,,,2976.0,0.01,3m,2.6,0.2,1.0,752.0,4104,0.02,3m,1.6,0.8,1.5,400,4808.0,0.015,3m,1.6,0.0,2.0,720.0,4160.0,0.01,3m,2.0,1.0,2.0,792.0,,,,,,,,,,,,,,,7488.0,0.01,2m,3.0,1.0,1.5,64.0,3328.0,0.01,5m,1.6,0.8,2.0,304.0,4000.0,0.02,2m,2.4000000000000004,0.8,1.5,704.0,,,,,,,,,,,,,,,6984.0,0.015,1m,2.4000000000000004,0.6000000000000001,1.5,416.0,0.3,12,COMPLETE
21,21,0.4969692627238577,2025-06-21 19:06:11.796292,2025-06-21 19:06:15.418234,0 days 00:00:03.621942,,,,,,,,5512.0,0.015,4m,1.0,0.2,1.5,824.0,,,,,,,,7400.0,0.015,4m,2.0,0.4,0.5,1008.0,5264.0,0.015,3m,1.6,0.0,1.5,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5480,0.02,3m,1.6,0.8,1.5,672,4704.0,0.02,3m,2.8,0.2,2.0,456.0,,,,,,,,,,,,,,,,,,,,,,4440.0,0.01,1m,2.6,0.8,1.0,896.0,,,,,,,,2240.0,0.02,5m,2.4000000000000004,0.8,2.0,648.0,,,,,,,,,,,,,,,5312.0,0.02,4m,1.8,0.8,1.0,80.0,0.45,8,COMPLETE
22,22,0.931754154205088,2025-06-21 19:06:15.483333,2025-06-21 19:06:17.085654,0 days 00:00:01.602321,,,,,,,,,,,,,,,,,,,,,,8048.0,0.015,4m,2.2,0.4,0.5,920.0,6072.0,0.015,3m,1.8,0.0,1.5,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5208,0.02,3m,1.8,1.0,1.0,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4640.0,0.01,1m,2.2,0.6000000000000001,1.0,888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
23,23,-0.06257850113639883,2025-06-21 19:06:17.155749,2025-06-21 19:06:18.835514,0 days 00:00:01.679765,,,,,,,,,,,,,,,,,,,,,,8096.0,0.015,4m,2.4000000000000004,0.6000000000000001,0.5,576.0,6784.0,0.015,3m,2.0,0.0,1.5,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6328,0.02,3m,1.8,1.0,1.0,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936.0,0.01,1m,2.2,0.6000000000000001,1.0,616.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,4,COMPLETE
24,24,-100.0,2025-06-21 19:06:18.908590,2025-06-21 19:06:27.977403,0 days 00:00:09.068813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4680,0.015,1m,2.2,1.0,1.0,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
25,25,-0.1376994822770094,2025-06-21 19:06:28.045048,2025-06-21 19:06:29.992580,0 days 00:00:01.947532,,,,,,,,,,,,,,,,,,,,,,6776.0,0.015,4m,2.2,0.8,1.0,904.0,5872.0,0.015,4m,2.2,0.2,1.0,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5224,0.02,3m,1.2,1.0,1.0,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4832.0,0.015,2m,2.0,0.6000000000000001,1.0,704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
26,26,-0.16534970588365985,2025-06-21 19:06:30.073677,2025-06-21 19:06:32.694070,0 days 00:00:02.620393,,,,,,,,,,,,,,,,,,,,,,6048.0,0.01,3m,2.2,0.4,1.0,728.0,4608.0,0.02,3m,1.8,0.4,1.5,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5984,0.02,2m,1.8,0.8,1.0,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2608.0,0.01,1m,1.8,0.4,1.5,848.0,,,,,,,,5968.0,0.015,2m,2.8,1.0,1.5,888.0,,,,,,,,,,,,,,,2112.0,0.015,1m,1.4,1.0,2.0,640.0,0.5,6,COMPLETE
27,27,-100.0,2025-06-21 19:06:32.739231,2025-06-21 19:06:33.642951,0 days 00:00:00.903720,,,,,,,,,,,,,,,,,,,,,,7752.0,0.02,1m,2.6,0.2,0.5,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4368,0.015,1m,2.4000000000000004,0.6000000000000001,1.5,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
