,number,value,datetime_start,datetime_complete,duration,params_AAPL_FAST_beta_win,params_AAPL_FAST_stop_loss,params_AAPL_FAST_trade_freq,params_AAPL_FAST_z_entry,params_AAPL_FAST_z_exit,params_AAPL_FAST_z_stop_scaler,params_AAPL_FAST_z_win,params_ABNB_AEP_beta_win,params_ABNB_AEP_stop_loss,params_ABNB_AEP_trade_freq,params_ABNB_AEP_z_entry,params_ABNB_AEP_z_exit,params_ABNB_AEP_z_stop_scaler,params_ABNB_AEP_z_win,params_ADI_HON_beta_win,params_ADI_HON_stop_loss,params_ADI_HON_trade_freq,params_ADI_HON_z_entry,params_ADI_HON_z_exit,params_ADI_HON_z_stop_scaler,params_ADI_HON_z_win,params_ADP_AVGO_beta_win,params_ADP_AVGO_stop_loss,params_ADP_AVGO_trade_freq,params_ADP_AVGO_z_entry,params_ADP_AVGO_z_exit,params_ADP_AVGO_z_stop_scaler,params_ADP_AVGO_z_win,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_AMZN_MU_beta_win,params_AMZN_MU_stop_loss,params_AMZN_MU_trade_freq,params_AMZN_MU_z_entry,params_AMZN_MU_z_exit,params_AMZN_MU_z_stop_scaler,params_AMZN_MU_z_win,params_ANSS_REGN_beta_win,params_ANSS_REGN_stop_loss,params_ANSS_REGN_trade_freq,params_ANSS_REGN_z_entry,params_ANSS_REGN_z_exit,params_ANSS_REGN_z_stop_scaler,params_ANSS_REGN_z_win,params_AVGO_HON_beta_win,params_AVGO_HON_stop_loss,params_AVGO_HON_trade_freq,params_AVGO_HON_z_entry,params_AVGO_HON_z_exit,params_AVGO_HON_z_stop_scaler,params_AVGO_HON_z_win,params_AVGO_PAYX_beta_win,params_AVGO_PAYX_stop_loss,params_AVGO_PAYX_trade_freq,params_AVGO_PAYX_z_entry,params_AVGO_PAYX_z_exit,params_AVGO_PAYX_z_stop_scaler,params_AVGO_PAYX_z_win,params_BKNG_INTU_beta_win,params_BKNG_INTU_stop_loss,params_BKNG_INTU_trade_freq,params_BKNG_INTU_z_entry,params_BKNG_INTU_z_exit,params_BKNG_INTU_z_stop_scaler,params_BKNG_INTU_z_win,params_CDNS_INTU_beta_win,params_CDNS_INTU_stop_loss,params_CDNS_INTU_trade_freq,params_CDNS_INTU_z_entry,params_CDNS_INTU_z_exit,params_CDNS_INTU_z_stop_scaler,params_CDNS_INTU_z_win,params_CPRT_INTU_beta_win,params_CPRT_INTU_stop_loss,params_CPRT_INTU_trade_freq,params_CPRT_INTU_z_entry,params_CPRT_INTU_z_exit,params_CPRT_INTU_z_stop_scaler,params_CPRT_INTU_z_win,params_CRWD_KLAC_beta_win,params_CRWD_KLAC_stop_loss,params_CRWD_KLAC_trade_freq,params_CRWD_KLAC_z_entry,params_CRWD_KLAC_z_exit,params_CRWD_KLAC_z_stop_scaler,params_CRWD_KLAC_z_win,params_CTSH_EBAY_beta_win,params_CTSH_EBAY_stop_loss,params_CTSH_EBAY_trade_freq,params_CTSH_EBAY_z_entry,params_CTSH_EBAY_z_exit,params_CTSH_EBAY_z_stop_scaler,params_CTSH_EBAY_z_win,params_DXCM_KLAC_beta_win,params_DXCM_KLAC_stop_loss,params_DXCM_KLAC_trade_freq,params_DXCM_KLAC_z_entry,params_DXCM_KLAC_z_exit,params_DXCM_KLAC_z_stop_scaler,params_DXCM_KLAC_z_win,params_GFS_KHC_beta_win,params_GFS_KHC_stop_loss,params_GFS_KHC_trade_freq,params_GFS_KHC_z_entry,params_GFS_KHC_z_exit,params_GFS_KHC_z_stop_scaler,params_GFS_KHC_z_win,params_HON_SNPS_beta_win,params_HON_SNPS_stop_loss,params_HON_SNPS_trade_freq,params_HON_SNPS_z_entry,params_HON_SNPS_z_exit,params_HON_SNPS_z_stop_scaler,params_HON_SNPS_z_win,params_INTU_REGN_beta_win,params_INTU_REGN_stop_loss,params_INTU_REGN_trade_freq,params_INTU_REGN_z_entry,params_INTU_REGN_z_exit,params_INTU_REGN_z_stop_scaler,params_INTU_REGN_z_win,params_MELI_SNPS_beta_win,params_MELI_SNPS_stop_loss,params_MELI_SNPS_trade_freq,params_MELI_SNPS_z_entry,params_MELI_SNPS_z_exit,params_MELI_SNPS_z_stop_scaler,params_MELI_SNPS_z_win,params_META_ROST_beta_win,params_META_ROST_stop_loss,params_META_ROST_trade_freq,params_META_ROST_z_entry,params_META_ROST_z_exit,params_META_ROST_z_stop_scaler,params_META_ROST_z_win,params_ODFL_TEAM_beta_win,params_ODFL_TEAM_stop_loss,params_ODFL_TEAM_trade_freq,params_ODFL_TEAM_z_entry,params_ODFL_TEAM_z_exit,params_ODFL_TEAM_z_stop_scaler,params_ODFL_TEAM_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-0.4144943852317274,2025-06-21 19:23:39.030249,2025-06-21 19:23:44.039177,0 days 00:00:05.008928,,,,,,,,,,,,,,,,,,,,,,2256.0,0.01,3m,1.6,0.4,1.5,856.0,1304.0,0.015,5m,3.0,0.0,1.0,768.0,,,,,,,,,,,,,,,6232.0,0.015,4m,1.2,0.4,1.0,944.0,1560.0,0.015,2m,1.6,0.2,2.0,784.0,,,,,,,,6448.0,0.01,4m,2.8,1.0,0.5,504.0,6824.0,0.01,3m,2.2,0.2,1.5,224.0,,,,,,,,3312.0,0.02,5m,1.4,0.4,1.0,792.0,,,,,,,,,,,,,,,6688.0,0.01,3m,2.4000000000000004,0.2,1.0,592.0,6784,0.015,2m,2.2,0.0,1.5,512,,,,,,,,2536,0.015,3m,2.6,0.2,0.5,864,4216.0,0.01,1m,3.0,0.2,1.0,672.0,0.35000000000000003,10,COMPLETE
21,21,0.05980507063634235,2025-06-21 19:23:44.133231,2025-06-21 19:23:48.582982,0 days 00:00:04.449751,,,,,,,,,,,,,,,,,,,,,,3688.0,0.01,4m,1.8,0.0,1.0,592.0,5256.0,0.01,1m,2.2,0.8,1.5,1024.0,,,,,,,,,,,,,,,8192.0,0.015,1m,1.6,0.0,1.5,456.0,1024.0,0.01,3m,2.0,0.2,1.5,1008.0,,,,,,,,,,,,,,,5176.0,0.01,3m,2.0,0.4,0.5,184.0,,,,,,,,4288.0,0.02,2m,2.6,0.2,1.5,992.0,,,,,,,,,,,,,,,1176.0,0.01,1m,3.0,0.0,1.0,416.0,4008,0.02,5m,2.6,0.8,2.0,72,,,,,,,,5656,0.02,2m,2.0,0.4,1.0,640,1128.0,0.01,2m,1.8,0.2,2.0,1016.0,0.5,9,COMPLETE
22,22,0.27870994362454504,2025-06-21 19:23:48.673571,2025-06-21 19:23:52.483778,0 days 00:00:03.810207,,,,,,,,,,,,,,,,,,,,,,3144.0,0.01,4m,2.2,0.2,1.0,1008.0,,,,,,,,,,,,,,,,,,,,,,7368.0,0.015,1m,1.4,0.0,1.5,480.0,2816.0,0.01,3m,2.4000000000000004,0.0,1.5,832.0,,,,,,,,,,,,,,,4496.0,0.01,3m,1.8,0.0,0.5,384.0,,,,,,,,3848.0,0.02,2m,2.8,0.2,1.5,864.0,,,,,,,,,,,,,,,,,,,,,,3512,0.02,5m,2.8,1.0,2.0,200,,,,,,,,5600,0.02,3m,2.4000000000000004,0.4,1.0,488,2416.0,0.01,2m,2.0,0.0,2.0,936.0,0.45,7,COMPLETE
23,23,-1.4948682184041113,2025-06-21 19:23:52.572445,2025-06-21 19:23:56.158579,0 days 00:00:03.586134,,,,,,,,,,,,,,,,,,,,,,3128.0,0.01,4m,2.2,0.2,1.0,864.0,,,,,,,,,,,,,,,,,,,,,,7296.0,0.015,1m,1.2,0.2,2.0,728.0,3016.0,0.01,3m,2.4000000000000004,0.2,2.0,752.0,,,,,,,,,,,,,,,4424.0,0.01,3m,1.4,0.0,0.5,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3312,0.02,5m,2.8,1.0,2.0,264,,,,,,,,7016,0.02,3m,2.4000000000000004,0.0,1.0,472,1896.0,0.015,2m,2.2,0.4,1.5,880.0,0.45,6,COMPLETE
24,24,-0.977424958809103,2025-06-21 19:23:56.238850,2025-06-21 19:24:02.051724,0 days 00:00:05.812874,5144.0,0.015,3m,2.4000000000000004,0.8,0.5,808.0,,,,,,,,2568.0,0.015,5m,2.4000000000000004,1.0,1.0,984.0,2064.0,0.015,4m,2.2,0.4,1.5,592.0,2240.0,0.015,3m,2.6,0.2,1.0,704.0,,,,,,,,,,,,,,,5816.0,0.02,5m,1.4,0.0,1.5,1000.0,1912.0,0.01,1m,2.6,0.4,1.5,848.0,,,,,,,,4448.0,0.01,2m,1.4,0.4,1.0,816.0,5824.0,0.01,3m,1.6,0.0,1.0,536.0,,,,,,,,2304.0,0.015,2m,2.4000000000000004,0.0,2.0,856.0,,,,,,,,,,,,,,,4000.0,0.015,1m,2.6,0.4,1.5,1024.0,2080,0.02,5m,3.0,1.0,2.0,184,,,,,,,,5112,0.02,3m,2.6,0.6000000000000001,0.5,680,1784.0,0.01,2m,2.0,0.2,1.0,912.0,0.4,12,COMPLETE
25,25,0.3361117860383992,2025-06-21 19:24:02.158457,2025-06-21 19:24:05.825466,0 days 00:00:03.667009,,,,,,,,,,,,,,,,,,,,,,3232.0,0.01,4m,2.4000000000000004,0.2,0.5,408.0,,,,,,,,,,,,,,,,,,,,,,7352.0,0.015,1m,1.8,0.2,1.5,880.0,2728.0,0.015,3m,1.6,0.0,2.0,664.0,,,,,,,,,,,,,,,3496.0,0.01,3m,1.8,0.2,0.5,328.0,,,,,,,,5088.0,0.02,2m,2.8,0.4,1.5,624.0,,,,,,,,,,,,,,,,,,,,,,4696,0.02,3m,2.4000000000000004,1.0,1.5,184,,,,,,,,1024,0.02,3m,2.2,0.2,1.5,232,5168.0,0.015,2m,2.4000000000000004,0.6000000000000001,2.0,1024.0,0.2,7,COMPLETE
26,26,-0.2382140858331041,2025-06-21 19:24:05.900340,2025-06-21 19:24:13.257499,0 days 00:00:07.357159,5984.0,0.02,5m,2.4000000000000004,0.2,1.5,840.0,7592.0,0.02,3m,2.4000000000000004,0.6000000000000001,0.5,704.0,3320.0,0.015,3m,1.0,0.2,1.0,336.0,4568.0,0.01,4m,2.6,0.4,0.5,256.0,5040.0,0.01,4m,2.0,0.8,1.5,256.0,,,,,,,,,,,,,,,7392.0,0.015,1m,2.2,0.4,1.0,344.0,5120.0,0.015,3m,2.2,0.0,1.5,472.0,,,,,,,,6256.0,0.01,3m,2.6,0.8,0.5,600.0,3608.0,0.01,3m,2.2,0.2,0.5,336.0,1728.0,0.01,2m,3.0,0.0,0.5,72.0,5072.0,0.02,2m,2.8,0.4,1.5,648.0,,,,,,,,8176.0,0.015,3m,3.0,0.0,0.5,112.0,2480.0,0.01,4m,2.2,0.8,2.0,224.0,4528,0.02,3m,2.4000000000000004,1.0,1.5,184,,,,,,,,1056,0.02,3m,2.2,0.2,1.5,208,3880.0,0.01,2m,2.4000000000000004,0.8,2.0,1000.0,0.2,15,COMPLETE
27,27,-0.29586960847635013,2025-06-21 19:24:13.336476,2025-06-21 19:24:17.275250,0 days 00:00:03.938774,,,,,,,,,,,,,,,,,,,,,,3152.0,0.015,4m,2.4000000000000004,0.2,0.5,408.0,,,,,,,,,,,,,,,,,,,,,,7344.0,0.015,1m,1.8,0.2,2.0,544.0,2704.0,0.02,3m,1.8,0.0,2.0,648.0,,,,,,,,,,,,,,,3176.0,0.02,3m,1.8,0.2,1.0,200.0,,,,,,,,5264.0,0.02,2m,2.8,0.4,1.0,768.0,,,,,,,,,,,,,,,,,,,,,,4592,0.02,3m,2.0,1.0,2.0,160,,,,,,,,4048,0.02,3m,1.4,0.2,1.5,520,2992.0,0.015,2m,2.6,0.0,2.0,1024.0,0.15000000000000002,7,COMPLETE
28,28,0.27194652251799173,2025-06-21 19:24:17.372804,2025-06-21 19:24:19.636298,0 days 00:00:02.263494,,,,,,,,,,,,,,,,,,,,,,3096.0,0.01,4m,2.6,0.0,0.5,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4368.0,0.015,3m,1.8,0.6000000000000001,0.5,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5256,0.02,3m,2.8,0.8,1.5,64,,,,,,,,5136,0.015,5m,3.0,0.4,1.5,832,,,,,,,,0.25,3,COMPLETE
29,29,0.0058966786926718615,2025-06-21 19:24:19.724005,2025-06-21 19:24:25.455938,0 days 00:00:05.731933,8032.0,0.015,3m,1.6,0.6000000000000001,1.0,768.0,,,,,,,,,,,,,,,4376.0,0.01,1m,2.2,0.4,1.0,520.0,8096.0,0.015,5m,2.8,1.0,1.0,880.0,,,,,,,,,,,,,,,5656.0,0.015,1m,1.8,0.4,1.5,824.0,3192.0,0.015,3m,2.4000000000000004,0.2,1.5,880.0,,,,,,,,7288.0,0.015,4m,2.0,0.2,1.5,368.0,2416.0,0.01,2m,2.2,0.2,1.0,344.0,,,,,,,,3688.0,0.015,2m,2.4000000000000004,0.2,1.5,584.0,,,,,,,,,,,,,,,5584.0,0.02,3m,2.0,0.2,0.5,296.0,3472,0.02,3m,2.4000000000000004,1.0,2.0,248,,,,,,,,7336,0.02,3m,1.8,0.0,2.0,224,4768.0,0.01,5m,2.4000000000000004,0.2,2.0,920.0,0.15000000000000002,11,COMPLETE
30,30,-1.723367706963072,2025-06-21 19:24:25.539383,2025-06-21 19:24:28.666853,0 days 00:00:03.127470,,,,,,,,,,,,,,,,,,,,,,3416.0,0.015,4m,2.8,0.2,0.5,944.0,,,,,,,,,,,,,,,,,,,,,,7512.0,0.01,1m,2.8,0.2,1.0,704.0,4720.0,0.015,3m,1.8,0.0,2.0,840.0,,,,,,,,,,,,,,,3504.0,0.01,3m,1.4,0.4,0.5,232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4464,0.02,3m,1.0,0.8,1.5,328,,,,,,,,6216,0.02,3m,2.6,0.2,1.5,416,2144.0,0.01,1m,1.6,0.8,1.5,816.0,0.2,6,COMPLETE
31,31,0.06887731194587712,2025-06-21 19:24:28.757850,2025-06-21 19:24:30.839951,0 days 00:00:02.082101,,,,,,,,,,,,,,,,,,,,,,3136.0,0.01,4m,2.6,0.0,0.5,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4048.0,0.015,3m,1.8,0.0,0.5,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5368,0.02,3m,2.8,0.8,1.5,80,,,,,,,,5104,0.015,5m,3.0,0.4,1.5,824,,,,,,,,0.25,3,COMPLETE
32,32,0.23820023479785313,2025-06-21 19:24:30.923681,2025-06-21 19:24:33.035819,0 days 00:00:02.112138,,,,,,,,,,,,,,,,,,,,,,2776.0,0.01,4m,2.4000000000000004,0.0,0.5,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4632.0,0.02,3m,2.0,0.6000000000000001,0.5,472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6560,0.02,3m,2.8,1.0,1.5,64,,,,,,,,5880,0.015,5m,2.8,0.4,1.5,856,,,,,,,,0.25,3,COMPLETE
33,33,-0.2905861685236917,2025-06-21 19:24:33.113591,2025-06-21 19:24:35.873875,0 days 00:00:02.760284,,,,,,,,,,,,,,,,,,,,,,1848.0,0.01,4m,2.8,0.2,0.5,320.0,,,,,,,,,,,,,,,,,,,,,,6816.0,0.015,1m,1.8,0.6000000000000001,1.5,520.0,,,,,,,,,,,,,,,,,,,,,,4752.0,0.015,3m,1.8,0.6000000000000001,0.5,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5056,0.02,3m,2.6,0.6000000000000001,1.0,144,,,,,,,,5128,0.015,5m,3.0,0.4,1.5,912,1272.0,0.01,3m,2.6,0.4,2.0,664.0,0.2,5,COMPLETE
34,34,0.32359484655288695,2025-06-21 19:24:35.948242,2025-06-21 19:24:40.904663,0 days 00:00:04.956421,,,,,,,,,,,,,,,,,,,,,,4976.0,0.01,4m,2.0,0.2,1.0,448.0,4216.0,0.015,5m,2.0,0.2,0.5,640.0,,,,,,,,,,,,,,,7712.0,0.015,1m,2.2,0.2,2.0,872.0,1936.0,0.02,3m,2.2,0.2,1.0,368.0,,,,,,,,,,,,,,,4256.0,0.01,1m,2.2,0.6000000000000001,0.5,360.0,,,,,,,,5104.0,0.02,2m,2.8,0.6000000000000001,1.5,896.0,,,,,,,,,,,,,,,8152.0,0.015,2m,2.8,0.4,1.5,528.0,5792,0.02,2m,3.0,0.8,2.0,224,,,,,,,,3880,0.01,5m,2.8,0.6000000000000001,1.5,616,2552.0,0.015,2m,2.2,0.0,1.5,944.0,0.3,9,COMPLETE
35,35,0.17044561247467793,2025-06-21 19:24:40.967878,2025-06-21 19:24:46.100750,0 days 00:00:05.132872,,,,,,,,,,,,,,,,,,,,,,4952.0,0.01,5m,2.0,0.4,1.0,552.0,4448.0,0.015,5m,2.0,0.2,0.5,664.0,,,,,,,,,,,,,,,7680.0,0.015,1m,2.2,0.2,2.0,880.0,1616.0,0.02,3m,2.2,0.2,1.0,496.0,,,,,,,,,,,,,,,5408.0,0.01,1m,2.2,0.2,0.5,352.0,,,,,,,,5088.0,0.02,2m,2.8,0.6000000000000001,1.5,912.0,,,,,,,,,,,,,,,7808.0,0.015,2m,2.8,0.4,1.5,520.0,7096,0.02,2m,3.0,1.0,2.0,232,,,,,,,,2320,0.01,3m,2.8,0.6000000000000001,2.0,672,2672.0,0.015,2m,2.2,0.0,1.5,944.0,0.3,9,COMPLETE
36,36,-0.3971724734269502,2025-06-21 19:24:46.561522,2025-06-21 19:24:52.670308,0 days 00:00:06.108786,3200.0,0.01,4m,2.6,0.2,0.5,400.0,,,,,,,,4232.0,0.01,2m,2.4000000000000004,0.8,2.0,760.0,5632.0,0.01,2m,2.0,0.2,1.0,464.0,6136.0,0.015,5m,2.2,0.2,0.5,376.0,,,,,,,,,,,,,,,6976.0,0.015,1m,2.4000000000000004,0.2,2.0,1024.0,2376.0,0.02,3m,2.6,0.0,1.0,256.0,,,,,,,,5352.0,0.01,4m,1.0,0.8,1.0,888.0,3504.0,0.01,1m,2.6,0.4,0.5,152.0,,,,,,,,4672.0,0.02,2m,2.8,0.8,1.5,872.0,,,,,,,,,,,,,,,7096.0,0.015,2m,2.8,0.0,1.5,656.0,5824,0.015,2m,2.2,0.8,2.0,288,,,,,,,,3824,0.01,1m,2.6,0.6000000000000001,1.5,600,1616.0,0.015,2m,2.4000000000000004,0.0,1.5,864.0,0.35000000000000003,12,COMPLETE
37,37,-0.4094562483863411,2025-06-21 19:24:52.773096,2025-06-21 19:24:56.743037,0 days 00:00:03.969941,,,,,,,,,,,,,,,,,,,,,,6256.0,0.01,4m,1.6,0.2,1.0,664.0,,,,,,,,,,,,,,,,,,,,,,6256.0,0.015,1m,1.4,0.0,1.5,920.0,1800.0,0.015,3m,2.2,0.2,0.5,376.0,,,,,,,,,,,,,,,1968.0,0.01,1m,2.0,0.0,1.0,256.0,,,,,,,,5576.0,0.02,2m,2.4000000000000004,0.4,1.0,752.0,,,,,,,,,,,,,,,,,,,,,,3680,0.015,2m,3.0,0.6000000000000001,2.0,392,,,,,,,,1136,0.01,5m,2.2,0.2,1.0,712,3472.0,0.015,2m,2.0,0.2,2.0,960.0,0.15000000000000002,7,COMPLETE
38,38,1.5113786756408287,2025-06-21 19:24:56.826268,2025-06-21 19:25:01.884964,0 days 00:00:05.058696,,,,,,,,,,,,,,,,,,,,,,4208.0,0.01,4m,1.0,0.6000000000000001,1.0,792.0,1896.0,0.01,5m,1.8,0.4,1.0,616.0,,,,,,,,,,,,,,,7800.0,0.015,4m,2.8,0.4,2.0,760.0,2896.0,0.015,3m,2.6,0.4,1.0,664.0,,,,,,,,,,,,,,,4776.0,0.01,5m,3.0,0.6000000000000001,0.5,384.0,,,,,,,,3728.0,0.02,2m,2.6,0.6000000000000001,2.0,640.0,,,,,,,,,,,,,,,5744.0,0.02,2m,2.6,0.8,1.0,512.0,7976,0.02,4m,2.4000000000000004,1.0,2.0,224,,,,,,,,3088,0.01,4m,2.4000000000000004,0.0,0.5,472,5064.0,0.015,2m,2.0,0.6000000000000001,1.5,760.0,0.45,9,COMPLETE
39,39,-0.11281834926389943,2025-06-21 19:25:01.976109,2025-06-21 19:25:08.549919,0 days 00:00:06.573810,3200.0,0.02,5m,1.0,0.0,1.5,136.0,5552.0,0.01,5m,2.0,0.8,2.0,96.0,1400.0,0.015,1m,1.4,0.2,1.0,304.0,6928.0,0.01,5m,1.0,0.6000000000000001,1.5,768.0,2056.0,0.01,5m,1.8,0.4,1.0,616.0,,,,,,,,,,,,,,,7808.0,0.015,4m,2.8,0.4,2.0,784.0,1648.0,0.015,2m,2.8,0.4,1.0,640.0,,,,,,,,3504.0,0.015,5m,2.6,0.6000000000000001,0.5,632.0,6128.0,0.01,5m,3.0,0.6000000000000001,1.0,440.0,,,,,,,,6728.0,0.02,2m,2.6,0.8,2.0,616.0,,,,,,,,,,,,,,,5496.0,0.02,2m,2.6,0.8,1.0,536.0,8016,0.015,4m,1.8,0.8,2.0,448,,,,,,,,2928,0.01,4m,2.8,0.0,0.5,152,5248.0,0.015,2m,2.2,0.6000000000000001,1.5,768.0,0.35000000000000003,13,COMPLETE
40,40,0.36436651605172926,2025-06-21 19:25:08.637131,2025-06-21 19:25:13.517303,0 days 00:00:04.880172,,,,,,,,,,,,,,,,,,,,,,4232.0,0.01,2m,1.0,0.8,1.0,840.0,1064.0,0.015,5m,1.2,0.2,1.5,448.0,,,,,,,,,,,,,,,7800.0,0.01,4m,2.8,0.6000000000000001,2.0,912.0,3832.0,0.015,4m,1.6,0.4,1.0,672.0,,,,,,,,,,,,,,,3072.0,0.01,5m,3.0,1.0,1.5,592.0,,,,,,,,4760.0,0.015,5m,2.2,0.6000000000000001,2.0,496.0,,,,,,,,,,,,,,,7336.0,0.02,2m,2.8,0.8,1.0,672.0,6432,0.02,4m,2.2,0.6000000000000001,2.0,576,,,,,,,,2056,0.01,4m,2.6,0.0,0.5,288,5888.0,0.015,1m,2.8,0.6000000000000001,1.5,856.0,0.3,9,COMPLETE
41,41,-1.0582218500757952,2025-06-21 19:25:13.600386,2025-06-21 19:25:18.796438,0 days 00:00:05.196052,,,,,,,,,,,,,,,,,,,,,,4288.0,0.01,2m,1.2,0.8,1.0,824.0,1112.0,0.015,5m,1.0,0.2,1.5,416.0,,,,,,,,,,,,,,,7880.0,0.01,4m,2.8,0.6000000000000001,2.0,904.0,3544.0,0.015,4m,1.4,0.4,1.0,704.0,,,,,,,,,,,,,,,3024.0,0.01,5m,3.0,0.8,1.5,568.0,,,,,,,,4600.0,0.015,5m,2.2,0.6000000000000001,2.0,520.0,,,,,,,,,,,,,,,7440.0,0.02,2m,2.8,0.8,1.0,664.0,7448,0.02,4m,2.2,0.6000000000000001,2.0,552,,,,,,,,2016,0.01,4m,2.6,0.0,0.5,272,5976.0,0.015,1m,3.0,0.6000000000000001,1.5,832.0,0.3,9,COMPLETE
42,42,-0.6194896458785067,2025-06-21 19:25:18.874689,2025-06-21 19:25:24.319236,0 days 00:00:05.444547,,,,,,,,,,,,,,,,,,,,,,4792.0,0.01,2m,1.0,0.8,1.0,880.0,1088.0,0.015,5m,1.2,0.4,1.5,424.0,,,,,,,,,,,,,,,7048.0,0.01,4m,3.0,0.6000000000000001,2.0,960.0,2944.0,0.015,4m,1.6,0.4,1.0,664.0,,,,,,,,6976.0,0.01,3m,1.4,0.2,1.0,384.0,1552.0,0.01,5m,2.8,1.0,1.5,712.0,,,,,,,,4872.0,0.015,5m,2.0,0.6000000000000001,2.0,296.0,,,,,,,,,,,,,,,8160.0,0.02,2m,2.8,1.0,1.0,488.0,6328,0.02,4m,2.0,0.6000000000000001,2.0,592,,,,,,,,1744,0.01,4m,2.4000000000000004,0.0,0.5,352,5888.0,0.015,1m,2.8,0.6000000000000001,1.5,984.0,0.3,10,COMPLETE
43,43,0.4208351073367585,2025-06-21 19:25:24.392595,2025-06-21 19:25:30.556202,0 days 00:00:06.163607,5816.0,0.015,5m,1.8,1.0,1.0,680.0,,,,,,,,2624.0,0.01,5m,2.4000000000000004,0.0,1.5,808.0,3544.0,0.01,2m,1.4,0.6000000000000001,1.0,696.0,1696.0,0.015,5m,1.8,0.2,1.0,816.0,,,,,,,,,,,,,,,7800.0,0.01,4m,2.6,0.4,2.0,960.0,4104.0,0.015,4m,1.8,0.4,1.0,576.0,,,,,,,,5296.0,0.02,2m,2.0,0.4,1.5,1008.0,3840.0,0.01,5m,2.8,1.0,1.5,672.0,,,,,,,,3360.0,0.015,5m,2.4000000000000004,0.6000000000000001,2.0,512.0,,,,,,,,,,,,,,,7352.0,0.02,2m,2.4000000000000004,0.6000000000000001,1.0,584.0,7440,0.02,4m,2.4000000000000004,0.8,2.0,760,,,,,,,,3480,0.01,4m,2.8,0.0,0.5,272,4296.0,0.015,1m,2.8,0.8,1.5,880.0,0.4,12,COMPLETE
44,44,0.1850950228178871,2025-06-21 19:25:30.638601,2025-06-21 19:25:36.594754,0 days 00:00:05.956153,5976.0,0.015,5m,1.8,0.8,1.0,896.0,,,,,,,,2640.0,0.01,5m,2.4000000000000004,0.0,1.5,752.0,3728.0,0.01,2m,1.4,0.6000000000000001,1.0,744.0,1840.0,0.01,5m,1.4,0.0,1.0,848.0,,,,,,,,,,,,,,,4088.0,0.01,4m,2.6,0.4,2.0,968.0,4184.0,0.015,4m,1.8,0.6000000000000001,0.5,576.0,,,,,,,,5352.0,0.02,2m,2.0,0.4,1.5,1024.0,3776.0,0.01,5m,2.8,1.0,1.5,736.0,,,,,,,,3504.0,0.015,5m,2.4000000000000004,0.8,2.0,496.0,,,,,,,,,,,,,,,5448.0,0.02,2m,2.4000000000000004,0.6000000000000001,1.0,688.0,7568,0.02,4m,2.4000000000000004,1.0,2.0,824,,,,,,,,3368,0.01,4m,2.6,0.0,0.5,232,4224.0,0.015,1m,2.8,0.8,1.5,720.0,0.4,12,COMPLETE
45,45,-0.49657342388829745,2025-06-21 19:25:36.687849,2025-06-21 19:25:44.224602,0 days 00:00:07.536753,7048.0,0.015,5m,2.2,1.0,0.5,648.0,5928.0,0.015,1m,3.0,0.4,0.5,1024.0,3872.0,0.01,5m,2.6,0.4,1.5,832.0,4192.0,0.015,2m,1.0,0.6000000000000001,1.5,672.0,2912.0,0.015,5m,1.8,0.6000000000000001,1.5,760.0,,,,,,,,,,,,,,,8192.0,0.01,4m,2.6,0.6000000000000001,2.0,776.0,5016.0,0.015,4m,1.6,0.4,1.0,696.0,,,,,,,,3616.0,0.02,2m,2.2,0.4,2.0,896.0,2448.0,0.015,5m,2.6,1.0,2.0,688.0,8056.0,0.015,4m,2.0,0.0,0.5,992.0,2192.0,0.015,5m,2.0,0.4,2.0,320.0,,,,,,,,6064.0,0.015,1m,1.0,0.4,1.5,720.0,7016.0,0.02,2m,2.2,0.8,1.0,584.0,8048,0.02,4m,2.4000000000000004,0.6000000000000001,1.5,696,8008.0,0.02,1m,1.0,0.0,0.5,968.0,1416,0.01,4m,2.2,0.0,0.5,272,5064.0,0.02,1m,2.8,0.8,1.0,576.0,0.45,16,COMPLETE
