,number,value,datetime_start,datetime_complete,duration,params_AAPL_FAST_beta_win,params_AAPL_FAST_stop_loss,params_AAPL_FAST_trade_freq,params_AAPL_FAST_z_entry,params_AAPL_FAST_z_exit,params_AAPL_FAST_z_stop_scaler,params_AAPL_FAST_z_win,params_ABNB_AEP_beta_win,params_ABNB_AEP_stop_loss,params_ABNB_AEP_trade_freq,params_ABNB_AEP_z_entry,params_ABNB_AEP_z_exit,params_ABNB_AEP_z_stop_scaler,params_ABNB_AEP_z_win,params_ADI_HON_beta_win,params_ADI_HON_stop_loss,params_ADI_HON_trade_freq,params_ADI_HON_z_entry,params_ADI_HON_z_exit,params_ADI_HON_z_stop_scaler,params_ADI_HON_z_win,params_ADP_AVGO_beta_win,params_ADP_AVGO_stop_loss,params_ADP_AVGO_trade_freq,params_ADP_AVGO_z_entry,params_ADP_AVGO_z_exit,params_ADP_AVGO_z_stop_scaler,params_ADP_AVGO_z_win,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_AMZN_MU_beta_win,params_AMZN_MU_stop_loss,params_AMZN_MU_trade_freq,params_AMZN_MU_z_entry,params_AMZN_MU_z_exit,params_AMZN_MU_z_stop_scaler,params_AMZN_MU_z_win,params_ANSS_REGN_beta_win,params_ANSS_REGN_stop_loss,params_ANSS_REGN_trade_freq,params_ANSS_REGN_z_entry,params_ANSS_REGN_z_exit,params_ANSS_REGN_z_stop_scaler,params_ANSS_REGN_z_win,params_AVGO_HON_beta_win,params_AVGO_HON_stop_loss,params_AVGO_HON_trade_freq,params_AVGO_HON_z_entry,params_AVGO_HON_z_exit,params_AVGO_HON_z_stop_scaler,params_AVGO_HON_z_win,params_AVGO_PAYX_beta_win,params_AVGO_PAYX_stop_loss,params_AVGO_PAYX_trade_freq,params_AVGO_PAYX_z_entry,params_AVGO_PAYX_z_exit,params_AVGO_PAYX_z_stop_scaler,params_AVGO_PAYX_z_win,params_BKNG_INTU_beta_win,params_BKNG_INTU_stop_loss,params_BKNG_INTU_trade_freq,params_BKNG_INTU_z_entry,params_BKNG_INTU_z_exit,params_BKNG_INTU_z_stop_scaler,params_BKNG_INTU_z_win,params_CDNS_INTU_beta_win,params_CDNS_INTU_stop_loss,params_CDNS_INTU_trade_freq,params_CDNS_INTU_z_entry,params_CDNS_INTU_z_exit,params_CDNS_INTU_z_stop_scaler,params_CDNS_INTU_z_win,params_CPRT_INTU_beta_win,params_CPRT_INTU_stop_loss,params_CPRT_INTU_trade_freq,params_CPRT_INTU_z_entry,params_CPRT_INTU_z_exit,params_CPRT_INTU_z_stop_scaler,params_CPRT_INTU_z_win,params_CRWD_KLAC_beta_win,params_CRWD_KLAC_stop_loss,params_CRWD_KLAC_trade_freq,params_CRWD_KLAC_z_entry,params_CRWD_KLAC_z_exit,params_CRWD_KLAC_z_stop_scaler,params_CRWD_KLAC_z_win,params_CTSH_EBAY_beta_win,params_CTSH_EBAY_stop_loss,params_CTSH_EBAY_trade_freq,params_CTSH_EBAY_z_entry,params_CTSH_EBAY_z_exit,params_CTSH_EBAY_z_stop_scaler,params_CTSH_EBAY_z_win,params_DXCM_KLAC_beta_win,params_DXCM_KLAC_stop_loss,params_DXCM_KLAC_trade_freq,params_DXCM_KLAC_z_entry,params_DXCM_KLAC_z_exit,params_DXCM_KLAC_z_stop_scaler,params_DXCM_KLAC_z_win,params_GFS_KHC_beta_win,params_GFS_KHC_stop_loss,params_GFS_KHC_trade_freq,params_GFS_KHC_z_entry,params_GFS_KHC_z_exit,params_GFS_KHC_z_stop_scaler,params_GFS_KHC_z_win,params_HON_SNPS_beta_win,params_HON_SNPS_stop_loss,params_HON_SNPS_trade_freq,params_HON_SNPS_z_entry,params_HON_SNPS_z_exit,params_HON_SNPS_z_stop_scaler,params_HON_SNPS_z_win,params_INTU_REGN_beta_win,params_INTU_REGN_stop_loss,params_INTU_REGN_trade_freq,params_INTU_REGN_z_entry,params_INTU_REGN_z_exit,params_INTU_REGN_z_stop_scaler,params_INTU_REGN_z_win,params_MELI_SNPS_beta_win,params_MELI_SNPS_stop_loss,params_MELI_SNPS_trade_freq,params_MELI_SNPS_z_entry,params_MELI_SNPS_z_exit,params_MELI_SNPS_z_stop_scaler,params_MELI_SNPS_z_win,params_META_ROST_beta_win,params_META_ROST_stop_loss,params_META_ROST_trade_freq,params_META_ROST_z_entry,params_META_ROST_z_exit,params_META_ROST_z_stop_scaler,params_META_ROST_z_win,params_ODFL_TEAM_beta_win,params_ODFL_TEAM_stop_loss,params_ODFL_TEAM_trade_freq,params_ODFL_TEAM_z_entry,params_ODFL_TEAM_z_exit,params_ODFL_TEAM_z_stop_scaler,params_ODFL_TEAM_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-100.0,2025-06-21 19:23:03.826541,2025-06-21 19:23:05.018513,0 days 00:00:01.191972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144,0.02,5m,3.0,1.0,1.0,304,,,,,,,,7808,0.02,3m,2.2,0.8,1.0,480,,,,,,,,0.5,1,COMPLETE
11,11,-1.3176707891823416,2025-06-21 19:23:05.086031,2025-06-21 19:23:07.452438,0 days 00:00:02.366407,,,,,,,,,,,,,,,,,,,,,,5184.0,0.01,4m,3.0,0.0,0.5,712.0,,,,,,,,,,,,,,,,,,,,,,3248.0,0.015,3m,1.6,0.6000000000000001,1.5,776.0,,,,,,,,,,,,,,,,,,,,,,2648.0,0.01,5m,1.4,1.0,2.0,632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2712,0.02,4m,2.2,0.2,1.0,760,,,,,,,,4648,0.02,4m,2.4000000000000004,0.8,2.0,88,,,,,,,,0.3,4,COMPLETE
12,12,-0.10983030376121569,2025-06-21 19:23:07.517103,2025-06-21 19:23:09.575746,0 days 00:00:02.058643,,,,,,,,,,,,,,,,,,,,,,8120.0,0.01,1m,3.0,1.0,0.5,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5560.0,0.02,4m,1.8,0.0,0.5,288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264,0.01,5m,1.8,0.4,0.5,384,,,,,,,,4424,0.02,4m,2.4000000000000004,0.8,1.0,120,,,,,,,,0.35000000000000003,3,COMPLETE
13,13,-0.07877590662814969,2025-06-21 19:23:09.655863,2025-06-21 19:23:10.777655,0 days 00:00:01.121792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,0.01,5m,2.4000000000000004,0.4,0.5,352,,,,,,,,4648,0.02,2m,2.2,0.8,1.0,344,,,,,,,,0.4,1,COMPLETE
14,14,-0.07438255753898686,2025-06-21 19:23:10.861558,2025-06-21 19:23:11.904072,0 days 00:00:01.042514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912,0.01,5m,2.6,0.4,0.5,184,,,,,,,,5384,0.02,2m,2.0,0.6000000000000001,1.0,392,,,,,,,,0.5,1,COMPLETE
15,15,0.08812068738681528,2025-06-21 19:23:11.980090,2025-06-21 19:23:16.156348,0 days 00:00:04.176258,,,,,,,,,,,,,,,,,,,,,,3808.0,0.01,4m,1.8,0.0,1.0,1016.0,,,,,,,,,,,,,,,,,,,,,,8128.0,0.015,1m,1.6,0.0,1.5,480.0,1048.0,0.01,3m,2.0,0.0,1.5,1016.0,,,,,,,,,,,,,,,5040.0,0.01,3m,2.0,0.4,0.5,128.0,,,,,,,,4008.0,0.02,2m,3.0,0.2,1.5,968.0,,,,,,,,,,,,,,,1432.0,0.01,1m,3.0,0.0,1.0,472.0,3728,0.02,5m,2.6,0.8,2.0,104,,,,,,,,5832,0.02,2m,2.0,0.4,1.0,536,2760.0,0.01,2m,1.8,0.0,2.0,944.0,0.5,8,COMPLETE
16,16,-0.33962981198239495,2025-06-21 19:23:16.239361,2025-06-21 19:23:20.482061,0 days 00:00:04.242700,,,,,,,,,,,,,,,,,,,,,,3904.0,0.01,4m,1.8,0.0,1.0,1008.0,,,,,,,,,,,,,,,,,,,,,,8128.0,0.015,1m,1.6,0.0,1.5,424.0,1032.0,0.01,3m,2.0,0.0,1.5,1008.0,,,,,,,,,,,,,,,5152.0,0.01,3m,2.0,0.4,0.5,72.0,,,,,,,,4496.0,0.02,2m,3.0,0.2,1.5,1016.0,,,,,,,,,,,,,,,1136.0,0.01,1m,3.0,0.0,1.0,408.0,3888,0.02,3m,3.0,0.8,2.0,248,,,,,,,,7840,0.02,5m,1.6,0.4,1.5,576,3176.0,0.01,2m,1.8,0.0,2.0,1000.0,0.5,8,COMPLETE
17,17,0.41383806516654387,2025-06-21 19:23:20.561436,2025-06-21 19:23:26.268678,0 days 00:00:05.707242,7488.0,0.015,5m,2.8,0.0,0.5,1016.0,,,,,,,,,,,,,,,3016.0,0.01,4m,2.2,0.2,1.0,720.0,1096.0,0.015,5m,2.8,1.0,1.5,1008.0,,,,,,,,,,,,,,,8184.0,0.015,1m,3.0,0.2,1.5,1016.0,1120.0,0.015,3m,2.0,0.2,2.0,752.0,,,,,,,,7944.0,0.01,4m,3.0,0.6000000000000001,0.5,1024.0,5752.0,0.01,3m,2.0,0.2,0.5,232.0,,,,,,,,4048.0,0.02,2m,2.6,0.2,1.0,736.0,,,,,,,,,,,,,,,1136.0,0.01,1m,3.0,0.0,1.0,528.0,3648,0.02,5m,2.6,0.8,2.0,88,,,,,,,,6496,0.02,3m,3.0,0.2,0.5,688,1192.0,0.01,2m,2.0,0.2,1.5,1016.0,0.4,11,COMPLETE
18,18,-0.19682028871834376,2025-06-21 19:23:26.364349,2025-06-21 19:23:33.331869,0 days 00:00:06.967520,7000.0,0.015,5m,3.0,0.0,0.5,1024.0,7480.0,0.01,5m,2.6,0.6000000000000001,0.5,1024.0,1040.0,0.01,3m,3.0,1.0,0.5,64.0,2656.0,0.01,1m,2.4000000000000004,0.2,1.5,664.0,1552.0,0.015,5m,3.0,1.0,1.5,984.0,,,,,,,,,,,,,,,6736.0,0.015,1m,3.0,0.4,1.0,1024.0,2064.0,0.015,3m,1.8,0.2,2.0,600.0,,,,,,,,7784.0,0.01,4m,3.0,0.6000000000000001,0.5,1024.0,7792.0,0.01,5m,1.6,0.2,0.5,280.0,,,,,,,,8160.0,0.02,3m,2.6,0.4,1.0,712.0,,,,,,,,7560.0,0.02,4m,3.0,0.0,2.0,1000.0,6232.0,0.01,1m,2.6,0.2,0.5,192.0,5040,0.02,5m,2.4000000000000004,0.8,1.5,480,,,,,,,,7344,0.02,3m,3.0,0.0,0.5,744,1384.0,0.01,2m,2.0,0.2,1.5,768.0,0.4,14,COMPLETE
19,19,-0.2366770627920219,2025-06-21 19:23:33.395758,2025-06-21 19:23:38.968838,0 days 00:00:05.573080,8008.0,0.015,5m,2.6,0.0,1.0,1024.0,,,,,,,,,,,,,,,1056.0,0.015,4m,2.2,0.2,1.0,792.0,8152.0,0.015,5m,2.4000000000000004,1.0,1.5,792.0,,,,,,,,,,,,,,,3072.0,0.015,5m,3.0,0.2,1.5,832.0,5888.0,0.015,1m,2.4000000000000004,1.0,2.0,400.0,,,,,,,,8112.0,0.01,4m,3.0,0.6000000000000001,0.5,768.0,5992.0,0.01,1m,1.8,0.0,0.5,408.0,,,,,,,,1128.0,0.015,4m,2.6,0.0,1.0,680.0,,,,,,,,,,,,,,,2152.0,0.01,4m,2.4000000000000004,0.2,1.5,632.0,6000,0.02,5m,2.8,0.8,2.0,648,,,,,,,,6720,0.015,3m,3.0,0.2,0.5,968,3680.0,0.015,3m,2.2,0.6000000000000001,1.5,872.0,0.4,11,COMPLETE
