,number,value,datetime_start,datetime_complete,duration,params_AAPL_PANW_beta_win,params_AAPL_PANW_stop_loss,params_AAPL_PANW_trade_freq,params_AAPL_PANW_z_entry,params_AAPL_PANW_z_exit,params_AAPL_PANW_z_stop_scaler,params_AAPL_PANW_z_win,params_ADI_PDD_beta_win,params_ADI_PDD_stop_loss,params_ADI_PDD_trade_freq,params_ADI_PDD_z_entry,params_ADI_PDD_z_exit,params_ADI_PDD_z_stop_scaler,params_ADI_PDD_z_win,params_AEP_ATVI_beta_win,params_AEP_ATVI_stop_loss,params_AEP_ATVI_trade_freq,params_AEP_ATVI_z_entry,params_AEP_ATVI_z_exit,params_AEP_ATVI_z_stop_scaler,params_AEP_ATVI_z_win,params_AMZN_DXCM_beta_win,params_AMZN_DXCM_stop_loss,params_AMZN_DXCM_trade_freq,params_AMZN_DXCM_z_entry,params_AMZN_DXCM_z_exit,params_AMZN_DXCM_z_stop_scaler,params_AMZN_DXCM_z_win,params_AMZN_ORLY_beta_win,params_AMZN_ORLY_stop_loss,params_AMZN_ORLY_trade_freq,params_AMZN_ORLY_z_entry,params_AMZN_ORLY_z_exit,params_AMZN_ORLY_z_stop_scaler,params_AMZN_ORLY_z_win,params_ATVI_EXC_beta_win,params_ATVI_EXC_stop_loss,params_ATVI_EXC_trade_freq,params_ATVI_EXC_z_entry,params_ATVI_EXC_z_exit,params_ATVI_EXC_z_stop_scaler,params_ATVI_EXC_z_win,params_ATVI_JD_beta_win,params_ATVI_JD_stop_loss,params_ATVI_JD_trade_freq,params_ATVI_JD_z_entry,params_ATVI_JD_z_exit,params_ATVI_JD_z_stop_scaler,params_ATVI_JD_z_win,params_AVGO_PDD_beta_win,params_AVGO_PDD_stop_loss,params_AVGO_PDD_trade_freq,params_AVGO_PDD_z_entry,params_AVGO_PDD_z_exit,params_AVGO_PDD_z_stop_scaler,params_AVGO_PDD_z_win,params_DLTR_ILMN_beta_win,params_DLTR_ILMN_stop_loss,params_DLTR_ILMN_trade_freq,params_DLTR_ILMN_z_entry,params_DLTR_ILMN_z_exit,params_DLTR_ILMN_z_stop_scaler,params_DLTR_ILMN_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_DXCM_SGEN_beta_win,params_DXCM_SGEN_stop_loss,params_DXCM_SGEN_trade_freq,params_DXCM_SGEN_z_entry,params_DXCM_SGEN_z_exit,params_DXCM_SGEN_z_stop_scaler,params_DXCM_SGEN_z_win,params_FANG_ILMN_beta_win,params_FANG_ILMN_stop_loss,params_FANG_ILMN_trade_freq,params_FANG_ILMN_z_entry,params_FANG_ILMN_z_exit,params_FANG_ILMN_z_stop_scaler,params_FANG_ILMN_z_win,params_GILD_MNST_beta_win,params_GILD_MNST_stop_loss,params_GILD_MNST_trade_freq,params_GILD_MNST_z_entry,params_GILD_MNST_z_exit,params_GILD_MNST_z_stop_scaler,params_GILD_MNST_z_win,params_HON_TEAM_beta_win,params_HON_TEAM_stop_loss,params_HON_TEAM_trade_freq,params_HON_TEAM_z_entry,params_HON_TEAM_z_exit,params_HON_TEAM_z_stop_scaler,params_HON_TEAM_z_win,params_KHC_ZS_beta_win,params_KHC_ZS_stop_loss,params_KHC_ZS_trade_freq,params_KHC_ZS_z_entry,params_KHC_ZS_z_exit,params_KHC_ZS_z_stop_scaler,params_KHC_ZS_z_win,params_MRNA_ZS_beta_win,params_MRNA_ZS_stop_loss,params_MRNA_ZS_trade_freq,params_MRNA_ZS_z_entry,params_MRNA_ZS_z_exit,params_MRNA_ZS_z_stop_scaler,params_MRNA_ZS_z_win,params_ORLY_SGEN_beta_win,params_ORLY_SGEN_stop_loss,params_ORLY_SGEN_trade_freq,params_ORLY_SGEN_z_entry,params_ORLY_SGEN_z_exit,params_ORLY_SGEN_z_stop_scaler,params_ORLY_SGEN_z_win,params_ORLY_TEAM_beta_win,params_ORLY_TEAM_stop_loss,params_ORLY_TEAM_trade_freq,params_ORLY_TEAM_z_entry,params_ORLY_TEAM_z_exit,params_ORLY_TEAM_z_stop_scaler,params_ORLY_TEAM_z_win,params_PEP_SGEN_beta_win,params_PEP_SGEN_stop_loss,params_PEP_SGEN_trade_freq,params_PEP_SGEN_z_entry,params_PEP_SGEN_z_exit,params_PEP_SGEN_z_stop_scaler,params_PEP_SGEN_z_win,params_REGN_SGEN_beta_win,params_REGN_SGEN_stop_loss,params_REGN_SGEN_trade_freq,params_REGN_SGEN_z_entry,params_REGN_SGEN_z_exit,params_REGN_SGEN_z_stop_scaler,params_REGN_SGEN_z_win,params_buffer_capital,params_pairs_to_trade,state
108,108,-0.18880507900254875,2025-06-21 19:29:07.703153,2025-06-21 19:29:14.198929,0 days 00:00:06.495776,1648.0,0.02,2m,2.4000000000000004,0.2,1.5,736.0,3104.0,0.02,2m,3.0,0.2,0.5,280.0,4720.0,0.01,3m,2.8,0.0,2.0,352.0,,,,,,,,3688.0,0.02,4m,1.4,0.4,0.5,896.0,1272,0.02,3m,2.2,1.0,0.5,896,,,,,,,,5144.0,0.015,5m,1.8,0.0,1.0,400.0,6920.0,0.01,3m,1.0,1.0,1.5,96.0,6040.0,0.015,1m,2.0,0.2,1.5,936.0,,,,,,,,8152.0,0.015,3m,2.4000000000000004,0.6000000000000001,1.0,984.0,5296.0,0.015,4m,3.0,1.0,1.0,384.0,2888.0,0.01,4m,1.6,0.4,1.5,688.0,7200.0,0.02,2m,2.0,0.6000000000000001,1.5,256.0,1440.0,0.015,1m,2.0,0.4,2.0,760.0,,,,,,,,1512.0,0.015,5m,1.8,0.6000000000000001,1.0,872.0,,,,,,,,7840.0,0.01,1m,3.0,0.2,0.5,424.0,0.2,15,COMPLETE
109,109,-0.004700621902579461,2025-06-21 19:29:14.293991,2025-06-21 19:29:21.529023,0 days 00:00:07.235032,2840.0,0.02,2m,2.4000000000000004,0.6000000000000001,1.5,608.0,4240.0,0.015,2m,2.2,0.2,1.5,440.0,4392.0,0.01,3m,2.8,0.0,2.0,528.0,,,,,,,,3872.0,0.02,4m,1.2,0.6000000000000001,0.5,680.0,1664,0.02,3m,2.2,1.0,0.5,960,,,,,,,,4576.0,0.02,5m,1.6,0.8,1.0,480.0,6400.0,0.01,3m,1.4,0.8,1.5,448.0,6272.0,0.015,1m,1.8,0.4,1.5,1016.0,,,,,,,,8056.0,0.015,3m,2.6,0.4,1.0,1024.0,8024.0,0.015,2m,3.0,1.0,1.0,328.0,5592.0,0.015,1m,2.4000000000000004,0.2,1.0,272.0,7816.0,0.01,2m,2.4000000000000004,0.6000000000000001,1.5,352.0,1544.0,0.015,1m,2.0,0.2,2.0,832.0,5096.0,0.015,2m,2.0,0.6000000000000001,1.0,664.0,1024.0,0.015,5m,1.8,0.6000000000000001,1.0,800.0,,,,,,,,7328.0,0.01,1m,2.6,0.2,0.5,328.0,0.35000000000000003,16,COMPLETE
110,110,-0.5467314318609577,2025-06-21 19:29:21.617300,2025-06-21 19:29:28.904579,0 days 00:00:07.287279,1680.0,0.02,2m,2.8,0.4,1.5,736.0,2288.0,0.02,2m,1.6,0.0,1.0,704.0,4232.0,0.01,3m,2.8,0.0,2.0,408.0,,,,,,,,5248.0,0.02,4m,1.0,0.2,0.5,856.0,1432,0.02,3m,2.0,1.0,0.5,920,,,,,,,,4872.0,0.02,5m,1.4,0.0,1.0,440.0,6928.0,0.01,4m,1.2,1.0,1.5,120.0,6696.0,0.015,1m,2.2,0.2,1.5,872.0,,,,,,,,8192.0,0.015,3m,2.4000000000000004,0.2,1.0,952.0,4368.0,0.015,4m,3.0,1.0,2.0,384.0,2728.0,0.01,2m,1.2,0.6000000000000001,0.5,680.0,8152.0,0.01,2m,2.2,0.8,1.5,432.0,1048.0,0.015,1m,2.0,0.4,1.0,728.0,5384.0,0.01,4m,2.4000000000000004,1.0,1.5,688.0,1192.0,0.015,5m,1.8,0.8,1.0,920.0,,,,,,,,6680.0,0.01,1m,2.8,0.0,0.5,432.0,0.15000000000000002,16,COMPLETE
111,111,1.2370468050410586,2025-06-21 19:29:29.006927,2025-06-21 19:29:35.524480,0 days 00:00:06.517553,2848.0,0.02,2m,2.0,0.4,1.0,520.0,6648.0,0.015,5m,1.8,0.8,1.5,208.0,3824.0,0.01,3m,2.8,0.0,2.0,504.0,,,,,,,,2512.0,0.02,4m,1.6,0.4,1.0,1024.0,1128,0.02,3m,2.0,1.0,0.5,896,,,,,,,,4176.0,0.02,5m,1.4,0.0,1.0,456.0,7384.0,0.01,3m,1.4,1.0,1.5,184.0,6016.0,0.015,1m,2.0,0.2,1.5,928.0,,,,,,,,7680.0,0.015,3m,2.4000000000000004,0.6000000000000001,1.0,920.0,5472.0,0.015,4m,2.8,1.0,1.0,352.0,,,,,,,,7504.0,0.01,2m,1.8,0.6000000000000001,1.5,176.0,1528.0,0.015,1m,2.2,0.4,2.0,672.0,,,,,,,,1720.0,0.015,5m,1.8,0.4,1.0,976.0,,,,,,,,6424.0,0.01,1m,3.0,0.0,0.5,200.0,0.15000000000000002,14,COMPLETE
112,112,1.9227046042046163,2025-06-21 19:29:35.624553,2025-06-21 19:29:41.856012,0 days 00:00:06.231459,2904.0,0.02,2m,2.0,0.4,1.0,496.0,6640.0,0.015,5m,1.8,0.8,1.5,208.0,4856.0,0.01,3m,2.8,0.0,2.0,512.0,,,,,,,,2288.0,0.02,4m,1.6,0.4,1.0,1024.0,1248,0.02,3m,2.0,1.0,0.5,944,,,,,,,,4144.0,0.02,5m,1.4,0.0,1.0,432.0,7368.0,0.01,3m,1.4,1.0,1.5,184.0,6176.0,0.015,1m,2.0,0.2,1.5,920.0,,,,,,,,7728.0,0.015,3m,2.6,0.6000000000000001,1.0,920.0,6008.0,0.015,4m,3.0,1.0,1.0,368.0,,,,,,,,7496.0,0.01,2m,2.0,0.6000000000000001,1.5,192.0,1216.0,0.015,1m,2.2,0.4,2.0,864.0,,,,,,,,1720.0,0.015,5m,1.8,0.4,1.0,976.0,,,,,,,,6416.0,0.01,1m,3.0,0.0,0.5,184.0,0.15000000000000002,14,COMPLETE
113,113,0.24180922474766584,2025-06-21 19:29:41.948475,2025-06-21 19:29:48.416777,0 days 00:00:06.468302,2904.0,0.02,2m,2.0,0.4,1.0,520.0,7152.0,0.015,5m,1.8,0.8,1.5,136.0,5464.0,0.01,3m,2.8,0.0,2.0,512.0,,,,,,,,2280.0,0.02,4m,1.6,0.4,1.0,1024.0,1120,0.02,3m,2.0,1.0,0.5,944,,,,,,,,4144.0,0.02,5m,1.6,0.0,1.0,456.0,7400.0,0.01,3m,1.4,1.0,1.5,136.0,5560.0,0.015,1m,2.0,0.2,1.5,944.0,,,,,,,,7720.0,0.015,3m,2.8,0.6000000000000001,1.0,928.0,5328.0,0.015,4m,3.0,1.0,1.0,368.0,,,,,,,,7496.0,0.01,2m,2.0,0.6000000000000001,1.5,168.0,1232.0,0.015,1m,2.2,0.4,2.0,656.0,,,,,,,,1744.0,0.015,5m,1.8,0.4,1.0,976.0,,,,,,,,6352.0,0.01,1m,3.0,0.0,0.5,192.0,0.2,14,COMPLETE
114,114,-0.0410254398633962,2025-06-21 19:29:48.507422,2025-06-21 19:29:55.463891,0 days 00:00:06.956469,2096.0,0.02,2m,2.2,0.4,1.0,592.0,5704.0,0.015,5m,1.8,0.8,1.5,208.0,4856.0,0.01,3m,2.8,0.0,2.0,464.0,,,,,,,,2176.0,0.02,4m,1.2,0.4,1.0,936.0,1264,0.02,3m,2.0,1.0,0.5,840,,,,,,,,3928.0,0.02,5m,1.4,0.0,1.0,440.0,7104.0,0.01,3m,1.2,1.0,1.5,192.0,6136.0,0.015,2m,2.0,0.2,1.5,904.0,,,,,,,,7832.0,0.015,3m,2.6,0.6000000000000001,1.0,976.0,5512.0,0.015,4m,2.8,1.0,1.0,312.0,,,,,,,,6936.0,0.01,2m,1.8,0.6000000000000001,1.5,200.0,1680.0,0.015,1m,2.4000000000000004,0.4,2.0,680.0,,,,,,,,1920.0,0.015,5m,2.0,0.6000000000000001,1.0,960.0,,,,,,,,7240.0,0.01,1m,3.0,0.0,0.5,248.0,0.15000000000000002,14,COMPLETE
115,115,0.21097962665015643,2025-06-21 19:29:55.561121,2025-06-21 19:30:02.431930,0 days 00:00:06.870809,1152.0,0.02,2m,2.0,0.6000000000000001,1.0,416.0,7056.0,0.015,5m,2.2,0.8,1.0,400.0,4512.0,0.01,3m,2.8,0.0,2.0,560.0,,,,,,,,3384.0,0.02,4m,1.6,0.6000000000000001,0.5,1024.0,1048,0.02,3m,2.0,1.0,0.5,888,,,,,,,,4480.0,0.02,5m,1.4,0.0,1.0,536.0,7336.0,0.01,2m,1.4,1.0,1.5,184.0,5984.0,0.015,1m,2.0,0.2,1.5,904.0,,,,,,,,7928.0,0.015,3m,2.4000000000000004,0.6000000000000001,1.0,1000.0,5856.0,0.015,4m,3.0,1.0,1.0,352.0,,,,,,,,7824.0,0.01,2m,2.0,0.6000000000000001,1.5,224.0,1528.0,0.015,1m,2.2,0.4,2.0,864.0,,,,,,,,1672.0,0.015,5m,1.8,0.4,1.0,1000.0,,,,,,,,6896.0,0.01,1m,2.8,0.0,0.5,72.0,0.15000000000000002,14,COMPLETE
116,116,0.4568715663140573,2025-06-21 19:30:02.521934,2025-06-21 19:30:08.698005,0 days 00:00:06.176071,2704.0,0.02,2m,2.2,0.2,1.0,520.0,,,,,,,,5096.0,0.01,3m,2.6,0.0,2.0,504.0,,,,,,,,4176.0,0.02,4m,1.2,0.4,1.0,912.0,1376,0.02,3m,2.0,1.0,0.5,928,,,,,,,,4344.0,0.02,5m,1.6,0.0,1.0,352.0,7616.0,0.01,3m,3.0,1.0,1.5,88.0,5664.0,0.015,1m,2.2,0.2,1.5,968.0,,,,,,,,8016.0,0.015,3m,2.8,0.6000000000000001,1.0,960.0,5480.0,0.015,4m,2.8,1.0,1.0,408.0,,,,,,,,7600.0,0.01,2m,2.0,0.6000000000000001,1.5,112.0,1168.0,0.015,1m,2.4000000000000004,0.4,2.0,816.0,,,,,,,,2048.0,0.015,5m,1.8,0.4,1.0,864.0,,,,,,,,6448.0,0.01,1m,3.0,0.2,0.5,368.0,0.1,13,COMPLETE
117,117,-0.18944841982034932,2025-06-21 19:30:08.792825,2025-06-21 19:30:15.361635,0 days 00:00:06.568810,3080.0,0.02,2m,2.4000000000000004,0.4,1.5,600.0,5560.0,0.015,5m,1.6,0.6000000000000001,1.5,184.0,4752.0,0.01,3m,3.0,0.0,2.0,544.0,,,,,,,,2696.0,0.02,4m,1.8,0.2,0.5,808.0,1840,0.02,3m,2.2,1.0,0.5,848,,,,,,,,4080.0,0.02,5m,1.4,0.0,1.0,504.0,6600.0,0.01,3m,1.2,0.8,1.5,136.0,6328.0,0.015,1m,1.8,0.2,1.5,776.0,,,,,,,,7600.0,0.015,3m,2.4000000000000004,0.6000000000000001,1.0,912.0,6064.0,0.015,4m,3.0,1.0,1.0,352.0,4504.0,0.015,5m,3.0,0.2,1.5,856.0,7152.0,0.01,2m,1.8,0.6000000000000001,1.5,304.0,1792.0,0.015,1m,2.0,0.0,2.0,712.0,,,,,,,,1528.0,0.015,5m,2.0,0.4,1.0,904.0,,,,,,,,5600.0,0.01,1m,2.8,0.0,0.5,304.0,0.2,15,COMPLETE
118,118,0.26613773897726967,2025-06-21 19:30:15.452976,2025-06-21 19:30:21.630579,0 days 00:00:06.177603,1576.0,0.02,2m,2.0,0.4,1.0,688.0,,,,,,,,3904.0,0.02,3m,2.8,0.0,2.0,432.0,,,,,,,,1744.0,0.02,4m,1.4,0.4,0.5,944.0,1616,0.02,3m,2.0,1.0,0.5,880,,,,,,,,4200.0,0.02,5m,1.4,0.0,1.0,568.0,2992.0,0.01,3m,1.4,1.0,1.5,168.0,6672.0,0.015,4m,1.8,0.2,1.5,992.0,,,,,,,,7696.0,0.015,3m,2.4000000000000004,0.8,1.0,952.0,6304.0,0.015,4m,2.8,1.0,1.5,296.0,,,,,,,,7944.0,0.01,2m,1.8,0.6000000000000001,1.5,64.0,1264.0,0.015,1m,2.2,0.4,0.5,776.0,,,,,,,,2176.0,0.015,5m,1.8,0.4,1.0,928.0,,,,,,,,7864.0,0.01,1m,2.6,0.2,0.5,184.0,0.15000000000000002,13,COMPLETE
119,119,0.3317235891920444,2025-06-21 19:30:21.704892,2025-06-21 19:30:28.402108,0 days 00:00:06.697216,2528.0,0.02,2m,2.2,0.6000000000000001,1.5,560.0,3824.0,0.015,5m,2.4000000000000004,1.0,1.5,248.0,4448.0,0.01,3m,3.0,0.0,2.0,576.0,,,,,,,,3544.0,0.02,4m,1.8,0.6000000000000001,1.0,840.0,1224,0.02,3m,2.0,1.0,0.5,952,,,,,,,,3696.0,0.02,5m,1.8,0.0,0.5,432.0,7096.0,0.02,3m,1.4,1.0,1.5,136.0,5928.0,0.015,1m,2.0,0.2,1.5,824.0,,,,,,,,2128.0,0.015,3m,2.6,0.6000000000000001,1.0,1000.0,5664.0,0.015,3m,3.0,1.0,1.0,464.0,6128.0,0.02,4m,2.6,0.0,1.0,264.0,7392.0,0.01,2m,2.0,0.6000000000000001,1.5,376.0,1888.0,0.015,1m,2.2,0.4,2.0,640.0,,,,,,,,1416.0,0.015,4m,1.6,0.6000000000000001,1.0,800.0,,,,,,,,6144.0,0.01,1m,3.0,0.0,0.5,120.0,0.1,15,COMPLETE
120,120,-0.10748667400233643,2025-06-21 19:30:28.502799,2025-06-21 19:30:35.669065,0 days 00:00:07.166266,1968.0,0.02,2m,2.6,0.4,1.0,368.0,7376.0,0.01,5m,1.8,0.4,1.0,336.0,5992.0,0.01,3m,2.6,0.0,2.0,536.0,,,,,,,,2640.0,0.02,4m,1.4,0.4,0.5,952.0,1512,0.02,3m,2.2,1.0,0.5,904,,,,,,,,4632.0,0.02,5m,1.6,0.0,1.0,392.0,6776.0,0.01,3m,1.6,0.8,1.5,240.0,4856.0,0.015,3m,2.2,0.2,1.5,928.0,,,,,,,,7880.0,0.015,3m,2.8,0.4,1.5,1024.0,5136.0,0.015,4m,3.0,1.0,1.0,432.0,2104.0,0.01,4m,1.8,0.8,1.5,520.0,8112.0,0.01,2m,2.2,0.8,1.5,336.0,1584.0,0.015,1m,2.0,0.2,2.0,744.0,3312.0,0.02,3m,1.6,0.0,1.0,360.0,1624.0,0.015,3m,1.8,0.6000000000000001,1.0,952.0,,,,,,,,7304.0,0.01,1m,2.8,0.0,0.5,272.0,0.15000000000000002,16,COMPLETE
121,121,-0.21261091583338734,2025-06-21 19:30:35.767222,2025-06-21 19:30:42.011970,0 days 00:00:06.244748,1456.0,0.02,4m,2.4000000000000004,0.2,1.5,480.0,,,,,,,,4160.0,0.01,3m,2.6,0.0,2.0,592.0,,,,,,,,1744.0,0.02,4m,1.2,0.6000000000000001,0.5,736.0,1864,0.02,3m,2.0,1.0,0.5,800,,,,,,,,4944.0,0.02,5m,1.4,0.0,1.0,368.0,7712.0,0.01,3m,1.4,1.0,1.5,296.0,5464.0,0.015,1m,2.0,0.2,1.0,1016.0,,,,,,,,8192.0,0.015,3m,2.4000000000000004,0.6000000000000001,1.0,920.0,3024.0,0.015,4m,3.0,1.0,1.0,368.0,,,,,,,,7704.0,0.01,5m,2.2,0.8,1.5,416.0,2120.0,0.015,1m,2.6,0.4,2.0,880.0,,,,,,,,1152.0,0.015,5m,1.6,0.6000000000000001,1.0,976.0,,,,,,,,7056.0,0.01,1m,2.6,0.2,0.5,384.0,0.1,13,COMPLETE
122,122,1.499869964995279,2025-06-21 19:30:42.103193,2025-06-21 19:30:48.802976,0 days 00:00:06.699783,3296.0,0.02,2m,2.2,0.6000000000000001,1.0,616.0,6536.0,0.02,3m,2.2,0.8,2.0,176.0,3320.0,0.01,3m,2.8,0.0,2.0,464.0,,,,,,,,3288.0,0.015,4m,1.6,0.2,1.0,968.0,1224,0.02,3m,1.8,1.0,0.5,872,,,,,,,,4688.0,0.02,5m,1.4,0.0,1.0,416.0,7416.0,0.01,3m,1.4,1.0,1.5,360.0,6488.0,0.015,1m,1.8,0.2,0.5,888.0,,,,,,,,7368.0,0.015,3m,2.2,0.6000000000000001,1.0,880.0,7808.0,0.015,4m,2.8,1.0,1.0,440.0,3792.0,0.015,5m,2.2,1.0,2.0,264.0,6880.0,0.01,2m,1.8,0.6000000000000001,1.5,176.0,1328.0,0.015,1m,2.0,0.4,2.0,864.0,,,,,,,,5136.0,0.015,5m,2.0,0.4,1.0,880.0,,,,,,,,6024.0,0.01,2m,3.0,0.0,1.0,440.0,0.15000000000000002,15,COMPLETE
123,123,1.9838321151932445,2025-06-21 19:30:48.904340,2025-06-21 19:30:55.105940,0 days 00:00:06.201600,3224.0,0.02,2m,2.2,0.6000000000000001,1.0,632.0,6288.0,0.02,3m,2.2,0.8,2.0,184.0,3408.0,0.01,3m,2.8,0.0,2.0,424.0,,,,,,,,3328.0,0.015,4m,1.6,0.2,1.0,968.0,1320,0.02,3m,1.8,1.0,0.5,976,,,,,,,,3968.0,0.02,5m,1.4,0.0,1.0,464.0,7480.0,0.01,3m,1.2,1.0,1.5,600.0,6424.0,0.015,1m,1.8,0.2,0.5,864.0,,,,,,,,7336.0,0.015,3m,2.2,0.6000000000000001,1.0,880.0,1240.0,0.015,4m,2.8,1.0,1.0,392.0,,,,,,,,6992.0,0.01,2m,1.8,0.6000000000000001,1.5,168.0,1400.0,0.015,1m,2.0,0.4,2.0,856.0,,,,,,,,1328.0,0.015,5m,2.0,0.4,1.0,824.0,,,,,,,,5968.0,0.01,2m,3.0,0.0,1.0,440.0,0.2,14,COMPLETE
124,124,0.04478969195635553,2025-06-21 19:30:55.198818,2025-06-21 19:31:01.665382,0 days 00:00:06.466564,3344.0,0.02,2m,2.2,0.6000000000000001,1.0,624.0,6400.0,0.02,3m,2.2,0.8,2.0,192.0,3368.0,0.01,3m,2.8,0.0,2.0,384.0,,,,,,,,3296.0,0.015,4m,1.6,0.2,1.0,968.0,1048,0.02,3m,1.8,1.0,0.5,976,,,,,,,,5400.0,0.02,5m,1.4,0.0,1.0,416.0,7432.0,0.01,3m,1.2,1.0,1.5,640.0,6496.0,0.015,1m,1.8,0.2,0.5,896.0,,,,,,,,7424.0,0.015,3m,2.2,0.6000000000000001,1.0,848.0,1560.0,0.015,4m,2.8,1.0,1.0,400.0,,,,,,,,6592.0,0.01,2m,1.8,0.6000000000000001,1.5,160.0,1344.0,0.015,1m,2.0,0.4,2.0,824.0,,,,,,,,1256.0,0.015,5m,2.0,0.4,1.0,880.0,,,,,,,,6024.0,0.01,2m,3.0,0.0,1.0,448.0,0.2,14,COMPLETE
125,125,-0.07301015609201411,2025-06-21 19:31:01.759648,2025-06-21 19:31:07.761522,0 days 00:00:06.001874,3128.0,0.02,2m,2.2,0.6000000000000001,1.0,560.0,6400.0,0.02,3m,2.4000000000000004,0.8,2.0,160.0,4304.0,0.01,3m,3.0,0.0,2.0,456.0,,,,,,,,4120.0,0.015,4m,1.4,0.2,1.0,1024.0,1368,0.02,3m,2.0,1.0,0.5,864,,,,,,,,3904.0,0.02,5m,1.6,0.0,1.0,464.0,6104.0,0.01,3m,1.2,1.0,1.5,656.0,6256.0,0.015,1m,2.0,0.2,0.5,976.0,,,,,,,,7040.0,0.015,3m,2.2,0.6000000000000001,1.0,864.0,4960.0,0.015,4m,2.6,1.0,1.0,496.0,,,,,,,,7064.0,0.01,2m,1.8,0.6000000000000001,1.5,240.0,1432.0,0.015,1m,2.0,0.4,2.0,864.0,,,,,,,,1368.0,0.015,5m,2.0,0.4,1.0,840.0,,,,,,,,5800.0,0.01,2m,3.0,0.0,1.0,336.0,0.15000000000000002,14,COMPLETE
126,126,0.7758909517677304,2025-06-21 19:31:07.847675,2025-06-21 19:31:14.487066,0 days 00:00:06.639391,4032.0,0.02,2m,2.0,0.6000000000000001,1.0,672.0,6528.0,0.02,3m,2.0,0.6000000000000001,2.0,248.0,3856.0,0.01,3m,2.8,0.0,2.0,424.0,,,,,,,,3320.0,0.015,4m,1.6,0.2,1.0,904.0,1216,0.02,3m,1.8,1.0,0.5,928,,,,,,,,4264.0,0.02,5m,1.4,0.0,1.0,512.0,7264.0,0.01,5m,1.4,1.0,1.5,552.0,5824.0,0.015,1m,1.8,0.2,0.5,832.0,,,,,,,,7296.0,0.015,3m,2.4000000000000004,0.6000000000000001,1.0,888.0,2232.0,0.015,4m,2.8,1.0,1.0,440.0,3712.0,0.015,5m,2.2,1.0,2.0,312.0,6792.0,0.01,2m,2.0,0.6000000000000001,1.5,152.0,1056.0,0.015,1m,2.2,0.4,2.0,848.0,,,,,,,,4736.0,0.015,5m,2.0,0.4,1.0,1008.0,,,,,,,,6464.0,0.01,2m,2.8,0.0,1.0,520.0,0.15000000000000002,15,COMPLETE
127,127,-0.34953151675130173,2025-06-21 19:31:14.573504,2025-06-21 19:31:21.610482,0 days 00:00:07.036978,2392.0,0.02,2m,2.4000000000000004,0.4,1.0,704.0,5104.0,0.02,3m,2.6,1.0,2.0,72.0,3088.0,0.01,3m,2.8,0.0,2.0,384.0,,,,,,,,2640.0,0.015,4m,1.8,0.0,1.0,968.0,1632,0.02,3m,2.0,1.0,0.5,880,,,,,,,,4008.0,0.02,5m,1.4,0.0,1.0,416.0,3840.0,0.01,3m,1.2,1.0,1.5,576.0,6240.0,0.015,1m,2.0,0.2,0.5,856.0,,,,,,,,7688.0,0.015,3m,2.6,0.6000000000000001,1.0,880.0,5984.0,0.015,4m,2.8,1.0,1.0,328.0,1056.0,0.02,5m,2.0,0.8,2.0,192.0,7368.0,0.01,2m,2.0,0.6000000000000001,1.5,104.0,1640.0,0.015,1m,2.0,0.2,2.0,800.0,,,,,,,,1032.0,0.015,1m,2.2,0.4,1.0,760.0,,,,,,,,6232.0,0.01,2m,3.0,0.0,0.5,456.0,0.2,15,COMPLETE
128,128,0.7550119628731718,2025-06-21 19:31:21.704981,2025-06-21 19:31:27.821702,0 days 00:00:06.116721,3512.0,0.02,2m,2.2,0.6000000000000001,1.0,616.0,,,,,,,,4968.0,0.01,3m,2.8,0.0,2.0,504.0,,,,,,,,4840.0,0.015,4m,2.0,0.4,1.0,864.0,4480,0.02,3m,1.8,1.0,0.5,1016,,,,,,,,4664.0,0.02,5m,1.6,0.0,1.0,312.0,7656.0,0.01,3m,2.8,1.0,1.5,344.0,6064.0,0.015,1m,2.2,0.4,0.5,792.0,,,,,,,,7312.0,0.015,3m,2.2,0.6000000000000001,1.0,816.0,4848.0,0.015,4m,2.6,1.0,1.0,280.0,,,,,,,,7856.0,0.01,1m,1.8,0.4,1.5,200.0,1256.0,0.015,1m,2.4000000000000004,0.4,2.0,760.0,,,,,,,,1752.0,0.015,5m,2.2,0.4,1.0,856.0,,,,,,,,5672.0,0.01,2m,3.0,0.0,0.5,392.0,0.15000000000000002,13,COMPLETE
