,number,value,datetime_start,datetime_complete,duration,params_AAPL_CTAS_beta_win,params_AAPL_CTAS_stop_loss,params_AAPL_CTAS_trade_freq,params_AAPL_CTAS_z_entry,params_AAPL_CTAS_z_exit,params_AAPL_CTAS_z_stop_scaler,params_AAPL_CTAS_z_win,params_AAPL_META_beta_win,params_AAPL_META_stop_loss,params_AAPL_META_trade_freq,params_AAPL_META_z_entry,params_AAPL_META_z_exit,params_AAPL_META_z_stop_scaler,params_AAPL_META_z_win,params_ABNB_ADI_beta_win,params_ABNB_ADI_stop_loss,params_ABNB_ADI_trade_freq,params_ABNB_ADI_z_entry,params_ABNB_ADI_z_exit,params_ABNB_ADI_z_stop_scaler,params_ABNB_ADI_z_win,params_ADBE_DXCM_beta_win,params_ADBE_DXCM_stop_loss,params_ADBE_DXCM_trade_freq,params_ADBE_DXCM_z_entry,params_ADBE_DXCM_z_exit,params_ADBE_DXCM_z_stop_scaler,params_ADBE_DXCM_z_win,params_ADBE_WDAY_beta_win,params_ADBE_WDAY_stop_loss,params_ADBE_WDAY_trade_freq,params_ADBE_WDAY_z_entry,params_ADBE_WDAY_z_exit,params_ADBE_WDAY_z_stop_scaler,params_ADBE_WDAY_z_win,params_ADSK_MELI_beta_win,params_ADSK_MELI_stop_loss,params_ADSK_MELI_trade_freq,params_ADSK_MELI_z_entry,params_ADSK_MELI_z_exit,params_ADSK_MELI_z_stop_scaler,params_ADSK_MELI_z_win,params_AEP_TMUS_beta_win,params_AEP_TMUS_stop_loss,params_AEP_TMUS_trade_freq,params_AEP_TMUS_z_entry,params_AEP_TMUS_z_exit,params_AEP_TMUS_z_stop_scaler,params_AEP_TMUS_z_win,params_AMZN_CTAS_beta_win,params_AMZN_CTAS_stop_loss,params_AMZN_CTAS_trade_freq,params_AMZN_CTAS_z_entry,params_AMZN_CTAS_z_exit,params_AMZN_CTAS_z_stop_scaler,params_AMZN_CTAS_z_win,params_AMZN_DXCM_beta_win,params_AMZN_DXCM_stop_loss,params_AMZN_DXCM_trade_freq,params_AMZN_DXCM_z_entry,params_AMZN_DXCM_z_exit,params_AMZN_DXCM_z_stop_scaler,params_AMZN_DXCM_z_win,params_COST_DXCM_beta_win,params_COST_DXCM_stop_loss,params_COST_DXCM_trade_freq,params_COST_DXCM_z_entry,params_COST_DXCM_z_exit,params_COST_DXCM_z_stop_scaler,params_COST_DXCM_z_win,params_CSCO_ADI_beta_win,params_CSCO_ADI_stop_loss,params_CSCO_ADI_trade_freq,params_CSCO_ADI_z_entry,params_CSCO_ADI_z_exit,params_CSCO_ADI_z_stop_scaler,params_CSCO_ADI_z_win,params_CSGP_DXCM_beta_win,params_CSGP_DXCM_stop_loss,params_CSGP_DXCM_trade_freq,params_CSGP_DXCM_z_entry,params_CSGP_DXCM_z_exit,params_CSGP_DXCM_z_stop_scaler,params_CSGP_DXCM_z_win,params_CSX_DXCM_beta_win,params_CSX_DXCM_stop_loss,params_CSX_DXCM_trade_freq,params_CSX_DXCM_z_entry,params_CSX_DXCM_z_exit,params_CSX_DXCM_z_stop_scaler,params_CSX_DXCM_z_win,params_DXCM_FAST_beta_win,params_DXCM_FAST_stop_loss,params_DXCM_FAST_trade_freq,params_DXCM_FAST_z_entry,params_DXCM_FAST_z_exit,params_DXCM_FAST_z_stop_scaler,params_DXCM_FAST_z_win,params_DXCM_HON_beta_win,params_DXCM_HON_stop_loss,params_DXCM_HON_trade_freq,params_DXCM_HON_z_entry,params_DXCM_HON_z_exit,params_DXCM_HON_z_stop_scaler,params_DXCM_HON_z_win,params_GOOGL_MU_beta_win,params_GOOGL_MU_stop_loss,params_GOOGL_MU_trade_freq,params_GOOGL_MU_z_entry,params_GOOGL_MU_z_exit,params_GOOGL_MU_z_stop_scaler,params_GOOGL_MU_z_win,params_GOOG_MU_beta_win,params_GOOG_MU_stop_loss,params_GOOG_MU_trade_freq,params_GOOG_MU_z_entry,params_GOOG_MU_z_exit,params_GOOG_MU_z_stop_scaler,params_GOOG_MU_z_win,params_NFLX_DXCM_beta_win,params_NFLX_DXCM_stop_loss,params_NFLX_DXCM_trade_freq,params_NFLX_DXCM_z_entry,params_NFLX_DXCM_z_exit,params_NFLX_DXCM_z_stop_scaler,params_NFLX_DXCM_z_win,params_SIRI_ADI_beta_win,params_SIRI_ADI_stop_loss,params_SIRI_ADI_trade_freq,params_SIRI_ADI_z_entry,params_SIRI_ADI_z_exit,params_SIRI_ADI_z_stop_scaler,params_SIRI_ADI_z_win,params_TTD_CTAS_beta_win,params_TTD_CTAS_stop_loss,params_TTD_CTAS_trade_freq,params_TTD_CTAS_z_entry,params_TTD_CTAS_z_exit,params_TTD_CTAS_z_stop_scaler,params_TTD_CTAS_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-0.3682434769882693,2025-06-21 19:29:08.038024,2025-06-21 19:29:11.411809,0 days 00:00:03.373785,3864.0,0.015,4m,2.6,0.8,2.0,208.0,4424.0,0.015,2m,2.4000000000000004,1.0,1.5,544.0,,,,,,,,,,,,,,,3896.0,0.015,1m,2.2,0.4,1.5,224.0,2224.0,0.02,2m,2.2,0.8,0.5,896.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6216.0,0.01,4m,2.2,0.2,1.5,80.0,2568,0.015,1m,1.8,0.2,2.0,624,,,,,,,,6392.0,0.015,5m,2.6,0.2,1.0,424.0,,,,,,,,,,,,,,,1864.0,0.02,2m,1.6,0.0,1.5,288.0,,,,,,,,,,,,,,,0.15000000000000002,8,COMPLETE
21,21,-0.21513806828609974,2025-06-21 19:29:11.496910,2025-06-21 19:29:16.062177,0 days 00:00:04.565267,8152.0,0.02,3m,2.6,1.0,0.5,1024.0,3112.0,0.015,1m,1.2,0.6000000000000001,0.5,488.0,,,,,,,,,,,,,,,4968.0,0.015,3m,1.8,0.0,2.0,616.0,3976.0,0.02,2m,1.4,0.8,1.5,320.0,6632.0,0.01,5m,3.0,0.6000000000000001,1.5,648.0,,,,,,,,,,,,,,,2200.0,0.015,5m,3.0,0.8,1.5,384.0,,,,,,,,3432.0,0.02,4m,1.0,0.4,1.0,624.0,7776,0.015,4m,1.2,0.2,0.5,64,,,,,,,,2784.0,0.02,2m,1.2,0.8,1.0,1008.0,,,,,,,,,,,,,,,5864.0,0.02,5m,2.2,0.2,1.0,712.0,,,,,,,,5008.0,0.01,1m,2.2,0.4,1.5,304.0,0.25,11,COMPLETE
22,22,-0.4049119908518473,2025-06-21 19:29:16.164397,2025-06-21 19:29:20.517440,0 days 00:00:04.353043,7384.0,0.02,3m,2.6,0.4,0.5,912.0,2432.0,0.015,1m,1.4,0.6000000000000001,0.5,744.0,,,,,,,,,,,,,,,4096.0,0.015,3m,2.2,0.2,2.0,712.0,3200.0,0.02,2m,1.8,0.8,2.0,64.0,7024.0,0.01,5m,2.4000000000000004,0.6000000000000001,2.0,552.0,,,,,,,,,,,,,,,2072.0,0.015,4m,2.8,0.8,1.5,240.0,,,,,,,,2744.0,0.02,4m,2.8,0.6000000000000001,1.5,688.0,7472,0.015,4m,1.4,0.4,0.5,152,,,,,,,,1160.0,0.02,2m,1.6,0.8,1.0,1016.0,,,,,,,,,,,,,,,6360.0,0.02,5m,2.2,0.4,0.5,608.0,,,,,,,,,,,,,,,0.2,10,COMPLETE
23,23,0.14285523549589538,2025-06-21 19:29:20.621245,2025-06-21 19:29:22.350784,0 days 00:00:01.729539,,,,,,,,3904.0,0.015,1m,1.2,0.8,0.5,392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4776.0,0.015,4m,1.6,0.4,0.5,480.0,8080,0.015,4m,1.8,0.0,1.0,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5528.0,0.02,3m,2.6,0.2,1.0,888.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
24,24,-1.7719700518396146,2025-06-21 19:29:22.441690,2025-06-21 19:29:26.264273,0 days 00:00:03.822583,7144.0,0.02,3m,2.2,0.8,0.5,1016.0,2800.0,0.015,1m,1.6,0.6000000000000001,1.0,600.0,,,,,,,,,,,,,,,5480.0,0.01,3m,2.8,0.8,2.0,456.0,2176.0,0.015,2m,1.2,1.0,1.5,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3736.0,0.015,4m,1.4,0.6000000000000001,1.0,600.0,7088,0.015,4m,2.0,0.2,0.5,336,,,,,,,,3176.0,0.02,2m,1.0,1.0,0.5,808.0,,,,,,,,,,,,,,,1216.0,0.015,4m,1.8,0.4,0.5,696.0,,,,,,,,,,,,,,,0.25,8,COMPLETE
25,25,0.9200798167645078,2025-06-21 19:29:26.350996,2025-06-21 19:29:32.194289,0 days 00:00:05.843293,5944.0,0.015,5m,2.4000000000000004,1.0,1.0,560.0,5016.0,0.02,3m,1.2,0.2,0.5,496.0,,,,,,,,6456.0,0.01,1m,1.4,0.8,1.0,1008.0,3184.0,0.02,3m,2.0,0.2,1.0,608.0,5528.0,0.02,5m,1.2,0.4,2.0,440.0,5480.0,0.015,3m,2.4000000000000004,0.8,1.5,328.0,,,,,,,,,,,,,,,3584.0,0.015,1m,2.4000000000000004,0.8,1.0,576.0,3304.0,0.01,5m,1.4,1.0,1.5,720.0,5304.0,0.02,2m,2.8,0.4,2.0,792.0,6456,0.01,2m,2.4000000000000004,0.6000000000000001,1.0,160,5904.0,0.01,4m,2.4000000000000004,0.8,1.5,120.0,2104.0,0.02,3m,1.6,0.6000000000000001,1.5,856.0,,,,,,,,,,,,,,,3064.0,0.02,1m,2.8,0.0,1.0,1000.0,1480.0,0.02,1m,1.8,0.4,1.5,552.0,2328.0,0.015,2m,1.4,0.4,2.0,672.0,0.1,15,COMPLETE
26,26,-3.170918082365543,2025-06-21 19:29:32.311280,2025-06-21 19:29:40.525706,0 days 00:00:08.214426,5872.0,0.015,5m,2.0,0.2,1.0,536.0,5944.0,0.02,3m,2.0,0.2,1.0,296.0,8136.0,0.02,1m,3.0,1.0,2.0,80.0,6640.0,0.01,1m,1.4,0.8,1.0,1016.0,2992.0,0.02,2m,2.6,0.2,1.0,400.0,5632.0,0.015,5m,1.2,0.4,2.0,488.0,3832.0,0.015,3m,2.4000000000000004,0.8,1.0,296.0,1272.0,0.02,2m,2.2,1.0,2.0,456.0,3712.0,0.015,1m,2.2,0.8,1.5,600.0,3776.0,0.02,1m,2.2,1.0,1.0,600.0,3104.0,0.01,5m,1.2,1.0,1.5,712.0,7496.0,0.015,2m,2.8,0.0,1.5,872.0,5296,0.01,2m,2.4000000000000004,0.8,1.0,328,5712.0,0.01,4m,2.4000000000000004,0.8,1.5,72.0,1736.0,0.015,3m,2.0,0.6000000000000001,1.5,600.0,6824.0,0.02,2m,1.0,0.0,0.5,64.0,7424.0,0.01,4m,3.0,0.0,2.0,1008.0,2928.0,0.015,1m,2.8,0.0,1.5,960.0,1416.0,0.02,1m,1.8,0.4,1.5,520.0,2376.0,0.015,2m,1.4,0.4,2.0,656.0,0.1,20,COMPLETE
27,27,-0.8895165864375661,2025-06-21 19:29:40.630338,2025-06-21 19:29:46.929082,0 days 00:00:06.298744,5568.0,0.015,5m,1.4,0.6000000000000001,1.5,432.0,4928.0,0.02,3m,1.6,0.2,1.5,816.0,,,,,,,,6616.0,0.01,1m,1.4,0.8,0.5,800.0,2272.0,0.02,5m,1.6,0.4,1.0,528.0,7352.0,0.01,5m,1.0,0.2,2.0,456.0,5320.0,0.02,3m,2.2,0.8,2.0,368.0,,,,,,,,,,,,,,,3008.0,0.015,1m,1.8,0.6000000000000001,1.0,504.0,2664.0,0.01,5m,1.6,0.8,1.5,672.0,5216.0,0.02,2m,2.4000000000000004,0.2,1.0,776.0,4240,0.01,2m,2.8,0.6000000000000001,1.5,1016,5680.0,0.015,4m,1.6,0.8,2.0,304.0,3840.0,0.015,3m,2.8,0.4,2.0,848.0,,,,,,,,,,,,,,,2064.0,0.02,1m,3.0,0.0,0.5,1024.0,2816.0,0.015,1m,1.6,0.0,1.5,696.0,2080.0,0.015,2m,1.6,0.8,2.0,952.0,0.1,15,COMPLETE
28,28,-0.9259947155563568,2025-06-21 19:29:47.024120,2025-06-21 19:29:54.962317,0 days 00:00:07.938197,6768.0,0.015,5m,2.4000000000000004,0.8,1.0,648.0,6112.0,0.02,3m,1.0,0.4,0.5,944.0,,,,,,,,4456.0,0.015,2m,2.4000000000000004,0.4,1.0,872.0,3384.0,0.02,3m,2.2,0.6000000000000001,0.5,848.0,4672.0,0.015,5m,1.2,0.4,2.0,624.0,4056.0,0.015,3m,2.0,0.2,1.5,192.0,4184.0,0.015,5m,2.4000000000000004,0.6000000000000001,1.0,776.0,5888.0,0.02,3m,2.2,0.4,0.5,648.0,5040.0,0.01,1m,2.6,0.8,0.5,728.0,4672.0,0.015,5m,1.8,0.8,1.5,400.0,4352.0,0.015,2m,2.8,0.6000000000000001,0.5,1024.0,6440,0.01,2m,2.4000000000000004,0.6000000000000001,1.0,448,2688.0,0.01,2m,2.4000000000000004,0.4,1.5,600.0,2016.0,0.02,3m,2.2,0.6000000000000001,1.5,408.0,1560.0,0.02,1m,3.0,1.0,2.0,992.0,,,,,,,,3584.0,0.015,1m,2.8,0.0,2.0,784.0,2792.0,0.02,4m,2.6,0.6000000000000001,1.0,360.0,3312.0,0.015,5m,2.6,0.2,1.5,616.0,0.05,18,COMPLETE
29,29,-0.8771690405862251,2025-06-21 19:29:55.095984,2025-06-21 19:30:02.026776,0 days 00:00:06.930792,4192.0,0.01,5m,2.0,0.2,1.5,432.0,4952.0,0.02,5m,2.0,0.2,2.0,744.0,,,,,,,,7160.0,0.01,5m,1.0,0.8,1.5,456.0,1096.0,0.02,4m,1.2,0.2,1.0,264.0,6264.0,0.02,5m,1.0,0.0,1.0,776.0,7256.0,0.02,4m,2.6,1.0,2.0,976.0,8152.0,0.01,4m,1.6,0.0,1.5,296.0,,,,,,,,3936.0,0.02,1m,2.2,0.6000000000000001,1.0,832.0,2328.0,0.015,2m,2.4000000000000004,0.2,1.0,1016.0,6536.0,0.015,1m,2.4000000000000004,0.8,1.5,712.0,2936,0.02,3m,2.8,0.8,1.5,216,5440.0,0.01,1m,2.4000000000000004,0.8,1.0,232.0,7064.0,0.02,3m,1.6,0.4,2.0,216.0,,,,,,,,,,,,,,,2608.0,0.02,1m,2.4000000000000004,0.2,1.0,896.0,2624.0,0.01,3m,1.2,0.4,2.0,712.0,6112.0,0.01,2m,2.0,0.0,1.0,384.0,0.05,16,COMPLETE
30,30,-0.6415579079330886,2025-06-21 19:30:02.120533,2025-06-21 19:30:09.734628,0 days 00:00:07.614095,5480.0,0.015,5m,1.6,1.0,1.0,232.0,7392.0,0.02,2m,2.4000000000000004,0.4,1.0,464.0,,,,,,,,5696.0,0.015,4m,1.6,0.8,0.5,736.0,6464.0,0.02,1m,2.4000000000000004,0.4,1.5,704.0,4816.0,0.015,5m,1.4,0.6000000000000001,2.0,464.0,5560.0,0.015,3m,1.4,0.4,1.5,424.0,3600.0,0.02,5m,2.6,0.4,0.5,656.0,8144.0,0.01,5m,1.0,0.6000000000000001,1.5,248.0,2496.0,0.015,1m,2.6,1.0,0.5,648.0,3968.0,0.01,3m,1.0,0.8,2.0,720.0,5856.0,0.02,2m,3.0,0.4,1.0,216.0,3912,0.01,2m,2.2,0.4,1.0,568,7264.0,0.015,5m,2.0,0.6000000000000001,1.5,816.0,5408.0,0.015,4m,2.8,0.6000000000000001,1.5,576.0,4192.0,0.01,5m,2.2,0.0,1.5,80.0,,,,,,,,1480.0,0.01,3m,2.8,0.2,1.5,432.0,6120.0,0.015,1m,2.4000000000000004,1.0,1.0,272.0,1848.0,0.02,4m,1.4,0.4,2.0,112.0,0.15000000000000002,18,COMPLETE
31,31,0.6529767610757118,2025-06-21 19:30:09.842498,2025-06-21 19:30:14.788601,0 days 00:00:04.946103,6240.0,0.02,3m,2.8,1.0,0.5,848.0,4064.0,0.015,1m,1.2,0.6000000000000001,0.5,552.0,,,,,,,,4264.0,0.01,1m,2.4000000000000004,0.4,1.0,936.0,4464.0,0.015,3m,2.0,0.0,2.0,600.0,3720.0,0.02,4m,1.6,0.8,1.5,184.0,6112.0,0.01,5m,3.0,0.6000000000000001,1.5,576.0,,,,,,,,,,,,,,,1592.0,0.015,5m,2.8,0.8,1.5,456.0,,,,,,,,2512.0,0.02,3m,2.6,0.4,2.0,640.0,6816,0.015,4m,2.4000000000000004,0.4,0.5,144,,,,,,,,2320.0,0.02,2m,1.6,0.8,1.0,912.0,,,,,,,,,,,,,,,4296.0,0.02,5m,2.0,0.2,1.0,600.0,,,,,,,,3680.0,0.015,4m,2.0,0.8,1.5,824.0,0.3,12,COMPLETE
32,32,-1.6193222936673903,2025-06-21 19:30:14.887074,2025-06-21 19:30:20.637315,0 days 00:00:05.750241,6272.0,0.015,1m,2.8,1.0,0.5,880.0,4224.0,0.01,4m,1.2,0.8,0.5,584.0,,,,,,,,4456.0,0.01,1m,2.6,0.4,1.0,944.0,3712.0,0.02,3m,1.8,0.0,1.0,552.0,4160.0,0.02,4m,1.2,0.4,1.5,392.0,5864.0,0.01,4m,2.8,0.8,1.0,616.0,,,,,,,,,,,,,,,1672.0,0.015,5m,2.4000000000000004,0.8,2.0,496.0,,,,,,,,2472.0,0.02,3m,2.6,0.4,2.0,472.0,6736,0.015,1m,2.4000000000000004,0.4,0.5,80,2424.0,0.01,3m,2.6,0.8,1.0,488.0,3544.0,0.02,2m,1.6,0.8,1.0,888.0,,,,,,,,,,,,,,,4264.0,0.02,2m,2.0,0.2,1.0,568.0,,,,,,,,3656.0,0.015,4m,2.2,0.8,1.5,808.0,0.3,13,COMPLETE
33,33,-1.4070167099892805,2025-06-21 19:30:20.730692,2025-06-21 19:30:26.851048,0 days 00:00:06.120356,6024.0,0.015,4m,2.8,0.8,1.0,800.0,3840.0,0.015,3m,1.4,0.6000000000000001,0.5,304.0,,,,,,,,2896.0,0.01,1m,2.2,0.2,1.0,920.0,4560.0,0.01,3m,2.0,0.2,1.5,664.0,5480.0,0.02,4m,1.8,0.2,2.0,184.0,4296.0,0.01,5m,2.6,0.6000000000000001,1.5,808.0,,,,,,,,,,,,,,,3224.0,0.015,2m,2.8,0.4,1.0,520.0,5984.0,0.02,1m,1.6,1.0,0.5,600.0,1168.0,0.02,3m,2.8,0.6000000000000001,2.0,936.0,5816,0.015,2m,2.0,0.6000000000000001,0.5,136,4552.0,0.015,4m,1.6,0.4,2.0,232.0,2144.0,0.02,2m,1.8,0.6000000000000001,1.0,896.0,,,,,,,,,,,,,,,3160.0,0.02,2m,1.8,0.0,1.0,640.0,2200.0,0.02,2m,2.2,0.2,1.5,640.0,2672.0,0.015,4m,2.0,0.8,1.5,864.0,0.4,15,COMPLETE
34,34,-0.8611897025832292,2025-06-21 19:30:26.941574,2025-06-21 19:30:32.302838,0 days 00:00:05.361264,5112.0,0.01,2m,2.4000000000000004,0.6000000000000001,1.5,688.0,6368.0,0.015,2m,1.6,0.8,0.5,432.0,,,,,,,,3856.0,0.01,1m,2.0,0.6000000000000001,2.0,1024.0,5000.0,0.015,2m,2.0,0.4,1.0,752.0,3904.0,0.02,4m,1.2,0.6000000000000001,1.5,704.0,7360.0,0.015,2m,1.8,0.4,1.5,488.0,,,,,,,,,,,,,,,1440.0,0.015,4m,2.8,0.6000000000000001,1.5,288.0,,,,,,,,7760.0,0.02,3m,3.0,0.0,2.0,776.0,6248,0.015,4m,2.6,0.6000000000000001,1.0,336,,,,,,,,4608.0,0.02,1m,1.4,1.0,1.5,752.0,,,,,,,,,,,,,,,3496.0,0.015,5m,1.6,0.4,0.5,824.0,,,,,,,,1120.0,0.015,4m,2.6,0.6000000000000001,1.0,584.0,0.45,12,COMPLETE
35,35,-0.2261344611200518,2025-06-21 19:30:32.409631,2025-06-21 19:30:35.321841,0 days 00:00:02.912210,6544.0,0.02,5m,2.8,1.0,2.0,824.0,5160.0,0.01,1m,1.4,0.6000000000000001,0.5,704.0,,,,,,,,,,,,,,,8184.0,0.015,3m,1.6,0.2,2.0,432.0,4504.0,0.02,3m,1.6,0.8,2.0,824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2784.0,0.015,5m,2.6,0.2,2.0,656.0,5192,0.015,3m,2.2,0.4,0.5,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4440.0,0.02,1m,2.4000000000000004,0.2,1.0,760.0,,,,,,,,,,,,,,,0.1,7,COMPLETE
36,36,-3.56997102585576,2025-06-21 19:30:35.391261,2025-06-21 19:30:40.442130,0 days 00:00:05.050869,7384.0,0.015,3m,2.4000000000000004,0.4,0.5,944.0,5688.0,0.02,5m,1.0,0.6000000000000001,0.5,112.0,,,,,,,,,,,,,,,5688.0,0.01,2m,2.8,0.0,1.5,864.0,2952.0,0.01,5m,1.8,1.0,2.0,952.0,6464.0,0.01,1m,1.2,0.8,2.0,216.0,,,,,,,,,,,,,,,2512.0,0.015,3m,2.2,1.0,1.0,616.0,,,,,,,,7328.0,0.02,3m,3.0,0.4,1.5,552.0,1112,0.01,5m,2.8,0.6000000000000001,1.5,216,,,,,,,,1592.0,0.015,5m,1.8,0.8,0.5,640.0,,,,,,,,,,,,,,,1552.0,0.015,5m,2.0,0.6000000000000001,1.0,360.0,,,,,,,,5496.0,0.015,2m,1.6,0.2,2.0,880.0,0.2,11,COMPLETE
37,37,-2.8595033329867476,2025-06-21 19:30:40.536786,2025-06-21 19:30:47.071065,0 days 00:00:06.534279,5424.0,0.02,3m,2.4000000000000004,1.0,0.5,632.0,6936.0,0.015,3m,1.2,1.0,1.5,600.0,,,,,,,,5744.0,0.015,1m,1.6,0.2,1.5,688.0,2440.0,0.02,3m,2.2,0.6000000000000001,2.0,552.0,7216.0,0.015,4m,1.4,0.6000000000000001,1.0,704.0,4912.0,0.01,3m,2.2,0.6000000000000001,1.0,64.0,6464.0,0.015,2m,1.4,0.2,1.5,320.0,,,,,,,,3560.0,0.01,5m,2.6,0.8,1.5,760.0,1976.0,0.015,4m,2.6,0.4,1.5,840.0,6616.0,0.015,5m,2.8,0.2,2.0,160.0,6104,0.015,4m,2.0,0.8,1.0,128,6424.0,0.01,3m,2.2,1.0,0.5,552.0,2376.0,0.02,2m,2.8,0.4,1.0,432.0,,,,,,,,,,,,,,,4032.0,0.02,2m,2.4000000000000004,0.4,1.0,232.0,3824.0,0.01,4m,1.6,0.8,0.5,912.0,2784.0,0.015,4m,1.0,0.8,1.5,688.0,0.35000000000000003,16,COMPLETE
38,38,1.0986875386044828,2025-06-21 19:30:47.175522,2025-06-21 19:30:49.885372,0 days 00:00:02.709850,,,,,,,,4528.0,0.015,4m,1.2,0.0,0.5,336.0,,,,,,,,,,,,,,,4320.0,0.015,4m,1.8,1.0,0.5,616.0,2480.0,0.02,5m,1.0,0.4,1.5,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1592.0,0.02,2m,2.2,0.6000000000000001,1.5,288.0,7504,0.015,2m,2.4000000000000004,0.4,0.5,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2240.0,0.02,5m,2.2,0.0,0.5,1016.0,,,,,,,,,,,,,,,0.3,6,COMPLETE
39,39,1.1047695773329158,2025-06-21 19:30:49.958691,2025-06-21 19:30:52.678156,0 days 00:00:02.719465,,,,,,,,4544.0,0.015,4m,1.2,0.0,0.5,216.0,,,,,,,,,,,,,,,4376.0,0.015,1m,2.0,1.0,0.5,632.0,2160.0,0.02,1m,3.0,0.4,1.5,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1624.0,0.02,2m,2.4000000000000004,0.4,1.5,296.0,7432,0.02,2m,2.6,0.4,0.5,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2320.0,0.01,5m,3.0,0.0,1.5,1016.0,,,,,,,,,,,,,,,0.3,6,COMPLETE
40,40,0.5066431672964051,2025-06-21 19:30:52.748777,2025-06-21 19:30:55.183891,0 days 00:00:02.435114,,,,,,,,4360.0,0.015,4m,1.2,0.0,0.5,288.0,,,,,,,,,,,,,,,4200.0,0.015,3m,2.0,1.0,0.5,640.0,1624.0,0.02,1m,2.4000000000000004,0.4,1.5,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144.0,0.02,2m,2.2,0.4,1.5,152.0,7536,0.02,2m,2.4000000000000004,0.2,0.5,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2224.0,0.01,5m,2.6,0.0,1.5,1024.0,,,,,,,,,,,,,,,0.3,6,COMPLETE
41,41,0.08150948570346488,2025-06-21 19:30:55.263548,2025-06-21 19:30:57.507150,0 days 00:00:02.243602,,,,,,,,5448.0,0.015,4m,1.0,0.0,0.5,192.0,,,,,,,,,,,,,,,3544.0,0.015,1m,1.8,1.0,0.5,744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1736.0,0.02,2m,2.4000000000000004,0.4,1.5,312.0,6768,0.02,2m,2.6,0.4,0.5,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2696.0,0.01,5m,3.0,0.0,2.0,952.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
42,42,0.48275587721947893,2025-06-21 19:30:57.586584,2025-06-21 19:30:59.187176,0 days 00:00:01.600592,,,,,,,,4832.0,0.015,4m,1.4,0.0,0.5,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7480,0.015,2m,2.6,0.4,0.5,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3360.0,0.01,5m,3.0,0.0,1.5,896.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
43,43,-0.7057722559748539,2025-06-21 19:30:59.258393,2025-06-21 19:31:02.952821,0 days 00:00:03.694428,3256.0,0.015,2m,2.2,0.8,1.0,872.0,4056.0,0.015,4m,1.2,0.2,0.5,120.0,,,,,,,,,,,,,,,5288.0,0.015,1m,2.0,1.0,0.5,592.0,2392.0,0.02,1m,2.8,0.4,1.5,112.0,,,,,,,,,,,,,,,,,,,,,,1856.0,0.02,1m,2.4000000000000004,0.8,1.0,896.0,,,,,,,,2208.0,0.02,2m,2.0,0.6000000000000001,2.0,416.0,6792,0.02,2m,2.8,0.4,0.5,168,,,,,,,,1544.0,0.01,3m,2.0,1.0,0.5,952.0,,,,,,,,,,,,,,,2888.0,0.01,5m,2.8,0.0,2.0,992.0,,,,,,,,,,,,,,,0.25,9,COMPLETE
44,44,-0.9231926082872473,2025-06-21 19:31:03.038165,2025-06-21 19:31:05.659642,0 days 00:00:02.621477,,,,,,,,5272.0,0.015,4m,1.0,0.0,0.5,352.0,,,,,,,,,,,,,,,4264.0,0.015,1m,1.4,0.8,0.5,520.0,1696.0,0.02,1m,2.2,0.2,1.5,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1656.0,0.02,2m,2.4000000000000004,0.6000000000000001,1.5,312.0,7736,0.015,2m,2.4000000000000004,0.4,0.5,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2384.0,0.02,5m,3.0,0.2,1.0,928.0,,,,,,,,,,,,,,,0.1,6,COMPLETE
