,number,value,datetime_start,datetime_complete,duration,params_AAPL_CTAS_beta_win,params_AAPL_CTAS_stop_loss,params_AAPL_CTAS_trade_freq,params_AAPL_CTAS_z_entry,params_AAPL_CTAS_z_exit,params_AAPL_CTAS_z_stop_scaler,params_AAPL_CTAS_z_win,params_AAPL_META_beta_win,params_AAPL_META_stop_loss,params_AAPL_META_trade_freq,params_AAPL_META_z_entry,params_AAPL_META_z_exit,params_AAPL_META_z_stop_scaler,params_AAPL_META_z_win,params_ABNB_ADI_beta_win,params_ABNB_ADI_stop_loss,params_ABNB_ADI_trade_freq,params_ABNB_ADI_z_entry,params_ABNB_ADI_z_exit,params_ABNB_ADI_z_stop_scaler,params_ABNB_ADI_z_win,params_ADBE_DXCM_beta_win,params_ADBE_DXCM_stop_loss,params_ADBE_DXCM_trade_freq,params_ADBE_DXCM_z_entry,params_ADBE_DXCM_z_exit,params_ADBE_DXCM_z_stop_scaler,params_ADBE_DXCM_z_win,params_ADBE_WDAY_beta_win,params_ADBE_WDAY_stop_loss,params_ADBE_WDAY_trade_freq,params_ADBE_WDAY_z_entry,params_ADBE_WDAY_z_exit,params_ADBE_WDAY_z_stop_scaler,params_ADBE_WDAY_z_win,params_ADSK_MELI_beta_win,params_ADSK_MELI_stop_loss,params_ADSK_MELI_trade_freq,params_ADSK_MELI_z_entry,params_ADSK_MELI_z_exit,params_ADSK_MELI_z_stop_scaler,params_ADSK_MELI_z_win,params_AEP_TMUS_beta_win,params_AEP_TMUS_stop_loss,params_AEP_TMUS_trade_freq,params_AEP_TMUS_z_entry,params_AEP_TMUS_z_exit,params_AEP_TMUS_z_stop_scaler,params_AEP_TMUS_z_win,params_AMZN_CTAS_beta_win,params_AMZN_CTAS_stop_loss,params_AMZN_CTAS_trade_freq,params_AMZN_CTAS_z_entry,params_AMZN_CTAS_z_exit,params_AMZN_CTAS_z_stop_scaler,params_AMZN_CTAS_z_win,params_AMZN_DXCM_beta_win,params_AMZN_DXCM_stop_loss,params_AMZN_DXCM_trade_freq,params_AMZN_DXCM_z_entry,params_AMZN_DXCM_z_exit,params_AMZN_DXCM_z_stop_scaler,params_AMZN_DXCM_z_win,params_COST_DXCM_beta_win,params_COST_DXCM_stop_loss,params_COST_DXCM_trade_freq,params_COST_DXCM_z_entry,params_COST_DXCM_z_exit,params_COST_DXCM_z_stop_scaler,params_COST_DXCM_z_win,params_CSCO_ADI_beta_win,params_CSCO_ADI_stop_loss,params_CSCO_ADI_trade_freq,params_CSCO_ADI_z_entry,params_CSCO_ADI_z_exit,params_CSCO_ADI_z_stop_scaler,params_CSCO_ADI_z_win,params_CSGP_DXCM_beta_win,params_CSGP_DXCM_stop_loss,params_CSGP_DXCM_trade_freq,params_CSGP_DXCM_z_entry,params_CSGP_DXCM_z_exit,params_CSGP_DXCM_z_stop_scaler,params_CSGP_DXCM_z_win,params_CSX_DXCM_beta_win,params_CSX_DXCM_stop_loss,params_CSX_DXCM_trade_freq,params_CSX_DXCM_z_entry,params_CSX_DXCM_z_exit,params_CSX_DXCM_z_stop_scaler,params_CSX_DXCM_z_win,params_DXCM_FAST_beta_win,params_DXCM_FAST_stop_loss,params_DXCM_FAST_trade_freq,params_DXCM_FAST_z_entry,params_DXCM_FAST_z_exit,params_DXCM_FAST_z_stop_scaler,params_DXCM_FAST_z_win,params_DXCM_HON_beta_win,params_DXCM_HON_stop_loss,params_DXCM_HON_trade_freq,params_DXCM_HON_z_entry,params_DXCM_HON_z_exit,params_DXCM_HON_z_stop_scaler,params_DXCM_HON_z_win,params_GOOGL_MU_beta_win,params_GOOGL_MU_stop_loss,params_GOOGL_MU_trade_freq,params_GOOGL_MU_z_entry,params_GOOGL_MU_z_exit,params_GOOGL_MU_z_stop_scaler,params_GOOGL_MU_z_win,params_GOOG_MU_beta_win,params_GOOG_MU_stop_loss,params_GOOG_MU_trade_freq,params_GOOG_MU_z_entry,params_GOOG_MU_z_exit,params_GOOG_MU_z_stop_scaler,params_GOOG_MU_z_win,params_NFLX_DXCM_beta_win,params_NFLX_DXCM_stop_loss,params_NFLX_DXCM_trade_freq,params_NFLX_DXCM_z_entry,params_NFLX_DXCM_z_exit,params_NFLX_DXCM_z_stop_scaler,params_NFLX_DXCM_z_win,params_SIRI_ADI_beta_win,params_SIRI_ADI_stop_loss,params_SIRI_ADI_trade_freq,params_SIRI_ADI_z_entry,params_SIRI_ADI_z_exit,params_SIRI_ADI_z_stop_scaler,params_SIRI_ADI_z_win,params_TTD_CTAS_beta_win,params_TTD_CTAS_stop_loss,params_TTD_CTAS_trade_freq,params_TTD_CTAS_z_entry,params_TTD_CTAS_z_exit,params_TTD_CTAS_z_stop_scaler,params_TTD_CTAS_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-0.4140370454769492,2025-06-21 19:28:16.250037,2025-06-21 19:28:23.310863,0 days 00:00:07.060826,4760.0,0.015,1m,1.8,0.4,2.0,720.0,8112.0,0.01,5m,1.8,0.4,1.0,960.0,,,,,,,,8064.0,0.015,2m,1.0,1.0,0.5,176.0,4808.0,0.01,5m,1.0,0.4,2.0,64.0,5048.0,0.015,3m,2.0,0.2,1.0,272.0,8128.0,0.01,4m,2.0,1.0,2.0,936.0,6272.0,0.02,4m,3.0,0.0,1.0,136.0,7328.0,0.01,4m,3.0,1.0,0.5,1016.0,7432.0,0.02,1m,1.2,1.0,0.5,832.0,1288.0,0.02,5m,3.0,1.0,2.0,816.0,4920.0,0.01,3m,2.2,1.0,0.5,560.0,7920,0.02,4m,3.0,0.0,2.0,96,1056.0,0.01,3m,1.0,1.0,0.5,928.0,1152.0,0.01,4m,3.0,0.4,0.5,488.0,,,,,,,,,,,,,,,4288.0,0.015,4m,3.0,0.0,2.0,472.0,1096.0,0.01,3m,1.0,0.0,2.0,1008.0,1488.0,0.01,1m,2.8,0.0,2.0,752.0,0.15000000000000002,17,COMPLETE
11,11,-1.4114942584512484,2025-06-21 19:28:23.409027,2025-06-21 19:28:29.143543,0 days 00:00:05.734516,5632.0,0.01,5m,1.0,0.6000000000000001,2.0,112.0,1024.0,0.02,2m,2.6,1.0,2.0,1024.0,,,,,,,,5584.0,0.02,4m,3.0,0.6000000000000001,0.5,1016.0,7272.0,0.02,4m,2.6,0.4,0.5,368.0,8096.0,0.015,5m,1.0,1.0,0.5,1000.0,1904.0,0.01,4m,1.8,0.2,2.0,456.0,,,,,,,,,,,,,,,5720.0,0.02,1m,1.6,0.4,2.0,680.0,7440.0,0.02,5m,1.2,1.0,1.5,480.0,7608.0,0.01,5m,2.6,0.8,1.0,352.0,4352,0.02,3m,2.2,0.4,1.0,928,1248.0,0.01,3m,1.4,0.6000000000000001,0.5,88.0,8144.0,0.015,5m,3.0,0.0,2.0,504.0,,,,,,,,,,,,,,,1080.0,0.015,2m,3.0,0.0,0.5,416.0,,,,,,,,1024.0,0.015,4m,1.2,1.0,1.5,72.0,0.35000000000000003,14,COMPLETE
12,12,0.16534056715727619,2025-06-21 19:28:29.233679,2025-06-21 19:28:35.418147,0 days 00:00:06.184468,6224.0,0.015,5m,1.8,0.6000000000000001,1.0,288.0,3616.0,0.015,2m,2.2,0.8,1.0,848.0,,,,,,,,1296.0,0.01,5m,1.2,0.6000000000000001,2.0,616.0,6208.0,0.02,1m,2.4000000000000004,0.6000000000000001,1.0,152.0,5248.0,0.01,4m,1.4,1.0,1.0,1016.0,4776.0,0.015,2m,2.8,1.0,1.5,136.0,,,,,,,,,,,,,,,1096.0,0.01,3m,2.0,0.4,0.5,568.0,4992.0,0.015,3m,2.0,0.0,0.5,528.0,6824.0,0.015,2m,2.6,0.6000000000000001,1.0,376.0,4880,0.01,3m,2.6,0.8,1.5,272,4248.0,0.015,1m,2.0,0.6000000000000001,1.0,728.0,7856.0,0.015,2m,2.6,0.2,1.0,336.0,,,,,,,,,,,,,,,3640.0,0.015,2m,2.6,0.2,2.0,768.0,,,,,,,,7312.0,0.015,5m,1.8,0.6000000000000001,0.5,488.0,0.35000000000000003,14,COMPLETE
13,13,-0.480875521487571,2025-06-21 19:28:35.521664,2025-06-21 19:28:40.905225,0 days 00:00:05.383561,6432.0,0.01,5m,2.2,0.4,2.0,744.0,2072.0,0.02,5m,2.4000000000000004,0.8,2.0,760.0,,,,,,,,7816.0,0.02,3m,2.0,0.0,1.0,624.0,8088.0,0.02,3m,1.0,0.4,1.5,592.0,7760.0,0.015,5m,1.2,0.2,0.5,872.0,8072.0,0.015,4m,1.0,0.4,1.0,736.0,,,,,,,,,,,,,,,4968.0,0.015,4m,2.0,0.6000000000000001,1.5,64.0,,,,,,,,7048.0,0.01,3m,1.8,0.8,1.0,760.0,3528,0.015,3m,2.0,0.6000000000000001,1.0,736,3704.0,0.01,5m,1.8,0.0,1.5,416.0,5568.0,0.01,3m,2.4000000000000004,0.4,1.5,752.0,,,,,,,,,,,,,,,2464.0,0.015,2m,1.0,0.2,1.5,72.0,,,,,,,,3448.0,0.02,2m,3.0,0.2,2.0,1008.0,0.2,13,COMPLETE
14,14,-2.2544163470917082,2025-06-21 19:28:40.991736,2025-06-21 19:28:49.775179,0 days 00:00:08.783443,3440.0,0.015,5m,1.4,0.8,1.0,408.0,4224.0,0.015,1m,1.8,0.4,1.0,904.0,2136.0,0.01,4m,1.2,0.0,0.5,728.0,2672.0,0.01,1m,3.0,1.0,1.0,192.0,6152.0,0.015,5m,2.4000000000000004,0.2,1.0,464.0,2800.0,0.02,5m,2.0,0.4,1.0,360.0,5104.0,0.01,2m,2.4000000000000004,0.8,2.0,312.0,3040.0,0.01,4m,3.0,0.2,1.5,888.0,5672.0,0.015,4m,3.0,0.0,1.0,976.0,4216.0,0.02,2m,3.0,0.0,2.0,1024.0,1392.0,0.02,4m,2.2,0.6000000000000001,2.0,936.0,5496.0,0.015,1m,1.8,0.6000000000000001,1.0,360.0,5576,0.01,4m,2.6,0.8,2.0,800,6688.0,0.015,4m,2.8,1.0,1.0,664.0,5624.0,0.015,2m,2.4000000000000004,0.0,0.5,688.0,8000.0,0.01,4m,3.0,1.0,2.0,1000.0,4320.0,0.015,5m,2.0,0.8,1.0,128.0,4936.0,0.02,2m,1.4,1.0,0.5,344.0,4296.0,0.015,3m,1.4,1.0,0.5,800.0,4136.0,0.01,3m,1.8,0.6000000000000001,1.0,440.0,0.35000000000000003,20,COMPLETE
15,15,-0.5619864401021113,2025-06-21 19:28:49.899510,2025-06-21 19:28:54.844133,0 days 00:00:04.944623,4568.0,0.01,1m,2.2,0.2,2.0,64.0,4728.0,0.02,3m,2.2,0.8,1.5,672.0,,,,,,,,6376.0,0.015,4m,1.6,0.4,0.5,784.0,4056.0,0.015,4m,1.4,0.8,1.5,200.0,6400.0,0.01,5m,1.6,0.8,2.0,64.0,2952.0,0.015,5m,1.4,0.4,1.0,736.0,,,,,,,,,,,,,,,8112.0,0.01,1m,1.0,1.0,1.0,728.0,,,,,,,,8088.0,0.015,4m,2.6,1.0,0.5,696.0,7160,0.02,1m,1.8,0.4,1.5,256,,,,,,,,3832.0,0.015,2m,3.0,0.6000000000000001,1.5,320.0,,,,,,,,,,,,,,,1832.0,0.015,4m,2.8,0.0,1.5,560.0,,,,,,,,6888.0,0.015,4m,2.4000000000000004,0.0,1.5,248.0,0.3,12,COMPLETE
16,16,-3.6176817200705687,2025-06-21 19:28:54.922835,2025-06-21 19:29:01.674889,0 days 00:00:06.752054,6856.0,0.015,2m,1.6,0.8,1.5,816.0,2280.0,0.015,5m,1.4,0.6000000000000001,1.0,664.0,,,,,,,,3520.0,0.02,3m,2.4000000000000004,0.6000000000000001,1.5,424.0,5536.0,0.01,1m,3.0,0.2,0.5,488.0,5928.0,0.015,4m,1.0,0.0,1.5,656.0,6024.0,0.01,1m,1.6,0.8,1.5,312.0,5400.0,0.015,3m,1.0,0.4,0.5,72.0,,,,,,,,1264.0,0.015,2m,2.4000000000000004,0.6000000000000001,0.5,432.0,4424.0,0.015,1m,3.0,0.6000000000000001,1.0,272.0,4040.0,0.01,5m,2.8,0.4,1.5,456.0,2080,0.015,3m,2.4000000000000004,0.0,1.0,672,2784.0,0.02,3m,1.2,0.4,0.5,1024.0,6792.0,0.02,1m,2.0,0.6000000000000001,1.0,136.0,,,,,,,,,,,,,,,3208.0,0.02,1m,2.0,0.4,2.0,848.0,7992.0,0.015,5m,2.0,0.6000000000000001,1.0,72.0,2824.0,0.02,3m,1.0,1.0,0.5,752.0,0.45,16,COMPLETE
17,17,-1.957233527520948,2025-06-21 19:29:01.770684,2025-06-21 19:29:05.536701,0 days 00:00:03.766017,5080.0,0.01,3m,1.0,0.6000000000000001,1.0,544.0,6928.0,0.02,2m,3.0,0.8,2.0,872.0,,,,,,,,,,,,,,,6744.0,0.02,4m,1.2,0.6000000000000001,2.0,688.0,4312.0,0.01,3m,1.4,0.4,1.0,888.0,,,,,,,,,,,,,,,,,,,,,,6216.0,0.01,3m,1.6,0.2,1.5,816.0,,,,,,,,7144.0,0.015,5m,2.0,0.8,1.0,232.0,3832,0.01,4m,3.0,1.0,2.0,864,,,,,,,,2888.0,0.01,4m,2.6,0.2,2.0,664.0,,,,,,,,,,,,,,,5056.0,0.01,2m,2.6,0.8,0.5,688.0,,,,,,,,,,,,,,,0.05,9,COMPLETE
18,18,0.15722879860483693,2025-06-21 19:29:05.632399,2025-06-21 19:29:06.269432,0 days 00:00:00.637033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7048,0.015,3m,1.4,0.4,1.5,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
19,19,0.05092840633871747,2025-06-21 19:29:06.358263,2025-06-21 19:29:07.928336,0 days 00:00:01.570073,,,,,,,,7872.0,0.01,5m,1.8,0.4,1.0,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5624,0.02,4m,2.2,0.6000000000000001,1.0,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3920.0,0.015,2m,2.0,0.2,1.0,504.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
