,number,value,datetime_start,datetime_complete,duration,params_AEP_MCHP_beta_win,params_AEP_MCHP_stop_loss,params_AEP_MCHP_trade_freq,params_AEP_MCHP_z_entry,params_AEP_MCHP_z_exit,params_AEP_MCHP_z_stop_scaler,params_AEP_MCHP_z_win,params_AMGN_DASH_beta_win,params_AMGN_DASH_stop_loss,params_AMGN_DASH_trade_freq,params_AMGN_DASH_z_entry,params_AMGN_DASH_z_exit,params_AMGN_DASH_z_stop_scaler,params_AMGN_DASH_z_win,params_ASML_SNPS_beta_win,params_ASML_SNPS_stop_loss,params_ASML_SNPS_trade_freq,params_ASML_SNPS_z_entry,params_ASML_SNPS_z_exit,params_ASML_SNPS_z_stop_scaler,params_ASML_SNPS_z_win,params_AZN_FTNT_beta_win,params_AZN_FTNT_stop_loss,params_AZN_FTNT_trade_freq,params_AZN_FTNT_z_entry,params_AZN_FTNT_z_exit,params_AZN_FTNT_z_stop_scaler,params_AZN_FTNT_z_win,params_AZN_INTC_beta_win,params_AZN_INTC_stop_loss,params_AZN_INTC_trade_freq,params_AZN_INTC_z_entry,params_AZN_INTC_z_exit,params_AZN_INTC_z_stop_scaler,params_AZN_INTC_z_win,params_AZN_MCHP_beta_win,params_AZN_MCHP_stop_loss,params_AZN_MCHP_trade_freq,params_AZN_MCHP_z_entry,params_AZN_MCHP_z_exit,params_AZN_MCHP_z_stop_scaler,params_AZN_MCHP_z_win,params_CCEP_MCHP_beta_win,params_CCEP_MCHP_stop_loss,params_CCEP_MCHP_trade_freq,params_CCEP_MCHP_z_entry,params_CCEP_MCHP_z_exit,params_CCEP_MCHP_z_stop_scaler,params_CCEP_MCHP_z_win,params_CEG_MCHP_beta_win,params_CEG_MCHP_stop_loss,params_CEG_MCHP_trade_freq,params_CEG_MCHP_z_entry,params_CEG_MCHP_z_exit,params_CEG_MCHP_z_stop_scaler,params_CEG_MCHP_z_win,params_CMCSA_CSCO_beta_win,params_CMCSA_CSCO_stop_loss,params_CMCSA_CSCO_trade_freq,params_CMCSA_CSCO_z_entry,params_CMCSA_CSCO_z_exit,params_CMCSA_CSCO_z_stop_scaler,params_CMCSA_CSCO_z_win,params_CRWD_ISRG_beta_win,params_CRWD_ISRG_stop_loss,params_CRWD_ISRG_trade_freq,params_CRWD_ISRG_z_entry,params_CRWD_ISRG_z_exit,params_CRWD_ISRG_z_stop_scaler,params_CRWD_ISRG_z_win,params_GOOGL_DLTR_beta_win,params_GOOGL_DLTR_stop_loss,params_GOOGL_DLTR_trade_freq,params_GOOGL_DLTR_z_entry,params_GOOGL_DLTR_z_exit,params_GOOGL_DLTR_z_stop_scaler,params_GOOGL_DLTR_z_win,params_GOOG_DLTR_beta_win,params_GOOG_DLTR_stop_loss,params_GOOG_DLTR_trade_freq,params_GOOG_DLTR_z_entry,params_GOOG_DLTR_z_exit,params_GOOG_DLTR_z_stop_scaler,params_GOOG_DLTR_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_HON_REGN_beta_win,params_HON_REGN_stop_loss,params_HON_REGN_trade_freq,params_HON_REGN_z_entry,params_HON_REGN_z_exit,params_HON_REGN_z_stop_scaler,params_HON_REGN_z_win,params_ILMN_MCHP_beta_win,params_ILMN_MCHP_stop_loss,params_ILMN_MCHP_trade_freq,params_ILMN_MCHP_z_entry,params_ILMN_MCHP_z_exit,params_ILMN_MCHP_z_stop_scaler,params_ILMN_MCHP_z_win,params_INTC_CSX_beta_win,params_INTC_CSX_stop_loss,params_INTC_CSX_trade_freq,params_INTC_CSX_z_entry,params_INTC_CSX_z_exit,params_INTC_CSX_z_stop_scaler,params_INTC_CSX_z_win,params_INTC_MCHP_beta_win,params_INTC_MCHP_stop_loss,params_INTC_MCHP_trade_freq,params_INTC_MCHP_z_entry,params_INTC_MCHP_z_exit,params_INTC_MCHP_z_stop_scaler,params_INTC_MCHP_z_win,params_LIN_SMCI_beta_win,params_LIN_SMCI_stop_loss,params_LIN_SMCI_trade_freq,params_LIN_SMCI_z_entry,params_LIN_SMCI_z_exit,params_LIN_SMCI_z_stop_scaler,params_LIN_SMCI_z_win,params_LRCX_META_beta_win,params_LRCX_META_stop_loss,params_LRCX_META_trade_freq,params_LRCX_META_z_entry,params_LRCX_META_z_exit,params_LRCX_META_z_stop_scaler,params_LRCX_META_z_win,params_MRNA_MCHP_beta_win,params_MRNA_MCHP_stop_loss,params_MRNA_MCHP_trade_freq,params_MRNA_MCHP_z_entry,params_MRNA_MCHP_z_exit,params_MRNA_MCHP_z_stop_scaler,params_MRNA_MCHP_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-1.7129161342391472,2025-06-21 19:39:12.987524,2025-06-21 19:39:17.082264,0 days 00:00:04.094740,3216.0,0.01,5m,1.2,0.0,1.0,736.0,3640.0,0.01,2m,1.4,0.4,1.5,576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5504.0,0.01,5m,1.4,1.0,1.5,272.0,,,,,,,,,,,,,,,2120.0,0.01,2m,2.6,0.8,2.0,720.0,5840.0,0.01,2m,2.0,0.2,1.5,232.0,,,,,,,,3368.0,0.015,1m,2.6,1.0,0.5,224.0,,,,,,,,5488,0.02,2m,1.2,0.0,1.5,688,,,,,,,,3376.0,0.02,2m,2.0,0.6000000000000001,0.5,608.0,,,,,,,,3744.0,0.01,4m,1.6,0.8,0.5,192.0,0.35000000000000003,9,COMPLETE
21,21,0.627073782402767,2025-06-21 19:39:17.134264,2025-06-21 19:39:22.658804,0 days 00:00:05.524540,7176.0,0.015,5m,2.4000000000000004,0.2,1.5,72.0,5600.0,0.015,3m,2.6,0.8,1.0,368.0,,,,,,,,1552.0,0.015,3m,2.2,1.0,1.5,736.0,,,,,,,,3424.0,0.01,3m,2.4000000000000004,0.6000000000000001,1.0,512.0,,,,,,,,6144.0,0.02,2m,2.0,0.8,2.0,408.0,,,,,,,,,,,,,,,3664.0,0.02,1m,2.8,0.6000000000000001,1.0,920.0,3536.0,0.015,4m,2.4000000000000004,0.8,1.0,808.0,3920.0,0.015,1m,2.0,0.6000000000000001,1.5,672.0,1032.0,0.01,2m,1.6,0.2,1.0,656.0,4392.0,0.01,3m,1.6,1.0,1.0,632.0,7936,0.015,4m,1.8,0.2,1.5,312,,,,,,,,1960.0,0.01,2m,1.8,0.4,1.5,720.0,,,,,,,,1760.0,0.015,4m,2.2,0.0,1.5,776.0,0.2,13,COMPLETE
22,22,0.47475810082410713,2025-06-21 19:39:22.746661,2025-06-21 19:39:28.604329,0 days 00:00:05.857668,6088.0,0.015,5m,2.2,0.2,1.5,216.0,6968.0,0.015,3m,2.8,1.0,0.5,456.0,,,,,,,,2976.0,0.015,3m,2.4000000000000004,0.8,1.5,704.0,,,,,,,,3064.0,0.01,3m,2.2,0.4,1.0,384.0,,,,,,,,6888.0,0.02,2m,2.2,0.8,2.0,520.0,,,,,,,,,,,,,,,2600.0,0.02,1m,3.0,0.6000000000000001,0.5,920.0,2104.0,0.015,4m,2.6,1.0,1.0,856.0,4088.0,0.015,1m,2.0,0.6000000000000001,1.5,616.0,2504.0,0.01,2m,1.4,0.2,1.0,544.0,3176.0,0.01,3m,1.4,0.6000000000000001,1.5,456.0,7312,0.015,4m,1.8,0.2,1.0,360,,,,,,,,2136.0,0.01,2m,1.6,0.4,2.0,728.0,,,,,,,,2984.0,0.015,4m,1.8,0.0,1.5,552.0,0.2,13,COMPLETE
23,23,2.0532109394486313,2025-06-21 19:39:28.678038,2025-06-21 19:39:35.246867,0 days 00:00:06.568829,7320.0,0.02,5m,2.6,0.0,2.0,472.0,5696.0,0.02,3m,2.2,0.6000000000000001,1.0,328.0,,,,,,,,4232.0,0.01,5m,1.6,0.4,1.0,304.0,,,,,,,,3344.0,0.01,3m,1.8,0.8,1.5,728.0,,,,,,,,5960.0,0.02,2m,1.8,0.6000000000000001,2.0,168.0,4624.0,0.015,3m,2.0,0.0,0.5,1000.0,,,,,,,,3768.0,0.02,1m,2.6,1.0,1.0,904.0,3528.0,0.015,4m,1.6,0.8,0.5,624.0,4120.0,0.015,1m,2.4000000000000004,0.4,1.5,776.0,1304.0,0.01,3m,1.2,0.0,1.5,752.0,5960.0,0.015,1m,2.2,0.8,1.0,760.0,7448,0.015,4m,2.2,0.4,1.5,848,7928.0,0.01,1m,2.0,0.4,1.0,1024.0,1048.0,0.01,2m,1.8,0.4,1.5,912.0,,,,,,,,1688.0,0.015,4m,2.6,0.2,1.5,704.0,0.2,15,COMPLETE
24,24,-1.408592179164561,2025-06-21 19:39:35.339962,2025-06-21 19:39:41.469908,0 days 00:00:06.129946,5400.0,0.02,5m,2.8,0.0,2.0,384.0,8120.0,0.02,1m,2.0,0.6000000000000001,1.5,280.0,,,,,,,,4624.0,0.01,5m,1.6,0.2,1.0,288.0,,,,,,,,5672.0,0.015,2m,1.6,0.8,1.5,760.0,,,,,,,,7496.0,0.015,2m,1.6,0.6000000000000001,1.5,176.0,4784.0,0.015,3m,2.0,0.0,0.5,944.0,,,,,,,,6192.0,0.015,1m,2.2,1.0,0.5,1024.0,5392.0,0.02,4m,1.6,1.0,0.5,488.0,5848.0,0.02,3m,2.6,0.2,1.0,792.0,4128.0,0.015,3m,1.2,0.0,1.5,832.0,6784.0,0.015,1m,2.2,0.4,0.5,840.0,7224,0.01,4m,2.2,0.4,1.5,864,7672.0,0.01,1m,2.0,0.4,1.0,1008.0,1368.0,0.01,2m,2.2,0.6000000000000001,1.0,944.0,,,,,,,,2408.0,0.015,4m,2.6,0.4,1.0,648.0,0.2,15,COMPLETE
25,25,-1.4345454773301607,2025-06-21 19:39:41.549036,2025-06-21 19:39:48.177391,0 days 00:00:06.628355,7872.0,0.02,1m,2.0,0.4,2.0,472.0,6672.0,0.02,1m,2.2,0.6000000000000001,0.5,64.0,,,,,,,,4712.0,0.01,5m,1.6,0.4,0.5,296.0,,,,,,,,3112.0,0.01,1m,1.0,0.8,1.5,728.0,6808.0,0.01,5m,3.0,0.0,0.5,952.0,4968.0,0.02,3m,1.8,0.4,2.0,144.0,4992.0,0.015,3m,1.8,0.4,1.0,656.0,,,,,,,,1928.0,0.02,2m,2.6,1.0,1.0,888.0,1944.0,0.01,2m,1.6,0.6000000000000001,0.5,640.0,2776.0,0.01,5m,2.6,0.4,1.5,392.0,2480.0,0.01,3m,2.0,0.6000000000000001,1.5,1016.0,6136.0,0.02,1m,3.0,0.8,1.5,1024.0,6328,0.015,5m,2.4000000000000004,0.6000000000000001,2.0,888,6216.0,0.01,1m,2.0,0.6000000000000001,1.5,728.0,1136.0,0.015,3m,1.4,0.8,2.0,1008.0,,,,,,,,1296.0,0.015,4m,2.8,0.2,1.5,856.0,0.35000000000000003,16,COMPLETE
26,26,0.05141966027693856,2025-06-21 19:39:48.242538,2025-06-21 19:39:51.007046,0 days 00:00:02.764508,,,,,,,,4776.0,0.02,3m,1.8,0.4,1.0,640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4168.0,0.015,1m,1.4,0.2,1.5,320.0,,,,,,,,,,,,,,,3400.0,0.01,1m,2.2,0.8,1.5,496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5736,0.02,1m,2.8,0.4,1.0,792,,,,,,,,2888.0,0.015,4m,2.6,0.4,1.5,816.0,,,,,,,,5656.0,0.02,1m,2.8,0.2,1.0,352.0,0.5,6,COMPLETE
27,27,-1.7057610760252535,2025-06-21 19:39:51.083878,2025-06-21 19:39:59.574231,0 days 00:00:08.490353,7136.0,0.02,4m,1.8,0.0,2.0,496.0,6056.0,0.01,1m,2.4000000000000004,0.6000000000000001,1.5,472.0,8104.0,0.02,4m,1.0,1.0,0.5,88.0,3728.0,0.01,2m,1.2,0.4,1.0,256.0,6496.0,0.01,5m,1.2,0.0,2.0,112.0,7384.0,0.015,5m,2.0,0.2,2.0,1016.0,5424.0,0.015,3m,2.0,0.4,2.0,128.0,5856.0,0.015,4m,1.2,0.6000000000000001,1.0,896.0,3352.0,0.015,3m,1.6,0.2,0.5,776.0,1064.0,0.02,3m,3.0,1.0,0.5,64.0,4376.0,0.015,2m,2.8,1.0,0.5,720.0,3560.0,0.015,1m,2.0,0.8,1.5,400.0,5864.0,0.015,2m,1.6,0.8,2.0,840.0,4112.0,0.02,3m,2.8,0.0,2.0,456.0,6584.0,0.015,2m,2.6,0.8,1.0,784.0,4608,0.015,4m,2.0,0.8,1.5,696,6040.0,0.015,1m,2.4000000000000004,0.4,1.0,392.0,5408.0,0.01,1m,2.2,0.2,1.0,920.0,1368.0,0.02,5m,3.0,1.0,2.0,1024.0,2648.0,0.015,3m,2.4000000000000004,0.4,1.5,520.0,0.45,20,COMPLETE
28,28,0.604108558812269,2025-06-21 19:39:59.671840,2025-06-21 19:40:05.590533,0 days 00:00:05.918693,8176.0,0.015,3m,2.6,0.8,2.0,272.0,7592.0,0.015,4m,1.8,0.2,0.5,224.0,,,,,,,,5312.0,0.02,1m,1.6,0.0,0.5,600.0,,,,,,,,2336.0,0.02,3m,1.4,0.8,1.5,696.0,,,,,,,,7520.0,0.01,2m,1.8,0.4,2.0,112.0,5800.0,0.02,2m,2.4000000000000004,0.6000000000000001,1.5,344.0,,,,,,,,2488.0,0.02,3m,2.6,0.8,1.0,776.0,5152.0,0.02,3m,1.2,1.0,2.0,728.0,2816.0,0.01,4m,3.0,0.0,1.0,80.0,1872.0,0.015,5m,1.0,0.4,1.5,672.0,5672.0,0.02,5m,2.0,0.0,1.5,472.0,6856,0.01,1m,2.6,0.4,2.0,920,,,,,,,,1856.0,0.015,2m,1.2,0.6000000000000001,1.5,72.0,,,,,,,,1856.0,0.015,2m,2.8,0.2,2.0,664.0,0.15000000000000002,14,COMPLETE
29,29,-1.6884668985698859,2025-06-21 19:40:05.669587,2025-06-21 19:40:08.585084,0 days 00:00:02.915497,,,,,,,,4232.0,0.02,2m,1.2,0.0,1.0,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5032.0,0.02,2m,2.4000000000000004,0.6000000000000001,0.5,640.0,,,,,,,,,,,,,,,8000.0,0.01,5m,3.0,1.0,1.5,976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3320,0.015,5m,2.6,0.6000000000000001,1.5,496,,,,,,,,4936.0,0.02,2m,1.8,0.4,2.0,952.0,,,,,,,,4352.0,0.01,4m,2.2,0.4,1.0,168.0,0.05,6,COMPLETE
30,30,0.24909045561862167,2025-06-21 19:40:08.657322,2025-06-21 19:40:13.427193,0 days 00:00:04.769871,6648.0,0.01,2m,1.6,0.0,1.5,680.0,5736.0,0.015,3m,2.8,0.4,1.5,616.0,,,,,,,,2704.0,0.015,5m,1.2,0.4,1.0,376.0,,,,,,,,,,,,,,,,,,,,,,3992.0,0.015,4m,1.2,0.2,1.5,320.0,,,,,,,,,,,,,,,1352.0,0.015,1m,2.2,0.8,0.5,864.0,2856.0,0.015,5m,1.8,0.6000000000000001,0.5,576.0,,,,,,,,2800.0,0.01,3m,2.2,0.0,1.0,192.0,3288.0,0.015,1m,2.6,0.2,2.0,752.0,7384,0.015,5m,2.2,0.0,1.0,536,,,,,,,,3752.0,0.01,3m,1.8,0.0,1.5,608.0,,,,,,,,4928.0,0.02,4m,2.6,0.6000000000000001,1.5,512.0,0.05,11,COMPLETE
31,31,0.6738100755821911,2025-06-21 19:40:13.512040,2025-06-21 19:40:18.712951,0 days 00:00:05.200911,7280.0,0.015,5m,2.4000000000000004,0.2,1.5,128.0,5408.0,0.015,3m,2.4000000000000004,0.8,1.0,392.0,,,,,,,,2000.0,0.015,3m,2.4000000000000004,0.8,1.5,968.0,,,,,,,,3928.0,0.01,3m,2.6,0.4,1.0,344.0,,,,,,,,6168.0,0.02,2m,2.2,0.8,2.0,192.0,,,,,,,,,,,,,,,3872.0,0.02,1m,2.8,0.6000000000000001,1.0,936.0,3728.0,0.015,4m,2.2,0.8,1.0,792.0,3912.0,0.015,1m,2.2,0.4,1.5,720.0,1040.0,0.01,2m,1.4,0.2,1.0,640.0,5296.0,0.01,3m,1.8,1.0,1.0,536.0,7568,0.015,4m,2.0,0.2,1.5,248,,,,,,,,1816.0,0.01,2m,1.8,0.4,1.5,864.0,,,,,,,,1560.0,0.015,4m,2.2,0.0,1.5,768.0,0.2,13,COMPLETE
32,32,0.1920700311734758,2025-06-21 19:40:18.790842,2025-06-21 19:40:23.817180,0 days 00:00:05.026338,7432.0,0.02,5m,2.2,0.2,1.5,304.0,5168.0,0.015,3m,2.4000000000000004,0.8,1.0,400.0,,,,,,,,2144.0,0.01,5m,2.6,0.8,1.5,984.0,,,,,,,,4424.0,0.01,3m,2.6,0.4,1.0,288.0,,,,,,,,6704.0,0.02,2m,2.2,1.0,2.0,160.0,,,,,,,,,,,,,,,4912.0,0.02,1m,2.8,0.4,1.0,960.0,4024.0,0.015,4m,2.2,0.8,1.0,864.0,,,,,,,,1352.0,0.01,2m,1.4,0.2,1.0,792.0,5480.0,0.01,3m,1.8,0.8,1.0,384.0,7616,0.015,4m,2.0,0.2,1.5,200,,,,,,,,1056.0,0.01,2m,1.6,0.4,1.5,864.0,,,,,,,,1560.0,0.015,4m,2.2,0.0,1.5,712.0,0.1,12,COMPLETE
33,33,-1.0381697161211705,2025-06-21 19:40:23.893778,2025-06-21 19:40:31.503369,0 days 00:00:07.609591,6288.0,0.015,5m,2.8,0.0,1.0,168.0,6904.0,0.015,3m,2.4000000000000004,0.6000000000000001,1.0,296.0,,,,,,,,3768.0,0.02,1m,1.8,0.8,2.0,856.0,,,,,,,,3728.0,0.01,3m,2.0,0.2,0.5,336.0,1304.0,0.015,4m,1.0,0.6000000000000001,1.0,616.0,6312.0,0.02,2m,2.8,0.8,2.0,256.0,3480.0,0.01,1m,1.4,0.6000000000000001,1.0,392.0,,,,,,,,4208.0,0.02,1m,2.6,0.6000000000000001,1.0,840.0,3064.0,0.015,4m,1.8,1.0,1.5,648.0,5104.0,0.015,1m,2.4000000000000004,0.4,1.5,776.0,1912.0,0.01,5m,1.2,0.0,1.5,616.0,3304.0,0.015,1m,2.0,1.0,0.5,544.0,6856,0.015,4m,2.0,0.4,1.5,816,5952.0,0.01,4m,1.6,0.0,1.5,808.0,1712.0,0.01,2m,2.0,0.6000000000000001,1.5,792.0,4248.0,0.01,1m,2.2,0.0,0.5,624.0,2216.0,0.015,5m,2.4000000000000004,0.0,1.5,856.0,0.25,17,COMPLETE
34,34,0.1304512921795185,2025-06-21 19:40:31.610575,2025-06-21 19:40:35.487038,0 days 00:00:03.876463,5656.0,0.015,5m,2.6,0.2,1.5,448.0,4304.0,0.01,1m,2.8,1.0,0.5,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7048.0,0.02,5m,1.6,0.6000000000000001,2.0,128.0,,,,,,,,,,,,,,,5424.0,0.02,2m,3.0,0.6000000000000001,1.0,768.0,1712.0,0.01,4m,1.4,0.8,0.5,912.0,,,,,,,,1472.0,0.015,1m,1.6,0.2,0.5,432.0,,,,,,,,6192,0.015,2m,2.0,0.2,2.0,456,,,,,,,,2432.0,0.01,2m,2.0,0.2,1.0,880.0,,,,,,,,2936.0,0.015,4m,2.0,0.2,1.5,928.0,0.1,9,COMPLETE
35,35,1.0232655080562878,2025-06-21 19:40:35.553175,2025-06-21 19:40:41.625807,0 days 00:00:06.072632,6808.0,0.01,5m,2.2,0.4,2.0,264.0,6008.0,0.015,3m,1.8,0.8,2.0,656.0,,,,,,,,3248.0,0.015,3m,2.4000000000000004,0.2,1.0,400.0,,,,,,,,2312.0,0.015,3m,3.0,0.4,1.0,648.0,,,,,,,,5816.0,0.02,2m,1.8,0.8,0.5,752.0,1176.0,0.015,4m,2.4000000000000004,0.2,2.0,816.0,,,,,,,,3408.0,0.02,1m,2.4000000000000004,0.8,1.5,960.0,4952.0,0.015,2m,2.2,0.4,1.0,392.0,3016.0,0.015,1m,2.2,0.2,1.5,440.0,2416.0,0.01,4m,1.2,0.0,1.0,872.0,7088.0,0.01,5m,2.2,0.6000000000000001,1.0,704.0,6752,0.015,4m,2.4000000000000004,0.4,1.0,672,2696.0,0.015,2m,2.4000000000000004,0.6000000000000001,1.0,184.0,2456.0,0.01,2m,2.2,0.2,2.0,968.0,,,,,,,,3432.0,0.015,5m,2.6,0.0,1.5,792.0,0.2,15,COMPLETE
36,36,-3.9156584740769764,2025-06-21 19:40:41.679154,2025-06-21 19:40:49.080501,0 days 00:00:07.401347,6720.0,0.01,5m,2.2,0.4,2.0,568.0,6056.0,0.02,1m,1.6,0.6000000000000001,2.0,680.0,,,,,,,,5200.0,0.01,2m,1.8,0.2,1.0,408.0,,,,,,,,2352.0,0.015,3m,3.0,0.8,1.5,672.0,4656.0,0.01,5m,2.4000000000000004,1.0,1.5,640.0,5824.0,0.015,1m,1.8,0.6000000000000001,0.5,760.0,1072.0,0.015,4m,2.4000000000000004,0.2,2.0,832.0,,,,,,,,3232.0,0.015,1m,2.4000000000000004,1.0,2.0,960.0,4904.0,0.02,2m,2.8,0.2,1.5,152.0,3032.0,0.02,1m,1.6,0.2,1.0,424.0,2584.0,0.01,4m,1.2,0.0,1.5,888.0,7192.0,0.015,5m,2.6,0.6000000000000001,1.5,696.0,4312,0.01,3m,2.4000000000000004,0.4,0.5,656,2264.0,0.015,2m,2.4000000000000004,0.6000000000000001,1.0,88.0,2912.0,0.01,1m,2.6,0.2,2.0,968.0,8040.0,0.015,1m,1.0,1.0,1.5,144.0,3376.0,0.015,5m,2.8,0.2,1.0,584.0,0.15000000000000002,17,COMPLETE
37,37,-1.7423440282775833,2025-06-21 19:40:49.161495,2025-06-21 19:40:56.926518,0 days 00:00:07.765023,4384.0,0.01,5m,1.8,0.6000000000000001,2.0,272.0,7448.0,0.01,5m,1.2,0.6000000000000001,2.0,840.0,,,,,,,,3896.0,0.02,4m,1.2,0.0,0.5,208.0,1384.0,0.02,1m,2.6,1.0,0.5,968.0,2248.0,0.02,5m,1.6,1.0,1.5,824.0,6144.0,0.02,3m,1.6,0.0,1.0,384.0,5032.0,0.02,2m,1.4,0.6000000000000001,0.5,880.0,2280.0,0.015,4m,2.2,0.2,1.5,808.0,,,,,,,,2344.0,0.01,4m,2.4000000000000004,0.8,2.0,864.0,6496.0,0.015,2m,2.2,0.4,1.0,376.0,1936.0,0.015,1m,2.4000000000000004,0.2,2.0,288.0,3640.0,0.015,4m,1.8,0.6000000000000001,1.0,752.0,7152.0,0.02,5m,2.2,0.4,0.5,920.0,6688,0.015,4m,2.2,0.6000000000000001,1.0,568,4232.0,0.015,2m,2.8,0.8,1.0,264.0,8128.0,0.015,5m,2.2,0.2,2.0,1024.0,4040.0,0.01,4m,2.2,0.4,1.5,624.0,3816.0,0.015,5m,3.0,0.4,2.0,1024.0,0.3,18,COMPLETE
38,38,1.0835240983974859,2025-06-21 19:40:56.996892,2025-06-21 19:41:00.604426,0 days 00:00:03.607534,7680.0,0.01,5m,2.0,0.8,2.0,416.0,6832.0,0.015,3m,1.0,0.8,2.0,680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5688.0,0.015,4m,2.0,0.0,0.5,752.0,,,,,,,,,,,,,,,2712.0,0.02,1m,2.0,1.0,1.5,800.0,4432.0,0.02,2m,1.8,0.2,0.5,168.0,,,,,,,,,,,,,,,,,,,,,,5880,0.015,4m,2.6,0.6000000000000001,1.0,736,,,,,,,,2400.0,0.02,2m,2.4000000000000004,0.2,2.0,384.0,,,,,,,,3272.0,0.02,5m,2.6,0.6000000000000001,1.5,936.0,0.25,8,COMPLETE
39,39,-2.569914994617491,2025-06-21 19:41:00.692135,2025-06-21 19:41:03.588778,0 days 00:00:02.896643,7672.0,0.01,4m,1.2,0.8,2.0,448.0,7752.0,0.01,1m,1.0,0.6000000000000001,2.0,744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2840.0,0.015,4m,2.0,0.0,0.5,816.0,,,,,,,,,,,,,,,1712.0,0.01,3m,2.0,1.0,2.0,744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5184,0.02,2m,2.6,1.0,0.5,976,,,,,,,,3368.0,0.02,3m,2.8,0.0,0.5,416.0,,,,,,,,2928.0,0.02,5m,2.8,0.6000000000000001,1.0,936.0,0.25,7,COMPLETE
40,40,-1.1688661246623455,2025-06-21 19:41:03.653935,2025-06-21 19:41:06.012751,0 days 00:00:02.358816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5392.0,0.015,4m,2.4000000000000004,0.0,0.5,720.0,,,,,,,,,,,,,,,2888.0,0.015,1m,1.2,1.0,2.0,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6040,0.015,5m,2.8,0.8,1.0,736,,,,,,,,1472.0,0.02,5m,2.4000000000000004,0.6000000000000001,2.0,320.0,,,,,,,,2176.0,0.02,2m,3.0,0.8,2.0,328.0,0.25,5,COMPLETE
41,41,0.3641793964359844,2025-06-21 19:41:06.089264,2025-06-21 19:41:10.047194,0 days 00:00:03.957930,6488.0,0.01,5m,2.0,0.8,2.0,512.0,6528.0,0.015,3m,1.2,0.8,2.0,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5792.0,0.015,4m,1.8,0.0,0.5,952.0,,,,,,,,,,,,,,,3408.0,0.02,1m,1.8,0.8,1.5,808.0,4280.0,0.02,2m,1.8,0.2,0.5,184.0,,,,,,,,4960.0,0.01,4m,1.0,0.0,0.5,928.0,,,,,,,,6552,0.015,4m,2.4000000000000004,0.6000000000000001,1.0,792,,,,,,,,2528.0,0.02,2m,2.2,0.2,2.0,360.0,,,,,,,,3328.0,0.015,5m,2.6,0.6000000000000001,1.5,816.0,0.2,9,COMPLETE
42,42,0.9352879164526541,2025-06-21 19:41:10.134057,2025-06-21 19:41:13.340738,0 days 00:00:03.206681,7624.0,0.01,5m,2.2,0.6000000000000001,2.0,416.0,6984.0,0.015,3m,1.0,0.8,2.0,712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6552.0,0.015,4m,1.6,0.0,0.5,568.0,,,,,,,,,,,,,,,1528.0,0.02,1m,1.8,1.0,1.5,976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5664,0.015,4m,3.0,0.4,1.0,704,,,,,,,,2344.0,0.02,2m,2.4000000000000004,0.2,2.0,648.0,,,,,,,,3720.0,0.02,5m,1.0,0.6000000000000001,1.5,904.0,0.15000000000000002,7,COMPLETE
43,43,0.3736402236834757,2025-06-21 19:41:13.417202,2025-06-21 19:41:19.906070,0 days 00:00:06.488868,8192.0,0.01,5m,2.8,1.0,2.0,312.0,5872.0,0.015,5m,1.0,1.0,2.0,568.0,,,,,,,,3184.0,0.015,3m,2.6,0.2,1.0,608.0,,,,,,,,1288.0,0.015,4m,2.2,0.0,1.0,616.0,,,,,,,,5584.0,0.01,5m,2.0,0.4,0.5,736.0,4184.0,0.015,5m,2.8,0.0,2.0,1008.0,,,,,,,,2296.0,0.02,4m,2.2,0.2,1.5,424.0,5008.0,0.02,2m,1.4,0.2,0.5,312.0,5912.0,0.01,1m,1.8,0.0,1.5,528.0,2272.0,0.02,4m,2.8,0.4,1.5,992.0,8168.0,0.01,5m,2.8,0.6000000000000001,1.0,896.0,7112,0.015,4m,2.6,0.6000000000000001,1.0,576,2864.0,0.02,3m,2.2,0.2,0.5,472.0,7528.0,0.02,2m,2.8,0.2,2.0,232.0,,,,,,,,2672.0,0.015,5m,2.4000000000000004,0.4,1.5,960.0,0.3,15,COMPLETE
