,number,value,datetime_start,datetime_complete,duration,params_AEP_MCHP_beta_win,params_AEP_MCHP_stop_loss,params_AEP_MCHP_trade_freq,params_AEP_MCHP_z_entry,params_AEP_MCHP_z_exit,params_AEP_MCHP_z_stop_scaler,params_AEP_MCHP_z_win,params_AMGN_DASH_beta_win,params_AMGN_DASH_stop_loss,params_AMGN_DASH_trade_freq,params_AMGN_DASH_z_entry,params_AMGN_DASH_z_exit,params_AMGN_DASH_z_stop_scaler,params_AMGN_DASH_z_win,params_ASML_SNPS_beta_win,params_ASML_SNPS_stop_loss,params_ASML_SNPS_trade_freq,params_ASML_SNPS_z_entry,params_ASML_SNPS_z_exit,params_ASML_SNPS_z_stop_scaler,params_ASML_SNPS_z_win,params_AZN_FTNT_beta_win,params_AZN_FTNT_stop_loss,params_AZN_FTNT_trade_freq,params_AZN_FTNT_z_entry,params_AZN_FTNT_z_exit,params_AZN_FTNT_z_stop_scaler,params_AZN_FTNT_z_win,params_AZN_INTC_beta_win,params_AZN_INTC_stop_loss,params_AZN_INTC_trade_freq,params_AZN_INTC_z_entry,params_AZN_INTC_z_exit,params_AZN_INTC_z_stop_scaler,params_AZN_INTC_z_win,params_AZN_MCHP_beta_win,params_AZN_MCHP_stop_loss,params_AZN_MCHP_trade_freq,params_AZN_MCHP_z_entry,params_AZN_MCHP_z_exit,params_AZN_MCHP_z_stop_scaler,params_AZN_MCHP_z_win,params_CCEP_MCHP_beta_win,params_CCEP_MCHP_stop_loss,params_CCEP_MCHP_trade_freq,params_CCEP_MCHP_z_entry,params_CCEP_MCHP_z_exit,params_CCEP_MCHP_z_stop_scaler,params_CCEP_MCHP_z_win,params_CEG_MCHP_beta_win,params_CEG_MCHP_stop_loss,params_CEG_MCHP_trade_freq,params_CEG_MCHP_z_entry,params_CEG_MCHP_z_exit,params_CEG_MCHP_z_stop_scaler,params_CEG_MCHP_z_win,params_CMCSA_CSCO_beta_win,params_CMCSA_CSCO_stop_loss,params_CMCSA_CSCO_trade_freq,params_CMCSA_CSCO_z_entry,params_CMCSA_CSCO_z_exit,params_CMCSA_CSCO_z_stop_scaler,params_CMCSA_CSCO_z_win,params_CRWD_ISRG_beta_win,params_CRWD_ISRG_stop_loss,params_CRWD_ISRG_trade_freq,params_CRWD_ISRG_z_entry,params_CRWD_ISRG_z_exit,params_CRWD_ISRG_z_stop_scaler,params_CRWD_ISRG_z_win,params_GOOGL_DLTR_beta_win,params_GOOGL_DLTR_stop_loss,params_GOOGL_DLTR_trade_freq,params_GOOGL_DLTR_z_entry,params_GOOGL_DLTR_z_exit,params_GOOGL_DLTR_z_stop_scaler,params_GOOGL_DLTR_z_win,params_GOOG_DLTR_beta_win,params_GOOG_DLTR_stop_loss,params_GOOG_DLTR_trade_freq,params_GOOG_DLTR_z_entry,params_GOOG_DLTR_z_exit,params_GOOG_DLTR_z_stop_scaler,params_GOOG_DLTR_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_HON_REGN_beta_win,params_HON_REGN_stop_loss,params_HON_REGN_trade_freq,params_HON_REGN_z_entry,params_HON_REGN_z_exit,params_HON_REGN_z_stop_scaler,params_HON_REGN_z_win,params_ILMN_MCHP_beta_win,params_ILMN_MCHP_stop_loss,params_ILMN_MCHP_trade_freq,params_ILMN_MCHP_z_entry,params_ILMN_MCHP_z_exit,params_ILMN_MCHP_z_stop_scaler,params_ILMN_MCHP_z_win,params_INTC_CSX_beta_win,params_INTC_CSX_stop_loss,params_INTC_CSX_trade_freq,params_INTC_CSX_z_entry,params_INTC_CSX_z_exit,params_INTC_CSX_z_stop_scaler,params_INTC_CSX_z_win,params_INTC_MCHP_beta_win,params_INTC_MCHP_stop_loss,params_INTC_MCHP_trade_freq,params_INTC_MCHP_z_entry,params_INTC_MCHP_z_exit,params_INTC_MCHP_z_stop_scaler,params_INTC_MCHP_z_win,params_LIN_SMCI_beta_win,params_LIN_SMCI_stop_loss,params_LIN_SMCI_trade_freq,params_LIN_SMCI_z_entry,params_LIN_SMCI_z_exit,params_LIN_SMCI_z_stop_scaler,params_LIN_SMCI_z_win,params_LRCX_META_beta_win,params_LRCX_META_stop_loss,params_LRCX_META_trade_freq,params_LRCX_META_z_entry,params_LRCX_META_z_exit,params_LRCX_META_z_stop_scaler,params_LRCX_META_z_win,params_MRNA_MCHP_beta_win,params_MRNA_MCHP_stop_loss,params_MRNA_MCHP_trade_freq,params_MRNA_MCHP_z_entry,params_MRNA_MCHP_z_exit,params_MRNA_MCHP_z_stop_scaler,params_MRNA_MCHP_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-3.5767284235899357,2025-06-21 19:38:29.808989,2025-06-21 19:38:37.514048,0 days 00:00:07.705059,3560.0,0.015,1m,1.8,0.4,0.5,624.0,6128.0,0.015,3m,3.0,1.0,1.0,352.0,,,,,,,,1104.0,0.015,2m,2.8,1.0,2.0,992.0,,,,,,,,1464.0,0.02,1m,2.8,1.0,2.0,144.0,,,,,,,,8136.0,0.01,2m,1.8,0.4,2.0,80.0,7584.0,0.02,1m,1.0,0.0,0.5,1000.0,,,,,,,,1072.0,0.01,5m,2.6,1.0,2.0,64.0,8144.0,0.01,3m,2.4000000000000004,0.0,0.5,984.0,4832.0,0.02,4m,2.6,1.0,0.5,968.0,8112.0,0.02,2m,1.0,0.0,2.0,88.0,7704.0,0.01,1m,1.2,1.0,0.5,992.0,4968,0.02,1m,3.0,1.0,2.0,1016,8056.0,0.01,4m,2.6,1.0,2.0,1008.0,5392.0,0.015,4m,3.0,1.0,0.5,480.0,,,,,,,,1112.0,0.01,3m,2.0,1.0,0.5,72.0,0.5,15,COMPLETE
11,11,-0.2714789897454015,2025-06-21 19:38:37.603940,2025-06-21 19:38:43.060592,0 days 00:00:05.456652,7872.0,0.01,5m,1.0,0.0,1.0,64.0,7512.0,0.015,4m,2.0,0.0,0.5,432.0,,,,,,,,2488.0,0.02,1m,1.0,0.0,0.5,504.0,,,,,,,,8144.0,0.01,2m,3.0,0.0,0.5,96.0,,,,,,,,7200.0,0.01,2m,3.0,0.4,1.0,872.0,,,,,,,,,,,,,,,2760.0,0.01,2m,2.8,1.0,0.5,1024.0,1072.0,0.015,5m,2.0,1.0,1.5,104.0,1032.0,0.01,1m,1.0,0.0,2.0,80.0,5520.0,0.02,3m,1.6,0.0,0.5,360.0,1272.0,0.02,3m,1.0,0.8,2.0,840.0,2208,0.01,1m,2.4000000000000004,0.0,1.5,736,,,,,,,,4208.0,0.015,1m,1.4,0.8,2.0,992.0,,,,,,,,1080.0,0.01,4m,2.4000000000000004,0.2,0.5,392.0,0.5,13,COMPLETE
12,12,-0.43601207533209985,2025-06-21 19:38:43.114323,2025-06-21 19:38:43.629736,0 days 00:00:00.515413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2808,0.01,1m,1.6,1.0,2.0,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
13,13,0.10964336713635643,2025-06-21 19:38:43.676100,2025-06-21 19:38:48.228519,0 days 00:00:04.552419,5160.0,0.01,1m,1.6,0.2,2.0,344.0,6344.0,0.01,1m,2.2,0.4,1.0,528.0,,,,,,,,3352.0,0.02,1m,2.2,0.0,1.0,808.0,,,,,,,,,,,,,,,,,,,,,,1096.0,0.01,4m,2.6,0.2,1.0,672.0,,,,,,,,,,,,,,,3000.0,0.01,1m,3.0,0.8,0.5,1016.0,4392.0,0.01,4m,1.8,0.4,1.5,576.0,,,,,,,,4800.0,0.01,4m,3.0,0.4,0.5,96.0,7800.0,0.01,5m,3.0,0.4,2.0,608.0,5256,0.01,3m,1.8,0.0,1.5,600,,,,,,,,4536.0,0.015,1m,1.6,0.4,1.5,864.0,,,,,,,,2640.0,0.015,4m,2.2,0.2,1.5,440.0,0.5,11,COMPLETE
14,14,-1.1286650085066945,2025-06-21 19:38:48.297232,2025-06-21 19:38:52.417825,0 days 00:00:04.120593,3792.0,0.01,4m,1.4,0.4,1.0,368.0,6448.0,0.015,1m,3.0,0.0,1.0,1016.0,,,,,,,,4264.0,0.015,1m,2.0,0.2,1.0,136.0,,,,,,,,,,,,,,,,,,,,,,4552.0,0.015,1m,2.4000000000000004,0.2,2.0,240.0,,,,,,,,,,,,,,,2008.0,0.01,2m,2.4000000000000004,0.8,1.5,848.0,5944.0,0.02,5m,2.4000000000000004,1.0,0.5,680.0,,,,,,,,3224.0,0.015,5m,2.0,0.4,1.5,520.0,,,,,,,,1040,0.02,1m,2.8,0.2,2.0,312,,,,,,,,3336.0,0.015,1m,1.0,0.0,2.0,1016.0,,,,,,,,2280.0,0.01,4m,2.6,0.0,1.0,752.0,0.4,10,COMPLETE
15,15,-1.085117481123331,2025-06-21 19:38:52.488386,2025-06-21 19:38:54.320898,0 days 00:00:01.832512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6608.0,0.01,3m,3.0,0.2,1.0,792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3872,0.01,5m,1.4,0.8,1.5,864,,,,,,,,5976.0,0.02,2m,2.4000000000000004,0.8,1.5,768.0,,,,,,,,4104.0,0.015,1m,2.0,0.4,1.5,64.0,0.45,4,COMPLETE
16,16,-0.31609735389669286,2025-06-21 19:38:54.381109,2025-06-21 19:39:02.568218,0 days 00:00:08.187109,6792.0,0.015,2m,2.4000000000000004,0.2,2.0,784.0,5192.0,0.02,1m,1.4,0.4,1.5,584.0,2568.0,0.01,2m,2.4000000000000004,0.4,1.5,640.0,8088.0,0.02,4m,1.0,0.2,0.5,384.0,8192.0,0.02,4m,3.0,1.0,2.0,1000.0,1536.0,0.02,5m,1.0,1.0,2.0,528.0,8184.0,0.01,2m,1.0,1.0,0.5,976.0,7936.0,0.015,4m,2.6,0.8,1.5,1000.0,6624.0,0.01,4m,1.2,1.0,2.0,104.0,5592.0,0.01,4m,1.0,0.4,1.5,656.0,4048.0,0.015,3m,3.0,0.8,0.5,624.0,2928.0,0.015,1m,1.6,0.4,1.5,88.0,7696.0,0.015,5m,2.0,1.0,1.0,1024.0,6264.0,0.02,4m,2.4000000000000004,0.2,2.0,296.0,4528.0,0.015,2m,1.8,0.6000000000000001,0.5,72.0,5896,0.01,1m,2.4000000000000004,0.8,1.0,632,1208.0,0.02,5m,1.0,0.8,2.0,128.0,3920.0,0.015,4m,1.4,0.6000000000000001,1.0,840.0,7840.0,0.01,3m,1.0,0.0,0.5,400.0,4600.0,0.015,3m,1.6,0.4,0.5,456.0,0.3,20,COMPLETE
17,17,-0.5814105975372862,2025-06-21 19:39:02.663744,2025-06-21 19:39:06.234148,0 days 00:00:03.570404,4776.0,0.01,3m,1.4,0.8,1.0,392.0,7208.0,0.01,4m,2.2,0.2,0.5,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4496.0,0.01,2m,1.6,0.4,1.0,560.0,,,,,,,,,,,,,,,1120.0,0.01,5m,2.4000000000000004,1.0,1.5,920.0,1112.0,0.02,3m,1.0,0.6000000000000001,2.0,384.0,,,,,,,,,,,,,,,,,,,,,,2064,0.02,5m,2.2,0.4,2.0,488,,,,,,,,5384.0,0.02,1m,2.6,0.8,2.0,504.0,,,,,,,,1960.0,0.01,2m,2.6,0.2,1.0,288.0,0.45,8,COMPLETE
18,18,0.38917167869195257,2025-06-21 19:39:06.316661,2025-06-21 19:39:11.397292,0 days 00:00:05.080631,7272.0,0.015,5m,2.4000000000000004,0.2,1.5,144.0,5544.0,0.015,3m,2.6,0.8,1.0,352.0,,,,,,,,1696.0,0.015,3m,2.0,1.0,1.5,720.0,,,,,,,,4312.0,0.01,3m,2.4000000000000004,0.6000000000000001,1.0,520.0,,,,,,,,6312.0,0.02,2m,2.0,0.8,2.0,400.0,,,,,,,,,,,,,,,3696.0,0.015,1m,2.8,0.6000000000000001,1.0,664.0,3648.0,0.015,4m,2.4000000000000004,0.8,1.0,776.0,,,,,,,,1048.0,0.01,2m,1.8,0.2,1.0,672.0,4400.0,0.01,3m,1.6,1.0,1.0,656.0,8096,0.015,4m,1.8,0.2,1.5,288,,,,,,,,2112.0,0.01,2m,2.0,0.4,1.5,704.0,,,,,,,,1736.0,0.015,4m,2.4000000000000004,0.0,1.5,720.0,0.3,12,COMPLETE
19,19,-0.3695431365176959,2025-06-21 19:39:11.476807,2025-06-21 19:39:12.907013,0 days 00:00:01.430206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904.0,0.015,4m,2.8,0.6000000000000001,1.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3848,0.01,3m,1.6,1.0,2.0,64,,,,,,,,7200.0,0.015,1m,1.6,0.0,1.0,896.0,,,,,,,,,,,,,,,0.45,3,COMPLETE
