,number,value,datetime_start,datetime_complete,duration,params_AMD_FAST_beta_win,params_AMD_FAST_stop_loss,params_AMD_FAST_trade_freq,params_AMD_FAST_z_entry,params_AMD_FAST_z_exit,params_AMD_FAST_z_stop_scaler,params_AMD_FAST_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_AVGO_beta_win,params_ASML_AVGO_stop_loss,params_ASML_AVGO_trade_freq,params_ASML_AVGO_z_entry,params_ASML_AVGO_z_exit,params_ASML_AVGO_z_stop_scaler,params_ASML_AVGO_z_win,params_ASML_TXN_beta_win,params_ASML_TXN_stop_loss,params_ASML_TXN_trade_freq,params_ASML_TXN_z_entry,params_ASML_TXN_z_exit,params_ASML_TXN_z_stop_scaler,params_ASML_TXN_z_win,params_ATVI_ILMN_beta_win,params_ATVI_ILMN_stop_loss,params_ATVI_ILMN_trade_freq,params_ATVI_ILMN_z_entry,params_ATVI_ILMN_z_exit,params_ATVI_ILMN_z_stop_scaler,params_ATVI_ILMN_z_win,params_ATVI_PYPL_beta_win,params_ATVI_PYPL_stop_loss,params_ATVI_PYPL_trade_freq,params_ATVI_PYPL_z_entry,params_ATVI_PYPL_z_exit,params_ATVI_PYPL_z_stop_scaler,params_ATVI_PYPL_z_win,params_AVGO_XEL_beta_win,params_AVGO_XEL_stop_loss,params_AVGO_XEL_trade_freq,params_AVGO_XEL_z_entry,params_AVGO_XEL_z_exit,params_AVGO_XEL_z_stop_scaler,params_AVGO_XEL_z_win,params_CHTR_MDLZ_beta_win,params_CHTR_MDLZ_stop_loss,params_CHTR_MDLZ_trade_freq,params_CHTR_MDLZ_z_entry,params_CHTR_MDLZ_z_exit,params_CHTR_MDLZ_z_stop_scaler,params_CHTR_MDLZ_z_win,params_CTSH_FAST_beta_win,params_CTSH_FAST_stop_loss,params_CTSH_FAST_trade_freq,params_CTSH_FAST_z_entry,params_CTSH_FAST_z_exit,params_CTSH_FAST_z_stop_scaler,params_CTSH_FAST_z_win,params_CTSH_TMUS_beta_win,params_CTSH_TMUS_stop_loss,params_CTSH_TMUS_trade_freq,params_CTSH_TMUS_z_entry,params_CTSH_TMUS_z_exit,params_CTSH_TMUS_z_stop_scaler,params_CTSH_TMUS_z_win,params_FAST_TMUS_beta_win,params_FAST_TMUS_stop_loss,params_FAST_TMUS_trade_freq,params_FAST_TMUS_z_entry,params_FAST_TMUS_z_exit,params_FAST_TMUS_z_stop_scaler,params_FAST_TMUS_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_ILMN_PYPL_beta_win,params_ILMN_PYPL_stop_loss,params_ILMN_PYPL_trade_freq,params_ILMN_PYPL_z_entry,params_ILMN_PYPL_z_exit,params_ILMN_PYPL_z_stop_scaler,params_ILMN_PYPL_z_win,params_ILMN_SWKS_beta_win,params_ILMN_SWKS_stop_loss,params_ILMN_SWKS_trade_freq,params_ILMN_SWKS_z_entry,params_ILMN_SWKS_z_exit,params_ILMN_SWKS_z_stop_scaler,params_ILMN_SWKS_z_win,params_KLAC_TXN_beta_win,params_KLAC_TXN_stop_loss,params_KLAC_TXN_trade_freq,params_KLAC_TXN_z_entry,params_KLAC_TXN_z_exit,params_KLAC_TXN_z_stop_scaler,params_KLAC_TXN_z_win,params_LRCX_TXN_beta_win,params_LRCX_TXN_stop_loss,params_LRCX_TXN_trade_freq,params_LRCX_TXN_z_entry,params_LRCX_TXN_z_exit,params_LRCX_TXN_z_stop_scaler,params_LRCX_TXN_z_win,params_MSFT_PCAR_beta_win,params_MSFT_PCAR_stop_loss,params_MSFT_PCAR_trade_freq,params_MSFT_PCAR_z_entry,params_MSFT_PCAR_z_exit,params_MSFT_PCAR_z_stop_scaler,params_MSFT_PCAR_z_win,params_MU_TXN_beta_win,params_MU_TXN_stop_loss,params_MU_TXN_trade_freq,params_MU_TXN_z_entry,params_MU_TXN_z_exit,params_MU_TXN_z_stop_scaler,params_MU_TXN_z_win,params_NXPI_TXN_beta_win,params_NXPI_TXN_stop_loss,params_NXPI_TXN_trade_freq,params_NXPI_TXN_z_entry,params_NXPI_TXN_z_exit,params_NXPI_TXN_z_stop_scaler,params_NXPI_TXN_z_win,params_REGN_SBUX_beta_win,params_REGN_SBUX_stop_loss,params_REGN_SBUX_trade_freq,params_REGN_SBUX_z_entry,params_REGN_SBUX_z_exit,params_REGN_SBUX_z_stop_scaler,params_REGN_SBUX_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-100.0,2025-06-21 19:05:26.502109,2025-06-21 19:05:35.627114,0 days 00:00:09.125005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096,0.01,2m,3.0,1.0,1.0,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
11,11,-0.09130389386203473,2025-06-21 19:05:35.678711,2025-06-21 19:05:36.362484,0 days 00:00:00.683773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4584,0.02,2m,1.8,0.8,1.5,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
12,12,-0.02305131379470702,2025-06-21 19:05:36.422226,2025-06-21 19:05:37.080053,0 days 00:00:00.657827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280,0.02,2m,2.0,0.8,1.5,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
13,13,-4.064037104611508,2025-06-21 19:05:37.120601,2025-06-21 19:05:43.117618,0 days 00:00:05.997017,,,,,,,,4840.0,0.01,4m,2.8,1.0,0.5,416.0,3656.0,0.015,1m,1.8,0.4,0.5,584.0,1184.0,0.015,2m,2.8,1.0,2.0,944.0,4520.0,0.01,3m,1.8,1.0,0.5,392.0,8152.0,0.01,3m,2.4000000000000004,0.0,0.5,1008.0,,,,,,,,,,,,,,,7768.0,0.01,2m,1.0,1.0,0.5,1008.0,8104.0,0.02,5m,1.0,1.0,0.5,64.0,,,,,,,,1048,0.02,2m,2.6,0.8,1.5,80,1136.0,0.02,5m,3.0,1.0,2.0,112.0,,,,,,,,1448.0,0.01,1m,3.0,1.0,2.0,1016.0,5192.0,0.02,3m,2.2,1.0,1.0,72.0,4680.0,0.02,4m,2.6,1.0,0.5,1016.0,7736.0,0.02,4m,1.0,0.0,2.0,1016.0,,,,,,,,7888.0,0.02,3m,1.0,0.0,2.0,72.0,0.15000000000000002,14,COMPLETE
14,14,-0.07558483941425462,2025-06-21 19:05:43.187322,2025-06-21 19:05:44.575406,0 days 00:00:01.388084,,,,,,,,4720.0,0.01,1m,2.6,0.8,0.5,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048,0.01,2m,2.4000000000000004,0.6000000000000001,1.0,280,,,,,,,,,,,,,,,8168.0,0.01,3m,2.4000000000000004,0.4,2.0,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
15,15,0.558307965894804,2025-06-21 19:05:44.639748,2025-06-21 19:05:46.173048,0 days 00:00:01.533300,,,,,,,,5888.0,0.015,5m,1.0,0.0,0.5,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120,0.01,1m,2.0,0.0,2.0,456,,,,,,,,,,,,,,,1432.0,0.02,3m,1.8,0.4,1.0,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
16,16,0.3466105059999775,2025-06-21 19:05:46.231412,2025-06-21 19:05:51.877323,0 days 00:00:05.645911,,,,,,,,6104.0,0.015,5m,1.0,0.0,0.5,456.0,4032.0,0.01,3m,1.6,0.4,1.0,80.0,7936.0,0.015,2m,2.2,0.0,1.0,1008.0,1072.0,0.01,1m,2.0,1.0,1.0,768.0,5776.0,0.01,5m,2.2,0.4,0.5,720.0,,,,,,,,,,,,,,,1072.0,0.02,5m,1.2,0.8,2.0,840.0,3728.0,0.02,3m,3.0,0.6000000000000001,1.5,544.0,,,,,,,,2552,0.01,1m,1.4,0.0,2.0,656,8144.0,0.01,2m,3.0,0.0,0.5,72.0,,,,,,,,1112.0,0.02,3m,1.8,0.4,1.0,856.0,2384.0,0.015,4m,2.0,0.0,1.0,320.0,8128.0,0.01,5m,1.0,0.0,2.0,80.0,,,,,,,,,,,,,,,6600.0,0.02,4m,1.4,0.4,0.5,592.0,0.2,13,COMPLETE
17,17,-0.5831789240814802,2025-06-21 19:05:51.928761,2025-06-21 19:05:58.163416,0 days 00:00:06.234655,,,,,,,,5856.0,0.015,5m,1.0,0.0,0.5,512.0,3888.0,0.01,3m,1.6,0.4,1.0,64.0,7728.0,0.015,2m,2.2,0.0,1.0,1000.0,1080.0,0.01,1m,1.8,1.0,1.0,776.0,5792.0,0.01,5m,2.2,0.2,0.5,720.0,,,,,,,,,,,,,,,1520.0,0.02,5m,1.2,0.8,2.0,832.0,3440.0,0.02,3m,3.0,0.6000000000000001,1.5,536.0,,,,,,,,2744,0.01,1m,1.4,0.0,2.0,680,7432.0,0.01,2m,3.0,0.0,0.5,88.0,,,,,,,,1112.0,0.02,3m,1.8,0.4,1.0,832.0,2520.0,0.015,4m,2.0,0.0,1.0,264.0,8040.0,0.01,5m,1.0,0.0,2.0,80.0,6832.0,0.01,3m,1.4,1.0,0.5,96.0,,,,,,,,6760.0,0.02,4m,1.4,0.4,0.5,640.0,0.2,14,COMPLETE
18,18,-1.9976357093017443,2025-06-21 19:05:58.234562,2025-06-21 19:06:03.590156,0 days 00:00:05.355594,,,,,,,,5504.0,0.015,4m,1.4,0.0,0.5,488.0,5672.0,0.01,3m,2.4000000000000004,0.2,1.0,376.0,4016.0,0.015,2m,2.2,0.2,1.0,736.0,4304.0,0.01,1m,2.2,0.8,0.5,728.0,4736.0,0.01,5m,1.8,0.2,0.5,648.0,,,,,,,,,,,,,,,4344.0,0.02,5m,1.6,0.6000000000000001,2.0,664.0,3992.0,0.02,3m,2.6,0.8,1.5,664.0,,,,,,,,2408,0.01,1m,1.2,0.0,2.0,984,2496.0,0.01,2m,2.4000000000000004,0.4,1.0,416.0,,,,,,,,2224.0,0.02,3m,2.4000000000000004,0.2,1.0,632.0,2264.0,0.015,4m,2.0,0.2,1.0,1008.0,5304.0,0.01,5m,1.8,0.4,1.5,72.0,,,,,,,,,,,,,,,5496.0,0.02,4m,1.6,0.4,0.5,512.0,0.3,13,COMPLETE
19,19,-1.1364350893246247,2025-06-21 19:06:03.634363,2025-06-21 19:06:09.233964,0 days 00:00:05.599601,,,,,,,,3512.0,0.015,5m,1.0,0.0,1.5,640.0,2776.0,0.015,1m,1.4,0.8,2.0,712.0,7624.0,0.02,3m,2.6,0.2,1.5,800.0,3168.0,0.01,2m,1.6,0.8,1.5,448.0,6008.0,0.015,4m,2.6,0.4,1.5,792.0,,,,,,,,,,,,,,,3848.0,0.015,3m,1.8,0.4,1.5,536.0,5912.0,0.015,5m,2.4000000000000004,0.8,1.0,416.0,,,,,,,,3584,0.01,1m,1.6,0.0,2.0,840,8184.0,0.01,3m,2.4000000000000004,0.0,1.0,392.0,,,,,,,,2320.0,0.02,3m,1.8,0.2,1.0,888.0,3616.0,0.02,4m,1.6,0.4,0.5,376.0,1896.0,0.015,1m,1.0,0.0,1.5,464.0,,,,,,,,,,,,,,,5088.0,0.01,2m,1.8,0.2,0.5,1016.0,0.3,13,COMPLETE
