,number,value,datetime_start,datetime_complete,duration,params_AMD_FAST_beta_win,params_AMD_FAST_stop_loss,params_AMD_FAST_trade_freq,params_AMD_FAST_z_entry,params_AMD_FAST_z_exit,params_AMD_FAST_z_stop_scaler,params_AMD_FAST_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_AVGO_beta_win,params_ASML_AVGO_stop_loss,params_ASML_AVGO_trade_freq,params_ASML_AVGO_z_entry,params_ASML_AVGO_z_exit,params_ASML_AVGO_z_stop_scaler,params_ASML_AVGO_z_win,params_ASML_TXN_beta_win,params_ASML_TXN_stop_loss,params_ASML_TXN_trade_freq,params_ASML_TXN_z_entry,params_ASML_TXN_z_exit,params_ASML_TXN_z_stop_scaler,params_ASML_TXN_z_win,params_ATVI_ILMN_beta_win,params_ATVI_ILMN_stop_loss,params_ATVI_ILMN_trade_freq,params_ATVI_ILMN_z_entry,params_ATVI_ILMN_z_exit,params_ATVI_ILMN_z_stop_scaler,params_ATVI_ILMN_z_win,params_ATVI_PYPL_beta_win,params_ATVI_PYPL_stop_loss,params_ATVI_PYPL_trade_freq,params_ATVI_PYPL_z_entry,params_ATVI_PYPL_z_exit,params_ATVI_PYPL_z_stop_scaler,params_ATVI_PYPL_z_win,params_AVGO_XEL_beta_win,params_AVGO_XEL_stop_loss,params_AVGO_XEL_trade_freq,params_AVGO_XEL_z_entry,params_AVGO_XEL_z_exit,params_AVGO_XEL_z_stop_scaler,params_AVGO_XEL_z_win,params_CHTR_MDLZ_beta_win,params_CHTR_MDLZ_stop_loss,params_CHTR_MDLZ_trade_freq,params_CHTR_MDLZ_z_entry,params_CHTR_MDLZ_z_exit,params_CHTR_MDLZ_z_stop_scaler,params_CHTR_MDLZ_z_win,params_CTSH_FAST_beta_win,params_CTSH_FAST_stop_loss,params_CTSH_FAST_trade_freq,params_CTSH_FAST_z_entry,params_CTSH_FAST_z_exit,params_CTSH_FAST_z_stop_scaler,params_CTSH_FAST_z_win,params_CTSH_TMUS_beta_win,params_CTSH_TMUS_stop_loss,params_CTSH_TMUS_trade_freq,params_CTSH_TMUS_z_entry,params_CTSH_TMUS_z_exit,params_CTSH_TMUS_z_stop_scaler,params_CTSH_TMUS_z_win,params_FAST_TMUS_beta_win,params_FAST_TMUS_stop_loss,params_FAST_TMUS_trade_freq,params_FAST_TMUS_z_entry,params_FAST_TMUS_z_exit,params_FAST_TMUS_z_stop_scaler,params_FAST_TMUS_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_ILMN_PYPL_beta_win,params_ILMN_PYPL_stop_loss,params_ILMN_PYPL_trade_freq,params_ILMN_PYPL_z_entry,params_ILMN_PYPL_z_exit,params_ILMN_PYPL_z_stop_scaler,params_ILMN_PYPL_z_win,params_ILMN_SWKS_beta_win,params_ILMN_SWKS_stop_loss,params_ILMN_SWKS_trade_freq,params_ILMN_SWKS_z_entry,params_ILMN_SWKS_z_exit,params_ILMN_SWKS_z_stop_scaler,params_ILMN_SWKS_z_win,params_KLAC_TXN_beta_win,params_KLAC_TXN_stop_loss,params_KLAC_TXN_trade_freq,params_KLAC_TXN_z_entry,params_KLAC_TXN_z_exit,params_KLAC_TXN_z_stop_scaler,params_KLAC_TXN_z_win,params_LRCX_TXN_beta_win,params_LRCX_TXN_stop_loss,params_LRCX_TXN_trade_freq,params_LRCX_TXN_z_entry,params_LRCX_TXN_z_exit,params_LRCX_TXN_z_stop_scaler,params_LRCX_TXN_z_win,params_MSFT_PCAR_beta_win,params_MSFT_PCAR_stop_loss,params_MSFT_PCAR_trade_freq,params_MSFT_PCAR_z_entry,params_MSFT_PCAR_z_exit,params_MSFT_PCAR_z_stop_scaler,params_MSFT_PCAR_z_win,params_MU_TXN_beta_win,params_MU_TXN_stop_loss,params_MU_TXN_trade_freq,params_MU_TXN_z_entry,params_MU_TXN_z_exit,params_MU_TXN_z_stop_scaler,params_MU_TXN_z_win,params_NXPI_TXN_beta_win,params_NXPI_TXN_stop_loss,params_NXPI_TXN_trade_freq,params_NXPI_TXN_z_entry,params_NXPI_TXN_z_exit,params_NXPI_TXN_z_stop_scaler,params_NXPI_TXN_z_win,params_REGN_SBUX_beta_win,params_REGN_SBUX_stop_loss,params_REGN_SBUX_trade_freq,params_REGN_SBUX_z_entry,params_REGN_SBUX_z_exit,params_REGN_SBUX_z_stop_scaler,params_REGN_SBUX_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,0.0022251325934871434,2025-06-21 19:06:09.309216,2025-06-21 19:06:16.402863,0 days 00:00:07.093647,,,,,,,,3928.0,0.015,5m,1.4,0.0,1.0,464.0,4960.0,0.01,4m,2.2,0.2,1.0,72.0,2408.0,0.01,1m,1.8,0.4,1.0,176.0,5224.0,0.01,3m,2.4000000000000004,1.0,1.0,872.0,3536.0,0.01,5m,1.0,0.4,1.0,456.0,,,,,,,,,,,,,,,6968.0,0.01,1m,3.0,1.0,2.0,976.0,2376.0,0.02,3m,2.8,0.2,0.5,760.0,,,,,,,,1928,0.01,1m,3.0,0.2,2.0,648,4192.0,0.02,1m,1.0,0.8,0.5,640.0,7672.0,0.01,5m,1.0,1.0,0.5,936.0,1816.0,0.02,3m,2.0,0.4,1.0,696.0,5480.0,0.015,2m,3.0,0.4,1.0,392.0,6328.0,0.015,5m,2.2,0.8,1.0,808.0,5528.0,0.015,1m,2.0,0.0,0.5,944.0,7592.0,0.01,1m,2.6,1.0,2.0,64.0,6736.0,0.02,4m,1.0,1.0,2.0,792.0,0.2,16,COMPLETE
21,21,-1.4328034133181182,2025-06-21 19:06:16.471625,2025-06-21 19:06:24.427571,0 days 00:00:07.955946,6816.0,0.01,1m,2.4000000000000004,0.4,0.5,144.0,3944.0,0.015,5m,1.2,0.0,1.0,400.0,4776.0,0.01,4m,2.2,0.2,1.0,96.0,2016.0,0.01,1m,1.8,0.4,1.0,64.0,5776.0,0.01,3m,2.6,1.0,1.0,1016.0,3728.0,0.01,5m,1.0,0.4,1.0,472.0,7576.0,0.01,1m,1.0,0.0,0.5,376.0,8144.0,0.01,5m,3.0,1.0,2.0,1024.0,7744.0,0.01,1m,3.0,1.0,2.0,1016.0,1136.0,0.02,3m,2.8,0.2,0.5,768.0,2336.0,0.015,1m,2.6,0.8,1.0,600.0,2032,0.01,1m,3.0,0.0,2.0,632,4128.0,0.02,1m,1.0,0.8,0.5,664.0,7672.0,0.01,5m,1.0,1.0,0.5,1008.0,2016.0,0.02,3m,2.0,0.4,1.0,672.0,6016.0,0.015,2m,2.4000000000000004,0.4,1.0,400.0,6432.0,0.015,5m,2.2,0.8,1.0,872.0,5128.0,0.015,1m,2.0,0.0,0.5,1016.0,7480.0,0.01,1m,2.6,1.0,2.0,128.0,6224.0,0.02,4m,1.0,1.0,2.0,760.0,0.2,20,COMPLETE
22,22,-0.11989824575547223,2025-06-21 19:06:24.499573,2025-06-21 19:06:31.369930,0 days 00:00:06.870357,,,,,,,,5440.0,0.015,5m,1.4,0.0,0.5,576.0,4744.0,0.01,4m,1.8,0.2,0.5,224.0,2832.0,0.01,1m,1.8,1.0,1.0,264.0,5200.0,0.01,3m,2.2,1.0,1.0,848.0,3432.0,0.015,5m,1.6,0.6000000000000001,0.5,368.0,,,,,,,,,,,,,,,6008.0,0.01,1m,3.0,0.8,2.0,792.0,2496.0,0.02,3m,2.4000000000000004,0.2,0.5,672.0,,,,,,,,3136,0.01,1m,2.8,0.2,2.0,480,4216.0,0.02,1m,1.0,0.6000000000000001,0.5,656.0,8056.0,0.01,5m,1.0,0.6000000000000001,0.5,1000.0,1056.0,0.02,3m,1.8,0.4,1.0,912.0,5496.0,0.015,2m,3.0,0.0,1.0,416.0,6584.0,0.015,5m,2.0,0.6000000000000001,1.0,728.0,4976.0,0.015,1m,2.0,0.4,1.0,616.0,8168.0,0.01,4m,2.0,1.0,2.0,984.0,7592.0,0.02,4m,1.4,0.6000000000000001,1.5,816.0,0.2,16,COMPLETE
23,23,0.03840107099601897,2025-06-21 19:06:31.447276,2025-06-21 19:06:36.963903,0 days 00:00:05.516627,,,,,,,,6728.0,0.015,5m,1.0,0.2,1.0,408.0,3680.0,0.015,2m,2.6,0.4,1.0,408.0,4984.0,0.015,4m,2.4000000000000004,0.2,0.5,256.0,3856.0,0.01,3m,2.0,0.8,1.5,696.0,5784.0,0.01,5m,2.0,0.2,1.0,856.0,,,,,,,,,,,,,,,3024.0,0.015,5m,2.4000000000000004,0.8,1.5,848.0,3928.0,0.015,3m,3.0,0.4,1.0,464.0,,,,,,,,1760,0.01,1m,2.4000000000000004,0.0,2.0,688,5624.0,0.015,1m,2.0,1.0,1.0,328.0,,,,,,,,2704.0,0.015,3m,2.2,0.2,1.0,728.0,4064.0,0.015,3m,1.8,0.4,1.5,248.0,,,,,,,,,,,,,,,,,,,,,,4120.0,0.02,4m,1.2,0.6000000000000001,1.5,536.0,0.3,12,COMPLETE
24,24,0.44314041637768176,2025-06-21 19:06:37.033140,2025-06-21 19:06:41.849990,0 days 00:00:04.816850,,,,,,,,6904.0,0.015,5m,1.0,0.2,0.5,280.0,3224.0,0.015,2m,2.6,0.6000000000000001,1.0,416.0,4896.0,0.015,4m,2.4000000000000004,0.2,0.5,328.0,2352.0,0.01,1m,1.8,0.8,1.5,728.0,6104.0,0.01,4m,2.2,0.2,1.5,848.0,,,,,,,,,,,,,,,2976.0,0.015,5m,2.2,0.6000000000000001,1.5,504.0,3976.0,0.015,3m,3.0,0.6000000000000001,1.5,464.0,,,,,,,,4056,0.01,3m,2.4000000000000004,0.0,1.5,712,,,,,,,,,,,,,,,2824.0,0.015,3m,2.6,0.2,1.0,784.0,2440.0,0.01,3m,1.8,0.2,1.5,64.0,,,,,,,,,,,,,,,,,,,,,,4256.0,0.015,2m,2.0,0.6000000000000001,1.5,528.0,0.35000000000000003,11,COMPLETE
25,25,-1.010505024684832,2025-06-21 19:06:41.913803,2025-06-21 19:06:45.659025,0 days 00:00:03.745222,,,,,,,,7208.0,0.015,5m,1.2,0.4,0.5,312.0,2456.0,0.015,2m,2.6,0.8,0.5,808.0,,,,,,,,2336.0,0.01,1m,1.6,0.8,1.5,672.0,7128.0,0.015,4m,2.6,0.2,1.5,600.0,,,,,,,,,,,,,,,,,,,,,,4704.0,0.015,3m,2.2,0.6000000000000001,1.5,208.0,,,,,,,,4184,0.01,3m,1.8,0.0,1.5,856,,,,,,,,,,,,,,,4224.0,0.015,3m,2.6,0.2,1.0,888.0,2192.0,0.01,3m,1.4,0.2,1.5,96.0,,,,,,,,,,,,,,,,,,,,,,4232.0,0.015,2m,2.0,0.2,1.0,400.0,0.35000000000000003,9,COMPLETE
26,26,-0.09436639989964675,2025-06-21 19:06:45.728501,2025-06-21 19:06:47.669919,0 days 00:00:01.941418,,,,,,,,6192.0,0.015,4m,1.0,0.2,0.5,208.0,,,,,,,,,,,,,,,1056.0,0.015,1m,1.6,0.6000000000000001,1.5,488.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5304,0.01,3m,2.4000000000000004,0.4,1.5,584,,,,,,,,,,,,,,,2664.0,0.015,3m,1.6,0.8,1.5,544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
27,27,-1.1658261311276719,2025-06-21 19:06:47.735297,2025-06-21 19:06:52.614088,0 days 00:00:04.878791,,,,,,,,5240.0,0.015,1m,1.6,0.0,0.5,752.0,3096.0,0.02,3m,1.4,0.6000000000000001,1.0,448.0,4872.0,0.015,4m,2.4000000000000004,0.0,0.5,616.0,2464.0,0.01,1m,1.0,0.8,0.5,352.0,6680.0,0.01,4m,2.2,0.0,1.5,888.0,,,,,,,,,,,,,,,2576.0,0.02,5m,1.4,0.6000000000000001,1.0,472.0,6120.0,0.015,5m,2.8,0.8,2.0,392.0,,,,,,,,2912,0.01,3m,2.2,0.2,1.5,720,,,,,,,,,,,,,,,1608.0,0.015,1m,3.0,0.6000000000000001,1.0,824.0,2888.0,0.01,3m,2.2,0.0,1.5,168.0,,,,,,,,,,,,,,,,,,,,,,5688.0,0.01,2m,2.0,0.4,1.5,640.0,0.25,11,COMPLETE
28,28,-0.5838665343813305,2025-06-21 19:06:52.673814,2025-06-21 19:06:55.957918,0 days 00:00:03.284104,,,,,,,,6192.0,0.015,3m,1.2,0.2,0.5,568.0,1272.0,0.015,2m,2.8,0.8,1.5,224.0,,,,,,,,1760.0,0.015,1m,2.0,1.0,1.5,768.0,4888.0,0.015,3m,2.6,0.6000000000000001,2.0,712.0,,,,,,,,,,,,,,,,,,,,,,3888.0,0.015,2m,2.6,0.6000000000000001,1.5,240.0,,,,,,,,3784,0.015,3m,1.2,0.0,2.0,848,,,,,,,,,,,,,,,4360.0,0.02,2m,2.6,0.2,1.5,1016.0,1568.0,0.01,4m,1.4,0.2,0.5,328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,8,COMPLETE
29,29,0.7683604436717606,2025-06-21 19:06:56.038875,2025-06-21 19:07:01.547822,0 days 00:00:05.508947,,,,,,,,7160.0,0.01,5m,1.6,0.4,1.0,360.0,7008.0,0.015,3m,2.0,0.6000000000000001,0.5,688.0,8176.0,0.015,5m,2.6,0.2,1.5,368.0,2576.0,0.01,1m,1.4,0.4,1.0,592.0,8112.0,0.01,1m,2.2,0.4,1.5,880.0,,,,,,,,,,,,,,,1096.0,0.015,5m,2.0,0.4,1.5,424.0,5272.0,0.015,3m,2.2,0.4,2.0,480.0,,,,,,,,3328,0.01,4m,2.6,0.4,2.0,496,6688.0,0.01,2m,2.6,0.2,1.5,224.0,,,,,,,,2888.0,0.015,5m,2.2,0.4,1.0,928.0,1768.0,0.02,4m,1.8,0.0,2.0,112.0,,,,,,,,,,,,,,,,,,,,,,3576.0,0.015,3m,1.6,0.6000000000000001,0.5,208.0,0.45,12,COMPLETE
30,30,-0.9370190292776109,2025-06-21 19:07:01.654482,2025-06-21 19:07:04.596259,0 days 00:00:02.941777,,,,,,,,7024.0,0.01,5m,1.6,0.4,1.5,256.0,,,,,,,,,,,,,,,2688.0,0.015,2m,1.4,0.2,0.5,560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5416.0,0.01,3m,1.6,0.4,2.0,144.0,,,,,,,,3344,0.015,4m,2.6,0.4,1.5,472,,,,,,,,,,,,,,,2904.0,0.015,5m,2.4000000000000004,0.8,0.5,944.0,1632.0,0.02,3m,1.4,0.2,2.0,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,6,COMPLETE
31,31,0.4384653461674934,2025-06-21 19:07:04.675188,2025-06-21 19:07:09.435335,0 days 00:00:04.760147,,,,,,,,7416.0,0.01,5m,1.0,0.4,0.5,384.0,7528.0,0.015,3m,2.0,0.6000000000000001,0.5,696.0,8128.0,0.015,5m,2.6,0.2,1.5,328.0,1336.0,0.01,1m,1.8,0.4,1.0,648.0,8120.0,0.01,1m,2.2,0.4,1.5,872.0,,,,,,,,,,,,,,,1200.0,0.015,5m,2.0,0.4,1.5,384.0,4280.0,0.015,3m,3.0,0.6000000000000001,2.0,472.0,,,,,,,,4432,0.01,4m,2.8,0.2,2.0,560,,,,,,,,,,,,,,,3896.0,0.015,5m,2.2,0.4,1.0,856.0,2976.0,0.02,4m,1.8,0.0,2.0,80.0,,,,,,,,,,,,,,,,,,,,,,3400.0,0.015,3m,1.6,0.6000000000000001,0.5,80.0,0.45,11,COMPLETE
32,32,0.11053573112540241,2025-06-21 19:07:09.511362,2025-06-21 19:07:14.417542,0 days 00:00:04.906180,,,,,,,,7368.0,0.01,5m,1.2,0.4,1.0,360.0,7568.0,0.015,3m,2.2,0.6000000000000001,0.5,696.0,6792.0,0.015,5m,2.8,0.2,1.5,360.0,1664.0,0.01,1m,1.4,0.4,1.0,640.0,8136.0,0.01,1m,2.0,0.2,1.5,912.0,,,,,,,,,,,,,,,2296.0,0.015,5m,2.0,0.4,1.5,384.0,4392.0,0.015,3m,2.2,0.4,2.0,432.0,,,,,,,,4440,0.01,4m,2.8,0.2,2.0,544,,,,,,,,,,,,,,,3752.0,0.015,5m,2.2,0.4,1.0,792.0,3104.0,0.02,4m,1.8,0.0,2.0,80.0,,,,,,,,,,,,,,,,,,,,,,3296.0,0.015,3m,1.8,0.6000000000000001,0.5,64.0,0.45,11,COMPLETE
33,33,0.8464958703581547,2025-06-21 19:07:14.510287,2025-06-21 19:07:18.448961,0 days 00:00:03.938674,,,,,,,,8088.0,0.01,3m,1.8,0.4,0.5,104.0,6984.0,0.015,3m,2.0,0.8,0.5,688.0,,,,,,,,2736.0,0.01,1m,1.8,0.4,1.0,568.0,7528.0,0.01,1m,2.4000000000000004,0.4,1.5,808.0,,,,,,,,,,,,,,,,,,,,,,6520.0,0.015,3m,2.8,0.6000000000000001,2.0,496.0,,,,,,,,5464,0.01,4m,2.8,0.4,2.0,464,,,,,,,,,,,,,,,4616.0,0.015,5m,2.6,0.2,1.0,952.0,4184.0,0.02,4m,1.8,0.0,2.0,152.0,,,,,,,,,,,,,,,,,,,,,,3752.0,0.015,3m,1.8,0.6000000000000001,1.0,192.0,0.5,9,COMPLETE
34,34,0.08864592801843113,2025-06-21 19:07:18.518177,2025-06-21 19:07:21.546816,0 days 00:00:03.028639,,,,,,,,8144.0,0.01,3m,1.8,0.2,1.0,128.0,6936.0,0.015,2m,2.4000000000000004,0.8,0.5,840.0,,,,,,,,3848.0,0.01,1m,1.4,0.0,1.5,416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6592.0,0.015,3m,2.8,0.8,2.0,616.0,,,,,,,,5256,0.01,4m,2.6,0.4,2.0,440,,,,,,,,,,,,,,,4728.0,0.015,5m,2.6,0.0,0.5,944.0,4000.0,0.02,4m,2.2,0.2,2.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,7,COMPLETE
35,35,-1.8025776164700524,2025-06-21 19:07:21.621027,2025-06-21 19:07:28.214733,0 days 00:00:06.593706,,,,,,,,6736.0,0.01,3m,2.0,0.6000000000000001,0.5,80.0,6848.0,0.015,3m,1.8,0.8,0.5,632.0,5592.0,0.02,4m,3.0,0.4,2.0,400.0,3008.0,0.01,5m,1.6,0.2,1.5,552.0,7152.0,0.01,1m,2.4000000000000004,0.6000000000000001,2.0,784.0,,,,,,,,,,,,,,,3672.0,0.015,2m,2.6,0.2,1.0,136.0,7400.0,0.015,3m,2.2,0.4,2.0,336.0,,,,,,,,5640,0.01,4m,2.4000000000000004,0.4,2.0,480,6792.0,0.01,5m,2.6,0.4,2.0,272.0,,,,,,,,4776.0,0.01,5m,2.8,0.2,1.0,752.0,1800.0,0.02,3m,1.2,0.0,2.0,264.0,3104.0,0.02,2m,3.0,1.0,1.5,312.0,1120.0,0.02,5m,2.6,0.6000000000000001,2.0,408.0,1072.0,0.02,5m,1.0,0.6000000000000001,1.0,976.0,4584.0,0.015,3m,2.2,0.8,1.0,224.0,0.5,15,COMPLETE
36,36,-1.3873291826167682,2025-06-21 19:07:28.293729,2025-06-21 19:07:32.522518,0 days 00:00:04.228789,,,,,,,,7872.0,0.01,3m,1.8,0.8,1.0,256.0,5408.0,0.02,1m,2.4000000000000004,1.0,0.5,480.0,,,,,,,,3656.0,0.01,1m,1.0,0.0,1.0,336.0,6384.0,0.015,1m,2.8,0.2,1.5,976.0,,,,,,,,,,,,,,,,,,,,,,5272.0,0.01,2m,2.0,0.6000000000000001,1.5,488.0,,,,,,,,4896,0.015,4m,2.2,0.4,2.0,240,,,,,,,,,,,,,,,3040.0,0.015,5m,2.8,0.0,1.0,600.0,4440.0,0.02,4m,1.8,0.2,1.5,144.0,,,,,,,,,,,,,,,,,,,,,,2520.0,0.015,3m,1.8,0.6000000000000001,1.5,208.0,0.4,9,COMPLETE
37,37,-0.07147705346746061,2025-06-21 19:07:32.609907,2025-06-21 19:07:34.361555,0 days 00:00:01.751648,,,,,,,,7792.0,0.01,2m,2.2,0.6000000000000001,1.5,128.0,,,,,,,,,,,,,,,2200.0,0.015,1m,1.8,0.4,0.5,912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7192,0.01,3m,2.8,0.6000000000000001,1.5,376,,,,,,,,,,,,,,,6368.0,0.01,4m,2.4000000000000004,0.6000000000000001,1.5,984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
38,38,-1.56881580345108,2025-06-21 19:07:34.422987,2025-06-21 19:07:38.507246,0 days 00:00:04.084259,,,,,,,,6528.0,0.01,3m,1.4,0.2,2.0,232.0,6880.0,0.015,2m,2.0,0.8,1.0,816.0,,,,,,,,2824.0,0.015,5m,1.4,0.6000000000000001,1.0,472.0,7320.0,0.01,4m,2.4000000000000004,0.4,1.5,792.0,,,,,,,,,,,,,,,,,,,,,,5936.0,0.015,1m,2.6,0.6000000000000001,2.0,592.0,,,,,,,,3704,0.015,4m,2.0,1.0,2.0,504,,,,,,,,,,,,,,,7240.0,0.015,2m,1.6,0.2,0.5,480.0,1040.0,0.02,4m,1.6,0.0,2.0,464.0,,,,,,,,,,,,,,,,,,,,,,1192.0,0.015,1m,2.0,0.8,1.0,376.0,0.5,9,COMPLETE
39,39,-0.8744692948890915,2025-06-21 19:07:38.591016,2025-06-21 19:07:43.651491,0 days 00:00:05.060475,,,,,,,,8136.0,0.01,2m,1.6,0.4,0.5,288.0,6328.0,0.015,3m,2.2,0.6000000000000001,0.5,536.0,7120.0,0.02,5m,2.6,0.8,1.5,608.0,3312.0,0.01,1m,2.2,0.2,1.0,104.0,1264.0,0.01,1m,1.8,0.0,2.0,576.0,,,,,,,,,,,,,,,5288.0,0.015,3m,2.2,0.2,0.5,640.0,6376.0,0.015,2m,1.8,1.0,2.0,288.0,,,,,,,,3240,0.01,4m,1.8,0.6000000000000001,1.0,776,3072.0,0.015,3m,2.6,0.2,1.5,240.0,,,,,,,,2392.0,0.015,5m,1.4,0.6000000000000001,1.5,920.0,1888.0,0.01,3m,2.4000000000000004,0.4,2.0,640.0,,,,,,,,,,,,,,,,,,,,,,3848.0,0.01,2m,1.6,0.2,1.5,176.0,0.4,12,COMPLETE
40,40,-2.618769471326681,2025-06-21 19:07:43.726145,2025-06-21 19:07:47.140513,0 days 00:00:03.414368,,,,,,,,5784.0,0.02,3m,1.8,0.2,1.0,344.0,7024.0,0.02,3m,2.8,1.0,0.5,640.0,,,,,,,,4200.0,0.015,4m,1.2,0.6000000000000001,2.0,568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4944.0,0.01,4m,2.6,0.4,1.5,672.0,,,,,,,,6192,0.015,5m,2.6,0.4,1.5,432,,,,,,,,,,,,,,,4976.0,0.015,5m,2.6,0.2,0.5,976.0,2888.0,0.015,1m,1.2,0.2,1.5,304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,7,COMPLETE
41,41,-0.075336650199206,2025-06-21 19:07:47.222621,2025-06-21 19:07:52.101667,0 days 00:00:04.879046,,,,,,,,7440.0,0.01,5m,1.0,0.4,0.5,352.0,7624.0,0.015,3m,2.0,0.6000000000000001,0.5,720.0,8088.0,0.015,5m,2.6,0.2,1.5,312.0,1504.0,0.01,1m,1.8,0.4,1.0,632.0,7712.0,0.01,1m,2.2,0.4,1.5,920.0,,,,,,,,,,,,,,,2072.0,0.015,5m,2.0,0.4,1.5,408.0,5344.0,0.015,3m,2.8,0.6000000000000001,2.0,488.0,,,,,,,,4152,0.01,4m,2.8,0.2,2.0,568,,,,,,,,,,,,,,,3840.0,0.015,5m,2.2,0.4,1.0,896.0,2688.0,0.02,4m,1.8,0.0,2.0,120.0,,,,,,,,,,,,,,,,,,,,,,3472.0,0.015,3m,1.6,0.6000000000000001,0.5,136.0,0.45,11,COMPLETE
42,42,0.5048369316227714,2025-06-21 19:07:52.181288,2025-06-21 19:07:56.413139,0 days 00:00:04.231851,,,,,,,,7248.0,0.01,5m,1.2,0.4,0.5,528.0,6328.0,0.015,3m,2.0,0.6000000000000001,2.0,744.0,7200.0,0.015,5m,2.4000000000000004,0.4,1.5,200.0,2104.0,0.01,1m,2.0,0.4,1.0,712.0,7736.0,0.01,1m,2.4000000000000004,0.4,1.5,840.0,,,,,,,,,,,,,,,,,,,,,,5696.0,0.015,3m,3.0,0.8,2.0,376.0,,,,,,,,4992,0.01,4m,2.8,0.2,2.0,376,,,,,,,,,,,,,,,3984.0,0.015,5m,2.0,0.4,1.0,848.0,3288.0,0.02,4m,1.8,0.0,2.0,200.0,,,,,,,,,,,,,,,,,,,,,,4736.0,0.015,3m,1.8,0.6000000000000001,0.5,296.0,0.5,10,COMPLETE
43,43,0.07530443014435725,2025-06-21 19:07:56.499868,2025-06-21 19:08:00.955175,0 days 00:00:04.455307,,,,,,,,7048.0,0.01,5m,1.4,0.4,0.5,528.0,6360.0,0.015,5m,1.8,0.6000000000000001,2.0,768.0,7216.0,0.015,5m,2.0,0.4,2.0,200.0,2128.0,0.01,1m,2.0,0.4,1.0,712.0,6704.0,0.01,1m,2.4000000000000004,0.2,1.5,808.0,,,,,,,,,,,,,,,,,,,,,,7200.0,0.015,3m,2.8,0.8,2.0,376.0,,,,,,,,5960,0.01,4m,2.6,0.2,2.0,392,,,,,,,,,,,,,,,3176.0,0.015,5m,2.0,0.4,1.0,808.0,4456.0,0.02,5m,1.6,0.0,2.0,192.0,,,,,,,,,,,,,,,,,,,,,,4896.0,0.015,3m,2.2,0.6000000000000001,1.0,296.0,0.5,10,COMPLETE
44,44,-0.5046604120190952,2025-06-21 19:08:01.028214,2025-06-21 19:08:06.008111,0 days 00:00:04.979897,,,,,,,,7680.0,0.01,5m,2.0,0.6000000000000001,0.5,632.0,5928.0,0.015,3m,1.6,0.8,2.0,888.0,5520.0,0.015,5m,2.4000000000000004,0.4,1.5,424.0,2488.0,0.01,2m,2.4000000000000004,0.4,1.5,808.0,7632.0,0.01,1m,2.8,0.6000000000000001,1.5,672.0,,,,,,,,,,,,,,,3136.0,0.01,2m,1.6,0.6000000000000001,1.0,64.0,5600.0,0.015,3m,3.0,1.0,2.0,272.0,,,,,,,,4960,0.01,4m,3.0,0.2,2.0,336,5872.0,0.01,2m,1.6,0.2,1.5,528.0,,,,,,,,4384.0,0.015,5m,2.2,0.6000000000000001,1.0,736.0,3352.0,0.02,4m,2.0,0.2,2.0,192.0,,,,,,,,,,,,,,,,,,,,,,4600.0,0.015,3m,1.8,0.4,0.5,464.0,0.5,12,COMPLETE
45,45,-1.3104561498671925,2025-06-21 19:08:06.078673,2025-06-21 19:08:09.729590,0 days 00:00:03.650917,,,,,,,,6456.0,0.01,1m,1.2,0.2,0.5,712.0,8192.0,0.015,5m,2.2,0.4,2.0,496.0,,,,,,,,6904.0,0.01,4m,2.2,0.6000000000000001,0.5,504.0,5248.0,0.015,4m,2.0,0.4,1.0,832.0,,,,,,,,,,,,,,,,,,,,,,6800.0,0.015,3m,2.4000000000000004,0.8,2.0,856.0,,,,,,,,5504,0.01,3m,2.2,0.4,0.5,248,,,,,,,,,,,,,,,5256.0,0.015,1m,2.0,0.0,1.5,960.0,4152.0,0.02,4m,1.6,0.0,2.0,232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,8,COMPLETE
