,number,value,datetime_start,datetime_complete,duration,params_ADP_ZS_beta_win,params_ADP_ZS_stop_loss,params_ADP_ZS_trade_freq,params_ADP_ZS_z_entry,params_ADP_ZS_z_exit,params_ADP_ZS_z_stop_scaler,params_ADP_ZS_z_win,params_AMGN_PDD_beta_win,params_AMGN_PDD_stop_loss,params_AMGN_PDD_trade_freq,params_AMGN_PDD_z_entry,params_AMGN_PDD_z_exit,params_AMGN_PDD_z_stop_scaler,params_AMGN_PDD_z_win,params_AMZN_LULU_beta_win,params_AMZN_LULU_stop_loss,params_AMZN_LULU_trade_freq,params_AMZN_LULU_z_entry,params_AMZN_LULU_z_exit,params_AMZN_LULU_z_stop_scaler,params_AMZN_LULU_z_win,params_ANSS_GFS_beta_win,params_ANSS_GFS_stop_loss,params_ANSS_GFS_trade_freq,params_ANSS_GFS_z_entry,params_ANSS_GFS_z_exit,params_ANSS_GFS_z_stop_scaler,params_ANSS_GFS_z_win,params_CSCO_KLAC_beta_win,params_CSCO_KLAC_stop_loss,params_CSCO_KLAC_trade_freq,params_CSCO_KLAC_z_entry,params_CSCO_KLAC_z_exit,params_CSCO_KLAC_z_stop_scaler,params_CSCO_KLAC_z_win,params_CSX_MDB_beta_win,params_CSX_MDB_stop_loss,params_CSX_MDB_trade_freq,params_CSX_MDB_z_entry,params_CSX_MDB_z_exit,params_CSX_MDB_z_stop_scaler,params_CSX_MDB_z_win,params_CSX_SNPS_beta_win,params_CSX_SNPS_stop_loss,params_CSX_SNPS_trade_freq,params_CSX_SNPS_z_entry,params_CSX_SNPS_z_exit,params_CSX_SNPS_z_stop_scaler,params_CSX_SNPS_z_win,params_CTSH_IDXX_beta_win,params_CTSH_IDXX_stop_loss,params_CTSH_IDXX_trade_freq,params_CTSH_IDXX_z_entry,params_CTSH_IDXX_z_exit,params_CTSH_IDXX_z_stop_scaler,params_CTSH_IDXX_z_win,params_CTSH_LRCX_beta_win,params_CTSH_LRCX_stop_loss,params_CTSH_LRCX_trade_freq,params_CTSH_LRCX_z_entry,params_CTSH_LRCX_z_exit,params_CTSH_LRCX_z_stop_scaler,params_CTSH_LRCX_z_win,params_DXCM_ISRG_beta_win,params_DXCM_ISRG_stop_loss,params_DXCM_ISRG_trade_freq,params_DXCM_ISRG_z_entry,params_DXCM_ISRG_z_exit,params_DXCM_ISRG_z_stop_scaler,params_DXCM_ISRG_z_win,params_GEHC_IDXX_beta_win,params_GEHC_IDXX_stop_loss,params_GEHC_IDXX_trade_freq,params_GEHC_IDXX_z_entry,params_GEHC_IDXX_z_exit,params_GEHC_IDXX_z_stop_scaler,params_GEHC_IDXX_z_win,params_GEHC_LRCX_beta_win,params_GEHC_LRCX_stop_loss,params_GEHC_LRCX_trade_freq,params_GEHC_LRCX_z_entry,params_GEHC_LRCX_z_exit,params_GEHC_LRCX_z_stop_scaler,params_GEHC_LRCX_z_win,params_GEHC_QCOM_beta_win,params_GEHC_QCOM_stop_loss,params_GEHC_QCOM_trade_freq,params_GEHC_QCOM_z_entry,params_GEHC_QCOM_z_exit,params_GEHC_QCOM_z_stop_scaler,params_GEHC_QCOM_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_LIN_MELI_beta_win,params_LIN_MELI_stop_loss,params_LIN_MELI_trade_freq,params_LIN_MELI_z_entry,params_LIN_MELI_z_exit,params_LIN_MELI_z_stop_scaler,params_LIN_MELI_z_win,params_LIN_PDD_beta_win,params_LIN_PDD_stop_loss,params_LIN_PDD_trade_freq,params_LIN_PDD_z_entry,params_LIN_PDD_z_exit,params_LIN_PDD_z_stop_scaler,params_LIN_PDD_z_win,params_MAR_WDAY_beta_win,params_MAR_WDAY_stop_loss,params_MAR_WDAY_trade_freq,params_MAR_WDAY_z_entry,params_MAR_WDAY_z_exit,params_MAR_WDAY_z_stop_scaler,params_MAR_WDAY_z_win,params_MELI_PDD_beta_win,params_MELI_PDD_stop_loss,params_MELI_PDD_trade_freq,params_MELI_PDD_z_entry,params_MELI_PDD_z_exit,params_MELI_PDD_z_stop_scaler,params_MELI_PDD_z_win,params_MSFT_PYPL_beta_win,params_MSFT_PYPL_stop_loss,params_MSFT_PYPL_trade_freq,params_MSFT_PYPL_z_entry,params_MSFT_PYPL_z_exit,params_MSFT_PYPL_z_stop_scaler,params_MSFT_PYPL_z_win,params_VRSK_ZS_beta_win,params_VRSK_ZS_stop_loss,params_VRSK_ZS_trade_freq,params_VRSK_ZS_z_entry,params_VRSK_ZS_z_exit,params_VRSK_ZS_z_stop_scaler,params_VRSK_ZS_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-4.561768532403207,2025-06-21 19:48:32.969480,2025-06-21 19:48:38.270078,0 days 00:00:05.300598,8144.0,0.01,4m,3.0,0.0,2.0,712.0,4512.0,0.015,4m,1.0,0.0,0.5,408.0,8136.0,0.01,3m,2.0,1.0,0.5,272.0,,,,,,,,8112.0,0.02,2m,1.0,0.0,2.0,88.0,,,,,,,,4136,0.02,3m,3.0,1.0,1.0,1016,,,,,,,,7704.0,0.01,1m,1.2,1.0,0.5,992.0,1104.0,0.015,2m,2.8,1.0,2.0,992.0,7968.0,0.02,5m,2.6,0.4,0.5,64.0,7584.0,0.02,1m,1.0,0.0,0.5,1000.0,1704.0,0.02,2m,2.8,1.0,2.0,944.0,8056.0,0.01,4m,2.6,1.0,2.0,1008.0,4416.0,0.01,1m,1.0,0.4,1.0,80.0,,,,,,,,,,,,,,,4832.0,0.02,4m,2.6,1.0,0.5,968.0,5672.0,0.01,3m,2.0,1.0,0.5,344.0,1464.0,0.02,1m,2.8,1.0,2.0,144.0,0.35000000000000003,15,COMPLETE
11,11,1.0649221190958698,2025-06-21 19:48:38.333334,2025-06-21 19:48:43.038780,0 days 00:00:04.705446,8096.0,0.015,3m,2.4000000000000004,0.0,0.5,592.0,4872.0,0.015,2m,2.8,0.8,0.5,488.0,7816.0,0.015,4m,3.0,1.0,1.0,432.0,,,,,,,,6544.0,0.02,3m,1.4,0.4,0.5,632.0,,,,,,,,5168,0.02,1m,2.4000000000000004,1.0,2.0,792,,,,,,,,1272.0,0.02,3m,1.0,0.8,2.0,840.0,8144.0,0.015,2m,2.4000000000000004,0.0,1.0,952.0,1024.0,0.02,2m,2.6,1.0,1.5,552.0,,,,,,,,7984.0,0.01,2m,2.2,0.8,2.0,64.0,,,,,,,,4688.0,0.01,5m,1.6,0.6000000000000001,2.0,64.0,,,,,,,,,,,,,,,1032.0,0.01,1m,1.0,0.0,2.0,80.0,1080.0,0.01,4m,2.4000000000000004,0.0,0.5,80.0,8144.0,0.01,2m,3.0,0.0,0.5,96.0,0.5,13,COMPLETE
12,12,1.6547156738523137,2025-06-21 19:48:43.093093,2025-06-21 19:48:47.732729,0 days 00:00:04.639636,7880.0,0.015,3m,2.4000000000000004,0.0,0.5,568.0,4736.0,0.015,2m,3.0,0.8,0.5,472.0,7800.0,0.015,4m,3.0,1.0,1.0,416.0,,,,,,,,6592.0,0.02,3m,1.4,0.4,0.5,632.0,,,,,,,,4992,0.02,3m,2.4000000000000004,0.8,1.5,808,,,,,,,,1792.0,0.02,3m,1.0,0.8,2.0,872.0,7992.0,0.015,2m,2.2,0.0,1.0,1024.0,6560.0,0.02,2m,2.4000000000000004,1.0,1.0,520.0,,,,,,,,8152.0,0.01,2m,2.2,0.8,2.0,608.0,,,,,,,,4752.0,0.01,5m,1.6,0.6000000000000001,2.0,64.0,,,,,,,,,,,,,,,1136.0,0.01,1m,1.0,0.0,2.0,128.0,4592.0,0.01,4m,2.2,0.0,1.0,64.0,8024.0,0.01,2m,3.0,0.0,0.5,72.0,0.4,13,COMPLETE
13,13,1.303658730902266,2025-06-21 19:48:47.798439,2025-06-21 19:48:52.911691,0 days 00:00:05.113252,6360.0,0.015,3m,2.4000000000000004,0.2,0.5,616.0,4904.0,0.015,2m,3.0,1.0,0.5,480.0,6488.0,0.015,4m,3.0,1.0,1.0,344.0,,,,,,,,6528.0,0.02,3m,1.4,0.4,0.5,632.0,,,,,,,,5240,0.02,1m,2.6,0.8,2.0,816,,,,,,,,1176.0,0.02,3m,1.0,0.8,2.0,888.0,7896.0,0.015,2m,2.2,0.0,1.0,984.0,6208.0,0.02,2m,3.0,1.0,1.5,536.0,6880.0,0.01,4m,1.4,1.0,2.0,72.0,8048.0,0.01,2m,2.2,0.8,2.0,296.0,,,,,,,,3968.0,0.015,5m,1.8,0.4,2.0,96.0,,,,,,,,,,,,,,,1040.0,0.01,1m,1.0,0.0,2.0,64.0,4336.0,0.01,4m,2.0,0.0,0.5,64.0,8080.0,0.01,2m,3.0,0.2,0.5,64.0,0.45,14,COMPLETE
14,14,-2.605530233016836,2025-06-21 19:48:52.996352,2025-06-21 19:49:00.609547,0 days 00:00:07.613195,6136.0,0.01,3m,2.2,0.2,0.5,760.0,4608.0,0.015,2m,2.8,1.0,0.5,552.0,5912.0,0.015,4m,2.4000000000000004,1.0,1.0,64.0,3576.0,0.015,4m,2.6,0.2,0.5,624.0,5680.0,0.02,3m,1.6,0.4,0.5,568.0,7800.0,0.01,5m,1.0,0.0,0.5,64.0,5384,0.02,3m,2.8,0.8,1.5,888,4488.0,0.01,5m,1.4,0.2,2.0,560.0,2976.0,0.02,3m,1.6,0.6000000000000001,2.0,704.0,8176.0,0.015,2m,2.0,0.2,1.0,800.0,6360.0,0.02,2m,3.0,0.8,1.0,464.0,7064.0,0.01,4m,1.4,1.0,2.0,64.0,7936.0,0.01,2m,2.4000000000000004,0.8,2.0,336.0,1216.0,0.02,5m,1.0,0.8,2.0,88.0,3584.0,0.015,5m,2.0,0.4,2.0,384.0,7272.0,0.01,4m,3.0,1.0,2.0,1000.0,7408.0,0.01,3m,1.0,1.0,0.5,992.0,2856.0,0.01,1m,1.6,0.0,1.5,96.0,4304.0,0.01,3m,1.8,0.0,1.0,408.0,8120.0,0.01,2m,2.6,0.2,0.5,360.0,0.4,20,COMPLETE
15,15,-1.2278763272104252,2025-06-21 19:49:00.686938,2025-06-21 19:49:05.523128,0 days 00:00:04.836190,5848.0,0.015,5m,2.4000000000000004,0.4,0.5,472.0,5600.0,0.015,1m,3.0,0.8,0.5,64.0,6000.0,0.02,4m,3.0,0.8,1.0,416.0,,,,,,,,6968.0,0.02,3m,1.6,0.4,0.5,816.0,,,,,,,,2688,0.02,1m,2.6,0.8,2.0,672,,,,,,,,3376.0,0.015,5m,1.6,0.8,2.0,608.0,4200.0,0.015,2m,2.2,0.2,1.0,760.0,5576.0,0.02,2m,2.4000000000000004,0.8,1.5,688.0,,,,,,,,7168.0,0.01,3m,2.0,0.4,1.0,576.0,,,,,,,,3344.0,0.015,2m,1.6,0.2,2.0,600.0,,,,,,,,,,,,,,,4008.0,0.015,5m,1.0,0.4,1.5,296.0,4456.0,0.01,1m,1.6,0.2,0.5,72.0,6392.0,0.01,5m,2.4000000000000004,0.0,1.0,384.0,0.4,13,COMPLETE
16,16,-1.2145620218286648,2025-06-21 19:49:05.610133,2025-06-21 19:49:10.520091,0 days 00:00:04.909958,6160.0,0.015,3m,1.8,0.2,1.0,816.0,3720.0,0.01,4m,2.6,0.8,1.5,432.0,6712.0,0.015,4m,2.2,1.0,1.0,1008.0,,,,,,,,4784.0,0.02,4m,1.0,0.2,0.5,448.0,,,,,,,,7544,0.02,3m,3.0,0.8,1.5,912,,,,,,,,1160.0,0.02,2m,1.0,0.6000000000000001,1.5,1024.0,7064.0,0.01,2m,1.8,0.2,1.5,1024.0,8136.0,0.015,5m,3.0,1.0,0.5,416.0,5616.0,0.01,4m,1.8,0.6000000000000001,2.0,424.0,7536.0,0.01,1m,2.6,1.0,2.0,248.0,,,,,,,,5344.0,0.015,1m,1.6,0.8,1.0,216.0,,,,,,,,,,,,,,,2280.0,0.015,1m,1.8,0.0,2.0,64.0,3816.0,0.01,2m,2.4000000000000004,0.0,1.0,184.0,2608.0,0.01,3m,3.0,0.4,1.0,80.0,0.45,14,COMPLETE
17,17,0.005470343453679838,2025-06-21 19:49:10.583574,2025-06-21 19:49:16.064725,0 days 00:00:05.481151,4552.0,0.01,3m,2.6,0.2,0.5,608.0,5656.0,0.015,2m,3.0,1.0,1.0,616.0,5056.0,0.015,4m,3.0,0.4,1.0,320.0,,,,,,,,8136.0,0.01,3m,1.8,0.6000000000000001,1.5,688.0,,,,,,,,5824,0.02,1m,2.6,0.0,2.0,712,,,,,,,,2864.0,0.015,3m,3.0,1.0,2.0,808.0,5128.0,0.02,1m,2.6,0.0,1.0,776.0,6320.0,0.02,3m,2.4000000000000004,0.6000000000000001,1.0,696.0,4816.0,0.015,3m,2.0,0.6000000000000001,1.5,416.0,4432.0,0.01,2m,1.8,0.4,1.0,488.0,7584.0,0.01,1m,2.0,0.4,1.0,80.0,3168.0,0.01,4m,2.2,0.2,2.0,712.0,,,,,,,,7832.0,0.01,2m,3.0,0.0,0.5,1024.0,3680.0,0.01,1m,1.0,0.4,1.5,288.0,5304.0,0.01,4m,1.6,0.2,1.5,456.0,6808.0,0.015,2m,2.2,0.4,0.5,344.0,0.3,16,COMPLETE
18,18,-1.9186347836985904,2025-06-21 19:49:16.125957,2025-06-21 19:49:20.223719,0 days 00:00:04.097762,6976.0,0.015,3m,2.6,0.4,1.5,336.0,3648.0,0.015,2m,2.6,0.8,0.5,352.0,7248.0,0.02,2m,2.0,0.8,1.5,160.0,,,,,,,,5928.0,0.02,3m,1.2,0.2,0.5,952.0,,,,,,,,4352,0.02,3m,2.4000000000000004,0.8,1.5,840,,,,,,,,4704.0,0.02,3m,1.6,0.4,1.5,536.0,7384.0,0.015,3m,1.8,0.4,0.5,864.0,4000.0,0.015,2m,2.8,0.8,1.5,256.0,,,,,,,,1200.0,0.015,2m,2.4000000000000004,0.8,2.0,696.0,,,,,,,,6584.0,0.015,3m,1.4,0.8,0.5,408.0,,,,,,,,,,,,,,,,,,,,,,2736.0,0.01,4m,2.2,0.4,0.5,280.0,4112.0,0.01,2m,1.0,0.0,1.0,648.0,0.45,12,COMPLETE
19,19,-1.589472977016242,2025-06-21 19:49:20.300957,2025-06-21 19:49:27.682248,0 days 00:00:07.381291,5296.0,0.015,4m,2.0,0.2,1.0,920.0,3640.0,0.01,2m,2.6,1.0,1.0,736.0,5712.0,0.015,3m,2.6,0.4,0.5,424.0,8104.0,0.01,5m,1.0,1.0,2.0,64.0,4608.0,0.015,2m,2.0,0.6000000000000001,1.0,488.0,1056.0,0.02,3m,3.0,1.0,2.0,992.0,3576,0.01,1m,2.8,1.0,2.0,312,1104.0,0.02,1m,3.0,1.0,0.5,72.0,6256.0,0.01,3m,1.4,0.8,1.0,456.0,5216.0,0.015,5m,2.2,1.0,1.5,632.0,7200.0,0.02,2m,2.2,1.0,1.5,440.0,6136.0,0.015,4m,1.0,1.0,2.0,728.0,8152.0,0.01,2m,3.0,0.8,2.0,248.0,6072.0,0.015,1m,2.0,0.6000000000000001,1.5,984.0,4320.0,0.01,5m,2.4000000000000004,0.4,2.0,184.0,7952.0,0.02,2m,1.0,0.0,0.5,112.0,5416.0,0.015,5m,1.0,0.4,2.0,72.0,6248.0,0.015,1m,2.2,0.2,1.0,656.0,4880.0,0.01,4m,2.0,0.0,1.0,800.0,7264.0,0.02,2m,2.0,0.2,1.5,248.0,0.3,20,COMPLETE
20,20,-0.7910995672580057,2025-06-21 19:49:27.748915,2025-06-21 19:49:31.848340,0 days 00:00:04.099425,7096.0,0.01,5m,2.6,0.0,0.5,416.0,5416.0,0.015,4m,1.4,0.8,0.5,528.0,3728.0,0.02,4m,1.6,1.0,1.0,344.0,,,,,,,,7080.0,0.02,4m,1.4,1.0,2.0,832.0,,,,,,,,4768,0.02,2m,1.8,0.6000000000000001,1.5,600,,,,,,,,2248.0,0.02,1m,2.0,0.4,2.0,856.0,2392.0,0.01,4m,2.6,0.4,1.0,184.0,5952.0,0.015,2m,2.8,0.6000000000000001,1.0,136.0,,,,,,,,6496.0,0.015,3m,1.8,0.4,1.0,456.0,,,,,,,,2440.0,0.02,5m,1.8,0.8,1.0,776.0,,,,,,,,,,,,,,,,,,,,,,4120.0,0.01,3m,2.6,0.2,0.5,160.0,,,,,,,,0.45,11,COMPLETE
21,21,2.6448026067033465,2025-06-21 19:49:31.918001,2025-06-21 19:49:36.987671,0 days 00:00:05.069670,8192.0,0.015,3m,2.2,0.0,0.5,616.0,5200.0,0.015,2m,2.8,0.8,0.5,480.0,7688.0,0.015,4m,3.0,1.0,1.0,456.0,,,,,,,,6592.0,0.02,3m,1.4,0.4,0.5,624.0,,,,,,,,5232,0.02,1m,2.4000000000000004,1.0,2.0,824,,,,,,,,1112.0,0.02,3m,1.0,0.8,2.0,864.0,8192.0,0.015,2m,2.4000000000000004,0.0,1.0,920.0,4008.0,0.02,2m,2.6,1.0,1.5,552.0,8168.0,0.01,5m,1.6,0.2,1.0,240.0,7480.0,0.01,2m,2.2,0.8,2.0,112.0,,,,,,,,5064.0,0.01,5m,1.6,0.6000000000000001,2.0,64.0,,,,,,,,,,,,,,,1472.0,0.01,1m,1.0,0.0,2.0,64.0,2624.0,0.01,4m,2.2,0.0,0.5,72.0,8144.0,0.01,2m,3.0,0.0,0.5,80.0,0.5,14,COMPLETE
22,22,-0.47090203510945494,2025-06-21 19:49:37.051472,2025-06-21 19:49:42.329996,0 days 00:00:05.278524,7552.0,0.015,3m,2.2,0.0,0.5,672.0,6368.0,0.015,2m,2.8,1.0,0.5,456.0,7320.0,0.015,4m,2.8,0.8,1.0,512.0,,,,,,,,5256.0,0.02,3m,1.4,0.2,0.5,632.0,,,,,,,,5584,0.02,1m,2.4000000000000004,1.0,2.0,1024,,,,,,,,2192.0,0.02,3m,1.0,0.8,2.0,872.0,7488.0,0.015,2m,2.2,0.0,1.0,904.0,4184.0,0.02,2m,2.8,1.0,1.5,648.0,8168.0,0.01,5m,1.6,0.2,1.0,240.0,7312.0,0.01,2m,2.4000000000000004,1.0,2.0,144.0,1664.0,0.01,4m,2.6,1.0,1.5,448.0,5584.0,0.01,5m,1.4,0.6000000000000001,2.0,64.0,,,,,,,,,,,,,,,1088.0,0.01,1m,1.4,0.0,2.0,216.0,2448.0,0.01,4m,2.2,0.0,0.5,160.0,7992.0,0.01,2m,3.0,0.0,0.5,64.0,0.45,15,COMPLETE
23,23,0.3605157234558289,2025-06-21 19:49:42.409423,2025-06-21 19:49:45.693206,0 days 00:00:03.283783,6568.0,0.015,3m,2.0,0.2,0.5,584.0,4208.0,0.015,2m,3.0,0.8,0.5,568.0,7400.0,0.015,4m,2.8,1.0,1.0,616.0,,,,,,,,6424.0,0.02,3m,1.8,0.4,0.5,720.0,,,,,,,,6792,0.02,1m,2.2,0.8,2.0,856,,,,,,,,,,,,,,,,,,,,,,3648.0,0.02,2m,2.2,0.8,2.0,520.0,,,,,,,,7480.0,0.01,2m,2.2,0.6000000000000001,1.5,312.0,,,,,,,,4936.0,0.01,5m,1.8,0.2,1.5,168.0,,,,,,,,,,,,,,,,,,,,,,6592.0,0.01,4m,1.8,0.2,1.0,64.0,,,,,,,,0.35000000000000003,9,COMPLETE
24,24,-1.1714129104989754,2025-06-21 19:49:45.751944,2025-06-21 19:49:52.223826,0 days 00:00:06.471882,8184.0,0.015,1m,2.4000000000000004,0.4,1.0,656.0,6128.0,0.015,2m,2.8,0.6000000000000001,1.0,376.0,6392.0,0.015,4m,3.0,0.8,1.5,480.0,,,,,,,,7408.0,0.015,1m,1.2,0.6000000000000001,1.0,552.0,4296.0,0.01,1m,1.8,0.0,0.5,520.0,4936,0.02,1m,2.8,1.0,1.5,672,,,,,,,,1960.0,0.015,3m,1.2,1.0,1.5,744.0,8120.0,0.015,2m,2.4000000000000004,0.2,1.5,1024.0,5072.0,0.02,2m,2.8,1.0,1.5,752.0,6648.0,0.015,5m,1.4,0.2,0.5,248.0,8184.0,0.01,2m,2.0,0.8,2.0,160.0,5424.0,0.02,2m,1.4,0.0,1.0,728.0,4112.0,0.015,5m,1.8,0.4,2.0,296.0,1120.0,0.02,5m,3.0,1.0,2.0,904.0,1096.0,0.015,2m,2.0,0.6000000000000001,1.0,696.0,2312.0,0.01,1m,1.2,0.2,2.0,200.0,5088.0,0.015,2m,2.2,0.0,0.5,280.0,5696.0,0.01,2m,2.6,0.2,0.5,216.0,0.5,18,COMPLETE
25,25,-2.026244636167056,2025-06-21 19:49:52.294246,2025-06-21 19:49:57.203917,0 days 00:00:04.909671,3544.0,0.015,3m,1.8,0.0,0.5,824.0,4976.0,0.01,1m,2.4000000000000004,1.0,0.5,240.0,7488.0,0.015,4m,2.4000000000000004,1.0,0.5,376.0,,,,,,,,6008.0,0.02,3m,2.0,0.2,0.5,360.0,,,,,,,,6080,0.02,4m,2.4000000000000004,0.8,2.0,800,,,,,,,,3872.0,0.02,5m,1.4,0.6000000000000001,2.0,936.0,7016.0,0.02,2m,1.8,0.0,0.5,872.0,5128.0,0.02,3m,2.2,0.8,1.0,384.0,,,,,,,,6112.0,0.01,5m,1.8,0.6000000000000001,1.5,648.0,,,,,,,,6816.0,0.01,1m,1.4,0.8,1.5,136.0,,,,,,,,,,,,,,,1992.0,0.01,5m,1.4,0.2,1.5,432.0,3536.0,0.01,1m,1.8,0.0,1.0,352.0,7360.0,0.015,5m,2.6,0.0,1.0,600.0,0.4,13,COMPLETE
26,26,-0.36854555637846054,2025-06-21 19:49:57.262995,2025-06-21 19:50:01.516171,0 days 00:00:04.253176,5320.0,0.01,3m,2.8,0.2,1.0,512.0,5240.0,0.02,3m,3.0,0.8,1.0,488.0,5248.0,0.015,4m,2.8,1.0,1.0,264.0,,,,,,,,4584.0,0.015,3m,1.6,0.4,1.0,592.0,,,,,,,,3208,0.02,3m,2.6,0.6000000000000001,1.0,64,,,,,,,,1112.0,0.02,2m,1.2,0.8,1.5,680.0,7528.0,0.015,2m,2.6,0.2,1.0,704.0,3288.0,0.015,5m,2.6,1.0,1.5,584.0,,,,,,,,4656.0,0.01,1m,2.6,1.0,2.0,272.0,,,,,,,,5032.0,0.015,4m,2.2,0.6000000000000001,2.0,288.0,,,,,,,,,,,,,,,,,,,,,,2544.0,0.015,4m,2.6,0.2,0.5,160.0,,,,,,,,0.45,11,COMPLETE
27,27,-1.188125212561614,2025-06-21 19:50:01.598731,2025-06-21 19:50:07.182008,0 days 00:00:05.583277,7408.0,0.02,3m,2.2,0.0,0.5,360.0,4104.0,0.015,2m,2.6,0.6000000000000001,0.5,664.0,2296.0,0.015,3m,2.4000000000000004,0.8,1.5,640.0,,,,,,,,4016.0,0.02,3m,1.2,0.6000000000000001,0.5,864.0,,,,,,,,4408,0.015,1m,2.2,1.0,1.5,936,,,,,,,,2104.0,0.015,3m,1.0,0.6000000000000001,2.0,920.0,5904.0,0.015,2m,2.0,0.0,1.0,264.0,6824.0,0.02,2m,3.0,0.8,2.0,504.0,7936.0,0.01,1m,2.2,0.8,1.0,216.0,7296.0,0.015,2m,2.2,0.8,2.0,576.0,3072.0,0.015,5m,3.0,0.4,0.5,320.0,3816.0,0.01,3m,1.2,0.4,2.0,488.0,,,,,,,,,,,,,,,2904.0,0.015,2m,1.0,0.8,2.0,176.0,1136.0,0.01,4m,1.6,1.0,1.5,232.0,7160.0,0.01,1m,3.0,0.6000000000000001,0.5,224.0,0.5,15,COMPLETE
28,28,-0.11151705455017599,2025-06-21 19:50:07.261249,2025-06-21 19:50:13.893625,0 days 00:00:06.632376,6696.0,0.015,4m,1.6,0.4,1.5,728.0,6888.0,0.015,2m,2.8,1.0,1.5,576.0,6432.0,0.01,2m,3.0,0.6000000000000001,1.0,144.0,,,,,,,,7480.0,0.02,4m,1.8,0.2,1.5,456.0,7744.0,0.015,1m,2.4000000000000004,1.0,1.5,504.0,7184,0.02,1m,1.8,0.4,2.0,720,,,,,,,,5584.0,0.02,3m,2.0,1.0,1.5,120.0,6880.0,0.015,4m,2.4000000000000004,0.4,1.5,912.0,7464.0,0.02,2m,2.4000000000000004,1.0,1.0,864.0,3896.0,0.01,3m,1.4,0.0,1.5,352.0,6832.0,0.01,2m,2.6,0.8,1.5,416.0,6584.0,0.01,3m,1.6,0.6000000000000001,1.5,792.0,2856.0,0.01,5m,1.6,0.2,1.5,128.0,,,,,,,,5312.0,0.01,4m,2.4000000000000004,1.0,1.5,592.0,1040.0,0.01,3m,2.0,0.0,1.0,64.0,3136.0,0.01,4m,2.0,0.4,1.0,136.0,3896.0,0.01,3m,2.8,0.2,1.0,488.0,0.35000000000000003,17,COMPLETE
29,29,0.7966904165806128,2025-06-21 19:50:13.956424,2025-06-21 19:50:18.429445,0 days 00:00:04.473021,7696.0,0.015,3m,1.0,0.2,0.5,440.0,3064.0,0.01,3m,2.2,0.4,0.5,632.0,7800.0,0.02,4m,2.6,1.0,0.5,480.0,,,,,,,,6512.0,0.015,2m,1.0,0.4,0.5,680.0,,,,,,,,3640,0.015,3m,2.6,0.8,2.0,632,,,,,,,,1696.0,0.015,3m,1.4,0.8,0.5,760.0,7696.0,0.01,2m,2.0,0.8,0.5,840.0,6112.0,0.015,2m,2.8,0.6000000000000001,0.5,608.0,,,,,,,,7656.0,0.01,2m,2.4000000000000004,0.6000000000000001,2.0,152.0,,,,,,,,7232.0,0.015,2m,2.0,0.6000000000000001,2.0,264.0,,,,,,,,,,,,,,,,,,,,,,4568.0,0.015,4m,2.6,0.8,0.5,336.0,6008.0,0.015,2m,2.8,0.4,0.5,192.0,0.4,12,COMPLETE
30,30,-0.14391763910163136,2025-06-21 19:50:18.508321,2025-06-21 19:50:23.610857,0 days 00:00:05.102536,5176.0,0.01,1m,2.2,0.6000000000000001,1.0,544.0,1864.0,0.015,2m,3.0,0.8,1.0,272.0,7040.0,0.015,4m,2.2,0.8,1.0,304.0,,,,,,,,5384.0,0.02,3m,1.4,0.6000000000000001,1.0,752.0,,,,,,,,5336,0.02,2m,2.8,1.0,1.5,456,,,,,,,,2632.0,0.02,2m,1.8,0.4,2.0,640.0,5520.0,0.02,5m,3.0,0.2,1.0,696.0,5560.0,0.02,2m,2.0,0.8,1.0,760.0,5512.0,0.015,2m,2.2,0.4,1.0,608.0,6840.0,0.01,4m,1.6,0.2,1.5,864.0,,,,,,,,5688.0,0.01,5m,1.2,0.8,1.5,144.0,,,,,,,,,,,,,,,1968.0,0.01,4m,1.2,0.2,2.0,712.0,3848.0,0.01,5m,1.0,0.0,1.5,720.0,7568.0,0.01,2m,2.4000000000000004,1.0,1.0,280.0,0.2,14,COMPLETE
31,31,1.4572869233735684,2025-06-21 19:50:23.661353,2025-06-21 19:50:28.565006,0 days 00:00:04.903653,7984.0,0.015,3m,2.4000000000000004,0.0,0.5,608.0,4768.0,0.015,2m,2.8,0.8,0.5,488.0,7800.0,0.015,4m,3.0,1.0,1.0,416.0,,,,,,,,6568.0,0.02,3m,1.4,0.4,0.5,640.0,,,,,,,,5144,0.02,1m,2.4000000000000004,1.0,2.0,784,,,,,,,,1120.0,0.02,3m,1.0,0.8,2.0,832.0,8136.0,0.015,2m,2.4000000000000004,0.0,1.0,960.0,2136.0,0.02,2m,2.6,1.0,1.5,480.0,,,,,,,,8192.0,0.01,2m,2.2,0.8,2.0,72.0,,,,,,,,4640.0,0.01,5m,1.6,0.6000000000000001,2.0,64.0,,,,,,,,,,,,,,,1048.0,0.01,1m,1.0,0.0,2.0,152.0,1048.0,0.01,4m,2.4000000000000004,0.0,0.5,64.0,8168.0,0.01,2m,3.0,0.0,0.5,64.0,0.5,13,COMPLETE
