,number,value,datetime_start,datetime_complete,duration,params_AAPL_DDOG_beta_win,params_AAPL_DDOG_stop_loss,params_AAPL_DDOG_trade_freq,params_AAPL_DDOG_z_entry,params_AAPL_DDOG_z_exit,params_AAPL_DDOG_z_stop_scaler,params_AAPL_DDOG_z_win,params_AAPL_MCHP_beta_win,params_AAPL_MCHP_stop_loss,params_AAPL_MCHP_trade_freq,params_AAPL_MCHP_z_entry,params_AAPL_MCHP_z_exit,params_AAPL_MCHP_z_stop_scaler,params_AAPL_MCHP_z_win,params_AAPL_PYPL_beta_win,params_AAPL_PYPL_stop_loss,params_AAPL_PYPL_trade_freq,params_AAPL_PYPL_z_entry,params_AAPL_PYPL_z_exit,params_AAPL_PYPL_z_stop_scaler,params_AAPL_PYPL_z_win,params_ABNB_ON_beta_win,params_ABNB_ON_stop_loss,params_ABNB_ON_trade_freq,params_ABNB_ON_z_entry,params_ABNB_ON_z_exit,params_ABNB_ON_z_stop_scaler,params_ABNB_ON_z_win,params_ADI_DDOG_beta_win,params_ADI_DDOG_stop_loss,params_ADI_DDOG_trade_freq,params_ADI_DDOG_z_entry,params_ADI_DDOG_z_exit,params_ADI_DDOG_z_stop_scaler,params_ADI_DDOG_z_win,params_ADI_PYPL_beta_win,params_ADI_PYPL_stop_loss,params_ADI_PYPL_trade_freq,params_ADI_PYPL_z_entry,params_ADI_PYPL_z_exit,params_ADI_PYPL_z_stop_scaler,params_ADI_PYPL_z_win,params_ADP_CMCSA_beta_win,params_ADP_CMCSA_stop_loss,params_ADP_CMCSA_trade_freq,params_ADP_CMCSA_z_entry,params_ADP_CMCSA_z_exit,params_ADP_CMCSA_z_stop_scaler,params_ADP_CMCSA_z_win,params_ADP_MAR_beta_win,params_ADP_MAR_stop_loss,params_ADP_MAR_trade_freq,params_ADP_MAR_z_entry,params_ADP_MAR_z_exit,params_ADP_MAR_z_stop_scaler,params_ADP_MAR_z_win,params_ANSS_PYPL_beta_win,params_ANSS_PYPL_stop_loss,params_ANSS_PYPL_trade_freq,params_ANSS_PYPL_z_entry,params_ANSS_PYPL_z_exit,params_ANSS_PYPL_z_stop_scaler,params_ANSS_PYPL_z_win,params_CDNS_ZS_beta_win,params_CDNS_ZS_stop_loss,params_CDNS_ZS_trade_freq,params_CDNS_ZS_z_entry,params_CDNS_ZS_z_exit,params_CDNS_ZS_z_stop_scaler,params_CDNS_ZS_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_CSGP_PYPL_beta_win,params_CSGP_PYPL_stop_loss,params_CSGP_PYPL_trade_freq,params_CSGP_PYPL_z_entry,params_CSGP_PYPL_z_exit,params_CSGP_PYPL_z_stop_scaler,params_CSGP_PYPL_z_win,params_DDOG_PYPL_beta_win,params_DDOG_PYPL_stop_loss,params_DDOG_PYPL_trade_freq,params_DDOG_PYPL_z_entry,params_DDOG_PYPL_z_exit,params_DDOG_PYPL_z_stop_scaler,params_DDOG_PYPL_z_win,params_EXC_ORLY_beta_win,params_EXC_ORLY_stop_loss,params_EXC_ORLY_trade_freq,params_EXC_ORLY_z_entry,params_EXC_ORLY_z_exit,params_EXC_ORLY_z_stop_scaler,params_EXC_ORLY_z_win,params_IDXX_PYPL_beta_win,params_IDXX_PYPL_stop_loss,params_IDXX_PYPL_trade_freq,params_IDXX_PYPL_z_entry,params_IDXX_PYPL_z_exit,params_IDXX_PYPL_z_stop_scaler,params_IDXX_PYPL_z_win,params_INTU_VRSK_beta_win,params_INTU_VRSK_stop_loss,params_INTU_VRSK_trade_freq,params_INTU_VRSK_z_entry,params_INTU_VRSK_z_exit,params_INTU_VRSK_z_stop_scaler,params_INTU_VRSK_z_win,params_ISRG_PYPL_beta_win,params_ISRG_PYPL_stop_loss,params_ISRG_PYPL_trade_freq,params_ISRG_PYPL_z_entry,params_ISRG_PYPL_z_exit,params_ISRG_PYPL_z_stop_scaler,params_ISRG_PYPL_z_win,params_MCHP_PYPL_beta_win,params_MCHP_PYPL_stop_loss,params_MCHP_PYPL_trade_freq,params_MCHP_PYPL_z_entry,params_MCHP_PYPL_z_exit,params_MCHP_PYPL_z_stop_scaler,params_MCHP_PYPL_z_win,params_PYPL_TXN_beta_win,params_PYPL_TXN_stop_loss,params_PYPL_TXN_trade_freq,params_PYPL_TXN_z_entry,params_PYPL_TXN_z_exit,params_PYPL_TXN_z_stop_scaler,params_PYPL_TXN_z_win,params_PYPL_ZM_beta_win,params_PYPL_ZM_stop_loss,params_PYPL_ZM_trade_freq,params_PYPL_ZM_z_entry,params_PYPL_ZM_z_exit,params_PYPL_ZM_z_stop_scaler,params_PYPL_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-3.255469927844523,2025-06-21 19:34:21.207067,2025-06-21 19:34:26.882540,0 days 00:00:05.675473,7584.0,0.02,1m,1.0,0.0,0.5,1000.0,7704.0,0.01,1m,1.2,1.0,0.5,992.0,7968.0,0.02,5m,2.6,0.4,0.5,64.0,,,,,,,,,,,,,,,5672.0,0.01,3m,2.0,1.0,0.5,344.0,8136.0,0.01,3m,2.0,1.0,0.5,272.0,,,,,,,,4512.0,0.015,4m,1.0,0.0,0.5,408.0,4832.0,0.02,4m,2.6,1.0,0.5,968.0,1104.0,0.015,2m,2.8,1.0,2.0,992.0,8144.0,0.01,4m,3.0,0.0,2.0,712.0,4136,0.02,3m,3.0,1.0,1.0,1016,8056.0,0.01,4m,2.6,1.0,2.0,1008.0,,,,,,,,1464.0,0.02,1m,2.8,1.0,2.0,144.0,1704.0,0.02,2m,2.8,1.0,2.0,944.0,4416.0,0.01,1m,1.0,0.4,1.0,80.0,8112.0,0.02,2m,1.0,0.0,2.0,88.0,,,,,,,,0.35000000000000003,15,COMPLETE
11,11,0.014646991558094609,2025-06-21 19:34:26.953370,2025-06-21 19:34:27.954116,0 days 00:00:01.000746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3688.0,0.02,3m,1.0,0.8,0.5,96.0,,,,,,,,,,,,,,,,,,,,,,5168,0.02,3m,2.4000000000000004,0.0,1.0,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
12,12,0.022830011513772622,2025-06-21 19:34:28.028949,2025-06-21 19:34:33.243894,0 days 00:00:05.214945,,,,,,,,1448.0,0.02,3m,1.0,0.8,2.0,824.0,6528.0,0.02,4m,2.4000000000000004,0.2,1.0,464.0,,,,,,,,,,,,,,,7768.0,0.01,1m,2.4000000000000004,1.0,1.0,792.0,5624.0,0.015,4m,1.4,1.0,1.0,976.0,,,,,,,,1320.0,0.02,3m,1.2,0.8,0.5,440.0,1224.0,0.01,5m,1.0,0.0,2.0,80.0,8184.0,0.015,2m,2.2,0.0,1.0,1024.0,8176.0,0.015,3m,2.4000000000000004,0.0,0.5,584.0,3552,0.02,3m,1.0,0.0,0.5,768,,,,,,,,,,,,,,,8096.0,0.01,3m,3.0,0.0,0.5,96.0,3464.0,0.02,3m,2.2,0.4,1.0,728.0,4680.0,0.01,5m,1.6,0.6000000000000001,2.0,384.0,6760.0,0.02,3m,1.4,0.4,0.5,616.0,,,,,,,,0.35000000000000003,13,COMPLETE
13,13,0.09657503152544938,2025-06-21 19:34:33.326526,2025-06-21 19:34:35.468868,0 days 00:00:02.142342,,,,,,,,,,,,,,,3320.0,0.02,4m,1.6,0.2,1.0,512.0,,,,,,,,,,,,,,,8152.0,0.02,1m,2.6,0.8,1.0,360.0,,,,,,,,,,,,,,,3136.0,0.02,2m,1.4,0.0,1.0,224.0,,,,,,,,,,,,,,,,,,,,,,7896,0.02,1m,2.8,0.2,1.0,680,,,,,,,,,,,,,,,,,,,,,,3736.0,0.02,3m,2.2,0.8,1.0,696.0,,,,,,,,,,,,,,,,,,,,,,0.3,5,COMPLETE
14,14,0.4575657903846003,2025-06-21 19:34:35.546170,2025-06-21 19:34:38.817300,0 days 00:00:03.271130,,,,,,,,,,,,,,,1584.0,0.02,4m,2.2,0.6000000000000001,1.0,352.0,,,,,,,,,,,,,,,6768.0,0.01,1m,2.0,0.8,1.5,784.0,8152.0,0.01,5m,2.2,0.8,1.0,392.0,,,,,,,,1088.0,0.015,4m,3.0,0.4,1.5,408.0,,,,,,,,,,,,,,,6256.0,0.01,5m,2.4000000000000004,0.2,1.5,792.0,5576,0.01,3m,1.8,0.8,1.5,864,,,,,,,,,,,,,,,,,,,,,,2040.0,0.02,3m,1.8,0.4,2.0,600.0,5432.0,0.015,2m,1.6,0.4,0.5,112.0,,,,,,,,,,,,,,,0.2,8,COMPLETE
15,15,0.40951729618986116,2025-06-21 19:34:38.890869,2025-06-21 19:34:40.526198,0 days 00:00:01.635329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7032.0,0.015,2m,1.6,0.8,1.0,424.0,,,,,,,,,,,,,,,4272.0,0.02,1m,1.4,0.8,0.5,304.0,,,,,,,,,,,,,,,,,,,,,,2152,0.02,5m,1.4,0.4,0.5,632,,,,,,,,,,,,,,,,,,,,,,7880.0,0.02,2m,2.4000000000000004,0.8,1.0,840.0,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
16,16,-0.459457962189115,2025-06-21 19:34:40.580118,2025-06-21 19:34:45.792717,0 days 00:00:05.212599,,,,,,,,7528.0,0.01,5m,3.0,0.4,0.5,632.0,6168.0,0.02,4m,1.8,0.2,0.5,640.0,,,,,,,,,,,,,,,4928.0,0.02,3m,2.6,0.6000000000000001,1.5,752.0,6408.0,0.015,4m,2.0,0.4,0.5,96.0,,,,,,,,5424.0,0.015,3m,2.8,0.6000000000000001,1.0,72.0,8080.0,0.015,1m,2.0,1.0,1.0,912.0,3384.0,0.01,4m,2.2,1.0,1.0,64.0,5896.0,0.02,1m,2.4000000000000004,0.4,2.0,440.0,6840,0.02,3m,2.4000000000000004,0.6000000000000001,1.0,320,,,,,,,,,,,,,,,1104.0,0.02,2m,1.0,1.0,2.0,496.0,2608.0,0.02,1m,2.6,0.2,1.5,560.0,3512.0,0.01,1m,2.4000000000000004,0.8,1.0,656.0,5088.0,0.01,4m,1.8,0.4,2.0,992.0,,,,,,,,0.3,13,COMPLETE
17,17,0.009321157898095043,2025-06-21 19:34:45.881175,2025-06-21 19:34:46.466889,0 days 00:00:00.585714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4152,0.01,5m,1.2,0.8,0.5,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
18,18,-0.46499689793476323,2025-06-21 19:34:46.546904,2025-06-21 19:34:50.094941,0 days 00:00:03.548037,,,,,,,,,,,,,,,4152.0,0.02,5m,2.8,0.4,1.5,424.0,,,,,,,,,,,,,,,4432.0,0.015,4m,3.0,0.8,0.5,208.0,2984.0,0.02,3m,1.2,0.8,1.0,984.0,,,,,,,,2104.0,0.02,2m,1.8,0.2,0.5,488.0,,,,,,,,,,,,,,,6240.0,0.015,4m,1.8,0.4,1.5,432.0,4664,0.015,1m,2.2,0.2,1.0,632,,,,,,,,,,,,,,,,,,,,,,4392.0,0.015,3m,1.8,0.8,1.0,880.0,6640.0,0.015,3m,1.4,0.2,2.0,312.0,5000.0,0.02,2m,1.8,1.0,0.5,72.0,,,,,,,,0.2,9,COMPLETE
19,19,0.49466918687481215,2025-06-21 19:34:50.177749,2025-06-21 19:34:52.092327,0 days 00:00:01.914578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7232.0,0.02,1m,2.4000000000000004,1.0,2.0,488.0,,,,,,,,,,,,,,,3160.0,0.02,3m,2.6,1.0,1.0,304.0,,,,,,,,,,,,,,,,,,,,,,5896,0.015,4m,1.8,0.0,1.5,904,,,,,,,,,,,,,,,,,,,,,,1144.0,0.02,2m,1.0,0.2,2.0,664.0,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
