,number,value,datetime_start,datetime_complete,duration,params_AAPL_DDOG_beta_win,params_AAPL_DDOG_stop_loss,params_AAPL_DDOG_trade_freq,params_AAPL_DDOG_z_entry,params_AAPL_DDOG_z_exit,params_AAPL_DDOG_z_stop_scaler,params_AAPL_DDOG_z_win,params_AAPL_MCHP_beta_win,params_AAPL_MCHP_stop_loss,params_AAPL_MCHP_trade_freq,params_AAPL_MCHP_z_entry,params_AAPL_MCHP_z_exit,params_AAPL_MCHP_z_stop_scaler,params_AAPL_MCHP_z_win,params_AAPL_PYPL_beta_win,params_AAPL_PYPL_stop_loss,params_AAPL_PYPL_trade_freq,params_AAPL_PYPL_z_entry,params_AAPL_PYPL_z_exit,params_AAPL_PYPL_z_stop_scaler,params_AAPL_PYPL_z_win,params_ABNB_ON_beta_win,params_ABNB_ON_stop_loss,params_ABNB_ON_trade_freq,params_ABNB_ON_z_entry,params_ABNB_ON_z_exit,params_ABNB_ON_z_stop_scaler,params_ABNB_ON_z_win,params_ADI_DDOG_beta_win,params_ADI_DDOG_stop_loss,params_ADI_DDOG_trade_freq,params_ADI_DDOG_z_entry,params_ADI_DDOG_z_exit,params_ADI_DDOG_z_stop_scaler,params_ADI_DDOG_z_win,params_ADI_PYPL_beta_win,params_ADI_PYPL_stop_loss,params_ADI_PYPL_trade_freq,params_ADI_PYPL_z_entry,params_ADI_PYPL_z_exit,params_ADI_PYPL_z_stop_scaler,params_ADI_PYPL_z_win,params_ADP_CMCSA_beta_win,params_ADP_CMCSA_stop_loss,params_ADP_CMCSA_trade_freq,params_ADP_CMCSA_z_entry,params_ADP_CMCSA_z_exit,params_ADP_CMCSA_z_stop_scaler,params_ADP_CMCSA_z_win,params_ADP_MAR_beta_win,params_ADP_MAR_stop_loss,params_ADP_MAR_trade_freq,params_ADP_MAR_z_entry,params_ADP_MAR_z_exit,params_ADP_MAR_z_stop_scaler,params_ADP_MAR_z_win,params_ANSS_PYPL_beta_win,params_ANSS_PYPL_stop_loss,params_ANSS_PYPL_trade_freq,params_ANSS_PYPL_z_entry,params_ANSS_PYPL_z_exit,params_ANSS_PYPL_z_stop_scaler,params_ANSS_PYPL_z_win,params_CDNS_ZS_beta_win,params_CDNS_ZS_stop_loss,params_CDNS_ZS_trade_freq,params_CDNS_ZS_z_entry,params_CDNS_ZS_z_exit,params_CDNS_ZS_z_stop_scaler,params_CDNS_ZS_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_CSGP_PYPL_beta_win,params_CSGP_PYPL_stop_loss,params_CSGP_PYPL_trade_freq,params_CSGP_PYPL_z_entry,params_CSGP_PYPL_z_exit,params_CSGP_PYPL_z_stop_scaler,params_CSGP_PYPL_z_win,params_DDOG_PYPL_beta_win,params_DDOG_PYPL_stop_loss,params_DDOG_PYPL_trade_freq,params_DDOG_PYPL_z_entry,params_DDOG_PYPL_z_exit,params_DDOG_PYPL_z_stop_scaler,params_DDOG_PYPL_z_win,params_EXC_ORLY_beta_win,params_EXC_ORLY_stop_loss,params_EXC_ORLY_trade_freq,params_EXC_ORLY_z_entry,params_EXC_ORLY_z_exit,params_EXC_ORLY_z_stop_scaler,params_EXC_ORLY_z_win,params_IDXX_PYPL_beta_win,params_IDXX_PYPL_stop_loss,params_IDXX_PYPL_trade_freq,params_IDXX_PYPL_z_entry,params_IDXX_PYPL_z_exit,params_IDXX_PYPL_z_stop_scaler,params_IDXX_PYPL_z_win,params_INTU_VRSK_beta_win,params_INTU_VRSK_stop_loss,params_INTU_VRSK_trade_freq,params_INTU_VRSK_z_entry,params_INTU_VRSK_z_exit,params_INTU_VRSK_z_stop_scaler,params_INTU_VRSK_z_win,params_ISRG_PYPL_beta_win,params_ISRG_PYPL_stop_loss,params_ISRG_PYPL_trade_freq,params_ISRG_PYPL_z_entry,params_ISRG_PYPL_z_exit,params_ISRG_PYPL_z_stop_scaler,params_ISRG_PYPL_z_win,params_MCHP_PYPL_beta_win,params_MCHP_PYPL_stop_loss,params_MCHP_PYPL_trade_freq,params_MCHP_PYPL_z_entry,params_MCHP_PYPL_z_exit,params_MCHP_PYPL_z_stop_scaler,params_MCHP_PYPL_z_win,params_PYPL_TXN_beta_win,params_PYPL_TXN_stop_loss,params_PYPL_TXN_trade_freq,params_PYPL_TXN_z_entry,params_PYPL_TXN_z_exit,params_PYPL_TXN_z_stop_scaler,params_PYPL_TXN_z_win,params_PYPL_ZM_beta_win,params_PYPL_ZM_stop_loss,params_PYPL_ZM_trade_freq,params_PYPL_ZM_z_entry,params_PYPL_ZM_z_exit,params_PYPL_ZM_z_stop_scaler,params_PYPL_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-0.5045145950300922,2025-06-21 19:34:52.161323,2025-06-21 19:34:56.797631,0 days 00:00:04.636308,,,,,,,,4272.0,0.015,2m,1.6,0.6000000000000001,2.0,64.0,6872.0,0.015,3m,1.2,0.2,1.0,216.0,,,,,,,,,,,,,,,8176.0,0.01,1m,2.8,0.4,1.5,80.0,4736.0,0.01,2m,3.0,0.4,0.5,384.0,,,,,,,,5392.0,0.015,2m,2.0,0.0,1.5,184.0,,,,,,,,2008.0,0.02,3m,1.8,0.2,1.5,744.0,4232.0,0.02,3m,2.8,0.2,0.5,976.0,7392,0.02,2m,2.6,0.4,0.5,432,,,,,,,,,,,,,,,3440.0,0.01,5m,2.4000000000000004,0.6000000000000001,1.0,528.0,4432.0,0.01,3m,3.0,0.4,1.0,440.0,3264.0,0.01,4m,2.2,0.8,1.0,768.0,6880.0,0.01,3m,1.0,0.2,1.5,504.0,,,,,,,,0.35000000000000003,12,COMPLETE
21,21,0.6021381521132926,2025-06-21 19:34:56.869735,2025-06-21 19:34:58.714249,0 days 00:00:01.844514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7304.0,0.02,1m,2.2,1.0,2.0,424.0,,,,,,,,,,,,,,,3376.0,0.02,3m,2.6,1.0,1.0,312.0,,,,,,,,,,,,,,,,,,,,,,5976,0.015,4m,1.8,0.0,1.5,888,,,,,,,,,,,,,,,,,,,,,,1056.0,0.02,2m,1.0,0.2,2.0,696.0,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
22,22,0.15183949782860498,2025-06-21 19:34:58.788610,2025-06-21 19:35:00.175878,0 days 00:00:01.387268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3704.0,0.02,3m,2.6,1.0,1.0,352.0,,,,,,,,,,,,,,,,,,,,,,6448,0.015,4m,1.8,0.0,1.5,704,,,,,,,,,,,,,,,,,,,,,,2760.0,0.02,2m,1.2,0.0,2.0,824.0,,,,,,,,,,,,,,,,,,,,,,0.45,3,COMPLETE
23,23,0.6823734068288394,2025-06-21 19:35:00.248835,2025-06-21 19:35:03.244432,0 days 00:00:02.995597,,,,,,,,,,,,,,,2288.0,0.02,4m,2.2,0.6000000000000001,1.5,688.0,,,,,,,,,,,,,,,7192.0,0.02,1m,1.6,1.0,2.0,272.0,7448.0,0.015,5m,1.6,1.0,1.0,640.0,,,,,,,,2008.0,0.02,3m,2.0,0.8,1.0,200.0,,,,,,,,,,,,,,,7208.0,0.015,5m,2.6,0.2,2.0,648.0,5544,0.015,4m,1.2,0.2,2.0,816,,,,,,,,,,,,,,,,,,,,,,1048.0,0.02,2m,1.0,0.2,1.5,640.0,6360.0,0.015,5m,1.8,0.2,1.5,232.0,,,,,,,,,,,,,,,0.45,8,COMPLETE
24,24,-1.0026450404604297,2025-06-21 19:35:03.329254,2025-06-21 19:35:06.777639,0 days 00:00:03.448385,,,,,,,,,,,,,,,1032.0,0.02,4m,2.2,0.6000000000000001,1.5,688.0,,,,,,,,,,,,,,,6200.0,0.015,1m,1.6,0.8,2.0,240.0,7448.0,0.015,5m,1.6,1.0,1.0,648.0,,,,,,,,1808.0,0.02,3m,2.0,0.8,0.5,152.0,,,,,,,,,,,,,,,7272.0,0.015,5m,2.6,0.2,2.0,640.0,5296,0.015,4m,1.2,0.2,2.0,808,,,,,,,,,,,,,,,,,,,,,,2496.0,0.015,2m,1.4,0.0,1.5,608.0,6496.0,0.015,5m,1.8,0.2,1.5,208.0,,,,,,,,,,,,,,,0.3,8,COMPLETE
25,25,0.7469920739272554,2025-06-21 19:35:06.865653,2025-06-21 19:35:11.760147,0 days 00:00:04.894494,,,,,,,,4952.0,0.01,2m,3.0,1.0,1.5,536.0,2296.0,0.02,4m,2.4000000000000004,0.8,1.5,744.0,,,,,,,,,,,,,,,5472.0,0.02,4m,1.8,0.6000000000000001,1.0,288.0,5840.0,0.02,5m,1.4,0.8,0.5,488.0,,,,,,,,2608.0,0.015,1m,1.6,0.6000000000000001,1.5,240.0,,,,,,,,4496.0,0.015,1m,2.6,0.4,0.5,328.0,5232.0,0.01,5m,2.2,0.0,2.0,832.0,4008,0.01,5m,1.0,0.6000000000000001,2.0,608,,,,,,,,,,,,,,,,,,,,,,4112.0,0.02,2m,2.0,0.2,1.5,512.0,5472.0,0.015,5m,1.0,0.2,1.5,440.0,3936.0,0.02,1m,3.0,0.6000000000000001,2.0,776.0,,,,,,,,0.35000000000000003,11,COMPLETE
26,26,0.9379552208236772,2025-06-21 19:35:11.926047,2025-06-21 19:35:23.596382,0 days 00:00:11.670335,,,,,,,,4944.0,0.01,2m,3.0,1.0,1.5,552.0,3616.0,0.015,4m,2.4000000000000004,1.0,1.0,784.0,,,,,,,,,,,,,,,5248.0,0.02,4m,1.8,0.6000000000000001,1.0,680.0,5688.0,0.02,5m,1.2,0.8,0.5,480.0,,,,,,,,2728.0,0.015,1m,1.4,0.6000000000000001,1.5,512.0,,,,,,,,4520.0,0.015,1m,2.6,0.4,0.5,288.0,3568.0,0.01,5m,2.0,0.0,1.5,832.0,3312,0.01,5m,1.0,0.6000000000000001,1.0,600,,,,,,,,,,,,,,,3320.0,0.02,2m,2.2,0.4,1.5,344.0,4088.0,0.02,1m,2.2,0.0,1.5,296.0,5232.0,0.01,5m,1.0,0.4,1.0,416.0,3928.0,0.02,1m,3.0,0.6000000000000001,2.0,784.0,,,,,,,,0.25,12,COMPLETE
27,27,-3.3088209803343522,2025-06-21 19:35:23.756045,2025-06-21 19:35:31.998147,0 days 00:00:08.242102,6608.0,0.01,4m,1.4,1.0,2.0,80.0,6184.0,0.01,2m,2.4000000000000004,0.6000000000000001,1.0,536.0,3888.0,0.015,4m,1.8,1.0,1.0,544.0,,,,,,,,,,,,,,,4048.0,0.015,4m,2.8,0.6000000000000001,1.0,664.0,5512.0,0.02,5m,1.0,0.8,0.5,416.0,,,,,,,,2704.0,0.015,1m,1.2,0.4,2.0,560.0,4344.0,0.015,1m,2.0,0.6000000000000001,1.5,88.0,4640.0,0.015,1m,2.6,0.4,1.0,256.0,3376.0,0.01,2m,1.8,0.0,1.5,488.0,2872,0.01,5m,1.4,0.8,1.0,560,1208.0,0.02,5m,1.0,1.0,2.0,88.0,,,,,,,,3576.0,0.02,2m,2.2,0.4,1.5,288.0,3128.0,0.015,1m,2.4000000000000004,0.0,1.0,200.0,4512.0,0.01,5m,1.2,0.6000000000000001,1.0,488.0,1200.0,0.02,1m,2.6,0.6000000000000001,1.5,760.0,,,,,,,,0.2,15,COMPLETE
28,28,0.3738664977015916,2025-06-21 19:35:32.104877,2025-06-21 19:35:39.900988,0 days 00:00:07.796111,4688.0,0.015,3m,2.0,0.0,2.0,1016.0,3200.0,0.015,3m,1.8,0.8,1.5,736.0,5720.0,0.015,4m,2.6,0.8,0.5,376.0,8064.0,0.01,5m,1.0,0.0,0.5,360.0,4776.0,0.015,2m,1.2,0.8,0.5,752.0,6496.0,0.015,4m,1.8,0.4,0.5,864.0,2160.0,0.02,5m,1.2,0.6000000000000001,0.5,848.0,8056.0,0.01,1m,3.0,1.0,2.0,992.0,3936.0,0.015,1m,1.2,0.6000000000000001,1.5,544.0,5296.0,0.01,4m,1.4,0.2,1.5,624.0,7976.0,0.01,5m,2.0,0.8,0.5,720.0,3576.0,0.01,5m,1.4,0.4,1.0,864.0,2384,0.01,5m,2.2,0.6000000000000001,1.0,488,7960.0,0.01,1m,1.8,0.6000000000000001,1.0,880.0,8160.0,0.01,3m,1.0,0.0,0.5,1024.0,2792.0,0.02,2m,1.8,0.4,1.0,712.0,4960.0,0.02,1m,2.2,1.0,1.5,312.0,7216.0,0.01,5m,1.0,0.8,0.5,600.0,5944.0,0.015,4m,2.0,1.0,2.0,608.0,7016.0,0.02,3m,1.4,0.0,1.0,736.0,0.25,20,COMPLETE
29,29,-0.0318917347083442,2025-06-21 19:35:39.989509,2025-06-21 19:35:42.538903,0 days 00:00:02.549394,,,,,,,,,,,,,,,8184.0,0.015,4m,2.4000000000000004,0.4,1.0,880.0,,,,,,,,,,,,,,,2464.0,0.02,4m,1.0,0.8,1.0,696.0,4096.0,0.015,4m,1.2,0.4,1.0,272.0,,,,,,,,1584.0,0.01,4m,1.4,0.4,1.5,480.0,,,,,,,,,,,,,,,,,,,,,,3352,0.01,5m,1.6,0.4,0.5,312,,,,,,,,,,,,,,,,,,,,,,3896.0,0.02,1m,2.4000000000000004,0.8,1.0,280.0,,,,,,,,,,,,,,,,,,,,,,0.05,6,COMPLETE
30,30,-0.27217771079542946,2025-06-21 19:35:42.635424,2025-06-21 19:35:47.028277,0 days 00:00:04.392853,,,,,,,,3216.0,0.01,1m,2.6,0.4,2.0,352.0,3672.0,0.015,5m,3.0,0.2,1.0,256.0,,,,,,,,,,,,,,,5264.0,0.02,2m,2.6,0.6000000000000001,1.5,856.0,5256.0,0.01,2m,1.8,0.8,0.5,488.0,,,,,,,,5032.0,0.01,2m,1.6,0.2,2.0,616.0,,,,,,,,4904.0,0.02,1m,2.4000000000000004,0.2,1.5,256.0,1104.0,0.015,2m,2.0,0.6000000000000001,1.5,272.0,1672,0.02,3m,1.2,0.6000000000000001,1.0,688,,,,,,,,,,,,,,,,,,,,,,4824.0,0.015,5m,1.8,0.4,1.5,768.0,5456.0,0.01,4m,1.4,0.4,1.0,744.0,4032.0,0.02,1m,2.8,0.2,1.5,880.0,,,,,,,,0.15000000000000002,11,COMPLETE
31,31,0.2893698611107041,2025-06-21 19:35:47.121786,2025-06-21 19:35:52.305887,0 days 00:00:05.184101,,,,,,,,5704.0,0.01,2m,3.0,1.0,1.5,488.0,2136.0,0.02,4m,2.4000000000000004,0.8,1.5,784.0,,,,,,,,,,,,,,,5424.0,0.02,4m,1.8,0.6000000000000001,1.0,1016.0,6024.0,0.02,5m,1.4,0.8,0.5,488.0,,,,,,,,2512.0,0.015,1m,1.6,0.6000000000000001,1.5,248.0,,,,,,,,3672.0,0.015,1m,3.0,0.4,0.5,280.0,5464.0,0.01,5m,2.2,0.0,2.0,856.0,4144,0.01,5m,1.0,0.6000000000000001,1.0,592,,,,,,,,,,,,,,,5296.0,0.015,5m,2.6,0.0,1.5,344.0,4232.0,0.02,1m,2.0,0.0,1.5,448.0,5608.0,0.015,5m,1.0,0.2,1.5,448.0,3912.0,0.02,1m,3.0,0.6000000000000001,2.0,800.0,,,,,,,,0.35000000000000003,12,COMPLETE
32,32,1.9391235609772683,2025-06-21 19:35:52.395889,2025-06-21 19:35:56.181056,0 days 00:00:03.785167,,,,,,,,,,,,,,,2552.0,0.02,4m,2.0,1.0,1.0,720.0,,,,,,,,,,,,,,,4216.0,0.02,4m,2.0,0.6000000000000001,1.0,320.0,7192.0,0.02,5m,1.4,1.0,0.5,624.0,,,,,,,,1032.0,0.015,1m,1.8,0.6000000000000001,1.5,136.0,,,,,,,,,,,,,,,5216.0,0.01,5m,2.0,0.0,2.0,768.0,3768,0.01,5m,1.0,0.8,2.0,488,,,,,,,,,,,,,,,,,,,,,,3888.0,0.02,3m,2.6,0.2,1.5,512.0,5056.0,0.01,5m,1.2,0.4,1.5,416.0,2848.0,0.02,1m,3.0,0.6000000000000001,2.0,696.0,,,,,,,,0.3,9,COMPLETE
33,33,2.0876915035053063,2025-06-21 19:35:56.282574,2025-06-21 19:35:59.416821,0 days 00:00:03.134247,,,,,,,,,,,,,,,2968.0,0.02,4m,1.8,1.0,1.0,568.0,,,,,,,,,,,,,,,3776.0,0.02,4m,2.2,0.8,1.0,128.0,7368.0,0.02,5m,1.2,1.0,0.5,712.0,,,,,,,,1048.0,0.015,1m,1.8,0.6000000000000001,1.5,112.0,,,,,,,,,,,,,,,,,,,,,,3672,0.01,5m,1.0,1.0,0.5,344,,,,,,,,,,,,,,,,,,,,,,2992.0,0.02,3m,2.6,0.0,0.5,368.0,3856.0,0.01,5m,1.2,0.4,1.0,240.0,,,,,,,,,,,,,,,0.3,7,COMPLETE
34,34,0.4080262688646551,2025-06-21 19:35:59.483250,2025-06-21 19:36:03.135788,0 days 00:00:03.652538,,,,,,,,,,,,,,,2832.0,0.02,2m,2.0,1.0,1.0,624.0,,,,,,,,,,,,,,,3600.0,0.02,4m,2.0,0.2,1.0,152.0,7312.0,0.02,5m,1.2,1.0,0.5,704.0,,,,,,,,1080.0,0.015,1m,1.8,0.4,1.5,120.0,,,,,,,,,,,,,,,4928.0,0.01,5m,2.0,0.2,1.5,736.0,3080,0.01,5m,1.4,1.0,1.5,312,,,,,,,,,,,,,,,,,,,,,,2928.0,0.02,3m,2.6,0.0,1.5,344.0,3944.0,0.01,5m,1.2,0.4,1.0,224.0,2664.0,0.015,1m,2.2,0.4,2.0,480.0,,,,,,,,0.3,9,COMPLETE
35,35,-3.913137681438277,2025-06-21 19:36:03.207819,2025-06-21 19:36:06.507862,0 days 00:00:03.300043,,,,,,,,,,,,,,,3480.0,0.015,3m,2.2,1.0,0.5,568.0,,,,,,,,,,,,,,,2624.0,0.015,4m,2.2,0.0,1.0,120.0,7696.0,0.02,5m,1.0,1.0,0.5,592.0,,,,,,,,1584.0,0.015,1m,2.2,0.6000000000000001,2.0,752.0,,,,,,,,,,,,,,,,,,,,,,3872,0.01,1m,1.2,1.0,2.0,216,,,,,,,,,,,,,,,,,,,,,,2032.0,0.01,3m,2.6,0.2,1.5,248.0,4920.0,0.01,5m,1.4,0.6000000000000001,1.0,328.0,,,,,,,,,,,,,,,0.3,7,COMPLETE
36,36,1.2841853993008052,2025-06-21 19:36:06.582336,2025-06-21 19:36:12.281183,0 days 00:00:05.698847,5376.0,0.015,1m,2.0,0.6000000000000001,0.5,512.0,3120.0,0.015,5m,2.0,0.8,1.0,960.0,4448.0,0.02,4m,1.6,1.0,1.0,872.0,,,,,,,,,,,,,,,4104.0,0.02,4m,1.4,0.4,0.5,160.0,6784.0,0.02,5m,1.4,1.0,0.5,744.0,,,,,,,,1464.0,0.015,1m,1.8,0.6000000000000001,1.5,128.0,3040.0,0.02,2m,2.6,0.8,1.0,344.0,2544.0,0.015,5m,1.6,0.8,1.0,672.0,3960.0,0.01,5m,1.6,0.0,2.0,552.0,3552,0.01,5m,2.0,0.8,0.5,88,,,,,,,,,,,,,,,2344.0,0.02,1m,2.0,0.8,2.0,696.0,3616.0,0.02,4m,2.8,0.0,1.5,456.0,3248.0,0.01,5m,1.2,0.4,1.0,184.0,3136.0,0.02,1m,2.8,0.8,1.5,648.0,,,,,,,,0.2,14,COMPLETE
37,37,1.1248588324273754,2025-06-21 19:36:12.365093,2025-06-21 19:36:18.631503,0 days 00:00:06.266410,5192.0,0.015,1m,2.0,0.6000000000000001,0.5,536.0,2424.0,0.02,5m,2.0,0.8,1.0,984.0,4768.0,0.02,2m,1.6,0.8,1.0,824.0,,,,,,,,,,,,,,,4104.0,0.015,5m,1.4,0.4,0.5,168.0,6912.0,0.02,5m,1.4,1.0,1.0,736.0,,,,,,,,1048.0,0.015,1m,2.2,0.4,1.5,120.0,3104.0,0.02,2m,2.6,0.8,1.0,304.0,2256.0,0.01,5m,1.6,0.8,1.0,832.0,6976.0,0.015,3m,1.6,0.2,2.0,536.0,3640,0.01,2m,2.0,0.8,0.5,88,5912.0,0.015,1m,2.2,0.6000000000000001,1.5,136.0,,,,,,,,2208.0,0.015,1m,1.4,0.8,2.0,752.0,3712.0,0.02,4m,3.0,0.6000000000000001,0.5,456.0,3264.0,0.01,5m,1.2,0.6000000000000001,1.5,144.0,2552.0,0.02,1m,2.6,0.8,1.5,608.0,,,,,,,,0.15000000000000002,15,COMPLETE
38,38,1.9071333380535953,2025-06-21 19:36:18.711090,2025-06-21 19:36:22.703597,0 days 00:00:03.992507,,,,,,,,,,,,,,,5312.0,0.02,4m,1.8,1.0,1.0,1000.0,,,,,,,,,,,,,,,3736.0,0.02,4m,1.0,0.2,0.5,64.0,6432.0,0.02,3m,1.8,1.0,0.5,872.0,,,,,,,,1728.0,0.01,2m,2.0,0.8,2.0,136.0,,,,,,,,,,,,,,,4184.0,0.01,4m,1.6,0.0,2.0,368.0,4648,0.01,5m,2.4000000000000004,1.0,0.5,72,,,,,,,,,,,,,,,,,,,,,,2400.0,0.015,4m,2.8,0.0,2.0,504.0,2544.0,0.01,3m,1.4,0.4,1.0,176.0,1288.0,0.015,4m,2.8,1.0,1.5,384.0,,,,,,,,0.2,9,COMPLETE
39,39,1.837238179719266,2025-06-21 19:36:22.779269,2025-06-21 19:36:26.421143,0 days 00:00:03.641874,,,,,,,,,,,,,,,5360.0,0.02,2m,2.0,1.0,0.5,1000.0,,,,,,,,,,,,,,,3088.0,0.02,4m,1.0,0.0,0.5,88.0,6384.0,0.02,3m,1.8,1.0,0.5,888.0,,,,,,,,1880.0,0.01,2m,2.0,0.8,2.0,64.0,,,,,,,,,,,,,,,6704.0,0.02,4m,1.0,0.0,2.0,360.0,4472,0.01,5m,2.4000000000000004,1.0,0.5,360,,,,,,,,,,,,,,,,,,,,,,2136.0,0.015,4m,2.8,0.6000000000000001,2.0,96.0,2120.0,0.01,3m,1.4,0.4,1.5,288.0,1048.0,0.015,4m,2.2,1.0,1.0,208.0,,,,,,,,0.1,9,COMPLETE
40,40,1.2175446692347838,2025-06-21 19:36:26.500297,2025-06-21 19:36:30.536210,0 days 00:00:04.035913,,,,,,,,,,,,,,,5432.0,0.02,2m,2.0,1.0,0.5,992.0,,,,,,,,,,,,,,,1120.0,0.02,3m,1.0,0.0,0.5,64.0,6272.0,0.02,3m,1.8,1.0,1.0,864.0,,,,,,,,1888.0,0.01,2m,2.0,0.8,2.0,96.0,,,,,,,,,,,,,,,5824.0,0.01,4m,1.0,0.2,2.0,384.0,4648,0.01,5m,2.6,1.0,0.5,376,,,,,,,,,,,,,,,,,,,,,,2248.0,0.015,4m,2.8,0.6000000000000001,2.0,88.0,2520.0,0.01,3m,1.6,0.4,0.5,272.0,1104.0,0.015,4m,2.2,1.0,1.0,216.0,,,,,,,,0.05,9,COMPLETE
41,41,1.295429199342389,2025-06-21 19:36:30.621214,2025-06-21 19:36:33.358790,0 days 00:00:02.737576,,,,,,,,,,,,,,,5704.0,0.02,2m,2.0,1.0,0.5,1024.0,,,,,,,,,,,,,,,3048.0,0.02,4m,1.0,0.0,0.5,112.0,7864.0,0.02,3m,1.8,1.0,0.5,920.0,,,,,,,,1696.0,0.01,2m,2.2,0.8,2.0,64.0,,,,,,,,,,,,,,,,,,,,,,4416,0.01,5m,2.4000000000000004,1.0,0.5,248,,,,,,,,,,,,,,,,,,,,,,2984.0,0.015,4m,2.6,0.6000000000000001,2.0,72.0,,,,,,,,,,,,,,,,,,,,,,0.1,6,COMPLETE
42,42,-0.033489858379545344,2025-06-21 19:36:33.412416,2025-06-21 19:36:37.803559,0 days 00:00:04.391143,,,,,,,,,,,,,,,5048.0,0.02,2m,1.8,0.8,0.5,920.0,,,,,,,,,,,,,,,3616.0,0.02,4m,1.2,0.2,0.5,192.0,7168.0,0.02,3m,2.2,1.0,0.5,656.0,,,,,,,,2216.0,0.01,2m,1.8,0.8,2.0,152.0,,,,,,,,1112.0,0.02,3m,1.0,0.2,2.0,888.0,6760.0,0.02,4m,1.0,0.0,2.0,352.0,4960,0.01,5m,2.4000000000000004,1.0,0.5,368,,,,,,,,,,,,,,,,,,,,,,1608.0,0.015,4m,3.0,0.6000000000000001,2.0,520.0,2128.0,0.01,3m,1.4,0.4,1.5,360.0,1832.0,0.015,4m,2.8,1.0,1.0,384.0,,,,,,,,0.1,10,COMPLETE
43,43,0.9544257567436569,2025-06-21 19:36:37.887773,2025-06-21 19:36:41.340606,0 days 00:00:03.452833,,,,,,,,,,,,,,,6216.0,0.02,2m,1.4,1.0,1.0,712.0,,,,,,,,,,,,,,,3056.0,0.015,4m,1.4,0.2,0.5,304.0,6440.0,0.02,3m,2.2,1.0,0.5,800.0,,,,,,,,1488.0,0.01,2m,2.4000000000000004,0.2,2.0,256.0,,,,,,,,,,,,,,,7616.0,0.02,4m,1.2,0.0,2.0,168.0,4376,0.01,3m,2.6,1.0,0.5,488,,,,,,,,,,,,,,,,,,,,,,2328.0,0.015,4m,2.8,0.8,2.0,136.0,1360.0,0.01,3m,1.4,0.6000000000000001,1.5,160.0,,,,,,,,,,,,,,,0.1,8,COMPLETE
44,44,0.1462253400315472,2025-06-21 19:36:41.415974,2025-06-21 19:36:44.473963,0 days 00:00:03.057989,,,,,,,,,,,,,,,5208.0,0.02,3m,1.8,1.0,2.0,952.0,,,,,,,,,,,,,,,4520.0,0.02,4m,1.2,0.0,1.0,112.0,7728.0,0.015,3m,1.8,0.6000000000000001,0.5,904.0,,,,,,,,2304.0,0.01,5m,2.0,0.8,2.0,64.0,,,,,,,,,,,,,,,,,,,,,,2904,0.01,5m,2.2,0.8,0.5,464,,,,,,,,,,,,,,,,,,,,,,1568.0,0.01,5m,2.4000000000000004,0.4,0.5,1024.0,2648.0,0.01,3m,1.8,0.4,2.0,288.0,,,,,,,,,,,,,,,0.4,7,COMPLETE
45,45,0.8954261388114508,2025-06-21 19:36:44.552477,2025-06-21 19:36:48.558908,0 days 00:00:04.006431,,,,,,,,,,,,,,,7632.0,0.02,1m,2.0,0.8,1.0,488.0,,,,,,,,,,,,,,,2688.0,0.015,5m,2.2,0.2,0.5,216.0,7048.0,0.02,3m,1.6,0.8,1.5,816.0,,,,,,,,1264.0,0.01,2m,2.2,1.0,2.0,360.0,,,,,,,,7168.0,0.01,2m,1.2,1.0,1.5,568.0,6416.0,0.02,4m,1.6,0.0,2.0,328.0,4944,0.01,2m,2.8,1.0,0.5,256,,,,,,,,,,,,,,,,,,,,,,3040.0,0.015,4m,2.6,0.8,2.0,384.0,1936.0,0.01,3m,1.2,0.6000000000000001,1.5,64.0,1064.0,0.015,4m,2.4000000000000004,1.0,0.5,200.0,,,,,,,,0.25,10,COMPLETE
46,46,-0.6345789113141793,2025-06-21 19:36:48.653769,2025-06-21 19:36:51.784034,0 days 00:00:03.130265,,,,,,,,,,,,,,,7096.0,0.02,4m,1.4,0.6000000000000001,0.5,584.0,,,,,,,,,,,,,,,3712.0,0.02,4m,1.0,0.0,1.0,360.0,6600.0,0.02,1m,1.0,1.0,0.5,952.0,,,,,,,,1912.0,0.01,2m,2.0,0.6000000000000001,2.0,208.0,,,,,,,,,,,,,,,,,,,,,,3808,0.01,5m,2.4000000000000004,0.8,0.5,184,,,,,,,,,,,,,,,,,,,,,,6304.0,0.015,3m,2.8,0.0,2.0,552.0,5904.0,0.01,3m,1.6,0.2,2.0,264.0,,,,,,,,,,,,,,,0.35000000000000003,7,COMPLETE
