,number,value,datetime_start,datetime_complete,duration,params_AAPL_CDW_beta_win,params_AAPL_CDW_stop_loss,params_AAPL_CDW_trade_freq,params_AAPL_CDW_z_entry,params_AAPL_CDW_z_exit,params_AAPL_CDW_z_stop_scaler,params_AAPL_CDW_z_win,params_AAPL_ROP_beta_win,params_AAPL_ROP_stop_loss,params_AAPL_ROP_trade_freq,params_AAPL_ROP_z_entry,params_AAPL_ROP_z_exit,params_AAPL_ROP_z_stop_scaler,params_AAPL_ROP_z_win,params_ADI_BKNG_beta_win,params_ADI_BKNG_stop_loss,params_ADI_BKNG_trade_freq,params_ADI_BKNG_z_entry,params_ADI_BKNG_z_exit,params_ADI_BKNG_z_stop_scaler,params_ADI_BKNG_z_win,params_ADI_CTSH_beta_win,params_ADI_CTSH_stop_loss,params_ADI_CTSH_trade_freq,params_ADI_CTSH_z_entry,params_ADI_CTSH_z_exit,params_ADI_CTSH_z_stop_scaler,params_ADI_CTSH_z_win,params_ADI_MCHP_beta_win,params_ADI_MCHP_stop_loss,params_ADI_MCHP_trade_freq,params_ADI_MCHP_z_entry,params_ADI_MCHP_z_exit,params_ADI_MCHP_z_stop_scaler,params_ADI_MCHP_z_win,params_AMAT_CDW_beta_win,params_AMAT_CDW_stop_loss,params_AMAT_CDW_trade_freq,params_AMAT_CDW_z_entry,params_AMAT_CDW_z_exit,params_AMAT_CDW_z_stop_scaler,params_AMAT_CDW_z_win,params_AMGN_VRTX_beta_win,params_AMGN_VRTX_stop_loss,params_AMGN_VRTX_trade_freq,params_AMGN_VRTX_z_entry,params_AMGN_VRTX_z_exit,params_AMGN_VRTX_z_stop_scaler,params_AMGN_VRTX_z_win,params_AMZN_MCHP_beta_win,params_AMZN_MCHP_stop_loss,params_AMZN_MCHP_trade_freq,params_AMZN_MCHP_z_entry,params_AMZN_MCHP_z_exit,params_AMZN_MCHP_z_stop_scaler,params_AMZN_MCHP_z_win,params_BKNG_CSX_beta_win,params_BKNG_CSX_stop_loss,params_BKNG_CSX_trade_freq,params_BKNG_CSX_z_entry,params_BKNG_CSX_z_exit,params_BKNG_CSX_z_stop_scaler,params_BKNG_CSX_z_win,params_BKNG_DLTR_beta_win,params_BKNG_DLTR_stop_loss,params_BKNG_DLTR_trade_freq,params_BKNG_DLTR_z_entry,params_BKNG_DLTR_z_exit,params_BKNG_DLTR_z_stop_scaler,params_BKNG_DLTR_z_win,params_BKNG_IDXX_beta_win,params_BKNG_IDXX_stop_loss,params_BKNG_IDXX_trade_freq,params_BKNG_IDXX_z_entry,params_BKNG_IDXX_z_exit,params_BKNG_IDXX_z_stop_scaler,params_BKNG_IDXX_z_win,params_BKNG_KHC_beta_win,params_BKNG_KHC_stop_loss,params_BKNG_KHC_trade_freq,params_BKNG_KHC_z_entry,params_BKNG_KHC_z_exit,params_BKNG_KHC_z_stop_scaler,params_BKNG_KHC_z_win,params_BKNG_MCHP_beta_win,params_BKNG_MCHP_stop_loss,params_BKNG_MCHP_trade_freq,params_BKNG_MCHP_z_entry,params_BKNG_MCHP_z_exit,params_BKNG_MCHP_z_stop_scaler,params_BKNG_MCHP_z_win,params_BKNG_NXPI_beta_win,params_BKNG_NXPI_stop_loss,params_BKNG_NXPI_trade_freq,params_BKNG_NXPI_z_entry,params_BKNG_NXPI_z_exit,params_BKNG_NXPI_z_stop_scaler,params_BKNG_NXPI_z_win,params_CDW_MCHP_beta_win,params_CDW_MCHP_stop_loss,params_CDW_MCHP_trade_freq,params_CDW_MCHP_z_entry,params_CDW_MCHP_z_exit,params_CDW_MCHP_z_stop_scaler,params_CDW_MCHP_z_win,params_COST_CSX_beta_win,params_COST_CSX_stop_loss,params_COST_CSX_trade_freq,params_COST_CSX_z_entry,params_COST_CSX_z_exit,params_COST_CSX_z_stop_scaler,params_COST_CSX_z_win,params_CTSH_MCHP_beta_win,params_CTSH_MCHP_stop_loss,params_CTSH_MCHP_trade_freq,params_CTSH_MCHP_z_entry,params_CTSH_MCHP_z_exit,params_CTSH_MCHP_z_stop_scaler,params_CTSH_MCHP_z_win,params_DASH_DDOG_beta_win,params_DASH_DDOG_stop_loss,params_DASH_DDOG_trade_freq,params_DASH_DDOG_z_entry,params_DASH_DDOG_z_exit,params_DASH_DDOG_z_stop_scaler,params_DASH_DDOG_z_win,params_DASH_MDB_beta_win,params_DASH_MDB_stop_loss,params_DASH_MDB_trade_freq,params_DASH_MDB_z_entry,params_DASH_MDB_z_exit,params_DASH_MDB_z_stop_scaler,params_DASH_MDB_z_win,params_INTU_MCHP_beta_win,params_INTU_MCHP_stop_loss,params_INTU_MCHP_trade_freq,params_INTU_MCHP_z_entry,params_INTU_MCHP_z_exit,params_INTU_MCHP_z_stop_scaler,params_INTU_MCHP_z_win,params_MAR_MCHP_beta_win,params_MAR_MCHP_stop_loss,params_MAR_MCHP_trade_freq,params_MAR_MCHP_z_entry,params_MAR_MCHP_z_exit,params_MAR_MCHP_z_stop_scaler,params_MAR_MCHP_z_win,params_ROP_TTWO_beta_win,params_ROP_TTWO_stop_loss,params_ROP_TTWO_trade_freq,params_ROP_TTWO_z_entry,params_ROP_TTWO_z_exit,params_ROP_TTWO_z_stop_scaler,params_ROP_TTWO_z_win,params_SPLK_WBD_beta_win,params_SPLK_WBD_stop_loss,params_SPLK_WBD_trade_freq,params_SPLK_WBD_z_entry,params_SPLK_WBD_z_exit,params_SPLK_WBD_z_stop_scaler,params_SPLK_WBD_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-0.05897980196980827,2025-06-21 19:35:32.201015,2025-06-21 19:35:36.579427,0 days 00:00:04.378412,,,,,,,,,,,,,,,5832,0.015,5m,3.0,0.0,1.5,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1448.0,0.01,2m,2.0,1.0,0.5,624.0,,,,,,,,,,,,,,,1256.0,0.02,3m,3.0,1.0,2.0,112.0,5392.0,0.01,3m,1.6,0.0,1.5,96.0,8136.0,0.02,1m,1.6,0.6000000000000001,2.0,96.0,5344.0,0.01,1m,2.8,0.0,0.5,80.0,4512.0,0.01,5m,1.4,0.2,0.5,1000.0,,,,,,,,1040,0.02,3m,3.0,0.2,1.0,88,5784.0,0.02,1m,2.0,1.0,1.5,864.0,7968.0,0.015,1m,2.0,0.2,1.0,968.0,,,,,,,,,,,,,,,3392.0,0.02,3m,3.0,0.2,1.0,960.0,0.45,8,COMPLETE
11,11,0.07618479510256543,2025-06-21 19:35:36.657763,2025-06-21 19:35:41.062607,0 days 00:00:04.404844,,,,,,,,,,,,,,,6224,0.015,5m,3.0,0.0,1.5,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1288.0,0.01,2m,2.0,1.0,0.5,672.0,,,,,,,,,,,,,,,1080.0,0.02,3m,3.0,1.0,2.0,80.0,5232.0,0.01,3m,1.6,0.0,1.5,144.0,7576.0,0.02,1m,1.6,0.6000000000000001,2.0,112.0,5264.0,0.01,1m,2.6,0.0,0.5,72.0,4472.0,0.01,5m,1.0,0.2,0.5,1016.0,,,,,,,,1024,0.02,3m,2.8,0.2,1.0,144,5976.0,0.02,1m,2.0,1.0,1.5,848.0,7744.0,0.015,1m,2.0,0.0,1.0,992.0,,,,,,,,,,,,,,,3600.0,0.02,3m,3.0,0.2,1.0,1008.0,0.5,8,COMPLETE
12,12,0.20492104944236744,2025-06-21 19:35:41.180726,2025-06-21 19:35:44.513745,0 days 00:00:03.333019,,,,,,,,,,,,,,,6496,0.015,5m,2.6,0.0,2.0,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5032.0,0.01,3m,1.6,0.2,1.5,136.0,,,,,,,,8160.0,0.01,1m,2.6,0.0,1.0,392.0,3592.0,0.01,2m,1.0,0.2,0.5,1024.0,,,,,,,,2400,0.02,3m,2.6,0.2,1.0,64,6176.0,0.02,1m,2.0,0.8,1.5,800.0,8184.0,0.015,1m,1.6,0.0,1.0,1024.0,,,,,,,,,,,,,,,3656.0,0.02,3m,2.6,0.2,0.5,960.0,0.5,5,COMPLETE
13,13,0.2609099008801497,2025-06-21 19:35:44.588752,2025-06-21 19:35:47.917723,0 days 00:00:03.328971,,,,,,,,,,,,,,,6736,0.015,5m,2.6,0.2,2.0,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1056.0,0.01,1m,1.6,0.2,1.0,552.0,,,,,,,,8144.0,0.01,5m,2.2,0.2,1.0,432.0,3400.0,0.01,2m,1.0,0.2,1.0,64.0,,,,,,,,2464,0.02,5m,2.4000000000000004,0.4,1.5,384,6632.0,0.015,5m,2.4000000000000004,0.8,2.0,768.0,3320.0,0.015,1m,1.6,0.8,1.5,784.0,,,,,,,,,,,,,,,1064.0,0.01,4m,2.4000000000000004,0.2,0.5,720.0,0.35000000000000003,5,COMPLETE
14,14,0.017243882164499822,2025-06-21 19:35:47.992729,2025-06-21 19:35:49.040851,0 days 00:00:01.048122,,,,,,,,,,,,,,,3792,0.01,3m,2.6,0.4,2.0,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2528,0.02,5m,2.2,0.4,1.5,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
15,15,0.06890778004257544,2025-06-21 19:35:49.128359,2025-06-21 19:35:52.707499,0 days 00:00:03.579140,,,,,,,,,,,,,,,5488,0.02,4m,2.6,0.2,1.5,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240.0,0.01,1m,1.2,0.2,1.0,512.0,,,,,,,,8144.0,0.01,5m,2.2,0.2,1.5,432.0,3144.0,0.02,2m,1.4,0.0,1.5,72.0,,,,,,,,5008,0.02,5m,2.4000000000000004,0.6000000000000001,1.5,304,6768.0,0.015,5m,3.0,0.8,2.0,720.0,3408.0,0.02,2m,2.4000000000000004,0.8,2.0,752.0,,,,,,,,,,,,,,,1048.0,0.01,4m,2.6,0.0,0.5,712.0,0.35000000000000003,5,COMPLETE
16,16,0.06554461888194846,2025-06-21 19:35:52.790497,2025-06-21 19:35:58.666366,0 days 00:00:05.875869,,,,,,,,,,,,,,,7208,0.015,5m,1.8,0.4,1.0,1008,,,,,,,,,,,,,,,,,,,,,,1104.0,0.01,1m,3.0,1.0,0.5,72.0,3480.0,0.015,4m,3.0,0.0,0.5,160.0,8072.0,0.02,3m,1.6,0.4,2.0,408.0,,,,,,,,,,,,,,,3408.0,0.015,2m,1.8,0.8,1.5,992.0,2408.0,0.01,1m,2.0,0.2,1.0,600.0,5840.0,0.015,3m,2.8,1.0,2.0,1008.0,6896.0,0.01,5m,2.2,0.2,1.0,272.0,5696.0,0.02,2m,1.0,0.4,1.0,72.0,5056.0,0.015,4m,2.0,0.0,2.0,184.0,2048,0.02,5m,2.0,0.4,2.0,632,5160.0,0.015,5m,2.6,0.8,2.0,976.0,3304.0,0.015,4m,1.6,0.8,1.5,776.0,,,,,,,,,,,,,,,1144.0,0.01,4m,2.6,0.4,2.0,408.0,0.4,11,COMPLETE
17,17,-1.859163703143826,2025-06-21 19:35:58.770321,2025-06-21 19:36:02.790114,0 days 00:00:04.019793,,,,,,,,,,,,,,,3760,0.01,5m,2.8,0.2,2.0,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3320.0,0.01,5m,1.0,0.2,1.5,768.0,,,,,,,,,,,,,,,,,,,,,,2600.0,0.015,1m,1.4,0.4,0.5,360.0,1208.0,0.01,3m,1.0,0.4,1.5,544.0,3704.0,0.015,5m,1.8,1.0,1.5,368.0,3032.0,0.01,2m,1.6,0.2,1.5,584.0,,,,,,,,3248,0.02,4m,1.0,0.8,1.5,400,6896.0,0.015,5m,2.4000000000000004,0.8,1.0,712.0,3776.0,0.015,2m,2.4000000000000004,0.8,1.5,648.0,,,,,,,,,,,,,,,2680.0,0.01,4m,1.0,0.2,0.5,720.0,0.05,7,COMPLETE
18,18,-0.21371208796902014,2025-06-21 19:36:02.878719,2025-06-21 19:36:06.121541,0 days 00:00:03.242822,,,,,,,,,,,,,,,5232,0.015,5m,2.0,0.6000000000000001,1.0,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072.0,0.01,4m,1.8,0.2,1.0,512.0,,,,,,,,6512.0,0.01,3m,2.2,0.2,0.5,576.0,1176.0,0.01,5m,1.2,0.0,1.0,864.0,,,,,,,,1872,0.01,5m,2.6,0.0,1.0,216,6424.0,0.015,2m,2.8,0.2,2.0,464.0,,,,,,,,,,,,,,,,,,,,,,4312.0,0.01,4m,1.8,0.0,1.5,424.0,0.25,4,COMPLETE
19,19,-2.0066524188442663,2025-06-21 19:36:06.217053,2025-06-21 19:36:11.959023,0 days 00:00:05.741970,,,,,,,,,,,,,,,7112,0.02,1m,2.4000000000000004,0.4,1.5,560,,,,,,,,,,,,,,,,,,,,,,1744.0,0.015,4m,1.0,0.2,0.5,896.0,5096.0,0.01,5m,2.4000000000000004,0.0,0.5,1008.0,3192.0,0.02,3m,2.4000000000000004,0.8,2.0,344.0,,,,,,,,,,,,,,,4048.0,0.015,2m,1.0,0.0,1.0,776.0,1848.0,0.015,1m,1.2,0.4,1.5,752.0,5376.0,0.015,1m,1.6,0.8,0.5,576.0,5720.0,0.02,5m,1.0,0.4,1.0,176.0,5160.0,0.02,2m,3.0,0.4,1.0,528.0,3040.0,0.01,1m,2.0,1.0,1.5,368.0,3192,0.02,3m,2.2,1.0,1.5,1024,7464.0,0.015,5m,2.4000000000000004,0.8,2.0,896.0,2344.0,0.02,1m,1.6,0.4,2.0,864.0,,,,,,,,,,,,,,,2896.0,0.015,4m,2.4000000000000004,0.4,1.0,848.0,0.35000000000000003,11,COMPLETE
20,20,0.17904996967583026,2025-06-21 19:36:12.031969,2025-06-21 19:36:17.203122,0 days 00:00:05.171153,,,,,,,,,,,,,,,3264,0.015,3m,2.8,0.2,0.5,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2432.0,0.015,5m,2.4000000000000004,0.2,1.5,1000.0,,,,,,,,,,,,,,,2184.0,0.02,5m,2.8,0.8,1.5,320.0,3408.0,0.01,3m,2.0,0.0,1.0,264.0,4176.0,0.01,1m,2.6,0.2,2.0,1000.0,8064.0,0.01,5m,1.8,0.2,0.5,496.0,7640.0,0.015,5m,1.8,0.2,1.5,184.0,6312.0,0.015,2m,3.0,0.2,0.5,936.0,4512,0.015,5m,3.0,0.6000000000000001,1.0,416,5168.0,0.01,4m,2.8,1.0,1.5,336.0,4584.0,0.015,1m,1.8,0.8,1.0,680.0,,,,,,,,,,,,,,,1600.0,0.01,4m,2.8,0.2,0.5,640.0,0.4,9,COMPLETE
21,21,-0.14759240446578384,2025-06-21 19:36:17.298227,2025-06-21 19:36:20.843126,0 days 00:00:03.544899,,,,,,,,,,,,,,,6440,0.015,5m,2.6,0.0,2.0,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4592.0,0.01,3m,1.6,0.2,1.5,448.0,,,,,,,,7672.0,0.01,1m,2.6,0.0,1.0,400.0,3488.0,0.01,2m,1.0,0.2,0.5,880.0,,,,,,,,2320,0.02,3m,2.6,0.2,1.0,72,6104.0,0.02,1m,1.8,0.8,1.5,784.0,6400.0,0.015,1m,1.6,0.0,1.0,1024.0,,,,,,,,,,,,,,,4056.0,0.02,3m,2.6,0.2,0.5,864.0,0.5,5,COMPLETE
22,22,0.05869668020390404,2025-06-21 19:36:20.918201,2025-06-21 19:36:23.551640,0 days 00:00:02.633439,,,,,,,,,,,,,,,6824,0.015,5m,2.4000000000000004,0.0,2.0,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5504.0,0.01,3m,1.8,0.2,1.5,216.0,,,,,,,,7496.0,0.01,1m,2.4000000000000004,0.0,1.0,352.0,,,,,,,,,,,,,,,2896,0.02,3m,2.6,0.2,1.0,200,7392.0,0.015,1m,2.2,0.6000000000000001,1.0,632.0,,,,,,,,,,,,,,,,,,,,,,3048.0,0.015,3m,2.4000000000000004,0.0,0.5,952.0,0.45,3,COMPLETE
23,23,-0.22896799594717399,2025-06-21 19:36:23.624674,2025-06-21 19:36:27.297025,0 days 00:00:03.672351,,,,,,,,,,,,,,,6160,0.015,5m,2.8,0.2,2.0,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3936.0,0.01,3m,1.4,0.6000000000000001,1.5,616.0,6784.0,0.015,5m,1.8,0.8,1.5,576.0,6296.0,0.01,4m,2.6,0.0,1.5,456.0,3744.0,0.01,2m,1.2,0.0,0.5,896.0,,,,,,,,1640,0.02,3m,2.4000000000000004,0.4,1.0,648,5712.0,0.02,1m,1.8,0.8,1.5,784.0,7120.0,0.015,1m,1.4,0.4,1.5,896.0,,,,,,,,,,,,,,,1720.0,0.015,3m,2.8,0.2,1.0,440.0,0.2,6,COMPLETE
24,24,-100.0,2025-06-21 19:36:27.375936,2025-06-21 19:36:28.442223,0 days 00:00:01.066287,,,,,,,,,,,,,,,4552,0.015,5m,2.2,0.0,2.0,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896,0.02,3m,2.8,0.0,1.5,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
25,25,-0.06374559830378147,2025-06-21 19:36:28.514882,2025-06-21 19:36:32.948975,0 days 00:00:04.434093,,,,,,,,,,,,,,,7864,0.01,4m,2.6,0.4,1.5,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4360.0,0.015,3m,1.6,0.8,0.5,528.0,,,,,,,,,,,,,,,,,,,,,,2880.0,0.01,1m,1.8,0.4,1.5,584.0,1840.0,0.01,2m,1.4,0.2,2.0,472.0,8184.0,0.015,1m,3.0,0.2,1.0,200.0,2768.0,0.01,2m,1.2,0.2,0.5,1024.0,,,,,,,,2832,0.02,4m,2.0,0.2,1.0,480,6568.0,0.015,5m,2.2,0.6000000000000001,1.5,784.0,4032.0,0.015,1m,1.8,0.2,1.0,920.0,,,,,,,,,,,,,,,4952.0,0.02,4m,2.2,0.4,0.5,792.0,0.3,7,COMPLETE
26,26,0.006798994001291974,2025-06-21 19:36:33.025991,2025-06-21 19:36:36.106961,0 days 00:00:03.080970,,,,,,,,,,,,,,,4376,0.02,5m,2.0,0.2,2.0,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1816.0,0.015,3m,1.4,0.0,1.0,448.0,,,,,,,,7520.0,0.01,3m,2.4000000000000004,0.0,1.0,328.0,4056.0,0.01,2m,1.0,0.4,1.0,664.0,,,,,,,,3432,0.02,5m,2.4000000000000004,0.4,0.5,360,8104.0,0.02,2m,2.2,1.0,2.0,536.0,,,,,,,,,,,,,,,,,,,,,,2376.0,0.01,5m,2.8,0.6000000000000001,0.5,632.0,0.1,4,COMPLETE
27,27,-2.145378084873206,2025-06-21 19:36:36.207285,2025-06-21 19:36:41.250197,0 days 00:00:05.042912,,,,,,,,,,,,,,,5320,0.015,5m,2.8,0.0,1.5,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6944.0,0.01,1m,1.8,0.2,1.5,784.0,,,,,,,,,,,,,,,4960.0,0.015,5m,2.6,0.4,0.5,776.0,4768.0,0.01,4m,2.2,0.2,1.5,704.0,3440.0,0.02,4m,2.4000000000000004,0.4,1.5,664.0,6928.0,0.01,1m,1.8,0.2,0.5,680.0,2704.0,0.015,3m,1.6,0.6000000000000001,1.5,928.0,3616.0,0.02,1m,1.4,1.0,1.5,448.0,4808,0.015,3m,2.6,0.6000000000000001,1.5,152,4080.0,0.015,5m,2.8,0.8,1.0,920.0,2928.0,0.015,2m,2.2,0.6000000000000001,1.0,464.0,,,,,,,,,,,,,,,3800.0,0.02,1m,2.6,0.0,1.0,920.0,0.25,9,COMPLETE
28,28,-0.1157260155537317,2025-06-21 19:36:41.323278,2025-06-21 19:36:44.743247,0 days 00:00:03.419969,,,,,,,,,,,,,,,6752,0.015,5m,2.4000000000000004,0.4,2.0,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.0,0.01,1m,1.0,0.2,2.0,536.0,,,,,,,,7616.0,0.015,5m,2.4000000000000004,0.4,1.5,528.0,3424.0,0.01,4m,1.2,0.0,0.5,816.0,,,,,,,,2216,0.02,3m,2.2,0.2,2.0,600,5504.0,0.02,1m,2.6,0.8,1.5,656.0,5512.0,0.015,1m,1.2,1.0,1.5,712.0,,,,,,,,,,,,,,,1360.0,0.01,3m,2.4000000000000004,0.2,0.5,648.0,0.35000000000000003,5,COMPLETE
29,29,-0.020172875865103027,2025-06-21 19:36:44.828231,2025-06-21 19:36:46.512864,0 days 00:00:01.684633,,,,,,,,,,,,,,,1936,0.01,4m,3.0,0.2,0.5,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6096.0,0.015,3m,1.6,0.4,1.0,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8072,0.015,5m,2.8,0.4,1.5,464,7368.0,0.015,4m,2.0,0.6000000000000001,2.0,776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
30,30,-0.0269934497386842,2025-06-21 19:36:46.580170,2025-06-21 19:36:49.258303,0 days 00:00:02.678133,,,,,,,,,,,,,,,2336,0.02,2m,2.2,0.0,1.0,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6952.0,0.01,3m,1.2,0.8,0.5,792.0,,,,,,,,4704.0,0.01,4m,1.6,0.0,1.0,416.0,,,,,,,,,,,,,,,1408,0.02,2m,3.0,0.8,1.0,712,6400.0,0.02,1m,1.8,0.2,1.5,528.0,,,,,,,,,,,,,,,,,,,,,,2128.0,0.015,4m,2.8,0.4,1.0,760.0,0.4,3,COMPLETE
31,31,0.2284004674868477,2025-06-21 19:36:49.323215,2025-06-21 19:36:54.344113,0 days 00:00:05.020898,,,,,,,,,,,,,,,3024,0.015,3m,2.8,0.2,0.5,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2296.0,0.015,5m,2.4000000000000004,0.2,1.5,1016.0,,,,,,,,,,,,,,,2296.0,0.02,5m,2.8,0.8,1.5,312.0,3240.0,0.01,3m,2.0,0.0,1.0,256.0,4432.0,0.01,1m,2.6,0.2,2.0,1000.0,8120.0,0.01,5m,1.8,0.2,0.5,496.0,7024.0,0.015,5m,1.6,0.2,1.5,160.0,6264.0,0.015,2m,3.0,0.2,0.5,1024.0,4240,0.015,5m,3.0,0.6000000000000001,1.0,440,5048.0,0.01,4m,2.8,1.0,1.5,336.0,4760.0,0.015,1m,1.8,0.8,1.0,664.0,,,,,,,,,,,,,,,1576.0,0.01,4m,2.8,0.2,0.5,656.0,0.4,9,COMPLETE
32,32,0.16798839748077593,2025-06-21 19:36:54.428516,2025-06-21 19:36:59.597667,0 days 00:00:05.169151,,,,,,,,,,,,,,,3184,0.015,3m,2.6,0.2,0.5,368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2192.0,0.015,5m,2.4000000000000004,0.0,2.0,1024.0,,,,,,,,,,,,,,,,,,,,,,1648.0,0.01,3m,2.2,0.0,1.0,184.0,5096.0,0.01,1m,3.0,0.2,2.0,912.0,8184.0,0.01,5m,1.6,0.2,0.5,600.0,8152.0,0.015,5m,1.4,0.2,1.5,160.0,,,,,,,,5592,0.015,5m,2.6,0.6000000000000001,1.0,568,4744.0,0.01,4m,3.0,1.0,1.5,200.0,4408.0,0.015,1m,1.8,0.8,1.0,832.0,,,,,,,,,,,,,,,1592.0,0.01,4m,2.6,0.2,0.5,480.0,0.45,7,COMPLETE
33,33,-0.09086022366152313,2025-06-21 19:36:59.762619,2025-06-21 19:37:12.158407,0 days 00:00:12.395788,,,,,,,,,,,,,,,4184,0.015,3m,2.8,0.4,0.5,320,,,,,,,,,,,,,,,,,,,,,,4944.0,0.01,5m,2.4000000000000004,0.4,1.0,736.0,8168.0,0.015,3m,2.0,0.4,1.5,64.0,4072.0,0.02,5m,2.2,0.4,1.5,816.0,,,,,,,,,,,,,,,2504.0,0.02,5m,1.8,0.8,1.5,312.0,2080.0,0.01,3m,1.8,0.0,1.0,120.0,3608.0,0.015,1m,2.2,0.0,2.0,920.0,7688.0,0.01,5m,2.0,0.0,0.5,480.0,5192.0,0.02,5m,1.6,0.2,1.5,208.0,6352.0,0.015,2m,2.4000000000000004,0.4,1.0,1024.0,4192,0.015,5m,2.4000000000000004,0.6000000000000001,0.5,344,5120.0,0.01,4m,2.8,1.0,1.5,80.0,5816.0,0.015,1m,1.8,0.6000000000000001,0.5,640.0,,,,,,,,7880.0,0.01,1m,2.2,0.6000000000000001,2.0,1024.0,1072.0,0.01,4m,2.8,0.0,0.5,592.0,0.3,12,COMPLETE
34,34,0.24250025257814606,2025-06-21 19:37:12.251812,2025-06-21 19:37:16.037289,0 days 00:00:03.785477,,,,,,,,,,,,,,,1280,0.015,3m,3.0,0.6000000000000001,0.5,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2648.0,0.01,2m,1.8,0.0,1.5,256.0,6776.0,0.01,1m,2.6,0.4,1.5,736.0,6472.0,0.01,4m,1.8,0.2,0.5,528.0,6088.0,0.01,5m,1.2,0.0,1.0,96.0,,,,,,,,6656,0.015,1m,2.8,0.8,1.0,448,7928.0,0.01,4m,3.0,0.8,1.0,360.0,7240.0,0.015,5m,1.4,0.8,1.0,744.0,,,,,,,,,,,,,,,2648.0,0.01,2m,2.2,0.0,0.5,336.0,0.35000000000000003,6,COMPLETE
35,35,0.0843205379393677,2025-06-21 19:37:16.123336,2025-06-21 19:37:21.606848,0 days 00:00:05.483512,,,,,,,,,,,,,,,1264,0.015,3m,3.0,0.6000000000000001,0.5,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1736.0,0.015,2m,2.6,0.2,1.0,656.0,,,,,,,,,,,,,,,2488.0,0.02,5m,2.4000000000000004,1.0,1.0,216.0,2776.0,0.01,2m,2.0,0.0,1.0,272.0,6688.0,0.01,1m,2.6,0.4,1.5,704.0,5912.0,0.015,4m,1.8,0.4,0.5,776.0,6504.0,0.01,5m,1.2,0.0,1.0,112.0,6296.0,0.01,4m,2.4000000000000004,0.2,0.5,896.0,6504,0.015,1m,3.0,1.0,0.5,432,7848.0,0.01,4m,3.0,1.0,1.0,344.0,4776.0,0.01,5m,1.4,0.8,1.5,720.0,,,,,,,,,,,,,,,2592.0,0.01,2m,2.0,0.0,0.5,344.0,0.35000000000000003,9,COMPLETE
