,number,value,datetime_start,datetime_complete,duration,params_ADSK_CRWD_beta_win,params_ADSK_CRWD_stop_loss,params_ADSK_CRWD_trade_freq,params_ADSK_CRWD_z_entry,params_ADSK_CRWD_z_exit,params_ADSK_CRWD_z_stop_scaler,params_ADSK_CRWD_z_win,params_APP_CRWD_beta_win,params_APP_CRWD_stop_loss,params_APP_CRWD_trade_freq,params_APP_CRWD_z_entry,params_APP_CRWD_z_exit,params_APP_CRWD_z_stop_scaler,params_APP_CRWD_z_win,params_AXON_CRWD_beta_win,params_AXON_CRWD_stop_loss,params_AXON_CRWD_trade_freq,params_AXON_CRWD_z_entry,params_AXON_CRWD_z_exit,params_AXON_CRWD_z_stop_scaler,params_AXON_CRWD_z_win,params_BIIB_CRWD_beta_win,params_BIIB_CRWD_stop_loss,params_BIIB_CRWD_trade_freq,params_BIIB_CRWD_z_entry,params_BIIB_CRWD_z_exit,params_BIIB_CRWD_z_stop_scaler,params_BIIB_CRWD_z_win,params_BKNG_CRWD_beta_win,params_BKNG_CRWD_stop_loss,params_BKNG_CRWD_trade_freq,params_BKNG_CRWD_z_entry,params_BKNG_CRWD_z_exit,params_BKNG_CRWD_z_stop_scaler,params_BKNG_CRWD_z_win,params_COST_CTSH_beta_win,params_COST_CTSH_stop_loss,params_COST_CTSH_trade_freq,params_COST_CTSH_z_entry,params_COST_CTSH_z_exit,params_COST_CTSH_z_stop_scaler,params_COST_CTSH_z_win,params_CRWD_CSCO_beta_win,params_CRWD_CSCO_stop_loss,params_CRWD_CSCO_trade_freq,params_CRWD_CSCO_z_entry,params_CRWD_CSCO_z_exit,params_CRWD_CSCO_z_stop_scaler,params_CRWD_CSCO_z_win,params_CRWD_DASH_beta_win,params_CRWD_DASH_stop_loss,params_CRWD_DASH_trade_freq,params_CRWD_DASH_z_entry,params_CRWD_DASH_z_exit,params_CRWD_DASH_z_stop_scaler,params_CRWD_DASH_z_win,params_CRWD_FTNT_beta_win,params_CRWD_FTNT_stop_loss,params_CRWD_FTNT_trade_freq,params_CRWD_FTNT_z_entry,params_CRWD_FTNT_z_exit,params_CRWD_FTNT_z_stop_scaler,params_CRWD_FTNT_z_win,params_CRWD_ISRG_beta_win,params_CRWD_ISRG_stop_loss,params_CRWD_ISRG_trade_freq,params_CRWD_ISRG_z_entry,params_CRWD_ISRG_z_exit,params_CRWD_ISRG_z_stop_scaler,params_CRWD_ISRG_z_win,params_CRWD_NFLX_beta_win,params_CRWD_NFLX_stop_loss,params_CRWD_NFLX_trade_freq,params_CRWD_NFLX_z_entry,params_CRWD_NFLX_z_exit,params_CRWD_NFLX_z_stop_scaler,params_CRWD_NFLX_z_win,params_CRWD_NXPI_beta_win,params_CRWD_NXPI_stop_loss,params_CRWD_NXPI_trade_freq,params_CRWD_NXPI_z_entry,params_CRWD_NXPI_z_exit,params_CRWD_NXPI_z_stop_scaler,params_CRWD_NXPI_z_win,params_CRWD_ORLY_beta_win,params_CRWD_ORLY_stop_loss,params_CRWD_ORLY_trade_freq,params_CRWD_ORLY_z_entry,params_CRWD_ORLY_z_exit,params_CRWD_ORLY_z_stop_scaler,params_CRWD_ORLY_z_win,params_CRWD_PLTR_beta_win,params_CRWD_PLTR_stop_loss,params_CRWD_PLTR_trade_freq,params_CRWD_PLTR_z_entry,params_CRWD_PLTR_z_exit,params_CRWD_PLTR_z_stop_scaler,params_CRWD_PLTR_z_win,params_CRWD_PYPL_beta_win,params_CRWD_PYPL_stop_loss,params_CRWD_PYPL_trade_freq,params_CRWD_PYPL_z_entry,params_CRWD_PYPL_z_exit,params_CRWD_PYPL_z_stop_scaler,params_CRWD_PYPL_z_win,params_HON_ISRG_beta_win,params_HON_ISRG_stop_loss,params_HON_ISRG_trade_freq,params_HON_ISRG_z_entry,params_HON_ISRG_z_exit,params_HON_ISRG_z_stop_scaler,params_HON_ISRG_z_win,params_LULU_MRVL_beta_win,params_LULU_MRVL_stop_loss,params_LULU_MRVL_trade_freq,params_LULU_MRVL_z_entry,params_LULU_MRVL_z_exit,params_LULU_MRVL_z_stop_scaler,params_LULU_MRVL_z_win,params_LULU_ON_beta_win,params_LULU_ON_stop_loss,params_LULU_ON_trade_freq,params_LULU_ON_z_entry,params_LULU_ON_z_exit,params_LULU_ON_z_stop_scaler,params_LULU_ON_z_win,params_MRVL_ON_beta_win,params_MRVL_ON_stop_loss,params_MRVL_ON_trade_freq,params_MRVL_ON_z_entry,params_MRVL_ON_z_exit,params_MRVL_ON_z_stop_scaler,params_MRVL_ON_z_win,params_ORLY_PCAR_beta_win,params_ORLY_PCAR_stop_loss,params_ORLY_PCAR_trade_freq,params_ORLY_PCAR_z_entry,params_ORLY_PCAR_z_exit,params_ORLY_PCAR_z_stop_scaler,params_ORLY_PCAR_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-100.0,2025-06-21 19:46:49.222974,2025-06-21 19:46:58.226369,0 days 00:00:09.003395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096,0.01,2m,3.0,1.0,1.0,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
11,11,-100.0,2025-06-21 19:46:58.298845,2025-06-21 19:46:58.989517,0 days 00:00:00.690672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1392,0.02,2m,2.8,0.4,0.5,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
12,12,-0.017702768246348026,2025-06-21 19:46:59.065960,2025-06-21 19:47:00.453910,0 days 00:00:01.387950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4760.0,0.01,4m,2.8,0.8,0.5,448.0,,,,,,,,3000,0.01,5m,2.6,0.0,0.5,664,7992.0,0.01,4m,2.0,0.2,1.0,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
13,13,-0.6410677737605033,2025-06-21 19:47:00.517484,2025-06-21 19:47:06.506018,0 days 00:00:05.988534,,,,,,,,5056.0,0.02,5m,2.6,1.0,2.0,976.0,3592.0,0.015,1m,1.8,0.4,0.5,576.0,7352.0,0.01,3m,2.4000000000000004,0.0,0.5,944.0,1736.0,0.02,5m,3.0,1.0,2.0,128.0,,,,,,,,8000.0,0.01,3m,1.0,1.0,0.5,1016.0,4456.0,0.01,4m,2.8,1.0,0.5,376.0,7848.0,0.02,5m,1.0,1.0,0.5,512.0,2080,0.01,3m,2.4000000000000004,0.0,0.5,688,8144.0,0.01,1m,3.0,0.4,2.0,288.0,7888.0,0.02,3m,1.0,0.0,2.0,984.0,4800.0,0.02,3m,2.2,1.0,1.0,120.0,,,,,,,,4648.0,0.01,3m,1.8,1.0,0.5,424.0,,,,,,,,7768.0,0.02,4m,1.0,0.0,2.0,72.0,,,,,,,,,,,,,,,1136.0,0.015,2m,2.8,1.0,2.0,896.0,0.15000000000000002,14,COMPLETE
14,14,0.11735656889308368,2025-06-21 19:47:06.585861,2025-06-21 19:47:08.494042,0 days 00:00:01.908181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5192.0,0.01,4m,2.6,0.8,0.5,408.0,,,,,,,,2480,0.01,1m,2.0,0.0,1.0,896,1344.0,0.01,3m,2.4000000000000004,0.2,1.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
15,15,-0.04498319238124321,2025-06-21 19:47:08.639447,2025-06-21 19:47:12.399755,0 days 00:00:03.760308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5336.0,0.015,4m,2.6,0.8,0.5,520.0,,,,,,,,1976,0.01,1m,1.8,0.8,1.0,1008,1040.0,0.01,3m,2.6,0.4,1.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
16,16,-2.6911793362043555,2025-06-21 19:47:12.532536,2025-06-21 19:47:26.435275,0 days 00:00:13.902739,,,,,,,,1272.0,0.01,1m,1.0,0.0,0.5,80.0,4152.0,0.01,3m,1.6,0.4,1.0,64.0,4952.0,0.01,4m,2.2,0.2,0.5,680.0,8144.0,0.01,2m,3.0,0.0,0.5,72.0,,,,,,,,1336.0,0.02,5m,1.2,0.8,2.0,832.0,3816.0,0.01,1m,2.4000000000000004,0.8,0.5,72.0,3968.0,0.02,3m,3.0,0.6000000000000001,1.5,80.0,4624,0.01,1m,2.0,0.8,1.5,856,1312.0,0.01,3m,2.4000000000000004,0.2,2.0,1024.0,,,,,,,,2752.0,0.015,4m,3.0,0.0,1.0,1008.0,,,,,,,,1176.0,0.01,2m,1.8,1.0,1.0,744.0,,,,,,,,6896.0,0.02,2m,1.4,0.4,0.5,632.0,,,,,,,,,,,,,,,8144.0,0.015,2m,2.2,0.0,1.0,992.0,0.35000000000000003,13,COMPLETE
17,17,-0.2356108249216281,2025-06-21 19:47:26.536508,2025-06-21 19:47:28.304547,0 days 00:00:01.768039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6256.0,0.01,5m,3.0,0.6000000000000001,0.5,368.0,,,,,,,,3784,0.01,1m,1.4,0.6000000000000001,1.0,248,2280.0,0.015,3m,1.8,1.0,1.0,528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
18,18,-1.2771706090191959,2025-06-21 19:47:28.398014,2025-06-21 19:47:30.314244,0 days 00:00:01.916230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5640.0,0.015,4m,1.0,0.8,1.5,256.0,,,,,,,,2144,0.01,2m,2.0,0.0,1.0,88,4344.0,0.01,3m,2.4000000000000004,0.4,1.0,216.0,,,,,,,,,,,,,,,,,,,,,,5016.0,0.01,1m,2.2,0.0,1.5,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
19,19,-3.1356994250477195,2025-06-21 19:47:30.365858,2025-06-21 19:47:38.052426,0 days 00:00:07.686568,8136.0,0.01,1m,2.6,1.0,2.0,64.0,7704.0,0.015,4m,2.0,1.0,1.5,1000.0,5736.0,0.015,4m,2.2,0.8,2.0,784.0,5288.0,0.015,5m,1.0,0.4,1.5,688.0,1264.0,0.02,3m,2.2,1.0,2.0,504.0,8048.0,0.01,1m,1.0,0.0,0.5,360.0,8072.0,0.01,2m,3.0,0.4,0.5,608.0,7944.0,0.01,4m,2.6,0.0,1.0,512.0,6224.0,0.015,5m,2.4000000000000004,0.8,0.5,696.0,1088,0.01,1m,2.4000000000000004,0.2,1.5,360,2296.0,0.02,2m,3.0,0.2,2.0,680.0,6536.0,0.01,4m,1.4,1.0,0.5,104.0,5888.0,0.02,4m,2.0,1.0,1.0,312.0,7728.0,0.01,1m,3.0,1.0,2.0,1016.0,3192.0,0.01,3m,1.6,0.8,0.5,760.0,7568.0,0.01,3m,1.0,1.0,0.5,1016.0,5440.0,0.01,3m,1.8,0.4,2.0,1008.0,3920.0,0.02,5m,3.0,0.4,1.0,432.0,2848.0,0.01,5m,2.8,0.2,1.0,800.0,3048.0,0.01,4m,2.2,1.0,1.5,128.0,0.2,20,COMPLETE
20,20,-0.3863883725635572,2025-06-21 19:47:38.123720,2025-06-21 19:47:41.229604,0 days 00:00:03.105884,,,,,,,,,,,,,,,2880.0,0.01,2m,2.4000000000000004,0.2,1.0,736.0,3848.0,0.01,3m,1.8,0.4,0.5,496.0,,,,,,,,,,,,,,,,,,,,,,3672.0,0.015,5m,2.4000000000000004,1.0,0.5,96.0,1208.0,0.015,3m,2.6,0.2,1.5,80.0,5408,0.02,2m,1.8,0.4,0.5,904,2632.0,0.015,1m,2.6,0.8,1.0,184.0,,,,,,,,2440.0,0.015,3m,1.6,0.4,0.5,368.0,,,,,,,,6544.0,0.01,1m,2.4000000000000004,0.2,1.0,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,8,COMPLETE
