,number,value,datetime_start,datetime_complete,duration,params_ADSK_CRWD_beta_win,params_ADSK_CRWD_stop_loss,params_ADSK_CRWD_trade_freq,params_ADSK_CRWD_z_entry,params_ADSK_CRWD_z_exit,params_ADSK_CRWD_z_stop_scaler,params_ADSK_CRWD_z_win,params_APP_CRWD_beta_win,params_APP_CRWD_stop_loss,params_APP_CRWD_trade_freq,params_APP_CRWD_z_entry,params_APP_CRWD_z_exit,params_APP_CRWD_z_stop_scaler,params_APP_CRWD_z_win,params_AXON_CRWD_beta_win,params_AXON_CRWD_stop_loss,params_AXON_CRWD_trade_freq,params_AXON_CRWD_z_entry,params_AXON_CRWD_z_exit,params_AXON_CRWD_z_stop_scaler,params_AXON_CRWD_z_win,params_BIIB_CRWD_beta_win,params_BIIB_CRWD_stop_loss,params_BIIB_CRWD_trade_freq,params_BIIB_CRWD_z_entry,params_BIIB_CRWD_z_exit,params_BIIB_CRWD_z_stop_scaler,params_BIIB_CRWD_z_win,params_BKNG_CRWD_beta_win,params_BKNG_CRWD_stop_loss,params_BKNG_CRWD_trade_freq,params_BKNG_CRWD_z_entry,params_BKNG_CRWD_z_exit,params_BKNG_CRWD_z_stop_scaler,params_BKNG_CRWD_z_win,params_COST_CTSH_beta_win,params_COST_CTSH_stop_loss,params_COST_CTSH_trade_freq,params_COST_CTSH_z_entry,params_COST_CTSH_z_exit,params_COST_CTSH_z_stop_scaler,params_COST_CTSH_z_win,params_CRWD_CSCO_beta_win,params_CRWD_CSCO_stop_loss,params_CRWD_CSCO_trade_freq,params_CRWD_CSCO_z_entry,params_CRWD_CSCO_z_exit,params_CRWD_CSCO_z_stop_scaler,params_CRWD_CSCO_z_win,params_CRWD_DASH_beta_win,params_CRWD_DASH_stop_loss,params_CRWD_DASH_trade_freq,params_CRWD_DASH_z_entry,params_CRWD_DASH_z_exit,params_CRWD_DASH_z_stop_scaler,params_CRWD_DASH_z_win,params_CRWD_FTNT_beta_win,params_CRWD_FTNT_stop_loss,params_CRWD_FTNT_trade_freq,params_CRWD_FTNT_z_entry,params_CRWD_FTNT_z_exit,params_CRWD_FTNT_z_stop_scaler,params_CRWD_FTNT_z_win,params_CRWD_ISRG_beta_win,params_CRWD_ISRG_stop_loss,params_CRWD_ISRG_trade_freq,params_CRWD_ISRG_z_entry,params_CRWD_ISRG_z_exit,params_CRWD_ISRG_z_stop_scaler,params_CRWD_ISRG_z_win,params_CRWD_NFLX_beta_win,params_CRWD_NFLX_stop_loss,params_CRWD_NFLX_trade_freq,params_CRWD_NFLX_z_entry,params_CRWD_NFLX_z_exit,params_CRWD_NFLX_z_stop_scaler,params_CRWD_NFLX_z_win,params_CRWD_NXPI_beta_win,params_CRWD_NXPI_stop_loss,params_CRWD_NXPI_trade_freq,params_CRWD_NXPI_z_entry,params_CRWD_NXPI_z_exit,params_CRWD_NXPI_z_stop_scaler,params_CRWD_NXPI_z_win,params_CRWD_ORLY_beta_win,params_CRWD_ORLY_stop_loss,params_CRWD_ORLY_trade_freq,params_CRWD_ORLY_z_entry,params_CRWD_ORLY_z_exit,params_CRWD_ORLY_z_stop_scaler,params_CRWD_ORLY_z_win,params_CRWD_PLTR_beta_win,params_CRWD_PLTR_stop_loss,params_CRWD_PLTR_trade_freq,params_CRWD_PLTR_z_entry,params_CRWD_PLTR_z_exit,params_CRWD_PLTR_z_stop_scaler,params_CRWD_PLTR_z_win,params_CRWD_PYPL_beta_win,params_CRWD_PYPL_stop_loss,params_CRWD_PYPL_trade_freq,params_CRWD_PYPL_z_entry,params_CRWD_PYPL_z_exit,params_CRWD_PYPL_z_stop_scaler,params_CRWD_PYPL_z_win,params_HON_ISRG_beta_win,params_HON_ISRG_stop_loss,params_HON_ISRG_trade_freq,params_HON_ISRG_z_entry,params_HON_ISRG_z_exit,params_HON_ISRG_z_stop_scaler,params_HON_ISRG_z_win,params_LULU_MRVL_beta_win,params_LULU_MRVL_stop_loss,params_LULU_MRVL_trade_freq,params_LULU_MRVL_z_entry,params_LULU_MRVL_z_exit,params_LULU_MRVL_z_stop_scaler,params_LULU_MRVL_z_win,params_LULU_ON_beta_win,params_LULU_ON_stop_loss,params_LULU_ON_trade_freq,params_LULU_ON_z_entry,params_LULU_ON_z_exit,params_LULU_ON_z_stop_scaler,params_LULU_ON_z_win,params_MRVL_ON_beta_win,params_MRVL_ON_stop_loss,params_MRVL_ON_trade_freq,params_MRVL_ON_z_entry,params_MRVL_ON_z_exit,params_MRVL_ON_z_stop_scaler,params_MRVL_ON_z_win,params_ORLY_PCAR_beta_win,params_ORLY_PCAR_stop_loss,params_ORLY_PCAR_trade_freq,params_ORLY_PCAR_z_entry,params_ORLY_PCAR_z_exit,params_ORLY_PCAR_z_stop_scaler,params_ORLY_PCAR_z_win,params_buffer_capital,params_pairs_to_trade,state
21,21,-100.0,2025-06-21 19:47:41.289317,2025-06-21 19:47:41.887381,0 days 00:00:00.598064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2944,0.01,5m,2.4000000000000004,0.0,0.5,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
22,22,-0.06448338302471844,2025-06-21 19:47:41.950479,2025-06-21 19:47:43.457151,0 days 00:00:01.506672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4960.0,0.01,4m,2.8,0.8,0.5,432.0,,,,,,,,2584,0.01,3m,2.8,0.0,0.5,696,8136.0,0.01,4m,2.0,0.2,1.0,384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
23,23,0.011687237433941714,2025-06-21 19:47:43.519152,2025-06-21 19:47:45.246378,0 days 00:00:01.727226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248.0,0.01,4m,2.8,0.6000000000000001,0.5,472.0,,,,,,,,3496,0.01,4m,2.2,0.2,1.0,864,7264.0,0.01,4m,2.2,0.2,1.0,144.0,,,,,,,,,,,,,,,,,,,,,,3952.0,0.02,2m,1.0,0.8,1.5,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
24,24,0.12392955522157044,2025-06-21 19:47:45.297074,2025-06-21 19:47:47.439567,0 days 00:00:02.142493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3456.0,0.01,4m,2.6,0.6000000000000001,1.0,624.0,3568.0,0.01,5m,1.2,0.8,1.0,1024.0,3792,0.01,4m,2.2,0.2,1.0,856,4376.0,0.01,5m,2.4000000000000004,0.0,1.5,64.0,,,,,,,,,,,,,,,,,,,,,,3896.0,0.02,2m,1.0,0.8,1.5,416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,5,COMPLETE
25,25,-0.10867990286034829,2025-06-21 19:47:47.486561,2025-06-21 19:47:49.645091,0 days 00:00:02.158530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3720.0,0.01,4m,2.6,0.4,1.0,624.0,3264.0,0.01,5m,1.4,0.8,1.0,1024.0,3952,0.01,4m,2.2,0.2,1.0,848,4472.0,0.01,5m,2.4000000000000004,0.0,1.5,64.0,,,,,,,,,,,,,,,,,,,,,,3920.0,0.02,2m,1.0,0.8,1.5,440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
26,26,-1.104507946913671,2025-06-21 19:47:49.712096,2025-06-21 19:47:54.543106,0 days 00:00:04.831010,,,,,,,,,,,,,,,5032.0,0.02,1m,1.4,0.8,0.5,376.0,1024.0,0.015,1m,2.6,1.0,1.5,736.0,3384.0,0.01,1m,1.0,0.6000000000000001,1.0,496.0,,,,,,,,4680.0,0.015,1m,1.6,0.6000000000000001,2.0,80.0,3304.0,0.01,4m,3.0,0.6000000000000001,1.0,688.0,2440.0,0.01,5m,1.2,1.0,0.5,440.0,3496,0.01,4m,1.8,0.2,1.0,928,6656.0,0.01,5m,2.2,0.0,1.0,152.0,,,,,,,,5784.0,0.015,2m,2.2,0.4,1.0,416.0,,,,,,,,5312.0,0.02,2m,1.4,1.0,1.5,320.0,,,,,,,,4864.0,0.02,4m,1.8,1.0,0.5,448.0,,,,,,,,,,,,,,,1288.0,0.02,5m,2.6,0.4,1.0,728.0,0.3,12,COMPLETE
27,27,-2.3185033934919415,2025-06-21 19:47:54.627992,2025-06-21 19:47:57.910304,0 days 00:00:03.282312,,,,,,,,,,,,,,,1328.0,0.015,4m,2.6,0.2,1.0,80.0,8184.0,0.01,4m,1.6,0.2,1.0,328.0,,,,,,,,,,,,,,,,,,,,,,4480.0,0.015,4m,2.8,0.4,1.5,544.0,3736.0,0.01,5m,1.8,0.6000000000000001,1.0,800.0,5088,0.01,4m,2.2,0.0,1.5,1008,7184.0,0.01,5m,2.6,0.2,1.5,272.0,,,,,,,,8080.0,0.02,3m,1.4,0.2,1.5,128.0,,,,,,,,4096.0,0.02,2m,1.0,0.8,1.5,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,8,COMPLETE
28,28,-0.4688479816783003,2025-06-21 19:47:57.946630,2025-06-21 19:47:59.981534,0 days 00:00:02.034904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4168.0,0.01,4m,2.2,0.8,1.0,584.0,5616.0,0.015,2m,1.2,0.8,1.5,688.0,4392,0.015,4m,2.6,0.2,1.0,792,4944.0,0.01,5m,2.2,0.4,1.0,136.0,,,,,,,,,,,,,,,,,,,,,,2064.0,0.02,2m,1.6,0.8,1.0,640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,5,COMPLETE
29,29,0.05971485976266394,2025-06-21 19:48:00.029474,2025-06-21 19:48:02.471751,0 days 00:00:02.442277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5744.0,0.01,1m,2.6,0.6000000000000001,0.5,456.0,4376.0,0.015,5m,1.6,0.4,0.5,896.0,3296,0.01,4m,2.4000000000000004,0.4,1.5,880,1720.0,0.01,4m,2.8,0.0,1.5,256.0,,,,,,,,2408.0,0.01,4m,2.0,0.8,0.5,1008.0,,,,,,,,2600.0,0.015,2m,1.4,1.0,2.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,6,COMPLETE
30,30,-1.16459148988648,2025-06-21 19:48:02.517350,2025-06-21 19:48:05.383366,0 days 00:00:02.866016,,,,,,,,,,,,,,,6832.0,0.015,2m,1.0,0.8,2.0,776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5712.0,0.015,1m,2.6,1.0,0.5,776.0,4512.0,0.015,5m,1.6,0.4,0.5,896.0,4304,0.01,4m,2.4000000000000004,0.4,2.0,752,1728.0,0.015,3m,2.8,0.0,1.5,256.0,,,,,,,,1976.0,0.01,4m,2.0,0.8,0.5,1024.0,,,,,,,,2704.0,0.015,2m,1.4,1.0,2.0,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,7,COMPLETE
31,31,0.012753565893155915,2025-06-21 19:48:05.439883,2025-06-21 19:48:07.231590,0 days 00:00:01.791707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5160.0,0.01,1m,2.8,0.6000000000000001,0.5,440.0,,,,,,,,3400,0.01,4m,2.2,0.4,1.5,872,1792.0,0.01,4m,2.8,0.0,1.5,128.0,,,,,,,,,,,,,,,,,,,,,,3912.0,0.015,2m,1.0,1.0,2.0,368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,4,COMPLETE
32,32,-0.023004329362025774,2025-06-21 19:48:07.282311,2025-06-21 19:48:09.528482,0 days 00:00:02.246171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5152.0,0.01,1m,2.6,0.6000000000000001,0.5,416.0,4104.0,0.015,5m,1.4,0.2,0.5,992.0,3088,0.01,4m,2.6,0.4,1.5,960,2080.0,0.01,4m,2.8,0.0,1.5,120.0,,,,,,,,3656.0,0.01,4m,2.4000000000000004,1.0,0.5,880.0,,,,,,,,4368.0,0.015,2m,1.4,1.0,2.0,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,6,COMPLETE
33,33,-0.03535008641452997,2025-06-21 19:48:09.563621,2025-06-21 19:48:12.045662,0 days 00:00:02.482041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6160.0,0.01,1m,2.0,0.4,0.5,664.0,5240.0,0.01,5m,1.2,0.6000000000000001,1.0,864.0,2464,0.01,4m,2.4000000000000004,0.4,1.5,784,2888.0,0.01,4m,2.8,0.0,2.0,64.0,,,,,,,,1640.0,0.015,4m,1.8,0.8,1.0,624.0,,,,,,,,2840.0,0.015,2m,1.0,1.0,2.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,6,COMPLETE
34,34,-1.4961515216053207,2025-06-21 19:48:12.111649,2025-06-21 19:48:15.626439,0 days 00:00:03.514790,,,,,,,,,,,,,,,4640.0,0.01,1m,1.6,0.2,1.0,440.0,5864.0,0.015,5m,2.6,0.6000000000000001,2.0,88.0,,,,,,,,,,,,,,,,,,,,,,6984.0,0.01,3m,3.0,0.8,1.0,592.0,2264.0,0.02,5m,2.0,0.4,0.5,672.0,3408,0.015,1m,2.0,0.4,2.0,896,1608.0,0.01,4m,2.6,0.0,1.5,472.0,,,,,,,,2832.0,0.01,2m,1.4,0.4,0.5,448.0,,,,,,,,3536.0,0.015,3m,1.2,1.0,2.0,72.0,,,,,,,,6232.0,0.01,3m,1.0,0.2,1.5,64.0,,,,,,,,,,,,,,,,,,,,,,0.25,9,COMPLETE
35,35,0.019319328143255803,2025-06-21 19:48:15.675319,2025-06-21 19:48:17.409714,0 days 00:00:01.734395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5552.0,0.01,1m,2.2,0.6000000000000001,0.5,368.0,,,,,,,,5568,0.01,4m,1.6,0.6000000000000001,1.5,808,4000.0,0.01,4m,3.0,0.0,1.5,240.0,,,,,,,,,,,,,,,,,,,,,,2504.0,0.015,2m,1.6,0.8,2.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
36,36,0.008435445765873368,2025-06-21 19:48:17.474015,2025-06-21 19:48:18.572787,0 days 00:00:01.098772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5744.0,0.01,1m,2.2,0.6000000000000001,1.0,320.0,,,,,,,,5592,0.015,4m,1.6,0.6000000000000001,2.0,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
37,37,-0.008046180831963576,2025-06-21 19:48:18.633461,2025-06-21 19:48:21.504468,0 days 00:00:02.871007,,,,,,,,,,,,,,,2472.0,0.02,3m,2.0,0.4,0.5,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6784.0,0.01,1m,1.8,0.6000000000000001,1.5,240.0,3336.0,0.015,5m,1.6,0.8,1.0,888.0,7400,0.015,1m,1.4,0.6000000000000001,1.5,744,4112.0,0.01,2m,3.0,0.2,1.5,320.0,,,,,,,,4080.0,0.01,4m,3.0,1.0,1.0,952.0,,,,,,,,2488.0,0.015,2m,1.8,0.6000000000000001,1.5,288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,7,COMPLETE
38,38,-0.25036182428703907,2025-06-21 19:48:21.566281,2025-06-21 19:48:22.437231,0 days 00:00:00.870950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2096.0,0.015,2m,2.4000000000000004,0.8,2.0,368.0,,,,,,,,5960,0.01,4m,1.2,0.8,1.5,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
39,39,0.039962833763471955,2025-06-21 19:48:22.487143,2025-06-21 19:48:24.682732,0 days 00:00:02.195589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3088.0,0.015,3m,2.2,0.4,0.5,512.0,6544.0,0.01,1m,1.0,0.2,0.5,736.0,4176,0.015,3m,1.8,0.6000000000000001,1.0,584,3904.0,0.01,5m,3.0,0.0,2.0,240.0,,,,,,,,,,,,,,,,,,,,,,1048.0,0.015,2m,1.6,0.8,2.0,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,5,COMPLETE
40,40,-0.7074642631345429,2025-06-21 19:48:24.728579,2025-06-21 19:48:28.639796,0 days 00:00:03.911217,,,,,,,,,,,,,,,7032.0,0.015,4m,2.8,1.0,2.0,672.0,3336.0,0.015,5m,2.0,0.2,1.5,864.0,,,,,,,,,,,,,,,3184.0,0.01,5m,3.0,1.0,1.0,584.0,2992.0,0.015,3m,2.0,0.2,1.0,728.0,6320.0,0.01,1m,1.0,0.2,0.5,752.0,4112,0.02,3m,1.8,0.2,1.0,488,2912.0,0.015,5m,2.4000000000000004,0.0,2.0,192.0,,,,,,,,5664.0,0.015,4m,2.4000000000000004,0.6000000000000001,0.5,872.0,,,,,,,,1064.0,0.015,5m,2.0,0.6000000000000001,1.5,200.0,,,,,,,,3488.0,0.02,1m,3.0,0.6000000000000001,2.0,808.0,,,,,,,,,,,,,,,4344.0,0.015,3m,1.8,0.2,0.5,296.0,0.2,11,COMPLETE
41,41,-0.03594462945122891,2025-06-21 19:48:28.723428,2025-06-21 19:48:30.932078,0 days 00:00:02.208650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976.0,0.01,3m,2.2,0.4,0.5,496.0,4792.0,0.01,1m,1.2,0.2,0.5,1024.0,5016,0.015,3m,1.6,0.6000000000000001,1.0,600,4048.0,0.01,5m,3.0,0.0,2.0,264.0,,,,,,,,,,,,,,,,,,,,,,2240.0,0.015,2m,1.6,0.8,2.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
42,42,-1.3584672547898162,2025-06-21 19:48:30.995467,2025-06-21 19:48:33.251882,0 days 00:00:02.256415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3136.0,0.01,3m,2.4000000000000004,0.4,0.5,568.0,8008.0,0.01,1m,1.0,0.4,1.0,872.0,4752,0.015,3m,1.6,0.6000000000000001,1.0,824,4928.0,0.01,5m,3.0,0.0,1.5,424.0,,,,,,,,2104.0,0.01,2m,1.2,0.8,1.5,656.0,,,,,,,,1616.0,0.015,2m,1.4,0.8,2.0,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,6,COMPLETE
43,43,-0.6369015920086271,2025-06-21 19:48:33.307829,2025-06-21 19:48:34.979845,0 days 00:00:01.672016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520.0,0.01,2m,1.6,0.4,0.5,328.0,,,,,,,,3832,0.015,3m,2.0,0.8,1.5,728,3568.0,0.01,5m,2.8,0.2,2.0,224.0,,,,,,,,,,,,,,,,,,,,,,1504.0,0.015,2m,1.6,0.8,2.0,384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
44,44,-1.493063155773118,2025-06-21 19:48:35.052777,2025-06-21 19:48:38.489717,0 days 00:00:03.436940,,,,,,,,,,,,,,,5136.0,0.01,1m,2.2,0.0,1.5,856.0,6216.0,0.01,4m,1.0,0.8,1.0,392.0,,,,,,,,,,,,,,,,,,,,,,3384.0,0.015,3m,2.0,0.6000000000000001,0.5,392.0,6208.0,0.01,1m,1.4,0.6000000000000001,0.5,608.0,5328,0.01,4m,1.8,0.6000000000000001,1.0,936,3944.0,0.01,1m,2.6,0.0,1.5,336.0,,,,,,,,4088.0,0.015,5m,1.8,0.4,1.0,472.0,,,,,,,,2920.0,0.015,2m,2.0,0.6000000000000001,2.0,128.0,,,,,,,,1136.0,0.01,2m,1.4,1.0,1.5,608.0,,,,,,,,,,,,,,,,,,,,,,0.45,9,COMPLETE
45,45,-0.15195923938725342,2025-06-21 19:48:38.534689,2025-06-21 19:48:39.409314,0 days 00:00:00.874625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5992.0,0.02,1m,2.2,0.2,0.5,624.0,,,,,,,,1712,0.02,1m,2.0,0.4,1.5,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
46,46,-1.4115814897202525,2025-06-21 19:48:39.447582,2025-06-21 19:48:42.449097,0 days 00:00:03.001515,,,,,,,,,,,,,,,4056.0,0.02,2m,1.4,0.6000000000000001,1.0,440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2424.0,0.015,1m,2.4000000000000004,0.6000000000000001,0.5,480.0,5800.0,0.015,2m,1.8,0.6000000000000001,1.0,752.0,5976,0.01,4m,1.2,1.0,1.0,656,6192.0,0.01,2m,1.6,0.0,1.5,120.0,,,,,,,,5128.0,0.01,3m,2.2,0.6000000000000001,2.0,232.0,,,,,,,,2392.0,0.015,5m,1.2,0.4,1.5,536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,7,COMPLETE
47,47,-0.026276153885741855,2025-06-21 19:48:42.512409,2025-06-21 19:48:44.135230,0 days 00:00:01.622821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6552.0,0.01,3m,1.6,0.0,1.0,864.0,7120.0,0.01,4m,1.2,0.2,0.5,944.0,2968,0.01,3m,2.2,0.8,1.5,1024,4864.0,0.01,4m,3.0,0.2,1.5,440.0,,,,,,,,,,,,,,,,,,,,,,3440.0,0.015,4m,1.8,0.6000000000000001,2.0,304.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
48,48,-0.7263377677400579,2025-06-21 19:48:44.193527,2025-06-21 19:48:49.780389,0 days 00:00:05.586862,1200.0,0.02,4m,1.0,0.8,2.0,1008.0,4168.0,0.015,1m,2.0,0.6000000000000001,1.0,88.0,3208.0,0.015,5m,2.4000000000000004,0.8,2.0,640.0,1024.0,0.02,3m,2.8,0.4,0.5,816.0,8192.0,0.02,5m,2.4000000000000004,0.4,1.5,704.0,,,,,,,,6384.0,0.02,3m,1.8,0.0,1.5,784.0,5512.0,0.01,2m,2.6,0.4,0.5,272.0,4176.0,0.01,2m,1.6,0.4,1.0,808.0,4312,0.01,5m,1.8,0.0,1.0,832,3120.0,0.015,5m,2.8,0.0,0.5,176.0,5344.0,0.015,1m,2.0,0.0,0.5,984.0,3048.0,0.01,4m,1.8,1.0,0.5,792.0,,,,,,,,1536.0,0.015,2m,1.4,0.8,2.0,216.0,,,,,,,,8144.0,0.015,4m,2.0,0.2,0.5,168.0,,,,,,,,,,,,,,,7808.0,0.01,1m,1.0,0.8,1.5,736.0,0.3,15,COMPLETE
49,49,-0.014948810969616625,2025-06-21 19:48:49.860703,2025-06-21 19:48:51.443534,0 days 00:00:01.582831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7296.0,0.02,1m,2.0,0.8,1.0,544.0,,,,,,,,3712,0.015,4m,1.6,0.6000000000000001,1.5,760,5392.0,0.01,4m,2.6,0.6000000000000001,2.0,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
50,50,0.052747629179585094,2025-06-21 19:48:51.503297,2025-06-21 19:48:54.829646,0 days 00:00:03.326349,,,,,,,,,,,,,,,1864.0,0.01,3m,1.8,0.2,0.5,888.0,6568.0,0.015,1m,2.2,1.0,2.0,584.0,,,,,,,,,,,,,,,,,,,,,,4896.0,0.015,4m,2.4000000000000004,0.2,0.5,200.0,5248.0,0.015,3m,2.2,1.0,0.5,952.0,6752,0.01,1m,2.8,0.2,1.0,984,3632.0,0.01,3m,3.0,0.8,1.5,104.0,,,,,,,,7240.0,0.015,4m,2.6,0.2,1.5,936.0,,,,,,,,2032.0,0.015,3m,1.6,0.4,1.5,184.0,,,,,,,,4176.0,0.015,1m,1.4,0.6000000000000001,1.0,800.0,,,,,,,,,,,,,,,,,,,,,,0.2,9,COMPLETE
51,51,0.2814624604313631,2025-06-21 19:48:54.882008,2025-06-21 19:48:58.782142,0 days 00:00:03.900134,,,,,,,,,,,,,,,1672.0,0.01,3m,1.8,0.2,0.5,888.0,6656.0,0.015,1m,2.2,1.0,2.0,568.0,,,,,,,,,,,,,,,,,,,,,,4832.0,0.015,4m,2.4000000000000004,0.2,0.5,176.0,5200.0,0.015,3m,2.4000000000000004,1.0,0.5,944.0,7000,0.01,1m,2.8,0.2,1.0,896,3816.0,0.01,3m,3.0,0.8,1.5,104.0,,,,,,,,7360.0,0.015,4m,2.6,0.2,1.5,960.0,,,,,,,,2056.0,0.015,3m,1.6,0.4,1.5,184.0,,,,,,,,3984.0,0.015,1m,1.4,0.6000000000000001,1.0,816.0,,,,,,,,,,,,,,,,,,,,,,0.2,9,COMPLETE
52,52,0.6479871484409911,2025-06-21 19:48:58.863134,2025-06-21 19:49:02.205369,0 days 00:00:03.342235,,,,,,,,,,,,,,,1880.0,0.01,3m,1.8,0.2,0.5,896.0,6520.0,0.015,1m,2.2,1.0,2.0,584.0,,,,,,,,,,,,,,,,,,,,,,4824.0,0.015,4m,2.4000000000000004,0.2,0.5,144.0,5384.0,0.015,3m,2.2,1.0,0.5,952.0,8080,0.01,1m,3.0,0.2,1.0,976,3552.0,0.01,3m,3.0,0.8,1.5,96.0,,,,,,,,7464.0,0.015,4m,2.6,0.2,1.5,944.0,,,,,,,,2048.0,0.015,3m,1.2,0.4,1.5,72.0,,,,,,,,4152.0,0.015,1m,1.4,0.6000000000000001,1.0,824.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,9,COMPLETE
53,53,0.16253012988751014,2025-06-21 19:49:02.262387,2025-06-21 19:49:06.428200,0 days 00:00:04.165813,,,,,,,,,,,,,,,1872.0,0.01,3m,1.8,0.2,0.5,856.0,6552.0,0.015,1m,2.2,1.0,2.0,608.0,,,,,,,,,,,,,,,3152.0,0.015,1m,2.4000000000000004,0.4,0.5,360.0,4800.0,0.015,4m,2.6,0.2,0.5,136.0,5160.0,0.015,3m,2.2,1.0,0.5,952.0,7960,0.01,1m,3.0,0.2,1.0,984,1048.0,0.01,3m,2.8,0.8,1.5,96.0,,,,,,,,7192.0,0.015,4m,2.6,0.2,1.5,944.0,,,,,,,,1968.0,0.015,3m,1.2,0.4,1.5,64.0,,,,,,,,4224.0,0.015,1m,1.4,0.6000000000000001,1.0,824.0,,,,,,,,,,,,,,,2968.0,0.02,5m,1.8,0.2,1.0,296.0,0.15000000000000002,11,COMPLETE
