,number,value,datetime_start,datetime_complete,duration,params_AEP_DOCU_beta_win,params_AEP_DOCU_stop_loss,params_AEP_DOCU_trade_freq,params_AEP_DOCU_z_entry,params_AEP_DOCU_z_exit,params_AEP_DOCU_z_stop_scaler,params_AEP_DOCU_z_win,params_AEP_IDXX_beta_win,params_AEP_IDXX_stop_loss,params_AEP_IDXX_trade_freq,params_AEP_IDXX_z_entry,params_AEP_IDXX_z_exit,params_AEP_IDXX_z_stop_scaler,params_AEP_IDXX_z_win,params_ATVI_INTC_beta_win,params_ATVI_INTC_stop_loss,params_ATVI_INTC_trade_freq,params_ATVI_INTC_z_entry,params_ATVI_INTC_z_exit,params_ATVI_INTC_z_stop_scaler,params_ATVI_INTC_z_win,params_CDNS_EXC_beta_win,params_CDNS_EXC_stop_loss,params_CDNS_EXC_trade_freq,params_CDNS_EXC_z_entry,params_CDNS_EXC_z_exit,params_CDNS_EXC_z_stop_scaler,params_CDNS_EXC_z_win,params_CERN_ROST_beta_win,params_CERN_ROST_stop_loss,params_CERN_ROST_trade_freq,params_CERN_ROST_z_entry,params_CERN_ROST_z_exit,params_CERN_ROST_z_stop_scaler,params_CERN_ROST_z_win,params_CHKP_DOCU_beta_win,params_CHKP_DOCU_stop_loss,params_CHKP_DOCU_trade_freq,params_CHKP_DOCU_z_entry,params_CHKP_DOCU_z_exit,params_CHKP_DOCU_z_stop_scaler,params_CHKP_DOCU_z_win,params_CHTR_IDXX_beta_win,params_CHTR_IDXX_stop_loss,params_CHTR_IDXX_trade_freq,params_CHTR_IDXX_z_entry,params_CHTR_IDXX_z_exit,params_CHTR_IDXX_z_stop_scaler,params_CHTR_IDXX_z_win,params_COST_INTU_beta_win,params_COST_INTU_stop_loss,params_COST_INTU_trade_freq,params_COST_INTU_z_entry,params_COST_INTU_z_exit,params_COST_INTU_z_stop_scaler,params_COST_INTU_z_win,params_CRWD_OKTA_beta_win,params_CRWD_OKTA_stop_loss,params_CRWD_OKTA_trade_freq,params_CRWD_OKTA_z_entry,params_CRWD_OKTA_z_exit,params_CRWD_OKTA_z_stop_scaler,params_CRWD_OKTA_z_win,params_CSCO_ISRG_beta_win,params_CSCO_ISRG_stop_loss,params_CSCO_ISRG_trade_freq,params_CSCO_ISRG_z_entry,params_CSCO_ISRG_z_exit,params_CSCO_ISRG_z_stop_scaler,params_CSCO_ISRG_z_win,params_DOCU_HON_beta_win,params_DOCU_HON_stop_loss,params_DOCU_HON_trade_freq,params_DOCU_HON_z_entry,params_DOCU_HON_z_exit,params_DOCU_HON_z_stop_scaler,params_DOCU_HON_z_win,params_DOCU_IDXX_beta_win,params_DOCU_IDXX_stop_loss,params_DOCU_IDXX_trade_freq,params_DOCU_IDXX_z_entry,params_DOCU_IDXX_z_exit,params_DOCU_IDXX_z_stop_scaler,params_DOCU_IDXX_z_win,params_DOCU_SBUX_beta_win,params_DOCU_SBUX_stop_loss,params_DOCU_SBUX_trade_freq,params_DOCU_SBUX_z_entry,params_DOCU_SBUX_z_exit,params_DOCU_SBUX_z_stop_scaler,params_DOCU_SBUX_z_win,params_EXC_LULU_beta_win,params_EXC_LULU_stop_loss,params_EXC_LULU_trade_freq,params_EXC_LULU_z_entry,params_EXC_LULU_z_exit,params_EXC_LULU_z_stop_scaler,params_EXC_LULU_z_win,params_EXC_MSFT_beta_win,params_EXC_MSFT_stop_loss,params_EXC_MSFT_trade_freq,params_EXC_MSFT_z_entry,params_EXC_MSFT_z_exit,params_EXC_MSFT_z_stop_scaler,params_EXC_MSFT_z_win,params_GILD_PCAR_beta_win,params_GILD_PCAR_stop_loss,params_GILD_PCAR_trade_freq,params_GILD_PCAR_z_entry,params_GILD_PCAR_z_exit,params_GILD_PCAR_z_stop_scaler,params_GILD_PCAR_z_win,params_HON_IDXX_beta_win,params_HON_IDXX_stop_loss,params_HON_IDXX_trade_freq,params_HON_IDXX_z_entry,params_HON_IDXX_z_exit,params_HON_IDXX_z_stop_scaler,params_HON_IDXX_z_win,params_IDXX_SBUX_beta_win,params_IDXX_SBUX_stop_loss,params_IDXX_SBUX_trade_freq,params_IDXX_SBUX_z_entry,params_IDXX_SBUX_z_exit,params_IDXX_SBUX_z_stop_scaler,params_IDXX_SBUX_z_win,params_LRCX_MU_beta_win,params_LRCX_MU_stop_loss,params_LRCX_MU_trade_freq,params_LRCX_MU_z_entry,params_LRCX_MU_z_exit,params_LRCX_MU_z_stop_scaler,params_LRCX_MU_z_win,params_NTES_PCAR_beta_win,params_NTES_PCAR_stop_loss,params_NTES_PCAR_trade_freq,params_NTES_PCAR_z_entry,params_NTES_PCAR_z_exit,params_NTES_PCAR_z_stop_scaler,params_NTES_PCAR_z_win,params_PYPL_XLNX_beta_win,params_PYPL_XLNX_stop_loss,params_PYPL_XLNX_trade_freq,params_PYPL_XLNX_z_entry,params_PYPL_XLNX_z_exit,params_PYPL_XLNX_z_stop_scaler,params_PYPL_XLNX_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-1.061631005913507,2025-06-21 19:05:54.909267,2025-06-21 19:05:58.630419,0 days 00:00:03.721152,,,,,,,,8112.0,0.01,3m,1.0,0.2,2.0,928.0,3544,0.02,5m,2.6,0.6000000000000001,1.5,368,2384.0,0.015,4m,2.2,0.6000000000000001,2.0,752.0,3576.0,0.02,2m,2.8,1.0,0.5,952.0,,,,,,,,,,,,,,,6648,0.015,3m,1.8,0.2,1.0,224,,,,,,,,,,,,,,,1096.0,0.015,3m,1.4,0.0,1.5,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040.0,0.01,1m,2.6,0.0,0.5,88.0,4864.0,0.02,2m,1.8,0.8,2.0,880.0,5928.0,0.015,3m,1.8,0.2,0.5,368.0,,,,,,,,,,,,,,,,,,,,,,0.4,8,COMPLETE
21,21,0.10533015385830094,2025-06-21 19:05:58.675207,2025-06-21 19:05:59.396869,0 days 00:00:00.721662,,,,,,,,,,,,,,,5272,0.02,4m,2.2,0.8,2.0,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136,0.02,4m,1.8,1.0,1.0,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
22,22,0.08550580328542497,2025-06-21 19:05:59.474291,2025-06-21 19:06:00.560948,0 days 00:00:01.086657,,,,,,,,,,,,,,,6856,0.02,4m,2.2,0.8,2.0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1624,0.02,4m,2.0,0.8,1.0,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
23,23,-0.7199606300000353,2025-06-21 19:06:00.648878,2025-06-21 19:06:02.550098,0 days 00:00:01.901220,,,,,,,,,,,,,,,5552,0.02,4m,2.6,1.0,2.0,224,,,,,,,,4936.0,0.015,4m,2.2,0.8,1.0,392.0,,,,,,,,,,,,,,,1032,0.02,4m,1.6,1.0,1.0,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3664.0,0.015,3m,1.2,0.4,1.5,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
24,24,0.5535695442484555,2025-06-21 19:06:02.610087,2025-06-21 19:06:04.778944,0 days 00:00:02.168857,,,,,,,,1504.0,0.01,4m,3.0,0.2,1.5,448.0,4568,0.015,2m,1.8,0.8,2.0,160,6048.0,0.02,3m,1.4,0.8,1.5,624.0,6272.0,0.015,2m,2.8,1.0,0.5,768.0,,,,,,,,,,,,,,,2152,0.015,4m,2.4000000000000004,0.8,1.5,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064.0,0.01,4m,1.4,0.2,2.0,688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,5,COMPLETE
25,25,-0.04838735777527645,2025-06-21 19:06:04.854032,2025-06-21 19:06:07.589800,0 days 00:00:02.735768,,,,,,,,1528.0,0.01,4m,3.0,0.2,1.5,432.0,4320,0.015,2m,1.4,0.6000000000000001,1.5,168,6224.0,0.02,3m,1.4,0.8,1.5,616.0,6272.0,0.015,2m,2.6,1.0,0.5,784.0,,,,,,,,,,,,,,,2416,0.015,5m,2.4000000000000004,0.8,2.0,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2184.0,0.01,4m,1.4,0.2,2.0,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,5,COMPLETE
26,26,0.2516139206875508,2025-06-21 19:06:07.649697,2025-06-21 19:06:12.604741,0 days 00:00:04.955044,,,,,,,,1056.0,0.01,4m,3.0,0.2,2.0,208.0,2600,0.015,2m,1.8,1.0,2.0,256,7760.0,0.02,3m,1.6,0.8,2.0,464.0,7576.0,0.015,2m,2.8,0.8,0.5,824.0,1488.0,0.01,3m,3.0,1.0,0.5,80.0,,,,,,,,3824,0.015,4m,2.4000000000000004,0.4,1.5,384,,,,,,,,,,,,,,,4792.0,0.02,4m,2.6,0.8,1.0,64.0,,,,,,,,7848.0,0.01,3m,3.0,1.0,0.5,600.0,,,,,,,,,,,,,,,6464.0,0.01,4m,2.4000000000000004,0.2,1.5,1024.0,1832.0,0.01,4m,1.2,0.2,2.0,696.0,7000.0,0.015,3m,2.4000000000000004,1.0,1.5,288.0,8152.0,0.015,3m,2.4000000000000004,0.0,1.0,800.0,,,,,,,,7576.0,0.015,3m,3.0,0.0,0.5,896.0,0.4,12,COMPLETE
27,27,-1.0916297444294674,2025-06-21 19:06:12.671405,2025-06-21 19:06:17.785762,0 days 00:00:05.114357,,,,,,,,1144.0,0.01,4m,3.0,0.2,2.0,192.0,2408,0.015,2m,1.4,1.0,1.5,256,7128.0,0.02,3m,1.6,0.8,2.0,416.0,5640.0,0.015,2m,2.8,0.8,1.0,856.0,1120.0,0.01,3m,3.0,1.0,0.5,112.0,,,,,,,,3880,0.015,4m,2.6,0.4,1.5,624,,,,,,,,,,,,,,,4520.0,0.02,4m,2.6,0.8,1.0,80.0,,,,,,,,8192.0,0.01,3m,3.0,1.0,0.5,640.0,,,,,,,,,,,,,,,6416.0,0.01,4m,2.4000000000000004,0.2,1.5,1016.0,1904.0,0.01,4m,1.2,0.2,2.0,680.0,7056.0,0.015,3m,2.6,1.0,1.5,312.0,7832.0,0.015,3m,2.4000000000000004,0.0,1.0,784.0,,,,,,,,7608.0,0.015,3m,3.0,0.0,0.5,968.0,0.4,12,COMPLETE
28,28,-0.6639841582465437,2025-06-21 19:06:17.845327,2025-06-21 19:06:21.703469,0 days 00:00:03.858142,,,,,,,,1960.0,0.01,4m,2.8,0.0,1.5,400.0,3584,0.015,2m,1.8,1.0,2.0,336,7736.0,0.02,3m,1.8,1.0,2.0,552.0,7424.0,0.015,2m,2.2,0.8,0.5,1024.0,,,,,,,,,,,,,,,4600,0.015,4m,2.4000000000000004,0.0,1.5,384,,,,,,,,,,,,,,,3272.0,0.02,4m,2.6,0.8,1.0,288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8008.0,0.01,4m,2.2,0.2,2.0,608.0,2720.0,0.01,4m,1.4,0.0,2.0,800.0,5136.0,0.015,3m,2.2,1.0,1.0,272.0,7936.0,0.015,3m,2.2,0.2,1.5,744.0,,,,,,,,,,,,,,,0.45,9,COMPLETE
29,29,-0.4889142103524879,2025-06-21 19:06:21.751775,2025-06-21 19:06:27.203262,0 days 00:00:05.451487,7544.0,0.02,3m,3.0,0.0,2.0,1024.0,3976.0,0.01,4m,2.4000000000000004,0.2,2.0,216.0,2192,0.01,2m,1.8,0.8,1.0,448,5784.0,0.02,3m,1.6,0.6000000000000001,1.5,672.0,6576.0,0.01,2m,2.8,0.6000000000000001,0.5,728.0,2104.0,0.015,3m,2.6,1.0,1.0,328.0,,,,,,,,3400,0.01,5m,2.8,0.4,2.0,568,,,,,,,,,,,,,,,5232.0,0.015,4m,2.2,0.4,1.5,632.0,8056.0,0.01,5m,2.6,0.6000000000000001,0.5,1000.0,6032.0,0.01,3m,2.8,0.6000000000000001,0.5,456.0,,,,,,,,,,,,,,,6120.0,0.01,3m,3.0,0.2,1.0,288.0,1616.0,0.01,4m,1.0,0.4,1.5,608.0,6912.0,0.01,3m,2.0,0.2,2.0,496.0,5400.0,0.01,1m,3.0,0.2,1.0,800.0,,,,,,,,5768.0,0.015,5m,2.6,0.0,1.0,1000.0,0.4,14,COMPLETE
30,30,0.35893498527149054,2025-06-21 19:06:27.255743,2025-06-21 19:06:32.201866,0 days 00:00:04.946123,,,,,,,,2520.0,0.01,4m,2.6,0.0,2.0,640.0,1320,0.015,2m,1.4,1.0,2.0,304,7096.0,0.02,3m,1.4,0.8,2.0,776.0,5248.0,0.015,2m,2.6,1.0,1.0,632.0,,,,,,,,,,,,,,,2960,0.015,2m,2.8,0.2,1.5,488,,,,,,,,,,,,,,,7184.0,0.02,4m,2.8,1.0,2.0,296.0,,,,,,,,6648.0,0.01,2m,1.4,0.8,1.0,784.0,,,,,,,,,,,,,,,7008.0,0.01,4m,2.6,0.4,1.5,600.0,2288.0,0.01,4m,1.8,0.2,2.0,736.0,5168.0,0.02,4m,2.6,0.8,1.5,240.0,6840.0,0.015,4m,2.0,0.2,0.5,280.0,,,,,,,,8168.0,0.015,3m,2.4000000000000004,0.8,0.5,784.0,0.5,11,COMPLETE
31,31,-0.17496254859668178,2025-06-21 19:06:32.273680,2025-06-21 19:06:37.414551,0 days 00:00:05.140871,,,,,,,,2456.0,0.01,4m,3.0,0.0,2.0,648.0,1168,0.015,2m,1.2,1.0,2.0,312,7040.0,0.02,3m,1.4,0.8,2.0,800.0,5080.0,0.015,2m,2.6,1.0,1.0,672.0,,,,,,,,,,,,,,,3008,0.015,2m,3.0,0.2,1.5,480,,,,,,,,,,,,,,,7088.0,0.02,4m,2.8,1.0,2.0,256.0,,,,,,,,6704.0,0.01,2m,1.2,0.8,1.0,784.0,,,,,,,,,,,,,,,7112.0,0.01,4m,2.6,0.4,1.5,544.0,2344.0,0.01,4m,1.8,0.2,2.0,744.0,5152.0,0.02,4m,2.6,0.8,1.5,232.0,6800.0,0.015,4m,2.0,0.2,0.5,192.0,,,,,,,,8184.0,0.015,3m,2.4000000000000004,0.8,0.5,776.0,0.45,11,COMPLETE
32,32,0.13040485805750085,2025-06-21 19:06:37.465657,2025-06-21 19:06:43.844145,0 days 00:00:06.378488,7944.0,0.015,4m,3.0,0.0,0.5,64.0,1144.0,0.01,4m,2.6,0.2,2.0,464.0,2624,0.015,2m,1.6,1.0,2.0,200,7368.0,0.02,3m,1.2,0.8,2.0,680.0,5728.0,0.015,2m,2.8,1.0,0.5,824.0,3256.0,0.01,3m,2.4000000000000004,1.0,1.0,816.0,,,,,,,,3720,0.015,2m,2.6,0.2,1.5,384,1032.0,0.01,4m,3.0,0.0,0.5,104.0,,,,,,,,7032.0,0.02,4m,2.4000000000000004,0.8,2.0,72.0,7672.0,0.02,5m,2.2,0.6000000000000001,0.5,680.0,7248.0,0.01,2m,1.4,0.8,0.5,824.0,,,,,,,,,,,,,,,5504.0,0.01,4m,2.2,0.4,1.5,1016.0,3392.0,0.01,4m,1.4,0.0,2.0,864.0,6920.0,0.02,4m,2.4000000000000004,1.0,1.5,432.0,7416.0,0.015,4m,2.0,0.0,0.5,320.0,,,,,,,,6728.0,0.015,3m,2.6,1.0,1.0,824.0,0.5,15,COMPLETE
33,33,-0.5371921235350042,2025-06-21 19:06:43.931810,2025-06-21 19:06:48.900280,0 days 00:00:04.968470,,,,,,,,1944.0,0.01,4m,2.8,0.0,1.5,640.0,1072,0.015,2m,1.4,1.0,1.5,536,6832.0,0.02,3m,1.2,1.0,2.0,616.0,4456.0,0.015,2m,2.6,0.8,0.5,560.0,3616.0,0.015,5m,2.4000000000000004,0.8,0.5,64.0,,,,,,,,2848,0.015,2m,2.8,0.4,1.5,504,,,,,,,,,,,,,,,5232.0,0.015,4m,2.8,1.0,1.5,352.0,,,,,,,,4872.0,0.01,4m,2.0,1.0,1.0,584.0,,,,,,,,,,,,,,,7160.0,0.015,4m,2.6,0.2,1.0,632.0,1592.0,0.01,4m,1.2,0.2,2.0,688.0,5176.0,0.015,4m,3.0,0.8,1.0,240.0,4928.0,0.015,5m,2.6,0.2,1.0,640.0,,,,,,,,8184.0,0.02,3m,2.4000000000000004,0.6000000000000001,0.5,792.0,0.5,12,COMPLETE
34,34,0.13535984730386275,2025-06-21 19:06:48.977244,2025-06-21 19:06:52.169878,0 days 00:00:03.192634,,,,,,,,2888.0,0.01,4m,2.6,0.4,2.0,352.0,3152,0.015,2m,1.8,0.8,2.0,160,8144.0,0.02,3m,2.0,0.6000000000000001,1.5,496.0,6888.0,0.01,2m,2.2,1.0,1.0,664.0,,,,,,,,,,,,,,,4976,0.015,2m,2.4000000000000004,0.2,2.0,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3136.0,0.01,4m,1.8,0.4,1.5,544.0,7448.0,0.02,2m,2.4000000000000004,1.0,2.0,656.0,,,,,,,,,,,,,,,,,,,,,,0.5,6,COMPLETE
35,35,-1.9210712096639129,2025-06-21 19:06:52.246924,2025-06-21 19:06:59.467615,0 days 00:00:07.220691,5912.0,0.015,2m,1.0,0.4,1.5,728.0,1768.0,0.01,4m,3.0,0.0,1.5,216.0,1744,0.01,2m,1.2,1.0,1.5,264,5480.0,0.02,3m,1.6,0.8,2.0,408.0,6136.0,0.015,2m,2.4000000000000004,1.0,0.5,760.0,2736.0,0.01,1m,1.0,0.2,1.0,312.0,,,,,,,,2136,0.015,1m,2.6,0.6000000000000001,1.5,864,7736.0,0.015,2m,2.0,0.0,0.5,920.0,,,,,,,,3552.0,0.02,4m,1.8,0.6000000000000001,1.0,168.0,5832.0,0.01,2m,2.2,0.8,2.0,104.0,7104.0,0.015,3m,2.6,0.8,1.5,400.0,6680.0,0.02,5m,1.0,0.0,0.5,72.0,,,,,,,,5496.0,0.01,4m,2.8,0.0,2.0,264.0,2568.0,0.01,4m,1.6,0.2,2.0,776.0,6336.0,0.015,3m,2.8,0.6000000000000001,1.5,64.0,5752.0,0.01,4m,2.2,0.0,1.5,360.0,8080.0,0.02,2m,1.0,1.0,2.0,64.0,5848.0,0.015,3m,3.0,0.8,1.5,880.0,0.3,17,COMPLETE
36,36,-0.2732257029353185,2025-06-21 19:06:59.542183,2025-06-21 19:07:05.427107,0 days 00:00:05.884924,,,,,,,,1064.0,0.015,4m,2.2,0.2,2.0,608.0,1408,0.015,3m,1.6,1.0,2.0,360,7424.0,0.015,3m,1.4,0.6000000000000001,2.0,784.0,7512.0,0.01,5m,3.0,0.8,1.0,888.0,4400.0,0.015,2m,2.6,0.8,0.5,536.0,,,,,,,,4096,0.015,2m,2.8,0.0,1.5,768,,,,,,,,,,,,,,,5264.0,0.015,2m,2.8,0.8,0.5,272.0,6216.0,0.015,3m,3.0,0.4,2.0,1000.0,4712.0,0.01,2m,1.6,0.4,0.5,832.0,,,,,,,,,,,,,,,7112.0,0.01,4m,2.0,0.8,1.5,896.0,4232.0,0.01,4m,1.4,0.0,2.0,624.0,4624.0,0.015,4m,2.0,0.8,1.5,448.0,7128.0,0.015,3m,2.6,0.4,0.5,424.0,,,,,,,,6904.0,0.015,5m,1.8,0.2,0.5,672.0,0.45,13,COMPLETE
37,37,-0.13840880595218885,2025-06-21 19:07:05.497610,2025-06-21 19:07:09.139462,0 days 00:00:03.641852,,,,,,,,3392.0,0.01,1m,2.8,0.0,2.0,488.0,2144,0.015,1m,2.0,0.8,2.0,216,6464.0,0.02,1m,2.0,1.0,1.5,568.0,6528.0,0.015,2m,2.8,1.0,1.5,632.0,,,,,,,,,,,,,,,3384,0.015,3m,2.0,0.4,2.0,584,,,,,,,,,,,,,,,2368.0,0.02,5m,2.4000000000000004,1.0,2.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5696.0,0.015,2m,2.2,0.4,1.0,688.0,1408.0,0.015,4m,2.2,0.0,1.5,904.0,6520.0,0.02,3m,2.4000000000000004,1.0,1.0,328.0,,,,,,,,,,,,,,,,,,,,,,0.25,8,COMPLETE
38,38,-0.6631848531278749,2025-06-21 19:07:09.205557,2025-06-21 19:07:14.032504,0 days 00:00:04.826947,,,,,,,,4360.0,0.01,5m,2.4000000000000004,0.2,1.5,360.0,3160,0.015,2m,1.8,0.0,1.5,296,3904.0,0.02,4m,1.2,0.8,1.5,856.0,5496.0,0.015,1m,1.8,0.8,0.5,528.0,,,,,,,,,,,,,,,2672,0.015,1m,3.0,0.6000000000000001,1.5,936,,,,,,,,,,,,,,,4112.0,0.02,3m,3.0,0.6000000000000001,1.5,488.0,,,,,,,,5944.0,0.015,3m,1.0,1.0,1.0,680.0,,,,,,,,,,,,,,,7560.0,0.01,1m,2.4000000000000004,0.2,2.0,424.0,2128.0,0.01,4m,1.6,0.2,2.0,696.0,5632.0,0.02,4m,1.8,0.4,2.0,200.0,8032.0,0.01,3m,1.8,0.2,1.0,192.0,,,,,,,,4368.0,0.01,4m,2.6,0.8,1.0,1016.0,0.4,11,COMPLETE
39,39,0.6034969492117572,2025-06-21 19:07:14.102060,2025-06-21 19:07:18.111981,0 days 00:00:04.009921,,,,,,,,2528.0,0.01,3m,2.0,0.4,2.0,288.0,3912,0.01,2m,1.2,0.2,2.0,664,7568.0,0.015,5m,1.8,0.4,2.0,688.0,4008.0,0.01,2m,2.6,0.8,1.0,704.0,,,,,,,,,,,,,,,4776,0.015,5m,2.2,0.2,1.5,680,,,,,,,,,,,,,,,1872.0,0.015,4m,2.0,0.8,1.0,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3912.0,0.015,3m,2.8,0.8,1.5,504.0,1776.0,0.015,2m,1.2,0.4,1.5,432.0,3016.0,0.015,2m,2.8,0.8,1.5,576.0,7104.0,0.015,4m,1.2,0.0,0.5,688.0,,,,,,,,,,,,,,,0.45,9,COMPLETE
40,40,0.009005891480243385,2025-06-21 19:07:18.186433,2025-06-21 19:07:21.074090,0 days 00:00:02.887657,,,,,,,,2472.0,0.015,3m,2.0,0.4,2.0,288.0,3880,0.01,1m,1.0,0.2,0.5,680,5520.0,0.015,5m,2.2,0.4,1.0,912.0,3376.0,0.01,5m,2.4000000000000004,0.6000000000000001,1.5,576.0,,,,,,,,,,,,,,,5800,0.015,5m,2.2,0.0,2.0,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096.0,0.015,2m,1.8,0.6000000000000001,1.5,408.0,2864.0,0.01,2m,2.8,0.6000000000000001,1.0,808.0,,,,,,,,,,,,,,,,,,,,,,0.5,6,COMPLETE
41,41,0.6019269485480522,2025-06-21 19:07:21.148354,2025-06-21 19:07:25.290626,0 days 00:00:04.142272,,,,,,,,1584.0,0.01,3m,2.2,0.2,2.0,176.0,3296,0.01,2m,1.2,0.2,2.0,704,7576.0,0.015,5m,1.8,0.4,2.0,704.0,4240.0,0.01,2m,2.6,0.8,1.0,704.0,,,,,,,,,,,,,,,4880,0.015,5m,2.4000000000000004,0.2,1.5,672,,,,,,,,,,,,,,,6688.0,0.015,4m,2.0,0.8,1.0,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4152.0,0.02,3m,2.8,0.8,1.5,520.0,1800.0,0.015,2m,1.2,0.4,1.5,472.0,1552.0,0.015,2m,3.0,0.8,1.5,600.0,6936.0,0.015,4m,1.2,0.0,0.5,656.0,,,,,,,,,,,,,,,0.45,9,COMPLETE
42,42,-1.2810239709613376,2025-06-21 19:07:25.373426,2025-06-21 19:07:29.547915,0 days 00:00:04.174489,,,,,,,,2624.0,0.01,3m,1.8,0.6000000000000001,2.0,736.0,4464,0.01,2m,1.2,0.2,2.0,672,7416.0,0.015,5m,1.8,0.2,2.0,720.0,4048.0,0.01,2m,2.6,0.6000000000000001,1.0,680.0,,,,,,,,,,,,,,,5096,0.015,5m,2.6,0.2,1.5,672,,,,,,,,,,,,,,,6808.0,0.015,4m,1.6,1.0,1.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3904.0,0.02,3m,2.8,0.8,1.5,512.0,2360.0,0.015,2m,1.0,0.4,1.5,464.0,1240.0,0.015,2m,3.0,0.8,1.5,640.0,5664.0,0.015,4m,1.0,0.0,0.5,664.0,,,,,,,,,,,,,,,0.45,9,COMPLETE
43,43,1.0803981532759859,2025-06-21 19:07:29.623511,2025-06-21 19:07:33.069815,0 days 00:00:03.446304,,,,,,,,1656.0,0.01,3m,2.2,0.4,2.0,112.0,3320,0.01,2m,1.2,0.2,2.0,784,6712.0,0.015,5m,2.0,0.4,2.0,648.0,3016.0,0.01,2m,2.6,0.8,1.0,712.0,,,,,,,,,,,,,,,8112,0.015,5m,1.4,0.2,1.5,688,,,,,,,,,,,,,,,8168.0,0.015,4m,2.0,0.8,1.0,544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1832.0,0.015,2m,1.2,0.4,1.5,464.0,1504.0,0.015,2m,2.8,0.6000000000000001,2.0,584.0,,,,,,,,,,,,,,,,,,,,,,0.45,7,COMPLETE
44,44,-0.412905104397653,2025-06-21 19:07:33.151604,2025-06-21 19:07:36.258551,0 days 00:00:03.106947,,,,,,,,1904.0,0.01,3m,1.8,0.4,1.5,136.0,3208,0.01,3m,1.0,0.2,2.0,800,6416.0,0.015,5m,2.0,0.4,1.5,656.0,2928.0,0.01,2m,2.4000000000000004,0.4,1.0,768.0,,,,,,,,,,,,,,,7384,0.015,5m,1.4,0.2,1.5,688,,,,,,,,,,,,,,,8016.0,0.015,4m,2.0,0.6000000000000001,1.0,600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752.0,0.015,2m,1.2,0.4,1.0,352.0,1544.0,0.015,2m,2.8,0.6000000000000001,2.0,592.0,,,,,,,,,,,,,,,,,,,,,,0.45,7,COMPLETE
45,45,-2.892357022624144,2025-06-21 19:07:36.323119,2025-06-21 19:07:39.849343,0 days 00:00:03.526224,,,,,,,,1560.0,0.015,3m,2.2,0.6000000000000001,2.0,136.0,3864,0.01,5m,1.2,0.4,2.0,872,2560.0,0.015,5m,2.2,0.2,2.0,640.0,2312.0,0.01,2m,2.2,0.8,1.5,480.0,,,,,,,,,,,,,,,6608,0.015,5m,1.4,0.0,1.5,800,,,,,,,,,,,,,,,2000.0,0.015,4m,2.0,0.8,0.5,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2992.0,0.015,2m,1.0,0.6000000000000001,1.5,424.0,1856.0,0.01,2m,3.0,0.6000000000000001,2.0,760.0,,,,,,,,,,,,,,,,,,,,,,0.45,7,COMPLETE
46,46,-0.25011912203864006,2025-06-21 19:07:39.930317,2025-06-21 19:07:42.436042,0 days 00:00:02.505725,,,,,,,,5472.0,0.01,3m,2.0,0.4,1.5,280.0,4016,0.01,2m,1.0,0.0,2.0,728,4424.0,0.015,5m,1.8,0.4,2.0,712.0,4064.0,0.01,3m,1.4,0.6000000000000001,1.0,720.0,,,,,,,,,,,,,,,7928,0.01,5m,1.2,0.2,1.5,888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272.0,0.015,2m,1.4,0.4,1.5,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,5,COMPLETE
