,number,value,datetime_start,datetime_complete,duration,params_AEP_DOCU_beta_win,params_AEP_DOCU_stop_loss,params_AEP_DOCU_trade_freq,params_AEP_DOCU_z_entry,params_AEP_DOCU_z_exit,params_AEP_DOCU_z_stop_scaler,params_AEP_DOCU_z_win,params_AEP_IDXX_beta_win,params_AEP_IDXX_stop_loss,params_AEP_IDXX_trade_freq,params_AEP_IDXX_z_entry,params_AEP_IDXX_z_exit,params_AEP_IDXX_z_stop_scaler,params_AEP_IDXX_z_win,params_ATVI_INTC_beta_win,params_ATVI_INTC_stop_loss,params_ATVI_INTC_trade_freq,params_ATVI_INTC_z_entry,params_ATVI_INTC_z_exit,params_ATVI_INTC_z_stop_scaler,params_ATVI_INTC_z_win,params_CDNS_EXC_beta_win,params_CDNS_EXC_stop_loss,params_CDNS_EXC_trade_freq,params_CDNS_EXC_z_entry,params_CDNS_EXC_z_exit,params_CDNS_EXC_z_stop_scaler,params_CDNS_EXC_z_win,params_CERN_ROST_beta_win,params_CERN_ROST_stop_loss,params_CERN_ROST_trade_freq,params_CERN_ROST_z_entry,params_CERN_ROST_z_exit,params_CERN_ROST_z_stop_scaler,params_CERN_ROST_z_win,params_CHKP_DOCU_beta_win,params_CHKP_DOCU_stop_loss,params_CHKP_DOCU_trade_freq,params_CHKP_DOCU_z_entry,params_CHKP_DOCU_z_exit,params_CHKP_DOCU_z_stop_scaler,params_CHKP_DOCU_z_win,params_CHTR_IDXX_beta_win,params_CHTR_IDXX_stop_loss,params_CHTR_IDXX_trade_freq,params_CHTR_IDXX_z_entry,params_CHTR_IDXX_z_exit,params_CHTR_IDXX_z_stop_scaler,params_CHTR_IDXX_z_win,params_COST_INTU_beta_win,params_COST_INTU_stop_loss,params_COST_INTU_trade_freq,params_COST_INTU_z_entry,params_COST_INTU_z_exit,params_COST_INTU_z_stop_scaler,params_COST_INTU_z_win,params_CRWD_OKTA_beta_win,params_CRWD_OKTA_stop_loss,params_CRWD_OKTA_trade_freq,params_CRWD_OKTA_z_entry,params_CRWD_OKTA_z_exit,params_CRWD_OKTA_z_stop_scaler,params_CRWD_OKTA_z_win,params_CSCO_ISRG_beta_win,params_CSCO_ISRG_stop_loss,params_CSCO_ISRG_trade_freq,params_CSCO_ISRG_z_entry,params_CSCO_ISRG_z_exit,params_CSCO_ISRG_z_stop_scaler,params_CSCO_ISRG_z_win,params_DOCU_HON_beta_win,params_DOCU_HON_stop_loss,params_DOCU_HON_trade_freq,params_DOCU_HON_z_entry,params_DOCU_HON_z_exit,params_DOCU_HON_z_stop_scaler,params_DOCU_HON_z_win,params_DOCU_IDXX_beta_win,params_DOCU_IDXX_stop_loss,params_DOCU_IDXX_trade_freq,params_DOCU_IDXX_z_entry,params_DOCU_IDXX_z_exit,params_DOCU_IDXX_z_stop_scaler,params_DOCU_IDXX_z_win,params_DOCU_SBUX_beta_win,params_DOCU_SBUX_stop_loss,params_DOCU_SBUX_trade_freq,params_DOCU_SBUX_z_entry,params_DOCU_SBUX_z_exit,params_DOCU_SBUX_z_stop_scaler,params_DOCU_SBUX_z_win,params_EXC_LULU_beta_win,params_EXC_LULU_stop_loss,params_EXC_LULU_trade_freq,params_EXC_LULU_z_entry,params_EXC_LULU_z_exit,params_EXC_LULU_z_stop_scaler,params_EXC_LULU_z_win,params_EXC_MSFT_beta_win,params_EXC_MSFT_stop_loss,params_EXC_MSFT_trade_freq,params_EXC_MSFT_z_entry,params_EXC_MSFT_z_exit,params_EXC_MSFT_z_stop_scaler,params_EXC_MSFT_z_win,params_GILD_PCAR_beta_win,params_GILD_PCAR_stop_loss,params_GILD_PCAR_trade_freq,params_GILD_PCAR_z_entry,params_GILD_PCAR_z_exit,params_GILD_PCAR_z_stop_scaler,params_GILD_PCAR_z_win,params_HON_IDXX_beta_win,params_HON_IDXX_stop_loss,params_HON_IDXX_trade_freq,params_HON_IDXX_z_entry,params_HON_IDXX_z_exit,params_HON_IDXX_z_stop_scaler,params_HON_IDXX_z_win,params_IDXX_SBUX_beta_win,params_IDXX_SBUX_stop_loss,params_IDXX_SBUX_trade_freq,params_IDXX_SBUX_z_entry,params_IDXX_SBUX_z_exit,params_IDXX_SBUX_z_stop_scaler,params_IDXX_SBUX_z_win,params_LRCX_MU_beta_win,params_LRCX_MU_stop_loss,params_LRCX_MU_trade_freq,params_LRCX_MU_z_entry,params_LRCX_MU_z_exit,params_LRCX_MU_z_stop_scaler,params_LRCX_MU_z_win,params_NTES_PCAR_beta_win,params_NTES_PCAR_stop_loss,params_NTES_PCAR_trade_freq,params_NTES_PCAR_z_entry,params_NTES_PCAR_z_exit,params_NTES_PCAR_z_stop_scaler,params_NTES_PCAR_z_win,params_PYPL_XLNX_beta_win,params_PYPL_XLNX_stop_loss,params_PYPL_XLNX_trade_freq,params_PYPL_XLNX_z_entry,params_PYPL_XLNX_z_exit,params_PYPL_XLNX_z_stop_scaler,params_PYPL_XLNX_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,0.17959997243990372,2025-06-21 19:05:33.737088,2025-06-21 19:05:34.679835,0 days 00:00:00.942747,,,,,,,,,,,,,,,4936,0.02,4m,2.2,0.8,2.0,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136,0.02,4m,1.8,1.0,1.0,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,0.09240483678242332,2025-06-21 19:05:34.776685,2025-06-21 19:05:35.783727,0 days 00:00:01.007042,,,,,,,,,,,,,,,4984,0.02,4m,2.2,0.8,2.0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1168,0.02,4m,1.8,1.0,1.0,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
12,12,0.18621402480887597,2025-06-21 19:05:35.865281,2025-06-21 19:05:37.214633,0 days 00:00:01.349352,,,,,,,,,,,,,,,4856,0.02,4m,2.4000000000000004,0.8,2.0,112,,,,,,,,8064.0,0.02,4m,3.0,1.0,0.5,296.0,,,,,,,,,,,,,,,1184,0.02,4m,2.2,0.8,1.0,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
13,13,-0.3095017306659875,2025-06-21 19:05:37.267176,2025-06-21 19:05:39.395988,0 days 00:00:02.128812,,,,,,,,,,,,,,,4176,0.015,4m,2.4000000000000004,1.0,2.0,472,7992.0,0.015,3m,3.0,0.6000000000000001,2.0,504.0,8048.0,0.02,4m,3.0,1.0,0.5,304.0,,,,,,,,,,,,,,,2168,0.02,4m,2.2,0.8,1.0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2712.0,0.02,5m,1.0,1.0,2.0,640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
14,14,0.1725732569702914,2025-06-21 19:05:39.460672,2025-06-21 19:05:41.547968,0 days 00:00:02.087296,,,,,,,,,,,,,,,7952,0.02,4m,3.0,0.8,1.5,160,3056.0,0.015,3m,1.8,0.6000000000000001,1.5,744.0,5736.0,0.02,1m,3.0,1.0,0.5,232.0,,,,,,,,,,,,,,,1944,0.02,4m,2.4000000000000004,0.0,2.0,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5384.0,0.02,5m,1.6,1.0,1.5,736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,4,COMPLETE
15,15,-0.07777778560032311,2025-06-21 19:05:41.617987,2025-06-21 19:05:43.511054,0 days 00:00:01.893067,,,,,,,,,,,,,,,5848,0.015,5m,2.6,1.0,2.0,224,,,,,,,,8176.0,0.015,4m,2.6,1.0,0.5,336.0,,,,,,,,,,,,,,,3568,0.01,3m,3.0,0.4,1.0,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2760.0,0.02,1m,2.0,0.6000000000000001,1.5,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,3,COMPLETE
16,16,-0.19460353451710072,2025-06-21 19:05:43.575072,2025-06-21 19:05:46.828234,0 days 00:00:03.253162,,,,,,,,3040.0,0.01,4m,1.8,0.0,2.0,352.0,2792,0.02,2m,2.0,0.8,2.0,408,3152.0,0.015,1m,1.6,0.4,2.0,472.0,6928.0,0.02,4m,2.4000000000000004,0.0,1.0,72.0,,,,,,,,,,,,,,,2632,0.02,4m,2.0,0.8,1.5,216,,,,,,,,,,,,,,,8128.0,0.02,2m,3.0,0.2,1.5,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5248.0,0.01,3m,1.2,0.4,2.0,1016.0,6016.0,0.015,3m,2.2,0.0,1.5,384.0,,,,,,,,,,,,,,,,,,,,,,0.25,7,COMPLETE
17,17,0.06862803611409052,2025-06-21 19:05:46.869560,2025-06-21 19:05:51.404071,0 days 00:00:04.534511,,,,,,,,3648.0,0.01,1m,1.6,0.0,2.0,280.0,7680,0.01,4m,2.4000000000000004,0.6000000000000001,1.0,560,6032.0,0.015,3m,3.0,0.8,1.0,384.0,4608.0,0.015,2m,2.8,1.0,0.5,320.0,,,,,,,,,,,,,,,1664,0.02,4m,1.0,0.2,1.0,448,,,,,,,,,,,,,,,4136.0,0.02,5m,2.6,0.4,1.0,736.0,,,,,,,,8184.0,0.01,4m,3.0,0.6000000000000001,0.5,960.0,,,,,,,,,,,,,,,1424.0,0.01,1m,3.0,0.0,1.0,456.0,3200.0,0.015,5m,2.0,1.0,1.5,560.0,7752.0,0.02,2m,2.6,1.0,1.5,1024.0,1192.0,0.015,5m,3.0,1.0,1.5,1000.0,,,,,,,,,,,,,,,0.15000000000000002,10,COMPLETE
18,18,0.17911106161949217,2025-06-21 19:05:51.477824,2025-06-21 19:05:53.250817,0 days 00:00:01.772993,,,,,,,,,,,,,,,4288,0.015,4m,3.0,0.4,1.5,80,3952.0,0.02,1m,1.8,0.4,1.5,1024.0,6048.0,0.02,1m,2.4000000000000004,0.8,1.0,608.0,,,,,,,,,,,,,,,4192,0.01,4m,1.6,0.8,1.5,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072.0,0.01,1m,1.4,0.6000000000000001,0.5,696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
19,19,-0.027857536596143543,2025-06-21 19:05:53.327531,2025-06-21 19:05:54.832832,0 days 00:00:01.505301,,,,,,,,,,,,,,,5072,0.015,4m,2.0,1.0,2.0,896,,,,,,,,7368.0,0.01,4m,3.0,0.4,0.5,224.0,,,,,,,,,,,,,,,2968,0.02,2m,2.2,0.4,0.5,736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
