,number,value,datetime_start,datetime_complete,duration,params_ABNB_EBAY_beta_win,params_ABNB_EBAY_stop_loss,params_ABNB_EBAY_trade_freq,params_ABNB_EBAY_z_entry,params_ABNB_EBAY_z_exit,params_ABNB_EBAY_z_stop_scaler,params_ABNB_EBAY_z_win,params_ADSK_PCAR_beta_win,params_ADSK_PCAR_stop_loss,params_ADSK_PCAR_trade_freq,params_ADSK_PCAR_z_entry,params_ADSK_PCAR_z_exit,params_ADSK_PCAR_z_stop_scaler,params_ADSK_PCAR_z_win,params_ALGN_IDXX_beta_win,params_ALGN_IDXX_stop_loss,params_ALGN_IDXX_trade_freq,params_ALGN_IDXX_z_entry,params_ALGN_IDXX_z_exit,params_ALGN_IDXX_z_stop_scaler,params_ALGN_IDXX_z_win,params_ALGN_ISRG_beta_win,params_ALGN_ISRG_stop_loss,params_ALGN_ISRG_trade_freq,params_ALGN_ISRG_z_entry,params_ALGN_ISRG_z_exit,params_ALGN_ISRG_z_stop_scaler,params_ALGN_ISRG_z_win,params_AMD_LRCX_beta_win,params_AMD_LRCX_stop_loss,params_AMD_LRCX_trade_freq,params_AMD_LRCX_z_entry,params_AMD_LRCX_z_exit,params_AMD_LRCX_z_stop_scaler,params_AMD_LRCX_z_win,params_BIDU_ZM_beta_win,params_BIDU_ZM_stop_loss,params_BIDU_ZM_trade_freq,params_BIDU_ZM_z_entry,params_BIDU_ZM_z_exit,params_BIDU_ZM_z_stop_scaler,params_BIDU_ZM_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_DDOG_GOOGL_beta_win,params_DDOG_GOOGL_stop_loss,params_DDOG_GOOGL_trade_freq,params_DDOG_GOOGL_z_entry,params_DDOG_GOOGL_z_exit,params_DDOG_GOOGL_z_stop_scaler,params_DDOG_GOOGL_z_win,params_DDOG_GOOG_beta_win,params_DDOG_GOOG_stop_loss,params_DDOG_GOOG_trade_freq,params_DDOG_GOOG_z_entry,params_DDOG_GOOG_z_exit,params_DDOG_GOOG_z_stop_scaler,params_DDOG_GOOG_z_win,params_DDOG_ZS_beta_win,params_DDOG_ZS_stop_loss,params_DDOG_ZS_trade_freq,params_DDOG_ZS_z_entry,params_DDOG_ZS_z_exit,params_DDOG_ZS_z_stop_scaler,params_DDOG_ZS_z_win,params_EBAY_ISRG_beta_win,params_EBAY_ISRG_stop_loss,params_EBAY_ISRG_trade_freq,params_EBAY_ISRG_z_entry,params_EBAY_ISRG_z_exit,params_EBAY_ISRG_z_stop_scaler,params_EBAY_ISRG_z_win,params_EBAY_SPLK_beta_win,params_EBAY_SPLK_stop_loss,params_EBAY_SPLK_trade_freq,params_EBAY_SPLK_z_entry,params_EBAY_SPLK_z_exit,params_EBAY_SPLK_z_stop_scaler,params_EBAY_SPLK_z_win,params_EBAY_SWKS_beta_win,params_EBAY_SWKS_stop_loss,params_EBAY_SWKS_trade_freq,params_EBAY_SWKS_z_entry,params_EBAY_SWKS_z_exit,params_EBAY_SWKS_z_stop_scaler,params_EBAY_SWKS_z_win,params_EBAY_WDAY_beta_win,params_EBAY_WDAY_stop_loss,params_EBAY_WDAY_trade_freq,params_EBAY_WDAY_z_entry,params_EBAY_WDAY_z_exit,params_EBAY_WDAY_z_stop_scaler,params_EBAY_WDAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_ISRG_SWKS_beta_win,params_ISRG_SWKS_stop_loss,params_ISRG_SWKS_trade_freq,params_ISRG_SWKS_z_entry,params_ISRG_SWKS_z_exit,params_ISRG_SWKS_z_stop_scaler,params_ISRG_SWKS_z_win,params_MELI_MSFT_beta_win,params_MELI_MSFT_stop_loss,params_MELI_MSFT_trade_freq,params_MELI_MSFT_z_entry,params_MELI_MSFT_z_exit,params_MELI_MSFT_z_stop_scaler,params_MELI_MSFT_z_win,params_MNST_WBA_beta_win,params_MNST_WBA_stop_loss,params_MNST_WBA_trade_freq,params_MNST_WBA_z_entry,params_MNST_WBA_z_exit,params_MNST_WBA_z_stop_scaler,params_MNST_WBA_z_win,params_MSFT_PYPL_beta_win,params_MSFT_PYPL_stop_loss,params_MSFT_PYPL_trade_freq,params_MSFT_PYPL_z_entry,params_MSFT_PYPL_z_exit,params_MSFT_PYPL_z_stop_scaler,params_MSFT_PYPL_z_win,params_TSLA_VRSK_beta_win,params_TSLA_VRSK_stop_loss,params_TSLA_VRSK_trade_freq,params_TSLA_VRSK_z_entry,params_TSLA_VRSK_z_exit,params_TSLA_VRSK_z_stop_scaler,params_TSLA_VRSK_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-1.0577189179534585,2025-06-21 19:17:56.067149,2025-06-21 19:17:57.784776,0 days 00:00:01.717627,5384.0,0.015,2m,1.6,0.2,1.0,408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1224.0,0.015,5m,2.4000000000000004,0.4,1.5,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7208.0,0.01,1m,2.4000000000000004,1.0,1.5,904.0,,,,,,,,,,,,,,,4328,0.015,2m,1.2,0.8,1.0,888,,,,,,,,,,,,,,,0.45,4,COMPLETE
21,21,0.727079798622271,2025-06-21 19:17:57.846285,2025-06-21 19:18:01.142870,0 days 00:00:03.296585,7096.0,0.015,4m,2.8,0.6000000000000001,1.0,240.0,,,,,,,,,,,,,,,8168.0,0.01,5m,2.6,0.8,0.5,680.0,7040.0,0.02,3m,2.8,0.2,2.0,448.0,,,,,,,,3032.0,0.02,2m,2.0,0.8,1.5,792.0,,,,,,,,,,,,,,,5840.0,0.02,4m,2.4000000000000004,0.4,1.0,472.0,,,,,,,,5936.0,0.01,5m,1.6,0.6000000000000001,1.5,416.0,,,,,,,,,,,,,,,1080.0,0.02,2m,2.0,0.2,0.5,64.0,,,,,,,,,,,,,,,3768,0.015,3m,2.2,0.6000000000000001,1.0,800,,,,,,,,,,,,,,,0.35000000000000003,8,COMPLETE
22,22,0.19542382523024635,2025-06-21 19:18:01.206142,2025-06-21 19:18:04.267783,0 days 00:00:03.061641,7384.0,0.015,2m,2.6,0.8,1.0,280.0,,,,,,,,,,,,,,,2112.0,0.01,5m,1.8,0.4,0.5,824.0,6968.0,0.02,2m,2.2,0.0,2.0,440.0,,,,,,,,4048.0,0.02,5m,2.4000000000000004,0.8,1.0,720.0,,,,,,,,,,,,,,,6552.0,0.02,4m,2.2,0.4,1.0,392.0,,,,,,,,5792.0,0.01,4m,2.8,0.6000000000000001,1.5,904.0,,,,,,,,,,,,,,,2064.0,0.02,2m,1.6,0.4,1.0,312.0,,,,,,,,,,,,,,,2064,0.02,3m,1.8,0.6000000000000001,1.5,800,,,,,,,,,,,,,,,0.3,8,COMPLETE
23,23,0.659862269043001,2025-06-21 19:18:04.334533,2025-06-21 19:18:08.275331,0 days 00:00:03.940798,6408.0,0.015,4m,3.0,0.6000000000000001,0.5,136.0,,,,,,,,3944.0,0.02,2m,1.4,0.6000000000000001,2.0,1024.0,4192.0,0.01,5m,1.2,0.0,1.0,624.0,5136.0,0.015,3m,2.8,0.4,2.0,880.0,7264.0,0.02,5m,2.0,0.8,1.5,304.0,3968.0,0.02,2m,3.0,1.0,1.5,864.0,,,,,,,,,,,,,,,4608.0,0.02,4m,3.0,0.6000000000000001,1.5,640.0,,,,,,,,5192.0,0.01,5m,1.4,0.8,1.0,464.0,3304.0,0.01,2m,2.6,0.2,0.5,720.0,,,,,,,,1680.0,0.02,2m,2.2,0.0,0.5,200.0,,,,,,,,,,,,,,,3392,0.015,3m,2.2,0.4,1.0,616,,,,,,,,,,,,,,,0.35000000000000003,11,COMPLETE
24,24,0.34742580308115956,2025-06-21 19:18:08.363812,2025-06-21 19:18:11.780927,0 days 00:00:03.417115,7408.0,0.01,2m,2.6,1.0,1.0,400.0,,,,,,,,5872.0,0.01,3m,3.0,0.2,1.5,104.0,3288.0,0.02,5m,2.2,0.8,0.5,768.0,7120.0,0.02,2m,2.2,0.2,1.5,528.0,,,,,,,,2448.0,0.02,5m,1.8,0.8,1.5,616.0,,,,,,,,,,,,,,,3296.0,0.02,4m,1.8,0.2,0.5,216.0,,,,,,,,7072.0,0.01,2m,2.0,0.4,2.0,80.0,,,,,,,,,,,,,,,1184.0,0.015,2m,2.8,0.6000000000000001,1.0,392.0,,,,,,,,,,,,,,,4352,0.015,3m,2.6,0.8,1.5,448,,,,,,,,,,,,,,,0.45,9,COMPLETE
25,25,1.3913590499923991,2025-06-21 19:18:11.837010,2025-06-21 19:18:16.526835,0 days 00:00:04.689825,4384.0,0.015,1m,2.2,0.4,1.5,200.0,,,,,,,,7224.0,0.015,3m,1.6,1.0,2.0,496.0,5992.0,0.015,5m,1.4,0.4,2.0,488.0,5344.0,0.015,1m,1.0,0.6000000000000001,2.0,312.0,3136.0,0.01,5m,1.0,0.4,1.0,680.0,5096.0,0.02,3m,1.6,1.0,1.0,744.0,,,,,,,,,,,,,,,7648.0,0.015,4m,1.2,0.0,1.0,424.0,,,,,,,,3288.0,0.01,2m,2.4000000000000004,0.6000000000000001,1.5,664.0,6792.0,0.015,3m,2.8,1.0,2.0,448.0,,,,,,,,3448.0,0.015,5m,1.8,0.2,1.5,408.0,,,,,,,,5320.0,0.015,1m,1.6,0.8,1.0,672.0,5800,0.01,5m,2.4000000000000004,0.6000000000000001,1.0,264,,,,,,,,,,,,,,,0.25,12,COMPLETE
26,26,2.4285883129138996,2025-06-21 19:18:16.603629,2025-06-21 19:18:21.117437,0 days 00:00:04.513808,4312.0,0.02,1m,2.2,0.4,2.0,168.0,,,,,,,,7168.0,0.015,3m,1.6,1.0,2.0,472.0,5696.0,0.015,5m,1.4,0.4,2.0,480.0,3664.0,0.015,1m,1.0,0.6000000000000001,1.5,296.0,2600.0,0.01,5m,1.0,0.2,1.0,704.0,5256.0,0.015,3m,1.2,1.0,1.0,904.0,,,,,,,,,,,,,,,8136.0,0.015,2m,1.2,0.0,1.5,440.0,,,,,,,,3648.0,0.015,2m,2.4000000000000004,0.8,1.5,648.0,7104.0,0.015,3m,2.8,1.0,2.0,392.0,,,,,,,,3360.0,0.015,5m,1.0,0.4,1.5,416.0,,,,,,,,5128.0,0.015,1m,1.4,0.8,1.0,688.0,5760,0.01,5m,2.8,1.0,1.5,272,,,,,,,,,,,,,,,0.2,12,COMPLETE
27,27,0.8352332462695815,2025-06-21 19:18:21.169728,2025-06-21 19:18:26.402630,0 days 00:00:05.232902,3000.0,0.02,1m,1.8,0.0,2.0,128.0,7576.0,0.01,5m,2.0,0.4,1.0,1016.0,5616.0,0.02,3m,2.2,0.6000000000000001,2.0,248.0,1840.0,0.015,3m,2.6,0.2,2.0,488.0,3848.0,0.015,1m,1.0,0.8,1.5,64.0,2216.0,0.01,5m,1.8,0.2,0.5,832.0,6488.0,0.015,3m,1.2,1.0,1.0,920.0,4824.0,0.01,5m,2.0,0.4,1.0,624.0,,,,,,,,5216.0,0.01,2m,1.2,0.0,1.5,288.0,,,,,,,,2016.0,0.02,2m,2.8,0.8,1.0,928.0,8016.0,0.02,3m,2.8,0.8,2.0,376.0,,,,,,,,3024.0,0.01,5m,1.0,0.4,2.0,552.0,6584.0,0.01,3m,1.8,0.8,1.5,816.0,6408.0,0.015,1m,1.2,0.8,1.0,672.0,7448,0.01,5m,2.8,1.0,2.0,208,,,,,,,,,,,,,,,0.2,15,COMPLETE
28,28,3.927756298996141,2025-06-21 19:18:26.480634,2025-06-21 19:18:30.924162,0 days 00:00:04.443528,3904.0,0.02,1m,2.2,0.2,2.0,64.0,,,,,,,,6864.0,0.015,3m,1.2,0.4,1.5,664.0,4848.0,0.015,5m,2.0,0.2,1.5,304.0,3392.0,0.01,1m,1.8,0.6000000000000001,1.0,184.0,2432.0,0.015,5m,1.2,0.2,1.0,584.0,6024.0,0.015,3m,1.2,0.6000000000000001,1.0,864.0,,,,,,,,,,,,,,,4088.0,0.01,2m,1.6,0.0,2.0,144.0,,,,,,,,3832.0,0.015,2m,2.8,1.0,2.0,768.0,7024.0,0.015,3m,2.0,0.8,1.5,112.0,,,,,,,,3936.0,0.015,5m,1.4,0.6000000000000001,1.5,640.0,,,,,,,,4224.0,0.01,3m,1.4,1.0,1.5,344.0,5368,0.01,5m,2.8,1.0,1.5,472,,,,,,,,,,,,,,,0.2,12,COMPLETE
29,29,2.2833141920005375,2025-06-21 19:18:31.005524,2025-06-21 19:18:33.464372,0 days 00:00:02.458848,2680.0,0.02,1m,2.2,0.2,2.0,64.0,,,,,,,,,,,,,,,5192.0,0.015,4m,1.4,0.4,2.0,272.0,,,,,,,,,,,,,,,7384.0,0.015,3m,1.2,0.2,1.0,872.0,,,,,,,,,,,,,,,2016.0,0.01,2m,1.6,0.0,2.0,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5064.0,0.01,5m,1.0,0.6000000000000001,1.5,624.0,,,,,,,,,,,,,,,6648,0.01,5m,2.8,1.0,1.5,480,,,,,,,,,,,,,,,0.05,6,COMPLETE
30,30,-0.5777247187487389,2025-06-21 19:18:33.531605,2025-06-21 19:18:35.217887,0 days 00:00:01.686282,3928.0,0.02,1m,1.0,0.2,2.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6056.0,0.015,3m,1.0,0.6000000000000001,2.0,1008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4016.0,0.015,5m,1.4,0.4,1.5,664.0,,,,,,,,,,,,,,,5584,0.01,5m,3.0,1.0,2.0,312,,,,,,,,,,,,,,,0.2,4,COMPLETE
31,31,2.0838824145903354,2025-06-21 19:18:35.283240,2025-06-21 19:18:37.517858,0 days 00:00:02.234618,2416.0,0.02,1m,2.4000000000000004,0.2,2.0,64.0,,,,,,,,,,,,,,,5224.0,0.015,4m,1.4,0.4,2.0,264.0,,,,,,,,,,,,,,,7464.0,0.015,3m,1.2,0.2,1.0,872.0,,,,,,,,,,,,,,,1968.0,0.01,2m,1.6,0.0,2.0,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4912.0,0.01,5m,1.0,0.6000000000000001,1.5,608.0,,,,,,,,,,,,,,,6536,0.01,5m,2.8,1.0,1.5,448,,,,,,,,,,,,,,,0.05,6,COMPLETE
32,32,-0.6666903471976899,2025-06-21 19:18:37.571371,2025-06-21 19:18:40.073200,0 days 00:00:02.501829,2648.0,0.02,1m,2.2,0.0,2.0,72.0,,,,,,,,,,,,,,,4544.0,0.015,4m,1.4,0.4,2.0,168.0,,,,,,,,,,,,,,,7168.0,0.01,3m,1.2,0.2,1.0,936.0,,,,,,,,,,,,,,,2272.0,0.01,2m,1.6,0.0,2.0,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3608.0,0.01,5m,1.2,0.6000000000000001,1.5,760.0,,,,,,,,,,,,,,,6040,0.01,5m,2.8,1.0,1.5,496,,,,,,,,,,,,,,,0.1,6,COMPLETE
33,33,0.5976301134651633,2025-06-21 19:18:40.140778,2025-06-21 19:18:42.885552,0 days 00:00:02.744774,3472.0,0.02,1m,2.2,0.4,2.0,160.0,,,,,,,,,,,,,,,5992.0,0.015,4m,1.8,0.2,1.5,312.0,,,,,,,,,,,,,,,7968.0,0.015,3m,1.0,0.4,0.5,848.0,,,,,,,,,,,,,,,3184.0,0.01,2m,1.8,0.0,2.0,272.0,,,,,,,,4488.0,0.015,2m,2.4000000000000004,1.0,2.0,632.0,,,,,,,,,,,,,,,7384.0,0.01,5m,1.0,0.6000000000000001,1.0,488.0,,,,,,,,,,,,,,,7096,0.01,5m,2.6,1.0,1.5,360,,,,,,,,,,,,,,,0.05,7,COMPLETE
34,34,-100.0,2025-06-21 19:18:42.970224,2025-06-21 19:18:51.663491,0 days 00:00:08.693267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5256,0.01,5m,3.0,1.0,2.0,496,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
35,35,0.25531353900485415,2025-06-21 19:18:51.721016,2025-06-21 19:18:55.199921,0 days 00:00:03.478905,1064.0,0.02,1m,1.8,0.0,2.0,64.0,,,,,,,,7032.0,0.015,3m,1.2,1.0,1.5,656.0,5256.0,0.015,2m,1.2,0.0,2.0,144.0,3336.0,0.01,1m,1.4,0.8,1.0,208.0,,,,,,,,6744.0,0.01,3m,1.4,0.2,1.0,400.0,,,,,,,,,,,,,,,4264.0,0.01,2m,1.2,0.0,2.0,80.0,,,,,,,,1048.0,0.015,2m,2.8,1.0,2.0,472.0,,,,,,,,,,,,,,,8032.0,0.01,5m,1.4,0.6000000000000001,2.0,856.0,,,,,,,,,,,,,,,6064,0.01,5m,1.8,0.8,1.5,368,,,,,,,,,,,,,,,0.1,9,COMPLETE
36,36,-0.3682001920312732,2025-06-21 19:18:55.263530,2025-06-21 19:18:56.726742,0 days 00:00:01.463212,3984.0,0.02,5m,2.4000000000000004,0.2,2.0,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6264.0,0.015,3m,1.6,0.6000000000000001,1.0,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4704.0,0.01,5m,1.4,0.4,1.5,664.0,,,,,,,,,,,,,,,4800,0.01,5m,1.6,1.0,1.5,240,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
37,37,0.94895410750211,2025-06-21 19:18:56.798350,2025-06-21 19:19:01.143871,0 days 00:00:04.345521,1952.0,0.02,1m,2.8,0.2,1.5,144.0,,,,,,,,8136.0,0.015,1m,1.2,0.8,1.5,552.0,6648.0,0.02,4m,1.8,0.6000000000000001,2.0,320.0,2912.0,0.01,1m,1.8,0.6000000000000001,0.5,160.0,2200.0,0.015,5m,1.2,0.2,1.0,600.0,5288.0,0.015,1m,1.6,0.4,1.5,824.0,,,,,,,,,,,,,,,1064.0,0.01,2m,1.8,0.2,2.0,168.0,,,,,,,,3872.0,0.015,4m,2.4000000000000004,0.8,2.0,808.0,5552.0,0.015,3m,1.8,0.8,1.5,168.0,,,,,,,,6072.0,0.015,5m,1.2,0.6000000000000001,1.0,712.0,,,,,,,,6032.0,0.01,3m,1.8,0.8,1.5,280.0,8152,0.015,5m,2.8,0.8,2.0,568,,,,,,,,,,,,,,,0.1,12,COMPLETE
38,38,-0.9700020439957024,2025-06-21 19:19:01.223096,2025-06-21 19:19:04.703773,0 days 00:00:03.480677,2824.0,0.02,3m,1.4,0.4,2.0,112.0,,,,,,,,6448.0,0.02,2m,1.8,0.6000000000000001,1.0,352.0,4752.0,0.015,5m,1.2,0.4,1.5,488.0,1024.0,0.01,1m,1.4,0.6000000000000001,1.0,344.0,2320.0,0.02,2m,1.2,0.0,0.5,864.0,7176.0,0.015,3m,1.2,0.6000000000000001,0.5,912.0,,,,,,,,,,,,,,,2328.0,0.01,2m,1.0,1.0,2.0,264.0,,,,,,,,5064.0,0.02,1m,2.8,1.0,2.0,944.0,,,,,,,,,,,,,,,2368.0,0.015,3m,1.0,0.4,2.0,784.0,,,,,,,,,,,,,,,6896,0.01,4m,2.0,1.0,1.5,136,,,,,,,,,,,,,,,0.2,10,COMPLETE
39,39,-0.07165993272750407,2025-06-21 19:19:04.770642,2025-06-21 19:19:07.291648,0 days 00:00:02.521006,3456.0,0.02,1m,2.0,0.0,1.5,352.0,,,,,,,,,,,,,,,5592.0,0.015,1m,1.6,0.6000000000000001,2.0,616.0,,,,,,,,,,,,,,,5744.0,0.015,4m,1.4,0.0,1.5,504.0,,,,,,,,,,,,,,,5680.0,0.01,2m,1.4,0.8,2.0,184.0,,,,,,,,2392.0,0.015,3m,2.2,0.0,1.5,736.0,,,,,,,,,,,,,,,5320.0,0.01,5m,1.6,0.2,1.5,960.0,,,,,,,,,,,,,,,6768,0.01,2m,1.4,0.8,1.5,488,,,,,,,,,,,,,,,0.05,7,COMPLETE
40,40,-0.7035613927639042,2025-06-21 19:19:07.345377,2025-06-21 19:19:08.427739,0 days 00:00:01.082362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4824.0,0.01,3m,1.4,0.2,0.5,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3136.0,0.01,5m,1.4,0.4,1.0,608.0,,,,,,,,,,,,,,,7248,0.015,1m,2.4000000000000004,1.0,2.0,392,,,,,,,,,,,,,,,0.25,3,COMPLETE
41,41,-0.789879679121627,2025-06-21 19:19:08.500216,2025-06-21 19:19:10.953121,0 days 00:00:02.452905,2256.0,0.02,1m,2.4000000000000004,0.2,2.0,64.0,,,,,,,,,,,,,,,5232.0,0.015,4m,1.4,0.4,2.0,312.0,,,,,,,,,,,,,,,7456.0,0.015,3m,1.2,0.2,1.0,904.0,,,,,,,,,,,,,,,1672.0,0.01,2m,1.6,0.0,2.0,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4712.0,0.01,5m,1.0,0.6000000000000001,1.5,640.0,,,,,,,,,,,,,,,6608,0.01,5m,2.8,1.0,1.5,448,,,,,,,,,,,,,,,0.05,6,COMPLETE
42,42,3.3283262950875554,2025-06-21 19:19:11.032002,2025-06-21 19:19:12.935633,0 days 00:00:01.903631,2376.0,0.02,1m,2.2,0.2,2.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7088.0,0.015,3m,1.0,0.0,1.0,800.0,,,,,,,,,,,,,,,2072.0,0.01,2m,1.6,0.0,2.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5064.0,0.01,5m,1.0,0.6000000000000001,1.5,600.0,,,,,,,,,,,,,,,6336,0.01,5m,2.8,1.0,1.5,544,,,,,,,,,,,,,,,0.05,5,COMPLETE
43,43,0.9176093741920306,2025-06-21 19:19:12.982471,2025-06-21 19:19:14.729931,0 days 00:00:01.747460,1520.0,0.02,1m,2.2,0.4,2.0,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5616.0,0.015,3m,1.0,0.0,1.0,816.0,,,,,,,,,,,,,,,3032.0,0.01,2m,2.0,0.0,2.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4424.0,0.01,5m,1.2,0.6000000000000001,1.5,440.0,,,,,,,,,,,,,,,7648,0.01,5m,3.0,0.8,1.5,544,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
44,44,-0.5131198646196078,2025-06-21 19:19:14.818971,2025-06-21 19:19:18.817327,0 days 00:00:03.998356,3160.0,0.02,5m,2.6,0.2,2.0,120.0,,,,,,,,7152.0,0.015,4m,1.2,0.4,1.5,712.0,6552.0,0.02,5m,2.8,0.2,1.5,448.0,1976.0,0.01,1m,1.2,1.0,1.0,360.0,,,,,,,,6816.0,0.015,4m,1.0,0.0,1.0,752.0,,,,,,,,,,,,,,,3640.0,0.01,2m,1.2,0.0,2.0,1024.0,,,,,,,,3600.0,0.015,2m,2.6,0.8,1.0,520.0,,,,,,,,,,,,,,,3944.0,0.01,5m,1.2,0.6000000000000001,1.5,536.0,,,,,,,,,,,,,,,6144,0.01,5m,2.6,1.0,1.5,304,,,,,,,,,,,,,,,0.1,9,COMPLETE
45,45,0.3693901609448791,2025-06-21 19:19:18.902252,2025-06-21 19:19:20.809015,0 days 00:00:01.906763,4248.0,0.015,1m,2.0,0.4,2.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6032.0,0.015,3m,1.2,0.0,1.5,960.0,,,,,,,,,,,,,,,2264.0,0.01,3m,2.0,0.2,1.5,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6320.0,0.01,1m,1.0,0.8,2.0,832.0,,,,,,,,,,,,,,,5648,0.01,5m,1.2,1.0,1.5,576,,,,,,,,,,,,,,,0.5,5,COMPLETE
46,46,-0.5005951068571909,2025-06-21 19:19:20.878331,2025-06-21 19:19:23.600111,0 days 00:00:02.721780,4816.0,0.02,1m,2.8,0.2,2.0,848.0,,,,,,,,,,,,,,,4256.0,0.015,5m,1.8,0.2,2.0,160.0,,,,,,,,,,,,,,,6272.0,0.015,1m,1.4,0.4,1.0,984.0,,,,,,,,,,,,,,,1368.0,0.015,1m,1.6,0.0,2.0,320.0,,,,,,,,1608.0,0.02,2m,1.8,1.0,2.0,968.0,,,,,,,,,,,,,,,5168.0,0.015,4m,1.2,0.4,1.0,344.0,,,,,,,,,,,,,,,5120,0.015,5m,2.8,0.8,1.0,640,,,,,,,,,,,,,,,0.1,7,COMPLETE
47,47,-0.18382968045726145,2025-06-21 19:19:23.687111,2025-06-21 19:19:25.013856,0 days 00:00:01.326745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7648.0,0.015,3m,1.0,0.0,0.5,664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2536.0,0.015,5m,2.2,0.4,1.5,528.0,,,,,,,,,,,,,,,6272,0.01,4m,2.0,1.0,1.5,512,,,,,,,,,,,,,,,0.25,3,COMPLETE
48,48,-0.5834271669903484,2025-06-21 19:19:25.067856,2025-06-21 19:19:32.672074,0 days 00:00:07.604218,1568.0,0.02,1m,2.4000000000000004,0.0,1.5,256.0,,,,,,,,1064.0,0.015,3m,1.6,0.2,2.0,520.0,6344.0,0.015,2m,2.4000000000000004,0.6000000000000001,1.5,944.0,4032.0,0.01,4m,2.0,0.8,0.5,152.0,4072.0,0.015,1m,1.0,0.2,1.0,440.0,7024.0,0.015,3m,1.2,1.0,1.5,776.0,7840.0,0.02,4m,1.0,0.6000000000000001,1.5,336.0,,,,,,,,1992.0,0.01,2m,1.4,0.8,1.5,560.0,,,,,,,,2520.0,0.015,2m,2.4000000000000004,0.2,2.0,856.0,6944.0,0.015,3m,2.0,1.0,1.0,104.0,,,,,,,,7712.0,0.01,3m,1.6,0.6000000000000001,1.5,240.0,3328.0,0.02,2m,1.0,0.0,0.5,64.0,4408.0,0.01,3m,1.4,0.4,1.0,784.0,5840,0.015,2m,3.0,0.0,1.5,400,,,,,,,,,,,,,,,0.15000000000000002,14,COMPLETE
49,49,0.23108270264226297,2025-06-21 19:19:32.813201,2025-06-21 19:19:42.087510,0 days 00:00:09.274309,3664.0,0.015,5m,2.2,0.4,2.0,112.0,,,,,,,,5840.0,0.02,3m,2.0,1.0,1.0,192.0,7464.0,0.02,1m,1.0,0.0,2.0,568.0,3176.0,0.015,5m,1.6,0.4,1.0,384.0,1704.0,0.015,3m,1.4,0.4,0.5,632.0,5432.0,0.015,4m,1.0,0.6000000000000001,1.0,560.0,,,,,,,,,,,,,,,5120.0,0.01,5m,1.0,0.0,1.5,720.0,,,,,,,,5072.0,0.015,3m,2.8,0.4,0.5,1016.0,3848.0,0.02,3m,1.4,0.8,1.5,256.0,,,,,,,,4224.0,0.015,5m,1.8,0.8,1.0,704.0,,,,,,,,2680.0,0.01,5m,2.0,1.0,1.5,336.0,4856,0.02,5m,2.6,0.8,0.5,320,,,,,,,,,,,,,,,0.05,12,COMPLETE
