,number,value,datetime_start,datetime_complete,duration,params_ABNB_EBAY_beta_win,params_ABNB_EBAY_stop_loss,params_ABNB_EBAY_trade_freq,params_ABNB_EBAY_z_entry,params_ABNB_EBAY_z_exit,params_ABNB_EBAY_z_stop_scaler,params_ABNB_EBAY_z_win,params_ADSK_PCAR_beta_win,params_ADSK_PCAR_stop_loss,params_ADSK_PCAR_trade_freq,params_ADSK_PCAR_z_entry,params_ADSK_PCAR_z_exit,params_ADSK_PCAR_z_stop_scaler,params_ADSK_PCAR_z_win,params_ALGN_IDXX_beta_win,params_ALGN_IDXX_stop_loss,params_ALGN_IDXX_trade_freq,params_ALGN_IDXX_z_entry,params_ALGN_IDXX_z_exit,params_ALGN_IDXX_z_stop_scaler,params_ALGN_IDXX_z_win,params_ALGN_ISRG_beta_win,params_ALGN_ISRG_stop_loss,params_ALGN_ISRG_trade_freq,params_ALGN_ISRG_z_entry,params_ALGN_ISRG_z_exit,params_ALGN_ISRG_z_stop_scaler,params_ALGN_ISRG_z_win,params_AMD_LRCX_beta_win,params_AMD_LRCX_stop_loss,params_AMD_LRCX_trade_freq,params_AMD_LRCX_z_entry,params_AMD_LRCX_z_exit,params_AMD_LRCX_z_stop_scaler,params_AMD_LRCX_z_win,params_BIDU_ZM_beta_win,params_BIDU_ZM_stop_loss,params_BIDU_ZM_trade_freq,params_BIDU_ZM_z_entry,params_BIDU_ZM_z_exit,params_BIDU_ZM_z_stop_scaler,params_BIDU_ZM_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_DDOG_GOOGL_beta_win,params_DDOG_GOOGL_stop_loss,params_DDOG_GOOGL_trade_freq,params_DDOG_GOOGL_z_entry,params_DDOG_GOOGL_z_exit,params_DDOG_GOOGL_z_stop_scaler,params_DDOG_GOOGL_z_win,params_DDOG_GOOG_beta_win,params_DDOG_GOOG_stop_loss,params_DDOG_GOOG_trade_freq,params_DDOG_GOOG_z_entry,params_DDOG_GOOG_z_exit,params_DDOG_GOOG_z_stop_scaler,params_DDOG_GOOG_z_win,params_DDOG_ZS_beta_win,params_DDOG_ZS_stop_loss,params_DDOG_ZS_trade_freq,params_DDOG_ZS_z_entry,params_DDOG_ZS_z_exit,params_DDOG_ZS_z_stop_scaler,params_DDOG_ZS_z_win,params_EBAY_ISRG_beta_win,params_EBAY_ISRG_stop_loss,params_EBAY_ISRG_trade_freq,params_EBAY_ISRG_z_entry,params_EBAY_ISRG_z_exit,params_EBAY_ISRG_z_stop_scaler,params_EBAY_ISRG_z_win,params_EBAY_SPLK_beta_win,params_EBAY_SPLK_stop_loss,params_EBAY_SPLK_trade_freq,params_EBAY_SPLK_z_entry,params_EBAY_SPLK_z_exit,params_EBAY_SPLK_z_stop_scaler,params_EBAY_SPLK_z_win,params_EBAY_SWKS_beta_win,params_EBAY_SWKS_stop_loss,params_EBAY_SWKS_trade_freq,params_EBAY_SWKS_z_entry,params_EBAY_SWKS_z_exit,params_EBAY_SWKS_z_stop_scaler,params_EBAY_SWKS_z_win,params_EBAY_WDAY_beta_win,params_EBAY_WDAY_stop_loss,params_EBAY_WDAY_trade_freq,params_EBAY_WDAY_z_entry,params_EBAY_WDAY_z_exit,params_EBAY_WDAY_z_stop_scaler,params_EBAY_WDAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_ISRG_SWKS_beta_win,params_ISRG_SWKS_stop_loss,params_ISRG_SWKS_trade_freq,params_ISRG_SWKS_z_entry,params_ISRG_SWKS_z_exit,params_ISRG_SWKS_z_stop_scaler,params_ISRG_SWKS_z_win,params_MELI_MSFT_beta_win,params_MELI_MSFT_stop_loss,params_MELI_MSFT_trade_freq,params_MELI_MSFT_z_entry,params_MELI_MSFT_z_exit,params_MELI_MSFT_z_stop_scaler,params_MELI_MSFT_z_win,params_MNST_WBA_beta_win,params_MNST_WBA_stop_loss,params_MNST_WBA_trade_freq,params_MNST_WBA_z_entry,params_MNST_WBA_z_exit,params_MNST_WBA_z_stop_scaler,params_MNST_WBA_z_win,params_MSFT_PYPL_beta_win,params_MSFT_PYPL_stop_loss,params_MSFT_PYPL_trade_freq,params_MSFT_PYPL_z_entry,params_MSFT_PYPL_z_exit,params_MSFT_PYPL_z_stop_scaler,params_MSFT_PYPL_z_win,params_TSLA_VRSK_beta_win,params_TSLA_VRSK_stop_loss,params_TSLA_VRSK_trade_freq,params_TSLA_VRSK_z_entry,params_TSLA_VRSK_z_exit,params_TSLA_VRSK_z_stop_scaler,params_TSLA_VRSK_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,0.17251239785341937,2025-06-21 19:17:07.542877,2025-06-21 19:17:12.658743,0 days 00:00:05.115866,5704.0,0.01,2m,2.0,1.0,1.5,328.0,,,,,,,,8112.0,0.02,2m,1.0,0.0,2.0,88.0,3888.0,0.02,3m,2.4000000000000004,0.2,1.0,240.0,8144.0,0.01,3m,2.4000000000000004,0.0,0.5,984.0,1104.0,0.015,2m,2.8,1.0,2.0,992.0,8088.0,0.02,5m,2.8,1.0,2.0,80.0,7584.0,0.02,1m,1.0,0.0,0.5,1000.0,,,,,,,,3416.0,0.01,5m,1.2,0.2,1.5,64.0,,,,,,,,1848.0,0.02,2m,2.2,0.0,1.0,728.0,7704.0,0.01,1m,1.2,1.0,0.5,992.0,,,,,,,,4336.0,0.01,4m,2.8,1.0,0.5,480.0,4832.0,0.02,4m,2.6,1.0,0.5,968.0,1464.0,0.02,1m,2.8,1.0,2.0,144.0,4968,0.02,1m,3.0,1.0,1.5,312,,,,,,,,,,,,,,,0.4,14,COMPLETE
11,11,0.05226939263876543,2025-06-21 19:17:12.738226,2025-06-21 19:17:18.004212,0 days 00:00:05.265986,6528.0,0.01,3m,2.4000000000000004,0.0,1.0,80.0,,,,,,,,6256.0,0.02,4m,1.4,0.4,0.5,648.0,5160.0,0.02,5m,2.0,1.0,0.5,1024.0,7864.0,0.015,5m,3.0,0.0,2.0,592.0,3552.0,0.015,2m,2.2,0.0,1.0,1016.0,1872.0,0.02,2m,2.2,1.0,2.0,864.0,,,,,,,,,,,,,,,8184.0,0.02,4m,2.6,0.4,0.5,472.0,,,,,,,,3936.0,0.01,2m,1.0,0.4,2.0,96.0,1144.0,0.02,2m,1.0,0.8,2.0,864.0,,,,,,,,4936.0,0.015,2m,2.6,0.0,0.5,400.0,1224.0,0.01,5m,1.2,0.0,2.0,96.0,1272.0,0.01,3m,3.0,0.0,0.5,64.0,3752,0.01,3m,1.6,0.8,1.0,864,,,,,,,,,,,,,,,0.35000000000000003,13,COMPLETE
12,12,-0.22154935824644517,2025-06-21 19:17:18.071356,2025-06-21 19:17:21.283753,0 days 00:00:03.212397,6944.0,0.015,2m,2.6,0.2,0.5,312.0,,,,,,,,,,,,,,,7880.0,0.015,4m,3.0,1.0,1.0,872.0,6024.0,0.01,4m,2.4000000000000004,0.2,1.5,624.0,,,,,,,,3984.0,0.02,2m,2.2,0.8,1.5,264.0,,,,,,,,,,,,,,,6384.0,0.02,4m,2.4000000000000004,0.6000000000000001,1.0,504.0,,,,,,,,4488.0,0.015,1m,1.6,0.4,1.0,240.0,,,,,,,,,,,,,,,4240.0,0.01,4m,1.2,0.4,0.5,1016.0,,,,,,,,,,,,,,,4688,0.02,3m,2.4000000000000004,0.8,1.5,720,,,,,,,,,,,,,,,0.35000000000000003,8,COMPLETE
13,13,-0.38452664699742595,2025-06-21 19:17:21.374537,2025-06-21 19:17:22.401988,0 days 00:00:01.027451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5632.0,0.015,1m,2.0,0.0,1.0,296.0,,,,,,,,,,,,,,,5152,0.015,3m,1.8,0.8,1.0,352,,,,,,,,,,,,,,,0.4,2,COMPLETE
14,14,1.5197342978351471,2025-06-21 19:17:22.452935,2025-06-21 19:17:27.046959,0 days 00:00:04.594024,5328.0,0.01,2m,2.0,0.8,1.0,296.0,,,,,,,,5216.0,0.01,3m,1.6,0.4,2.0,1024.0,2680.0,0.015,5m,2.2,0.2,0.5,400.0,6008.0,0.02,3m,2.4000000000000004,0.4,2.0,752.0,7872.0,0.01,5m,2.2,1.0,1.5,72.0,2400.0,0.02,5m,1.8,0.8,1.0,704.0,,,,,,,,,,,,,,,3880.0,0.02,4m,1.4,0.2,1.5,368.0,,,,,,,,3112.0,0.01,2m,3.0,0.6000000000000001,1.5,744.0,7976.0,0.01,5m,3.0,0.4,2.0,624.0,,,,,,,,1080.0,0.015,2m,2.6,0.8,1.5,64.0,7824.0,0.015,1m,2.0,1.0,1.5,1024.0,3640.0,0.02,2m,1.0,1.0,2.0,440.0,3768,0.01,3m,2.6,0.6000000000000001,1.5,712,,,,,,,,,,,,,,,0.3,13,COMPLETE
15,15,0.5239992764358867,2025-06-21 19:17:27.112784,2025-06-21 19:17:32.622702,0 days 00:00:05.509918,4872.0,0.01,2m,1.8,1.0,1.0,400.0,,,,,,,,5168.0,0.01,3m,1.4,0.4,2.0,960.0,2624.0,0.02,5m,2.2,0.2,1.0,392.0,4728.0,0.015,3m,2.2,0.4,1.5,768.0,8016.0,0.01,5m,2.2,1.0,1.5,72.0,1664.0,0.02,5m,1.8,0.8,1.0,584.0,6416.0,0.01,4m,1.4,1.0,2.0,144.0,,,,,,,,3800.0,0.015,4m,1.4,0.2,1.5,288.0,,,,,,,,3000.0,0.015,2m,3.0,0.2,1.5,792.0,7896.0,0.01,5m,3.0,0.4,2.0,608.0,,,,,,,,3824.0,0.01,5m,2.6,0.8,1.5,96.0,7864.0,0.015,1m,2.0,1.0,1.5,1008.0,3464.0,0.02,2m,1.0,1.0,2.0,456.0,2312,0.01,5m,3.0,0.0,1.5,608,,,,,,,,,,,,,,,0.3,14,COMPLETE
16,16,0.2831075527205762,2025-06-21 19:17:32.661336,2025-06-21 19:17:40.334158,0 days 00:00:07.672822,4440.0,0.01,2m,1.6,0.8,1.5,192.0,8160.0,0.01,1m,2.6,1.0,2.0,1016.0,6576.0,0.01,3m,1.8,0.2,2.0,800.0,2528.0,0.015,5m,2.0,0.0,2.0,392.0,6152.0,0.02,3m,1.8,0.4,0.5,800.0,8056.0,0.01,5m,2.6,1.0,1.0,296.0,2416.0,0.02,5m,1.0,1.0,1.0,288.0,4688.0,0.015,3m,1.8,0.0,0.5,1024.0,7632.0,0.01,3m,1.0,0.0,0.5,360.0,2712.0,0.015,5m,1.4,0.0,1.5,112.0,7640.0,0.01,5m,1.0,1.0,0.5,1000.0,2776.0,0.015,2m,2.6,0.8,1.0,824.0,5432.0,0.01,3m,3.0,0.6000000000000001,1.5,600.0,7792.0,0.015,3m,2.8,1.0,1.0,544.0,6664.0,0.015,5m,3.0,0.8,1.5,896.0,5408.0,0.015,1m,2.0,0.6000000000000001,1.0,720.0,3520.0,0.02,2m,2.2,0.6000000000000001,1.5,512.0,1056,0.01,3m,2.6,0.8,2.0,424,7912.0,0.01,5m,3.0,1.0,2.0,1024.0,5232.0,0.01,2m,1.0,0.6000000000000001,1.5,600.0,0.45,20,COMPLETE
17,17,-1.6796535762393596,2025-06-21 19:17:40.402167,2025-06-21 19:17:45.858672,0 days 00:00:05.456505,5024.0,0.01,2m,2.2,0.2,0.5,480.0,,,,,,,,4288.0,0.01,3m,1.8,1.0,1.5,440.0,2480.0,0.015,3m,2.4000000000000004,0.4,1.5,64.0,3824.0,0.015,5m,2.6,0.6000000000000001,2.0,808.0,4784.0,0.015,4m,1.6,0.4,1.5,728.0,4640.0,0.015,5m,1.8,0.4,1.0,1024.0,,,,,,,,,,,,,,,4008.0,0.01,3m,1.0,0.2,1.5,352.0,,,,,,,,2776.0,0.01,2m,2.6,0.2,2.0,592.0,6312.0,0.015,5m,1.6,0.4,2.0,448.0,,,,,,,,3344.0,0.01,2m,2.6,0.8,2.0,576.0,6200.0,0.015,1m,2.4000000000000004,0.8,1.5,760.0,7800.0,0.01,5m,1.0,0.8,1.0,328.0,2960,0.01,5m,1.4,1.0,1.5,80,,,,,,,,,,,,,,,0.2,13,COMPLETE
18,18,-1.222941936198957,2025-06-21 19:17:45.915211,2025-06-21 19:17:51.826106,0 days 00:00:05.910895,3848.0,0.01,3m,1.6,0.8,2.0,192.0,1336.0,0.02,4m,1.0,0.8,2.0,112.0,4992.0,0.01,1m,1.0,0.6000000000000001,1.5,608.0,3488.0,0.02,4m,1.6,0.4,1.0,376.0,1080.0,0.01,4m,1.6,0.2,1.0,432.0,1120.0,0.01,1m,1.8,0.8,2.0,224.0,4672.0,0.02,3m,2.6,0.8,1.0,680.0,1120.0,0.015,2m,2.2,0.6000000000000001,2.0,536.0,,,,,,,,2696.0,0.02,4m,1.6,0.0,2.0,216.0,6920.0,0.01,2m,3.0,0.0,0.5,976.0,3856.0,0.02,1m,3.0,0.8,0.5,872.0,3256.0,0.01,5m,2.2,0.0,1.0,768.0,,,,,,,,5368.0,0.015,4m,2.4000000000000004,0.4,1.5,728.0,3368.0,0.02,5m,1.4,0.4,1.0,328.0,3304.0,0.02,2m,2.2,0.4,2.0,712.0,5464,0.02,4m,2.8,0.4,2.0,1016,,,,,,,,,,,,,,,0.3,16,COMPLETE
19,19,0.23720620626534922,2025-06-21 19:17:51.907014,2025-06-21 19:17:55.997156,0 days 00:00:04.090142,6112.0,0.015,1m,2.0,0.4,1.5,704.0,,,,,,,,7624.0,0.015,4m,2.0,0.2,0.5,824.0,5800.0,0.015,2m,3.0,0.2,0.5,1016.0,5928.0,0.02,1m,2.6,1.0,1.5,696.0,4912.0,0.015,3m,2.4000000000000004,0.2,1.0,752.0,2568.0,0.01,1m,1.4,1.0,2.0,472.0,,,,,,,,,,,,,,,1072.0,0.015,4m,1.4,0.2,1.5,640.0,,,,,,,,2072.0,0.015,3m,2.2,0.2,1.5,680.0,6456.0,0.015,1m,1.8,0.6000000000000001,1.5,72.0,,,,,,,,5832.0,0.015,3m,2.8,0.8,1.0,496.0,,,,,,,,,,,,,,,4120,0.01,1m,2.4000000000000004,0.6000000000000001,1.5,672,,,,,,,,,,,,,,,0.4,11,COMPLETE
