,number,value,datetime_start,datetime_complete,duration,params_ADP_BIIB_beta_win,params_ADP_BIIB_stop_loss,params_ADP_BIIB_trade_freq,params_ADP_BIIB_z_entry,params_ADP_BIIB_z_exit,params_ADP_BIIB_z_stop_scaler,params_ADP_BIIB_z_win,params_ADP_NXPI_beta_win,params_ADP_NXPI_stop_loss,params_ADP_NXPI_trade_freq,params_ADP_NXPI_z_entry,params_ADP_NXPI_z_exit,params_ADP_NXPI_z_stop_scaler,params_ADP_NXPI_z_win,params_AEP_NXPI_beta_win,params_AEP_NXPI_stop_loss,params_AEP_NXPI_trade_freq,params_AEP_NXPI_z_entry,params_AEP_NXPI_z_exit,params_AEP_NXPI_z_stop_scaler,params_AEP_NXPI_z_win,params_AMAT_GOOGL_beta_win,params_AMAT_GOOGL_stop_loss,params_AMAT_GOOGL_trade_freq,params_AMAT_GOOGL_z_entry,params_AMAT_GOOGL_z_exit,params_AMAT_GOOGL_z_stop_scaler,params_AMAT_GOOGL_z_win,params_AMAT_GOOG_beta_win,params_AMAT_GOOG_stop_loss,params_AMAT_GOOG_trade_freq,params_AMAT_GOOG_z_entry,params_AMAT_GOOG_z_exit,params_AMAT_GOOG_z_stop_scaler,params_AMAT_GOOG_z_win,params_BIIB_GEHC_beta_win,params_BIIB_GEHC_stop_loss,params_BIIB_GEHC_trade_freq,params_BIIB_GEHC_z_entry,params_BIIB_GEHC_z_exit,params_BIIB_GEHC_z_stop_scaler,params_BIIB_GEHC_z_win,params_BIIB_NXPI_beta_win,params_BIIB_NXPI_stop_loss,params_BIIB_NXPI_trade_freq,params_BIIB_NXPI_z_entry,params_BIIB_NXPI_z_exit,params_BIIB_NXPI_z_stop_scaler,params_BIIB_NXPI_z_win,params_BKR_ODFL_beta_win,params_BKR_ODFL_stop_loss,params_BKR_ODFL_trade_freq,params_BKR_ODFL_z_entry,params_BKR_ODFL_z_exit,params_BKR_ODFL_z_stop_scaler,params_BKR_ODFL_z_win,params_CHTR_ODFL_beta_win,params_CHTR_ODFL_stop_loss,params_CHTR_ODFL_trade_freq,params_CHTR_ODFL_z_entry,params_CHTR_ODFL_z_exit,params_CHTR_ODFL_z_stop_scaler,params_CHTR_ODFL_z_win,params_CTAS_LIN_beta_win,params_CTAS_LIN_stop_loss,params_CTAS_LIN_trade_freq,params_CTAS_LIN_z_entry,params_CTAS_LIN_z_exit,params_CTAS_LIN_z_stop_scaler,params_CTAS_LIN_z_win,params_CTSH_ODFL_beta_win,params_CTSH_ODFL_stop_loss,params_CTSH_ODFL_trade_freq,params_CTSH_ODFL_z_entry,params_CTSH_ODFL_z_exit,params_CTSH_ODFL_z_stop_scaler,params_CTSH_ODFL_z_win,params_FTNT_SBUX_beta_win,params_FTNT_SBUX_stop_loss,params_FTNT_SBUX_trade_freq,params_FTNT_SBUX_z_entry,params_FTNT_SBUX_z_exit,params_FTNT_SBUX_z_stop_scaler,params_FTNT_SBUX_z_win,params_GEHC_NXPI_beta_win,params_GEHC_NXPI_stop_loss,params_GEHC_NXPI_trade_freq,params_GEHC_NXPI_z_entry,params_GEHC_NXPI_z_exit,params_GEHC_NXPI_z_stop_scaler,params_GEHC_NXPI_z_win,params_GFS_KDP_beta_win,params_GFS_KDP_stop_loss,params_GFS_KDP_trade_freq,params_GFS_KDP_z_entry,params_GFS_KDP_z_exit,params_GFS_KDP_z_stop_scaler,params_GFS_KDP_z_win,params_GOOG_LRCX_beta_win,params_GOOG_LRCX_stop_loss,params_GOOG_LRCX_trade_freq,params_GOOG_LRCX_z_entry,params_GOOG_LRCX_z_exit,params_GOOG_LRCX_z_stop_scaler,params_GOOG_LRCX_z_win,params_INTC_NXPI_beta_win,params_INTC_NXPI_stop_loss,params_INTC_NXPI_trade_freq,params_INTC_NXPI_z_entry,params_INTC_NXPI_z_exit,params_INTC_NXPI_z_stop_scaler,params_INTC_NXPI_z_win,params_KDP_NXPI_beta_win,params_KDP_NXPI_stop_loss,params_KDP_NXPI_trade_freq,params_KDP_NXPI_z_entry,params_KDP_NXPI_z_exit,params_KDP_NXPI_z_stop_scaler,params_KDP_NXPI_z_win,params_MDLZ_NXPI_beta_win,params_MDLZ_NXPI_stop_loss,params_MDLZ_NXPI_trade_freq,params_MDLZ_NXPI_z_entry,params_MDLZ_NXPI_z_exit,params_MDLZ_NXPI_z_stop_scaler,params_MDLZ_NXPI_z_win,params_MRNA_NXPI_beta_win,params_MRNA_NXPI_stop_loss,params_MRNA_NXPI_trade_freq,params_MRNA_NXPI_z_entry,params_MRNA_NXPI_z_exit,params_MRNA_NXPI_z_stop_scaler,params_MRNA_NXPI_z_win,params_SMCI_XEL_beta_win,params_SMCI_XEL_stop_loss,params_SMCI_XEL_trade_freq,params_SMCI_XEL_z_entry,params_SMCI_XEL_z_exit,params_SMCI_XEL_z_stop_scaler,params_SMCI_XEL_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-1.4850867254555489,2025-06-21 19:39:47.431152,2025-06-21 19:39:55.469592,0 days 00:00:08.038440,6848.0,0.01,2m,1.2,1.0,0.5,1000.0,1232.0,0.01,3m,2.4000000000000004,1.0,1.0,216.0,8088.0,0.01,4m,2.2,0.2,2.0,304.0,1416.0,0.02,3m,2.0,1.0,0.5,64.0,5800.0,0.01,2m,2.2,0.0,0.5,152.0,2616.0,0.015,2m,2.6,0.0,2.0,720.0,1448.0,0.02,4m,2.2,1.0,1.0,600.0,7840.0,0.02,2m,3.0,0.0,2.0,80.0,5704.0,0.01,3m,1.8,1.0,1.5,1000.0,2128.0,0.01,3m,2.8,0.4,1.0,344.0,5392.0,0.015,4m,1.0,1.0,1.5,448.0,2096.0,0.015,3m,1.6,0.4,0.5,496.0,6912.0,0.02,2m,3.0,0.6000000000000001,2.0,120.0,5552.0,0.01,1m,1.0,0.2,2.0,704.0,2520.0,0.02,2m,1.4,1.0,2.0,904.0,7968.0,0.015,5m,1.4,0.2,1.5,64.0,4968,0.02,2m,3.0,1.0,1.0,1024,1256.0,0.02,1m,1.2,1.0,2.0,744.0,6488.0,0.02,1m,2.8,0.6000000000000001,0.5,72.0,1200.0,0.02,2m,1.2,0.0,2.0,64.0,0.15000000000000002,20,COMPLETE
11,11,-1.5930405206508809,2025-06-21 19:39:55.586522,2025-06-21 19:40:01.809516,0 days 00:00:06.222994,4976.0,0.01,4m,1.6,0.4,2.0,1016.0,1136.0,0.01,4m,1.8,0.4,2.0,960.0,7480.0,0.01,4m,1.8,0.0,1.0,416.0,7488.0,0.02,3m,1.8,0.2,1.0,1024.0,2464.0,0.01,2m,1.2,0.4,1.0,96.0,4800.0,0.02,4m,1.8,0.0,1.5,136.0,3248.0,0.015,4m,3.0,0.8,2.0,672.0,8136.0,0.02,2m,3.0,0.0,2.0,928.0,4056.0,0.02,5m,1.0,0.0,1.5,1016.0,,,,,,,,4688.0,0.01,3m,1.6,1.0,1.5,64.0,,,,,,,,4280.0,0.02,2m,3.0,0.0,0.5,320.0,4712.0,0.015,1m,2.0,0.4,0.5,72.0,,,,,,,,6232.0,0.015,2m,1.6,0.6000000000000001,0.5,736.0,3240,0.01,2m,2.8,0.4,1.0,936,,,,,,,,4016.0,0.02,4m,1.2,0.0,1.0,864.0,,,,,,,,0.05,15,COMPLETE
12,12,0.1783026631744247,2025-06-21 19:40:01.921880,2025-06-21 19:40:08.295484,0 days 00:00:06.373604,4408.0,0.02,3m,2.0,0.4,0.5,648.0,2376.0,0.015,1m,2.2,0.6000000000000001,1.5,680.0,1656.0,0.01,4m,1.8,0.2,1.0,384.0,4512.0,0.015,2m,3.0,1.0,1.0,72.0,4288.0,0.015,4m,2.8,0.6000000000000001,2.0,1024.0,8184.0,0.01,3m,2.4000000000000004,1.0,1.0,448.0,4112.0,0.02,1m,1.8,0.4,0.5,392.0,5048.0,0.015,1m,2.2,1.0,1.5,336.0,5064.0,0.02,5m,1.6,0.0,2.0,824.0,,,,,,,,3672.0,0.01,3m,1.6,0.0,1.5,552.0,,,,,,,,1128.0,0.01,4m,2.2,1.0,1.0,936.0,6832.0,0.01,4m,1.0,1.0,1.5,408.0,,,,,,,,8056.0,0.015,1m,2.2,0.6000000000000001,1.0,744.0,1128,0.02,1m,2.6,0.0,0.5,728,,,,,,,,4552.0,0.01,2m,1.8,0.4,2.0,512.0,,,,,,,,0.05,15,COMPLETE
13,13,0.29272702165943765,2025-06-21 19:40:08.399031,2025-06-21 19:40:09.674238,0 days 00:00:01.275207,,,,,,,,,,,,,,,4576.0,0.015,4m,2.6,0.4,2.0,536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6272.0,0.015,4m,1.8,0.8,2.0,536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5584,0.015,5m,2.6,0.8,1.0,344,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
14,14,-0.018829818466241734,2025-06-21 19:40:09.753224,2025-06-21 19:40:15.120553,0 days 00:00:05.367329,4392.0,0.01,5m,2.0,0.6000000000000001,1.5,64.0,2464.0,0.01,1m,3.0,0.4,1.0,376.0,6776.0,0.01,1m,1.8,0.0,1.0,232.0,8096.0,0.015,3m,1.0,0.4,0.5,288.0,,,,,,,,1064.0,0.02,5m,1.0,0.4,2.0,960.0,1288.0,0.015,4m,2.4000000000000004,0.4,1.0,88.0,5160.0,0.02,5m,2.2,0.4,1.0,560.0,3296.0,0.02,5m,1.4,0.8,1.5,808.0,,,,,,,,1216.0,0.015,1m,2.8,0.0,1.5,640.0,,,,,,,,,,,,,,,3720.0,0.02,3m,2.4000000000000004,0.6000000000000001,2.0,696.0,,,,,,,,6136.0,0.02,2m,1.0,0.8,1.5,744.0,7840,0.01,3m,1.0,0.6000000000000001,1.5,576,,,,,,,,7480.0,0.02,5m,3.0,0.4,0.5,288.0,,,,,,,,0.2,13,COMPLETE
15,15,-0.9507587687529753,2025-06-21 19:40:15.205215,2025-06-21 19:40:23.141402,0 days 00:00:07.936187,7880.0,0.02,3m,3.0,0.0,2.0,808.0,2088.0,0.01,1m,1.6,0.8,2.0,1000.0,4528.0,0.015,3m,2.4000000000000004,0.4,1.5,424.0,5192.0,0.02,2m,2.4000000000000004,0.8,1.5,800.0,8168.0,0.01,3m,2.0,0.4,0.5,440.0,4664.0,0.01,1m,3.0,0.4,1.0,480.0,3000.0,0.02,1m,1.6,0.8,2.0,784.0,6296.0,0.015,4m,1.0,0.4,1.5,296.0,4528.0,0.01,5m,2.2,0.2,1.0,896.0,8136.0,0.02,4m,1.0,1.0,2.0,1024.0,4024.0,0.01,5m,1.4,0.8,1.5,360.0,5216.0,0.01,5m,2.8,0.4,1.5,288.0,7096.0,0.02,5m,2.2,0.4,1.5,544.0,5952.0,0.015,5m,1.6,0.8,1.5,272.0,8088.0,0.01,5m,3.0,0.0,0.5,64.0,4968.0,0.015,5m,1.8,0.2,1.0,1016.0,2408,0.02,2m,2.4000000000000004,0.4,0.5,872,7056.0,0.01,1m,1.8,0.8,0.5,344.0,2624.0,0.015,3m,2.0,1.0,1.5,888.0,1688.0,0.02,2m,1.6,1.0,2.0,104.0,0.05,20,COMPLETE
16,16,0.8269956708864317,2025-06-21 19:40:23.245006,2025-06-21 19:40:28.400608,0 days 00:00:05.155602,3360.0,0.01,1m,1.0,1.0,1.0,488.0,3840.0,0.015,4m,2.0,0.6000000000000001,1.5,392.0,7008.0,0.01,4m,1.6,0.0,1.0,88.0,2992.0,0.015,4m,1.6,0.4,1.0,256.0,,,,,,,,5928.0,0.015,4m,1.8,0.2,1.5,728.0,5368.0,0.015,3m,2.6,0.2,1.0,472.0,,,,,,,,2792.0,0.02,3m,1.0,0.8,2.0,704.0,,,,,,,,6432.0,0.02,3m,2.0,0.8,2.0,176.0,,,,,,,,,,,,,,,4000.0,0.02,1m,1.4,0.4,0.5,712.0,,,,,,,,7024.0,0.015,3m,2.6,0.8,1.5,824.0,3984,0.015,5m,1.4,0.8,1.0,656,,,,,,,,5920.0,0.01,4m,1.4,0.2,1.0,624.0,,,,,,,,0.1,12,COMPLETE
17,17,0.1433513528102065,2025-06-21 19:40:28.515677,2025-06-21 19:40:35.770264,0 days 00:00:07.254587,3360.0,0.01,1m,1.0,1.0,1.0,448.0,5056.0,0.015,4m,2.0,1.0,1.0,416.0,7880.0,0.02,4m,2.0,0.2,1.0,88.0,2232.0,0.015,4m,1.6,0.4,1.0,264.0,4024.0,0.015,1m,2.2,0.0,1.5,440.0,6144.0,0.015,4m,1.8,0.2,1.5,728.0,5240.0,0.015,3m,2.6,0.2,1.0,480.0,2376.0,0.01,2m,2.6,0.2,2.0,856.0,6456.0,0.02,3m,1.0,1.0,2.0,712.0,,,,,,,,6768.0,0.02,3m,2.6,0.8,2.0,72.0,,,,,,,,5048.0,0.015,1m,1.0,0.4,1.0,464.0,3824.0,0.02,1m,1.4,0.4,0.5,744.0,,,,,,,,7112.0,0.02,3m,2.8,1.0,1.5,848.0,4264,0.01,2m,1.2,0.8,1.0,1024,1896.0,0.015,3m,2.2,0.6000000000000001,2.0,1000.0,6096.0,0.01,4m,1.2,0.2,1.0,624.0,3584.0,0.01,3m,2.2,0.2,0.5,464.0,0.35000000000000003,17,COMPLETE
18,18,-0.2887841778425611,2025-06-21 19:40:35.817869,2025-06-21 19:40:40.730232,0 days 00:00:04.912363,3408.0,0.01,1m,1.6,0.8,1.0,584.0,3744.0,0.02,4m,2.4000000000000004,0.4,1.5,384.0,1120.0,0.015,4m,3.0,0.4,2.0,176.0,3600.0,0.015,4m,1.4,0.2,0.5,248.0,,,,,,,,6248.0,0.015,4m,2.0,0.2,1.5,736.0,4240.0,0.01,3m,2.8,0.2,1.0,752.0,,,,,,,,2456.0,0.02,3m,1.6,0.8,0.5,448.0,,,,,,,,5456.0,0.02,5m,2.0,1.0,2.0,200.0,,,,,,,,,,,,,,,3840.0,0.02,1m,1.2,0.2,1.0,840.0,,,,,,,,7240.0,0.015,3m,2.4000000000000004,0.8,1.5,624.0,6992,0.015,4m,1.6,0.8,1.5,880,,,,,,,,5472.0,0.01,4m,1.6,0.2,1.0,608.0,,,,,,,,0.2,12,COMPLETE
19,19,0.8508122274157588,2025-06-21 19:40:40.816743,2025-06-21 19:40:48.211139,0 days 00:00:07.394396,5712.0,0.01,4m,2.4000000000000004,1.0,0.5,824.0,5544.0,0.015,2m,2.0,0.8,1.5,144.0,5144.0,0.01,3m,2.2,0.0,1.5,656.0,5360.0,0.01,1m,2.4000000000000004,0.8,1.0,192.0,1160.0,0.02,2m,1.4,0.8,1.0,744.0,3328.0,0.01,4m,1.4,0.6000000000000001,1.5,1016.0,6992.0,0.015,2m,2.6,0.2,1.5,520.0,3408.0,0.02,3m,1.6,0.8,1.0,352.0,5376.0,0.01,2m,2.0,0.6000000000000001,2.0,408.0,,,,,,,,7152.0,0.02,1m,1.2,0.8,2.0,200.0,1088.0,0.02,3m,1.0,1.0,0.5,944.0,2464.0,0.01,2m,2.6,0.2,0.5,888.0,1248.0,0.015,1m,2.4000000000000004,0.8,0.5,560.0,,,,,,,,3856.0,0.01,3m,3.0,0.4,2.0,496.0,5400,0.02,3m,1.2,1.0,1.0,696,5696.0,0.02,5m,1.0,0.2,1.0,576.0,8184.0,0.015,4m,2.4000000000000004,0.6000000000000001,1.0,408.0,7128.0,0.02,5m,1.0,0.6000000000000001,1.5,448.0,0.1,18,COMPLETE
20,20,-0.9348931058280744,2025-06-21 19:40:48.310150,2025-06-21 19:40:55.794834,0 days 00:00:07.484684,6088.0,0.015,4m,2.4000000000000004,0.6000000000000001,0.5,864.0,5840.0,0.02,2m,2.8,0.8,1.0,160.0,5160.0,0.015,3m,2.4000000000000004,0.2,1.5,664.0,5504.0,0.01,1m,2.4000000000000004,0.8,1.5,144.0,1472.0,0.02,2m,1.2,0.8,1.0,840.0,2856.0,0.01,2m,1.2,0.8,1.0,1016.0,6928.0,0.015,2m,3.0,0.8,1.5,584.0,3440.0,0.02,3m,1.6,0.8,1.0,344.0,5464.0,0.01,2m,2.0,0.6000000000000001,2.0,416.0,,,,,,,,7336.0,0.02,1m,1.0,1.0,2.0,384.0,1192.0,0.02,3m,1.0,1.0,0.5,952.0,2360.0,0.01,2m,2.6,0.2,0.5,1016.0,1200.0,0.015,3m,2.4000000000000004,0.8,1.0,560.0,,,,,,,,3824.0,0.01,1m,3.0,0.0,2.0,448.0,5552,0.02,3m,1.2,1.0,1.5,848,5648.0,0.02,5m,1.0,0.0,1.0,568.0,8120.0,0.015,1m,2.4000000000000004,0.8,1.5,312.0,7728.0,0.02,5m,1.0,0.6000000000000001,1.5,448.0,0.2,18,COMPLETE
21,21,1.893420452861745,2025-06-21 19:40:55.890068,2025-06-21 19:41:02.012140,0 days 00:00:06.122072,5496.0,0.01,4m,2.6,1.0,0.5,712.0,5576.0,0.015,2m,2.0,0.6000000000000001,1.5,64.0,4008.0,0.01,3m,2.0,0.0,1.0,648.0,4152.0,0.01,1m,2.4000000000000004,0.8,1.0,336.0,2888.0,0.02,2m,1.6,0.6000000000000001,1.0,728.0,3368.0,0.01,4m,1.6,0.6000000000000001,1.5,840.0,5144.0,0.015,2m,2.6,0.2,1.5,448.0,3704.0,0.015,3m,1.8,0.8,0.5,160.0,5968.0,0.01,2m,2.4000000000000004,0.8,2.0,384.0,,,,,,,,6880.0,0.02,1m,1.4,0.8,2.0,192.0,,,,,,,,4480.0,0.01,2m,2.6,0.2,0.5,760.0,8112.0,0.015,1m,2.4000000000000004,0.6000000000000001,0.5,576.0,,,,,,,,4304.0,0.01,3m,2.8,0.4,2.0,504.0,6512,0.015,3m,1.4,1.0,1.0,664,,,,,,,,3816.0,0.015,4m,2.4000000000000004,0.6000000000000001,1.0,480.0,,,,,,,,0.1,15,COMPLETE
22,22,2.121801280870502,2025-06-21 19:41:02.101094,2025-06-21 19:41:08.318288,0 days 00:00:06.217194,5720.0,0.01,4m,2.6,1.0,0.5,872.0,5976.0,0.015,2m,2.4000000000000004,0.8,1.5,64.0,2560.0,0.01,3m,2.2,0.0,1.5,656.0,4576.0,0.01,1m,2.4000000000000004,0.8,1.0,376.0,3168.0,0.02,2m,1.6,0.6000000000000001,1.0,728.0,3640.0,0.01,4m,1.4,0.6000000000000001,1.5,856.0,6888.0,0.015,2m,2.4000000000000004,0.2,1.5,344.0,3504.0,0.015,3m,1.8,0.8,0.5,112.0,6352.0,0.01,2m,2.2,0.6000000000000001,2.0,336.0,,,,,,,,7072.0,0.02,1m,1.2,0.8,2.0,240.0,,,,,,,,4672.0,0.01,2m,2.6,0.2,0.5,760.0,7824.0,0.015,1m,2.4000000000000004,0.8,0.5,520.0,,,,,,,,3976.0,0.01,3m,2.8,0.4,2.0,480.0,6768,0.02,3m,1.2,1.0,1.0,688,,,,,,,,3112.0,0.015,4m,2.4000000000000004,0.6000000000000001,1.0,432.0,,,,,,,,0.15000000000000002,15,COMPLETE
23,23,3.262966492627981,2025-06-21 19:41:08.424691,2025-06-21 19:41:14.189607,0 days 00:00:05.764916,5216.0,0.01,4m,2.6,0.8,0.5,928.0,6232.0,0.015,2m,2.4000000000000004,0.6000000000000001,1.5,72.0,2496.0,0.01,3m,2.0,0.2,1.5,800.0,4320.0,0.01,1m,2.6,0.8,0.5,384.0,3232.0,0.02,2m,1.8,0.6000000000000001,1.0,720.0,3792.0,0.01,4m,1.6,0.8,2.0,848.0,4792.0,0.015,2m,2.2,0.4,1.5,280.0,3752.0,0.015,3m,2.0,0.8,0.5,72.0,6520.0,0.01,2m,2.4000000000000004,0.4,1.5,280.0,,,,,,,,5704.0,0.02,1m,1.4,1.0,1.5,272.0,,,,,,,,,,,,,,,8112.0,0.01,1m,2.6,0.6000000000000001,0.5,328.0,,,,,,,,4184.0,0.01,3m,2.6,0.2,2.0,400.0,7024,0.02,3m,1.0,1.0,1.0,944,,,,,,,,3384.0,0.015,4m,2.6,0.8,0.5,112.0,,,,,,,,0.15000000000000002,14,COMPLETE
24,24,-0.8277962454232267,2025-06-21 19:41:14.274669,2025-06-21 19:41:20.229612,0 days 00:00:05.954943,5656.0,0.01,4m,2.8,1.0,0.5,712.0,6608.0,0.015,2m,2.2,1.0,1.5,112.0,2432.0,0.01,3m,2.4000000000000004,0.2,1.0,928.0,4456.0,0.01,1m,2.6,0.8,1.0,392.0,3480.0,0.02,2m,1.6,0.6000000000000001,1.0,736.0,3568.0,0.01,1m,1.4,0.8,2.0,824.0,4864.0,0.015,2m,2.2,0.4,2.0,248.0,3272.0,0.015,3m,2.0,0.8,0.5,64.0,6888.0,0.01,2m,2.6,0.4,1.5,272.0,,,,,,,,5520.0,0.02,1m,1.2,0.8,2.0,432.0,,,,,,,,,,,,,,,8192.0,0.01,5m,2.6,0.6000000000000001,0.5,456.0,,,,,,,,3912.0,0.01,3m,2.6,0.2,2.0,408.0,7312,0.02,3m,1.8,1.0,1.0,768,,,,,,,,2992.0,0.015,2m,2.8,0.8,0.5,96.0,,,,,,,,0.3,14,COMPLETE
25,25,1.005403439991836,2025-06-21 19:41:20.317488,2025-06-21 19:41:26.594882,0 days 00:00:06.277394,6808.0,0.015,4m,2.8,0.8,0.5,896.0,6088.0,0.015,2m,2.4000000000000004,0.4,1.0,72.0,2648.0,0.01,3m,2.0,0.2,2.0,816.0,3992.0,0.01,1m,2.6,1.0,2.0,624.0,5872.0,0.02,2m,1.8,0.6000000000000001,1.5,640.0,1832.0,0.01,5m,1.6,0.8,2.0,608.0,5904.0,0.015,2m,2.2,0.0,1.5,120.0,4144.0,0.015,3m,1.8,1.0,0.5,176.0,7096.0,0.01,2m,2.4000000000000004,0.4,1.5,352.0,,,,,,,,5848.0,0.015,1m,1.4,0.6000000000000001,1.5,240.0,,,,,,,,5688.0,0.01,1m,1.8,0.6000000000000001,1.0,768.0,8040.0,0.01,4m,2.6,0.6000000000000001,0.5,368.0,,,,,,,,2904.0,0.01,3m,2.8,0.4,2.0,248.0,7304,0.02,3m,1.4,1.0,1.5,640,,,,,,,,3168.0,0.015,5m,2.2,0.8,0.5,432.0,,,,,,,,0.1,15,COMPLETE
26,26,-0.30196766963379096,2025-06-21 19:41:26.683346,2025-06-21 19:41:31.159171,0 days 00:00:04.475825,5064.0,0.01,4m,2.6,0.6000000000000001,0.5,680.0,7720.0,0.015,2m,2.2,0.8,1.5,240.0,4008.0,0.01,3m,2.6,0.4,1.5,880.0,2696.0,0.01,1m,2.2,0.8,1.5,376.0,,,,,,,,,,,,,,,7032.0,0.01,2m,1.8,0.4,1.5,376.0,,,,,,,,6264.0,0.01,2m,2.4000000000000004,1.0,1.0,136.0,,,,,,,,4832.0,0.02,1m,1.4,1.0,2.0,104.0,,,,,,,,,,,,,,,7304.0,0.015,1m,2.2,0.6000000000000001,0.5,608.0,,,,,,,,4384.0,0.01,3m,2.8,0.2,2.0,624.0,6384,0.02,3m,1.2,0.8,1.0,272,,,,,,,,1944.0,0.015,3m,2.6,0.6000000000000001,0.5,776.0,,,,,,,,0.2,11,COMPLETE
27,27,-0.459668690840509,2025-06-21 19:41:31.248179,2025-06-21 19:41:38.023421,0 days 00:00:06.775242,6632.0,0.015,4m,2.2,1.0,0.5,928.0,5360.0,0.015,2m,1.8,0.6000000000000001,1.0,64.0,2704.0,0.01,3m,2.2,0.0,1.0,688.0,4184.0,0.01,1m,2.8,1.0,0.5,664.0,2864.0,0.015,5m,1.6,0.8,0.5,896.0,4152.0,0.01,3m,1.0,0.6000000000000001,2.0,816.0,3472.0,0.015,2m,2.4000000000000004,0.2,2.0,256.0,2160.0,0.015,3m,2.0,0.6000000000000001,0.5,184.0,4768.0,0.01,2m,2.2,0.8,1.5,328.0,,,,,,,,5896.0,0.015,1m,1.0,0.8,2.0,288.0,,,,,,,,5608.0,0.015,3m,2.6,0.8,1.5,736.0,6392.0,0.01,1m,2.8,1.0,1.0,360.0,,,,,,,,2392.0,0.01,3m,2.4000000000000004,0.4,2.0,392.0,8176,0.02,3m,1.0,1.0,1.0,448,7952.0,0.01,2m,3.0,0.4,0.5,72.0,3784.0,0.015,4m,2.0,1.0,2.0,472.0,,,,,,,,0.25,16,COMPLETE
28,28,0.1354424059255719,2025-06-21 19:41:38.139934,2025-06-21 19:41:43.895907,0 days 00:00:05.755973,5232.0,0.01,2m,2.8,0.8,0.5,760.0,6256.0,0.02,3m,2.6,0.2,1.5,296.0,2128.0,0.01,3m,2.0,0.2,1.5,592.0,4904.0,0.01,5m,2.2,0.6000000000000001,1.0,368.0,,,,,,,,2360.0,0.01,4m,1.4,1.0,0.5,584.0,4552.0,0.015,2m,2.4000000000000004,0.6000000000000001,1.5,168.0,4296.0,0.01,3m,2.4000000000000004,0.8,0.5,192.0,7456.0,0.01,1m,2.6,0.4,2.0,176.0,,,,,,,,8016.0,0.02,1m,1.2,0.6000000000000001,1.5,136.0,,,,,,,,,,,,,,,7688.0,0.015,1m,2.0,0.4,0.5,184.0,,,,,,,,3264.0,0.01,3m,2.8,0.6000000000000001,2.0,488.0,7496,0.02,3m,1.8,1.0,1.5,816,,,,,,,,2264.0,0.015,4m,2.8,0.8,1.5,1016.0,,,,,,,,0.15000000000000002,13,COMPLETE
29,29,-2.1105174774390223,2025-06-21 19:41:44.004456,2025-06-21 19:41:47.755632,0 days 00:00:03.751176,7896.0,0.01,4m,2.0,0.2,1.5,568.0,7456.0,0.015,2m,1.4,1.0,2.0,304.0,1656.0,0.01,3m,1.6,0.0,2.0,736.0,,,,,,,,,,,,,,,,,,,,,,5488.0,0.01,2m,2.0,0.2,1.0,392.0,,,,,,,,6688.0,0.01,2m,2.2,0.6000000000000001,2.0,536.0,,,,,,,,6952.0,0.02,1m,1.4,0.4,1.5,472.0,,,,,,,,,,,,,,,6824.0,0.015,3m,2.6,0.8,1.0,616.0,,,,,,,,5392.0,0.01,3m,2.2,0.2,2.0,160.0,6768,0.015,3m,1.4,0.8,0.5,504,,,,,,,,,,,,,,,,,,,,,,0.1,9,COMPLETE
30,30,-2.2961889394412913,2025-06-21 19:41:47.845307,2025-06-21 19:41:53.700325,0 days 00:00:05.855018,6216.0,0.01,4m,2.6,1.0,0.5,848.0,4704.0,0.015,2m,2.2,0.8,1.5,152.0,3104.0,0.01,5m,1.8,0.0,1.0,856.0,2224.0,0.01,1m,2.6,0.8,1.0,504.0,5160.0,0.02,1m,1.8,0.6000000000000001,1.0,712.0,3912.0,0.01,4m,2.2,0.8,1.0,312.0,6424.0,0.015,2m,1.6,0.4,1.5,328.0,2752.0,0.015,4m,1.2,1.0,1.0,712.0,5984.0,0.01,2m,2.6,0.2,1.5,320.0,,,,,,,,5088.0,0.015,1m,1.6,1.0,1.0,280.0,,,,,,,,,,,,,,,7584.0,0.01,1m,2.2,0.6000000000000001,0.5,480.0,,,,,,,,3544.0,0.01,5m,2.6,0.4,1.5,592.0,6256,0.02,1m,1.2,1.0,0.5,680,,,,,,,,3560.0,0.015,4m,2.2,0.6000000000000001,0.5,192.0,,,,,,,,0.05,14,COMPLETE
