,number,value,datetime_start,datetime_complete,duration,params_AAPL_DASH_beta_win,params_AAPL_DASH_stop_loss,params_AAPL_DASH_trade_freq,params_AAPL_DASH_z_entry,params_AAPL_DASH_z_exit,params_AAPL_DASH_z_stop_scaler,params_AAPL_DASH_z_win,params_ADBE_FANG_beta_win,params_ADBE_FANG_stop_loss,params_ADBE_FANG_trade_freq,params_ADBE_FANG_z_entry,params_ADBE_FANG_z_exit,params_ADBE_FANG_z_stop_scaler,params_ADBE_FANG_z_win,params_AVGO_MAR_beta_win,params_AVGO_MAR_stop_loss,params_AVGO_MAR_trade_freq,params_AVGO_MAR_z_entry,params_AVGO_MAR_z_exit,params_AVGO_MAR_z_stop_scaler,params_AVGO_MAR_z_win,params_CDW_KLAC_beta_win,params_CDW_KLAC_stop_loss,params_CDW_KLAC_trade_freq,params_CDW_KLAC_z_entry,params_CDW_KLAC_z_exit,params_CDW_KLAC_z_stop_scaler,params_CDW_KLAC_z_win,params_CDW_LRCX_beta_win,params_CDW_LRCX_stop_loss,params_CDW_LRCX_trade_freq,params_CDW_LRCX_z_entry,params_CDW_LRCX_z_exit,params_CDW_LRCX_z_stop_scaler,params_CDW_LRCX_z_win,params_CRWD_ISRG_beta_win,params_CRWD_ISRG_stop_loss,params_CRWD_ISRG_trade_freq,params_CRWD_ISRG_z_entry,params_CRWD_ISRG_z_exit,params_CRWD_ISRG_z_stop_scaler,params_CRWD_ISRG_z_win,params_CRWD_MAR_beta_win,params_CRWD_MAR_stop_loss,params_CRWD_MAR_trade_freq,params_CRWD_MAR_z_entry,params_CRWD_MAR_z_exit,params_CRWD_MAR_z_stop_scaler,params_CRWD_MAR_z_win,params_CSX_ROST_beta_win,params_CSX_ROST_stop_loss,params_CSX_ROST_trade_freq,params_CSX_ROST_z_entry,params_CSX_ROST_z_exit,params_CSX_ROST_z_stop_scaler,params_CSX_ROST_z_win,params_DASH_PCAR_beta_win,params_DASH_PCAR_stop_loss,params_DASH_PCAR_trade_freq,params_DASH_PCAR_z_entry,params_DASH_PCAR_z_exit,params_DASH_PCAR_z_stop_scaler,params_DASH_PCAR_z_win,params_DXCM_PYPL_beta_win,params_DXCM_PYPL_stop_loss,params_DXCM_PYPL_trade_freq,params_DXCM_PYPL_z_entry,params_DXCM_PYPL_z_exit,params_DXCM_PYPL_z_stop_scaler,params_DXCM_PYPL_z_win,params_EA_ON_beta_win,params_EA_ON_stop_loss,params_EA_ON_trade_freq,params_EA_ON_z_entry,params_EA_ON_z_exit,params_EA_ON_z_stop_scaler,params_EA_ON_z_win,params_GEHC_ODFL_beta_win,params_GEHC_ODFL_stop_loss,params_GEHC_ODFL_trade_freq,params_GEHC_ODFL_z_entry,params_GEHC_ODFL_z_exit,params_GEHC_ODFL_z_stop_scaler,params_GEHC_ODFL_z_win,params_HON_ON_beta_win,params_HON_ON_stop_loss,params_HON_ON_trade_freq,params_HON_ON_z_entry,params_HON_ON_z_exit,params_HON_ON_z_stop_scaler,params_HON_ON_z_win,params_IDXX_ON_beta_win,params_IDXX_ON_stop_loss,params_IDXX_ON_trade_freq,params_IDXX_ON_z_entry,params_IDXX_ON_z_exit,params_IDXX_ON_z_stop_scaler,params_IDXX_ON_z_win,params_INTC_ON_beta_win,params_INTC_ON_stop_loss,params_INTC_ON_trade_freq,params_INTC_ON_z_entry,params_INTC_ON_z_exit,params_INTC_ON_z_stop_scaler,params_INTC_ON_z_win,params_ISRG_MAR_beta_win,params_ISRG_MAR_stop_loss,params_ISRG_MAR_trade_freq,params_ISRG_MAR_z_entry,params_ISRG_MAR_z_exit,params_ISRG_MAR_z_stop_scaler,params_ISRG_MAR_z_win,params_NVDA_WBD_beta_win,params_NVDA_WBD_stop_loss,params_NVDA_WBD_trade_freq,params_NVDA_WBD_z_entry,params_NVDA_WBD_z_exit,params_NVDA_WBD_z_stop_scaler,params_NVDA_WBD_z_win,params_ON_WDAY_beta_win,params_ON_WDAY_stop_loss,params_ON_WDAY_trade_freq,params_ON_WDAY_z_entry,params_ON_WDAY_z_exit,params_ON_WDAY_z_stop_scaler,params_ON_WDAY_z_win,params_ORLY_WBD_beta_win,params_ORLY_WBD_stop_loss,params_ORLY_WBD_trade_freq,params_ORLY_WBD_z_entry,params_ORLY_WBD_z_exit,params_ORLY_WBD_z_stop_scaler,params_ORLY_WBD_z_win,params_SBUX_TMUS_beta_win,params_SBUX_TMUS_stop_loss,params_SBUX_TMUS_trade_freq,params_SBUX_TMUS_z_entry,params_SBUX_TMUS_z_exit,params_SBUX_TMUS_z_stop_scaler,params_SBUX_TMUS_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,0.23162804538668438,2025-06-21 19:38:01.425887,2025-06-21 19:38:03.359162,0 days 00:00:01.933275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2104.0,0.015,1m,2.6,0.8,1.0,504.0,6896.0,0.015,4m,2.6,1.0,2.0,528.0,,,,,,,,,,,,,,,,,,,,,,6528,0.015,4m,2.6,1.0,1.0,648,5448.0,0.015,3m,1.4,0.6000000000000001,1.0,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,4,COMPLETE
21,21,0.7461675447607057,2025-06-21 19:38:03.450154,2025-06-21 19:38:07.767545,0 days 00:00:04.317391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5768.0,0.015,2m,2.0,0.6000000000000001,1.0,768.0,6568.0,0.01,4m,1.8,0.0,1.5,392.0,1072.0,0.01,3m,1.8,0.2,1.5,608.0,1056.0,0.01,1m,1.4,0.6000000000000001,2.0,776.0,,,,,,,,4840.0,0.01,4m,1.8,0.6000000000000001,1.0,240.0,2856,0.015,5m,2.6,0.4,0.5,496,3256.0,0.02,5m,1.0,0.0,1.5,1016.0,6592.0,0.02,1m,2.8,0.8,0.5,392.0,,,,,,,,,,,,,,,5608.0,0.02,5m,2.6,0.8,1.0,880.0,,,,,,,,0.05,9,COMPLETE
22,22,-0.2880105391111258,2025-06-21 19:38:07.860062,2025-06-21 19:38:12.176389,0 days 00:00:04.316327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5952.0,0.015,2m,2.0,0.8,1.0,680.0,6696.0,0.01,4m,1.8,0.0,1.5,368.0,1760.0,0.01,3m,1.8,0.0,1.5,632.0,2008.0,0.01,1m,1.2,0.6000000000000001,2.0,824.0,,,,,,,,5200.0,0.01,4m,1.6,0.6000000000000001,1.0,200.0,2280,0.015,5m,3.0,0.6000000000000001,0.5,392,3576.0,0.02,5m,1.0,0.0,2.0,976.0,6752.0,0.02,1m,2.8,0.8,0.5,424.0,,,,,,,,,,,,,,,5728.0,0.02,5m,2.6,0.8,1.0,912.0,,,,,,,,0.1,9,COMPLETE
23,23,-0.5034198361847637,2025-06-21 19:38:12.255901,2025-06-21 19:38:17.767339,0 days 00:00:05.511438,,,,,,,,,,,,,,,,,,,,,,1256.0,0.01,3m,2.4000000000000004,0.2,1.5,880.0,6328.0,0.015,2m,1.4,0.6000000000000001,2.0,568.0,,,,,,,,,,,,,,,7264.0,0.015,2m,2.2,1.0,1.0,864.0,5128.0,0.01,4m,2.0,0.0,2.0,192.0,1944.0,0.015,3m,1.6,0.2,1.5,416.0,1936.0,0.01,1m,1.2,0.4,1.5,776.0,,,,,,,,4920.0,0.01,4m,2.0,0.4,1.0,464.0,3520,0.015,1m,2.4000000000000004,0.4,1.0,320,2536.0,0.02,5m,1.2,0.4,1.5,856.0,5568.0,0.02,1m,3.0,0.8,1.0,576.0,,,,,,,,,,,,,,,3408.0,0.02,5m,2.4000000000000004,0.8,1.0,752.0,2872.0,0.02,1m,1.6,0.6000000000000001,0.5,288.0,0.1,12,COMPLETE
24,24,-0.0015365756055475577,2025-06-21 19:38:17.860861,2025-06-21 19:38:19.833479,0 days 00:00:01.972618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6248.0,0.01,4m,2.0,0.2,1.5,464.0,3288.0,0.01,1m,2.2,0.4,1.0,256.0,,,,,,,,,,,,,,,,,,,,,,1904,0.015,3m,2.6,0.0,0.5,928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
25,25,-0.12700644017678414,2025-06-21 19:38:19.901486,2025-06-21 19:38:28.806326,0 days 00:00:08.904840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6184.0,0.015,2m,1.8,0.4,1.5,504.0,3816.0,0.015,5m,2.4000000000000004,0.0,1.5,592.0,1096.0,0.015,5m,2.0,0.0,1.5,568.0,1768.0,0.01,5m,1.8,0.8,2.0,656.0,,,,,,,,3792.0,0.01,4m,1.4,0.8,1.5,216.0,3072,0.01,5m,2.2,0.2,1.0,576,1040.0,0.02,5m,1.4,0.6000000000000001,1.0,704.0,7360.0,0.02,2m,2.6,0.6000000000000001,0.5,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,8,COMPLETE
26,26,-4.455511768078188,2025-06-21 19:38:28.957994,2025-06-21 19:38:36.223640,0 days 00:00:07.265646,,,,,,,,,,,,,,,,,,,,,,6952.0,0.02,3m,1.2,0.8,1.0,184.0,,,,,,,,,,,,,,,,,,,,,,7128.0,0.015,3m,1.4,0.6000000000000001,0.5,384.0,7280.0,0.02,3m,1.6,0.2,1.0,296.0,5656.0,0.02,3m,1.8,0.2,2.0,752.0,2760.0,0.015,1m,1.2,0.6000000000000001,1.5,872.0,,,,,,,,6776.0,0.01,4m,2.6,0.2,1.5,208.0,3968,0.02,2m,2.8,0.6000000000000001,0.5,256,4016.0,0.015,1m,1.0,0.2,2.0,1024.0,6008.0,0.015,1m,2.2,1.0,1.5,192.0,,,,,,,,,,,,,,,5408.0,0.015,5m,2.8,1.0,1.5,912.0,5384.0,0.015,2m,1.0,0.2,1.5,1016.0,0.4,11,COMPLETE
27,27,-0.7976651202649868,2025-06-21 19:38:36.298643,2025-06-21 19:38:42.757335,0 days 00:00:06.458692,,,,,,,,,,,,,,,,,,,,,,2248.0,0.015,5m,1.8,0.6000000000000001,0.5,640.0,3344.0,0.01,3m,2.8,0.2,1.0,888.0,6736.0,0.015,4m,2.6,0.2,1.5,344.0,,,,,,,,5040.0,0.02,5m,2.6,0.8,1.0,672.0,4096.0,0.015,2m,2.4000000000000004,1.0,2.0,1024.0,2136.0,0.01,2m,1.4,0.4,1.0,128.0,4248.0,0.01,4m,1.4,0.4,1.0,1024.0,,,,,,,,5584.0,0.015,5m,2.2,0.6000000000000001,0.5,664.0,5288,0.015,2m,1.8,0.8,1.0,488,6640.0,0.015,2m,2.2,0.0,1.5,872.0,7176.0,0.02,1m,2.8,0.2,2.0,368.0,1392.0,0.02,2m,1.4,0.8,1.0,840.0,,,,,,,,8152.0,0.02,5m,2.2,0.6000000000000001,0.5,672.0,7488.0,0.01,4m,2.6,1.0,1.0,200.0,0.1,14,COMPLETE
28,28,-3.7702982882082936,2025-06-21 19:38:42.805164,2025-06-21 19:38:50.616966,0 days 00:00:07.811802,,,,,,,,1688.0,0.02,2m,3.0,0.0,2.0,896.0,8040.0,0.02,1m,1.0,0.6000000000000001,1.5,480.0,5600.0,0.02,4m,2.2,0.2,1.0,288.0,7816.0,0.02,4m,2.0,1.0,1.5,1024.0,4048.0,0.02,1m,1.8,0.6000000000000001,0.5,88.0,,,,,,,,5160.0,0.015,2m,2.2,0.2,1.5,872.0,2984.0,0.01,4m,1.6,0.4,1.5,168.0,4568.0,0.02,3m,1.6,0.6000000000000001,1.5,376.0,2968.0,0.01,3m,1.0,0.8,2.0,504.0,5120.0,0.01,2m,2.6,0.2,0.5,248.0,2424.0,0.02,4m,2.8,0.8,1.0,440.0,4352,0.015,3m,2.8,0.4,1.5,72,5144.0,0.02,4m,1.4,0.4,1.0,928.0,4944.0,0.015,2m,3.0,0.8,1.0,632.0,6080.0,0.01,1m,2.6,0.2,2.0,264.0,3048.0,0.015,2m,3.0,0.6000000000000001,1.5,712.0,3864.0,0.015,5m,1.8,0.8,1.0,504.0,3800.0,0.02,4m,2.0,0.0,1.5,640.0,0.25,18,COMPLETE
29,29,-0.8159461968219835,2025-06-21 19:38:50.709609,2025-06-21 19:38:53.475903,0 days 00:00:02.766294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4416.0,0.01,4m,1.8,0.0,1.0,720.0,5216.0,0.015,4m,2.0,0.0,1.0,368.0,2832.0,0.01,2m,2.2,0.8,0.5,240.0,1416.0,0.02,2m,1.8,0.6000000000000001,1.5,768.0,,,,,,,,,,,,,,,2912,0.015,5m,2.4000000000000004,0.6000000000000001,0.5,496,7600.0,0.02,5m,1.8,0.8,1.5,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,6,COMPLETE
30,30,0.1779200377719187,2025-06-21 19:38:53.558933,2025-06-21 19:38:57.493499,0 days 00:00:03.934566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7536.0,0.02,1m,2.8,0.4,0.5,560.0,7232.0,0.02,2m,2.2,0.6000000000000001,1.5,864.0,1552.0,0.015,5m,1.8,0.0,1.5,544.0,7600.0,0.015,5m,1.4,0.2,1.0,872.0,,,,,,,,3800.0,0.01,3m,1.8,0.2,2.0,512.0,1912,0.015,5m,2.2,0.4,0.5,808,2800.0,0.015,5m,1.6,0.6000000000000001,2.0,648.0,3320.0,0.02,1m,2.0,0.4,0.5,872.0,,,,,,,,,,,,,,,6296.0,0.01,2m,2.8,0.6000000000000001,1.5,896.0,,,,,,,,0.05,9,COMPLETE
31,31,0.7778624036358508,2025-06-21 19:38:57.581651,2025-06-21 19:39:00.408582,0 days 00:00:02.826931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5600.0,0.015,2m,2.0,0.6000000000000001,1.0,792.0,6192.0,0.01,4m,1.6,0.0,1.5,392.0,1448.0,0.01,3m,2.0,0.2,1.5,648.0,1040.0,0.01,1m,1.6,0.6000000000000001,2.0,664.0,,,,,,,,,,,,,,,3384,0.015,5m,2.6,0.4,2.0,736,3032.0,0.02,5m,1.2,0.0,1.5,936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,6,COMPLETE
32,32,-1.3877077423381927,2025-06-21 19:39:00.478954,2025-06-21 19:39:03.946246,0 days 00:00:03.467292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6704.0,0.015,2m,1.6,0.6000000000000001,1.0,808.0,6184.0,0.01,4m,1.8,0.0,1.5,392.0,1136.0,0.01,3m,2.0,0.2,1.5,696.0,1056.0,0.01,1m,1.8,0.6000000000000001,2.0,632.0,,,,,,,,5216.0,0.015,1m,1.2,1.0,1.5,264.0,3680,0.015,5m,2.6,0.2,2.0,736,3928.0,0.02,5m,1.2,0.0,1.5,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,7,COMPLETE
33,33,-1.063822864950627,2025-06-21 19:39:04.045762,2025-06-21 19:39:06.616208,0 days 00:00:02.570446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5904.0,0.015,2m,2.4000000000000004,0.6000000000000001,1.0,920.0,6960.0,0.01,4m,1.4,0.0,1.5,440.0,1792.0,0.01,3m,2.0,0.2,1.5,624.0,,,,,,,,,,,,,,,,,,,,,,3136,0.015,5m,2.8,0.6000000000000001,2.0,664,2936.0,0.02,5m,1.0,0.0,1.5,912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,5,COMPLETE
34,34,-1.9390953912339544,2025-06-21 19:39:06.673724,2025-06-21 19:39:10.053696,0 days 00:00:03.379972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5672.0,0.015,2m,2.0,0.8,1.0,792.0,5736.0,0.01,4m,1.6,0.2,1.5,248.0,1480.0,0.01,3m,1.8,0.4,1.5,608.0,2416.0,0.01,1m,1.2,0.8,2.0,728.0,,,,,,,,6872.0,0.02,2m,2.2,0.6000000000000001,1.0,376.0,5672,0.015,1m,2.6,0.4,2.0,944,2232.0,0.02,5m,1.4,0.2,1.0,1016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,7,COMPLETE
35,35,0.0010899514822489248,2025-06-21 19:39:10.127102,2025-06-21 19:39:12.509959,0 days 00:00:02.382857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5384.0,0.015,2m,2.2,0.4,1.5,728.0,6328.0,0.01,4m,1.4,0.0,2.0,320.0,7272.0,0.01,3m,2.4000000000000004,0.2,1.0,824.0,,,,,,,,,,,,,,,,,,,,,,4504,0.015,5m,2.0,0.6000000000000001,1.5,752,3952.0,0.02,4m,1.2,0.0,0.5,912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,5,COMPLETE
36,36,0.9023312191995136,2025-06-21 19:39:12.592469,2025-06-21 19:39:17.064265,0 days 00:00:04.471796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6256.0,0.01,2m,1.8,0.6000000000000001,1.5,552.0,7704.0,0.01,5m,1.2,0.2,1.5,528.0,2240.0,0.015,2m,2.2,0.0,2.0,696.0,1688.0,0.01,1m,1.4,0.4,2.0,88.0,,,,,,,,4576.0,0.015,5m,1.8,0.4,1.5,160.0,4784,0.01,4m,2.0,0.4,2.0,872,3144.0,0.02,5m,2.8,0.2,1.5,808.0,5992.0,0.02,4m,1.2,0.6000000000000001,2.0,536.0,,,,,,,,,,,,,,,2456.0,0.02,3m,2.6,1.0,0.5,960.0,,,,,,,,0.15000000000000002,9,COMPLETE
37,37,0.48117445042903423,2025-06-21 19:39:17.135264,2025-06-21 19:39:21.439773,0 days 00:00:04.304509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6336.0,0.01,2m,1.8,0.6000000000000001,2.0,992.0,7984.0,0.01,5m,1.2,0.2,1.5,88.0,2408.0,0.015,5m,2.6,0.0,2.0,848.0,1648.0,0.01,1m,1.6,0.4,2.0,64.0,,,,,,,,1960.0,0.02,4m,1.8,0.4,2.0,128.0,6720,0.01,4m,1.4,0.2,2.0,864,1856.0,0.02,5m,2.8,0.0,1.5,784.0,6120.0,0.02,4m,1.2,0.6000000000000001,1.5,160.0,,,,,,,,,,,,,,,2712.0,0.02,3m,2.6,1.0,0.5,1008.0,,,,,,,,0.15000000000000002,9,COMPLETE
38,38,0.40293336823298426,2025-06-21 19:39:21.523072,2025-06-21 19:39:27.087751,0 days 00:00:05.564679,,,,,,,,,,,,,,,,,,,,,,4464.0,0.01,2m,1.4,0.4,1.5,440.0,,,,,,,,,,,,,,,,,,,,,,3960.0,0.01,2m,1.6,1.0,2.0,416.0,7520.0,0.01,5m,1.2,0.0,1.0,488.0,3152.0,0.01,2m,2.2,0.0,2.0,728.0,1112.0,0.01,1m,1.6,0.6000000000000001,2.0,456.0,,,,,,,,3024.0,0.015,4m,1.6,0.2,1.0,144.0,6080,0.01,4m,1.6,0.4,2.0,984,3320.0,0.02,5m,1.0,0.2,2.0,960.0,1104.0,0.01,4m,1.4,0.8,1.0,336.0,,,,,,,,,,,,,,,2704.0,0.02,3m,2.2,1.0,0.5,888.0,5232.0,0.015,5m,3.0,0.8,2.0,448.0,0.2,11,COMPLETE
39,39,-0.18393255735705624,2025-06-21 19:39:27.170950,2025-06-21 19:39:28.673112,0 days 00:00:01.502162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6800.0,0.01,5m,1.2,0.2,2.0,552.0,2448.0,0.015,1m,2.6,0.6000000000000001,2.0,672.0,,,,,,,,,,,,,,,,,,,,,,4784,0.01,4m,1.2,0.4,2.0,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
40,40,-0.8366880101239911,2025-06-21 19:39:28.741775,2025-06-21 19:39:31.859386,0 days 00:00:03.117611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4720.0,0.01,2m,1.2,0.8,1.5,904.0,5936.0,0.01,5m,1.4,0.0,1.5,432.0,2088.0,0.01,4m,2.2,0.0,2.0,776.0,1600.0,0.01,1m,2.2,0.4,2.0,64.0,,,,,,,,,,,,,,,2168,0.01,4m,2.0,0.2,2.0,912,1320.0,0.02,5m,1.2,0.2,1.5,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,6,COMPLETE
41,41,-1.419598609956991,2025-06-21 19:39:31.938314,2025-06-21 19:39:36.231540,0 days 00:00:04.293226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6312.0,0.01,2m,1.8,0.6000000000000001,2.0,1016.0,7712.0,0.01,5m,1.2,0.2,1.5,88.0,8120.0,0.015,5m,3.0,0.0,2.0,856.0,1568.0,0.01,1m,1.4,0.4,2.0,64.0,,,,,,,,1808.0,0.02,4m,1.8,0.4,2.0,144.0,6616,0.01,4m,1.4,0.2,2.0,880,1816.0,0.02,5m,2.8,0.0,1.5,784.0,6168.0,0.02,4m,1.2,0.6000000000000001,1.5,160.0,,,,,,,,,,,,,,,2864.0,0.02,3m,2.6,1.0,0.5,1016.0,,,,,,,,0.15000000000000002,9,COMPLETE
42,42,1.6996191250651742,2025-06-21 19:39:36.308647,2025-06-21 19:39:40.895981,0 days 00:00:04.587334,,,,,,,,,,,,,,,,,,,,,,8072.0,0.015,1m,2.6,0.8,2.0,152.0,,,,,,,,,,,,,,,,,,,,,,6104.0,0.01,2m,2.0,0.6000000000000001,2.0,800.0,7888.0,0.01,5m,1.0,0.2,1.5,128.0,2512.0,0.015,5m,2.6,0.2,2.0,896.0,2256.0,0.01,1m,1.8,0.4,2.0,168.0,,,,,,,,1888.0,0.02,4m,1.8,0.4,2.0,96.0,7040,0.01,4m,1.2,0.2,2.0,856,2264.0,0.02,5m,2.8,0.0,1.5,896.0,4744.0,0.02,4m,1.2,0.6000000000000001,2.0,160.0,,,,,,,,,,,,,,,2344.0,0.02,3m,2.8,1.0,0.5,968.0,,,,,,,,0.15000000000000002,10,COMPLETE
43,43,-0.44012308742931383,2025-06-21 19:39:40.981050,2025-06-21 19:39:45.784423,0 days 00:00:04.803373,,,,,,,,,,,,,,,,,,,,,,8112.0,0.015,1m,2.8,0.8,2.0,160.0,,,,,,,,,,,,,,,,,,,,,,5392.0,0.01,2m,2.0,0.6000000000000001,2.0,808.0,7184.0,0.01,5m,1.0,0.0,1.5,144.0,1512.0,0.015,5m,2.4000000000000004,0.2,2.0,592.0,2448.0,0.01,1m,1.8,0.6000000000000001,2.0,152.0,,,,,,,,1216.0,0.02,5m,2.0,0.4,2.0,64.0,7192,0.01,4m,1.0,0.4,2.0,576,2392.0,0.02,5m,2.6,0.0,1.5,896.0,4520.0,0.02,4m,1.2,0.6000000000000001,2.0,288.0,,,,,,,,,,,,,,,2080.0,0.02,3m,2.8,0.8,1.0,944.0,,,,,,,,0.2,10,COMPLETE
44,44,1.3609394969454713,2025-06-21 19:39:45.856432,2025-06-21 19:39:51.467728,0 days 00:00:05.611296,,,,,,,,,,,,,,,,,,,,,,7104.0,0.015,1m,2.6,1.0,2.0,360.0,5456.0,0.015,4m,1.0,0.0,1.0,104.0,,,,,,,,,,,,,,,6920.0,0.01,2m,2.0,0.6000000000000001,1.5,672.0,8152.0,0.01,5m,1.0,0.2,1.5,248.0,2640.0,0.015,5m,2.8,0.2,2.0,1016.0,1040.0,0.015,1m,2.8,0.2,2.0,320.0,,,,,,,,2480.0,0.02,4m,2.0,0.2,2.0,272.0,8072,0.01,4m,1.2,0.0,2.0,776,2896.0,0.02,5m,2.8,0.2,2.0,1024.0,4984.0,0.02,4m,1.6,0.8,2.0,72.0,,,,,,,,,,,,,,,1048.0,0.02,3m,2.8,1.0,0.5,832.0,1120.0,0.02,2m,2.2,0.4,0.5,368.0,0.1,12,COMPLETE
45,45,-2.018712964651335,2025-06-21 19:39:51.533952,2025-06-21 19:39:57.350139,0 days 00:00:05.816187,,,,,,,,,,,,,,,,,,,,,,7184.0,0.015,1m,2.6,1.0,2.0,360.0,1344.0,0.015,5m,1.0,0.0,0.5,88.0,,,,,,,,,,,,,,,6880.0,0.01,2m,2.0,0.6000000000000001,2.0,576.0,8128.0,0.01,5m,1.0,0.4,1.5,128.0,2912.0,0.015,5m,2.8,0.2,2.0,984.0,2136.0,0.015,1m,1.4,0.2,2.0,312.0,,,,,,,,2472.0,0.015,5m,2.0,0.2,2.0,288.0,8104,0.01,4m,1.2,0.0,2.0,696,3040.0,0.02,5m,2.8,0.2,1.5,952.0,5096.0,0.015,4m,1.6,1.0,2.0,80.0,,,,,,,,,,,,,,,1048.0,0.02,3m,3.0,1.0,0.5,832.0,1800.0,0.01,2m,1.6,0.8,0.5,640.0,0.1,12,COMPLETE
46,46,-1.5474395062608726,2025-06-21 19:39:57.430136,2025-06-21 19:40:02.752277,0 days 00:00:05.322141,,,,,,,,,,,,,,,,,,,,,,7728.0,0.01,1m,2.8,1.0,2.0,400.0,,,,,,,,,,,,,,,,,,,,,,5960.0,0.01,2m,2.2,0.6000000000000001,1.5,648.0,7744.0,0.01,5m,1.0,0.2,1.5,224.0,2552.0,0.015,5m,2.8,0.4,2.0,1024.0,1024.0,0.02,1m,1.8,0.0,2.0,144.0,,,,,,,,3640.0,0.02,4m,1.6,0.0,2.0,184.0,7728,0.01,4m,1.6,0.0,2.0,792,2672.0,0.02,2m,2.6,0.2,2.0,1024.0,5648.0,0.02,4m,1.6,0.4,2.0,168.0,,,,,,,,,,,,,,,1520.0,0.02,3m,2.8,1.0,0.5,720.0,1048.0,0.015,2m,2.2,0.4,0.5,392.0,0.05,11,COMPLETE
47,47,0.21791222503101246,2025-06-21 19:40:02.835770,2025-06-21 19:40:07.674143,0 days 00:00:04.838373,,,,,,,,,,,,,,,,,,,,,,6960.0,0.015,1m,2.6,0.8,2.0,240.0,,,,,,,,,,,,,,,,,,,,,,4696.0,0.01,2m,2.0,0.8,1.5,712.0,7040.0,0.01,5m,1.2,0.2,2.0,248.0,3456.0,0.015,2m,3.0,0.2,2.0,896.0,1552.0,0.015,1m,2.0,0.2,2.0,272.0,,,,,,,,2744.0,0.015,3m,2.2,0.6000000000000001,2.0,368.0,7664,0.01,4m,2.0,0.2,2.0,640,3616.0,0.02,5m,3.0,0.0,1.5,808.0,3616.0,0.02,4m,1.8,0.6000000000000001,1.5,416.0,,,,,,,,,,,,,,,2072.0,0.02,3m,2.8,1.0,0.5,832.0,,,,,,,,0.05,10,COMPLETE
