,number,value,datetime_start,datetime_complete,duration,params_AAPL_DASH_beta_win,params_AAPL_DASH_stop_loss,params_AAPL_DASH_trade_freq,params_AAPL_DASH_z_entry,params_AAPL_DASH_z_exit,params_AAPL_DASH_z_stop_scaler,params_AAPL_DASH_z_win,params_ADBE_FANG_beta_win,params_ADBE_FANG_stop_loss,params_ADBE_FANG_trade_freq,params_ADBE_FANG_z_entry,params_ADBE_FANG_z_exit,params_ADBE_FANG_z_stop_scaler,params_ADBE_FANG_z_win,params_AVGO_MAR_beta_win,params_AVGO_MAR_stop_loss,params_AVGO_MAR_trade_freq,params_AVGO_MAR_z_entry,params_AVGO_MAR_z_exit,params_AVGO_MAR_z_stop_scaler,params_AVGO_MAR_z_win,params_CDW_KLAC_beta_win,params_CDW_KLAC_stop_loss,params_CDW_KLAC_trade_freq,params_CDW_KLAC_z_entry,params_CDW_KLAC_z_exit,params_CDW_KLAC_z_stop_scaler,params_CDW_KLAC_z_win,params_CDW_LRCX_beta_win,params_CDW_LRCX_stop_loss,params_CDW_LRCX_trade_freq,params_CDW_LRCX_z_entry,params_CDW_LRCX_z_exit,params_CDW_LRCX_z_stop_scaler,params_CDW_LRCX_z_win,params_CRWD_ISRG_beta_win,params_CRWD_ISRG_stop_loss,params_CRWD_ISRG_trade_freq,params_CRWD_ISRG_z_entry,params_CRWD_ISRG_z_exit,params_CRWD_ISRG_z_stop_scaler,params_CRWD_ISRG_z_win,params_CRWD_MAR_beta_win,params_CRWD_MAR_stop_loss,params_CRWD_MAR_trade_freq,params_CRWD_MAR_z_entry,params_CRWD_MAR_z_exit,params_CRWD_MAR_z_stop_scaler,params_CRWD_MAR_z_win,params_CSX_ROST_beta_win,params_CSX_ROST_stop_loss,params_CSX_ROST_trade_freq,params_CSX_ROST_z_entry,params_CSX_ROST_z_exit,params_CSX_ROST_z_stop_scaler,params_CSX_ROST_z_win,params_DASH_PCAR_beta_win,params_DASH_PCAR_stop_loss,params_DASH_PCAR_trade_freq,params_DASH_PCAR_z_entry,params_DASH_PCAR_z_exit,params_DASH_PCAR_z_stop_scaler,params_DASH_PCAR_z_win,params_DXCM_PYPL_beta_win,params_DXCM_PYPL_stop_loss,params_DXCM_PYPL_trade_freq,params_DXCM_PYPL_z_entry,params_DXCM_PYPL_z_exit,params_DXCM_PYPL_z_stop_scaler,params_DXCM_PYPL_z_win,params_EA_ON_beta_win,params_EA_ON_stop_loss,params_EA_ON_trade_freq,params_EA_ON_z_entry,params_EA_ON_z_exit,params_EA_ON_z_stop_scaler,params_EA_ON_z_win,params_GEHC_ODFL_beta_win,params_GEHC_ODFL_stop_loss,params_GEHC_ODFL_trade_freq,params_GEHC_ODFL_z_entry,params_GEHC_ODFL_z_exit,params_GEHC_ODFL_z_stop_scaler,params_GEHC_ODFL_z_win,params_HON_ON_beta_win,params_HON_ON_stop_loss,params_HON_ON_trade_freq,params_HON_ON_z_entry,params_HON_ON_z_exit,params_HON_ON_z_stop_scaler,params_HON_ON_z_win,params_IDXX_ON_beta_win,params_IDXX_ON_stop_loss,params_IDXX_ON_trade_freq,params_IDXX_ON_z_entry,params_IDXX_ON_z_exit,params_IDXX_ON_z_stop_scaler,params_IDXX_ON_z_win,params_INTC_ON_beta_win,params_INTC_ON_stop_loss,params_INTC_ON_trade_freq,params_INTC_ON_z_entry,params_INTC_ON_z_exit,params_INTC_ON_z_stop_scaler,params_INTC_ON_z_win,params_ISRG_MAR_beta_win,params_ISRG_MAR_stop_loss,params_ISRG_MAR_trade_freq,params_ISRG_MAR_z_entry,params_ISRG_MAR_z_exit,params_ISRG_MAR_z_stop_scaler,params_ISRG_MAR_z_win,params_NVDA_WBD_beta_win,params_NVDA_WBD_stop_loss,params_NVDA_WBD_trade_freq,params_NVDA_WBD_z_entry,params_NVDA_WBD_z_exit,params_NVDA_WBD_z_stop_scaler,params_NVDA_WBD_z_win,params_ON_WDAY_beta_win,params_ON_WDAY_stop_loss,params_ON_WDAY_trade_freq,params_ON_WDAY_z_entry,params_ON_WDAY_z_exit,params_ON_WDAY_z_stop_scaler,params_ON_WDAY_z_win,params_ORLY_WBD_beta_win,params_ORLY_WBD_stop_loss,params_ORLY_WBD_trade_freq,params_ORLY_WBD_z_entry,params_ORLY_WBD_z_exit,params_ORLY_WBD_z_stop_scaler,params_ORLY_WBD_z_win,params_SBUX_TMUS_beta_win,params_SBUX_TMUS_stop_loss,params_SBUX_TMUS_trade_freq,params_SBUX_TMUS_z_entry,params_SBUX_TMUS_z_exit,params_SBUX_TMUS_z_stop_scaler,params_SBUX_TMUS_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-3.1674040728966424,2025-06-21 19:36:43.274433,2025-06-21 19:36:52.080808,0 days 00:00:08.806375,2520.0,0.02,2m,1.4,1.0,2.0,904.0,2096.0,0.015,3m,1.6,0.4,0.5,496.0,1200.0,0.02,2m,1.2,0.0,2.0,64.0,1416.0,0.02,3m,2.0,1.0,0.5,64.0,2616.0,0.015,2m,2.6,0.0,2.0,720.0,7840.0,0.02,2m,3.0,0.0,2.0,80.0,2128.0,0.01,3m,2.8,0.4,1.0,344.0,7968.0,0.015,5m,1.4,0.2,1.5,64.0,8088.0,0.01,4m,2.2,0.2,2.0,304.0,5392.0,0.015,4m,1.0,1.0,1.5,448.0,1232.0,0.01,3m,2.4000000000000004,1.0,1.0,216.0,6912.0,0.02,2m,3.0,0.6000000000000001,2.0,120.0,1448.0,0.02,4m,2.2,1.0,1.0,600.0,4968,0.02,2m,3.0,1.0,1.0,1024,5704.0,0.01,3m,1.8,1.0,1.5,1000.0,5552.0,0.01,1m,1.0,0.2,2.0,704.0,5800.0,0.01,2m,2.2,0.0,0.5,152.0,1256.0,0.02,1m,1.2,1.0,2.0,744.0,6848.0,0.01,2m,1.2,1.0,0.5,1000.0,6488.0,0.02,1m,2.8,0.6000000000000001,0.5,72.0,0.15000000000000002,20,COMPLETE
11,11,-3.5122950217192086,2025-06-21 19:36:52.197438,2025-06-21 19:36:59.784477,0 days 00:00:07.587039,,,,,,,,,,,,,,,,,,,,,,7488.0,0.02,3m,1.8,0.2,1.0,1024.0,4800.0,0.02,4m,1.8,0.0,1.5,136.0,8136.0,0.02,2m,3.0,0.0,2.0,928.0,,,,,,,,7744.0,0.02,4m,2.6,0.4,0.5,600.0,1144.0,0.02,2m,2.2,1.0,2.0,784.0,4688.0,0.02,2m,1.6,1.0,0.5,64.0,7888.0,0.01,4m,2.0,1.0,0.5,960.0,4280.0,0.02,2m,3.0,0.0,0.5,320.0,4536.0,0.01,1m,1.4,0.6000000000000001,2.0,80.0,3472,0.01,3m,1.0,0.6000000000000001,1.0,968,6248.0,0.01,5m,2.0,0.8,1.0,360.0,7744.0,0.02,3m,2.8,0.0,2.0,456.0,2464.0,0.01,2m,1.2,0.4,1.0,96.0,,,,,,,,4976.0,0.01,4m,1.6,0.4,2.0,1016.0,4016.0,0.02,4m,1.2,0.0,1.0,864.0,0.35000000000000003,15,COMPLETE
12,12,-2.3967509008155066,2025-06-21 19:36:59.964747,2025-06-21 19:37:12.023301,0 days 00:00:12.058554,,,,,,,,,,,,,,,,,,,,,,4512.0,0.015,2m,3.0,1.0,1.0,72.0,8184.0,0.01,3m,2.4000000000000004,1.0,1.0,448.0,5048.0,0.015,1m,2.2,1.0,1.5,336.0,,,,,,,,6520.0,0.02,1m,2.4000000000000004,0.6000000000000001,1.0,744.0,3992.0,0.015,2m,2.6,0.8,1.5,584.0,3712.0,0.02,4m,2.8,0.0,1.5,376.0,5168.0,0.015,5m,3.0,0.8,1.0,704.0,,,,,,,,4168.0,0.015,4m,1.8,0.8,1.0,584.0,5408,0.02,3m,2.4000000000000004,0.8,1.0,824,5064.0,0.02,2m,1.0,0.6000000000000001,0.5,344.0,5248.0,0.015,5m,2.4000000000000004,0.6000000000000001,2.0,504.0,,,,,,,,,,,,,,,4408.0,0.02,3m,2.0,0.4,0.5,648.0,4552.0,0.01,2m,1.8,0.4,2.0,512.0,0.35000000000000003,13,COMPLETE
13,13,-3.1404198451158183,2025-06-21 19:37:12.120003,2025-06-21 19:37:21.463257,0 days 00:00:09.343254,7640.0,0.01,1m,3.0,0.0,0.5,144.0,4896.0,0.015,3m,1.6,0.8,0.5,336.0,1864.0,0.02,2m,1.6,1.0,2.0,104.0,4920.0,0.015,3m,1.0,0.4,0.5,320.0,1232.0,0.02,1m,1.0,0.4,2.0,992.0,5368.0,0.02,4m,2.2,0.4,1.0,568.0,8160.0,0.02,2m,1.0,1.0,2.0,1008.0,6840.0,0.02,5m,1.6,0.2,1.5,480.0,2192.0,0.02,3m,1.8,0.4,1.0,936.0,6248.0,0.02,1m,1.8,0.8,0.5,208.0,2832.0,0.01,2m,2.2,0.4,1.0,376.0,1568.0,0.01,1m,2.2,1.0,1.0,960.0,5928.0,0.01,5m,1.0,0.4,1.5,368.0,3936,0.015,3m,2.8,0.6000000000000001,1.5,848,7056.0,0.01,3m,1.6,0.8,1.0,744.0,8072.0,0.02,4m,2.0,0.2,1.5,256.0,7736.0,0.015,4m,2.8,0.6000000000000001,2.0,1008.0,7656.0,0.01,1m,1.8,0.8,0.5,360.0,4456.0,0.01,5m,2.0,0.6000000000000001,1.5,792.0,8096.0,0.02,3m,3.0,0.4,0.5,80.0,0.2,20,COMPLETE
14,14,-1.359594831847176,2025-06-21 19:37:21.582841,2025-06-21 19:37:27.609078,0 days 00:00:06.026237,,,,,,,,,,,,,,,,,,,,,,7984.0,0.02,5m,2.4000000000000004,0.8,1.5,800.0,4520.0,0.01,5m,3.0,0.4,1.0,568.0,2488.0,0.015,5m,1.0,0.4,1.5,296.0,,,,,,,,6440.0,0.015,3m,2.4000000000000004,0.0,1.0,752.0,4608.0,0.015,1m,2.4000000000000004,0.8,1.0,440.0,1216.0,0.015,2m,1.4,0.0,1.5,480.0,5912.0,0.01,4m,1.6,0.8,1.5,728.0,,,,,,,,3184.0,0.015,4m,3.0,0.4,1.5,736.0,7272,0.01,2m,1.8,0.0,1.0,720,4496.0,0.015,1m,2.4000000000000004,0.6000000000000001,1.0,432.0,4184.0,0.015,1m,1.0,1.0,0.5,616.0,,,,,,,,,,,,,,,7520.0,0.02,4m,3.0,0.0,2.0,80.0,2112.0,0.015,5m,2.0,1.0,1.5,480.0,0.35000000000000003,13,COMPLETE
15,15,-0.011509942995794461,2025-06-21 19:37:27.719597,2025-06-21 19:37:36.880950,0 days 00:00:09.161353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2576,0.02,1m,1.2,0.8,1.0,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
16,16,-2.3517449144329654,2025-06-21 19:37:36.957948,2025-06-21 19:37:44.332223,0 days 00:00:07.374275,,,,,,,,,,,,,,,3816.0,0.01,3m,2.2,0.2,0.5,432.0,2968.0,0.015,2m,1.6,0.4,1.0,216.0,4712.0,0.015,4m,1.8,0.2,1.5,776.0,6456.0,0.01,2m,2.6,0.2,2.0,880.0,,,,,,,,7272.0,0.015,4m,3.0,0.8,1.5,480.0,2624.0,0.02,2m,3.0,0.4,1.5,728.0,6592.0,0.02,5m,2.0,0.8,2.0,304.0,8192.0,0.015,3m,2.0,0.4,0.5,944.0,6864.0,0.02,5m,2.2,0.4,1.5,528.0,5992.0,0.015,2m,1.6,0.8,1.0,312.0,1136,0.015,3m,2.4000000000000004,0.4,1.5,680,7104.0,0.02,4m,2.4000000000000004,1.0,1.5,184.0,6448.0,0.02,1m,2.4000000000000004,0.4,2.0,360.0,4072.0,0.01,1m,2.0,0.4,0.5,440.0,1048.0,0.015,3m,2.0,0.6000000000000001,2.0,1008.0,3576.0,0.01,2m,1.0,1.0,1.0,488.0,5888.0,0.01,4m,1.4,0.2,1.0,872.0,0.45,17,COMPLETE
17,17,-0.07833326437732645,2025-06-21 19:37:44.434592,2025-06-21 19:37:48.226880,0 days 00:00:03.792288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5688.0,0.02,1m,1.0,0.4,0.5,848.0,4632.0,0.015,4m,2.0,0.8,2.0,296.0,3896.0,0.015,2m,2.0,0.8,0.5,80.0,2208.0,0.01,5m,1.4,0.6000000000000001,1.0,424.0,,,,,,,,1128.0,0.01,1m,2.4000000000000004,0.2,2.0,104.0,4232,0.01,2m,2.2,0.8,1.0,880,4576.0,0.015,5m,1.6,0.4,0.5,736.0,4248.0,0.01,3m,1.6,0.0,1.5,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,8,COMPLETE
18,18,-0.49444005015897585,2025-06-21 19:37:48.318277,2025-06-21 19:37:53.774428,0 days 00:00:05.456151,,,,,,,,,,,,,,,,,,,,,,5536.0,0.02,1m,2.4000000000000004,0.8,2.0,672.0,6744.0,0.02,1m,1.4,0.8,0.5,320.0,,,,,,,,,,,,,,,3904.0,0.015,4m,2.2,0.2,1.0,640.0,4736.0,0.02,4m,2.2,0.2,1.0,888.0,5152.0,0.02,5m,2.4000000000000004,0.4,1.0,176.0,5944.0,0.015,1m,2.4000000000000004,0.8,1.5,616.0,,,,,,,,3144.0,0.02,3m,2.6,0.8,0.5,760.0,5968,0.015,3m,1.4,0.6000000000000001,1.5,784,7136.0,0.02,5m,2.6,0.8,2.0,272.0,6680.0,0.02,4m,2.4000000000000004,0.8,2.0,752.0,,,,,,,,,,,,,,,6120.0,0.01,1m,2.4000000000000004,0.6000000000000001,0.5,840.0,3176.0,0.02,5m,2.4000000000000004,0.8,2.0,304.0,0.2,12,COMPLETE
19,19,-3.790053256285993,2025-06-21 19:37:53.856145,2025-06-21 19:38:01.321288,0 days 00:00:07.465143,,,,,,,,,,,,,,,,,,,,,,3872.0,0.015,4m,1.4,0.0,0.5,288.0,3296.0,0.01,5m,2.2,0.2,1.5,736.0,3328.0,0.02,3m,1.6,0.8,1.0,736.0,,,,,,,,8136.0,0.02,1m,1.6,0.6000000000000001,1.5,1024.0,7536.0,0.01,2m,1.8,0.4,1.5,656.0,3912.0,0.02,3m,1.4,0.2,1.5,328.0,3808.0,0.01,1m,3.0,1.0,0.5,400.0,4744.0,0.015,4m,1.0,0.4,1.0,552.0,7040.0,0.015,5m,1.0,1.0,1.5,448.0,7616,0.02,2m,1.8,0.4,0.5,1008,5896.0,0.01,4m,2.0,0.2,1.5,64.0,3608.0,0.015,5m,1.4,0.4,1.5,232.0,3824.0,0.015,3m,2.2,0.0,1.5,440.0,4504.0,0.02,5m,1.0,0.2,1.0,472.0,1200.0,0.015,3m,1.6,0.2,1.5,608.0,6216.0,0.015,3m,2.4000000000000004,0.2,1.0,672.0,0.3,16,COMPLETE
