,number,value,datetime_start,datetime_complete,duration,params_AAPL_COST_beta_win,params_AAPL_COST_stop_loss,params_AAPL_COST_trade_freq,params_AAPL_COST_z_entry,params_AAPL_COST_z_exit,params_AAPL_COST_z_stop_scaler,params_AAPL_COST_z_win,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_ALGN_ATVI_beta_win,params_ALGN_ATVI_stop_loss,params_ALGN_ATVI_trade_freq,params_ALGN_ATVI_z_entry,params_ALGN_ATVI_z_exit,params_ALGN_ATVI_z_stop_scaler,params_ALGN_ATVI_z_win,params_ATVI_DDOG_beta_win,params_ATVI_DDOG_stop_loss,params_ATVI_DDOG_trade_freq,params_ATVI_DDOG_z_entry,params_ATVI_DDOG_z_exit,params_ATVI_DDOG_z_stop_scaler,params_ATVI_DDOG_z_win,params_AZN_DLTR_beta_win,params_AZN_DLTR_stop_loss,params_AZN_DLTR_trade_freq,params_AZN_DLTR_z_entry,params_AZN_DLTR_z_exit,params_AZN_DLTR_z_stop_scaler,params_AZN_DLTR_z_win,params_BKNG_EA_beta_win,params_BKNG_EA_stop_loss,params_BKNG_EA_trade_freq,params_BKNG_EA_z_entry,params_BKNG_EA_z_exit,params_BKNG_EA_z_stop_scaler,params_BKNG_EA_z_win,params_CMCSA_INTC_beta_win,params_CMCSA_INTC_stop_loss,params_CMCSA_INTC_trade_freq,params_CMCSA_INTC_z_entry,params_CMCSA_INTC_z_exit,params_CMCSA_INTC_z_stop_scaler,params_CMCSA_INTC_z_win,params_CSX_PAYX_beta_win,params_CSX_PAYX_stop_loss,params_CSX_PAYX_trade_freq,params_CSX_PAYX_z_entry,params_CSX_PAYX_z_exit,params_CSX_PAYX_z_stop_scaler,params_CSX_PAYX_z_win,params_CTSH_DOCU_beta_win,params_CTSH_DOCU_stop_loss,params_CTSH_DOCU_trade_freq,params_CTSH_DOCU_z_entry,params_CTSH_DOCU_z_exit,params_CTSH_DOCU_z_stop_scaler,params_CTSH_DOCU_z_win,params_DLTR_KHC_beta_win,params_DLTR_KHC_stop_loss,params_DLTR_KHC_trade_freq,params_DLTR_KHC_z_entry,params_DLTR_KHC_z_exit,params_DLTR_KHC_z_stop_scaler,params_DLTR_KHC_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_EA_MU_beta_win,params_EA_MU_stop_loss,params_EA_MU_trade_freq,params_EA_MU_z_entry,params_EA_MU_z_exit,params_EA_MU_z_stop_scaler,params_EA_MU_z_win,params_FISV_INTU_beta_win,params_FISV_INTU_stop_loss,params_FISV_INTU_trade_freq,params_FISV_INTU_z_entry,params_FISV_INTU_z_exit,params_FISV_INTU_z_stop_scaler,params_FISV_INTU_z_win,params_FISV_WDAY_beta_win,params_FISV_WDAY_stop_loss,params_FISV_WDAY_trade_freq,params_FISV_WDAY_z_entry,params_FISV_WDAY_z_exit,params_FISV_WDAY_z_stop_scaler,params_FISV_WDAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_INTU_WDAY_beta_win,params_INTU_WDAY_stop_loss,params_INTU_WDAY_trade_freq,params_INTU_WDAY_z_entry,params_INTU_WDAY_z_exit,params_INTU_WDAY_z_stop_scaler,params_INTU_WDAY_z_win,params_NTES_VRTX_beta_win,params_NTES_VRTX_stop_loss,params_NTES_VRTX_trade_freq,params_NTES_VRTX_z_entry,params_NTES_VRTX_z_exit,params_NTES_VRTX_z_stop_scaler,params_NTES_VRTX_z_win,params_ORLY_VRTX_beta_win,params_ORLY_VRTX_stop_loss,params_ORLY_VRTX_trade_freq,params_ORLY_VRTX_z_entry,params_ORLY_VRTX_z_exit,params_ORLY_VRTX_z_stop_scaler,params_ORLY_VRTX_z_win,params_PYPL_WDAY_beta_win,params_PYPL_WDAY_stop_loss,params_PYPL_WDAY_trade_freq,params_PYPL_WDAY_z_entry,params_PYPL_WDAY_z_exit,params_PYPL_WDAY_z_stop_scaler,params_PYPL_WDAY_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,-0.6327193447382717,2025-06-21 19:21:51.748560,2025-06-21 19:21:55.042315,0 days 00:00:03.293755,,,,,,,,5456.0,0.015,4m,1.8,0.8,2.0,904.0,4000.0,0.015,4m,1.6,0.4,1.5,760.0,,,,,,,,1888.0,0.02,3m,1.0,0.2,2.0,416.0,,,,,,,,,,,,,,,4488.0,0.02,1m,2.2,0.2,1.0,488.0,,,,,,,,,,,,,,,,,,,,,,7432,0.01,5m,2.6,0.8,1.5,80,,,,,,,,1064.0,0.015,4m,2.8,0.6000000000000001,2.0,176.0,3224.0,0.01,4m,1.6,0.8,1.5,88.0,,,,,,,,4048.0,0.01,4m,1.2,1.0,2.0,328.0,,,,,,,,,,,,,,,8184.0,0.01,3m,2.2,0.6000000000000001,1.0,696.0,0.3,9,COMPLETE
21,21,-0.20239858887255552,2025-06-21 19:21:55.138375,2025-06-21 19:22:00.987047,0 days 00:00:05.848672,,,,,,,,2384.0,0.015,2m,2.8,0.2,2.0,736.0,2688.0,0.015,5m,2.6,0.6000000000000001,1.0,576.0,3896.0,0.02,4m,2.8,0.2,1.5,1016.0,2352.0,0.015,2m,2.6,0.6000000000000001,1.0,312.0,,,,,,,,2944.0,0.02,4m,1.2,0.8,1.5,328.0,5696.0,0.015,5m,1.8,0.6000000000000001,0.5,1016.0,,,,,,,,,,,,,,,6216.0,0.015,3m,1.6,0.4,0.5,344.0,6632,0.015,4m,2.2,0.4,2.0,192,2728.0,0.015,4m,2.2,0.4,1.5,232.0,2008.0,0.015,1m,2.4000000000000004,0.8,1.0,656.0,7216.0,0.015,1m,2.2,0.6000000000000001,2.0,856.0,5760.0,0.015,4m,1.6,0.8,1.5,760.0,4888.0,0.015,5m,1.0,0.2,2.0,864.0,8136.0,0.015,3m,1.4,0.8,2.0,600.0,3064.0,0.015,3m,1.6,0.4,0.5,376.0,6568.0,0.01,1m,1.2,0.4,1.5,240.0,0.2,16,COMPLETE
22,22,-4.287114939224948,2025-06-21 19:22:01.063565,2025-06-21 19:22:08.286717,0 days 00:00:07.223152,1024.0,0.01,2m,2.8,0.0,2.0,992.0,2064.0,0.015,1m,2.8,0.2,2.0,1024.0,1736.0,0.015,5m,2.6,0.6000000000000001,1.0,640.0,3888.0,0.02,4m,2.6,0.4,1.5,520.0,2024.0,0.015,2m,2.8,0.8,1.0,192.0,7272.0,0.01,4m,3.0,1.0,2.0,1024.0,4992.0,0.015,3m,1.8,0.8,1.0,568.0,5968.0,0.015,5m,2.8,0.4,0.5,920.0,6256.0,0.015,4m,3.0,0.6000000000000001,1.0,1016.0,6584.0,0.01,1m,1.0,0.0,2.0,64.0,3360.0,0.01,4m,1.4,0.8,1.0,752.0,7176,0.01,1m,1.8,0.2,2.0,248,5416.0,0.015,4m,2.0,0.8,1.5,384.0,1952.0,0.015,1m,2.2,1.0,1.0,888.0,5168.0,0.015,2m,2.0,0.8,2.0,664.0,5696.0,0.015,4m,2.4000000000000004,0.2,1.0,760.0,2416.0,0.015,4m,1.2,0.0,2.0,72.0,3792.0,0.015,3m,1.6,0.6000000000000001,0.5,688.0,2640.0,0.01,5m,1.2,0.8,1.0,776.0,3800.0,0.01,1m,1.0,0.2,1.0,480.0,0.05,20,COMPLETE
23,23,3.8433091957541956,2025-06-21 19:22:08.365984,2025-06-21 19:22:14.729252,0 days 00:00:06.363268,,,,,,,,3576.0,0.02,2m,2.8,0.0,1.5,616.0,8144.0,0.015,4m,2.2,0.8,1.0,496.0,3168.0,0.015,5m,2.2,0.0,2.0,168.0,3120.0,0.015,2m,2.2,0.6000000000000001,0.5,336.0,,,,,,,,6968.0,0.02,5m,1.4,0.6000000000000001,0.5,256.0,4920.0,0.01,5m,2.4000000000000004,0.8,0.5,728.0,5208.0,0.015,4m,2.4000000000000004,0.0,1.0,752.0,,,,,,,,3192.0,0.015,1m,2.4000000000000004,0.8,0.5,384.0,5552,0.02,3m,2.0,0.4,1.5,328,6736.0,0.015,4m,2.6,0.2,1.0,64.0,8176.0,0.015,1m,2.6,0.6000000000000001,1.0,448.0,7328.0,0.01,5m,1.2,0.4,2.0,912.0,2968.0,0.015,5m,2.2,0.8,1.0,360.0,6728.0,0.01,1m,1.0,0.2,1.5,648.0,5808.0,0.02,4m,1.0,0.4,1.5,88.0,2160.0,0.015,1m,2.0,0.8,0.5,584.0,5320.0,0.01,3m,1.6,0.6000000000000001,2.0,200.0,0.15000000000000002,17,COMPLETE
24,24,2.2292263694518493,2025-06-21 19:22:14.849350,2025-06-21 19:22:20.835976,0 days 00:00:05.986626,,,,,,,,3720.0,0.02,4m,2.6,0.0,1.5,576.0,5104.0,0.015,4m,2.2,0.8,1.5,496.0,5952.0,0.015,5m,2.0,0.0,2.0,728.0,3168.0,0.015,2m,2.2,1.0,0.5,576.0,,,,,,,,8152.0,0.02,5m,2.0,0.2,0.5,216.0,5032.0,0.01,5m,2.4000000000000004,1.0,1.0,760.0,,,,,,,,,,,,,,,3144.0,0.02,1m,2.6,0.8,1.0,328.0,5768,0.02,3m,1.8,0.2,1.5,352,7000.0,0.01,1m,2.8,0.2,1.0,80.0,8128.0,0.01,5m,2.8,0.6000000000000001,1.5,448.0,7400.0,0.01,5m,1.2,0.2,1.5,896.0,3776.0,0.015,1m,2.2,0.8,1.0,328.0,6992.0,0.01,1m,1.4,0.4,1.5,616.0,6248.0,0.02,4m,1.0,0.4,1.5,80.0,3736.0,0.015,1m,2.0,0.8,1.0,368.0,6496.0,0.015,3m,1.8,0.8,1.5,704.0,0.2,16,COMPLETE
25,25,-0.7723296003679742,2025-06-21 19:22:20.948658,2025-06-21 19:22:25.655621,0 days 00:00:04.706963,,,,,,,,5096.0,0.02,3m,2.2,0.0,1.5,592.0,6784.0,0.02,4m,2.2,0.8,1.5,368.0,,,,,,,,4624.0,0.01,2m,2.0,1.0,0.5,664.0,,,,,,,,8168.0,0.02,5m,1.2,0.2,0.5,88.0,4120.0,0.01,3m,2.2,1.0,1.0,728.0,,,,,,,,,,,,,,,3632.0,0.02,1m,2.4000000000000004,0.8,1.5,464.0,5728,0.02,3m,1.4,0.4,1.5,432,6848.0,0.01,1m,2.8,0.2,1.0,88.0,7888.0,0.01,5m,2.6,0.4,1.5,392.0,7488.0,0.01,5m,1.0,0.2,1.5,896.0,,,,,,,,7224.0,0.01,1m,1.2,0.4,1.5,656.0,,,,,,,,,,,,,,,6376.0,0.015,3m,1.8,0.6000000000000001,1.5,1024.0,0.2,12,COMPLETE
26,26,3.366951328768525,2025-06-21 19:22:25.739926,2025-06-21 19:22:31.507921,0 days 00:00:05.767995,,,,,,,,3960.0,0.02,1m,2.8,0.0,1.5,384.0,5304.0,0.015,4m,2.2,1.0,1.5,240.0,,,,,,,,3144.0,0.02,2m,2.2,0.8,0.5,584.0,,,,,,,,7256.0,0.02,5m,1.0,0.2,0.5,264.0,4848.0,0.01,2m,2.4000000000000004,0.8,1.0,576.0,,,,,,,,,,,,,,,4144.0,0.02,1m,2.4000000000000004,0.8,0.5,440.0,4232,0.02,3m,1.8,0.0,1.0,360,5440.0,0.01,1m,2.6,0.2,0.5,152.0,8120.0,0.01,5m,2.0,0.2,1.5,336.0,7512.0,0.01,5m,1.2,0.0,0.5,456.0,3808.0,0.01,1m,2.4000000000000004,0.8,1.0,312.0,6560.0,0.01,1m,2.2,0.4,1.5,504.0,5944.0,0.02,4m,1.0,0.4,1.5,72.0,5976.0,0.02,1m,2.4000000000000004,0.8,1.5,288.0,5056.0,0.02,3m,1.8,0.8,2.0,456.0,0.1,15,COMPLETE
27,27,2.12547269546584,2025-06-21 19:22:31.598814,2025-06-21 19:22:37.377449,0 days 00:00:05.778635,,,,,,,,4128.0,0.02,2m,2.8,0.0,1.5,368.0,5224.0,0.015,3m,2.2,1.0,1.5,216.0,,,,,,,,4384.0,0.015,2m,2.2,0.8,0.5,600.0,,,,,,,,7256.0,0.02,5m,1.8,0.2,0.5,216.0,2672.0,0.01,2m,2.4000000000000004,0.8,1.0,584.0,,,,,,,,,,,,,,,4264.0,0.02,1m,2.4000000000000004,0.8,0.5,440.0,4344,0.02,3m,1.6,0.0,1.0,344,5352.0,0.01,1m,2.6,0.2,0.5,152.0,8192.0,0.01,5m,1.8,0.2,1.5,608.0,6888.0,0.01,5m,1.2,0.2,0.5,480.0,3416.0,0.01,1m,2.4000000000000004,0.8,1.0,336.0,6184.0,0.01,1m,2.4000000000000004,0.4,1.5,464.0,6096.0,0.02,4m,1.0,0.4,1.5,96.0,5792.0,0.02,1m,2.4000000000000004,0.8,1.5,272.0,5064.0,0.02,3m,1.8,0.6000000000000001,2.0,440.0,0.1,15,COMPLETE
28,28,3.1321213198061395,2025-06-21 19:22:37.460402,2025-06-21 19:22:44.981265,0 days 00:00:07.520863,,,,,,,,4784.0,0.02,4m,2.4000000000000004,0.0,1.5,472.0,4080.0,0.01,2m,2.0,1.0,1.5,152.0,6144.0,0.015,5m,2.0,0.0,2.0,728.0,3128.0,0.02,5m,2.2,0.8,0.5,776.0,8080.0,0.02,5m,2.4000000000000004,0.8,0.5,624.0,7328.0,0.015,5m,1.4,0.4,0.5,344.0,4968.0,0.01,2m,2.4000000000000004,1.0,1.0,432.0,3416.0,0.02,1m,2.2,0.2,0.5,648.0,1144.0,0.02,5m,3.0,1.0,1.0,944.0,2560.0,0.02,1m,2.6,0.8,0.5,272.0,3720,0.02,3m,1.8,0.0,1.0,360,7080.0,0.01,1m,2.8,0.2,1.0,176.0,7184.0,0.01,5m,2.0,0.6000000000000001,2.0,416.0,6680.0,0.01,5m,1.6,0.4,0.5,656.0,3016.0,0.01,1m,2.4000000000000004,0.8,1.0,352.0,7464.0,0.01,1m,2.2,0.4,1.5,480.0,6000.0,0.02,4m,1.0,0.4,1.5,64.0,6096.0,0.015,1m,2.6,0.8,2.0,408.0,5280.0,0.02,3m,1.6,1.0,2.0,256.0,0.15000000000000002,19,COMPLETE
29,29,0.5203784250945994,2025-06-21 19:22:45.097989,2025-06-21 19:22:52.320092,0 days 00:00:07.222103,,,,,,,,4984.0,0.02,1m,2.4000000000000004,0.0,1.0,496.0,4216.0,0.01,2m,2.0,1.0,2.0,176.0,7480.0,0.01,5m,1.6,1.0,2.0,736.0,4904.0,0.02,5m,2.2,0.6000000000000001,0.5,824.0,8176.0,0.02,5m,2.6,0.8,0.5,632.0,7184.0,0.015,5m,1.4,0.4,0.5,352.0,4016.0,0.01,2m,2.0,0.8,1.5,384.0,3272.0,0.02,1m,2.2,0.2,0.5,632.0,1088.0,0.02,5m,3.0,1.0,1.0,992.0,2368.0,0.02,1m,2.2,0.4,0.5,232.0,3656,0.02,3m,1.4,0.0,1.0,496,5640.0,0.01,1m,2.6,0.4,0.5,200.0,7056.0,0.01,5m,1.6,0.4,2.0,296.0,6672.0,0.01,4m,1.6,0.4,0.5,640.0,2760.0,0.01,1m,2.4000000000000004,0.8,0.5,384.0,7616.0,0.01,1m,2.2,0.6000000000000001,1.5,488.0,5672.0,0.02,4m,1.0,0.6000000000000001,1.5,288.0,6080.0,0.02,1m,2.8,0.8,2.0,208.0,3944.0,0.02,3m,1.6,1.0,2.0,168.0,0.05,19,COMPLETE
30,30,-1.5572840464348052,2025-06-21 19:22:52.423077,2025-06-21 19:22:59.522411,0 days 00:00:07.099334,,,,,,,,5808.0,0.02,3m,2.8,0.2,1.5,72.0,4056.0,0.01,2m,1.6,1.0,0.5,72.0,5392.0,0.015,3m,2.4000000000000004,0.0,2.0,320.0,3856.0,0.02,5m,2.6,0.8,0.5,760.0,4928.0,0.015,5m,2.0,0.6000000000000001,0.5,616.0,7136.0,0.015,5m,1.2,0.4,1.0,312.0,4984.0,0.01,2m,2.2,1.0,1.0,280.0,1136.0,0.02,5m,2.2,0.2,0.5,720.0,4144.0,0.02,5m,2.2,0.6000000000000001,1.0,672.0,4016.0,0.015,1m,2.6,0.8,0.5,504.0,3472,0.02,3m,1.2,0.8,1.0,632,7400.0,0.01,1m,2.8,0.2,1.0,176.0,7184.0,0.01,2m,2.0,0.2,2.0,136.0,5400.0,0.015,5m,1.6,0.4,0.5,488.0,2344.0,0.01,1m,1.6,0.8,1.0,432.0,6432.0,0.015,1m,2.2,0.2,1.0,336.0,5472.0,0.02,4m,2.8,0.4,1.0,248.0,6040.0,0.015,1m,2.6,0.4,2.0,480.0,5120.0,0.02,3m,1.6,1.0,2.0,136.0,0.1,19,COMPLETE
31,31,3.1053591833376104,2025-06-21 19:22:59.629201,2025-06-21 19:23:05.638992,0 days 00:00:06.009791,,,,,,,,4728.0,0.02,4m,2.6,0.0,1.5,592.0,5280.0,0.01,2m,2.2,0.8,1.5,288.0,5672.0,0.015,5m,2.2,0.0,2.0,736.0,3048.0,0.02,5m,2.2,0.8,0.5,520.0,,,,,,,,7664.0,0.015,5m,1.6,0.2,0.5,192.0,4944.0,0.01,2m,2.4000000000000004,1.0,1.0,488.0,,,,,,,,,,,,,,,2688.0,0.02,1m,2.6,0.8,1.0,328.0,5432,0.02,3m,1.8,0.0,1.0,400,6768.0,0.01,1m,2.8,0.2,1.0,88.0,7632.0,0.01,5m,2.2,0.6000000000000001,1.5,472.0,7456.0,0.01,5m,1.2,0.2,1.0,888.0,4008.0,0.015,1m,2.2,0.8,1.0,272.0,7568.0,0.01,1m,2.2,0.4,1.5,648.0,6408.0,0.02,4m,1.0,0.4,1.5,72.0,4232.0,0.015,1m,2.0,0.8,1.5,336.0,6056.0,0.02,3m,2.0,0.8,2.0,264.0,0.15000000000000002,16,COMPLETE
32,32,3.1034798295165964,2025-06-21 19:23:05.748426,2025-06-21 19:23:11.729318,0 days 00:00:05.980892,,,,,,,,4904.0,0.02,4m,2.4000000000000004,0.0,1.5,392.0,5656.0,0.01,2m,2.0,1.0,1.5,312.0,4824.0,0.015,5m,2.2,0.0,2.0,752.0,3088.0,0.02,5m,1.8,0.8,0.5,512.0,,,,,,,,5696.0,0.015,5m,1.6,0.2,0.5,176.0,3904.0,0.01,2m,2.4000000000000004,0.8,1.0,464.0,,,,,,,,,,,,,,,2680.0,0.02,1m,2.6,0.8,0.5,216.0,4616,0.02,3m,1.8,0.0,1.0,368,6128.0,0.01,1m,2.6,0.2,1.0,152.0,6352.0,0.01,5m,2.2,0.6000000000000001,2.0,360.0,7696.0,0.01,5m,1.0,0.0,1.0,680.0,4312.0,0.01,1m,2.2,0.8,1.0,216.0,8168.0,0.01,1m,2.2,0.4,1.5,664.0,6768.0,0.02,4m,1.2,0.2,1.5,184.0,7128.0,0.015,1m,2.4000000000000004,0.8,1.5,320.0,5904.0,0.02,2m,2.0,0.6000000000000001,2.0,272.0,0.1,16,COMPLETE
33,33,1.280407440071844,2025-06-21 19:23:11.805104,2025-06-21 19:23:18.765433,0 days 00:00:06.960329,,,,,,,,4568.0,0.02,4m,2.8,0.0,1.5,616.0,6696.0,0.01,2m,2.4000000000000004,0.8,1.5,136.0,6800.0,0.015,5m,1.6,0.2,2.0,632.0,4056.0,0.02,5m,2.2,0.6000000000000001,0.5,912.0,5368.0,0.02,1m,2.0,0.0,1.5,296.0,7400.0,0.015,5m,1.4,0.4,0.5,384.0,4928.0,0.01,2m,2.0,1.0,1.0,440.0,4440.0,0.01,1m,2.4000000000000004,0.2,1.5,344.0,4104.0,0.015,2m,2.4000000000000004,0.6000000000000001,0.5,664.0,2056.0,0.02,1m,2.2,0.6000000000000001,1.0,384.0,5360,0.02,3m,1.6,1.0,0.5,464,4560.0,0.01,1m,3.0,0.0,0.5,128.0,7520.0,0.01,5m,2.2,0.6000000000000001,1.5,568.0,7152.0,0.01,5m,1.2,0.2,0.5,848.0,3760.0,0.015,1m,2.6,0.6000000000000001,1.0,232.0,7536.0,0.01,1m,2.4000000000000004,0.4,1.5,512.0,5032.0,0.02,5m,1.8,0.4,1.5,96.0,5336.0,0.015,1m,2.0,0.8,1.5,472.0,5328.0,0.02,3m,2.2,1.0,2.0,392.0,0.15000000000000002,19,COMPLETE
34,34,0.9631752620293679,2025-06-21 19:23:18.874756,2025-06-21 19:23:25.957558,0 days 00:00:07.082802,,,,,,,,6048.0,0.02,4m,2.6,0.0,1.5,408.0,3688.0,0.01,2m,2.2,1.0,1.5,288.0,5056.0,0.01,5m,2.2,0.0,1.0,880.0,3176.0,0.02,5m,2.6,0.8,0.5,424.0,,,,,,,,6744.0,0.015,5m,1.2,0.2,0.5,272.0,6304.0,0.01,2m,2.4000000000000004,1.0,1.5,560.0,2984.0,0.02,1m,1.8,0.0,0.5,776.0,1440.0,0.01,5m,2.6,1.0,1.5,376.0,4440.0,0.02,1m,2.8,0.8,0.5,272.0,5176,0.02,3m,2.0,0.0,1.0,584,6536.0,0.01,1m,2.8,0.4,1.0,72.0,7648.0,0.01,3m,1.8,0.4,1.5,464.0,6576.0,0.01,2m,1.6,0.4,1.0,952.0,5072.0,0.015,3m,2.2,1.0,1.5,464.0,5544.0,0.01,1m,1.8,0.6000000000000001,1.5,400.0,6888.0,0.02,4m,2.4000000000000004,0.2,1.5,360.0,4304.0,0.015,1m,2.4000000000000004,0.6000000000000001,2.0,80.0,4704.0,0.02,2m,1.6,0.8,2.0,168.0,0.05,18,COMPLETE
35,35,1.246423021177263,2025-06-21 19:23:26.044561,2025-06-21 19:23:31.933549,0 days 00:00:05.888988,,,,,,,,3280.0,0.02,2m,2.0,0.2,1.0,632.0,5368.0,0.01,2m,2.0,0.8,1.0,152.0,,,,,,,,5208.0,0.02,5m,2.2,0.4,0.5,680.0,,,,,,,,7528.0,0.015,2m,1.8,0.6000000000000001,0.5,72.0,2800.0,0.01,2m,1.8,0.8,1.0,280.0,,,,,,,,,,,,,,,2888.0,0.015,2m,2.2,0.6000000000000001,0.5,552.0,4448,0.02,3m,1.8,0.0,0.5,368,7648.0,0.01,1m,2.2,0.2,1.0,248.0,6320.0,0.01,5m,2.0,0.8,2.0,448.0,6016.0,0.01,5m,1.8,0.0,0.5,400.0,2304.0,0.01,2m,2.6,0.4,0.5,280.0,6552.0,0.01,1m,3.0,0.2,1.5,704.0,6720.0,0.02,4m,1.2,0.6000000000000001,1.0,184.0,2328.0,0.02,1m,1.8,0.8,1.5,200.0,6080.0,0.02,3m,2.0,1.0,2.0,280.0,0.15000000000000002,15,COMPLETE
36,36,2.189782859698843,2025-06-21 19:23:32.035853,2025-06-21 19:23:38.733541,0 days 00:00:06.697688,,,,,,,,4080.0,0.02,2m,2.2,0.2,1.5,312.0,7192.0,0.02,1m,1.8,1.0,1.5,400.0,7992.0,0.015,5m,2.0,0.6000000000000001,2.0,624.0,1584.0,0.02,3m,2.0,0.6000000000000001,0.5,360.0,,,,,,,,6768.0,0.015,5m,1.6,0.4,1.0,168.0,7120.0,0.01,2m,2.2,0.8,1.5,320.0,8032.0,0.01,3m,2.6,0.4,1.0,376.0,2976.0,0.02,3m,1.6,0.2,1.5,808.0,3768.0,0.02,5m,2.8,1.0,1.0,416.0,3840,0.02,2m,1.6,0.0,1.0,288,8176.0,0.01,5m,2.6,0.0,0.5,408.0,6712.0,0.01,4m,1.6,0.6000000000000001,1.5,328.0,7568.0,0.015,3m,1.4,0.4,0.5,544.0,3392.0,0.015,5m,2.2,0.8,1.0,88.0,7288.0,0.01,1m,2.4000000000000004,0.8,1.0,824.0,4872.0,0.02,4m,1.2,0.4,1.5,88.0,6696.0,0.015,2m,2.2,0.6000000000000001,2.0,648.0,5552.0,0.02,3m,2.2,0.6000000000000001,2.0,448.0,0.1,18,COMPLETE
37,37,0.05924661851445817,2025-06-21 19:23:38.812229,2025-06-21 19:23:43.611380,0 days 00:00:04.799151,,,,,,,,5360.0,0.02,4m,3.0,0.0,0.5,544.0,4456.0,0.01,2m,1.0,0.8,2.0,232.0,,,,,,,,3312.0,0.02,1m,1.6,0.8,0.5,488.0,,,,,,,,5664.0,0.02,5m,1.2,0.0,0.5,280.0,4616.0,0.01,2m,2.6,1.0,1.0,592.0,,,,,,,,,,,,,,,1056.0,0.015,1m,2.4000000000000004,0.8,2.0,296.0,6032,0.02,3m,2.0,0.6000000000000001,1.0,176,5808.0,0.01,2m,2.2,0.4,1.0,152.0,7616.0,0.02,1m,2.2,0.4,2.0,248.0,6248.0,0.01,5m,1.0,0.2,1.0,1024.0,,,,,,,,7776.0,0.01,3m,2.6,0.6000000000000001,1.5,272.0,,,,,,,,5256.0,0.015,4m,2.6,1.0,1.5,456.0,7032.0,0.02,5m,1.2,0.8,2.0,216.0,0.15000000000000002,13,COMPLETE
38,38,-0.24923000269400863,2025-06-21 19:23:43.708768,2025-06-21 19:23:45.291686,0 days 00:00:01.582918,,,,,,,,6760.0,0.02,2m,2.4000000000000004,0.0,1.0,224.0,7616.0,0.01,2m,2.8,1.0,1.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6120.0,0.01,2m,2.8,0.6000000000000001,1.5,704.0,,,,,,,,,,,,,,,,,,,,,,4792,0.015,3m,2.0,1.0,0.5,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,4,COMPLETE
39,39,0.3131212073430504,2025-06-21 19:23:45.388241,2025-06-21 19:23:51.712558,0 days 00:00:06.324317,,,,,,,,4800.0,0.02,5m,2.8,0.2,1.5,488.0,3592.0,0.015,4m,2.0,0.8,1.5,264.0,5688.0,0.015,5m,2.4000000000000004,0.2,1.5,840.0,4064.0,0.02,4m,2.8,0.6000000000000001,1.0,872.0,,,,,,,,7736.0,0.015,5m,1.4,0.6000000000000001,0.5,432.0,5152.0,0.01,2m,1.6,0.8,0.5,512.0,4752.0,0.015,2m,1.6,0.2,1.5,448.0,,,,,,,,5112.0,0.015,1m,2.0,0.4,0.5,176.0,3280,0.02,3m,1.4,0.6000000000000001,1.0,400,7248.0,0.02,1m,2.8,0.2,0.5,272.0,5800.0,0.01,5m,2.2,0.8,1.5,600.0,8016.0,0.01,5m,1.2,0.6000000000000001,0.5,192.0,4832.0,0.01,1m,1.8,0.6000000000000001,1.0,472.0,5712.0,0.015,2m,1.8,0.4,1.5,736.0,5896.0,0.02,4m,1.0,0.2,1.5,176.0,4328.0,0.02,1m,1.8,0.8,2.0,272.0,4760.0,0.015,3m,2.0,1.0,1.5,320.0,0.1,17,COMPLETE
