,number,value,datetime_start,datetime_complete,duration,params_ADBE_SIRI_beta_win,params_ADBE_SIRI_stop_loss,params_ADBE_SIRI_trade_freq,params_ADBE_SIRI_z_entry,params_ADBE_SIRI_z_exit,params_ADBE_SIRI_z_stop_scaler,params_ADBE_SIRI_z_win,params_AMAT_SIRI_beta_win,params_AMAT_SIRI_stop_loss,params_AMAT_SIRI_trade_freq,params_AMAT_SIRI_z_entry,params_AMAT_SIRI_z_exit,params_AMAT_SIRI_z_stop_scaler,params_AMAT_SIRI_z_win,params_BIDU_SIRI_beta_win,params_BIDU_SIRI_stop_loss,params_BIDU_SIRI_trade_freq,params_BIDU_SIRI_z_entry,params_BIDU_SIRI_z_exit,params_BIDU_SIRI_z_stop_scaler,params_BIDU_SIRI_z_win,params_DDOG_ZS_beta_win,params_DDOG_ZS_stop_loss,params_DDOG_ZS_trade_freq,params_DDOG_ZS_z_entry,params_DDOG_ZS_z_exit,params_DDOG_ZS_z_stop_scaler,params_DDOG_ZS_z_win,params_FB_SIRI_beta_win,params_FB_SIRI_stop_loss,params_FB_SIRI_trade_freq,params_FB_SIRI_z_entry,params_FB_SIRI_z_exit,params_FB_SIRI_z_stop_scaler,params_FB_SIRI_z_win,params_JD_SIRI_beta_win,params_JD_SIRI_stop_loss,params_JD_SIRI_trade_freq,params_JD_SIRI_z_entry,params_JD_SIRI_z_exit,params_JD_SIRI_z_stop_scaler,params_JD_SIRI_z_win,params_NTES_PCAR_beta_win,params_NTES_PCAR_stop_loss,params_NTES_PCAR_trade_freq,params_NTES_PCAR_z_entry,params_NTES_PCAR_z_exit,params_NTES_PCAR_z_stop_scaler,params_NTES_PCAR_z_win,params_NVDA_SIRI_beta_win,params_NVDA_SIRI_stop_loss,params_NVDA_SIRI_trade_freq,params_NVDA_SIRI_z_entry,params_NVDA_SIRI_z_exit,params_NVDA_SIRI_z_stop_scaler,params_NVDA_SIRI_z_win,params_PDD_ORLY_beta_win,params_PDD_ORLY_stop_loss,params_PDD_ORLY_trade_freq,params_PDD_ORLY_z_entry,params_PDD_ORLY_z_exit,params_PDD_ORLY_z_stop_scaler,params_PDD_ORLY_z_win,params_PDD_SIRI_beta_win,params_PDD_SIRI_stop_loss,params_PDD_SIRI_trade_freq,params_PDD_SIRI_z_entry,params_PDD_SIRI_z_exit,params_PDD_SIRI_z_stop_scaler,params_PDD_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
97,97,-2.9464744850009237,2025-06-14 19:06:01.062566,2025-06-14 19:06:05.622490,0 days 00:00:04.559924,,,,,,,,480.0,0.009000000000000001,4m,2.0,1.5,2.0,794.0,,,,,,,,482,0.006,2m,2.5,3.5,1.4,988,810.0,0.004,1m,2.0,2.5,0.9,746.0,306.0,0.006,4m,3.0,3.0,1.1,846.0,,,,,,,,,,,,,,,120.0,0.006,1m,2.0,4.0,1.2000000000000002,998.0,,,,,,,,0.1,5,COMPLETE
98,98,4.488911106736582,2025-06-14 19:06:05.696325,2025-06-14 19:06:08.532302,0 days 00:00:02.835977,,,,,,,,,,,,,,,,,,,,,,802,0.008,2m,3.0,3.0,0.8,824,696.0,0.005,1m,2.0,1.5,0.5,962.0,,,,,,,,,,,,,,,,,,,,,,34.0,0.004,1m,2.5,3.5,1.4,916.0,,,,,,,,0.15000000000000002,3,COMPLETE
99,99,-1.3366195147958644,2025-06-14 19:06:08.599745,2025-06-14 19:06:11.344393,0 days 00:00:02.744648,,,,,,,,,,,,,,,,,,,,,,776,0.008,2m,3.0,3.0,0.7,822,836.0,0.005,1m,2.5,1.5,0.5,980.0,,,,,,,,,,,,,,,,,,,,,,92.0,0.004,1m,3.0,3.5,1.3,906.0,,,,,,,,0.15000000000000002,3,COMPLETE
100,100,2.28267332333969,2025-06-14 19:06:11.412150,2025-06-14 19:06:13.349886,0 days 00:00:01.937736,,,,,,,,,,,,,,,,,,,,,,662,0.008,2m,3.0,3.0,0.5,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,0.004,1m,2.0,3.5,1.5,950.0,,,,,,,,0.15000000000000002,2,COMPLETE
101,101,4.9917571547671145,2025-06-14 19:06:13.407475,2025-06-14 19:06:16.940440,0 days 00:00:03.532965,,,,,,,,,,,,,,,,,,,,,,810,0.007,2m,3.0,3.5,0.9,918,706.0,0.004,1m,2.0,1.5,0.6,958.0,362.0,0.005,4m,3.0,2.5,1.3,762.0,,,,,,,,,,,,,,,36.0,0.005,1m,2.5,4.0,1.4,840.0,,,,,,,,0.1,4,COMPLETE
102,102,1.7539086179407082,2025-06-14 19:06:17.009011,2025-06-14 19:06:19.735040,0 days 00:00:02.726029,,,,,,,,,,,,,,,,,,,,,,822,0.007,2m,3.0,3.5,0.9,900,728.0,0.004,1m,2.0,1.5,0.5,902.0,,,,,,,,,,,,,,,,,,,,,,776.0,0.005,1m,2.5,4.0,1.4,978.0,,,,,,,,0.1,3,COMPLETE
103,103,2.154545102771643,2025-06-14 19:06:19.801610,2025-06-14 19:06:23.124547,0 days 00:00:03.322937,,,,,,,,,,,,,,,,,,,,,,754,0.008,2m,3.0,3.5,0.8,784,686.0,0.004,1m,2.0,1.5,0.6,958.0,282.0,0.005,4m,3.0,3.0,1.4,744.0,,,,,,,,,,,,,,,62.0,0.004,1m,2.5,4.0,1.5,910.0,,,,,,,,0.05,4,COMPLETE
104,104,0.5103241475352948,2025-06-14 19:06:23.213059,2025-06-14 19:06:26.718384,0 days 00:00:03.505325,,,,,,,,,,,,,,,,,,,,,,680,0.007,2m,3.0,3.5,0.8,858,780.0,0.005,3m,2.0,1.5,0.7,996.0,500.0,0.007,4m,3.5,2.0,1.2000000000000002,706.0,,,,,,,,,,,,,,,1008.0,0.005,1m,2.5,4.0,1.6,794.0,,,,,,,,0.1,4,COMPLETE
105,105,-0.016853214106744237,2025-06-14 19:06:26.827230,2025-06-14 19:06:30.330852,0 days 00:00:03.503622,,,,,,,,,,,,,,,,,,,,,,592,0.006,2m,2.5,3.0,0.7,938,868.0,0.006,1m,1.5,1.5,0.5,866.0,360.0,0.005,4m,3.0,2.0,1.5,798.0,,,,,,,,,,,,,,,122.0,0.006,1m,3.0,3.5,1.3,846.0,,,,,,,,0.15000000000000002,4,COMPLETE
106,106,3.0573366376169364,2025-06-14 19:06:30.412201,2025-06-14 19:06:33.253628,0 days 00:00:02.841427,,,,,,,,,,,,,,,,,,,,,,880,0.007,2m,3.0,3.5,0.9,914,752.0,0.005,1m,2.0,1.5,0.6,960.0,,,,,,,,,,,,,,,,,,,,,,68.0,0.005,1m,2.5,4.0,1.4,940.0,,,,,,,,0.1,3,COMPLETE
107,107,1.100974293755611,2025-06-14 19:06:33.316984,2025-06-14 19:06:36.870830,0 days 00:00:03.553846,,,,,,,,,,,,,,,,,,,,,,624,0.008,2m,3.5,3.0,0.7,892,648.0,0.004,1m,2.5,2.0,0.6,918.0,434.0,0.007,2m,3.0,2.5,1.4,892.0,,,,,,,,,,,,,,,16.0,0.004,1m,2.5,4.0,1.4,872.0,,,,,,,,0.05,4,COMPLETE
108,108,3.183225219208837,2025-06-14 19:06:36.933549,2025-06-14 19:06:41.303337,0 days 00:00:04.369788,,,,,,,,90.0,0.007,1m,1.5,1.5,1.7000000000000002,820.0,,,,,,,,734,0.007,2m,3.0,3.5,0.8,826,578.0,0.003,4m,2.0,2.0,0.5,1004.0,326.0,0.008,3m,2.5,2.0,1.0,762.0,,,,,,,,,,,,,,,38.0,0.005,1m,2.5,3.5,1.5,1000.0,,,,,,,,0.05,5,COMPLETE
109,109,1.5808709269736292,2025-06-14 19:06:41.366439,2025-06-14 19:06:46.426950,0 days 00:00:05.060511,,,,,,,,556.0,0.01,2m,1.5,1.0,1.9000000000000001,748.0,956.0,0.01,4m,3.5,1.0,0.5,70.0,938,0.006,2m,2.5,3.5,1.0,808,992.0,0.004,1m,2.0,1.0,0.7,890.0,200.0,0.005,4m,3.5,2.5,1.2000000000000002,1002.0,,,,,,,,,,,,,,,182.0,0.006,1m,2.0,4.0,1.1,964.0,,,,,,,,0.1,6,COMPLETE
110,110,-2.3252207323941385,2025-06-14 19:06:46.508443,2025-06-14 19:06:49.049476,0 days 00:00:02.541033,,,,,,,,,,,,,,,,,,,,,,804,0.005,2m,3.5,3.5,1.0,860,698.0,0.003,1m,1.5,1.5,0.6,982.0,,,,,,,,,,,,,,,,,,,,,,146.0,0.005,1m,2.5,4.0,1.3,890.0,,,,,,,,0.15000000000000002,3,COMPLETE
111,111,4.497641435260664,2025-06-14 19:06:49.114163,2025-06-14 19:06:54.032799,0 days 00:00:04.918636,,,,,,,,420.0,0.008,4m,2.0,1.0,1.8,988.0,,,,,,,,550,0.007,2m,4.0,4.0,1.3,976,720.0,0.003,1m,2.0,2.0,0.8,944.0,396.0,0.006,4m,3.0,2.5,1.3,848.0,,,,,,,,,,,,,,,36.0,0.006,1m,2.5,4.0,1.4,826.0,,,,,,,,0.1,5,COMPLETE
112,112,-1.5687992242688875,2025-06-14 19:06:54.111423,2025-06-14 19:06:58.833852,0 days 00:00:04.722429,,,,,,,,324.0,0.008,4m,2.0,1.0,1.9000000000000001,1022.0,,,,,,,,648,0.007,2m,4.0,4.0,1.5,936,794.0,0.003,1m,2.0,2.0,0.8,1024.0,404.0,0.007,4m,3.0,2.5,1.3,942.0,,,,,,,,,,,,,,,98.0,0.006,1m,2.5,4.0,1.4,736.0,,,,,,,,0.1,5,COMPLETE
113,113,4.616279953001932,2025-06-14 19:06:58.922375,2025-06-14 19:07:03.703669,0 days 00:00:04.781294,,,,,,,,260.0,0.01,4m,2.0,1.0,1.8,926.0,,,,,,,,702,0.007,2m,3.0,3.5,1.3,992,728.0,0.004,1m,2.0,2.0,0.7,952.0,358.0,0.006,4m,3.0,3.0,1.3,890.0,,,,,,,,,,,,,,,56.0,0.007,1m,2.5,4.0,1.5,920.0,,,,,,,,0.1,5,COMPLETE
114,114,6.193330790499673,2025-06-14 19:07:03.790672,2025-06-14 19:07:08.729417,0 days 00:00:04.938745,,,,,,,,274.0,0.01,4m,2.0,1.0,1.8,918.0,,,,,,,,710,0.008,2m,3.0,3.5,1.3,984,672.0,0.004,1m,2.0,2.0,0.7,954.0,364.0,0.006,4m,3.0,3.0,1.3,898.0,,,,,,,,,,,,,,,50.0,0.007,1m,2.5,4.0,1.5,924.0,,,,,,,,0.1,5,COMPLETE
115,115,1.080946476497919,2025-06-14 19:07:08.810927,2025-06-14 19:07:13.686905,0 days 00:00:04.875978,,,,,,,,238.0,0.01,4m,2.0,1.0,1.8,920.0,,,,,,,,692,0.007,2m,3.0,3.5,1.3,1008,668.0,0.004,1m,2.0,2.0,0.7,914.0,362.0,0.006,4m,3.0,3.0,1.3,902.0,,,,,,,,,,,,,,,82.0,0.007,1m,2.5,4.0,0.6,866.0,,,,,,,,0.1,5,COMPLETE
116,116,1.7961007202852293,2025-06-14 19:07:13.757421,2025-06-14 19:07:18.834396,0 days 00:00:05.076975,,,,,,,,158.0,0.01,4m,2.0,1.0,1.8,974.0,878.0,0.009000000000000001,4m,3.5,1.5,0.7,154.0,716,0.003,2m,3.0,3.5,1.4,990,734.0,0.003,1m,2.0,2.0,0.8,828.0,432.0,0.006,4m,3.0,3.0,1.3,882.0,,,,,,,,,,,,,,,56.0,0.007,1m,2.5,4.0,1.6,678.0,,,,,,,,0.1,6,COMPLETE
117,117,2.1338306958553526,2025-06-14 19:07:18.903345,2025-06-14 19:07:23.173045,0 days 00:00:04.269700,,,,,,,,284.0,0.01,4m,2.0,1.0,1.9000000000000001,892.0,,,,,,,,624,0.008,2m,3.5,4.0,1.3,970,754.0,0.004,1m,2.0,2.5,0.7,948.0,262.0,0.006,4m,3.0,3.0,1.2000000000000002,924.0,,,,,,,,,,,,,,,110.0,0.007,1m,3.0,4.0,1.5,836.0,,,,,,,,0.1,5,COMPLETE
118,118,2.053586698800128,2025-06-14 19:07:23.264537,2025-06-14 19:07:27.481982,0 days 00:00:04.217445,,,,,,,,358.0,0.01,4m,2.0,1.5,2.0,880.0,,,,,,,,566,0.007,2m,4.0,3.5,1.4,1004,636.0,0.004,1m,2.0,2.0,0.8,920.0,312.0,0.006,4m,3.0,2.5,1.4,820.0,,,,,,,,,,,,,,,18.0,0.008,1m,2.5,1.5,1.5,766.0,,,,,,,,0.05,5,COMPLETE
119,119,-2.981024050201673,2025-06-14 19:07:27.553776,2025-06-14 19:07:32.055370,0 days 00:00:04.501594,,,,,,,,450.0,0.009000000000000001,4m,2.5,1.0,1.7000000000000002,984.0,,,,,,,,666,0.007,2m,3.0,3.5,1.3,920,772.0,0.003,1m,1.5,2.0,0.7,884.0,344.0,0.007,4m,3.0,2.5,1.3,862.0,,,,,,,,,,,,,,,78.0,0.006,1m,2.5,4.0,1.5,930.0,,,,,,,,0.15000000000000002,5,COMPLETE
120,120,3.640889378390913,2025-06-14 19:07:32.129790,2025-06-14 19:07:43.978078,0 days 00:00:11.848288,,,,,,,,222.0,0.01,4m,2.0,1.5,2.0,924.0,,,,,,,,594,0.008,2m,3.0,3.5,1.4,902,712.0,0.003,1m,2.0,2.0,0.9,982.0,454.0,0.007,4m,3.0,2.5,1.2000000000000002,958.0,,,,,,,,,,,,,,,40.0,0.007,1m,2.5,4.0,1.6,892.0,,,,,,,,0.1,5,COMPLETE
121,121,2.7656170923673886,2025-06-14 19:07:44.132579,2025-06-14 19:07:55.575005,0 days 00:00:11.442426,,,,,,,,184.0,0.008,4m,1.5,1.0,1.8,808.0,348.0,0.001,4m,4.0,1.5,0.6,722.0,784,0.008,2m,3.0,3.5,1.3,878,688.0,0.005,1m,2.0,2.0,0.6,968.0,374.0,0.007,4m,3.0,2.5,1.1,940.0,,,,,,,,,,,,,,,38.0,0.006,1m,2.5,4.0,1.4,920.0,,,,,,,,0.1,6,COMPLETE
122,122,3.077866719218569,2025-06-14 19:07:55.689041,2025-06-14 19:08:00.252983,0 days 00:00:04.563942,,,,,,,,300.0,0.009000000000000001,4m,2.5,1.0,1.9000000000000001,994.0,,,,,,,,756,0.007,2m,3.0,3.5,1.2000000000000002,946,718.0,0.004,1m,2.0,2.0,0.7,1002.0,404.0,0.006,4m,3.0,2.5,1.3,980.0,,,,,,,,,,,,,,,56.0,0.006,1m,2.5,4.0,1.4,902.0,,,,,,,,0.1,5,COMPLETE
123,123,0.8498899788027665,2025-06-14 19:08:00.318476,2025-06-14 19:08:04.413990,0 days 00:00:04.095514,,,,,,,,362.0,0.01,4m,2.0,1.0,1.7000000000000002,866.0,,,,,,,,640,0.009000000000000001,2m,3.0,3.5,1.3,976,670.0,0.004,1m,2.0,2.0,0.6,952.0,542.0,0.006,4m,3.5,3.0,1.2000000000000002,894.0,,,,,,,,,,,,,,,100.0,0.007,1m,2.5,4.0,1.5,820.0,,,,,,,,0.1,5,COMPLETE
124,124,6.708117926528908,2025-06-14 19:08:04.487329,2025-06-14 19:08:07.778982,0 days 00:00:03.291653,,,,,,,,,,,,,,,,,,,,,,534,0.008,2m,4.0,4.0,1.1,874,748.0,0.003,1m,2.0,2.0,0.5,928.0,506.0,0.007,4m,3.0,2.5,1.4,862.0,,,,,,,,,,,,,,,30.0,0.005,1m,2.5,4.0,1.3,948.0,,,,,,,,0.15000000000000002,4,COMPLETE
125,125,3.536402638873939,2025-06-14 19:08:07.848696,2025-06-14 19:08:11.187532,0 days 00:00:03.338836,,,,,,,,,,,,,,,,,,,,,,608,0.007,2m,4.0,4.0,1.1,880,734.0,0.003,1m,2.0,2.0,0.8,902.0,478.0,0.007,4m,3.0,2.5,1.4,862.0,,,,,,,,,,,,,,,126.0,0.005,1m,3.0,4.0,1.3,966.0,,,,,,,,0.05,4,COMPLETE
126,126,1.303670653871834,2025-06-14 19:08:11.251040,2025-06-14 19:08:14.536744,0 days 00:00:03.285704,,,,,,,,,,,,,,,,,,,,,,540,0.008,2m,4.0,4.0,1.2000000000000002,918,806.0,0.003,3m,2.0,2.0,0.6,932.0,500.0,0.007,4m,3.0,2.5,1.4,840.0,,,,,,,,,,,,,,,70.0,0.005,1m,2.5,4.0,1.3,940.0,,,,,,,,0.1,4,COMPLETE
127,127,-0.3275294212293798,2025-06-14 19:08:14.608432,2025-06-14 19:08:18.194589,0 days 00:00:03.586157,,,,,,,,,,,,,,,,,,,,,,520,0.007,2m,4.0,4.0,1.1,958,756.0,0.002,1m,1.5,2.0,0.7,866.0,582.0,0.006,4m,3.0,2.5,1.3,922.0,,,,,,,,,,,,,,,904.0,0.006,1m,2.5,4.0,1.2000000000000002,850.0,,,,,,,,0.1,4,COMPLETE
128,128,1.4796692370113005,2025-06-14 19:08:18.276749,2025-06-14 19:08:23.425352,0 days 00:00:05.148603,,,,,,,,254.0,0.009000000000000001,4m,1.5,2.0,1.6,916.0,800.0,0.007,2m,3.5,1.5,0.9,1022.0,580,0.008,2m,4.0,4.0,1.4,1022,776.0,0.003,1m,2.0,2.5,0.5,926.0,422.0,0.007,4m,3.0,2.5,1.3,882.0,,,,,,,,,,,,,,,18.0,0.006,1m,2.5,4.0,1.5,876.0,,,,,,,,0.05,6,COMPLETE
129,129,2.4733175279875566,2025-06-14 19:08:23.502624,2025-06-14 19:08:27.014970,0 days 00:00:03.512346,,,,,,,,,,,,,,,,,,,,,,704,0.001,2m,3.5,3.5,1.1,852,718.0,0.003,1m,2.0,2.5,0.8,1006.0,384.0,0.008,4m,3.0,2.5,1.2000000000000002,788.0,,,,,,,,,,,,,,,54.0,0.008,3m,2.5,4.0,1.4,984.0,,,,,,,,0.15000000000000002,4,COMPLETE
130,130,3.0021392649706127,2025-06-14 19:08:27.095497,2025-06-14 19:08:31.290214,0 days 00:00:04.194717,,,,,,,,820.0,0.01,4m,2.5,1.5,1.8,820.0,,,,,,,,460,0.007,2m,4.0,4.0,1.2000000000000002,902,820.0,0.004,1m,2.0,2.0,0.6,976.0,364.0,0.005,4m,3.0,2.5,1.3,824.0,,,,,,,,,,,,,,,86.0,0.005,2m,2.5,4.0,1.3,950.0,,,,,,,,0.1,5,COMPLETE
131,131,5.520990262306714,2025-06-14 19:08:31.346083,2025-06-14 19:08:35.693695,0 days 00:00:04.347612,,,,,,,,334.0,0.009000000000000001,4m,2.0,1.0,2.0,770.0,,,,,,,,676,0.008,2m,3.0,3.5,1.3,836,694.0,0.004,1m,2.0,2.0,0.5,952.0,340.0,0.006,4m,2.5,3.0,1.4,912.0,,,,,,,,,,,,,,,32.0,0.006,1m,2.5,4.0,1.4,918.0,,,,,,,,0.15000000000000002,5,COMPLETE
132,132,4.3016600484451235,2025-06-14 19:08:35.772682,2025-06-14 19:08:42.363381,0 days 00:00:06.590699,,,,,,,,332.0,0.009000000000000001,4m,2.0,1.0,2.0,766.0,,,,,,,,666,0.009000000000000001,2m,3.0,3.5,1.3,868,744.0,0.004,1m,2.0,2.0,0.5,946.0,348.0,0.006,4m,2.5,3.0,1.4,944.0,,,,,,,,,,,,,,,40.0,0.007,1m,2.5,4.0,1.4,930.0,,,,,,,,0.15000000000000002,5,COMPLETE
133,133,0.5278432664348119,2025-06-14 19:08:42.506108,2025-06-14 19:08:54.394271,0 days 00:00:11.888163,,,,,,,,304.0,0.01,4m,2.0,1.0,1.9000000000000001,944.0,,,,,,,,618,0.007,2m,4.0,3.5,1.3,934,788.0,0.004,1m,2.0,2.0,0.7,898.0,326.0,0.006,4m,2.5,3.0,1.5,916.0,,,,,,,,,,,,,,,16.0,0.006,1m,2.5,4.0,1.5,894.0,,,,,,,,0.1,5,COMPLETE
134,134,2.7060672022529677,2025-06-14 19:08:54.544299,2025-06-14 19:09:02.871469,0 days 00:00:08.327170,,,,,,,,,,,,,,,,,,,,,,682,0.008,2m,3.0,3.5,1.4,894,700.0,0.003,1m,2.0,2.0,0.5,926.0,440.0,0.007,4m,3.0,2.5,1.4,868.0,,,,,,,,,,,,,,,64.0,0.006,1m,2.5,4.0,1.4,862.0,,,,,,,,0.15000000000000002,4,COMPLETE
135,135,2.1392267153065507,2025-06-14 19:09:02.969710,2025-06-14 19:09:07.852954,0 days 00:00:04.883244,,,,,,,,424.0,0.008,4m,2.0,1.0,2.0,902.0,,,,,,,,648,0.008,2m,2.5,3.5,1.2000000000000002,794,676.0,0.004,1m,2.0,2.0,0.7,984.0,392.0,0.006,4m,3.0,2.5,1.3,898.0,,,,,,,,,,,,,,,108.0,0.006,1m,2.5,1.0,1.4,952.0,,,,,,,,0.05,5,COMPLETE
136,136,-0.46961894537088716,2025-06-14 19:09:07.912044,2025-06-14 19:09:11.528922,0 days 00:00:03.616878,,,,,,,,,,,,,,,,,,,,,,736,0.007,2m,3.0,3.5,1.3,840,758.0,0.003,1m,2.5,2.0,0.6,848.0,298.0,0.001,2m,2.5,3.0,1.2000000000000002,998.0,,,,,,,,,,,,,,,80.0,0.005,1m,2.5,4.0,1.3,924.0,,,,,,,,0.1,4,COMPLETE
137,137,-3.512863353117372,2025-06-14 19:09:11.600880,2025-06-14 19:09:16.014903,0 days 00:00:04.414023,,,,,,,,482.0,0.009000000000000001,4m,2.0,1.5,1.9000000000000001,720.0,,,,,,,,556,0.008,3m,3.5,4.0,1.0,982,726.0,0.004,1m,1.0,2.0,0.6,950.0,456.0,0.007,4m,3.0,2.5,1.1,968.0,,,,,,,,,,,,,,,38.0,0.007,1m,2.0,4.0,1.4,618.0,,,,,,,,0.1,5,COMPLETE
138,138,-1.30089076845111,2025-06-14 19:09:16.094255,2025-06-14 19:09:21.229172,0 days 00:00:05.134917,,,,,,,,272.0,0.01,1m,2.0,1.0,2.0,836.0,932.0,0.01,4m,3.0,1.0,0.6,34.0,596,0.007,2m,4.0,3.5,1.2000000000000002,954,624.0,0.003,4m,2.0,2.0,0.9,882.0,416.0,0.006,4m,2.5,2.5,1.3,852.0,,,,,,,,,,,,,,,54.0,0.006,4m,2.5,4.0,1.5,974.0,,,,,,,,0.15000000000000002,6,COMPLETE
139,139,1.308229614222668,2025-06-14 19:09:21.319640,2025-06-14 19:09:25.700589,0 days 00:00:04.380949,,,,,,,,882.0,0.009000000000000001,4m,1.5,1.0,1.8,862.0,,,,,,,,494,0.007,2m,3.0,3.5,1.5,912,648.0,0.002,1m,1.5,2.0,0.5,912.0,336.0,0.005,4m,3.0,2.5,1.2000000000000002,276.0,,,,,,,,,,,,,,,94.0,0.005,1m,2.5,4.0,1.6,1004.0,,,,,,,,0.1,5,COMPLETE
140,140,-0.7652416021040458,2025-06-14 19:09:25.757795,2025-06-14 19:09:29.329580,0 days 00:00:03.571785,,,,,,,,,,,,,,,,,,,,,,640,0.008,2m,4.0,4.0,0.9,878,1024.0,0.003,1m,2.0,2.0,0.7,782.0,372.0,0.007,4m,3.0,3.0,1.4,806.0,,,,,,,,,,,,,,,134.0,0.006,1m,2.5,4.0,1.4,796.0,,,,,,,,0.05,4,COMPLETE
141,141,2.9609701251248817,2025-06-14 19:09:29.392972,2025-06-14 19:09:31.309308,0 days 00:00:01.916336,,,,,,,,,,,,,,,,,,,,,,816,0.008,2m,3.0,3.0,1.3,830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,0.006,1m,2.5,4.0,1.4,914.0,,,,,,,,0.15000000000000002,2,COMPLETE
142,142,3.243572622523435,2025-06-14 19:09:31.357189,2025-06-14 19:09:35.748961,0 days 00:00:04.391772,,,,,,,,380.0,0.01,4m,2.5,1.5,1.9000000000000001,776.0,,,,,,,,706,0.008,2m,3.0,3.5,1.4,854,692.0,0.005,1m,2.0,1.5,0.5,964.0,400.0,0.006,4m,3.0,2.5,1.5,920.0,,,,,,,,,,,,,,,36.0,0.005,1m,2.5,4.0,1.3,908.0,,,,,,,,0.2,5,COMPLETE
143,143,3.2542916576177507,2025-06-14 19:09:35.810053,2025-06-14 19:09:40.261868,0 days 00:00:04.451815,,,,,,,,202.0,0.009000000000000001,2m,2.0,1.0,1.6,970.0,,,,,,,,536,0.007,2m,3.0,3.5,1.3,814,700.0,0.005,1m,2.0,1.5,0.5,1000.0,492.0,0.006,4m,3.5,2.5,1.4,950.0,,,,,,,,,,,,,,,62.0,0.006,1m,2.5,4.0,1.5,882.0,,,,,,,,0.15000000000000002,5,COMPLETE
144,144,-0.06877472349669814,2025-06-14 19:09:40.341767,2025-06-14 19:09:43.922566,0 days 00:00:03.580799,,,,,,,,,,,,,,,,,,,,,,630,0.009000000000000001,2m,3.0,3.5,0.9,934,742.0,0.004,1m,2.0,2.0,0.5,960.0,354.0,0.008,4m,3.0,3.0,1.3,838.0,,,,,,,,,,,,,,,76.0,0.005,1m,2.5,4.0,1.4,936.0,,,,,,,,0.1,4,COMPLETE
145,145,4.97851061100477,2025-06-14 19:09:43.990944,2025-06-14 19:09:47.960089,0 days 00:00:03.969145,,,,,,,,,,,,,,,,,,,,,,866,0.008,2m,3.0,3.5,1.0,886,592.0,0.004,1m,2.0,1.5,0.8,932.0,420.0,0.007,4m,2.5,2.5,1.1,874.0,,,,,,,,,,,,,,,30.0,0.004,1m,2.5,4.0,1.3,830.0,,,,,,,,0.15000000000000002,4,COMPLETE
146,146,2.384360309472465,2025-06-14 19:09:48.013045,2025-06-14 19:09:51.626791,0 days 00:00:03.613746,,,,,,,,,,,,,,,,,,,,,,576,0.007,2m,3.0,3.5,1.0,890,588.0,0.004,1m,2.0,2.0,0.8,934.0,426.0,0.007,4m,2.5,2.5,1.1,876.0,,,,,,,,,,,,,,,16.0,0.007,1m,3.0,4.0,1.2000000000000002,826.0,,,,,,,,0.1,4,COMPLETE
147,147,4.696632343566868,2025-06-14 19:09:51.707241,2025-06-14 19:09:55.358670,0 days 00:00:03.651429,,,,,,,,,,,,,,,,,,,,,,674,0.007,2m,3.5,3.5,1.1,868,480.0,0.003,1m,2.0,2.0,0.7,902.0,380.0,0.007,4m,2.5,2.5,1.1,898.0,,,,,,,,,,,,,,,48.0,0.006,1m,2.5,4.0,1.3,842.0,,,,,,,,0.1,4,COMPLETE
148,148,-3.3036402606598396,2025-06-14 19:09:55.419723,2025-06-14 19:09:58.992249,0 days 00:00:03.572526,,,,,,,,,,,,,,,,,,,,,,680,0.008,2m,3.5,3.5,1.0,870,524.0,0.004,1m,2.5,2.0,0.7,890.0,374.0,0.007,4m,2.5,2.5,1.0,906.0,,,,,,,,,,,,,,,550.0,0.006,1m,2.5,4.0,1.3,850.0,,,,,,,,0.1,4,COMPLETE
149,149,3.4328628981816136,2025-06-14 19:09:59.047592,2025-06-14 19:10:02.602410,0 days 00:00:03.554818,,,,,,,,,,,,,,,,,,,,,,658,0.008,2m,3.5,3.5,1.1,842,562.0,0.004,1m,2.0,1.5,0.6,912.0,452.0,0.007,4m,2.5,2.5,1.1,970.0,,,,,,,,,,,,,,,56.0,0.005,1m,2.0,4.0,1.2000000000000002,960.0,,,,,,,,0.2,4,COMPLETE
