,number,value,datetime_start,datetime_complete,duration,params_AVGO_MRNA_beta_win,params_AVGO_MRNA_stop_loss,params_AVGO_MRNA_trade_freq,params_AVGO_MRNA_z_entry,params_AVGO_MRNA_z_exit,params_AVGO_MRNA_z_stop_scaler,params_AVGO_MRNA_z_win,params_CPRT_MRNA_beta_win,params_CPRT_MRNA_stop_loss,params_CPRT_MRNA_trade_freq,params_CPRT_MRNA_z_entry,params_CPRT_MRNA_z_exit,params_CPRT_MRNA_z_stop_scaler,params_CPRT_MRNA_z_win,params_FISV_MRNA_beta_win,params_FISV_MRNA_stop_loss,params_FISV_MRNA_trade_freq,params_FISV_MRNA_z_entry,params_FISV_MRNA_z_exit,params_FISV_MRNA_z_stop_scaler,params_FISV_MRNA_z_win,params_ISRG_MRNA_beta_win,params_ISRG_MRNA_stop_loss,params_ISRG_MRNA_trade_freq,params_ISRG_MRNA_z_entry,params_ISRG_MRNA_z_exit,params_ISRG_MRNA_z_stop_scaler,params_ISRG_MRNA_z_win,params_KLAC_MRNA_beta_win,params_KLAC_MRNA_stop_loss,params_KLAC_MRNA_trade_freq,params_KLAC_MRNA_z_entry,params_KLAC_MRNA_z_exit,params_KLAC_MRNA_z_stop_scaler,params_KLAC_MRNA_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_MCHP_MRNA_beta_win,params_MCHP_MRNA_stop_loss,params_MCHP_MRNA_trade_freq,params_MCHP_MRNA_z_entry,params_MCHP_MRNA_z_exit,params_MCHP_MRNA_z_stop_scaler,params_MCHP_MRNA_z_win,params_MDLZ_MRNA_beta_win,params_MDLZ_MRNA_stop_loss,params_MDLZ_MRNA_trade_freq,params_MDLZ_MRNA_z_entry,params_MDLZ_MRNA_z_exit,params_MDLZ_MRNA_z_stop_scaler,params_MDLZ_MRNA_z_win,params_MNST_MRNA_beta_win,params_MNST_MRNA_stop_loss,params_MNST_MRNA_trade_freq,params_MNST_MRNA_z_entry,params_MNST_MRNA_z_exit,params_MNST_MRNA_z_stop_scaler,params_MNST_MRNA_z_win,params_SBUX_MRNA_beta_win,params_SBUX_MRNA_stop_loss,params_SBUX_MRNA_trade_freq,params_SBUX_MRNA_z_entry,params_SBUX_MRNA_z_exit,params_SBUX_MRNA_z_stop_scaler,params_SBUX_MRNA_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-2.264336838131199,2025-06-14 19:23:54.296296,2025-06-14 19:23:55.354804,0 days 00:00:01.058508,,,,,,,,640,0.006,1m,3.0,1.0,0.5,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,-1.9162978568835525,2025-06-14 19:23:55.412163,2025-06-14 19:23:58.165819,0 days 00:00:02.753656,446.0,0.007,1m,2.5,1.5,1.1,908.0,68,0.007,2m,4.0,1.0,2.0,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,0.005,3m,3.0,1.0,1.0,32.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
12,12,-0.40606292256875665,2025-06-14 19:23:58.234380,2025-06-14 19:23:59.266593,0 days 00:00:01.032213,,,,,,,,646,0.01,2m,4.0,1.0,1.7000000000000002,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
13,13,2.377843277841135,2025-06-14 19:23:59.317266,2025-06-14 19:24:02.570072,0 days 00:00:03.252806,454.0,0.008,1m,3.0,2.0,0.5,1020.0,392,0.007,1m,3.5,1.5,1.6,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.0,0.001,2m,1.0,4.0,1.4,1020.0,370.0,0.005,3m,2.0,2.0,0.9,184.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
14,14,-0.4606654719951783,2025-06-14 19:24:02.658612,2025-06-14 19:24:07.551381,0 days 00:00:04.892769,482.0,0.005,1m,2.0,1.5,0.5,360.0,510,0.005,1m,3.0,2.0,1.6,872,886.0,0.001,2m,4.0,2.0,0.5,872.0,,,,,,,,,,,,,,,50.0,0.01,1m,4.0,1.5,0.5,20.0,368.0,0.001,2m,1.0,4.0,1.4,974.0,312.0,0.004,3m,1.5,2.0,0.8,154.0,,,,,,,,,,,,,,,0.45,6,COMPLETE
15,15,6.738170392794818,2025-06-14 19:24:07.632987,2025-06-14 19:24:10.947275,0 days 00:00:03.314288,628.0,0.008,2m,4.0,2.0,0.9,1008.0,804,0.007,1m,3.5,2.5,1.5,782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.0,0.001,2m,1.5,4.0,1.5,754.0,322.0,0.01,3m,2.0,1.0,1.6,202.0,,,,,,,,,,,,,,,0.5,4,COMPLETE
16,16,-2.1719253977581015,2025-06-14 19:24:11.038199,2025-06-14 19:24:16.317115,0 days 00:00:05.278916,644.0,0.006,2m,4.0,1.0,1.0,752.0,796,0.007,1m,3.5,3.0,1.1,1024,436.0,0.01,1m,1.0,3.0,0.9,702.0,,,,,,,,,,,,,,,608.0,0.001,3m,4.0,2.0,0.6,34.0,572.0,0.008,3m,2.0,3.0,1.0,718.0,182.0,0.01,4m,3.0,1.0,1.6,260.0,,,,,,,,,,,,,,,0.5,6,COMPLETE
17,17,4.332320881982215,2025-06-14 19:24:16.394781,2025-06-14 19:24:19.680787,0 days 00:00:03.286006,626.0,0.008,2m,4.0,2.0,0.9,594.0,804,0.001,1m,2.5,2.5,1.5,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.0,0.003,2m,2.0,3.5,1.6,704.0,528.0,0.01,3m,2.0,1.5,2.0,306.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
18,18,4.467888194542468,2025-06-14 19:24:19.772487,2025-06-14 19:24:21.645883,0 days 00:00:01.873396,352.0,0.008,2m,4.0,2.0,1.3,50.0,850,0.001,1m,2.5,2.5,1.5,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
19,19,5.107832903163317,2025-06-14 19:24:21.707095,2025-06-14 19:24:23.556437,0 days 00:00:01.849342,356.0,0.009000000000000001,2m,4.0,2.0,1.3,26.0,852,0.003,1m,2.0,3.0,1.4,516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
